cohort	mutation	n_mut	n_wt	target	median_mut	median_wt	p	rbc_mut_minus_wt	q
LUAD	KRAS	29	51	sig_IFNA	0.0282484	0.00179239	0.802425	-0.0344828	0.920278
LUAD	KRAS	29	51	sig_IFN_signal	-0.0533728	0.123814	0.440917	0.104801	0.920278
LUAD	KRAS	29	51	sig_MHC1	0.0684065	-0.087819	0.920278	-0.0141988	0.920278
LUAD	KRAS	29	51	sig_APM	0.134832	0.0864275	0.779297	-0.0385396	0.920278
LUAD	TP53	61	19	TACSTD2	7.21033	4.30597	0.0796982	-0.268335	0.325332
LUAD	TP53	61	19	CLDN4	7.48486	7.32832	0.422136	-0.123382	0.59099
LUAD	TP53	61	19	sig_IFNG	0.073147	-0.0382037	0.116061	-0.240725	0.325332
LUAD	TP53	61	19	sig_IFNA	0.0506563	-0.0628668	0.157585	-0.216566	0.325332
LUAD	TP53	61	19	sig_IFN_signal	0.104452	-0.0581381	0.185904	-0.202761	0.325332
LUAD	TP53	61	19	sig_MHC1	-0.0528012	-0.16633	0.821109	0.0353753	0.957961
LUAD	TP53	61	19	sig_APM	0.0971396	0.079205	0.990979	-0.00258844	0.990979
LUAD	SMARCA4	16	64	TACSTD2	4.51489	7.23804	0.0675049	0.297852	0.0787558
LUAD	SMARCA4	16	64	CLDN4	4.72117	7.74251	0.0327616	0.347656	0.0458662
LUAD	SMARCA4	16	64	sig_IFNG	-0.312839	0.0605013	0.0029112	0.484375	0.0050946
LUAD	SMARCA4	16	64	sig_IFNA	-0.480997	0.0693584	0.000274221	0.591797	0.000959772
LUAD	SMARCA4	16	64	sig_IFN_signal	0.0297035	0.0482771	0.899498	0.0214844	0.899498
LUAD	SMARCA4	16	64	sig_MHC1	-0.432622	0.187121	0.000274221	0.591797	0.000959772
LUAD	SMARCA4	16	64	sig_APM	-0.346566	0.150021	0.0029112	0.484375	0.0050946
LUAD	B2M	2	78	TACSTD2					
LUAD	B2M	2	78	CLDN4					
LUAD	B2M	2	78	sig_IFNG					
LUAD	B2M	2	78	sig_IFNA					
LUAD	B2M	2	78	sig_IFN_signal					
LUAD	B2M	2	78	sig_MHC1					
LUAD	B2M	2	78	sig_APM					
LUSC	STK11	0	27	TACSTD2					
LUSC	STK11	0	27	CLDN4					
LUSC	STK11	0	27	sig_IFNG					
LUSC	STK11	0	27	sig_IFNA					
LUSC	STK11	0	27	sig_IFN_signal					
LUSC	STK11	0	27	sig_MHC1					
LUSC	STK11	0	27	sig_APM					
LUSC	KEAP1	2	25	TACSTD2					
LUSC	KEAP1	2	25	CLDN4					
LUSC	KEAP1	2	25	sig_IFNG					
LUSC	KEAP1	2	25	sig_IFNA					
LUSC	KEAP1	2	25	sig_IFN_signal					
LUSC	KEAP1	2	25	sig_MHC1					
LUSC	KEAP1	2	25	sig_APM					
LUSC	EGFR	0	27	TACSTD2					
LUSC	EGFR	0	27	CLDN4					
LUSC	EGFR	0	27	sig_IFNG					
LUSC	EGFR	0	27	sig_IFNA					
LUSC	EGFR	0	27	sig_IFN_signal					
LUSC	EGFR	0	27	sig_MHC1					
LUSC	EGFR	0	27	sig_APM					
LUSC	KRAS	3	24	TACSTD2					
LUSC	KRAS	3	24	CLDN4					
LUSC	KRAS	3	24	sig_IFNG					
LUSC	KRAS	3	24	sig_IFNA					
LUSC	KRAS	3	24	sig_IFN_signal					
LUSC	KRAS	3	24	sig_MHC1					
LUSC	KRAS	3	24	sig_APM					
LUSC	TP53	24	3	TACSTD2					
LUSC	TP53	24	3	CLDN4					
LUSC	TP53	24	3	sig_IFNG					
LUSC	TP53	24	3	sig_IFNA					
LUSC	TP53	24	3	sig_IFN_signal					
LUSC	TP53	24	3	sig_MHC1					
LUSC	TP53	24	3	sig_APM					
LUSC	SMARCA4	4	23	TACSTD2					
LUSC	SMARCA4	4	23	CLDN4					
LUSC	SMARCA4	4	23	sig_IFNG					
LUSC	SMARCA4	4	23	sig_IFNA					
LUSC	SMARCA4	4	23	sig_IFN_signal					
LUSC	SMARCA4	4	23	sig_MHC1					
LUSC	SMARCA4	4	23	sig_APM					
LUSC	B2M	0	27	TACSTD2					
LUSC	B2M	0	27	CLDN4					
LUSC	B2M	0	27	sig_IFNG					
LUSC	B2M	0	27	sig_IFNA					
LUSC	B2M	0	27	sig_IFN_signal					
LUSC	B2M	0	27	sig_MHC1					
LUSC	B2M	0	27	sig_APM					
SCLC	STK11	2	57	TACSTD2					
SCLC	STK11	2	57	CLDN4					
SCLC	STK11	2	57	sig_IFNG					
SCLC	STK11	2	57	sig_IFNA					
SCLC	STK11	2	57	sig_IFN_signal					
SCLC	STK11	2	57	sig_MHC1					
SCLC	STK11	2	57	sig_APM					
SCLC	KEAP1	2	57	TACSTD2					
SCLC	KEAP1	2	57	CLDN4					
SCLC	KEAP1	2	57	sig_IFNG					
SCLC	KEAP1	2	57	sig_IFNA					
SCLC	KEAP1	2	57	sig_IFN_signal					
SCLC	KEAP1	2	57	sig_MHC1					
SCLC	KEAP1	2	57	sig_APM					
SCLC	EGFR	0	59	TACSTD2					
SCLC	EGFR	0	59	CLDN4					
SCLC	EGFR	0	59	sig_IFNG					
SCLC	EGFR	0	59	sig_IFNA					
SCLC	EGFR	0	59	sig_IFN_signal					
SCLC	EGFR	0	59	sig_MHC1					
SCLC	EGFR	0	59	sig_APM					
SCLC	KRAS	2	57	TACSTD2					
SCLC	KRAS	2	57	CLDN4					
SCLC	KRAS	2	57	sig_IFNG					
SCLC	KRAS	2	57	sig_IFNA					
SCLC	KRAS	2	57	sig_IFN_signal					
SCLC	KRAS	2	57	sig_MHC1					
SCLC	KRAS	2	57	sig_APM					
SCLC	TP53	57	2	TACSTD2					
SCLC	TP53	57	2	CLDN4					
SCLC	TP53	57	2	sig_IFNG					
SCLC	TP53	57	2	sig_IFNA					
SCLC	TP53	57	2	sig_IFN_signal					
SCLC	TP53	57	2	sig_MHC1					
SCLC	TP53	57	2	sig_APM					
SCLC	SMARCA4	4	55	TACSTD2					
SCLC	SMARCA4	4	55	CLDN4					
SCLC	SMARCA4	4	55	sig_IFNG					
SCLC	SMARCA4	4	55	sig_IFNA					
SCLC	SMARCA4	4	55	sig_IFN_signal					
SCLC	SMARCA4	4	55	sig_MHC1					
SCLC	SMARCA4	4	55	sig_APM					
SCLC	B2M	1	58	TACSTD2					
SCLC	B2M	1	58	CLDN4					
SCLC	B2M	1	58	sig_IFNG					
SCLC	B2M	1	58	sig_IFNA					
SCLC	B2M	1	58	sig_IFN_signal					
SCLC	B2M	1	58	sig_MHC1					
SCLC	B2M	1	58	sig_APM					
all_malignant_lung	STK11	30	178	TACSTD2	4.03812	3.24795	0.91773	0.011985	0.91773
all_malignant_lung	STK11	30	178	CLDN4	5.0701	6.79112	0.0508587	0.223221	0.356011
all_malignant_lung	STK11	30	178	sig_IFNG	-0.131149	-0.0313709	0.523621	0.0730337	0.698471
all_malignant_lung	STK11	30	178	sig_IFNA	-0.0717797	0.00437394	0.521489	0.0734082	0.698471
all_malignant_lung	STK11	30	178	sig_IFN_signal	-0.129231	0.0565602	0.175136	0.155056	0.612977
all_malignant_lung	STK11	30	178	sig_MHC1	-0.158038	0.0580279	0.393	0.0977528	0.698471
all_malignant_lung	STK11	30	178	sig_APM	-0.153624	0.123117	0.598689	0.0602996	0.698471
all_malignant_lung	KEAP1	15	193	TACSTD2	4.46271	3.06695	0.879644	-0.0238342	0.879644
all_malignant_lung	KEAP1	15	193	CLDN4	5.53076	6.49233	0.813408	0.0369603	0.879644
all_malignant_lung	KEAP1	15	193	sig_IFNG	-0.160974	-0.0335479	0.281156	0.16753	0.603936
all_malignant_lung	KEAP1	15	193	sig_IFNA	-0.196342	-0.0138818	0.345106	0.146805	0.603936
all_malignant_lung	KEAP1	15	193	sig_IFN_signal	-0.0993635	0.0562259	0.495636	0.106045	0.69389
all_malignant_lung	KEAP1	15	193	sig_MHC1	-0.117103	0.0575939	0.185947	0.205527	0.603936
all_malignant_lung	KEAP1	15	193	sig_APM	-0.256847	0.161398	0.0808564	0.271157	0.565994
all_malignant_lung	EGFR	5	203	TACSTD2	7.94128	3.06695	0.025002	-0.588177	0.0437534
all_malignant_lung	EGFR	5	203	CLDN4	7.7057	6.46385	0.064284	-0.485714	0.064284
all_malignant_lung	EGFR	5	203	sig_IFNG	0.486497	-0.0635129	0.00116173	-0.77734	0.00478502
all_malignant_lung	EGFR	5	203	sig_IFNA	0.597765	-0.0241284	0.00136715	-0.769458	0.00478502
all_malignant_lung	EGFR	5	203	sig_IFN_signal	0.821281	0.0118196	0.00485189	-0.698522	0.0113211
all_malignant_lung	EGFR	5	203	sig_MHC1	0.59513	0.00548654	0.0342766	-0.546798	0.0479872
all_malignant_lung	EGFR	5	203	sig_APM	0.554218	0.0510071	0.0512438	-0.507389	0.0597845
all_malignant_lung	KRAS	46	162	TACSTD2	4.48936	2.77828	0.391039	-0.0830649	0.547455
all_malignant_lung	KRAS	46	162	CLDN4	6.50398	6.48176	0.530449	-0.060789	0.618857
all_malignant_lung	KRAS	46	162	sig_IFNG	0.131853	-0.0872383	0.00133948	-0.310252	0.00468818
all_malignant_lung	KRAS	46	162	sig_IFNA	0.136685	-0.135168	0.00113563	-0.314815	0.00468818
all_malignant_lung	KRAS	46	162	sig_IFN_signal	0.0535781	0.0325074	0.932531	0.00831991	0.932531
all_malignant_lung	KRAS	46	162	sig_MHC1	0.337444	-0.0746324	0.0102824	-0.248256	0.0179942
all_malignant_lung	KRAS	46	162	sig_APM	0.304466	-0.0319623	0.00482067	-0.272678	0.0112482
all_malignant_lung	TP53	173	35	TACSTD2	3.49185	1.82375	0.524837	-0.0683732	0.917323
all_malignant_lung	TP53	173	35	CLDN4	6.49233	6.3466	0.655231	-0.0480595	0.917323
all_malignant_lung	TP53	173	35	sig_IFNG	-0.0383797	-0.0635129	0.980346	-0.0028076	0.980346
all_malignant_lung	TP53	173	35	sig_IFNA	-0.0192204	0.0781723	0.889789	0.0150289	0.980346
all_malignant_lung	TP53	173	35	sig_IFN_signal	0.0568945	-0.0993635	0.201273	-0.137242	0.917323
all_malignant_lung	TP53	173	35	sig_MHC1	0.054627	-0.0426839	0.596355	0.0569777	0.917323
all_malignant_lung	TP53	173	35	sig_APM	-0.00550905	0.232773	0.353985	0.0995871	0.917323
all_malignant_lung	SMARCA4	34	174	TACSTD2	1.69587	3.55868	0.338067	0.104124	0.338067
all_malignant_lung	SMARCA4	34	174	CLDN4	1.9708	6.91903	0.000151719	0.411258	0.00106204
all_malignant_lung	SMARCA4	34	174	sig_IFNG	-0.135578	-0.00281891	0.266735	0.12069	0.311191
all_malignant_lung	SMARCA4	34	174	sig_IFNA	-0.23962	0.0159644	0.07552	0.193036	0.13216
all_malignant_lung	SMARCA4	34	174	sig_IFN_signal	0.171059	-0.00622639	0.0551766	-0.208249	0.128745
all_malignant_lung	SMARCA4	34	174	sig_MHC1	-0.164222	0.128841	0.0173808	0.258283	0.0608329
all_malignant_lung	SMARCA4	34	174	sig_APM	-0.0917225	0.17453	0.171917	0.148411	0.240684
all_malignant_lung	B2M	3	205	TACSTD2					
all_malignant_lung	B2M	3	205	CLDN4					
all_malignant_lung	B2M	3	205	sig_IFNG					
all_malignant_lung	B2M	3	205	sig_IFNA					
all_malignant_lung	B2M	3	205	sig_IFN_signal					
all_malignant_lung	B2M	3	205	sig_MHC1					
all_malignant_lung	B2M	3	205	sig_APM					
all_lung_with_expr	STK11	30	184	TACSTD2	4.03812	3.24795	0.891239	0.0157609	0.891239
all_lung_with_expr	STK11	30	184	CLDN4	5.0701	6.49321	0.0767991	0.201812	0.477021
all_lung_with_expr	STK11	30	184	sig_IFNG	-0.135525	-0.0285389	0.459721	0.0844203	0.637923
all_lung_with_expr	STK11	30	184	sig_IFNA	-0.077982	0.00577441	0.44822	0.0865942	0.637923
all_lung_with_expr	STK11	30	184	sig_IFN_signal	-0.138618	0.0449087	0.136292	0.169928	0.477021
all_lung_with_expr	STK11	30	184	sig_MHC1	-0.164522	0.0509091	0.374133	0.101449	0.637923
all_lung_with_expr	STK11	30	184	sig_APM	-0.159286	0.117122	0.546791	0.0688406	0.637923
all_lung_with_expr	KEAP1	15	199	TACSTD2	4.46271	3.06695	0.898492	-0.0201005	0.898492
all_lung_with_expr	KEAP1	15	199	CLDN4	5.53076	6.46385	0.896785	0.0204355	0.898492
all_lung_with_expr	KEAP1	15	199	sig_IFNG	-0.165436	-0.0341637	0.251838	0.177889	0.530971
all_lung_with_expr	KEAP1	15	199	sig_IFNA	-0.202928	-0.0180584	0.303412	0.159799	0.530971
all_lung_with_expr	KEAP1	15	199	sig_IFN_signal	-0.11128	0.04447	0.44148	0.119598	0.618072
all_lung_with_expr	KEAP1	15	199	sig_MHC1	-0.123443	0.0499182	0.181498	0.20737	0.530971
all_lung_with_expr	KEAP1	15	199	sig_APM	-0.26224	0.154225	0.0706862	0.280402	0.494803
all_lung_with_expr	EGFR	5	209	TACSTD2	7.94128	3.06695	0.0273029	-0.578947	0.0477801
all_lung_with_expr	EGFR	5	209	CLDN4	7.7057	6.43546	0.0593585	-0.494737	0.0593585
all_lung_with_expr	EGFR	5	209	sig_IFNG	0.481535	-0.0484197	0.00123252	-0.774163	0.00524155
all_lung_with_expr	EGFR	5	209	sig_IFNA	0.593992	-0.0263987	0.00149759	-0.764593	0.00524155
all_lung_with_expr	EGFR	5	209	sig_IFN_signal	0.788066	0.0339187	0.00568205	-0.688038	0.0132581
all_lung_with_expr	EGFR	5	209	sig_MHC1	0.592208	-0.000372329	0.0350309	-0.544498	0.0490433
all_lung_with_expr	EGFR	5	209	sig_APM	0.551446	0.0481596	0.0517126	-0.50622	0.0593585
all_lung_with_expr	KRAS	46	168	TACSTD2	4.48936	2.99003	0.414694	-0.0786749	0.484723
all_lung_with_expr	KRAS	46	168	CLDN4	6.50398	6.46271	0.415477	-0.0785455	0.484723
all_lung_with_expr	KRAS	46	168	sig_IFNG	0.128484	-0.0795569	0.00215709	-0.295549	0.0075498
all_lung_with_expr	KRAS	46	168	sig_IFNA	0.130702	-0.0962346	0.0017996	-0.300725	0.0075498
all_lung_with_expr	KRAS	46	168	sig_IFN_signal	0.0362701	0.0416199	0.778836	0.0271739	0.778836
all_lung_with_expr	KRAS	46	168	sig_MHC1	0.333173	-0.0808137	0.0113121	-0.244048	0.0197962
all_lung_with_expr	KRAS	46	168	sig_APM	0.301865	-0.0304883	0.00552398	-0.26734	0.0128893
all_lung_with_expr	TP53	173	41	TACSTD2	3.49185	2.99639	0.625471	-0.0492034	0.711174
all_lung_with_expr	TP53	173	41	CLDN4	6.49233	6.02192	0.228817	-0.121105	0.711174
all_lung_with_expr	TP53	173	41	sig_IFNG	-0.0425052	-0.0211484	0.711174	0.0373608	0.711174
all_lung_with_expr	TP53	173	41	sig_IFNA	-0.0263987	0.0703731	0.537147	0.062174	0.711174
all_lung_with_expr	TP53	173	41	sig_IFN_signal	0.0420826	0.0262239	0.653558	-0.0452559	0.711174
all_lung_with_expr	TP53	173	41	sig_MHC1	0.0499182	-0.0500498	0.507961	0.0666855	0.711174
all_lung_with_expr	TP53	173	41	sig_APM	-0.0106631	0.226577	0.25592	0.114338	0.711174
all_lung_with_expr	SMARCA4	34	180	TACSTD2	1.69587	3.55868	0.333842	0.104739	0.333842
all_lung_with_expr	SMARCA4	34	180	CLDN4	1.9708	6.85568	0.000341458	0.387745	0.00239021
all_lung_with_expr	SMARCA4	34	180	sig_IFNG	-0.140304	-0.00647598	0.220734	0.13268	0.257523
all_lung_with_expr	SMARCA4	34	180	sig_IFNA	-0.246231	0.0139622	0.0572967	0.205882	0.133692
all_lung_with_expr	SMARCA4	34	180	sig_IFN_signal	0.149543	0.0140251	0.0816862	-0.188562	0.142951
all_lung_with_expr	SMARCA4	34	180	sig_MHC1	-0.171229	0.107889	0.0160232	0.260784	0.0560811
all_lung_with_expr	SMARCA4	34	180	sig_APM	-0.0986859	0.169454	0.152736	0.154902	0.213831
all_lung_with_expr	B2M	3	211	TACSTD2					
all_lung_with_expr	B2M	3	211	CLDN4					
all_lung_with_expr	B2M	3	211	sig_IFNG					
all_lung_with_expr	B2M	3	211	sig_IFNA					
all_lung_with_expr	B2M	3	211	sig_IFN_signal					
all_lung_with_expr	B2M	3	211	sig_MHC1					
all_lung_with_expr	B2M	3	211	sig_APM					
