symbol	in_matrix	depmap_col	n_nonNA_lung
MARCHF1	True	MARCHF1 (55016)	214
MARCKS	True	MARCKS (4082)	214
MARCO	True	MARCO (8685)	214
MATN2	True	MATN2 (4147)	214
MATN3	True	MATN3 (4148)	214
MCL1	True	MCL1 (4170)	214
MCM7	True	MCM7 (4176)	214
MEFV	True	MEFV (4210)	214
MEP1A	True	MEP1A (4224)	214
MEST	True	MEST (4232)	214
MET	True	MET (4233)	214
MFAP5	True	MFAP5 (8076)	214
MGP	True	MGP (4256)	214
MMP1	True	MMP1 (4312)	214
MMP14	True	MMP14 (4323)	214
MMP2	True	MMP2 (4313)	214
MMP3	True	MMP3 (4314)	214
MOV10	True	MOV10 (4343)	214
MSC	True	MSC (9242)	214
MSR1	True	MSR1 (4481)	214
MSX1	True	MSX1 (4487)	214
MT2A	True	MT2A (4502)	214
MTHFD2	True	MTHFD2 (10797)	214
MVB12A	True	MVB12A (93343)	214
MVP	True	MVP (9961)	214
MX1	True	MX1 (4599)	214
MX2	True	MX2 (4600)	214
MXD1	True	MXD1 (4084)	214
MXRA5	True	MXRA5 (25878)	214
MYC	True	MYC (4609)	214
MYD88	True	MYD88 (4615)	214
MYL9	True	MYL9 (10398)	214
MYLK	True	MYLK (4638)	214
NAMPT	True	NAMPT (10135)	214
NCOA3	True	NCOA3 (8202)	214
NCOA7	True	NCOA7 (135112)	214
NDP	True	NDP (4693)	214
NFAT5	True	NFAT5 (10725)	214
NFE2L2	True	NFE2L2 (4780)	214
NFIL3	True	NFIL3 (4783)	214
NFKB1	True	NFKB1 (4790)	214
NFKB2	True	NFKB2 (4791)	214
NFKBIA	True	NFKBIA (4792)	214
NFKBIE	True	NFKBIE (4794)	214
NID2	True	NID2 (22795)	214
NINJ1	True	NINJ1 (4814)	214
NLRC5	True	NLRC5 (84166)	214
NLRP3	True	NLRP3 (114548)	214
NMI	True	NMI (9111)	214
NMUR1	True	NMUR1 (10316)	214
NNMT	True	NNMT (4837)	214
NOD1	True	NOD1 (10392)	214
NOD2	True	NOD2 (64127)	214
NOTCH2	True	NOTCH2 (4853)	214
NPFFR2	True	NPFFR2 (10886)	214
NR4A1	True	NR4A1 (3164)	214
NR4A2	True	NR4A2 (4929)	214
NR4A3	True	NR4A3 (8013)	214
NT5E	True	NT5E (4907)	214
NTM	True	NTM (50863)	214
NUB1	True	NUB1 (51667)	214
NUP93	True	NUP93 (9688)	214
OAS1	True	OAS1 (4938)	214
OAS2	True	OAS2 (4939)	214
OAS3	True	OAS3 (4940)	214
OASL	True	OASL (8638)	214
OGFR	True	OGFR (11054)	214
OLR1	True	OLR1 (4973)	214
OPRK1	True	OPRK1 (4986)	214
OSM	True	OSM (5008)	214
OSMR	True	OSMR (9180)	214
OXTR	True	OXTR (5021)	214
P2RX4	True	P2RX4 (5025)	214
P2RX7	True	P2RX7 (5027)	214
P2RY14	True	P2RY14 (9934)	214
P2RY2	True	P2RY2 (5029)	214
P3H1	True	P3H1 (64175)	214
PANX1	True	PANX1 (24145)	214
PARP12	True	PARP12 (64761)	214
PARP14	True	PARP14 (54625)	214
PARP9	True	PARP9 (83666)	214
PCDH7	True	PCDH7 (5099)	214
PCOLCE	True	PCOLCE (5118)	214
PCOLCE2	True	PCOLCE2 (26577)	214
PDE4B	True	PDE4B (5142)	214
PDGFRB	True	PDGFRB (5159)	214
PDIA3	True	PDIA3 (2923)	214
PDLIM4	True	PDLIM4 (8572)	214
PDLIM5	True	PDLIM5 (10611)	214
PDPN	True	PDPN (10630)	214
PELI1	True	PELI1 (57162)	214
PER1	True	PER1 (5187)	214
PFKFB3	True	PFKFB3 (5209)	214
PFKP	True	PFKP (5214)	214
PFN2	True	PFN2 (5217)	214
PHLDA1	True	PHLDA1 (22822)	214
PHLDA2	True	PHLDA2 (7262)	214
PIK3R5	True	PIK3R5 (23533)	214
PIM1	True	PIM1 (5292)	214
PLA2G4A	True	PLA2G4A (5321)	214
PLAU	True	PLAU (5328)	214
PLAUR	True	PLAUR (5329)	214
PLEK	True	PLEK (5341)	214
PLK2	True	PLK2 (10769)	214
PLOD1	True	PLOD1 (5351)	214
PLOD2	True	PLOD2 (5352)	214
PLOD3	True	PLOD3 (8985)	214
PLPP3	True	PLPP3 (8613)	214
PLSCR1	True	PLSCR1 (5359)	214
PMEPA1	True	PMEPA1 (56937)	214
PML	True	PML (5371)	214
PMP22	True	PMP22 (5376)	214
PNP	True	PNP (4860)	214
PNPT1	True	PNPT1 (87178)	214
PNRC1	True	PNRC1 (10957)	214
POSTN	True	POSTN (10631)	214
PPIB	True	PPIB (5479)	214
PPP1R15A	True	PPP1R15A (23645)	214
PROCR	True	PROCR (10544)	214
PROK2	True	PROK2 (60675)	214
PRRX1	True	PRRX1 (5396)	214
PRSS2	True	PRSS2 (5645)	214
PSEN1	True	PSEN1 (5663)	214
PSMA2	True	PSMA2 (5683)	214
PSMA3	True	PSMA3 (5684)	214
PSMB10	True	PSMB10 (5699)	214
PSMB2	True	PSMB2 (5690)	214
PSMB8	True	PSMB8 (5696)	214
PSMB9	True	PSMB9 (5698)	214
