cohort	predictor	target	adjusted_for	n	rho	p
LUAD	TACSTD2	sig_IFN_signal	CLDN4+EMT	80	0.253704	0.0231608
LUAD	TACSTD2	sig_IFN_signal	EMT	80	0.197351	0.0793136
LUAD	TACSTD2	sig_IFN_signal	CLDN4+STK11	80	0.20293	0.071023
LUAD	TACSTD2	sig_MHC1	CLDN4	80	-0.0640647	0.572363
LUAD	CLDN4	sig_MHC1	TACSTD2	80	0.17166	0.127876
LUAD	TACSTD2	sig_MHC1	CLDN4+EMT	80	0.0729723	0.520049
LUAD	TACSTD2	sig_MHC1	EMT	80	0.232325	0.0381032
LUAD	TACSTD2	sig_MHC1	CLDN4+STK11	80	-0.0714487	0.528823
LUAD	TACSTD2	sig_APM	CLDN4	80	-0.0987342	0.383569
LUAD	CLDN4	sig_APM	TACSTD2	80	0.202438	0.0717253
LUAD	TACSTD2	sig_APM	CLDN4+EMT	80	0.068706	0.5448
LUAD	TACSTD2	sig_APM	EMT	80	0.270558	0.0152111
LUAD	TACSTD2	sig_APM	CLDN4+STK11	80	-0.0994374	0.380174
LUSC	TACSTD2	sig_IFNG	CLDN4	27	0.137973	0.492525
LUSC	CLDN4	sig_IFNG	TACSTD2	27	0.0189255	0.925352
LUSC	TACSTD2	sig_IFNG	CLDN4+EMT	27	0.362637	0.063026
LUSC	TACSTD2	sig_IFNG	EMT	27	0.440171	0.0215792
LUSC	TACSTD2	sig_IFNA	CLDN4	27	0.123932	0.537975
LUSC	CLDN4	sig_IFNA	TACSTD2	27	0.0647131	0.74845
LUSC	TACSTD2	sig_IFNA	CLDN4+EMT	27	0.258852	0.192321
LUSC	TACSTD2	sig_IFNA	EMT	27	0.425519	0.0269095
LUSC	TACSTD2	sig_IFN_signal	CLDN4	27	-0.252747	0.203394
LUSC	CLDN4	sig_IFN_signal	TACSTD2	27	-0.031746	0.875094
LUSC	TACSTD2	sig_IFN_signal	CLDN4+EMT	27	0.0042735	0.983122
LUSC	TACSTD2	sig_IFN_signal	EMT	27	0.100122	0.619271
LUSC	TACSTD2	sig_MHC1	CLDN4	27	0.289988	0.142305
LUSC	CLDN4	sig_MHC1	TACSTD2	27	-0.0525031	0.794799
LUSC	TACSTD2	sig_MHC1	CLDN4+EMT	27	0.440781	0.0213774
LUSC	TACSTD2	sig_MHC1	EMT	27	0.479853	0.0113105
LUSC	TACSTD2	sig_APM	CLDN4	27	0.228938	0.250704
LUSC	CLDN4	sig_APM	TACSTD2	27	-0.144078	0.473386
LUSC	TACSTD2	sig_APM	CLDN4+EMT	27	0.491453	0.00923123
LUSC	TACSTD2	sig_APM	EMT	27	0.598901	0.000964705
SCLC	TACSTD2	sig_IFNG	CLDN4	59	0.238048	0.0694387
SCLC	CLDN4	sig_IFNG	TACSTD2	59	0.224781	0.0869682
SCLC	TACSTD2	sig_IFNG	CLDN4+EMT	59	0.230216	0.0794074
SCLC	TACSTD2	sig_IFNG	EMT	59	0.25751	0.0489534
SCLC	TACSTD2	sig_IFNA	CLDN4	59	0.311222	0.0164261
SCLC	CLDN4	sig_IFNA	TACSTD2	59	0.184044	0.162902
SCLC	TACSTD2	sig_IFNA	CLDN4+EMT	59	0.282291	0.0302965
SCLC	TACSTD2	sig_IFNA	EMT	59	0.301169	0.0204533
SCLC	TACSTD2	sig_IFN_signal	CLDN4	59	0.369784	0.00394502
SCLC	CLDN4	sig_IFN_signal	TACSTD2	59	0.141905	0.28367
SCLC	TACSTD2	sig_IFN_signal	CLDN4+EMT	59	0.331327	0.0103662
SCLC	TACSTD2	sig_IFN_signal	EMT	59	0.323378	0.0124793
SCLC	TACSTD2	sig_MHC1	CLDN4	59	0.226067	0.0851305
SCLC	CLDN4	sig_MHC1	TACSTD2	59	0.183928	0.163174
SCLC	TACSTD2	sig_MHC1	CLDN4+EMT	59	0.22893	0.0811472
SCLC	TACSTD2	sig_MHC1	EMT	59	0.243308	0.063324
SCLC	TACSTD2	sig_APM	CLDN4	59	0.254822	0.0514474
SCLC	CLDN4	sig_APM	TACSTD2	59	0.100877	0.447128
SCLC	TACSTD2	sig_APM	CLDN4+EMT	59	0.237989	0.0695092
SCLC	TACSTD2	sig_APM	EMT	59	0.238866	0.0684577
all_malignant_lung	TACSTD2	sig_IFNG	CLDN4	208	0.385852	8.6262e-09
all_malignant_lung	CLDN4	sig_IFNG	TACSTD2	208	0.0397497	0.568644
all_malignant_lung	TACSTD2	sig_IFNG	CLDN4+EMT	208	0.471355	6.68241e-13
all_malignant_lung	TACSTD2	sig_IFNG	EMT	208	0.527835	2.56029e-16
all_malignant_lung	TACSTD2	sig_IFNA	CLDN4	208	0.399378	2.2907e-09
all_malignant_lung	CLDN4	sig_IFNA	TACSTD2	208	0.0480643	0.490563
all_malignant_lung	TACSTD2	sig_IFNA	CLDN4+EMT	208	0.46657	1.22047e-12
all_malignant_lung	TACSTD2	sig_IFNA	EMT	208	0.527139	2.8468e-16
all_malignant_lung	TACSTD2	sig_IFN_signal	CLDN4	208	0.183017	0.00814525
all_malignant_lung	CLDN4	sig_IFN_signal	TACSTD2	208	-0.0854283	0.219866
all_malignant_lung	TACSTD2	sig_IFN_signal	CLDN4+EMT	208	0.215102	0.00180759
all_malignant_lung	TACSTD2	sig_IFN_signal	EMT	208	0.227229	0.000964531
all_malignant_lung	TACSTD2	sig_MHC1	CLDN4	208	0.24056	0.000465194
all_malignant_lung	CLDN4	sig_MHC1	TACSTD2	208	0.0470961	0.499351
all_malignant_lung	TACSTD2	sig_MHC1	CLDN4+EMT	208	0.318297	2.79545e-06
all_malignant_lung	TACSTD2	sig_MHC1	EMT	208	0.378532	1.72485e-08
all_malignant_lung	TACSTD2	sig_APM	CLDN4	208	0.335495	7.27983e-07
all_malignant_lung	CLDN4	sig_APM	TACSTD2	208	-0.0398977	0.567204
all_malignant_lung	TACSTD2	sig_APM	CLDN4+EMT	208	0.416159	4.06127e-10
all_malignant_lung	TACSTD2	sig_APM	EMT	208	0.479701	2.2843e-13
all_lung_with_expr	TACSTD2	sig_IFNG	CLDN4	214	0.395323	2.03221e-09
all_lung_with_expr	CLDN4	sig_IFNG	TACSTD2	214	0.0271264	0.693158
all_lung_with_expr	TACSTD2	sig_IFNG	CLDN4+EMT	214	0.483606	6.06882e-14
all_lung_with_expr	TACSTD2	sig_IFNG	EMT	214	0.534654	3.2111e-17
all_lung_with_expr	TACSTD2	sig_IFNA	CLDN4	214	0.409555	4.61432e-10
all_lung_with_expr	CLDN4	sig_IFNA	TACSTD2	214	0.0318247	0.643403
all_lung_with_expr	TACSTD2	sig_IFNA	CLDN4+EMT	214	0.477495	1.38042e-13
all_lung_with_expr	TACSTD2	sig_IFNA	EMT	214	0.533773	3.6978e-17
all_lung_with_expr	TACSTD2	sig_IFN_signal	CLDN4	214	0.200408	0.00323506
all_lung_with_expr	CLDN4	sig_IFN_signal	TACSTD2	214	-0.113149	0.0987706
all_lung_with_expr	TACSTD2	sig_IFN_signal	CLDN4+EMT	214	0.233377	0.000578158
all_lung_with_expr	TACSTD2	sig_IFN_signal	EMT	214	0.246329	0.000274116
all_lung_with_expr	TACSTD2	sig_MHC1	CLDN4	214	0.23568	0.000507796
all_lung_with_expr	CLDN4	sig_MHC1	TACSTD2	214	0.039054	0.569912
all_lung_with_expr	TACSTD2	sig_MHC1	CLDN4+EMT	214	0.317578	2.11743e-06
all_lung_with_expr	TACSTD2	sig_MHC1	EMT	214	0.37364	1.70591e-08
all_lung_with_expr	TACSTD2	sig_APM	CLDN4	214	0.335108	5.18356e-07
all_lung_with_expr	CLDN4	sig_APM	TACSTD2	214	-0.047929	0.485531
all_lung_with_expr	TACSTD2	sig_APM	CLDN4+EMT	214	0.420153	1.46082e-10
all_lung_with_expr	TACSTD2	sig_APM	EMT	214	0.478407	1.22232e-13
