cohort	predictor	target	n_high	n_low	median_high	median_low	p	rbc_high_minus_low
LUSC	TACSTD2	sig_MHC1	14	13	0.0746696	-0.147643	0.679993	-0.0989011
LUSC	TACSTD2	sig_APM	14	13	0.206095	-0.0273505	0.512401	-0.153846
LUSC	CLDN4	sig_IFNG	14	13	0.0492517	-0.0548667	0.980643	-0.010989
LUSC	CLDN4	sig_IFNA	14	13	0.0227599	-0.0913116	0.980643	0.010989
LUSC	CLDN4	sig_IFN_signal	14	13	-0.434096	0.482642	0.152281	0.32967
LUSC	CLDN4	sig_MHC1	14	13	0.00917852	-0.0396059	0.941974	-0.021978
LUSC	CLDN4	sig_APM	14	13	0.154171	-0.0112127	0.715898	-0.0879121
SCLC	TACSTD2	sig_IFNG	30	29	0.0477298	-0.149217	0.0162536	-0.365517
SCLC	TACSTD2	sig_IFNA	30	29	0.0227468	-0.175658	0.014339	-0.372414
SCLC	TACSTD2	sig_IFN_signal	30	29	0.134877	-0.211462	0.0162536	-0.365517
SCLC	TACSTD2	sig_MHC1	30	29	0.153705	-0.38604	0.0370902	-0.317241
SCLC	TACSTD2	sig_APM	30	29	0.0127801	-0.247965	0.0723845	-0.273563
SCLC	CLDN4	sig_IFNG	30	29	0.0275162	-0.155029	0.0384891	-0.314943
SCLC	CLDN4	sig_IFNA	30	29	0.0313024	-0.175658	0.0773341	-0.268966
SCLC	CLDN4	sig_IFN_signal	30	29	0.0954165	-0.0809142	0.343322	-0.144828
SCLC	CLDN4	sig_MHC1	30	29	0.0361204	-0.38604	0.17965	-0.204598
SCLC	CLDN4	sig_APM	30	29	-0.0414984	-0.193687	0.443867	-0.117241
all_malignant_lung	TACSTD2	sig_IFNG	104	104	0.113187	-0.201114	4.90933e-10	-0.499445
all_malignant_lung	TACSTD2	sig_IFNA	104	104	0.155076	-0.296697	3.41463e-11	-0.53199
all_malignant_lung	TACSTD2	sig_IFN_signal	104	104	0.097118	-0.0862792	0.0739765	-0.143491
all_malignant_lung	TACSTD2	sig_MHC1	104	104	0.324899	-0.218104	5.87515e-06	-0.36372
all_malignant_lung	TACSTD2	sig_APM	104	104	0.307123	-0.289104	5.03322e-08	-0.4375
all_malignant_lung	CLDN4	sig_IFNG	104	104	0.0809954	-0.165688	0.00012322	-0.308247
all_malignant_lung	CLDN4	sig_IFNA	104	104	0.102748	-0.224963	2.03274e-05	-0.342086
all_malignant_lung	CLDN4	sig_IFN_signal	104	104	0.0586159	-0.00422993	0.818675	0.0184911
all_malignant_lung	CLDN4	sig_MHC1	104	104	0.196088	-0.114948	0.00883157	-0.210244
all_malignant_lung	CLDN4	sig_APM	104	104	0.233826	-0.184017	0.00488765	-0.225962
all_lung_with_expr	TACSTD2	sig_IFNG	107	107	0.110872	-0.199926	4.14479e-10	-0.494454
all_lung_with_expr	TACSTD2	sig_IFNA	107	107	0.150933	-0.292593	3.34667e-11	-0.524675
all_lung_with_expr	TACSTD2	sig_IFN_signal	107	107	0.0829816	-0.0904286	0.0712488	-0.142807
all_lung_with_expr	TACSTD2	sig_MHC1	107	107	0.319292	-0.217029	9.46135e-06	-0.350511
all_lung_with_expr	TACSTD2	sig_APM	107	107	0.294844	-0.26224	7.50897e-08	-0.425627
all_lung_with_expr	CLDN4	sig_IFNG	107	107	0.0756116	-0.142854	0.000439682	-0.27819
all_lung_with_expr	CLDN4	sig_IFNA	107	107	0.0955019	-0.176056	8.72672e-05	-0.310507
all_lung_with_expr	CLDN4	sig_IFN_signal	107	107	0.04447	0.0339187	0.520541	0.0509215
all_lung_with_expr	CLDN4	sig_MHC1	107	107	0.163008	-0.119627	0.0184792	-0.186479
all_lung_with_expr	CLDN4	sig_APM	107	107	0.226577	-0.0628533	0.0135689	-0.195388
