cohort	target	split	n_high	rho_high	p_high	n_low	rho_low	p_low	cldn4_median	fisher_z	fisher_p
LUSC	sig_IFN_signal	TACSTD2_median	14	-0.032967	0.910919	13	-0.0659341	0.830542	5.21179	0.0756432	0.939703
LUSC	sig_MHC1	TACSTD2_median	14	0.221978	0.44563	13	-0.258242	0.394284	5.21179	1.12136	0.262133
LUSC	sig_APM	TACSTD2_median	14	0.261538	0.366411	13	-0.43956	0.13286	5.21179	1.69236	0.0905775
SCLC	sig_IFNG	CLDN4_median	30	0.575754	0.000871202	29	0.0724316	0.708858	6.04418	2.1237	0.0336951
SCLC	sig_IFNA	CLDN4_median	30	0.555717	0.0014316	29	0.0785908	0.685304	6.04418	1.99389	0.0461641
SCLC	sig_IFN_signal	CLDN4_median	30	0.594011	0.00053856	29	0.144617	0.454172	6.04418	1.95874	0.050143
SCLC	sig_MHC1	CLDN4_median	30	0.39007	0.0330931	29	0.0399113	0.837137	6.04418	1.35368	0.175839
SCLC	sig_APM	CLDN4_median	30	0.422799	0.0199266	29	0.108155	0.576534	6.04418	1.24655	0.212561
SCLC	sig_IFNG	TACSTD2_median	30	0.49366	0.00556592	29	0.0221675	0.909128	0.516015	1.88782	0.05905
SCLC	sig_IFNA	TACSTD2_median	30	0.464739	0.0096686	29	-0.0315271	0.87103	0.516015	1.94663	0.051579
SCLC	sig_IFN_signal	TACSTD2_median	30	0.361958	0.0493556	29	-0.0630542	0.745223	0.516015	1.60962	0.107481
SCLC	sig_MHC1	TACSTD2_median	30	0.411791	0.0237587	29	0.0261084	0.893058	0.516015	1.49817	0.13409
SCLC	sig_APM	TACSTD2_median	30	0.330812	0.0741643	29	-0.0270936	0.889046	0.516015	1.34964	0.177132
all_malignant_lung	sig_IFNG	CLDN4_median	104	0.452899	1.3839e-06	104	0.401483	2.40011e-05	6.48176	0.447169	0.654753
all_malignant_lung	sig_IFNA	CLDN4_median	104	0.451192	1.53311e-06	104	0.412069	1.38494e-05	6.48176	0.341781	0.732515
all_malignant_lung	sig_IFN_signal	CLDN4_median	104	0.233998	0.0168131	104	0.342345	0.000374873	6.48176	-0.840904	0.400401
all_malignant_lung	sig_MHC1	CLDN4_median	104	0.259577	0.00779194	104	0.331317	0.000591438	6.48176	-0.558927	0.576212
all_malignant_lung	sig_APM	CLDN4_median	104	0.384239	5.65316e-05	104	0.336305	0.000482213	6.48176	0.391576	0.695371
all_malignant_lung	sig_IFNG	TACSTD2_median	104	0.148213	0.133221	104	0.128603	0.193237	3.4604	0.142078	0.887018
all_malignant_lung	sig_IFNA	TACSTD2_median	104	0.158508	0.108029	104	0.156641	0.112298	3.4604	0.0136058	0.989144
all_malignant_lung	sig_IFN_signal	TACSTD2_median	104	-0.0775312	0.434045	104	0.00402219	0.967676	3.4604	-0.580654	0.561474
all_malignant_lung	sig_MHC1	TACSTD2_median	104	0.0716099	0.470059	104	0.129318	0.190753	3.4604	-0.414397	0.678583
all_malignant_lung	sig_APM	TACSTD2_median	104	0.0601515	0.544141	104	0.0331057	0.738663	3.4604	0.192627	0.847251
all_lung_with_expr	sig_IFNG	CLDN4_median	107	0.471274	3.00143e-07	107	0.392281	2.92918e-05	6.46271	0.701021	0.48329
all_lung_with_expr	sig_IFNA	CLDN4_median	107	0.473336	2.62062e-07	107	0.393555	2.74465e-05	6.46271	0.709299	0.478139
all_lung_with_expr	sig_IFN_signal	CLDN4_median	107	0.254091	0.0082671	107	0.335593	0.000409804	6.46271	-0.644217	0.519435
all_lung_with_expr	sig_MHC1	CLDN4_median	107	0.295364	0.00201104	107	0.276158	0.00398614	6.46271	0.150821	0.880117
all_lung_with_expr	sig_APM	CLDN4_median	107	0.393177	2.79824e-05	107	0.313533	0.00100743	6.46271	0.656885	0.511255
all_lung_with_expr	sig_IFNG	TACSTD2_median	107	0.146868	0.131153	107	0.0874233	0.370569	3.4604	0.434764	0.663734
all_lung_with_expr	sig_IFNA	TACSTD2_median	107	0.157017	0.106277	107	0.104685	0.283227	3.4604	0.384045	0.700945
all_lung_with_expr	sig_IFN_signal	TACSTD2_median	107	-0.0867572	0.37424	107	-0.0403711	0.679705	3.4604	-0.335913	0.736936
all_lung_with_expr	sig_MHC1	TACSTD2_median	107	0.0892749	0.360482	107	0.0861302	0.377715	3.4604	0.0228522	0.981768
all_lung_with_expr	sig_APM	TACSTD2_median	107	0.0690452	0.479775	107	-0.0104626	0.914823	3.4604	0.574135	0.565876
