cohort	predictor	target	n	rho	p	q_primary
LUSC	TACSTD2	CLDN4	27	0.531746	0.00430963	0.0258578
LUSC	CLDN4	sig_IFNG	27	0.18315	0.3605	0.539995
LUSC	CLDN4	sig_IFNA	27	0.175824	0.380356	0.539995
LUSC	CLDN4	sig_IFN_signal	27	-0.200244	0.316607	0.539995
LUSC	CLDN4	sig_MHC1	27	0.123321	0.539995	0.539995
LUSC	CLDN4	sig_APM	27	0.131258	0.514018	0.539995
LUSC	CLDN4	sig_APMS8	27	-0.0549451	0.785469	
LUSC	CLDN4	sig_infl	27	0.0976801	0.627885	
LUSC	CLDN4	sig_tnfa	27	0.166667	0.406041	
LUSC	CLDN4	sig_EMT	27	-0.765568	3.27471e-06	
LUSC	CLDN4	sig_EMT_hm	27	-0.278388	0.159702	
SCLC	TACSTD2	sig_IFNG	59	0.37405	0.00351829	0.00703658
SCLC	TACSTD2	sig_IFNA	59	0.379634	0.00302173	0.00703658
SCLC	TACSTD2	sig_IFN_signal	59	0.410508	0.00124082	0.00703658
SCLC	TACSTD2	sig_MHC1	59	0.251433	0.0547377	0.0547377
SCLC	TACSTD2	sig_APM	59	0.27985	0.0318193	0.0381832
SCLC	TACSTD2	sig_APMS8	59	0.219711	0.0945196	
SCLC	TACSTD2	sig_infl	59	0.321454	0.0130435	
SCLC	TACSTD2	sig_tnfa	59	0.335487	0.00938931	
SCLC	TACSTD2	sig_EMT	59	-0.496258	6.40887e-05	
SCLC	TACSTD2	sig_EMT_hm	59	0.191206	0.14687	
SCLC	TACSTD2	CLDN4	59	0.347708	0.00696712	0.0104507
SCLC	CLDN4	sig_IFNG	59	0.343776	0.0076788	0.0371883
SCLC	CLDN4	sig_IFNA	59	0.315663	0.0148753	0.0371883
SCLC	CLDN4	sig_IFN_signal	59	0.265283	0.0422932	0.0528665
SCLC	CLDN4	sig_MHC1	59	0.284746	0.0288269	0.0480449
SCLC	CLDN4	sig_APM	59	0.196961	0.134861	0.134861
SCLC	CLDN4	sig_APMS8	59	0.119813	0.366063	
SCLC	CLDN4	sig_infl	59	0.276213	0.034207	
SCLC	CLDN4	sig_tnfa	59	0.312215	0.0160677	
SCLC	CLDN4	sig_EMT	59	-0.640035	4.81479e-08	
SCLC	CLDN4	sig_EMT_hm	59	-0.00789012	0.952706	
all_malignant_lung	TACSTD2	sig_IFNG	208	0.490362	5.55389e-14	1.11078e-13
all_malignant_lung	TACSTD2	sig_IFNA	208	0.51466	1.83045e-15	5.49136e-15
all_malignant_lung	TACSTD2	sig_IFN_signal	208	0.187952	0.00655547	0.00655547
all_malignant_lung	TACSTD2	sig_MHC1	208	0.330098	1.12036e-06	1.34444e-06
all_malignant_lung	TACSTD2	sig_APM	208	0.409225	8.39692e-10	1.25954e-09
all_malignant_lung	TACSTD2	sig_APMS8	208	0.166932	0.0159547	
all_malignant_lung	TACSTD2	sig_infl	208	0.516928	1.31249e-15	
all_malignant_lung	TACSTD2	sig_tnfa	208	0.547948	1.07234e-17	
all_malignant_lung	TACSTD2	sig_EMT	208	-0.575269	1.00867e-19	
all_malignant_lung	TACSTD2	sig_EMT_hm	208	0.261243	0.000138185	
all_malignant_lung	TACSTD2	CLDN4	208	0.610969	1.13074e-22	6.78447e-22
all_malignant_lung	CLDN4	sig_IFNG	208	0.298449	1.19472e-05	2.98679e-05
all_malignant_lung	CLDN4	sig_IFNA	208	0.333785	8.35276e-07	4.17638e-06
all_malignant_lung	CLDN4	sig_IFN_signal	208	0.000491404	0.994379	0.994379
all_malignant_lung	CLDN4	sig_MHC1	208	0.226423	0.00100665	0.00167775
all_malignant_lung	CLDN4	sig_APM	208	0.208788	0.00247431	0.00309289
all_malignant_lung	CLDN4	sig_APMS8	208	0.0284955	0.682853	
all_malignant_lung	CLDN4	sig_infl	208	0.254895	0.000202759	
all_malignant_lung	CLDN4	sig_tnfa	208	0.251152	0.000253046	
all_malignant_lung	CLDN4	sig_EMT	208	-0.743368	7.82812e-38	
all_malignant_lung	CLDN4	sig_EMT_hm	208	-0.0859504	0.21705	
all_lung_with_expr	TACSTD2	sig_IFNG	214	0.482311	7.23326e-14	1.44665e-13
all_lung_with_expr	TACSTD2	sig_IFNA	214	0.504173	3.37683e-15	1.01305e-14
all_lung_with_expr	TACSTD2	sig_IFN_signal	214	0.182553	0.00741917	0.00741917
all_lung_with_expr	TACSTD2	sig_MHC1	214	0.313583	2.88262e-06	3.45914e-06
all_lung_with_expr	TACSTD2	sig_APM	214	0.391339	3.03972e-09	4.55959e-09
all_lung_with_expr	TACSTD2	sig_APMS8	214	0.144667	0.0344259	
all_lung_with_expr	TACSTD2	sig_infl	214	0.50801	1.92725e-15	
all_lung_with_expr	TACSTD2	sig_tnfa	214	0.537297	2.09684e-17	
all_lung_with_expr	TACSTD2	sig_EMT	214	-0.580806	1.06523e-20	
all_lung_with_expr	TACSTD2	sig_EMT_hm	214	0.240404	0.000387603	
all_lung_with_expr	TACSTD2	CLDN4	214	0.607492	5.63646e-23	3.38187e-22
all_lung_with_expr	CLDN4	sig_IFNG	214	0.283837	2.49926e-05	6.24815e-05
all_lung_with_expr	CLDN4	sig_IFNA	214	0.31454	2.67833e-06	1.33916e-05
all_lung_with_expr	CLDN4	sig_IFN_signal	214	-0.0173857	0.800376	0.800376
all_lung_with_expr	CLDN4	sig_MHC1	214	0.217177	0.00139029	0.00231715
all_lung_with_expr	CLDN4	sig_APM	214	0.192328	0.00475101	0.00593877
all_lung_with_expr	CLDN4	sig_APMS8	214	0.00523524	0.93931	
all_lung_with_expr	CLDN4	sig_infl	214	0.237153	0.000467056	
all_lung_with_expr	CLDN4	sig_tnfa	214	0.244023	0.000313997	
all_lung_with_expr	CLDN4	sig_EMT	214	-0.751749	3.36611e-40	
all_lung_with_expr	CLDN4	sig_EMT_hm	214	-0.114105	0.0959369	
