cohort	predictor	gene	n	rho	p	q
NSCLC	CLDN4	IRF9	148	0.241658	0.0030869	0.030869
NSCLC	CLDN4	JAK1	148	-0.250797	0.0021086	0.030869
NSCLC	CLDN4	JAK2	148	-0.203684	0.013028	0.0611311
NSCLC	CLDN4	IFNGR1	148	-0.116826	0.157348	0.25371
NSCLC	CLDN4	IFNGR2	148	-0.174297	0.034117	0.113723
NSCLC	CLDN4	IFNAR1	148	-0.165514	0.0443912	0.133174
NSCLC	CLDN4	IFNAR2	148	-0.233611	0.00426923	0.0320192
LUAD	TACSTD2	HLA-A	80	-0.00709103	0.950223	0.950223
LUAD	TACSTD2	HLA-B	80	0.106342	0.347809	0.662512
LUAD	TACSTD2	HLA-C	80	0.213071	0.0577457	0.343909
LUAD	TACSTD2	B2M	80	0.0389011	0.731903	0.8579
LUAD	TACSTD2	TAP1	80	-0.204528	0.0687818	0.343909
LUAD	TACSTD2	TAP2	80	0.0991221	0.381694	0.673578
LUAD	TACSTD2	TAPBP	80	0.157552	0.162792	0.4116
LUAD	TACSTD2	TAPBPL	80	0.226974	0.0429006	0.321754
LUAD	TACSTD2	PSMB8	80	0.0553101	0.626049	0.853703
LUAD	TACSTD2	PSMB9	80	-0.15734	0.163366	0.4116
LUAD	TACSTD2	PSMB10	80	0.0194799	0.863824	0.893611
LUAD	TACSTD2	NLRC5	80	0.0470352	0.678651	0.8579
LUAD	TACSTD2	ERAP1	80	0.156914	0.164523	0.4116
LUAD	TACSTD2	ERAP2	80	0.156871	0.16464	0.4116
LUAD	TACSTD2	CALR	80	0.0456874	0.687376	0.8579
LUAD	TACSTD2	CANX	80	-0.0640772	0.572289	0.835344
LUAD	TACSTD2	PDIA3	80	0.0932149	0.410844	0.684739
LUAD	TACSTD2	PSME1	80	0.227956	0.0419846	0.321754
LUAD	TACSTD2	PSME2	80	0.193544	0.085401	0.366004
LUAD	TACSTD2	PSME3	80	-0.136253	0.228151	0.526502
LUAD	TACSTD2	STAT1	80	0.0228906	0.840274	0.893611
LUAD	TACSTD2	STAT2	80	0.314867	0.00444571	0.0666857
LUAD	TACSTD2	IRF1	80	0.174675	0.121216	0.4116
LUAD	TACSTD2	IRF9	80	0.451259	2.65641e-05	0.000796924
LUAD	TACSTD2	JAK1	80	-0.105135	0.35334	0.662512
LUAD	TACSTD2	JAK2	80	-0.0695599	0.539801	0.835344
LUAD	TACSTD2	IFNGR1	80	-0.0320444	0.777809	0.864232
LUAD	TACSTD2	IFNGR2	80	-0.0371547	0.743513	0.8579
LUAD	TACSTD2	IFNAR1	80	0.0620147	0.584741	0.835344
LUAD	TACSTD2	IFNAR2	80	-0.127908	0.258185	0.553253
LUAD	CLDN4	HLA-A	80	0.015518	0.89133	0.978988
LUAD	CLDN4	HLA-B	80	0.16458	0.144606	0.361514
LUAD	CLDN4	HLA-C	80	0.27691	0.0128965	0.096724
LUAD	CLDN4	B2M	80	0.00203938	0.985676	0.985676
LUAD	CLDN4	TAP1	80	-0.143859	0.202983	0.405966
LUAD	CLDN4	TAP2	80	0.202789	0.0712231	0.301199
LUAD	CLDN4	TAPBP	80	0.0304153	0.788836	0.910195
LUAD	CLDN4	TAPBPL	80	0.252218	0.0240065	0.144039
LUAD	CLDN4	PSMB8	80	0.0616971	0.586669	0.765221
LUAD	CLDN4	PSMB9	80	-0.0723516	0.523614	0.730198
LUAD	CLDN4	PSMB10	80	0.00563763	0.960416	0.985676
LUAD	CLDN4	NLRC5	80	0.093038	0.411736	0.650109
LUAD	CLDN4	ERAP1	80	0.0703013	0.535478	0.730198
LUAD	CLDN4	ERAP2	80	0.143941	0.202723	0.405966
LUAD	CLDN4	CALR	80	0.128129	0.257356	0.482542
LUAD	CLDN4	CANX	80	0.0536099	0.636716	0.795895
LUAD	CLDN4	PDIA3	80	0.169151	0.133626	0.361514
LUAD	CLDN4	PSME1	80	0.201383	0.073249	0.301199
LUAD	CLDN4	PSME2	80	0.154102	0.172314	0.397647
LUAD	CLDN4	PSME3	80	0.0123066	0.913722	0.978988
LUAD	CLDN4	STAT1	80	-0.0791842	0.485055	0.727582
LUAD	CLDN4	STAT2	80	0.285175	0.0103468	0.096724
LUAD	CLDN4	IRF1	80	0.18862	0.0938171	0.301199
LUAD	CLDN4	IRF9	80	0.299297	0.00699711	0.096724
LUAD	CLDN4	JAK1	80	-0.311744	0.00487844	0.096724
LUAD	CLDN4	JAK2	80	-0.185006	0.1004	0.301199
LUAD	CLDN4	IFNGR1	80	-0.113549	0.31592	0.547751
LUAD	CLDN4	IFNGR2	80	-0.110619	0.328651	0.547751
LUAD	CLDN4	IFNAR1	80	-0.0320443	0.77781	0.910195
LUAD	CLDN4	IFNAR2	80	-0.187342	0.096106	0.301199
LUSC	TACSTD2	HLA-A	27	0.223443	0.262567	0.614306
LUSC	TACSTD2	HLA-B	27	0.407204	0.0350211	0.525317
LUSC	TACSTD2	HLA-C	27	0.238706	0.230493	0.614306
LUSC	TACSTD2	B2M	27	0.18254	0.362131	0.614306
LUSC	TACSTD2	TAP1	27	0.171551	0.392223	0.614306
LUSC	TACSTD2	TAP2	27	0.239927	0.228046	0.614306
LUSC	TACSTD2	TAPBP	27	0.0604396	0.764584	0.849538
LUSC	TACSTD2	TAPBPL	27	0.415751	0.0310214	0.525317
LUSC	TACSTD2	PSMB8	27	0.183761	0.358874	0.614306
LUSC	TACSTD2	PSMB9	27	0.1337	0.50615	0.662753
LUSC	TACSTD2	PSMB10	27	0.192308	0.336559	0.614306
LUSC	TACSTD2	NLRC5	27	0.257631	0.194502	0.614306
LUSC	TACSTD2	ERAP1	27	0.0317509	0.875075	0.903767
LUSC	TACSTD2	ERAP2	27	0.133089	0.508111	0.662753
LUSC	TACSTD2	CALR	27	0.214286	0.283135	0.614306
LUSC	TACSTD2	CANX	27	-0.150794	0.452785	0.646836
LUSC	TACSTD2	PDIA3	27	0.0433455	0.830022	0.88931
LUSC	TACSTD2	PSME1	27	0.17033	0.395652	0.614306
LUSC	TACSTD2	PSME2	27	0.0634921	0.75305	0.849538
LUSC	TACSTD2	PSME3	27	0.0683761	0.734702	0.849538
LUSC	TACSTD2	STAT1	27	0.184371	0.357251	0.614306
LUSC	TACSTD2	STAT2	27	-0.181319	0.365406	0.614306
LUSC	TACSTD2	IRF1	27	-0.101969	0.612788	0.765985
LUSC	TACSTD2	IRF9	27	0.02442	0.903767	0.903767
LUSC	TACSTD2	JAK1	27	-0.166667	0.406041	0.614306
LUSC	TACSTD2	JAK2	27	-0.329721	0.0930449	0.55827
LUSC	TACSTD2	IFNGR1	27	-0.165446	0.409537	0.614306
LUSC	TACSTD2	IFNGR2	27	-0.342491	0.0803333	0.55827
LUSC	TACSTD2	IFNAR1	27	-0.3663	0.0602169	0.55827
LUSC	TACSTD2	IFNAR2	27	-0.282051	0.154053	0.614306
LUSC	CLDN4	HLA-A	27	0.269231	0.174464	0.749588
LUSC	CLDN4	HLA-B	27	0.0848596	0.673873	0.940613
LUSC	CLDN4	HLA-C	27	0.110501	0.583216	0.940613
LUSC	CLDN4	B2M	27	0.0995116	0.62142	0.940613
LUSC	CLDN4	TAP1	27	-0.014652	0.942176	0.946988
LUSC	CLDN4	TAP2	27	0.0628816	0.755352	0.940613
LUSC	CLDN4	TAPBP	27	-0.152625	0.447251	0.940613
LUSC	CLDN4	TAPBPL	27	0.403541	0.036857	0.71979
LUSC	CLDN4	PSMB8	27	0.107448	0.593725	0.940613
LUSC	CLDN4	PSMB9	27	0.013431	0.946988	0.946988
LUSC	CLDN4	PSMB10	27	0.108059	0.591616	0.940613
LUSC	CLDN4	NLRC5	27	0.026862	0.894195	0.946988
LUSC	CLDN4	ERAP1	27	-0.268967	0.174904	0.749588
LUSC	CLDN4	ERAP2	27	-0.0720391	0.721034	0.940613
LUSC	CLDN4	CALR	27	0.0811966	0.687234	0.940613
LUSC	CLDN4	CANX	27	0.132479	0.510076	0.940613
LUSC	CLDN4	PDIA3	27	0.0665446	0.741566	0.940613
LUSC	CLDN4	PSME1	27	0.166667	0.406041	0.940613
LUSC	CLDN4	PSME2	27	0.0537241	0.790131	0.940613
LUSC	CLDN4	PSME3	27	0.19536	0.328797	0.940613
LUSC	CLDN4	STAT1	27	0.0409035	0.839472	0.940613
LUSC	CLDN4	STAT2	27	-0.0946276	0.63872	0.940613
LUSC	CLDN4	IRF1	27	0.039078	0.846551	0.940613
LUSC	CLDN4	IRF9	27	-0.0586081	0.771529	0.940613
LUSC	CLDN4	JAK1	27	-0.311966	0.113161	0.749588
LUSC	CLDN4	JAK2	27	-0.286368	0.147579	0.749588
LUSC	CLDN4	IFNGR1	27	-0.196581	0.325723	0.940613
LUSC	CLDN4	IFNGR2	27	-0.244811	0.21843	0.819112
LUSC	CLDN4	IFNAR1	27	-0.384005	0.047986	0.71979
LUSC	CLDN4	IFNAR2	27	-0.299756	0.12875	0.749588
SCLC	TACSTD2	HLA-A	59	0.171705	0.19348	0.27706
SCLC	TACSTD2	HLA-B	59	0.201009	0.126868	0.223885
SCLC	TACSTD2	HLA-C	59	0.283417	0.0296147	0.0987157
SCLC	TACSTD2	B2M	59	0.235353	0.0727499	0.181875
SCLC	TACSTD2	TAP1	59	0.184569	0.161686	0.264027
SCLC	TACSTD2	TAP2	59	0.103672	0.434572	0.543216
SCLC	TACSTD2	TAPBP	59	0.301719	0.020213	0.096012
SCLC	TACSTD2	TAPBPL	59	0.290522	0.0256032	0.096012
SCLC	TACSTD2	PSMB8	59	0.202754	0.123534	0.223885
SCLC	TACSTD2	PSMB9	59	0.216878	0.0989575	0.197915
SCLC	TACSTD2	PSMB10	59	-0.0777991	0.558085	0.643944
SCLC	TACSTD2	NLRC5	59	0.0930488	0.483333	0.58
SCLC	TACSTD2	ERAP1	59	0.240078	0.0670254	0.181875
SCLC	TACSTD2	ERAP2	59	0.182206	0.167217	0.264027
SCLC	TACSTD2	CALR	59	0.333996	0.00972982	0.0583789
SCLC	TACSTD2	CANX	59	0.290843	0.025433	0.096012
SCLC	TACSTD2	PDIA3	59	0.230558	0.0789501	0.182193
SCLC	TACSTD2	PSME1	59	0.222752	0.0899316	0.192711
SCLC	TACSTD2	PSME2	59	0.154602	0.242341	0.330465
SCLC	TACSTD2	PSME3	59	0.00248509	0.985096	0.985096
SCLC	TACSTD2	STAT1	59	0.397702	0.00181342	0.0181342
SCLC	TACSTD2	STAT2	59	0.335195	0.00945525	0.0583789
SCLC	TACSTD2	IRF1	59	0.17153	0.193942	0.27706
SCLC	TACSTD2	IRF9	59	0.48191	0.00011128	0.0033384
SCLC	TACSTD2	JAK1	59	0.434335	0.000587956	0.00881934
SCLC	TACSTD2	JAK2	59	-0.0259784	0.845152	0.90552
SCLC	TACSTD2	IFNGR1	59	0.031663	0.811832	0.902035
SCLC	TACSTD2	IFNGR2	59	0.128554	0.331872	0.432877
SCLC	TACSTD2	IFNAR1	59	0.247679	0.0585788	0.175736
SCLC	TACSTD2	IFNAR2	59	-0.00999898	0.940086	0.972502
SCLC	CLDN4	HLA-A	59	0.241847	0.0649774	0.194039
SCLC	CLDN4	HLA-B	59	0.199395	0.13001	0.243769
SCLC	CLDN4	HLA-C	59	0.341964	0.0080275	0.0785017
SCLC	CLDN4	B2M	59	0.226417	0.0846346	0.195311
SCLC	CLDN4	TAP1	59	0.110754	0.403668	0.502408
SCLC	CLDN4	TAP2	59	0.0867329	0.513636	0.565997
SCLC	CLDN4	TAPBP	59	0.243016	0.063652	0.194039
SCLC	CLDN4	TAPBPL	59	0.4045	0.00148532	0.0280955
SCLC	CLDN4	PSMB8	59	0.317943	0.0141295	0.079228
SCLC	CLDN4	PSMB9	59	0.109543	0.408861	0.502408
SCLC	CLDN4	PSMB10	59	-0.139219	0.292978	0.462596
SCLC	CLDN4	NLRC5	59	0.180575	0.171116	0.30197
SCLC	CLDN4	ERAP1	59	0.221102	0.0923988	0.197997
SCLC	CLDN4	ERAP2	59	0.0551156	0.678429	0.678429
SCLC	CLDN4	CALR	59	0.249912	0.0562682	0.194039
SCLC	CLDN4	CANX	59	0.0746932	0.573953	0.593744
SCLC	CLDN4	PDIA3	59	0.10263	0.439229	0.506803
SCLC	CLDN4	PSME1	59	0.215371	0.101382	0.202764
SCLC	CLDN4	PSME2	59	0.124781	0.346377	0.502408
SCLC	CLDN4	PSME3	59	-0.112274	0.397208	0.502408
SCLC	CLDN4	STAT1	59	0.233665	0.074887	0.194039
SCLC	CLDN4	STAT2	59	0.31052	0.0166832	0.079228
SCLC	CLDN4	IRF1	59	0.330918	0.0104669	0.0785017
SCLC	CLDN4	IRF9	59	0.231564	0.0776157	0.194039
SCLC	CLDN4	JAK1	59	0.305845	0.0184865	0.079228
SCLC	CLDN4	JAK2	59	-0.141448	0.285241	0.462596
SCLC	CLDN4	IFNGR1	59	-0.0837522	0.528264	0.565997
SCLC	CLDN4	IFNGR2	59	0.112275	0.397201	0.502408
SCLC	CLDN4	IFNAR1	59	0.396587	0.00187304	0.0280955
SCLC	CLDN4	IFNAR2	59	-0.107278	0.418673	0.502408
all_malignant_lung	TACSTD2	HLA-A	208	0.222531	0.00123509	0.00176441
all_malignant_lung	TACSTD2	HLA-B	208	0.308645	5.74019e-06	1.72206e-05
all_malignant_lung	TACSTD2	HLA-C	208	0.342454	4.12484e-07	1.76779e-06
all_malignant_lung	TACSTD2	B2M	208	0.348193	2.55498e-07	1.27749e-06
all_malignant_lung	TACSTD2	TAP1	208	0.219074	0.00147681	0.00201383
all_malignant_lung	TACSTD2	TAP2	208	0.422385	2.08525e-10	3.12787e-09
all_malignant_lung	TACSTD2	TAPBP	208	0.356188	1.29e-07	7.73998e-07
all_malignant_lung	TACSTD2	TAPBPL	208	0.326474	1.48964e-06	4.96546e-06
all_malignant_lung	TACSTD2	PSMB8	208	0.274276	6.09807e-05	0.000121961
all_malignant_lung	TACSTD2	PSMB9	208	0.251531	0.000247472	0.000412454
all_malignant_lung	TACSTD2	PSMB10	208	0.250209	0.000267429	0.000422256
all_malignant_lung	TACSTD2	NLRC5	208	0.282753	3.50177e-05	7.5038e-05
all_malignant_lung	TACSTD2	ERAP1	208	0.302337	9.06316e-06	2.47177e-05
all_malignant_lung	TACSTD2	ERAP2	208	0.371456	3.31644e-08	3.31644e-07
all_malignant_lung	TACSTD2	CALR	208	0.177595	0.0102787	0.0121451
all_malignant_lung	TACSTD2	CANX	208	0.295162	1.50438e-05	3.76096e-05
all_malignant_lung	TACSTD2	PDIA3	208	0.332699	9.11107e-07	3.41665e-06
all_malignant_lung	TACSTD2	PSME1	208	0.211182	0.00219886	0.00286808
all_malignant_lung	TACSTD2	PSME2	208	0.285126	2.9885e-05	6.89653e-05
all_malignant_lung	TACSTD2	PSME3	208	-0.177033	0.0105257	0.0121451
all_malignant_lung	TACSTD2	STAT1	208	0.239873	0.000483487	0.000725231
all_malignant_lung	TACSTD2	STAT2	208	0.253945	0.000214556	0.000378628
all_malignant_lung	TACSTD2	IRF1	208	0.36743	4.77781e-08	3.58336e-07
all_malignant_lung	TACSTD2	IRF9	208	0.478426	2.69632e-13	8.08895e-12
all_malignant_lung	TACSTD2	JAK1	208	0.182217	0.00843289	0.0105411
all_malignant_lung	TACSTD2	JAK2	208	-0.15759	0.0230069	0.0255632
all_malignant_lung	TACSTD2	IFNGR1	208	0.152421	0.0279597	0.0299568
all_malignant_lung	TACSTD2	IFNGR2	208	-0.0970687	0.163075	0.163075
all_malignant_lung	TACSTD2	IFNAR1	208	-0.144507	0.0372976	0.0385837
all_malignant_lung	TACSTD2	IFNAR2	208	-0.265695	0.000104992	0.00019686
all_malignant_lung	CLDN4	HLA-A	208	0.171512	0.013247	0.026494
all_malignant_lung	CLDN4	HLA-B	208	0.198943	0.00396721	0.0141475
all_malignant_lung	CLDN4	HLA-C	208	0.281126	3.9007e-05	0.000585104
all_malignant_lung	CLDN4	B2M	208	0.165595	0.0168307	0.0315576
all_malignant_lung	CLDN4	TAP1	208	0.0113137	0.871156	0.881238
all_malignant_lung	CLDN4	TAP2	208	0.178006	0.0101013	0.0252533
all_malignant_lung	CLDN4	TAPBP	208	0.108633	0.118309	0.154317
all_malignant_lung	CLDN4	TAPBPL	208	0.356912	1.21146e-07	3.63439e-06
all_malignant_lung	CLDN4	PSMB8	208	0.174185	0.011861	0.026494
all_malignant_lung	CLDN4	PSMB9	208	0.0760622	0.274852	0.305392
all_malignant_lung	CLDN4	PSMB10	208	0.0420021	0.546922	0.585988
all_malignant_lung	CLDN4	NLRC5	208	0.1617	0.0196276	0.034637
all_malignant_lung	CLDN4	ERAP1	208	0.12013	0.0839222	0.119889
all_malignant_lung	CLDN4	ERAP2	208	0.195555	0.00464435	0.0141475
all_malignant_lung	CLDN4	CALR	208	0.133455	0.0546415	0.0819622
all_malignant_lung	CLDN4	CANX	208	0.233989	0.000669829	0.00334915
all_malignant_lung	CLDN4	PDIA3	208	0.172023	0.0129716	0.026494
all_malignant_lung	CLDN4	PSME1	208	0.195224	0.00471583	0.0141475
all_malignant_lung	CLDN4	PSME2	208	0.144022	0.0379474	0.0599169
all_malignant_lung	CLDN4	PSME3	208	-0.144762	0.0369603	0.0599169
all_malignant_lung	CLDN4	STAT1	208	0.0104215	0.881238	0.881238
all_malignant_lung	CLDN4	STAT2	208	0.185498	0.0073075	0.0199295
all_malignant_lung	CLDN4	IRF1	208	0.270916	7.55989e-05	0.000653745
all_malignant_lung	CLDN4	IRF9	208	0.268666	8.7166e-05	0.000653745
all_malignant_lung	CLDN4	JAK1	208	-0.0803413	0.248672	0.298406
all_malignant_lung	CLDN4	JAK2	208	-0.224164	0.001134	0.00485999
all_malignant_lung	CLDN4	IFNGR1	208	-0.0761611	0.274226	0.305392
all_malignant_lung	CLDN4	IFNGR2	208	-0.113803	0.101688	0.138666
all_malignant_lung	CLDN4	IFNAR1	208	-0.0864743	0.21425	0.267813
all_malignant_lung	CLDN4	IFNAR2	208	-0.265054	0.000109254	0.000655527
all_lung_with_expr	TACSTD2	HLA-A	214	0.214411	0.00160519	0.00229313
all_lung_with_expr	TACSTD2	HLA-B	214	0.288663	1.78906e-05	4.47266e-05
all_lung_with_expr	TACSTD2	HLA-C	214	0.341061	3.1499e-07	1.88994e-06
all_lung_with_expr	TACSTD2	B2M	214	0.323185	1.36295e-06	5.84121e-06
all_lung_with_expr	TACSTD2	TAP1	214	0.212797	0.00174419	0.00237844
all_lung_with_expr	TACSTD2	TAP2	214	0.442564	1.12027e-11	1.68041e-10
all_lung_with_expr	TACSTD2	TAPBP	214	0.33305	6.14314e-07	3.07157e-06
all_lung_with_expr	TACSTD2	TAPBPL	214	0.304887	5.55612e-06	1.66684e-05
all_lung_with_expr	TACSTD2	PSMB8	214	0.254039	0.000172436	0.000334854
all_lung_with_expr	TACSTD2	PSMB9	214	0.241583	0.000362017	0.000603361
all_lung_with_expr	TACSTD2	PSMB10	214	0.220229	0.00118401	0.00186949
all_lung_with_expr	TACSTD2	NLRC5	214	0.253464	0.000178589	0.000334854
all_lung_with_expr	TACSTD2	ERAP1	214	0.306842	4.80276e-06	1.60092e-05
all_lung_with_expr	TACSTD2	ERAP2	214	0.373385	1.7475e-08	1.31063e-07
all_lung_with_expr	TACSTD2	CALR	214	0.154364	0.023916	0.0265689
all_lung_with_expr	TACSTD2	CANX	214	0.298671	8.76981e-06	2.39177e-05
all_lung_with_expr	TACSTD2	PDIA3	214	0.316637	2.27782e-06	8.54183e-06
all_lung_with_expr	TACSTD2	PSME1	214	0.176153	0.00982228	0.0128117
all_lung_with_expr	TACSTD2	PSME2	214	0.261067	0.000111574	0.000239086
all_lung_with_expr	TACSTD2	PSME3	214	-0.159124	0.0198587	0.0248234
all_lung_with_expr	TACSTD2	STAT1	214	0.217241	0.00138566	0.00207849
all_lung_with_expr	TACSTD2	STAT2	214	0.246278	0.000274944	0.000485196
all_lung_with_expr	TACSTD2	IRF1	214	0.373915	1.66212e-08	1.31063e-07
all_lung_with_expr	TACSTD2	IRF9	214	0.465285	6.79479e-13	2.03844e-11
all_lung_with_expr	TACSTD2	JAK1	214	0.156155	0.0223122	0.0257448
all_lung_with_expr	TACSTD2	JAK2	214	-0.152506	0.0256832	0.0265689
all_lung_with_expr	TACSTD2	IFNGR1	214	0.153209	0.0250014	0.0265689
all_lung_with_expr	TACSTD2	IFNGR2	214	-0.0987395	0.15001	0.15001
all_lung_with_expr	TACSTD2	IFNAR1	214	-0.156399	0.0221016	0.0257448
all_lung_with_expr	TACSTD2	IFNAR2	214	-0.261858	0.00010616	0.000239086
all_lung_with_expr	CLDN4	HLA-A	214	0.185559	0.00648327	0.022485
all_lung_with_expr	CLDN4	HLA-B	214	0.179253	0.00858342	0.022485
all_lung_with_expr	CLDN4	HLA-C	214	0.280397	3.16003e-05	0.000474004
all_lung_with_expr	CLDN4	B2M	214	0.144276	0.0349217	0.0685849
all_lung_with_expr	CLDN4	TAP1	214	-0.00365628	0.957593	0.957593
all_lung_with_expr	CLDN4	TAP2	214	0.184296	0.00686284	0.022485
all_lung_with_expr	CLDN4	TAPBP	214	0.103604	0.130841	0.178892
all_lung_with_expr	CLDN4	TAPBPL	214	0.349711	1.49908e-07	4.49723e-06
all_lung_with_expr	CLDN4	PSMB8	214	0.156846	0.0217191	0.0501209
all_lung_with_expr	CLDN4	PSMB9	214	0.0713279	0.298968	0.332187
all_lung_with_expr	CLDN4	PSMB10	214	0.0624513	0.363286	0.389235
all_lung_with_expr	CLDN4	NLRC5	214	0.1354	0.0479012	0.0798353
all_lung_with_expr	CLDN4	ERAP1	214	0.101946	0.13715	0.178892
all_lung_with_expr	CLDN4	ERAP2	214	0.178184	0.00899402	0.022485
all_lung_with_expr	CLDN4	CALR	214	0.102196	0.136184	0.178892
all_lung_with_expr	CLDN4	CANX	214	0.253743	0.000175578	0.00111294
all_lung_with_expr	CLDN4	PDIA3	214	0.141321	0.0388648	0.0685849
all_lung_with_expr	CLDN4	PSME1	214	0.180134	0.00825794	0.022485
all_lung_with_expr	CLDN4	PSME2	214	0.124064	0.070099	0.110683
all_lung_with_expr	CLDN4	PSME3	214	-0.153045	0.025159	0.0539121
all_lung_with_expr	CLDN4	STAT1	214	-0.00789052	0.90864	0.939972
all_lung_with_expr	CLDN4	STAT2	214	0.141373	0.0387927	0.0685849
all_lung_with_expr	CLDN4	IRF1	214	0.263892	9.33395e-05	0.000933395
all_lung_with_expr	CLDN4	IRF9	214	0.252841	0.00018549	0.00111294
all_lung_with_expr	CLDN4	JAK1	214	-0.094943	0.166392	0.203225
all_lung_with_expr	CLDN4	JAK2	214	-0.244703	0.000301717	0.00129307
all_lung_with_expr	CLDN4	IFNGR1	214	-0.0934722	0.173085	0.203225
all_lung_with_expr	CLDN4	IFNGR2	214	-0.105159	0.125132	0.178892
all_lung_with_expr	CLDN4	IFNAR1	214	-0.0928175	0.176128	0.203225
all_lung_with_expr	CLDN4	IFNAR2	214	-0.249751	0.000223542	0.00111771
