sample	TACSTD2	CLDN4	CD8A	ImmuneScore	purity_covariate	tacstd2_quartile	cohort
A239	0.2423	-0.3572	0.535	-0.033737500000000004	0.14	mid	OncoSG_LUAD
A250	0.0749	0.5431	0.1753	0.0009750000000000106	0.17	mid	OncoSG_LUAD
A240	-0.1451	-0.846	1.5049	1.178775	0.29	mid	OncoSG_LUAD
A249	0.4579	-0.2796	-1.5774	-1.2893375	0.19	mid	OncoSG_LUAD
A322	-0.1168	-0.2813	-1.8442	-1.7032500000000002	0.6	mid	OncoSG_LUAD
A306	-0.2166	1.2363	0.7071	0.43325	0.18	mid	OncoSG_LUAD
A323	0.9144	0.9229	-0.0522	0.5522375	0.27	Q4	OncoSG_LUAD
A307	0.883	1.195	0.5699	0.2977	0.4	Q4	OncoSG_LUAD
A380	0.0421	-0.1887	-0.0532	0.021862500000000014	0.12	mid	OncoSG_LUAD
A315	-0.723	-0.2668	0.0195	-0.1918125	0.2	Q1	OncoSG_LUAD
A377	-0.5134	0.0886	-0.3419	-0.3546375	0.16	mid	OncoSG_LUAD
A375	-0.59	-0.4761	-0.6611	-0.9996375	0.38	Q1	OncoSG_LUAD
A425	0.0809	0.7718	0.2306	0.3141125	0.18	mid	OncoSG_LUAD
A316	-0.2282	-0.1309	-0.2762	-0.1584375	0.28	mid	OncoSG_LUAD
A379	1.7788	0.128	-0.1041	-0.20887500000000003	0.21	Q4	OncoSG_LUAD
A483	0.7944	-0.0137	1.1253	0.5573875	0.21	Q4	OncoSG_LUAD
A486	0.598	-0.4049	0.8455	0.7576499999999999	0.13	mid	OncoSG_LUAD
A488	0.1906	0.5727	0.8408	0.79455	0.2	mid	OncoSG_LUAD
A490	-0.2071	0.5774	-1.1138	-0.8038375	0.4	mid	OncoSG_LUAD
A492	-0.5312	0.9407	-0.3687	-0.11365	0.21	mid	OncoSG_LUAD
A493	0.2993	-0.1951	0.9778	1.2600875	0.24	mid	OncoSG_LUAD
A496	-2.0022	-1.7998	1.6239	1.1284	0.13	Q1	OncoSG_LUAD
A499	-1.4784	-1.5436	2.2886	1.8346749999999998	0.12	Q1	OncoSG_LUAD
A500	-2.2112	-3.6276	2.1237	1.9404000000000001	0.3	Q1	OncoSG_LUAD
A503	0.5179	0.5172	-0.5494	-0.5794125	0.44	mid	OncoSG_LUAD
A504	0.0863	0.8542	-0.2414	0.416075	0.36	mid	OncoSG_LUAD
A015	3.1112	0.9683	1.1685	0.2986375	0.51	Q4	OncoSG_LUAD
A062	1.1666	-0.1731	0.2847	0.28841249999999996	0.48	Q4	OncoSG_LUAD
A037	0.4002	-0.1862	-1.2179	-0.38039999999999996	0.31	mid	OncoSG_LUAD
A066	1.044	0.819	-0.7831	-0.3396875	0.5	Q4	OncoSG_LUAD
A310	1.573	0.6689	-0.9798	-0.8169375	0.56	Q4	OncoSG_LUAD
A320	-0.6355	-0.1787	-0.1552	-0.11598750000000001	0.3	Q1	OncoSG_LUAD
A426	1.2207	-0.0022	-0.3268	-0.4306375	0.57	Q4	OncoSG_LUAD
A381	0.6702	1.0378	-1.0335	-1.087275	0.67	Q4	OncoSG_LUAD
A428	1.179	0.3838	-2.1618	-1.5600749999999999	0.67	Q4	OncoSG_LUAD
A430	0.4475	0.1798	-0.892	-0.6578625	0.24	mid	OncoSG_LUAD
A432	0.8715	0.2075	0.299	0.8623125	0.28	Q4	OncoSG_LUAD
A434	1.177	0.7399	0.8386	0.9194999999999999	0.26	Q4	OncoSG_LUAD
A508	-1.2102	-1.3338	2.3362	1.7140499999999999	0.3	Q1	OncoSG_LUAD
A509	-0.3729	0.5876	0.8828	1.11135	0.34	mid	OncoSG_LUAD
A063	1.9759	1.8218	-1.4395	-1.111025	0.78	Q4	OncoSG_LUAD
A168	-0.4426	1.2527	1.3862	0.1257625	0.46	mid	OncoSG_LUAD
A433	0.0874	0.6065	1.2113	1.449525	0.24	mid	OncoSG_LUAD
A112	1.1181	0.0546	-1.5273	-0.49683750000000004	0.64	Q4	OncoSG_LUAD
A111	-1.0098	0.3341	-0.2143	-0.7541625000000001	0.76	Q1	OncoSG_LUAD
A110	-2.2174	-0.7764	0.2588	0.418675	0.48	Q1	OncoSG_LUAD
A124	0.2433	0.0156	-0.0678	0.01292500000000002	0.29	mid	OncoSG_LUAD
A126	0.9445	0.3862	-0.7919	-1.1889375	0.16	Q4	OncoSG_LUAD
A511	-0.4224	-1.132	0.6569	0.325625	0.17	mid	OncoSG_LUAD
A512	1.4787	-0.0866	-0.7317	-1.5495375	0.73	Q4	OncoSG_LUAD
A514	0.0146	-0.0985	0.9557	0.7141124999999999	0.12	mid	OncoSG_LUAD
A517	-0.0685	-1.0959	1.0581	0.523725	0.16	mid	OncoSG_LUAD
A510	0.2992	1.101	-0.4022	-0.7321749999999999	0.28	mid	OncoSG_LUAD
A524	-0.9425	-1.1489	1.557	1.131475	0.14	Q1	OncoSG_LUAD
A522	-0.8058	-1.221	0.23	0.15476250000000003	0.26	Q1	OncoSG_LUAD
A521	-0.7924	-0.5658	0.7516	0.41003750000000005	0.18	Q1	OncoSG_LUAD
A519	-0.5253	0.4444	-0.2119	-0.48665	0.37	mid	OncoSG_LUAD
A534	-0.4249	0.1685	0.0037	-0.24985	0.84	mid	OncoSG_LUAD
A530	-0.5868	-0.5856	0.0874	-0.17562499999999998	0.24	Q1	OncoSG_LUAD
A532	-1.297	-1.8945	1.3831	0.9453125	0.18	Q1	OncoSG_LUAD
A538	-0.0054	-0.0441	1.0853	0.6083875000000001	0.12	mid	OncoSG_LUAD
A537	0.4336	-0.1626	0.7417	0.17307499999999998	0.42	mid	OncoSG_LUAD
GSM773540	12350.791	509.092	201.17812	3297.1633220271015	5324.604625655451	Q1	GSE31210_LUAD
GSM773541	19676.393	733.3699	494.29187	5574.998591751671	9974.100551113876	mid	GSE31210_LUAD
GSM773542	24314.342	728.8713	249.2085	4520.759703389481	8529.276493589725	Q4	GSE31210_LUAD
GSM773543	21259.371	1090.583	106.10137	3947.5180476117894	6384.107400542658	Q4	GSE31210_LUAD
GSM773544	21476.067	896.5425	159.07049	3863.8116509005968	7558.2322597940765	Q4	GSE31210_LUAD
GSM773545	20917.013	1334.9007	1121.07327	5777.968529305977	9718.534766685441	Q4	GSE31210_LUAD
GSM773546	21504.004	1519.1524	132.89743	4380.318487324437	9563.491916384479	Q4	GSE31210_LUAD
GSM773547	15922.484	651.1353	610.19996	4915.336243267353	9256.614127071802	mid	GSE31210_LUAD
GSM773548	21539.332	1060.0888	189.30389	3498.1971611946615	6873.91489449604	Q4	GSE31210_LUAD
GSM773549	13326.272	532.1843	465.53224	5646.457473496024	9784.74049026187	Q1	GSE31210_LUAD
GSM773550	20755.13	1086.1847	234.21819	4141.736753228977	8445.294668505887	mid	GSE31210_LUAD
GSM773551	21097.911	2022.4668	690.40266	5983.81665793273	10322.968869294615	Q4	GSE31210_LUAD
GSM773552	20569.647	1380.2885	636.83714	5234.990073968171	10190.745637851858	mid	GSE31210_LUAD
GSM773553	21888.417	1417.2558	192.88154	3266.0812823446313	5916.823731943579	Q4	GSE31210_LUAD
GSM773554	23165.805	2159.6424	252.73891	3383.0025769044173	5430.16705708384	Q4	GSE31210_LUAD
GSM773555	11674.184	2345.0625	1483.73576	5489.387737548512	9530.836047815683	Q1	GSE31210_LUAD
GSM773556	5091.955	867.5459	361.15362	3972.746833584184	6939.841168422568	Q1	GSE31210_LUAD
GSM773557	22846.848	1818.0482	620.92009	4902.751638288171	9340.14916900101	Q4	GSE31210_LUAD
GSM773558	9983.277	721.8038	56.46838	2361.9732881886243	5871.983460953501	Q1	GSE31210_LUAD
GSM773559	1914.933	1045.574	1154.13873	6540.418480957646	10321.829046684277	Q1	GSE31210_LUAD
GSM773560	13720.178	549.7441	287.12745	5569.477045245693	10887.854008046914	Q1	GSE31210_LUAD
GSM773561	18346.673	315.9578	700.9902	5232.499583801671	9713.458556728197	mid	GSE31210_LUAD
GSM773562	11469.421	406.4725	403.174	5439.573127704771	10060.914986327101	Q1	GSE31210_LUAD
GSM773563	18191.201	1633.7647	1063.8271	5444.494612430153	9666.601864039862	mid	GSE31210_LUAD
GSM773564	14474.508	1171.6576	378.28219	5339.962898938129	9052.701228140753	Q1	GSE31210_LUAD
GSM773565	18429.954	3499.0465	577.2191	5810.859467912633	10721.367496113362	mid	GSE31210_LUAD
GSM773566	14480.105	1573.7699	461.5856	5547.495642146685	10901.762284081804	Q1	GSE31210_LUAD
GSM773567	12791.97	315.9569	510.29617	6496.308676603059	11504.907860025884	Q1	GSE31210_LUAD
GSM773568	17228.605	2078.1385	291.49309	5327.092899879078	11333.714266104536	mid	GSE31210_LUAD
GSM773569	16698.964	1008.9693	491.3939	5517.299641827026	8709.686702220617	mid	GSE31210_LUAD
GSM773570	17573.706	195.7952	942.50467	6008.7244745981325	10722.081743898365	mid	GSE31210_LUAD
GSM773571	19718.539	1138.3621	334.61018	5479.82498672685	11474.373527747528	mid	GSE31210_LUAD
GSM773572	11124.433	426.7472	1558.1222	6890.842179534396	12854.997996727343	Q1	GSE31210_LUAD
GSM773573	21013.617	175.2104	117.11755	4342.811601329455	8923.088861284965	Q4	GSE31210_LUAD
GSM773574	22316.282	1103.9088	524.8594	5789.238988225404	11198.028025212603	Q4	GSE31210_LUAD
GSM773575	18668.419	986.3997	1072.51737	5941.90077558154	9723.392792757699	mid	GSE31210_LUAD
GSM773576	4652.509	135.3244	957.04921	6529.505267052555	12661.465192305803	Q1	GSE31210_LUAD
GSM773577	18294.736	377.9761	459.27529	5725.139626728437	10663.04178058448	mid	GSE31210_LUAD
GSM773578	19219.631	587.8642	511.60734	4558.097423334124	7455.997591300155	mid	GSE31210_LUAD
GSM773579	20000.393	1548.8225	275.96254	4516.491736036937	8937.154394698508	mid	GSE31210_LUAD
GSM773580	9703.925	227.6093	864.7258	6299.772931685875	12728.437346711024	Q1	GSE31210_LUAD
GSM773581	20275.536	1673.5992	384.30489	5135.594050729672	8873.163392241175	mid	GSE31210_LUAD
GSM773582	15097.148	2008.7264	254.60555	4145.5309806750865	7403.397727208937	mid	GSE31210_LUAD
GSM773583	15015.525	331.854	1003.91533	6966.629789249662	12632.013216428626	mid	GSE31210_LUAD
GSM773584	18640.997	815.2743	261.601	5438.474007558205	10577.228999371688	mid	GSE31210_LUAD
GSM773585	27950.723	1545.1294	237.36703	5494.886368580252	10626.097935386308	Q4	GSE31210_LUAD
GSM773586	14886.925	1321.6121	289.98836	4792.6049637135275	10277.709013943288	mid	GSE31210_LUAD
GSM773587	20701.293	1383.3295	238.96111	5166.370520920524	9408.027868956693	mid	GSE31210_LUAD
GSM773588	6069.178	216.9458	825.44987	6203.769316104019	12606.449475210597	Q1	GSE31210_LUAD
GSM773589	22060.57	2151.1629	845.92146	6481.6023402061455	11053.767104947618	Q4	GSE31210_LUAD
GSM773590	24100.24	459.6402	1041.48518	6578.105477781817	11670.21698518941	Q4	GSE31210_LUAD
GSM773591	18878.2	1064.5061	300.80055	5498.635234361143	11188.04074233909	mid	GSE31210_LUAD
GSM773592	20619.449	1743.7722	99.38102	3526.041992320665	8494.020361965519	mid	GSE31210_LUAD
GSM773593	24401.168	1744.427	382.6262	5441.683637083872	9567.634667162962	Q4	GSE31210_LUAD
GSM773594	20467.2	377.9935	450.10231	5043.059033323167	10103.94636171497	mid	GSE31210_LUAD
GSM773595	22605.677	1027.9706	385.70752	5077.080851172779	9568.572134507325	Q4	GSE31210_LUAD
GSM773596	16136.19	1131.699	438.5858	6132.772495786463	11971.676169857155	mid	GSE31210_LUAD
GSM773597	12473.904	494.476	454.65728	5373.940818305811	9207.958696299958	Q1	GSE31210_LUAD
GSM773598	3157.742	1498.767	378.76695	3550.7518669037786	6127.440142670119	Q1	GSE31210_LUAD
GSM773599	2797.74	200.2697	947.93154	5642.408143591142	10474.504884585036	Q1	GSE31210_LUAD
GSM773600	10624.592	702.3527	563.398	6029.9959524403275	12023.459027920057	Q1	GSE31210_LUAD
GSM773601	22625.878	1189.1807	535.0255	4853.736400246318	7952.463820121302	Q4	GSE31210_LUAD
GSM773602	14683.662	252.9768	577.11668	5424.890748333943	10973.703003498218	Q1	GSE31210_LUAD
GSM773603	2695.476	1477.3225	373.95669	4646.210110981768	9387.718448242204	Q1	GSE31210_LUAD
GSM773604	20874.098	576.8004	3604.25616	7066.898911089385	11414.984956153394	Q4	GSE31210_LUAD
GSM773605	8189.459	278.1337	585.99686	6136.193017426896	11698.332004249862	Q1	GSE31210_LUAD
GSM773606	14979.866	449.3322	266.93361	5522.637792845371	10730.254182364279	mid	GSE31210_LUAD
GSM773607	7554.173	118.2412	190.2025	6475.663976954913	11709.01825804897	Q1	GSE31210_LUAD
GSM773608	12222.437	290.5676	399.9554	4669.344443164876	10082.543923143705	Q1	GSE31210_LUAD
GSM773609	15803.745	749.5213	348.04572	5009.3098377890565	10239.300567667617	mid	GSE31210_LUAD
GSM773610	22529.15	657.2885	999.68186	5655.481589236468	10530.267356282686	Q4	GSE31210_LUAD
GSM773611	23682.242	528.5271	475.0326	6052.473312591197	10405.228841385047	Q4	GSE31210_LUAD
GSM773612	5887.575	262.3139	1430.04556	6752.821224510385	13016.617504797938	Q1	GSE31210_LUAD
GSM773613	13856.176	597.0076	1458.0982	6512.4774743478	11220.656348680932	Q1	GSE31210_LUAD
GSM773614	20937.972	1437.806	273.4048	5054.111121277112	10043.073877929168	Q4	GSE31210_LUAD
GSM773615	18383.864	909.6225	223.0555	3491.205739195332	5253.903420953923	mid	GSE31210_LUAD
GSM773616	13098.006	587.8387	1699.0458	5565.355993599054	8411.708098257059	Q1	GSE31210_LUAD
GSM773617	17752.446	1812.3737	347.1678	5260.766476239582	8987.60855275172	mid	GSE31210_LUAD
GSM773618	14078.724	784.3435	165.99136	4693.61551197509	8907.21599765358	Q1	GSE31210_LUAD
GSM773619	11706.51	453.0584	309.40414	5480.546939146752	11419.632375783047	Q1	GSE31210_LUAD
GSM773620	13754.784	589.869	357.9221	4884.150137801943	9986.378999375958	Q1	GSE31210_LUAD
GSM773621	14721.631	1336.7743	1230.4916	6184.860491653542	11610.347748166296	mid	GSE31210_LUAD
GSM773622	14872.267	335.6587	440.6587	5310.948209152048	10433.847126433162	mid	GSE31210_LUAD
GSM773623	20286.555	578.1089	386.7325	4669.359561890493	8958.542232591288	mid	GSE31210_LUAD
GSM773624	23428.594	411.857	227.6814	4020.2202764513586	7881.4839489168535	Q4	GSE31210_LUAD
GSM773625	9909.592	362.3464	1584.01429	6268.845657425228	12509.701683273453	Q1	GSE31210_LUAD
GSM773626	25035.092	1365.7577	576.9387	5454.284700384494	9997.763491128982	Q4	GSE31210_LUAD
GSM773627	18152.705	763.3413	292.9593	5012.263624339872	9411.509549896902	mid	GSE31210_LUAD
GSM773628	23019.647	1240.0237	334.154	4024.099494039493	9190.074701991245	Q4	GSE31210_LUAD
GSM773629	7077.226	173.0087	1321.10164	6820.460001492727	13569.303698498952	Q1	GSE31210_LUAD
GSM773630	7534.008	1019.8899	1041.56186	5488.05107898005	8423.065496177891	Q1	GSE31210_LUAD
GSM773631	23685.228	1145.0624	213.5762	3813.10698236972	7408.744249557503	Q4	GSE31210_LUAD
GSM773632	18086.195	597.2524	281.33566	3963.349452176912	7884.6967011031065	mid	GSE31210_LUAD
GSM773633	18090.019	1138.3707	896.6345	5116.67009826328	8996.890834607733	mid	GSE31210_LUAD
GSM773634	16698.247	479.8734	1483.82194	5928.676758633055	10280.377997985923	mid	GSE31210_LUAD
GSM773635	9782.361	551.143	1017.56665	6467.460707653047	11780.38957139455	Q1	GSE31210_LUAD
GSM773636	12538.689	615.4463	476.18639	4012.926336283785	7832.211797712849	Q1	GSE31210_LUAD
GSM773637	18794.274	2039.2004	381.21619	5382.282912318529	9890.544462721915	mid	GSE31210_LUAD
GSM773638	11897.655	263.882	698.10064	4411.077847520726	9342.407408844909	Q1	GSE31210_LUAD
GSM773639	15832.817	2263.8122	144.04051	3861.4293954923187	7504.586724109397	mid	GSE31210_LUAD
GSM773640	16316.551	1218.7705	85.23554	5139.185658409038	10559.388857024285	mid	GSE31210_LUAD
GSM773641	19437.19	1288.5816	165.65193	3957.2369855570287	6661.259885316562	mid	GSE31210_LUAD
GSM773642	17997.526	836.8718	181.20126	4474.015093182854	6464.213823066195	mid	GSE31210_LUAD
GSM773643	14094.951	726.1898	1000.66062	6035.016044130094	11256.32698577396	Q1	GSE31210_LUAD
GSM773644	24896.312	2762.6682	1024.86719	6059.951019916895	10322.859934823162	Q4	GSE31210_LUAD
GSM773645	32609.278	1864.617	75.56	3024.6554580074408	6185.135585159127	Q4	GSE31210_LUAD
GSM773646	16521.606	958.1345	667.76055	6293.937504083409	11908.901862429551	mid	GSE31210_LUAD
GSM773647	14766.815	442.252	713.66981	5848.499498747621	9941.297854188646	mid	GSE31210_LUAD
GSM773648	15896.035	975.8325	90.44456	4875.09155059234	10204.398109683114	mid	GSE31210_LUAD
GSM773649	22856.959	1449.0943	459.61564	6462.185798654047	11671.155166410928	Q4	GSE31210_LUAD
GSM773650	18301.031	682.399	217.41258	3715.56673087076	6762.953295693082	mid	GSE31210_LUAD
GSM773651	17071.939	2861.5268	84.29656	2412.435229241025	6480.883083627785	mid	GSE31210_LUAD
GSM773652	23388.131	1615.3067	771.76323	5372.993183996499	9442.415185529228	Q4	GSE31210_LUAD
GSM773653	17731.9	1535.799	250.89032	5641.280964728609	10481.955173533861	mid	GSE31210_LUAD
GSM773654	11146.176	461.3766	1285.246	6474.758436461731	11866.46385561545	Q1	GSE31210_LUAD
GSM773655	25111.468	804.4033	168.21981	3952.4699589426236	7470.350060216946	Q4	GSE31210_LUAD
GSM773656	12336.017	496.0838	612.1636	6161.003386686713	11864.619358614462	Q1	GSE31210_LUAD
GSM773657	19170.803	929.483	812.8328	5763.196525071424	11261.29651012047	mid	GSE31210_LUAD
GSM773658	18128.112	2244.8574	213.23623	4035.9457917280306	8379.043559954429	mid	GSE31210_LUAD
GSM773659	22287.344	1612.543	209.8166	5129.140082338012	10179.983623508411	Q4	GSE31210_LUAD
GSM773660	17773.58	1081.2645	163.29949	4678.5161537693675	9187.661184917344	mid	GSE31210_LUAD
