term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	primary	fdr_bh_primary	fdr_bh_all
HALLMARK_ANDROGEN_RESPONSE	-0.30006301546194397	-1.2922124256653094	0.059940059940059943	98	-0.6143504013367221	ACTN1,SGK1,GNAI3,RPS6KA3,PTPN21,KLK2,ZBTB10,TNFAIP8,ANKH,LIFR,ABHD2,FKBP5,SLC26A2,SRF,UBE2J1,HERC3,GUCY1A1,CDK6,PLPP1,ELK4,ARID5B,SPCS3,PTK2B,IQGAP2,AKAP12	32	OncoSG_LUAD	False		0.09464219990535781
HALLMARK_MYOGENESIS	-0.3330706467362254	-1.5994114388746878	0.000999000999000999	198	-1.0306639110843214	ACTN3,MYL4,DMD,TPM3,HSPB2,FXYD1,HDAC5,MYOM2,MYL2,ACTN2,ITGB5,MYH7,AEBP1,CASQ1,AKT2,REEP1,FHL1,SORBS1,MYH8,PKIA,CRYAB,ITGB1,LARGE1,NCAM1,MEF2A	79	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_PROTEIN_SECRETION	-0.210135930047762	-0.8949239637051397	0.4015984015984016	94	-0.3413819781403003	ARCN1,YKT6,SNAP23,DST,ARFGEF1,GLA,STX12,RPS6KA3,AP2M1,TMED10,RAB14,ARFGEF2,GOSR2,ADAM10,IGF2R,MAPK1,GALC,AP3B1,VAMP3,STX7,VPS4B,SNX2,GOLGA4,SSPN,M6PR	27	OncoSG_LUAD	False		0.4227351595772648
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.26570333549262626	-1.138407275456037	0.12687312687312688	95	-0.7277026581334918	CXCL10,USP18,HELZ2,LPAR6,RSAD2,TRIM5,GMPR,IRF9,CXCL11,BATF2,EIF2AK2,BST2,PARP14,OASL,DDX60,ISG20,UBE2L6,IFIT2,GBP2,LAMP3,NUB1,ADAR,TRIM26,CASP1,IFIT3	44	OncoSG_LUAD	False		0.16548668722581766
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.4022972291139462	-1.9374062422312257	0.000999000999000999	197	-1.291604959823195	CASP1,OAS2,FCGR1A,GCH1,STAT3,RAPGEF6,IFIT3,CXCL9,TNFAIP6,TRAFD1,RNF213,ST8SIA4,IRF2,CD69,TRIM21,STAT1,SP110,TRIM14,C1R,IRF5,C1S,SLAMF7,BANK1,ITGB7,GZMA	71	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_APICAL_JUNCTION	-0.3114426396248594	-1.479630978759557	0.002997002997002997	197	-0.8159700919363	ACTN3,NF2,RHOF,ADAM9,SGCE,TRAF1,AMIGO1,TJP1,PKD1,MAP4K2,SYMPK,LIMA1,ACTN1,PCDH1,NF1,ACTN2,CAP1,CALB2,MSN,AKT2,ADRA1B,MMP9,IRS1,CLDN18,SDC3	81	OncoSG_LUAD	True	0.004495504495504496	0.0058006509619412845
HALLMARK_APICAL_SURFACE	-0.3041047260566833	-1.1371961092396228	0.16383616383616384	44	-0.7819085329128869	SLC22A12,NCOA6,NTNG1,FLOT2,RHCG,MAL,SLC2A4,AFAP1L2,GHRL,CD160,ADAM10,SULF2,MDGA1,SCUBE1,GAS1,ADIPOR2,SRPX,IL2RG,THY1,IL2RB	20	OncoSG_LUAD	False		0.20061571081979243
HALLMARK_HEDGEHOG_SIGNALING	-0.5063818388391182	-1.7987910723782417	0.000999000999000999	36	-1.507202943335911	CDK5R1,NF1,TLE3,PTCH1,HEY2,GLI1,NRCAM,DPYSL2,NRP1,MYH9,SCG2,CRMP1,CDK6,NRP2,LDB1,THY1,CNTFR,RTN1,UNC5C	19	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_COMPLEMENT	-0.4559791262452568	-2.173746433497563	0.000999000999000999	197	-1.5890292762484282	CR2,GP9,APOC1,GNAI3,F8,ACTN2,RASGRP1,IL6,USP16,AKAP10,DOCK4,KLK1,DOCK9,DGKH,CASP1,CSRP1,CASP10,CPM,OLR1,S100A12,F5,APOBEC3G,SCG3,CTSO,ITIH1	90	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.25776293083135526	1.200401171631928	0.04695304695304695	109	0.4561946370403367	LSM4,PAIP1,EXOSC4,BANF1,IMP3,CKS1B,CEBPB,NHP2,YIF1A,EXOSC9,POP4,EIF4A3,EXOSC5,ERO1A,ASNS,EIF4EBP1,KDELR3,HSPA9,HSPA5,PREB,EXOSC10,NFYA,EIF2S1,BAG3,EXOSC1	42	OncoSG_LUAD	False		0.07614007614007615
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.28903580221521963	-1.2537519031340423	0.06693306693306693	103	-0.727352686819272	TIAM1,ADCY2,NCK1,PLCB1,HSP90B1,MAP2K6,RPS6KA3,AP2M1,IRAK4,YWHAB,GRK2,CXCR4,ACTR3,PTPN11,PLCG1,MAPK1,RALB,MAPKAP1,GSK3B,MYD88,PRKAR2A,RIPK1,RPTOR,IL2RG,CAB39	35	OncoSG_LUAD	False		0.09704581133152564
HALLMARK_MTORC1_SIGNALING	0.34279137158210676	1.7581613016979432	0.000999000999000999	196	0.8104044596776516	HSPE1,PSMA3,IFRD1,PSMG1,PPIA,ARPC5L,COPS5,EBP,TM7SF2,PSMD14,CTH,HMBS,TRIB3,PSPH,TUBG1,PSMB5,MTHFD2L,SLC2A1,DHCR7,PRDX1,SLC1A5,PSMD12,SLC9A3R1,GSR,SRD5A1	72	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_E2F_TARGETS	0.4526972719702289	2.3215699694611116	0.000999000999000999	198	1.3863903304360636	POP7,NME1,RFC2,KIF22,RANBP1,RPA3,SRSF2,CKS2,SLBP,CKS1B,PHF5A,UBE2T,RAD1,DUT,NAA38,AK2,WDR90,DONSON,TBRG4,RNASEH2A,TUBG1,MXD3,ASF1A,NASP,CDKN2A	90	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_MYC_TARGETS_V1	0.4891477988648881	2.463286697855946	0.000999000999000999	195	1.6942802736721059	SNRPG,NDUFAB1,HSPE1,LSM2,NME1,IFRD1,CBX3,PPIA,RANBP1,SNRPA1,TUFM,ERH,MRPL9,NOP16,SSBP1,SRSF2,COPS5,GLO1,NHP2,LSM7,DUT,RNPS1,COX5A,C1QBP,PSMD14	107	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_MYC_TARGETS_V2	0.4842091459262642	1.9767133080618113	0.000999000999000999	58	1.5568867320575996	HSPE1,CBX3,MRTO4,NOP16,SLC29A2,WDR74,TBRG4,MPHOSPH10,GNL3,EXOSC5,NIP7,AIMP2,BYSL,DCTPP1,NOC4L,UNG,SRM,HSPD1,PRMT3,RRP9,MCM4,SUPV3L1,PHB,TFB2M,FARSA	25	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.4840116069232222	-2.3267840053200652	0.000999000999000999	197	-1.6789860477107443	GEM,GREM1,GJA1,FSTL3,SNTB1,PCOLCE2,DST,ITGB3,VIM,ITGB5,IL6,BDNF,HTRA1,FOXC2,MGP,TIMP3,COLGALT1,CADM1,FBLN5,CDH2,PCOLCE,ITGB1,LGALS1,NOTCH2,THBS2	102	OncoSG_LUAD	True	0.001998001998001998	0.0023976023976023976
HALLMARK_INFLAMMATORY_RESPONSE	-0.49771818303836224	-2.3929280687651926	0.000999000999000999	199	-1.7910021791442003	ATP2A2,SCARF1,CCL2,LAMP3,SLC7A2,ITGB3,GNAI3,CCL22,KCNMB2,RASGRP1,IL6,PROK2,TNFRSF9,BEST1,HAS2,LIF,GCH1,SLC1A2,PDPN,EBI3,CSF1,OLR1,CXCL9,KCNJ2,FFAR2	98	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_XENOBIOTIC_METABOLISM	0.217772151647846	1.11578524084963	0.06793206793206794	199	0.14031980225260554	SPINT2,PTS,JUP,UPP1,BPHL,CYP2J2,ABCC3,AHCY,DCXR,ARG2,SLC35B1,DDT,HES6,CBR1,DHRS7,SAR1B,SLC1A5,NQO1,GNMT,GSR,DHPS,EPHA2,GSS,XDH,BCAR1	57	OncoSG_LUAD	False		0.09704581133152564
HALLMARK_FATTY_ACID_METABOLISM	0.29257152929371477	1.4297637874692999	0.002997002997002997	156	0.605270068212152	ECI1,CCDC58,PTS,MIF,HADH,NTHL1,BPHL,FH,CBR3,UROD,BLVRA,CRYZ,S100A10,HSD17B7,MCEE,CBR1,ACOT8,GCDH,REEP6,HMGCL,GSTZ1,ACAT2,D2HGDH,BCKDHB,ALDOA	61	OncoSG_LUAD	False		0.0058006509619412845
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.5495028866009112	2.7826444236611128	0.000999000999000999	199	2.011162450690889	ECI1,MTX2,NDUFAB1,MRPS15,UQCRQ,ATP6V0B,NDUFB1,NDUFB4,ATP5PD,ATP5MF,NDUFV2,NDUFS3,NDUFA7,NDUFC1,TIMM9,TIMM8B,NDUFB2,SLC25A4,COX7A2,NDUFS6,NDUFA2,FH,MRPL15,ATP5PF,MRPL11	104	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_GLYCOLYSIS	0.4417542120631839	2.241991496757303	0.000999000999000999	199	1.3620361201284747	MIF,GALE,FAM162A,SLC25A10,PPIA,NOL3,IDUA,SOD1,MET,SRD5A3,TXN,AGRN,SDC1,ABCB6,B3GAT3,B3GNT3,ELF3,B4GALT7,ADORA2B,HAX1,CTH,CLDN9,EFNA3,TSTA3,ALG1	84	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.4094968026315482	1.6488638518359682	0.001998001998001998	49	0.8855918080921076	GLRX2,LAMTOR5,NDUFB4,SOD1,TXN,MGST1,NDUFA6,GPX4,PRDX1,NQO1,GSR	11	OncoSG_LUAD	False		0.004281432852861424
HALLMARK_UV_RESPONSE_UP	0.22202020934082373	1.1074173323041072	0.08391608391608392	156	0.2411489838686551	BTG3,POLR2H,SPR,SLC25A4,SELENOW,UROD,SIGMAR1,EPCAM,CHKA,RFC4,TST,CDC34,POLG2,CYB5R1,E2F5,IGFBP2,CLTB,GLS,ASNS,PRPF3,ATP6V1F,CLCN2,TUBA4A,ALDOA,CDKN1C	31	OncoSG_LUAD	False		0.11443102352193261
HALLMARK_UV_RESPONSE_DN	-0.42358764806586396	-1.9410033716753208	0.000999000999000999	142	-1.5521578599446777	PTPRM,SFMBT1,IGF1R,AMPH,MYC,SERPINE1,EFEMP1,SCAF8,CDKN1B,WDR37,SIPA1L1,PPARG,TJP1,GJA1,SLC7A1,PLCB4,ITGB3,PRDM2,BDNF,CITED2,RXRA,PTPN21,NR3C1,HAS2,IRS1	79	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_ANGIOGENESIS	-0.489997930103017	-1.7363397556087141	0.002997002997002997	36	-1.5487322692320746	STC1,PGLYRP1,PF4,OLR1,FGFR1,SLCO2A1,NRP1,FSTL1,VTN,COL3A1,VAV2,VCAN,CCND2,COL5A2,LPL,POSTN,LUM,KCNJ8	18	OncoSG_LUAD	False		0.0058006509619412845
HALLMARK_COAGULATION	-0.2811644659498325	-1.2875380561258079	0.04195804195804196	135	-0.6681939783114725	F2RL2,HMGCS2,ADAM9,WDR1,FURIN,GP9,PRSS23,ITGB3,APOC1,USP11,F8,APOC3,HTRA1,PF4,CSRP1,TIMP3,MMP9,OLR1,KLF7,FGA,PROS1,APOC2,CTSO,ITIH1,C2	47	OncoSG_LUAD	False		0.06993006993006994
HALLMARK_IL2_STAT5_SIGNALING	-0.3811362363297085	-1.825613288880128	0.000999000999000999	197	-1.2807481619176422	CD44,TNFRSF4,P4HA1,ODC1,ST3GAL4,CAPG,HK2,UCK2,DCPS,IGF1R,AGER,MYC,ETFBKMT,SCN9A,PRNP,IL13,F2RL2,ECM1,IL1R2,SMPDL3A,TRAF1,PNP,ITGA6,FURIN,TIAM1	99	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_BILE_ACID_METABOLISM	-0.19284621095487853	-0.8399004569168641	0.5004995004995005	112	-0.36402791355647796	GC,HAO1,HSD17B4,TFCP2L1,FADS2,PAOX,RXRG,NR1I2,PIPOX,CYP7B1,AR,MLYCD,DIO2,SLC29A1,HSD3B1,NR1H4,ALDH9A1,ABCG8,ALDH1A1,RXRA,LIPE,OPTN,CYP27A1,ABCG4,ABCA3	40	OncoSG_LUAD	False		0.5004995004995005
HALLMARK_ALLOGRAFT_REJECTION	-0.5274815151223406	-2.5761241048851633	0.000999000999000999	194	-2.0463961143552103	IL18RAP,ST8SIA4,ACVR2A,INHBA,CSK,TGFB1,CFP,KRT1,C2,LY86,TNF,CCL11,CD80,GZMB,STAT1,IFNG,FGR,HLA-DOA,CD79A,GZMA,TAP2,CCL13,FCGR2B,PTPN6,CD3D	90	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_SPERMATOGENESIS	0.18065534237280345	0.8640683163990287	0.3026973026973027	128	0.11380453768018262	PSMG1,PHKG2,PCSK4,CCT6B,RPL39L,RFC4,OAZ3,PCSK1N,TSN,SPATA6,CDK1,ZC2HC1C,MAP7,NPHP1,AURKA,CNIH2,TNNI3,MLF1,TALDO1,TEKT2,CDKN3,NEK2,DDX4,DMC1,COIL	47	OncoSG_LUAD	False		0.3363303363303363
HALLMARK_KRAS_SIGNALING_UP	-0.40680760853374526	-1.9339572446588507	0.000999000999000999	196	-1.3312617741204076	AKT2,SNAP25,PEG3,MMP9,DNMBP,LIF,RBP4,PPBP,NAP1L2,ANKH,NRP1,CXCR4,PRRX1,INHBA,SCG3,STRN,ID2,TMEM100,ENG,HSD11B1,RGS16,USP12,ADAMDEC1,GYPC,MAP3K1	77	OncoSG_LUAD	False		0.0023976023976023976
HALLMARK_KRAS_SIGNALING_DN	-0.21373197052748136	-1.0268208088517667	0.25574425574425574	194	-0.48713933671514303	GRID2,TCF7L1,IRS4,P2RX6,SNN,CLSTN3,MAST3,THRB,EDAR,SGK1,SLC16A7,ARHGDIG,HNF1A,SNCB,MYH7,ZNF112,ITIH3,ZBTB16,KCND1,CPEB3,CPB1,MTHFR,KCNMB1,PDK2,ABCG4	53	OncoSG_LUAD	False		0.2950895258587566
HALLMARK_PANCREAS_BETA_CELLS	-0.35774880082220173	-1.2934750259667476	0.06593406593406594	39	-0.9239253344334676	INSM1,SCGN,ELP4,ABCC8,PCSK2,HNF1A,PAK3,SST,PCSK1,LMO2,FOXO1,MAFB,AKT3	13	OncoSG_LUAD	False		0.09704581133152564
KEGG_TIGHT_JUNCTION	-0.21389566469118113	-0.9980121840361811	0.2917082917082917	168	-0.2474894112049301	SYMPK,RHOA,ACTN1,TIAM1,RAP1A,MYL2,ARPC4,MSN,MAP2K7,TUBA1A,RAPGEF6,CLDN18,ITGB1,RAPGEF2,PRKACA,MYH9,CD1B,RDX,CD1C,ACTR3,SYNPO,LLGL1,PRKCE,TUBA1B,PARD6G	51	OncoSG_LUAD	True	0.3182272273181364	0.3302358019339151
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.37900084040729864	1.489805315551775	0.014985014985014986	46	0.6723871260939258	CHAF1B,MICALL2,CLDN4,CLDN7,MARVELD3,CLDN9,CLDN1,GRHL2,CLDN3,OCEL1,CLDN16,CLDN8,CLDN6	13	OncoSG_LUAD	True	0.019980019980019983	0.02724548179093634
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.44425814289988924	1.765118073037093	0.000999000999000999	52	1.1363063849665638	KRT10,ST14,KRT16,OVOL2,EPHA2,IVL,PIP5K1A,SPRR3,SPRR1B,OVOL1,HDAC1,S100A7,EVPL,CDSN,HDAC2,ANXA1,SPRR1A,AKR1C3,SCEL,POU2F3,WNT5A	21	OncoSG_LUAD	True	0.001998001998001998	0.0023976023976023976
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.5093359416393815	-1.9137586022723372	0.000999000999000999	46	-1.4347433138026573	HEY2,LIMS1,FGFR1,TBX3,TGFBR1,TGFB1,SNAI2,GSK3B,LEF1,NOTCH4,LOXL3,ROCK1,TGFBR3,NOTCH1,ROCK2,EOMES,IGF1,RBPJ,HGF,HEYL	20	OncoSG_LUAD	True	0.001998001998001998	0.0023976023976023976
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.7019471335002285	2.1714552206625735	0.000999000999000999	19	2.839621550704523	KDF1,SFN,CLDN4,LSR,MET,KRT16,CLDN1,STMN1,TMEM79,TP63,FA2H	11	OncoSG_LUAD	True	0.001998001998001998	0.0023976023976023976
GOBP_KERATINOCYTE_DIFFERENTIATION	0.47764447948816174	1.779344321691532	0.001998001998001998	40	1.267964105716943	KRT10,ST14,KRT16,EPHA2,EXPH5,IVL,PIP5K1A,SPRR3,SPRR1B,S100A7,EVPL,CDSN,ANXA1,SPRR1A,AKR1C3,SCEL,POU2F3,WNT5A	18	OncoSG_LUAD	True	0.0034251462822891396	0.004281432852861424
GOBP_KERATINIZATION	0.4474131355281587	1.923591986841438	0.000999000999000999	70	1.3625146624631748	SFN,PPL,KRT16,CNFN,KRT7,KRT80,CDH3,KRT6A,KRT17,SHARPIN,IVL,KRT81,SPRR3,TMEM79,SPRR1B,ABCA12,EVPL,KRT78,CDSN,KRT6B,KRT6C,SPRR2D,SPRR1A	23	OncoSG_LUAD	True	0.001998001998001998	0.0023976023976023976
GOBP_CORNIFICATION	-0.29305764272041374	-0.7202943380935379	0.46153846153846156	9	0.02377690701163695	LIPN,CYP26B1	2	OncoSG_LUAD	True	0.4615384615384615	0.46936114732724904
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.2427617017829937	1.0707272566609694	0.14185814185814186	79	-0.026259057581250477	MICALL2,CLDN4,LSR,CLDN7,MARVELD3,ILDR1,CLDN9,CLDN1,GRHL2,CLDN3,PATJ,EPHA2,CLDN12,OCEL1,CLDN16,NPHP1,IKBKB,CLDN8,CLDN6	19	OncoSG_LUAD	True	0.17022977022977023	0.18109550024443644
KRT_EPITHELIAL	0.7657139352169275	2.3041992786956795	0.000999000999000999	17	3.311118560260335	KRT10,KRT19,KRT16,KRT18,KRT7,KRT14,KRT8,KRT6A,KRT17,KRT15,KRT6B,KRT6C	12	OncoSG_LUAD	True	0.001998001998001998	0.0023976023976023976
HALLMARK_P53_PATHWAY	0.29035173660546454	1.4903904047214878	0.001998001998001998	194	0.5431370572992621	PERP,WRAP73,TRAF4,FAM162A,TM4SF1,SFN,ST14,SDC1,UPP1,EPS8L2,HRAS,INHBB,DCXR,S100A10,TRIB3,IP6K2,PIDD1,PHLDA3,SOCS1,VAMP8,HINT1,CDKN2A,GADD45A,KRT17,RAB40C	60	OncoSG_LUAD	False		0.004281432852861424
HALLMARK_HEME_METABOLISM	-0.2509215872016611	-1.1967104607180181	0.07392607392607392	193	-0.44997158801370457	AHSP,LPIN2,SPTA1,KDM7A,TRAK2,SYNJ1,LRP10,ALAS2,SMOX,EPB41,OPTN,KEL,NR3C1,CA1,KLF3,DCAF10,GYPA,ALAD,ARHGEF12,ATP6V0A1,ANK1,PICALM,FOXJ2,ACSL6,CTSB	63	OncoSG_LUAD	False		0.10315266129219618
HALLMARK_PEROXISOME	0.29156417231235066	1.3409452825790922	0.016983016983016984	104	0.6068439121841778	SOD1,SLC25A4,PRDX5,CDK7,GNPAT,HRAS,FDPS,ACOT8,PEX14,PRDX1,HMGCL,PEX13,SLC25A17,NUDT19,SIAH1,SCP2,CTPS1,DHRS3,CNBP,TSPO,BCL10,CTBP1,ABCD3,DHCR24,TOP2A	42	OncoSG_LUAD	False		0.02911374339945769
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.2661237098514614	-1.236204795033601	0.058941058941058944	195	-0.3938073209515112	TNFRSF9,CD83,IL6,DENND5A,KDM6B,IL6ST,JAG1,CXCL10,GPR183,IL23A,FJX1,ETS2,KLF2,MYC,KLF4,LIF,RELB,BTG2,SPHK1,SLC2A3,CXCL11,NR4A3,TNFAIP3,SLC16A6,ABCA1	53	GSE31210_LUAD	False		0.08087261575633668
HALLMARK_HYPOXIA	0.24086985482904547	1.193758263750445	0.01998001998001998	194	0.006126636501762035	SDC4,PRDX5,ENO1,EFNA1,P4HA2,EGFR,ADORA2B,TES,CASP6,PGM1,MT1E,PGK1,ERO1A,SULT2B1,TPBG,ANXA2,IDS,GPC4,JUN,FBP1,ATP7A,ERRFI1,HSPA5,ALDOA,SLC2A1	43	GSE31210_LUAD	False		0.031021609968978393
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.42622829058295336	1.8137169167521436	0.000999000999000999	72	0.6123241313968977	MAL2,ALCAM,LGALS3,GUSB,CD9,CHKA,EBP,TNFRSF12A,NSDHL,SC5D,S100A11,TM7SF2,ERRFI1,ABCA2,ECH1,PMVK,SQLE,DHCR7,CTNNB1,ACTG1,SREBF2,FBXO6,ATXN2	23	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_MITOTIC_SPINDLE	-0.21462743279557306	-0.9928524853511028	0.3386613386613387	198	-0.33305800178619044	TOP2A,MYO9B,BRCA2,CDK5RAP2,KIF3C,MYH9,PRC1,ALMS1,VCL,CENPJ,KIF23,CCNB2,CENPF,ARHGDIA,ROCK1,BIN1,NEK2,CLIP1,AURKA,CLIP2,RASAL2,TTK,KIF4A,MAP3K11,PAFAH1B1	89	GSE31210_LUAD	False		0.344500327258948
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.44142288804639473	-1.571998108441998	0.003996003996003996	41	-0.7809206612564215	JAG2,NKD1,AXIN2,TCF7,LEF1,HEY2,NOTCH4,DVL2,CCND2,DLL1,NOTCH1	11	GSE31210_LUAD	False		0.007367632367632368
