gene,present,log2FC_KO_minus_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,welch_fdr_genomewide,mwu_p,cohens_d,values_KO,values_WT
Ifit1,True,-0.021208711597539676,421.781177009984,425.891939795844,-0.07407372544013052,0.942788028935848,0.9923739230328525,1.0,-0.04684833743295418,"8.0048,8.4889,8.6701,8.8482,9.2982","8.7766,8.2298,8.5057,9.3691,8.5352"
Mx1,True,0.1595883351210956,129.16587285574536,125.09312274771469,0.45317381612300006,0.6664509346670644,0.9663826164162185,0.42063492063492064,0.28661228697980323,"6.6069,7.0270,7.5546,6.9735,6.7716","6.9277,6.6897,6.1337,7.9633,6.4214"
Isg15,True,-0.09074158395022547,272.50826274168037,287.421868951179,-0.21023083161354264,0.838755133540179,0.9805256142747356,0.6904761904761905,-0.13296165245802524,"7.2611,7.8736,7.5438,8.1449,8.9943","6.9277,7.8737,8.4277,8.7159,8.3265"
H2-K1,True,0.13282129650540675,7255.495950361165,6673.938313302577,0.7764658097534048,0.46141511837115956,0.9468781717360976,0.6904761904761905,0.4910800968135486,"12.4596,13.0649,12.7490,12.9561,12.8239","12.5450,12.4611,12.4013,12.8588,13.1232"
H2-D1,True,0.06436159336501568,11890.94583534083,11497.5725195616,0.29566777656016136,0.7752496518407196,0.9783828086122898,0.6904761904761905,0.18699672092957084,"13.0679,13.7134,13.3138,13.6445,13.8191","13.1591,13.2290,13.2574,13.5224,14.0689"
Cxcl10,True,0.5641951199781206,292.28795268810023,200.4635571016586,2.1484848814152477,0.06746204133908325,0.8154379418511238,0.031746031746031744,1.3588211487417894,"7.9324,8.1366,8.0820,7.9076,8.7470","7.5897,6.8121,7.6536,8.0714,7.8578"
Cxcl11,False,,,,,,,,,,
Cd3e,True,0.44259058051065736,85.48987634462217,63.48221928895206,1.0560309656500813,0.32180678426904624,0.9185300385325681,0.42063492063492064,0.6678926262242585,"5.7584,6.8271,6.5941,5.4900,6.9451","5.2309,5.5198,5.5118,6.2979,6.8414"
Cd3d,True,1.0194059696352085,28.309746174989403,13.561565984499515,1.9118301639415392,0.09266103265246267,0.8326458464764014,0.09523809523809523,1.209147563493676,"3.7638,4.8175,4.4654,4.4221,5.9364","2.4412,3.2189,4.6775,3.6613,4.3092"
Cd8a,True,0.674278006018902,174.38016347810282,106.91554066263839,1.8160422895289037,0.1084210621624669,0.8351187866487642,0.15079365079365079,1.1485659924196574,"7.0642,7.6627,7.8555,6.3528,7.8273","6.3155,6.5936,6.0568,7.1673,7.2578"
Cd4,True,0.18656049321776536,40.2921550054791,37.10092583853082,0.42981587626379936,0.6795563755955001,0.9674455058909571,0.8412698412698413,0.2718394286989418,"5.5588,4.7182,6.0374,5.3880,4.6693","4.0451,5.1324,5.4227,4.7140,6.1248"
Cd2,True,0.09168523250434557,25.35969255548408,22.477822552165488,0.1694825552554775,0.8697094850237391,0.9834551121233219,1.0,0.1071901796545299,"3.4312,4.6658,3.7713,4.8375,5.7383","3.3018,3.8377,5.0389,5.0880,4.7192"
Gzmb,True,0.7632262204358309,125.58858012382083,57.27184149326242,1.2562985542482927,0.2598977492688868,0.8956280324339052,0.42063492063492064,0.7945529705202418,"6.9050,6.3515,4.9320,6.1806,8.3592","5.6992,5.1324,6.1888,6.4658,5.4261"
Gzma,True,-0.2898381292111001,24.445406652425145,23.93707195487598,-0.4806897625144058,0.6483271674052913,0.9663826164162185,0.6904761904761905,-0.3040148994941898,"5.1108,3.3755,3.9127,5.8887,2.9972","3.7208,4.6967,5.2946,4.7664,4.2556"
Prf1,True,1.0343217270126202,79.03434329883314,37.85483317241332,2.4066479253073796,0.042772444300763525,0.7821590923940174,0.09523809523809523,1.5220977940180207,"5.5154,6.7284,6.2117,5.4900,7.0150","5.0498,4.3302,4.7767,6.0026,5.6297"
Ifng,True,0.8887178474361908,25.933136131892184,12.483820883193113,1.7117016327253984,0.13158796839596726,0.8559975781994765,0.09523809523809523,1.0825751668082535,"3.7638,5.1195,3.2382,4.8882,5.5629","3.4554,3.2189,3.5763,4.7140,3.1642"
Nkg7,True,1.021456687568019,98.84799979316729,44.83919945028924,2.3461506075770626,0.050052504870882704,0.8021175588632184,0.09523809523809523,1.4838359307462832,"5.6818,6.5948,6.5297,5.8120,7.6630","4.6006,5.5711,5.1541,5.8163,6.0321"
Klrd1,True,1.0486933893785277,77.45664511333129,37.82783188451552,3.4351188641941253,0.009734783768572954,0.685665400671496,0.015873015873015872,2.1725599288528117,"5.9981,6.2484,6.5076,5.7031,6.7716","5.0498,4.7863,5.6226,5.8890,4.6377"
