gene,log2FC_KO_minus_WT,mean_log2_KO,mean_log2_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,mwu_U,mwu_p,cohens_d,welch_fdr,mwu_fdr
Rnf114,-0.0195714600221919,9.832342885597983,9.851914345620175,917.9852003053462,942.3113832878629,-0.1127362785623086,0.9135782394314917,11.0,0.8412698412698413,-0.07130068303762158,0.987906427350491,0.9961866853217314
Gm19391,-0.027900259932978067,5.956656791933303,5.984557051866281,61.540104178978005,65.25842308292445,-0.11392995350844776,0.9136255253584558,9.0,0.5476190476190477,-0.07205562936075728,0.987906427350491,0.9667676159243273
Gaa,-0.04367660745637103,9.535126860806617,9.578803468262988,777.9156435922857,854.670455931779,-0.11223669769002129,0.9136384199177942,14.0,0.8412698412698413,-0.07098472035124526,0.987906427350491,0.9961866853217314
Mrpl45,-0.03153915066072166,8.539196704696918,8.57073585535764,385.0723342748746,394.93603945755257,-0.11189332183291777,0.9136701576380116,13.0,1.0,-0.07076755039085332,0.987906427350491,1.0
Txn1,-0.0376901483402694,11.104734640193081,11.14242478853335,2330.89913099604,2383.221834232256,-0.11186182708295547,0.9136934441747065,11.0,0.8412698412698413,-0.07074763136200966,0.987906427350491,0.9961866853217314
Gcn1,-0.0401275143364721,10.677891017912215,10.718018532248687,1749.7349699869599,1782.870579505384,-0.11174449187099011,0.9138006719797472,11.0,0.8412698412698413,-0.07067342205809982,0.987906427350491,0.9961866853217314
Cetn2,0.03822665429756711,7.997993688746112,7.959767034448545,270.55875158522656,261.261033412075,0.11174338200363802,0.9138044847586122,12.0,1.0,0.07067272011635317,0.987906427350491,1.0
Ubox5,-0.014449174323756253,7.117270234490609,7.131719408814365,138.4402344666428,140.8847199323336,-0.11243058064513135,0.9138262684631209,11.0,0.8412698412698413,-0.07110734269877166,0.987906427350491,0.9961866853217314
Creb3l3,-0.0357866185206448,3.7120787611882475,3.7478653797088923,12.872617134001805,13.06809124206903,-0.11172154316206515,0.9138445774927284,10.0,0.6904761904761905,-0.07065890802018719,0.987906427350491,0.980364319804787
Tomm6os,-0.02805107043223476,4.502777747896034,4.530828818328269,22.2808632039842,22.92850401089886,-0.1116819056659489,0.9139312782921359,12.0,1.0,-0.07063383906649251,0.9879292998922379,1.0
Psmb7,-0.03273974884667297,10.869818122554623,10.902557871401296,1944.139072119396,2002.674298044938,-0.1112955093364019,0.9141390243073534,11.0,0.8412698412698413,-0.070389460570313,0.9879571257417247,0.9961866853217314
Ccne2,-0.03685670963478671,8.49171876902246,8.528575478657247,374.9341638273178,391.7208763876834,-0.11139369838802334,0.9141453341836184,13.0,1.0,-0.07045156077919612,0.9879571257417247,1.0
