contrast	panel	n_panel	n_tested	n_missing	n_up	n_down	median_log2FC	mean_log2FC	sign_test_p_up	wilcoxon_p_up	wilcoxon_p_down	mwu_p_panel_gt_bg	missing_symbols
GSE180581_Ku80	INTERFERON_ALPHA_RESPONSE	97	61	36	35	26	0.0535	0.0074	0.15283870993155918	0.31389586032782735	0.6861041396721727	0.3738931552033333	MX1,OAS1,IFIT3,IFI44,RSAD2,IFI44L,OASL,IFIT2,CXCL10,SP110,DDX60,PSMB8,IFIH1,GBP2,PSMB9,SAMD9,CMPK2,RTP4,SAMD9L,CXCL11,PARP14,PARP12,NMI,CASP1,DHX58,PARP9,EPSTI1,LAMP3,GBP4,GMPR,IL7,IFI30,IL15,SELL,BATF2,CCRL2
GSE180581_Ku80	INTERFERON_GAMMA_RESPONSE	200	116	84	55	61	-0.015	-0.018	0.7420434625021027	0.7204028488651971	0.2795971511348029	0.7854809384547132	MX1,IFIT3,IFIT2,OAS2,RSAD2,MX2,OAS3,TNFSF10,CXCL10,IFI44,XAF1,SP110,OASL,PSMB8,IFI44L,DDX60,GBP4,PSMB9,IFIH1,CXCL9,IL10RA,PTGS2,EPSTI1,DDX58,IL15,NMI,IDO1,CXCL11,ITGB7,CMPK2,SAMD9L,RTP4,PARP14,TNFAIP2,SOCS1,CASP1,FCGR1A,SOCS3,PARP12,TNFAIP6,VCAM1,CD274,SELP,FPR1,SERPING1,CCL5,SOD2,CD86,HLA-DQA1,CCL7,DHX58,IFI30,CCL2,FGL2,SECTM1,GBP6,LCP2,HLA-G,KLRK1,CD38,ZBP1,BANK1,PDE4B,IL7,CD69,CFH,SSPN,IRF4,BATF2,IRF5,SLAMF7,IL6,GZMA,CASP4,LYSMD2,CSF2RB,C1R,CMKLR1,METTL7B,XCL1,IL2RB,VAMP5,APOL6,STAT4
GSE180581_DNAPKcs	STING	13	6	7	5	1	0.07	-0.0006	0.109375	0.21875	0.84375	0.17128910933929398	CGAS,STING1,IFI16,ZBP1,DDX58,IFNB1,CXCL10
GSE180581_DNAPKcs	IFN_CORE	29	13	16	6	7	-0.1231	-0.0443	0.70947265625	0.6065673828125	0.419677734375	0.6245175037599934	MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,IFIT2,IFIT3,IFI44,IFI44L,DDX58,XAF1,ISG20,GBP1,GBP2
GSE180581_DNAPKcs	CORE8	8	6	2	2	4	-0.1081	-0.0319	0.890625	0.65625	0.421875	0.7317557775269816	OAS2,MX1
GSE180581_DNAPKcs	APM	16	14	2	6	8	-0.0913	-0.0737	0.78802490234375	0.9136962890625	0.09686279296875	0.9030409096439692	PSMB8,PSMB9
GSE180581_DNAPKcs	INTERFERON_ALPHA_RESPONSE	97	62	35	26	36	-0.0393	-0.0633	0.9190592972372011	0.9805271914087914	0.019472808591208566	0.9828841407825049	MX1,OAS1,IFIT3,IFI44,RSAD2,IFI44L,OASL,IFIT2,CXCL10,SP110,PSMB8,ISG20,GBP2,PSMB9,SAMD9,CMPK2,RTP4,SAMD9L,CXCL11,PARP14,PARP12,NMI,CASP1,DHX58,PARP9,EPSTI1,GBP4,CD74,IL7,IFI30,IL15,LPAR6,SELL,BATF2,CCRL2
GSE180581_DNAPKcs	INTERFERON_GAMMA_RESPONSE	200	119	81	50	69	-0.0478	-0.0526	0.966854334373602	0.9908652854863411	0.009134714513658855	0.995912328985716	MX1,IFIT3,IFIT2,OAS2,RSAD2,MX2,OAS3,TNFSF10,CXCL10,IFI44,XAF1,SP110,OASL,PSMB8,IFI44L,GBP4,PSMB9,CXCL9,IL10RA,PTGS2,EPSTI1,DDX58,IL15,NMI,IDO1,CXCL11,ITGB7,CMPK2,SAMD9L,RTP4,PARP14,TNFAIP2,SOCS1,CASP1,ISG20,FCGR1A,SOCS3,PARP12,TNFAIP6,VCAM1,CD274,SELP,FPR1,CCL5,SOD2,CD86,HLA-DQA1,CCL7,PTPN6,DHX58,IFI30,CCL2,FGL2,GBP6,LCP2,HLA-G,KLRK1,CD38,ZBP1,BANK1,PDE4B,IL7,CD69,CFH,IRF4,BATF2,IRF5,SLAMF7,IL6,GZMA,CD74,CASP4,LYSMD2,CSF2RB,CMKLR1,METTL7B,XCL1,IL2RB,VAMP5,APOL6,STAT4
GSE135274_XRCC4	STING	13	10	3	3	7	-0.2645	-0.3958	0.9453125	0.990234375	0.013671875	0.9930727942103275	ZBP1,IFNB1,CXCL10
GSE135274_XRCC4	IFN_CORE	29	27	2	1	26	-1.1839	-1.0861	0.9999999925494194	0.9999998584389687	1.862645149230957e-07	0.9999999999998004	IFI44L,XAF1
GSE135274_XRCC4	CORE8	8	8	0	2	6	-0.916	-0.8414	0.96484375	0.97265625	0.0390625	0.9950447836758153	
GSE135274_XRCC4	APM	16	15	1	4	11	-0.4159	-0.2928	0.982421875	0.994873046875	0.0062255859375	0.9965867045134881	HLA-F
GSE135274_XRCC4	INTERFERON_ALPHA_RESPONSE	97	83	14	11	72	-0.4159	-0.5278	0.99999999999971	0.9999999999965604	3.4395856975295898e-12	0.9999999999999999	IFI44L,CXCL10,CMPK2,RTP4,CXCL11,WARS1,EPSTI1,CD74,GMPR,IL7,TENT5A,LPAR6,SELL,BATF2
GSE135274_XRCC4	INTERFERON_GAMMA_RESPONSE	200	146	54	31	115	-0.2515	-0.3889	0.9999999999998042	0.9999999999999218	7.814299853098436e-14	0.9999999999999996	TNFSF10,CXCL10,XAF1,IFI44L,IRF8,CXCL9,IL10RA,EPSTI1,CXCL11,ITGB7,CMPK2,RTP4,WARS1,FCGR1A,MARCHF1,TNFAIP6,VCAM1,CIITA,SELP,GPR18,FPR1,CD86,HLA-DQA1,CCL7,PTPN6,FGL2,CD40,HLA-DRB1,GBP6,LCP2,HLA-G,KLRK1,EIF4E3,CD38,ZBP1,BANK1,IL7,AUTS2,CD69,MYD88,CFH,SSPN,IRF4,BATF2,IRF5,SLAMF7,P2RY14,GZMA,CD74,CSF2RB,CMKLR1,METTL7B,XCL1,STAT4
GSE135274_XRCC4_within_mirin	STING	13	10	3	3	7	-0.1836	-0.3505	0.9453125	0.990234375	0.013671875	0.9893508483221023	ZBP1,IFNB1,CXCL10
GSE135274_XRCC4_within_mirin	IFN_CORE	29	29	0	1	28	-1.4113	-1.3799	0.9999999981373549	0.9999999981373549	3.725290298461914e-09	0.9999999999999997	
GSE135274_XRCC4_within_mirin	CORE8	8	8	0	1	7	-1.1349	-1.0994	0.99609375	0.99609375	0.0078125	0.9998723837404172	
GSE135274_XRCC4_within_mirin	APM	16	15	1	3	12	-0.4714	-0.3824	0.996307373046875	0.999237060546875	0.001007080078125	0.9998064915856493	HLA-F
GSE135274_XRCC4_within_mirin	INTERFERON_ALPHA_RESPONSE	97	85	12	10	75	-0.5014	-0.6694	0.999999999999988	0.9999999999998538	1.462270689163564e-13	1.0	CXCL10,CMPK2,CXCL11,WARS1,EPSTI1,CD74,GMPR,IL7,TENT5A,LPAR6,SELL,BATF2
GSE135274_XRCC4_within_mirin	INTERFERON_GAMMA_RESPONSE	200	148	52	36	112	-0.3128	-0.4796	0.9999999999554655	0.9999999999999971	2.897968430927428e-15	1.0	TNFSF10,CXCL10,IRF8,CXCL9,IL10RA,EPSTI1,CXCL11,ITGB7,CMPK2,WARS1,FCGR1A,MARCHF1,TNFAIP6,VCAM1,CIITA,SELP,GPR18,FPR1,CD86,HLA-DQA1,CCL7,PTPN6,FGL2,CD40,HLA-DRB1,GBP6,LCP2,HLA-G,KLRK1,EIF4E3,CD38,ZBP1,BANK1,IL7,AUTS2,CD69,MYD88,CFH,SSPN,IRF4,BATF2,IRF5,SLAMF7,P2RY14,GZMA,CD74,CSF2RB,CMKLR1,METTL7B,ST8SIA4,XCL1,STAT4
GSE135274_double_block_vs_WT	STING	13	10	3	4	6	-0.0869	-0.1687	0.828125	0.8125	0.2158203125	0.7743806800625606	ZBP1,IFNB1,CXCL10
GSE135274_double_block_vs_WT	IFN_CORE	29	29	0	7	22	-0.3622	-0.4788	0.9988421499729156	0.9993006382137537	0.0007636807858943939	0.9998291035154544	
GSE135274_double_block_vs_WT	CORE8	8	8	0	2	6	-0.4366	-0.2517	0.96484375	0.90234375	0.125	0.9505052751347026	
GSE135274_double_block_vs_WT	APM	16	15	1	2	13	-0.3681	-0.4265	0.99951171875	0.999908447265625	0.000152587890625	0.9998734699457293	HLA-F
GSE135274_double_block_vs_WT	INTERFERON_ALPHA_RESPONSE	97	84	13	27	57	-0.2801	-0.2966	0.9996860263642091	0.9999924073736485	7.592626351564156e-06	0.9999951479499325	CXCL10,CMPK2,RTP4,CXCL11,WARS1,EPSTI1,CD74,GMPR,IL7,TENT5A,LPAR6,SELL,BATF2
GSE135274_double_block_vs_WT	INTERFERON_GAMMA_RESPONSE	200	147	53	55	92	-0.1832	-0.2391	0.9991843443736461	0.9999987771225244	1.2228774755656983e-06	0.999997848956447	TNFSF10,CXCL10,IRF8,CXCL9,IL10RA,EPSTI1,CXCL11,ITGB7,CMPK2,RTP4,WARS1,FCGR1A,MARCHF1,TNFAIP6,VCAM1,CIITA,SELP,GPR18,FPR1,CD86,HLA-DQA1,CCL7,PTPN6,FGL2,CD40,HLA-DRB1,GBP6,LCP2,HLA-G,KLRK1,EIF4E3,CD38,ZBP1,BANK1,IL7,AUTS2,CD69,MYD88,CFH,SSPN,IRF4,BATF2,IRF5,SLAMF7,P2RY14,GZMA,CD74,CSF2RB,CMKLR1,METTL7B,ST8SIA4,XCL1,STAT4
