contrast	symbol	status	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	simple_log2FC_pseudocount	mean_norm_depleted	mean_norm_control
GSE180581_Ku80	DCLRE1C	tested	105.18863041350558	0.03374185673145713	0.18705070690847803	0.18038882230991338	0.8568473288915999	0.9549748278984858	-0.0003216292837722179	105.53921249639625	105.5629666159474
GSE180581_Ku80	PAXX	tested	174.70458981486638	0.2892481186913386	0.15311465243668096	1.8890949630764713	0.05887910525765111	0.304595306529867	0.2526420825429021	190.40872296205495	159.66041362672158
GSE180581_Ku80	APLF	tested	19.676387300668893	0.10902058926687559	0.389532257654589	0.27987563834455975	0.7795729183764181		0.07051949025560855	20.241820746132998	19.228480342780966
GSE180581_DNAPKcs	XRCC6	tested	1084.7164601627564	0.13057343904883018	0.10653254056182496	1.2256671845073794	0.22032394396688648	0.985297726856515	0.14246936104230556	1142.246660724575	1034.7439147709686
GSE180581_DNAPKcs	XRCC5	tested	1035.9398604097653	-0.09868358175813904	0.10350023180264324	-0.9534624226379638	0.3403558267630402	0.985297726856515	-0.09069332568792454	1007.0930705022289	1072.4999805629889
GSE180581_DNAPKcs	PRKDC	tested	2371.4060066086317	-1.6964197013197846	0.09947307606105871	-17.054058932273147	3.2608215836559936e-65	3.117997598291861e-61	-1.6871710458206213	1125.9352491411037	3628.009088953769
GSE180581_DNAPKcs	XRCC4	tested	18.82964773621314	0.23149388870636517	0.402852134824593	0.57463736367479	0.5655365771031122		0.24789851782613592	20.61639134161156	17.20364277658346
GSE180581_DNAPKcs	LIG4	tested	26.514890914789714	-0.40108038940376795	0.35025123814494985	-1.1451219745232784	0.2521586338788996		-0.38237693705694564	22.995644110302806	30.278026251316053
GSE180581_DNAPKcs	NHEJ1	below_count_filter							-0.1501190263081047	2.9328789523568397	3.3641624634250795
GSE180581_DNAPKcs	DCLRE1C	tested	93.86425693893561	-0.0627392274444272	0.20742910337421236	-0.3024610646426144	0.7623006102114377	0.985297726856515	-0.06730485832478283	91.92567174638485	96.36357017613064
GSE180581_DNAPKcs	PAXX	tested	149.68648984670992	0.08145447099492245	0.17574687393355823	0.463476073126152	0.6430231614555062	0.985297726856515	0.10043617349090894	155.41411942828577	144.89541818467612
GSE180581_DNAPKcs	APLF	tested	21.105886498804725	-0.13161346494621998	0.40670055292987567	-0.3236127022647867	0.7462312700428055		-0.13798443126257798	20.188349307584044	22.31495474286645
GSE135274_XRCC4	XRCC6	tested	2787.5671678213293	0.2333435136113525	0.11027722632372941	2.1159719136057173	0.03434719638223364	0.20436234203740936	0.2523190464729552	3037.76946536376	2550.186172441067
GSE135274_XRCC4	XRCC5	tested	2536.533548884412	0.39929899967968646	0.10599961908444076	3.766985231914837	0.00016523077087200573	0.004223082985091677	0.4188588734785945	2909.179616245832	2175.861054400133
GSE135274_XRCC4	PRKDC	tested	6140.841380255003	0.4564753694455592	0.11191890459188736	4.078626136577177	4.530262095869644e-05	0.0014713340182635195	0.47410884755460536	7155.613435102852	5151.1271807152025
GSE135274_XRCC4	XRCC4	tested	56.191729430846976	-0.5381584574899656	0.41235939821525774	-1.3050714008682271	0.19186853604248422	0.5480559713924895	-0.49645858339653604	46.47887493360093	65.9806479579599
GSE135274_XRCC4	LIG4	tested	68.82969636291502	0.12372025884940313	0.34195444279178355	0.36180333800995984	0.7174989975342785	0.9185143416823293	0.14620035286504507	72.53543042488184	65.44861713168957
GSE135274_XRCC4	NHEJ1	tested	122.39608981601654	0.3657636541173278	0.25990512675981875	1.407296803557608	0.15933939678099096	0.49704252797933424	0.3821568164139757	138.97769765355025	106.40343745009035
GSE135274_XRCC4	DCLRE1C	tested	45.96836996219807	-0.31274419881074833	0.4119706596941299	-0.759141922978076	0.4477676631808971	0.7871418086151027	-0.2931172610812727	41.191247289528334	50.69629897633375
GSE135274_XRCC4	PAXX	tested	548.5036605679691	0.24799460484190156	0.14685457763702722	1.6887087132881677	0.0912752650254016	0.36811453486267076	0.2673491934986494	600.2457074901158	498.5418320282911
GSE135274_XRCC4	APLF	below_count_filter							0.719550556856974	2.9551346298580796	1.4019002653761934
GSE135274_XRCC4_within_mirin	XRCC6	tested	2909.221140093725	0.3728018614006154	0.08064747492714092	4.622610462849762	3.7894090553572497e-06	0.00011625292483070309	0.37694555743751934	3292.9121057769125	2535.530488620502
GSE135274_XRCC4_within_mirin	XRCC5	tested	2350.334649638155	0.23830877189412839	0.08446581011654714	2.821363715866888	0.004781995123717042	0.039912078418611864	0.24217842392310907	2551.2696260969988	2156.8615777823215
GSE135274_XRCC4_within_mirin	PRKDC	tested	5743.981235600424	0.2649708680301396	0.08086363439648775	3.276761797904651	0.0010500491557948151	0.012249854026132524	0.26943572624984746	6290.187161984233	5218.4455350076805
GSE135274_XRCC4_within_mirin	XRCC4	tested	63.38624536386567	-0.3441273628788333	0.32184185440069074	-1.0692436616724101	0.2849598893838531	0.5795699165733948	-0.3353322672070771	56.01187283867425	70.93005274236852
GSE135274_XRCC4_within_mirin	LIG4	tested	68.04572402565664	-0.12865988369067832	0.30606943922218316	-0.42036174541843435	0.674221209579789	0.8666158928705906	-0.12489644748535955	65.14323637950211	71.12453365727187
GSE135274_XRCC4_within_mirin	NHEJ1	tested	123.21425558747788	0.23431869408201214	0.23273887464774343	1.006787948238814	0.3140366873722129	0.6070555923640989	0.23370121836453084	133.44963919685705	113.34273192667555
