accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	data_type	accessibility_page	organization	n_files	file_names	related_accessions	publications	desc_lung	desc_ici	desc_neoadjuvant	desc_mpr_keyword	desc_gene_keyword	priority
OMIX001649	PRJCA011026	Primary liver cancer treated with lenvatinib plus PD-1	Homo	Open	2025-08-15	https://ngdc.cncb.ac.cn/omix/release/OMIX001649	False	True	False	False	False	ici	True	Revealing the tumor mocroenvironment of primary liver cancer,	Expression Profiling	Open-access	Zhongshan Hospital, Fudan University	0		OMIX001649;PRJCA011026	OMIX001649-01 | OMIX001649-02 | OMIX001649-03 | PCK1 and ALDH1A1 are identified as biomarkers for inherent drug resistance in hepatocellular carcinoma	False	True	False	False	False	0
OMIX001734	PRJCA011591	Validation of a highly sensitive Sanger sequencing in detecting EGFR mutations from circulating tumor DNA in patients with lung cancers	Homo sapiens	Open	2024-09-27	https://ngdc.cncb.ac.cn/omix/release/OMIX001734	True	False	False	False	False	lung	True	This study aimed to evaluate the performance of the BDA Sanger method for the EGFR mutation detection in the ctDNA from lung cancer patients. A total of 195 plasma samples of lung cancer patients were included.	Clinical Research data	Open-access	Zhongshan Hospital, Fudan University	1	OMIX001734-01.xlsx	OMIX001734;PRJCA011591	OMIX001734-01	True	False	False	False	False	0
OMIX001801	PRJCA011760	PD-L1, CD8 IHC; PIK3CA mutation	Homo sapiens	Open	2024-09-27	https://ngdc.cncb.ac.cn/omix/release/OMIX001801	False	True	False	False	False	ici	True	This is biomarker data about the HR(+)\HER2(-) breast cancer patients including test :PD-L1, CD8 IHC and PIK3CA mutation.	Biomarker Data	Open-access	Fudan University Shanghai Cancer Center	1	OMIX001801-01.zip	OMIX001801;PRJCA011760	OMIX001801-01	False	True	False	False	False	0
OMIX002441	PRJCA006026	Single-cell transcriptomic profiling reveals the tumor heterogeneity of small-cell lung cancer	Homo sapiens	Open	2024-02-28	https://ngdc.cncb.ac.cn/omix/release/OMIX002441	True	False	False	False	False	lung	True	Here, we performed high-precision single-cell transcriptomic analysis of ~5000 individual cells from primary tumors (PTs) and matched normal adjacent tissues (NATs) from 11 SCLC patients, including one patient with both PT and relapsed tumor (RT). We revealed a heterogeneous cellular architecture of this malignant cancer at single-cell resolution.	Expression Profiling	Open-access	Peking University	2	OMIX002441-01.csv;OMIX002441-02.csv	OMIX002441;PRJCA006026	OMIX002441-01 | OMIX002441-02 | A four gene risk score model for prognosis and immune microenvironment insights in small cell lung cancer based on CAF functional-related genes | ATAD2 is a potential immunotherapy target for patients with small cell lung cancer harboring HLA-A∗0201 | Single-cell transcriptomic profiling reveals the tumor heterogeneity of small-cell lung cancer | A DNA Nanomachine Modulates the Stemness-Associated Signaling Pathways for Overcoming Chemoresistance by Temporally Pro	True	False	False	False	False	0
OMIX002491	PRJCA013618	lung cancer imaging	Homo sapiens	Open	2024-10-11	https://ngdc.cncb.ac.cn/omix/release/OMIX002491	True	False	False	False	False	lung	True	lung cancer imaging	Other Type of Image Data	Open-access	The third affiliated hospital of Kunming Medical University	1	OMIX002491-01.zip	OMIX001292;OMIX002491;PRJCA013618	OMIX002491-01 | Proteogenomic analysis of air-pollution-associated lung cancer reveals prevention and therapeutic opportunities | Proteogenomic analysis of air-pollution-associated lung cancer reveals prevention and therapeutic opportunities	True	False	False	False	False	0
OMIX002520	PRJCA013670	Untargeted metabolomics of sera from mouse with lung cancer induced cachexia	Mus musculus	Open	2024-03-18	https://ngdc.cncb.ac.cn/omix/release/OMIX002520	True	False	False	False	False	lung	True	Cancer cachexia is a multifactorial syndrome featured by a rapid reduction of body weight and accounts for 20-40% of cancer-related death. However, its underlying mechanism is poorly understood. We performed untargeted metabolomics analysis of serum samples from 4 health and 4 cachectic mouse to investigate the cachexia related metabolic change. In the cachexia group,1x106 LLC cells in 100 ul PBS was subcutaneously injected to the right flank of mice. Serum samples were collected 24 days after cancer cells injection. Untargeted LC-MS profiling of polar metabolites was performed on a UPLC (Waters Corp, ACQUITY I-Class) coupled with tandem ESI-QTOF mass spectrometry (Waters Corp, Synapt G2-Si). The acquired MS data pretreatment were performed using the Progenesis QI software. The online HMDB database was used to align the molecular mass data (m/z) and label the possible metabolite of each peak. This work identified differential metabolites in sera form cachectic mouse.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Peking University	1	OMIX002520-01.zip	OMIX002511;OMIX002520;OMIX002525;PRJCA013670	OMIX002520-01 | Activation of GPR81 by lactate drives tumour-induced cachexia	True	False	False	False	False	0
OMIX002525	PRJCA013670	Phosphoproteomics analysis of adipose tissue from mice with lung cancer induced cachexia	Mus musculus	Open	2024-03-18	https://ngdc.cncb.ac.cn/omix/release/OMIX002525	True	False	False	False	False	lung	True	Cancer cachexia is a multifactorial syndrome featured by a rapid reduction of body weight and accounts for 20-40% of cancer-related death. The wasting of adipose tissue has an important role in the occurrence of cachexia. GPR81 knockout mice was resistant to the cachexia induced body weight loss. We performed phosphoproteome analysis of inguinal white adipose tissue from health and cachectic mice to investigate the cachexia induced alternation in adipose tissue. In the cachexia group, 1*106 LLC cells were subcutaneously injected to the right flank of WT and GPR81 knockout mice. Tissue samples were collected 24 days after cancer cells injection.The phosphopeptides were analyzed by Easy-NLC 1200 liquid chromatography system (Thermo Fisher Scientific, USA) coupled to Orbitrap Fusion Lumos LC-MS/MS system (Thermo Fisher Scientific, USA). This work revealed the mechanism underlying the GPR81 promoting cachexia.	Proteomic Data by Mass Spectrometry (MS)	Open-access	Peking University	1	OMIX002525-01.zip	OMIX002511;OMIX002520;OMIX002525;PRJCA013670	OMIX002525-01 | Activation of GPR81 by lactate drives tumour-induced cachexia	True	False	False	False	False	0
OMIX002700	PRJCA008045	Single-cell atlases link macrophages and CD8+ T-cell subpopulations to disease progression and immunotherapy response in urothelial carcinoma	Homo sapiens	Open	2026-03-03	https://ngdc.cncb.ac.cn/omix/release/OMIX002700	False	True	False	False	False	ici	True	We performed single-cell RNA sequencing of 13 surgical tissue specimens obtained from 12 patients with UTUC.	Other Type of Genomic Data	Open-access	The Third Medical Center of Chinese PLA General Hospital	0		OMIX002700;PRJCA008045	OMIX002700-01	False	True	False	False	False	0
OMIX002797	PRJCA014383	A Randomized, Double-Blind, Multicenter, Phase III Study to Compare Clinical Efficacy and Safety of HLX10 (Recombinant Humanized Anti-PD-1 Monoclonal Antibody Injection) in Combination with Chemotherapy (Carboplatin-Etoposide) in Previously Untreated Patients with ES-SCLC	Homo sapiens	Open	2023-01-13	https://ngdc.cncb.ac.cn/omix/release/OMIX002797	True	True	False	False	False	lung+ici	True	PK and ADA samples of HLX10 or placebo are collected and sent to the central laboratory for evaluation. PK and ADA samples for HLX10 or placebo will be collected at the following time points:Within 7 days pre-dose in Cycle 1, within 3 days pre-dose in Cycles 2, 4, 6, 8 and every 4 cycles thereafter, within 2 hours after the end of dosing in Cycles 1 and 8 of treatment period (for PK only), and at EOT visit and safety follow-up.	Other Type of Clinical information	Open-access	Jilin Cancer Hospital	1	OMIX002797-01.zip	OMIX002797;PRJCA014383	OMIX002797-01	True	True	False	False	False	1
OMIX002798	PRJCA014383	A Randomized, Double-Blind, Multicenter, Phase III Study to Compare Clinical Efficacy and Safety of HLX10 (Recombinant Humanized Anti-PD-1 Monoclonal Antibody Injection) in Combination with Chemotherapy (Carboplatin-Etoposide) in Previously Untreated Patients with ES-SCLC	Homo sapiens	Open	2023-01-13	https://ngdc.cncb.ac.cn/omix/release/OMIX002798	True	True	False	False	False	lung+ici	True	At screening, blood samples and tumor tissue samples must be collected for biomarkers detecting	Biomarker Data	Open-access	Jilin Cancer Hospital	1	OMIX002798-01.zip	OMIX002798;PRJCA014383	OMIX002798-01	True	True	False	False	False	1
OMIX002849	PRJCA014099	PCR amplicon sequences	Bacteria	Open	2025-01-21	https://ngdc.cncb.ac.cn/omix/release/OMIX002849	False	False	False	True	False	mpr_keyword	True	PCR amplicon sequences of VFGs from four types of bacteria	Other Type of Genomic Data	Open-access	Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences	1	OMIX002849-01.rar	OMIX002849;PRJCA014099	OMIX002849-01	False	False	False	True	False	0
OMIX002961	PRJCA014835	Association Of Variations In The CAT And Prognosis In Lung Cancer Patients With Platinum-based Chemotherapy	Homo sapiens	Open	2023-03-01	https://ngdc.cncb.ac.cn/omix/release/OMIX002961	True	False	False	False	False	lung	True	The objective of this study is to find the relationship between the polymorphisms of DNA repair genes with the prognosis in platinum-based chemotherapy in lung cancer patients.	Other Type of Genomic Data	Open-access	Xiangya Hospital Central South University	0		OMIX002961;PRJCA014835	OMIX002961-01 | Association of variations in the CAT and prognosis in lung cancer patients with platinum-based chemotherapy	True	False	False	False	False	0
OMIX002974	PRJCA014947	Data from nCounter PanCancer IO360TM panel sequencing of a ALK rearranged locally advanced lung adenocarcinoma	Homo sapiens	Open	2023-08-15	https://ngdc.cncb.ac.cn/omix/release/OMIX002974	True	False	False	False	False	lung	True	Here, we present a patient with locally advanced lung adenocarcinoma associated with EML4-ALK fusion mutation, who received neoadjuvant chemotherapy and alectinib treatment, and then underwent thoracoscopic left lower lung lobectomy. Multi-point tumor specimen sampling was postoperatively performed. Tumor immune-related gene expression was detected in the sample with the help of the PanCancer IO360TM panel based on the nCounter platform. This clarified intratumor heterogeneity at the immune landscape level.	Expression Profiling	Open-access	Tianjin Medical University General Hospital	0		OMIX002974;PRJCA014947	OMIX002974-01 | Case Report: ALK rearranged locally advanced lung adenocarcinoma showing inconsistent radiographic findings and pathological responses during neoadjuvant alectinib therapy	True	False	True	False	False	1
OMIX003005	PRJCA014995	A systemic infection involved in lung, brain and spine caused by Scedosporium apiospermum species complex after near-drowning: a case report and literature review	Scedosporium apiospermum	Open	2024-04-01	https://ngdc.cncb.ac.cn/omix/release/OMIX003005	True	False	False	False	False	lung	True	Scedosporium apiospermum species complex (S. apiospermum) are a widely distributed fungusi that can be found in a variety of polluted environments, including soil, sewage, and decaying vegetation.	Other Type of Genomic Data	Open-access	BGI	1	OMIX003005-03.zip	OMIX003005;PRJCA014995	OMIX003005-03 | A systemic infection involved in lung, brain and spine caused by Scedosporium apiospermum species complex after near-drowning: a case report and literature review	True	False	False	False	False	0
OMIX003147	PRJCA015245	Human embryonic lung single-cell transcriptome data and spatial transcriptome data	Homo sapiens	Open	2024-06-20	https://ngdc.cncb.ac.cn/omix/release/OMIX003147	True	False	False	False	False	lung	True	Single-cell transcriptome profiles of early lung development of human embryos weeks 4-8 post-fertilization were obtained by 10x Genomics Chromium platform. Spatial transcriptomic data of 6 week's lung tissue sections were by 10x Visium technique. Single-cell transcriptome profiles of mouse enbryonic lung development from E12-E14 were obtained by 10x Genomics Chromium platform.	Expression Profiling	Open-access	Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences	8	OMIX003147-08.h5ad;OMIX003147-11.h5ad;OMIX003147-06.h5ad;OMIX003147-12.h5ad;OMIX003147-09.h5ad;OMIX003147-07.h5ad;OMIX003147-13.csv;OMIX003147-10.h5ad	OMIX003147;PRJCA015245	OMIX003147-06 | OMIX003147-07 | OMIX003147-08 | OMIX003147-09 | OMIX003147-10 | OMIX003147-11 | OMIX003147-12 | OMIX003147-13	True	False	False	False	False	0
OMIX003268	PRJCA015451	Development of multiplex drop-off digital PCR assays for hotspot mutation detection of KRAS, NRAS, BRAF and PIK3CA in the plasma of colorectal cancer patients	Homo sapiens	Open	2023-03-10	https://ngdc.cncb.ac.cn/omix/release/OMIX003268	False	False	False	True	False	mpr_keyword	True	We developed novel multiplex drop-off digital PCR (MDO-dPCR) assays, by combining amplitude-/ratio-based multiplexing with drop-off/double drop-off strategies, which allow for detection of at least 69 most frequent hotspot mutations in all four genes with only three reactions. We assessed the analytical performance of the assays using synthetic oligonucleotides, further validated on plasma cfDNA samples from a large cohort of CRC patients and compared with next generation sequencing (NGS) data.	Other Type of Clinical information	Open-access	Zhongshan Hospital, Fudan University	1	OMIX003268-01.xlsx	OMIX003268;PRJCA015451	OMIX003268-01	False	False	False	True	False	0
OMIX003408	PRJCA015596	A Phase III Randomised, Double-Blind, Placebo-Controlled, Multicentre Study of Durvalumab in Combination with Chemotherapy and Bevacizumab, Followed by Maintenance Durvalumab, Bevacizumab and Olaparib in Newly Diagnosed Advanced Ovarian Cancer Patients (DUO-O)	Homo sapiens	Open	2023-03-22	https://ngdc.cncb.ac.cn/omix/release/OMIX003408	False	True	False	False	False	ici	True	A Phase III Randomised, Double-Blind, Placebo-Controlled, Multicentre Study of Durvalumab in Combination with Chemotherapy and Bevacizumab, Followed by Maintenance Durvalumab, Bevacizumab and Olaparib in Newly Diagnosed Advanced Ovarian Cancer Patients (DUO-O) study will assess the efficacy and safety of durvalumab and olaparib when added to standard of care (SoC) in patients with newly diagnosed advanced ovarian cancer.The study consists of 2 independent cohorts which are defined by the breast cancer sensitivity gene (BRCA) mutated (BRCAm) status, based on testing of tumour tissue (ie, tBRCAm status) of the patients.	Clinical Research data	Open-access	West China The Second Hospital	1	OMIX003408-02.7z	OMIX003408;PRJCA015596	OMIX003408-02	False	True	False	False	False	0
OMIX003417	PRJCA015596	A Phase III Randomised, Double-Blind, Placebo-Controlled, Multicentre Study of Durvalumab in Combination with Chemotherapy and Bevacizumab, Followed by Maintenance Durvalumab, Bevacizumab and Olaparib in Newly Diagnosed Advanced Ovarian Cancer Patients (DUO-O)	Homo sapiens	Open	2023-03-22	https://ngdc.cncb.ac.cn/omix/release/OMIX003417	False	True	False	False	False	ici	True	A Phase III Randomised, Double-Blind, Placebo-Controlled, Multicentre Study of Durvalumab in Combination with Chemotherapy and Bevacizumab, Followed by Maintenance Durvalumab, Bevacizumab and Olaparib in Newly Diagnosed Advanced Ovarian Cancer Patients (DUO-O) study will assess the efficacy and safety of durvalumab and olaparib when added to standard of care (SoC) in patients with newly diagnosed advanced ovarian cancer. The study consists of 2 independent cohorts which are defined by the breast cancer sensitivity gene (BRCA) mutated (BRCAm) status, based on testing of tumour tissue (ie, tBRCAm status) of the patients.	Other Type of Genomic Data	Open-access	West China The Second Hospital	0		OMIX003417;PRJCA015596	OMIX003417-01	False	True	False	False	False	0
OMIX004036	PRJCA016919	Microbiota: Multiomics Profiling Uncovers Pan-Cancer T-Cell Dynamics in Immunotherapy Response	microbial eukaryotic metagenome	Open	2024-09-12	https://ngdc.cncb.ac.cn/omix/release/OMIX004036	False	True	False	False	False	ici	True	16S rDNA sequencing dataset	Other Type of Genomic Data	Open-access	Anonymous	1	OMIX004036-01.tar	OMIX004032;OMIX004035;OMIX004036;OMIX004037;OMIX004038;PRJCA016919	OMIX004036-01 | Deciphering immune predictors of immunotherapy response: A multiomics approach at the pan-cancer level | Protocol for decoding immune predictors of response to immunotherapy through pan-cancer multiomics analysis | A single-cell pan-cancer analysis to show the variability of tumor-infiltrating myeloid cells in immune checkpoint blockade	False	True	False	False	False	0
OMIX004037	PRJCA016919	Metabolomics: Multiomics Profiling Uncovers Pan-Cancer T-Cell Dynamics in Immunotherapy Response	microbial eukaryotic metagenome	Open	2024-09-12	https://ngdc.cncb.ac.cn/omix/release/OMIX004037	False	True	False	False	False	ici	True	Metabolomics dataset	Metabolome Data by Mass Spectrometry (MS)	Open-access	Anonymous	1	OMIX004037-01.tar	OMIX004032;OMIX004035;OMIX004036;OMIX004037;OMIX004038;PRJCA016919	OMIX004037-01 | Deciphering immune predictors of immunotherapy response: A multiomics approach at the pan-cancer level | Protocol for decoding immune predictors of response to immunotherapy through pan-cancer multiomics analysis | A single-cell pan-cancer analysis to show the variability of tumor-infiltrating myeloid cells in immune checkpoint blockade	False	True	False	False	False	0
OMIX004221	PRJCA017255	The targets of PCr in GSCs	Homo sapiens	Open	2024-03-21	https://ngdc.cncb.ac.cn/omix/release/OMIX004221	False	False	False	True	False	mpr_keyword	True	Phosphocreatine (PCr) is a natural metabolite that provides energy for the high energy demand organs such as muscle and nerve tissues. To identify the direct targets of PCr, we covalently conjugated PCr onto magnetic beads and performed a magnetic bead pull-down assay with whole-cell extracts of GSCs, followed by LC-MS analysis.	Proteomic Data by Mass Spectrometry (MS)	Open-access	National Center of Biomedical Analysis	4	OMIX004221-02.raw;OMIX004221-04.raw;OMIX004221-01.raw;OMIX004221-03.raw	OMIX004221;PRJCA017255	OMIX004221-01 | OMIX004221-02 | OMIX004221-03 | OMIX004221-04 | Phosphocreatine promotes epigenetic reprogramming to facilitate glioblastoma growth through stabilizing BRD2	False	False	False	True	False	0
OMIX004444	PRJCA018003	Plasma metabolic signatures uncover therapeutic response and prognosis of third-generation EGFR-TKI treatment in patients with NSCLC-the proteomic data	Homo sapiens	Open	2024-07-18	https://ngdc.cncb.ac.cn/omix/release/OMIX004444	True	False	False	False	False	lung	True	Advanced EGFR T790M-mutated non-small cell lung cancer (NSCLC) inevitably develops resistance to third-generation EGFR tyrosine kinase inhibitors (EGFR-TKIs) therapy. Metabolic reprogramming support EGFR-TKI resistance, while thorough metabolomics clinical studies are limited. Here, we enrolled 186 NSCLC patients from Phase I and IIa clinical studies and characterized responsive metabolic features of third-generation EGFR-TKI. Our study included locally advanced or metastatic NSCLC patients from the open-label, single-arm, phase I/IIa study of BPI-7711(NCT03386955). Tumor diagnosis was confirmed by histology or cytology, with EGFR-sensitive mutations (including Exon19Deletion, L858R, G719X, L861QandS768I). Two hundred and twenty plasma samples of 186 patients were collected in 16 hospitals (220 for metabolism,49 for WES and 14 for proteomics).	Other Type of Proteomic Data	Open-access	National Cancer Center/Cancer Hospital, Chinese Academy of Medical Sciences	14	OMIX004444-13.raw;OMIX004444-16.raw;OMIX004444-10.raw;OMIX004444-11.raw;OMIX004444-05.raw;OMIX004444-09.raw;OMIX004444-15.raw;OMIX004444-04.raw;OMIX004444-07.raw;OMIX004444-08.raw;OMIX004444-12.raw;OMIX004444-03.raw;OMIX004444-14.raw;OMIX004444-17.raw	OMIX004444;PRJCA018003	OMIX004444-03 | OMIX004444-04 | OMIX004444-05 | OMIX004444-05 | OMIX004444-07 | OMIX004444-08 | OMIX004444-09 | OMIX004444-10	True	False	False	False	False	0
