accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why
OMIX004612	PRJCA018452	Pathological sections stained by H&E using the lung tissues from hamsters infected by SARS-CoV-2 for 7 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004612	True	False	False	False	False	lung
OMIX004613	PRJCA018452	Pathological sections detected by immunohistochemistry (IHC) using the lung tissues from hamsters infected by SARS-CoV-2 for 7 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004613	True	False	False	False	False	lung
OMIX004614	PRJCA018452	Pathological sections detected by in situ hybridization (ISH) using the lung tissues from hamsters infected by SARS-CoV-2 for 7 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004614	True	False	False	False	False	lung
OMIX004625	PRJCA018452	PBS control of lung draining lymph nodes	Mus	Open	2026-01-01	https://ngdc.cncb.ac.cn/omix/release/OMIX004625	True	False	False	False	False	lung
OMIX004626	PRJCA018452	OC43 infected mouse lung draining lymph nodes	Mus	Open	2026-01-01	https://ngdc.cncb.ac.cn/omix/release/OMIX004626	True	False	False	False	False	lung
OMIX004639	PRJCA018645	Clinical Study Data of Short Course Chemotherapy Combined with Immunotherapy	Homo sapiens	Open	2025-01-06	https://ngdc.cncb.ac.cn/omix/release/OMIX004639	False	True	False	False	False	ici
OMIX004739	PRJCA019029	Spatially organized tumor-stroma boundary determines the efficacy of immunotherapy in colorectal cancer patients	Homo sapiens	Open	2023-12-30	https://ngdc.cncb.ac.cn/omix/release/OMIX004739	False	True	False	False	False	ici
OMIX004924	PRJCA018944	Multiomics analysis reveals novel biomarkers in the mouse model of pulmonary tuberculosis	Mus musculus	Open	2024-01-10	https://ngdc.cncb.ac.cn/omix/release/OMIX004924	True	False	False	False	False	lung
OMIX004927	PRJCA018944	Multiomics analysis reveals novel biomarkers in the mouse model of pulmonary tuberculosis-proteomic	Mus musculus	Open	2024-01-10	https://ngdc.cncb.ac.cn/omix/release/OMIX004927	True	False	False	False	False	lung
OMIX005011	PRJCA020136	Nanopore sequencing technology reveals pulmonary nocardiosis caused by Nocardia otitidiscaviarum in an immunocompetent patient	Nocardia otitidiscaviarum	Open	2023-09-27	https://ngdc.cncb.ac.cn/omix/release/OMIX005011	True	False	False	False	False	lung
OMIX005058	PRJCA020330	LTBR acts as an immune checkpoint of tumour-associated macrophages	Mus	Open	2023-10-08	https://ngdc.cncb.ac.cn/omix/release/OMIX005058	False	True	False	False	False	ici
OMIX005363	PRJCA021927	Metagenomic, transcriptomic, and proteomic sequencing of lung adenocarcinoma	Homo sapiens	Open	2024-08-03	https://ngdc.cncb.ac.cn/omix/release/OMIX005363	True	False	False	False	False	lung
OMIX005419	PRJCA022215	MXSGD alleviates CsA-induced hypoimmunity lung injury by regulating microflora metabolism	Mus	Open	2024-03-02	https://ngdc.cncb.ac.cn/omix/release/OMIX005419	True	False	False	False	False	lung
OMIX005434	PRJCA022226	SC-RNAseq of PD-L1 overexpressed MC38 tumor in C57/B6 mice	Mus	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX005434	False	True	False	False	False	ici
OMIX005626	PRJCA022530	mouse lung proteomics data	Mus	Open	2024-01-10	https://ngdc.cncb.ac.cn/omix/release/OMIX005626	True	False	False	False	False	lung
OMIX005710	PRJCA016745	Single-cell profiling revealed tumor heterogeneity and microenvironment in surgically resectable esophageal squamous cell carcinoma with neoadjuvant chemoimmunotherapy	Homo sapiens	Open	2024-01-23	https://ngdc.cncb.ac.cn/omix/release/OMIX005710	False	True	True	False	False	ici+neoadjuvant
OMIX006016	PRJCA024159	Phosphorylation of AGO2 by TBK1 Promotes the Formation of Oncogenic miRISC in NSCLC	Homo sapiens	Open	2024-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX006016	True	False	False	False	False	lung
OMIX006019	PRJCA024188	Twist1 SUMOylation Drives Chemotherapy Resistance in Human Lung Cancer	Homo sapiens	Open	2025-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX006019	True	False	False	False	False	lung
OMIX006024	PRJCA023536	Lipidome in lung tissues from PR8-infected mice	Mus musculus	Open	2024-03-19	https://ngdc.cncb.ac.cn/omix/release/OMIX006024	True	False	False	False	False	lung
OMIX006131	PRJCA024874	metabolome of mouse lung cancer tissue	Mus musculus	Open	2026-01-30	https://ngdc.cncb.ac.cn/omix/release/OMIX006131	True	False	False	False	False	lung
OMIX006132	PRJCA024580	WGBS of lung adenocarcinoma	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX006132	True	False	False	False	False	lung
OMIX006133	PRJCA024580	ATAC_seq of lung adenocarcinoma	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX006133	True	False	False	False	False	lung
OMIX006134	PRJCA024580	RNA_seq of lung adenocarcinoma	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX006134	True	False	False	False	False	lung
OMIX006542	PRJCA021194	Gene Profile in EGFRm Locally Advanced or Metastatic NSCLC patients post Osimertinib 1L treatment failure: A real-world, multi-center Study (GPS)-Demographic data	Homo sapiens	Open	2025-12-23	https://ngdc.cncb.ac.cn/omix/release/OMIX006542	True	False	False	False	False	lung
OMIX006546	PRJCA021194	Gene Profile in EGFRm Locally Advanced or Metastatic NSCLC patients post Osimertinib 1L treatment failure: A real-world, multi-center Study (GPS)-Other informatio	Homo sapiens	Open	2025-12-23	https://ngdc.cncb.ac.cn/omix/release/OMIX006546	True	False	False	False	False	lung
OMIX006547	PRJCA021194	Gene Profile in EGFRm Locally Advanced or Metastatic NSCLC patients post Osimertinib 1L treatment failure: A real-world, multi-center Study (GPS)-Genomics Data	Homo sapiens	Open	2025-12-23	https://ngdc.cncb.ac.cn/omix/release/OMIX006547	True	False	False	False	False	lung
OMIX006685	PRJCA027052	Metagenomic Next Generation Sequencing for Identifying Pulmonary Infection Pathogens in Liver Transplant Patients	Bacteria	Open	2024-06-18	https://ngdc.cncb.ac.cn/omix/release/OMIX006685	True	False	False	False	False	lung
OMIX006712	PRJCA027246	Estrogen oppositely regulates pulmonary hypertension via METTL3/PFKFB3 under normoxia and hypoxia	Rattus norvegicus	Open	2024-10-14	https://ngdc.cncb.ac.cn/omix/release/OMIX006712	True	False	False	False	False	lung
OMIX006787	PRJCA018003	Plasma metabolism of third-generation EGFR-TKI treatment in patients with NSCLC	Homo sapiens	Open	2024-07-10	https://ngdc.cncb.ac.cn/omix/release/OMIX006787	True	False	False	False	False	lung
OMIX006889	PRJCA028123	Inactivation of Malic Enzyme 1 in Endothelial  Cells Alleviates Pulmonary Hypertension	Homo sapiens	Open	2024-07-17	https://ngdc.cncb.ac.cn/omix/release/OMIX006889	True	False	False	False	False	lung
OMIX006909	PRJCA028263	Transcriptional data of lung plasmacytoid dendritic cells in allergic asthma mice	Mus musculus	Open	2024-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX006909	True	False	False	False	False	lung
OMIX007132	PRJCA029104	metabolome of ABX treated mouse lung cancer tissue	Mus musculus	Open	2024-12-30	https://ngdc.cncb.ac.cn/omix/release/OMIX007132	True	False	False	False	False	lung
OMIX007331	PRJCA019766	The genetic test result data  of a research about non-small cell lung cancer with abnormal c-Met.for the articles	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007331	True	False	False	False	False	lung
OMIX007474	PRJCA030444	Envafolimab plus lenvatinib and TACE in uHCC	Homo sapiens	Open	2024-10-01	https://ngdc.cncb.ac.cn/omix/release/OMIX007474	False	True	False	False	False	ici
OMIX007478	PRJCA030465	Artificial Synthesis of Functional Immunomolecules and Their Application in Tumor Immunotherapy	mixed sample	Open	2026-01-30	https://ngdc.cncb.ac.cn/omix/release/OMIX007478	False	True	False	False	False	ici
OMIX007479	PRJCA030468	Epigenetic study of lung cancer	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX007479	True	False	False	False	False	lung
OMIX007501	PRJCA030487	WES data of small cell lung cancer	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007501	True	False	False	False	False	lung
OMIX007502	PRJCA030487	Transcriptomic of small cell lung cancer	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007502	True	False	False	False	False	lung
OMIX007503	PRJCA030487	Proteomic data of small cell lung cancer	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007503	True	False	False	False	False	lung
OMIX007590	PRJCA030919	Plasma metabolomics in EGC patients during PD-L1 based immunotherapy	Homo sapiens	Open	2024-10-08	https://ngdc.cncb.ac.cn/omix/release/OMIX007590	False	True	False	False	False	ici
OMIX007643	PRJCA031228	RNA-Seq Analysis of Gene Expression in STX12 Knockout Mice Lung Tissue	Mus musculoides	Open	2024-10-16	https://ngdc.cncb.ac.cn/omix/release/OMIX007643	True	False	False	False	False	lung
OMIX007696	PRJCA031510	Identification of Serum Metabolites to improve diagnostic efficacy in pulmonary embolism	Homo sapiens	Open	2024-10-25	https://ngdc.cncb.ac.cn/omix/release/OMIX007696	True	False	False	False	False	lung
OMIX007747	PRJCA031787	Effect of cyclosporin A on lung tissue damage and lung and gut microbiota in mice by immunosuppression	Mus	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007747	True	False	False	False	False	lung
OMIX007816	PRJCA032109	Tryptophan metabolism of lower respiratory tract flora in patients with lung cancer	Homo	Open	2024-11-11	https://ngdc.cncb.ac.cn/omix/release/OMIX007816	True	False	False	False	False	lung
OMIX007874	PRJCA030083	Intermittent Hypoxia Induces Changes in the Pulmonary Microbiome and Metabolites in a Mouse Model of Obstructive Sleep Apnea Syndrome	Mus musculus	Open	2024-11-13	https://ngdc.cncb.ac.cn/omix/release/OMIX007874	True	False	False	False	False	lung
OMIX007918	PRJCA032353	Cholesterol biosynthesis induced by targeted therapy promote quiescence cell survival and drug resistance in lung cancer 2	Homo sapiens	Open	2026-01-14	https://ngdc.cncb.ac.cn/omix/release/OMIX007918	True	False	False	False	False	lung
