accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why
HRA019191	PRJCA066560	Tumor-Distal Mediastinal Lymph Nodes Harbor Tumor-Related Progenitor Exhausted T Cells in Lung Cancer After Neoadjuvant Chemoimmunotherapy	Tianjin Medical University Cancer Institute and Hospital	1	Controlled	0	2026-07-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019191	True	True	True	False	False	lung+ici+neoadjuvant
HRA008040	PRJCA027616	Malignant pleural effusion facilitates the establishment and maintenance of tumor organoid biobank with multiple patient-derived lung tumor cell sources	Affiliated Zhongshan Hospital of Dalian University	1	Controlled	0	2026-07-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008040	True	False	False	False	False	lung
HRA019354	PRJCA055240	Diagnosis and mechanisms study of lung allograft rejection and infection after lung transplantation	Guangzhou National Laboratory	1	Controlled	0	2026-07-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019354	True	False	False	False	False	lung
HRA014150	PRJCA049240	Pan-Cancer Analysis of WSB1 and Its Mechanism of Action in Regulating the Proliferative Capacity of Lung Adenocarcinoma	North China University of Science and Technology	0	Open	0	2025-11-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014150	True	False	False	False	False	lung
HRA019325	PRJCA067686	TCR and BCR repertoire sequencing of peripheral blood from patients with primary head and neck squamous cell carcinoma receiving preoperative chemoimmunotherapy	Peking University School and Hospital of Stomatology	0	Open	0	2026-07-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019325	False	True	False	False	False	ici
HRA010884	PRJCA037324	Single-cell sequencing reveals the immune microenvironment of MSS/MMRp locally advanced rectal cancer treated by radiotherapy combined with immunotherapy	Peking University People's Hospital	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010884	False	True	False	False	False	ici
HRA016230	PRJCA055708	Camrelizumab and Apatinib in Combination with Intensity-modulated Radiotherapy in Unresectable Hepatocellular Carcinoma: a Non-randomised, Open-Label Phase II Study	Beijing Institute for Cancer Research and Prevention / Peking University Cancer Hospital	1	Controlled	0	2026-06-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016230	False	True	True	False	False	ici+neoadjuvant
HRA019054	PRJCA031911	Cofilin1-driven cytoskeletal remodeling licenses pan-cancer CD8+ T cell immunotherapy responses	Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology	1	Controlled	0	2026-06-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019054	False	True	False	False	False	ici
HRA018765	PRJCA064786	Efficacy and Biomarker Exploration of Anlotinib Plus Penpulimab in Extensive-Stage Small Cell Lung Cancer After Failure of Platinum-Based Chemotherapy: Results from a Phase II Trial (ALTER-L041)	Hunan Cancer Hospital	1	Controlled	0	2026-07-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018765	True	True	False	False	False	lung+ici
HRA007761	PRJCA027240	NSCLC METex14 skipping	Shanghai Chest Hospital, Shanghai Jiao Tong University	1	Controlled	0	2025-11-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007761	True	False	False	False	False	lung
HRA018514	PRJCA062506	Transcriptomic analysis of transformed small cell lung cancer from EGFR-mutated lung adenocarcinoma reveals distinct subgroupsand precision therapy opportunities	Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, 510080, China	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018514	True	False	False	False	False	lung
HRA018478	PRJCA026938	Perioperative tislelizumab plus chemotherapy for tsMHC-II-positive/negative locally advanced gastric cancer: a randomized, prospective phase 2 trial	Zhejiang Cancer Hospital	1	Controlled	0	2026-08-03	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018478	False	True	True	False	False	ici+neoadjuvant
HRA017912	PRJCA061004	Co-culturing Lung Cancer Organoids and Lymphocytes Derived from Malignant Serous Effusion Potentially Implements Personalized Immunotherapy	Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, 510080, China	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017912	True	True	False	False	False	lung+ici
HRA007993	PRJCA027995	Phase 2 study of sintilimab combined with high-dose methotrexate, temozolomide, and rituximab in primary central nervous system lymphoma	First Affiliated Hospital of Fujian Medical University	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007993	False	True	False	False	False	ici
HRA016650	PRJCA057037	scRNA-seq of lung adenocarcinoma	First Hospital, Peking University	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016650	True	False	False	False	False	lung
HRA011844	PRJCA039315	Single-cell Landscape of Hepatocellular Carcinoma Neoadjuvant Immunotherapy Cohort Reveals Immune-suppressive Microenvironment and Poor Clinical Response Mediated by Lipid-associated TAMs	Qilu Hospital of Shandong University	1	Controlled	0	2026-07-28	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011844	False	True	True	False	False	ici+neoadjuvant
HRA007733	PRJCA026938	MHC-II+ cancer cells predict therapeutic response of neoadjuvant chemotherapy combined with immunotherapy in gastric cancer	Zhejiang Cancer Hospital	1	Controlled	0	2026-08-03	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007733	False	True	True	False	False	ici+neoadjuvant
HRA018998	PRJCA066220	Transcriptomic profiling of metastatic clear cell renal cell carcinoma based on 1-year [18F]FDG-PET/CT metabolic response to ICB therapy	General Hospital of Eastern Theater Command	1	Controlled	0	2026-06-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018998	False	True	False	False	False	ici
HRA007649	PRJCA026867	CRISPR screens identify GALE as an immune checkpoint of  Vg9Vd2 T cell-mediated killing	Fudan University Shanghai Cancer Center	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007649	False	True	False	False	False	ici
HRA013232	PRJCA045504	Bulk RNA-seq of Nilotinib induces Immunogenic Cuproptosis to Potentiate Cancer Immunotherapy	Xiangya Hospital, Central South University	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013232	False	True	False	False	False	ici
HRA007608	PRJCA026725	Long-read RNA sequencing enables full-length chimeric transcript annotation of transposable elements in lung adenocarcinoma	West China Hospital Sichuan University	1	Controlled	0	2026-05-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007608	True	False	False	False	False	lung
HRA016275	PRJCA056331	Pharmacological inhibition of BMX kinase overcomes the chemoresistance of small cell lung cancer through regulating E2F1 stability by ERK1/2-Cyclin D1-CDK4/6 axis	Hefei Institute of Physical Science, Chinese Academy of Sciences	1	Controlled	0	2026-01-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016275	True	False	False	False	False	lung
HRA007585	PRJCA026701	Platelet-mediated circulating tumor cell evasion from natural killer cell killing through immune checkpoint CD155-TIGIT	Zhongshan Hospital, Fudan University	1	Controlled	0	2025-01-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007585	False	True	False	False	False	ici
HRA018548	PRJCA047766	Uncovering ectopic GC-like niches for tumor reactive lymphocyte priming in lung adenocarcinoma using Stereo-XCR-seq	BGI	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018548	True	False	False	False	False	lung
HRA018700	PRJCA065039	Tailoring the Extent of Lymphadenectomy for Esophageal Squamous Cell Carcinoma: Insights from a Comparative Study of Neoadjuvant Chemo-immunotherapy and Surgery Cohort	Guangdong General Hospital	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018700	False	True	True	False	False	ici+neoadjuvant
HRA007543	PRJCA026292	Transcriptome analysis of lung adenocarcinoma of Chinese population	SIMM	1	Controlled	0	2025-10-21	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007543	True	False	False	False	False	lung
HRA018694	PRJCA064523	Epigenetic Dysregulation Permits E2F1 Activation-Mediated Neuroendocrine Transformation in EGFR-Mutant Lung Adenocarcinoma	Nanjing Medical University Affiliated Cancer Hospital	0	Open	0	2026-05-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018694	True	False	False	False	False	lung
HRA018204	PRJCA063285	High-Dose Furmonertinib as First-Line Treatment for Untreated EGFR-mutated Advanced NSCLC with Central Nervous System Metastases: A Phase 2 trial	Hunan Cancer Hospital	1	Controlled	0	2026-07-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018204	True	False	False	False	False	lung
HRA015717	PRJCA053292	Single-cell transcriptomic data of the immunotherapy cohort for hepatocellular carcinoma	Peking Union Medical College Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College	1	Controlled	0	2026-07-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015717	False	True	False	False	False	ici
HRA011882	PRJCA041484	Upregulation of Trop2 in Drug-Tolerant Persister Cells: A Therapeutic Opportunity for EGFR-Mutant Lung Cancer	Sun Yat-sen University Cancer Center	0	Open	0	2026-05-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011882	True	False	False	False	True	lung+gene_keyword
HRA017173	PRJCA032112	The role of OXCT1 in promoting immunotherapy resistance	Zhejiang University School of Medicine	1	Controlled	0	2026-07-21	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017173	False	True	False	False	False	ici
HRA018412	PRJCA035402	Transcriptomic analysis reveals lung cancer and subtype-specific alternative splicing biomarkers regulated by RNA-binding proteins	Fudan University	1	Controlled	0	2026-05-19	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018412	True	False	False	False	False	lung
HRA018426	PRJCA063740	The TNFR2M196R Germline Variant Confers Dual Impact on CAR-T Cell Immunotherapy by Enhancing T-cell Survival and Tumor Proliferation	the First Medical Center, Chinese PLA General Hospital	0	Open	0	2026-05-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018426	False	True	False	False	False	ici
HRA017080	PRJCA059205	Evolution of resistance to KRASG12C inhibitor in a non-small cell lung cancer responder	University of Macau	0	Open	0	2026-07-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017080	True	False	False	False	False	lung
HRA007012	PRJCA024519	PD-1 blockade unleashes local anti-hepatitis B virus humoral immunity targeting recurrent hepatocellular carcinoma	The First Affiliated Hospital, Sun Yat-sen University	1	Controlled	0	2026-07-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007012	False	True	False	False	False	ici
HRA007351	PRJCA025870	Sintilimab in Combination with Axitinib in Patients with Metastatic Fumarate Hydratase-deficient Renal Cell Carcinoma: Biomarker analysis of the SAFH trial	Sichuan University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007351	False	True	False	False	False	ici
HRA012960	PRJCA044877	Aldehyde Dehydrogenase 2 in macrophages confers resistance to tumor immunotherapy via epigenetic silencing of CXCL9	The First Affiliated Hospital of Chongqing Medical University	1	Controlled	0	2026-07-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012960	False	True	False	False	False	ici
HRA017905	PRJCA061385	scRNA-seq of lung cancer tissues	The First Affiliated Hospital of Chongqing Medical University	1	Controlled	0	2026-07-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017905	True	False	False	False	False	lung
HRA012130	PRJCA042219	Gasdermin C drives metabolic reprogramming in lung adenocarcinoma	Hefei Institutes of Physical Sciences, Chinese Academy of Science	0	Open	0	2026-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012130	True	False	False	False	False	lung
HRA018202	PRJCA045006	GSDMC-mediated epigenetic activation in lung adenocarcinoma	Hefei Institutes of Physical Sciences, Chinese Academy of Science	0	Open	0	2026-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018202	True	False	False	False	False	lung
HRA018234	PRJCA063439	MMP8 exacerbates sepsis-induced pulmonary vascular leakage by disruption of endothelial VE-cadherin through ERK signaling	The First Medical Center of Chinese PLA General Hospital	1	Controlled	0	2026-04-30	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018234	True	False	False	False	False	lung
HRA018144	PRJCA062917	PiggyBac-engineered membrane-bound IL-7 TILs combined with anti-PD-1 antibody demonstrates efficacy in recurrent ovarian cancer: a first-in-human phase 1 trial (WES)	The Affiliated Suzhou Hospital of Nanjing Medical University	1	Controlled	0	2026-07-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018144	False	True	False	False	False	ici
HRA007307	PRJCA017273	RNAseq data for HCC Response to Combined TACE and ICB Treatment	The First Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007307	False	True	False	False	False	ici
HRA007308	PRJCA017273	scRNAseq of HCC Response to Combined TACE and ICB Treatment	The First Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007308	False	True	False	False	False	ici
HRA007321	PRJCA025618	"Integrative Spatial Analysis Reveals Tumor Heterogeneity and Immune 
Colony Niche Related to Clinical-outcomes in Small Cell Lung Cancer (WES)"	Fudan University	1	Controlled	0	2026-06-30	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007321	True	False	False	False	False	lung
HRA007339	PRJCA025641	"Integrative Spatial Analysis Reveals Tumor Heterogeneity and Immune 
Colony Niche Related to Clinical-outcomes in Small Cell Lung Cancer (RNA-seq)"	Fudan University	1	Controlled	0	2026-06-30	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007339	True	False	False	False	False	lung
HRA016345	PRJCA054020	Durvalumab plus anlotinib versus durvalumab alone as maintenance treatment in extensive-stage small-cell lung cancer (DURABLE): a multicenter, randomized, phase II trial	Shanghai Chest Hospital	1	Controlled	0	2026-04-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016345	True	True	False	False	False	lung+ici
HRA017294	PRJCA059413	Pathogenic CD137+ IL-17+ atypical Treg is a unique feature of ICI-induced inflammatory arthritis and is abrogated by IL-6R blockade	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-04-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017294	False	True	False	False	False	ici
HRA018011	PRJCA060243	Surufatinib plus sintilimab, nab-paclitaxel and gemcitabine as first-line treatment in patients with PDAC	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018011	False	True	False	False	False	ici
HRA017797	PRJCA059178	A Multimodal Classifier to Stratify Response to Neoadjuvant Chemoimmunotherapy in Locally Advanced Esophageal Squamous Cell Carcinoma	Henan Cancer Hospital	1	Controlled	0	2026-05-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017797	False	True	True	False	False	ici+neoadjuvant
HRA017225	PRJCA059805	Transcriptomic analysis of SETD3 perturbation in lung cells: CRISPR knockout in PC9 cancer cells and siRNA-mediated knockdown in Beas normal cells	Wuhan University	1	Controlled	0	2026-07-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017225	True	False	False	False	False	lung
HRA017979	PRJCA061944	Neoadjuvant chemotherapy plus PD-1 blockade in mismatch repair proficient rectal cancer (WES)	Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017979	False	True	True	False	False	ici+neoadjuvant
HRA017978	PRJCA061944	Neoadjuvant chemotherapy plus PD-1 blockade in mismatch repair proficient rectal cancer (RNA-seq)	Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017978	False	True	True	False	False	ici+neoadjuvant
HRA017855	PRJCA061543	RNA-seq of SLC52A3-knockdown and control PC-9 lung adenocarcinoma cells	Pu er People's Hospital, Kunming University of Science and Technology Affiliated Hospital	0	Open	0	2026-04-18	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017855	True	False	False	False	False	lung
HRA017484	PRJCA060282	Spatial multi-omics and AI-driven pathology reveal the coupled landscape of Basal-pEMT and CD8+ T cell exhaustion in resistance to anti-PD1 and HER2-ADC in bladder cancer.	The First Affiliated Hospital, Sun Yat-sen University	1	Controlled	0	2026-08-03	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017484	False	True	False	False	False	ici
HRA013757	PRJCA047766	Uncovering ectopic germinal centers for tumor reactive lymphocyte priming in lung adenocarcinoma using Stereo-XCR-seq	BGI	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013757	True	False	False	False	False	lung
HRA014746	PRJCA051250	Single-cell profiling reveals immune and stromal signatures associated with severity and fibrotic phenotypes in checkpoint inhibitor-related pneumonitis	Peking Union Medical College Hospital	1	Controlled	0	2026-04-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014746	False	True	False	False	False	ici
