series	cohort	histology	gene	compartment	n	rho	p	ci_low	ci_high	min_epi_or_mal	min_tnk	primary_meta	note
GSE241934	GSE241934_IIT	ASC	TACSTD2	epithelial	1					10	20	0	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_IIT	ASC	CLDN4	epithelial	1					10	20	0	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_IIT	LUAD	TACSTD2	epithelial	10	-0.07878787878787878	0.8287173946974606	-0.6749328393781054	0.5795901017813074	10	20	1	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_IIT	LUAD	CLDN4	epithelial	10	-0.05454545454545454	0.8810361811618526	-0.6614552307619395	0.5955333999163482	10	20	1	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_RWC	ASC	TACSTD2	epithelial	1					10	20	0	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_RWC	ASC	CLDN4	epithelial	1					10	20	0	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_RWC	LUAD	TACSTD2	epithelial	28	-0.17022441160372195	0.3864782519912971	-0.5108583601665584	0.2166086386348377	10	20	1	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_RWC	LUAD	CLDN4	epithelial	28	0.21893814997263272	0.26299509546283434	-0.16784879813465453	0.5473103466411623	10	20	1	Zhang/Zhong NEOTIDE+RWC; author Epi vs T+NK; IIT=EGFR-mut, RWC=WT LUAD/ASC
GSE241934	GSE241934_LUAD_combined	LUAD	TACSTD2	epithelial	38	-0.1708064339643287	0.3052179511038332	-0.46509381835681674	0.15747572131256907	10	20	0	IIT+RWC LUAD patients combined; sensitivity only; not used in primary meta
GSE241934	GSE241934_LUAD_combined	LUAD	CLDN4	epithelial	38	0.23208228471386366	0.1608887865239694	-0.09462129318003247	0.5136560378222301	10	20	0	IIT+RWC LUAD patients combined; sensitivity only; not used in primary meta
