perturbation	cell_line	normalization	estimand	thesis_estimand	family	set	n	median_effect	mean_effect	n_up	n_down	sign_p_up	wilcoxon_stat	wilcoxon_p_up	sample_delta	sample_p_up	mw_p_gt_background	bg_median	thesis_aligned_median	q_wilcoxon_thesis_IFN_APM	q_wilcoxon_untreated_IFN_APM
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	interaction	True	IFN_APM	H_IFNA	84	1.2714259504260816	1.3963650377128438	74	10	1.6428461295783681e-13	3273.0	1.6099276531362285e-11	1.3963650377128443	2.280067337053584e-08	1.0095909366800328e-08	0.334701798566386	True	3.8638263675269487e-10	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	interaction	True	IFN_APM	H_IFNG	146	0.5632299370937955	0.7023237249491981	112	34	3.210659236510786e-11	8710.0	3.205408144989365e-11	0.7023237249491979	1.33564971344995e-08	3.883958097525748e-09	0.1950786359405009	True	7.051897918976604e-10	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	interaction	True	IFN_APM	IFN_custom	44	0.8803171362319542	1.2236964344303778	40	4	8.525717021257151e-09	965.0	5.1386450650170445e-11	1.2236964344303778	2.905115514807523e-08	4.0029450560389554e-10	0.19597233016052606	True	1.0435402285880768e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	interaction	True	IFN_APM	H_IFNA	79	1.1424438517704845	1.5562808341821635	70	9	3.889422031385573e-13	2896.0	6.322382892012922e-11	1.5562808341821643	3.42331795907421e-08	7.988042545751258e-09	0.2820093227922193	True	1.1922207739224367e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	interaction	True	IFN_APM	H_IFNA	84	0.8986491968967842	0.9521756497380968	74	10	1.6428461295783681e-13	3218.0	8.247728897481408e-11	0.9521756497380973	2.3690800682407127e-08	2.881068889033024e-12	0.19565909415146843	True	1.3909300378145417e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	interaction	True	IFN_APM	IFN_custom	44	0.4009191670486407	0.6772219694576129	40	4	8.525717021257151e-09	962.0	8.429879017057829e-11	0.6772219694576131	1.0184026378901555e-08	1.6882893208321673e-10	0.06003238639151655	True	1.3909300378145417e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	interaction	True	IFN_APM	H_IFNA_minus_APM	77	1.2100561586293308	1.6318489709653201	67	10	8.483704164099475e-12	2736.0	1.8270132939498754e-10	1.631848970965321	4.5447291064506396e-08	1.3090670953926219e-06	0.36457447298540174	True	2.8372441741339242e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	interaction	True	IFN_APM	H_IFNA_minus_APM	77	1.2056763508774635	1.4108985104836516	67	10	8.483704164099475e-12	2730.0	2.2207074352526466e-10	1.4108985104836522	2.4937125733138578e-08	5.6431951544702615e-08	0.3347905742930164	True	3.257037571703882e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	interaction	True	IFN_APM	IFN_custom	39	1.2400579971534165	2.146671744497314	36	3	1.8044374883174896e-08	765.0	2.4920154828578234e-10	2.1466717444973153	1.5739555147539184e-07	1.1880199973971434e-08	0.282753455868182	True	3.462589934076133e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	interaction	True	IFN_APM	H_IFNA	84	0.4188057942406884	0.5408028021617077	74	10	1.6428461295783681e-13	3171.0	3.179776449862848e-10	0.5408028021617075	9.469913058016688e-09	3.750037007806367e-15	0.059832407026151196	True	4.1973049138189594e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	interaction	True	IFN_APM	H_IFNA	84	0.054322520967429566	0.07499065623766207	71	13	3.931959532999376e-11	3161.0	4.2138984962355924e-10	0.07499065623766205	1.090600971585928e-07	1.1090602333469414e-09	-0.0009120418485231152	True	5.2974723952676015e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	interaction	True	IFN_APM	H_IFNA_IFNG_core	62	1.2487928795300323	1.2308776384481726	54	8	8.546630931183935e-10	1849.0	4.762847586396092e-10	1.2308776384481737	3.932280934975007e-08	6.382719761620959e-08	0.5645077209827365	True	5.715417103675311e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	interaction	True	IFN_APM	H_IFNA_minus_APM	73	1.1424438517704845	1.5946256027239647	64	9	1.189444959931766e-11	2459.0	5.504777341120873e-10	1.5946256027239658	3.3594647600350166e-08	2.8915202838556896e-08	0.2822956400570927	True	6.2258891375677194e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	interaction	True	IFN_APM	IFN_custom	44	0.5262456744917672	0.7642580669006567	40	4	8.525717021257151e-09	949.0	5.659899215970654e-10	0.764258066900657	2.9190712648201364e-08	4.0029450560389554e-10	0.05189400163251423	True	6.2258891375677194e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	KD_on_DDP	True	IFN_APM	H_IFNA	79	0.532174923887279	0.49186977120812914	64	15	1.1517197778521784e-08	2814.0	8.165387949548783e-10	0.4918697712081288	0.002651018225688003	1.9516922952951211e-07	0.16625695929639583	True	8.622649674723514e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	interaction	True	IFN_APM	H_IFNG	146	0.03278772553618153	0.057802533517544816	106	40	2.2240273965941937e-08	8446.0	8.824919577111376e-10	0.05780253351754483	1.7668727899632608e-07	1.6840199518794774e-08	-0.0009403823553606472	True	8.960687570605399e-09	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	interaction	True	IFN_APM	H_IFNA_minus_APM	77	0.8715505813816584	0.9456257433700933	67	10	8.483704164099475e-12	2679.0	1.1245068256003076e-09	0.9456257433700932	2.6038478453408595e-08	9.004242961817896e-11	0.19578855839129075	True	1.0995177850314118e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	interaction	True	IFN_APM	H_IFNA	84	0.5389524906554478	0.5760542005277784	68	16	4.271170476862093e-09	3115.0	1.5008642402126193e-09	0.5760542005277789	4.6881007103916543e-08	2.881068889033024e-12	0.05167688297598594	True	1.4151005693433267e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	interaction	True	IFN_APM	H_IFNG	146	0.24615377519020565	0.36649229379201764	112	34	3.210659236510786e-11	8398.0	1.5680894637575424e-09	0.3664922937920179	2.8997610230148474e-09	1.9632050366749563e-10	0.05974119048449388	True	1.4275021325241075e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	interaction	True	IFN_APM	H_IFNA_minus_APM	77	0.055389929647822966	0.077633782944567	64	13	1.5118173757871118e-09	2642.0	3.5015322402174948e-09	0.07763378294456691	1.0818975049765703e-07	4.048616255061877e-09	-0.0009028998420940182	True	3.0813483713913955e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	interaction	True	IFN_APM	H_IFNA_minus_APM	77	0.3887662475855278	0.5194141196608869	67	10	8.483704164099475e-12	2631.0	4.875647369550139e-09	0.5194141196608869	1.1561653240907216e-08	4.838016517880418e-13	0.05988130095913609	True	4.15216421148786e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	72	0.5195591313248431	0.48244738629597644	58	14	8.232150057984286e-08	2330.0	5.938563416587548e-09	0.48244738629597617	0.002389485104913633	1.21257862138904e-06	0.16660615418798752	True	4.899314818684727e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	interaction	True	IFN_APM	IFN_custom	44	0.07724954055377026	0.1134460157420138	38	6	4.715187742476701e-07	926.0	8.93504648047383e-09	0.1134460157420136	4.6377602835711226e-08	1.2394429285820483e-08	-0.0008299288250412928	True	7.148037184379064e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	interaction	True	IFN_APM	H_IFNG	146	0.30645757641750226	0.4028700433028778	105	41	5.865218543796279e-08	8245.0	9.253659538493906e-09	0.40287004330287784	3.955212426982603e-08	3.883958097525748e-09	0.051274540003620694	True	7.185194465183503e-08	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	interaction	True	IFN_APM	H_IFNA_minus_APM	77	0.5201691617140607	0.5715141513958653	62	15	3.041624965035394e-08	2590.0	1.6304099741120146e-08	0.5715141513958655	5.059832282832795e-08	9.004242961817896e-11	0.051766620748801714	True	1.229794951901634e-07	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	interaction	True	IFN_APM	H_IFNA_IFNG_core	62	1.246340055994087	1.5736305676172526	53	9	5.253616358570287e-09	1756.0	2.312819134881316e-08	1.5736305676172546	8.675196183797692e-08	3.0308312326559298e-05	0.3654299892218842	True	1.6960673655796317e-07	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	interaction	True	IFN_APM	H_IFNA_IFNG_core	62	1.238713836445493	1.3300084942652495	53	9	5.253616358570287e-09	1754.0	2.5028291626907227e-08	1.3300084942652506	3.5423683301645156e-08	3.0935059699310362e-06	0.33533055264604483	True	1.785802429595543e-07	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	KD_on_DDP	True	IFN_APM	IFN_custom	37	0.6308485764621268	0.6853208436527903	32	5	3.7137651816010475e-06	659.0	1.0744406608864665e-07	0.6853208436527902	0.004725153804304874	1.7140901450695617e-06	0.16734316102938074	True	7.464535117737556e-07	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	KD_on_DDP	True	IFN_APM	H_IFNG	134	0.3150205873198828	0.32729883232115414	92	42	9.353079762969447e-06	6819.0	1.6975857090374186e-07	0.32729883232115453	0.0034973837187988214	0.00434879977405545	0.16729795927785274	True	1.1307513960004736e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	interaction	True	IFN_APM	H_IFNA_IFNG_core	58	1.0620449531157372	1.4579202010231826	49	9	4.479701214490928e-08	1514.0	1.7132596909098087e-07	1.457920201023184	6.094376976425992e-08	9.679749751500242e-06	0.28291958471498546	True	1.1307513960004736e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	interaction	True	IFN_APM	H_IFNA_IFNG_core	62	0.8803171362319542	0.8624018951500939	53	9	5.253616358570287e-09	1696.0	2.2739354735937885e-07	0.862401895150094	3.7391387359932445e-08	6.382719761620959e-08	0.196031977684658	True	1.4641925976311224e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	KD_on_DDP	True	IFN_APM	H_IFNA	79	0.40557741760207344	0.36527226492292403	60	19	2.0970212044620516e-06	2593.0	3.6992238359720067e-07	0.36527226492292364	0.003083957019737856	1.9516922952951211e-07	0.03965945301118867	True	2.3252264111824043e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	interaction	True	IFN_APM	H_IFNA_IFNG_core	62	0.05044242875271526	0.07176068575188915	51	11	1.3878184320715095e-07	1678.0	4.3656709506071643e-07	0.07176068575188926	2.0236315019433084e-07	9.408380208061163e-07	-0.0008647969841829584	True	2.68031890920998e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	KD_on_DDP	True	IFN_APM	H_IFNA	77	0.5083838384040424	0.5069444701366911	59	18	1.5275285127222898e-06	2464.0	5.117594264628657e-07	0.5069444701366912	0.004149336117771423	6.1530969754376434e-06	0.059696237991250456	True	3.0705565587771943e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	interaction	True	IFN_APM	H_IFNA_IFNG_core	62	0.34314831710823257	0.4805469596209138	53	9	5.253616358570287e-09	1654.0	1.0170730770701242e-06	0.4805469596209137	1.771477160637146e-08	2.56819972440203e-09	0.060013481707379655	True	5.966828718811396e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	KD_on_DDP	True	IFN_APM	H_IFNA_IFNG_core	57	0.4827364747919596	0.44258512749416024	44	13	2.3552188046976893e-05	1418.0	1.3034178703670083e-06	0.4425851274941599	0.002799258723707053	0.00013963588154447234	0.16725275752632474	True	7.279005861259909e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	KD_on_DDP	True	IFN_APM	H_IFNA	79	0.5074788322007029	0.4597656457481094	60	19	2.0970212044620516e-06	2541.0	1.3234556111381652e-06	0.45976564574810963	0.004544097149993389	1.5058117369160303e-05	0.05804409064131266	True	7.279005861259909e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	KD_on_DDP	True	IFN_APM	H_IFNA	79	0.5082931908786747	0.4793760456925673	60	19	2.0970212044620516e-06	2541.0	1.3234556111381652e-06	0.47937604569256687	0.0048412052581270045	4.151042524216096e-05	0.05921747426706769	True	7.279005861259909e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	interaction	True	IFN_APM	H_IFNA_IFNG_core	62	0.5262456744917672	0.5138277756468239	49	13	2.4087616996330222e-06	1641.0	1.5898416487616898e-06	0.5138277756468241	8.757722117826927e-08	6.382719761620959e-08	0.051935346145693506	True	8.565677454552778e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	72	0.3929616250396377	0.3558498800107713	54	18	1.2843601689623674e-05	2143.0	1.642906938008561e-06	0.355849880010771	0.0034369399598609715	1.21257862138904e-06	0.04000864790278236	True	8.674548632685201e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	KD_on_DDP	True	IFN_APM	H_IFNA	79	0.25886402653657553	0.23092662359498503	60	19	2.0970212044620516e-06	2530.0	1.7192936767017568e-06	0.23092662359498495	0.002852243829170721	1.9516922952951211e-07	0.00522902106416985	True	8.899873149985564e-06	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	72	0.5120548709281632	0.5195917777665195	54	18	1.2843601689623674e-05	2130.0	2.3344371143613957e-06	0.5195917777665189	0.006613545263000377	7.339271072943793e-05	0.05957831985600426	True	1.1851757657527087e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	72	0.508116683733395	0.4770828771570312	54	18	1.2843601689623674e-05	2128.0	2.4629574418537843e-06	0.4770828771570321	0.004977955224331252	3.0849972427281245e-05	0.05818103108844275	True	1.2268316314139605e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	71	0.5083838384040424	0.49396402578620724	53	18	1.9423791396819964e-05	2059.0	3.8205336178549065e-06	0.49396402578620746	0.004220240247814857	3.5004828436003376e-05	0.06002879261470162	True	1.867816435395732e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	KD_on_DDP	True	IFN_APM	IFN_custom	37	0.5042510701769221	0.5587233373675853	30	7	9.553821291774511e-05	624.0	4.92260733153671e-06	0.5587233373675842	0.005290499717661471	1.7140901450695617e-06	0.04074565474417541	True	2.362851519137621e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	72	0.2501194254913939	0.22439552405897578	54	18	1.2843601689623674e-05	2091.0	6.494632813996792e-06	0.22439552405897611	0.0032856019978890157	1.21257862138904e-06	0.005471064518744018	True	3.06175546945563e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	KD_on_DDP	True	IFN_APM	H_IFNA	79	0.01913206353053276	0.021241106377976986	59	20	6.483538662587563e-06	2469.0	6.976330173338872e-06	0.021241106377976826	0.004458027424963968	1.3738798671585472e-05	-0.0007706264716588196	True	3.231142396072741e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	72	0.023310236399066042	0.024922272912395085	53	19	3.777905742215698e-05	2079.0	8.815914243713905e-06	0.024922272912395016	0.006683697239398133	1.612430589541528e-05	-0.0007593939050247744	True	4.01276096610426e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	KD_on_DDP	True	IFN_APM	IFN_custom	37	0.618179847926525	0.7288474341958999	30	7	9.553821291774511e-05	617.0	9.299925295636058e-06	0.7288474341958993	0.00786111530965595	2.4806853764216604e-05	0.058981095793174454	True	4.161322505165965e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	KD_on_DDP	True	IFN_APM	IFN_custom	37	0.32725939061438325	0.36501668903629964	30	7	9.553821291774511e-05	612.0	1.435692684026435e-05	0.3650166890362998	0.004397349562064162	1.7140901450695617e-06	0.005981918732908986	True	6.213489648901293e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	KD_on_DDP	True	IFN_APM	IFN_custom	37	0.6237315790315736	0.7936336805051171	30	7	9.553821291774511e-05	612.0	1.435692684026435e-05	0.793633680505117	0.011305079300862232	6.309706126276692e-05	0.06074307406980628	True	6.213489648901293e-05	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	KD_on_DDP	True	IFN_APM	IFN_custom	36	0.6213891510550105	0.747929688717345	29	7	0.00015627557877451181	574.0	3.0441166018135846e-05	0.7479296887173454	0.007319131109278811	4.3259536598156066e-05	0.06182270829355829	True	0.00012962044885141713	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	KD_on_DDP	True	IFN_APM	IFN_custom	37	0.196873214586895	0.2818178388754041	28	9	0.0012816039961762726	598.0	4.469686246011406e-05	0.281817838875404	0.004822296242408461	5.97537893317268e-07	-0.007315276344616636	True	0.00018730113792809702	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	KD_on_DDP	True	IFN_APM	H_IFNA	79	0.11270192110566946	0.16314524547110618	57	22	5.129817589711659e-05	2372.0	5.429301767441909e-05	0.16314524547110643	0.001485327904043583	4.24501296479027e-08	-0.007493132654279533	True	0.00022395869790697872	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	KD_on_DDP	True	IFN_APM	H_IFNA_IFNG_core	55	0.4850078347675675	0.4991147002872303	40	15	0.0005079235970626427	1220.0	8.151045950757264e-05	0.4991147002872305	0.003836304410505321	0.0007347724006863097	0.06158185404389421	True	0.00033105786630767967	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	interaction	True	IFN_APM	APM	18	1.300313298213552	1.2977389310816227	17	1	7.2479248046875e-05	163.0	9.5367431640625e-05	1.2977389310816236	8.303104807101535e-08	7.633999424469089e-05	0.565326930023212	True	0.0003768319016666662	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	KD_on_DDP	True	IFN_APM	H_IFNA_IFNG_core	57	0.35613896850675264	0.315987621208955	41	16	0.0006317797362177315	1296.0	9.563536898358574e-05	0.3159876212089556	0.0028688563048117404	0.00013963588154447234	0.04065525124111902	True	0.0003768319016666662	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	KD_on_DDP	True	IFN_APM	H_IFNA_IFNG_core	57	0.48479856536615173	0.4578344607565763	41	16	0.0006317797362177315	1276.0	0.00017755869859582943	0.45783446075657697	0.005758660791843128	0.002127217989572664	0.060612292583925864	True	0.0006893455357249848	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_p1_minus_HK	interaction	True	IFN_APM	APM_noHLA	17	1.2776274461251989	1.2311891670391482	16	1	0.0001373291015625	145.0	0.00019073486328125	1.2311891670391493	1.0156844371136748e-07	0.00023137177715152086	0.5653874155720118	True	0.0007297681725543479	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	KD_on_DDP	True	IFN_APM	H_IFNA_IFNG_core	57	0.4829233240208497	0.4221423158993351	41	16	0.0006317797362177315	1273.0	0.00019442673721957514	0.4221423158993356	0.004702942851798506	0.0012501222600094985	0.05869972598250031	True	0.0007332665517995405	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_positive	KD_on_DDP	True	IFN_APM	H_IFNG	131	0.20742977276110963	0.35842180048538214	79	52	0.011371634064122508	5857.0	0.00021257731990968816	0.35842180048538275	0.00525332808380963	0.01345248687462141	0.06158185404389421	True	0.000790428344452925	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	rank_within_sample	KD_on_DDP	True	IFN_APM	IFN_custom	37	0.03138352884171525	0.03818054861618208	30	7	9.553821291774511e-05	576.0	0.00021678930352209136	0.03818054861618225	0.012038084166135993	0.00016163220657303484	-0.00073871009520865	True	0.0007948941129143351	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	KD_on_DDP	True	IFN_APM	H_IFNA_minus_APM	72	0.10462492013347346	0.14562556016650266	51	21	0.0002674821008249459	1920.0	0.0003360846391592653	0.14562556016650285	0.002024041267882553	8.080905309506046e-07	-0.007478385491755737	True	0.0012154293799732335	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	clr_p1	KD_on_DDP	True	IFN_APM	H_IFNA_IFNG_core	57	0.2245959049348975	0.196765111759746	41	16	0.0006317797362177315	1250.0	0.00038300187745245716	0.1967651117597462	0.002682261905987012	0.00013963588154447234	0.0059192557996526896	True	0.0013663850763168744	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_uq_p1	interaction	True	IFN_APM	APM	18	0.5543682241328064	0.6451657751527955	16	2	0.0006561279296875	157.0	0.00041961669921875	0.6451657751527954	4.8166009030266815e-09	3.96315251933561e-06	0.060268299864209195	True	0.00147705078125	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	KD_on_DDP	True	IFN_APM	H_IFNG	134	0.19886038812191464	0.27426931332475735	80	54	0.015207402349759909	6000.0	0.0005167631005074274	0.274269313324758	0.0075163421995882804	0.018855726019216205	0.05884041088783738	True	0.0017950718228152741	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.01	KD_on_DDP	True	IFN_APM	H_IFNG	134	0.19962621097976152	0.2892533652910321	80	54	0.015207402349759909	5998.0	0.0005249608970034587	0.2892533652910316	0.008300236080961908	0.030027501310429403	0.06067768332686607	True	0.0017998659325832867	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p1	interaction	True	IFN_APM	APM	18	0.9318375549154735	0.9292631877835442	16	2	0.0006561279296875	155.0	0.000644683837890625	0.929263187783545	1.0605687174705166e-07	7.633999424469089e-05	0.1968511867251343	True	0.0021274566650390622	
TACSTD2/TROP2 shRNA, not CLDN4 KD	SKOV3	log2_fpkm_p0.1	interaction	True	IFN_APM	APM	18	1.2492643531057417	1.151333634169959	16	2	0.0006561279296875	155.0	0.000644683837890625	1.1513336341699578	4.5232137989228784e-07	0.004619607424465738	0.33588985342724076	True	0.0021274566650390622	
