hugo	population	entrez	ensembl	note
CD1E	Myeloid dendritic cells	913	ENSG00000158488	Becht 2016 MCPcounter
CLEC10A	Myeloid dendritic cells	10462	ENSG00000132514	Becht 2016 MCPcounter
CLIC2	Myeloid dendritic cells	1193	ENSG00000155962	Becht 2016 MCPcounter
WFDC21P	Myeloid dendritic cells	645638	ENSG00000261040	Becht 2016 MCPcounter
CA4	Neutrophils	762	ENSG00000167434	Becht 2016 MCPcounter
CEACAM3	Neutrophils	1084	ENSG00000170956	Becht 2016 MCPcounter
CXCR1	Neutrophils	3577	ENSG00000163464	Becht 2016 MCPcounter
CXCR2	Neutrophils	3579	ENSG00000180871	Becht 2016 MCPcounter
CYP4F3	Neutrophils	4051	ENSG00000186529	Becht 2016 MCPcounter
FCGR3B	Neutrophils	2215	ENSG00000162747	Becht 2016 MCPcounter
HAL	Neutrophils	3034	ENSG00000084110	Becht 2016 MCPcounter
KCNJ15	Neutrophils	3772	ENSG00000157551	Becht 2016 MCPcounter
MEGF9	Neutrophils	1955	ENSG00000106780	Becht 2016 MCPcounter
SLC25A37	Neutrophils	51312	ENSG00000147454	Becht 2016 MCPcounter
STEAP4	Neutrophils	79689	ENSG00000127954	Becht 2016 MCPcounter
TECPR2	Neutrophils	9895	ENSG00000196663	Becht 2016 MCPcounter
TLE3	Neutrophils	7090	ENSG00000140332	Becht 2016 MCPcounter
TNFRSF10C	Neutrophils	8794	ENSG00000173535	Becht 2016 MCPcounter
VNN3	Neutrophils	55350	ENSG00000093134	Becht 2016 MCPcounter
ACVRL1	Endothelial cells	94	ENSG00000139567	Becht 2016 MCPcounter
APLN	Endothelial cells	8862	ENSG00000171388	Becht 2016 MCPcounter
BCL6B	Endothelial cells	255877	ENSG00000161940	Becht 2016 MCPcounter
BMP6	Endothelial cells	654	ENSG00000153162	Becht 2016 MCPcounter
BMX	Endothelial cells	660	ENSG00000102010	Becht 2016 MCPcounter
CDH5	Endothelial cells	1003	ENSG00000179776	Becht 2016 MCPcounter
CLEC14A	Endothelial cells	161198	ENSG00000176435	Becht 2016 MCPcounter
DIPK2B	Endothelial cells	79742	ENSG00000147113	Becht 2016 MCPcounter
EDN1	Endothelial cells	1906	ENSG00000078401	Becht 2016 MCPcounter
ADGRL4	Endothelial cells	64123	ENSG00000162618	Becht 2016 MCPcounter
EMCN	Endothelial cells	51705	ENSG00000164035	Becht 2016 MCPcounter
ESAM	Endothelial cells	90952	ENSG00000149564	Becht 2016 MCPcounter
ESM1	Endothelial cells	11082	ENSG00000164283	Becht 2016 MCPcounter
FAM124B	Endothelial cells	79843	ENSG00000124019	Becht 2016 MCPcounter
HECW2	Endothelial cells	57520	ENSG00000138411	Becht 2016 MCPcounter
HHIP	Endothelial cells	64399	ENSG00000164161	Becht 2016 MCPcounter
KDR	Endothelial cells	3791	ENSG00000128052	Becht 2016 MCPcounter
MMRN1	Endothelial cells	22915	ENSG00000138722	Becht 2016 MCPcounter
MMRN2	Endothelial cells	79812	ENSG00000173269	Becht 2016 MCPcounter
MYCT1	Endothelial cells	80177	ENSG00000120279	Becht 2016 MCPcounter
PALMD	Endothelial cells	54873	ENSG00000099260	Becht 2016 MCPcounter
PEAR1	Endothelial cells	375033	ENSG00000187800	Becht 2016 MCPcounter
PGF	Endothelial cells	5228	ENSG00000119630	Becht 2016 MCPcounter
PLXNA2	Endothelial cells	5362	ENSG00000076356	Becht 2016 MCPcounter
PTPRB	Endothelial cells	5787	ENSG00000127329	Becht 2016 MCPcounter
ROBO4	Endothelial cells	54538	ENSG00000154133	Becht 2016 MCPcounter
SOX18	Endothelial cells	8436	ENSG00000168497	official table truncated HUGO to C; Entrez 8436 = SOX18
SHANK3	Endothelial cells	85358	ENSG00000251322	Becht 2016 MCPcounter
SHE	Endothelial cells	126669	ENSG00000169291	Becht 2016 MCPcounter
TEK	Endothelial cells	7010	ENSG00000120156	Becht 2016 MCPcounter
TIE1	Endothelial cells	7075	ENSG00000066056	Becht 2016 MCPcounter
VEPH1	Endothelial cells	79674	ENSG00000197415	Becht 2016 MCPcounter
VWF	Endothelial cells	7450	ENSG00000110799	Becht 2016 MCPcounter
COL1A1	Fibroblasts	1277	ENSG00000108821	Becht 2016 MCPcounter
COL3A1	Fibroblasts	1281	ENSG00000168542	Becht 2016 MCPcounter
COL6A1	Fibroblasts	1291	ENSG00000142156	Becht 2016 MCPcounter
COL6A2	Fibroblasts	1292	ENSG00000142173	Becht 2016 MCPcounter
DCN	Fibroblasts	1634	ENSG00000011465	Becht 2016 MCPcounter
GREM1	Fibroblasts	26585	ENSG00000166923	Becht 2016 MCPcounter
PAMR1	Fibroblasts	25891	ENSG00000149090	Becht 2016 MCPcounter
TAGLN	Fibroblasts	6876	ENSG00000149591	Becht 2016 MCPcounter
