ModelID,CLDN4,ELF3,EPCAM,KRT5,KRT8,NKX2-1,TACSTD2,CellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000066,7.705701496845794,7.91127213280967,8.593054921669879,0.5459683691052926,9.664056112718225,5.36387192485753,7.941282410432874,HCC4006,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000314,4.928844036712568,2.8196681834964554,2.713695814843359,0.6780719051126377,7.815255192897375,0.0,0.6780719051126377,HCC-2108,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000893,6.492333914544719,6.60599798023252,1.5945485495503542,0.3673710656485294,11.48089115592885,5.063934305754099,0.1890338243900171,NCI-H1651,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-002650,7.795455272044121,6.799087306074004,7.642484978057139,0.1763227726404628,11.949206612505629,0.2509615735332187,8.676944359106912,ETCC-016,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000590,6.471187460386985,6.02170180007169,8.638870286246128,0.5849625007211562,10.51402360423735,0.01435529297707,6.330737650206952,NCI-H2073,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000339,3.4329594072761065,1.2570106182060237,3.382667252745041,2.2016338611696504,9.549707670827658,0.0285691521967709,4.007195501404204,HCC-461,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000744,8.588864518190148,6.36667191611176,7.67008968093448,0.9107326619029126,9.912589990852627,4.03121873061072,6.357727932310624,NCI-H1623,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000675,7.9066501263953795,6.217036792564098,8.396604781181859,0.4750848829487829,10.005203467795484,6.925762113671917,1.4698859762744636,NCI-H1734,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000851,7.696202521253611,6.183486514459391,8.499128346499322,0.1243281350022017,8.641329261745685,0.4436066514756145,6.603181229013857,MOR/CPR,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000414,5.127633279725874,6.954545307294005,5.053545817727984,0.632268215499513,11.26455988773863,0.0840642647884745,0.7048719644563528,NCI-H1944,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-002522,1.5459683691052926,0.3895668117627256,1.4329594072761065,0.0,7.75702324650746,2.5801454844233804,3.428946344769483,SNU-2292,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000706,1.6780719051126378,7.914863459497348,5.319762427669248,1.6040713236688608,11.4202760618854,0.0,1.613531652917927,EKVX,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-002526,6.617798025902778,6.312882955284356,9.232876569360682,0.0840642647884745,10.559472693392156,0.0,7.847809043407229,SNU-1327,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000951,8.997687581487513,7.563234413022304,8.632268215499513,0.5945485495503542,12.413627929024171,4.38543103719352,7.909533114946893,NCI-H2342,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000589,7.278356528010724,7.91037290252923,8.452241240430817,0.2387868595871165,9.032238624546084,0.2387868595871165,6.179909090014935,NCI-H1437,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000264,3.5360529002402097,3.144046369616707,2.356143810225275,1.0,8.583646944675301,0.0840642647884745,0.5260688116675876,Calu-6,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000667,5.751410160064371,3.2957230245399685,4.368768349090335,0.9560566524124028,7.785223580534427,0.0285691521967709,4.516015147003665,HCC-44,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000718,9.779932707234156,8.46016917185669,9.158811626142636,0.6507645591169022,10.915954050559652,5.46401472450489,8.58942643932765,NCI-H2291,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000021,6.397118409042582,6.559950612713083,7.938579853367896,0.3561438102252753,10.933543132579706,0.2265085298086797,5.864681405572597,NCI-H1693,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000845,7.982594354827899,4.612942196304665,8.888560617713651,0.070389327891398,9.021840578128195,4.800123352826528,7.475247047287838,NCI-H1373,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000852,9.144556281982275,6.888621497344038,9.20178086744061,0.933572638261024,12.019312725651384,0.01435529297707,8.705943353973835,NCI-H1435,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000448,6.976478203534362,6.912769605532279,7.768051961361916,3.674686619927999,6.805679392720073,0.1110313123887439,8.693591496830619,NCI-H1666,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000766,8.380677507222886,8.075906947420174,8.619596417247081,3.1731274334806563,9.743471209370892,1.2570106182060237,9.097847785326554,NCI-H1648,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000343,1.6461626571578936,1.298658315564515,5.857732233157667,0.137503523749935,3.2735158897021166,0.0840642647884745,0.2750070474998697,NCI-H522,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000774,8.132319783167718,7.168321115739722,7.873198002818278,1.6415460290875237,11.873098008760122,0.01435529297707,8.40981519582048,RERF-LC-Ad2,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000733,8.839707698350368,6.631977320238746,9.246408087246383,0.2141248053528473,8.486674154611038,5.718909554379232,7.210330413537888,NCI-H1838,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-003012,1.8439838440483265,7.056149961108142,1.5897634869849773,0.0976107966264223,10.577051109735152,0.01435529297707,0.0,A549_CRAF_KD,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000482,7.835734632321086,8.719286134366653,9.35508676166836,0.933572638261024,11.389631339260522,0.3785116232537298,9.157447996274298,RERF-LC-KJ,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000779,7.807354922057604,6.824513297334801,8.492373975496916,6.235344128172668,11.567195561406876,0.0426443374084937,7.915461145743733,PC-9,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000575,7.328315891666071,5.784503982929566,5.146084938616191,0.5260688116675876,8.297099685836791,5.118525848935668,1.5897634869849773,HCC-364,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000451,8.717950543348598,6.3125199674749455,7.883865154509794,4.208673319629471,11.664402838544769,0.1243281350022017,8.03804103701151,NCI-H2085,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000161,4.739848102699328,5.559491813205038,7.352793829401169,1.0565835283663676,10.759472121202831,0.0,0.7484612330040357,COR-L105,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000916,8.778898476008376,9.089185620634002,8.804776377955827,0.4854268271702416,11.095462957987872,4.632849830117706,7.812113112983306,NCI-H1573,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000837,7.851686585733419,7.485748821377781,9.322581668013784,0.3219280948873623,10.98185265328974,0.8639384504239714,7.898389766534846,NCI-H322,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000861,4.627606838129649,3.092545741543565,3.0303360783709588,0.8953026213333066,10.498250867527826,0.0285691521967709,1.6369145803558778,HOP-62,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000757,0.8237493603082727,0.3785116232537298,8.154818109052105,0.5160151470036647,7.992485210633954,0.2141248053528473,0.2016338611696504,A427,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000447,6.435461914479276,6.72137265947682,6.377991326905882,0.3673710656485294,8.644865723007923,4.130107178658833,5.212569338850806,NCI-H2228,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000892,0.8399595874895318,1.0426443374084935,0.84799690655495,0.7048719644563528,11.239777512568116,0.1890338243900171,5.00943675560809,NCI-H1563,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000416,0.5459683691052926,0.8318772411916731,0.9411063109464316,0.5849625007211562,8.120859929756852,0.0,3.1651079851445365,NCI-H838,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000875,8.640027973286244,7.829786148858992,8.843795457570762,0.2868811477881615,10.750706986224948,6.261154672615572,9.138297402341518,NCI-H2347,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000841,8.3387809438947,8.508705945337011,8.828136484194108,0.2265085298086797,11.871289227811705,7.181201961264837,8.132319783167718,NCI-H2087,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000860,7.9341036373619165,6.92148393743373,9.276659499350671,0.2868811477881615,10.23744899563932,5.943218087426284,7.492414035336726,NCI-H358,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000311,8.631649992945023,7.367545800105339,8.232612794056818,0.3219280948873623,9.7300455028792,0.070389327891398,7.302227645681221,NCI-H2122,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000496,7.153298682854903,3.119356177039676,4.340562269026414,0.5058909297299573,8.923327485419192,0.01435529297707,4.558879853475442,NCI-H1792,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000062,5.811471030529836,5.20945336562895,1.879705766282288,1.2141248053528475,10.703644072582216,0.01435529297707,3.534808661231747,RERF-LC-MS,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000521,1.070389327891398,3.676944359106912,3.5447326559326235,0.3103401206121505,7.664127242758463,0.2265085298086797,0.4329594072761062,NCI-H2030,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000029,8.249540152313218,8.225834035537838,9.068160231542544,0.01435529297707,10.2940463132715,4.169925001442312,8.195347598322218,HCC-827-GR5,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000150,9.901002620158811,9.359573878997114,9.51621217996458,0.9560566524124028,11.6627573730834,7.169524197150003,8.589388984726849,HCC2935,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-002531,8.178266467781853,9.278077701459836,8.271789815010347,0.0,9.503925093737044,4.517275693209582,8.845960418293286,SNU-2535,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000869,8.339627347580395,6.979110755015785,9.52385595362096,0.6229303509201767,12.18220810708361,0.0976107966264223,6.552745936748446,NCI-H1568,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000337,7.350497247084133,8.10013667128545,8.29664094468348,0.2868811477881615,10.627807441666208,6.056800263143443,7.42097076340615,NCI-H3122,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000886,7.349612971824522,5.432625411432297,9.53377746290374,0.4646682670034443,10.081882836898666,5.067380578019059,8.03842520687726,NCI-H2009,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000888,7.454587186925478,7.401647530912295,5.915042791371977,0.3561438102252753,11.267196339033372,4.961623328286945,8.835545165508693,NCI-H1793,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000030,9.117279460053922,7.420381341196637,8.264536430999026,6.992768430768924,11.302810255067474,0.01435529297707,8.783784026219614,PC-14,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-002497,5.420549772116318,6.34002810238993,8.060587860595636,0.0,8.04018011040107,2.250961573533219,4.85598969730848,NCI-H920,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000925,9.36187799586609,6.822475232308043,8.13381009110603,2.8318772411916733,9.124767535822471,0.070389327891398,7.058099988493412,DV-90,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000791,9.783653086390071,7.740590316566446,9.736435757300187,2.604071323668861,10.691569059404342,7.07724299893246,10.143893360756412,RERF-LC-Ad1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000900,1.292781749227846,0.7570232465074596,2.408711861029429,0.8237493603082727,10.329572125765376,1.1699250014423124,0.4436066514756145,NCI-H23,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000666,1.263034405833794,8.048159880554651,5.9701634246609965,0.3673710656485294,12.510294399775043,0.1763227726404628,4.462706750670158,NCI-H1355,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000872,4.513490745588118,7.288450850377981,7.647746217208096,0.5558161550616396,9.933941408370972,0.0285691521967709,5.92837032301897,HCC515,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000121,7.188737187185129,7.190911111630688,6.578485913474387,8.289188943399587,11.56838368843274,0.0285691521967709,1.3448284969974411,NCI-H2405,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000781,1.599317793698226,7.3723427230174945,5.332707933640605,0.3334237337251918,11.355626393637916,0.1505596765753814,1.7782085763980875,NCI-H2023,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
