Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
MPRIP	17p11.2	10.06	10.26	0.55000000000000004	0.56000000000000005	-0.2	1.274E-3	2.58E-2	 CLDN4 Low
TUT4	1p32.3	9.5299999999999994	9.74	0.55000000000000004	0.6	-0.21	1.274E-3	2.58E-2	 CLDN4 Low
LCORL	4p15.31	5.76	6.02	0.69	0.73	-0.26	1.2800000000000001E-3	2.5899999999999999E-2	 CLDN4 Low
IL34	16q22.1	6.35	5.86	1.47	1.18	0.5	1.2830000000000001E-3	2.5899999999999999E-2	 CLDN4 High 
PHF6	Xq26.2	9.5500000000000007	9.74	0.49	0.54	-0.19	1.286E-3	2.5899999999999999E-2	 CLDN4 Low
IRAK3	12q14.3	6.54	6.94	1.02	1.17	-0.41	1.2869999999999999E-3	2.5899999999999999E-2	 CLDN4 Low
QSOX1	1q25.2	10.119999999999999	9.7899999999999991	0.81	0.98	0.33	1.291E-3	2.5899999999999999E-2	 CLDN4 High 
PKP3	11p15.5	10.91	10.52	0.78	1.27	0.39	1.292E-3	2.5899999999999999E-2	 CLDN4 High 
PNMA2	8p21.2	6.03	6.72	1.86	1.85	-0.69	1.2930000000000001E-3	2.5899999999999999E-2	 CLDN4 Low
TOM1	22q12.3	9.4499999999999993	9.2100000000000009	0.66	0.65	0.24	1.2930000000000001E-3	2.5899999999999999E-2	 CLDN4 High 
HDGFL3	15q25.2	8.98	9.33	1.04	0.85	-0.35	1.294E-3	2.5899999999999999E-2	 CLDN4 Low
TMC6	17q25.3	10.25	9.9499999999999993	0.78	0.86	0.3	1.2960000000000001E-3	2.5999999999999999E-2	 CLDN4 High 
PKNOX2	11q24.2	6.81	7.39	1.54	1.61	-0.57999999999999996	1.2979999999999999E-3	2.5999999999999999E-2	 CLDN4 Low
INTS2	17q23.2	7.89	8.11	0.56999999999999995	0.66	-0.23	1.2999999999999999E-3	2.5999999999999999E-2	 CLDN4 Low
TAF10	11p15.4	11.23	10.99	0.66	0.62	0.24	1.2999999999999999E-3	2.5999999999999999E-2	 CLDN4 High 
NHS	Xp22.2-p22.13	6.99	7.38	1.07	1.05	-0.39	1.3010000000000001E-3	2.5999999999999999E-2	 CLDN4 Low
KIAA1586	6p12.1	6.61	6.9	0.79	0.76	-0.28999999999999998	1.3029999999999999E-3	2.5999999999999999E-2	 CLDN4 Low
SLC26A10	12q13.3	3.26	3.87	1.63	1.64	-0.61	1.305E-3	2.5999999999999999E-2	 CLDN4 Low
DDX3X	Xp11.4	12	12.16	0.44	0.43	-0.16	1.3079999999999999E-3	2.5999999999999999E-2	 CLDN4 Low
LMNA	1q22	12.74	12.48	0.76	0.65	0.26	1.312E-3	2.5999999999999999E-2	 CLDN4 High 
MAPRE2	18q12.1-q12.2	8.61	8.8800000000000008	0.66	0.81	-0.27	1.312E-3	2.5999999999999999E-2	 CLDN4 Low
ANTKMT	16p13.3	7.91	7.66	0.7	0.66	0.25	1.3190000000000001E-3	2.6200000000000001E-2	 CLDN4 High 
GOLGA3	12q24.33	10.43	10.65	0.62	0.6	-0.22	1.32E-3	2.6200000000000001E-2	 CLDN4 Low
DPY19L1	7p14.2	8.74	8.99	0.68	0.67	-0.25	1.325E-3	2.6200000000000001E-2	 CLDN4 Low
NDUFB4	3q13.33	11.56	11.32	0.69	0.61	0.24	1.333E-3	2.64E-2	 CLDN4 High 
JRK	8q24.3	8.82	9.1300000000000008	0.88	0.82	-0.31	1.34E-3	2.6499999999999999E-2	 CLDN4 Low
SLX4	16p13.3	7.78	8.0299999999999994	0.66	0.67	-0.24	1.3450000000000001E-3	2.6499999999999999E-2	 CLDN4 Low
GUK1	1q42.13	12.19	11.95	0.69	0.61	0.24	1.348E-3	2.6599999999999999E-2	 CLDN4 High 
MYL12B	18p11.31	12.41	12.18	0.63	0.59	0.23	1.3500000000000001E-3	2.6599999999999999E-2	 CLDN4 High 
COL24A1	1p22.3	3.66	4.3099999999999996	1.7	1.81	-0.65	1.3500000000000001E-3	2.6599999999999999E-2	 CLDN4 Low
JTB	1q21.3	11.99	11.79	0.56999999999999995	0.5	0.2	1.353E-3	2.6599999999999999E-2	 CLDN4 High 
R3HDM4	19p13.3	10.37	10.16	0.56000000000000005	0.54	0.2	1.353E-3	2.6599999999999999E-2	 CLDN4 High 
INSYN1	15q24.1	3.48	4.0999999999999996	1.6	1.78	-0.62	1.356E-3	2.6599999999999999E-2	 CLDN4 Low
ATXN1	6p22.3	9.51	9.77	0.7	0.71	-0.26	1.3569999999999999E-3	2.6599999999999999E-2	 CLDN4 Low
RIPOR2	6p22.3	6.59	7.03	1.27	1.1299999999999999	-0.44	1.3630000000000001E-3	2.6700000000000002E-2	 CLDN4 Low
H2BC21	1q21.2	9.7100000000000009	9.23	1.23	1.38	0.48	1.3669999999999999E-3	2.6700000000000002E-2	 CLDN4 High 
ARHGAP42	11q22.1	6.14	6.55	1.0900000000000001	1.1100000000000001	-0.41	1.3680000000000001E-3	2.6700000000000002E-2	 CLDN4 Low
WBP2	17q25.1	11.83	11.61	0.63	0.56999999999999995	0.22	1.371E-3	2.6800000000000001E-2	 CLDN4 High 
ZNF180	19q13.31	7.3	7.54	0.69	0.65	-0.25	1.372E-3	2.6800000000000001E-2	 CLDN4 Low
DHPS	19p13.13	10.210000000000001	9.9600000000000009	0.7	0.67	0.25	1.3829999999999999E-3	2.69E-2	 CLDN4 High 
CD36	7q21.11	6.46	7.11	1.67	1.83	-0.65	1.384E-3	2.69E-2	 CLDN4 Low
SHLD2P1	10q11.22	6.56	6.77	0.59	0.53	-0.21	1.387E-3	2.7E-2	 CLDN4 Low
KIF2A	5q12.1	9.1	9.31	0.6	0.55000000000000004	-0.21	1.3929999999999999E-3	2.7099999999999999E-2	 CLDN4 Low
PORCN	Xp11.23	9.0299999999999994	8.6300000000000008	1.1599999999999999	1	0.4	1.3990000000000001E-3	2.7099999999999999E-2	 CLDN4 High 
CUEDC1	17q22	9.6199999999999992	9.3699999999999992	0.65	0.76	0.26	1.4E-3	2.7099999999999999E-2	 CLDN4 High 
PDCD11	10q24.33	10.23	10.47	0.65	0.66	-0.24	1.402E-3	2.7099999999999999E-2	 CLDN4 Low
TAGLN2	1q23.2	13.75	13.53	0.59	0.59	0.22	1.402E-3	2.7099999999999999E-2	 CLDN4 High 
MCAM	11q23.3	10.23	10.51	0.78	0.73	-0.28000000000000003	1.403E-3	2.7099999999999999E-2	 CLDN4 Low
CLYBL	13q32.3	6.92	6.59	0.88	0.91	0.33	1.41E-3	2.7199999999999998E-2	 CLDN4 High 
FOSB	19q13.32	9.67	8.81	2.35	2.34	0.86	1.413E-3	2.7300000000000001E-2	 CLDN4 High 
C14ORF132	14q32.2	8.0500000000000007	8.6	1.54	1.42	-0.55000000000000004	1.415E-3	2.7300000000000001E-2	 CLDN4 Low
LINC00926	15q21.3	3.59	3.98	0.98	1.1299999999999999	-0.39	1.418E-3	2.7300000000000001E-2	 CLDN4 Low
INKA2	1p13.2	5.07	5.45	0.99	1.03	-0.37	1.421E-3	2.7300000000000001E-2	 CLDN4 Low
PHLDA3	1q32.1	10.51	10.130000000000001	0.99	1.08	0.38	1.4220000000000001E-3	2.7300000000000001E-2	 CLDN4 High 
SLC22A18	11p15.4	9.24	8.8699999999999992	1.03	1	0.37	1.4239999999999999E-3	2.7300000000000001E-2	 CLDN4 High 
WDR83OS	19p13.13	11.5	11.24	0.74	0.69	0.26	1.4250000000000001E-3	2.7300000000000001E-2	 CLDN4 High 
AMER1	Xq11.2	8.4	8.65	0.72	0.63	-0.25	1.4419999999999999E-3	2.76E-2	 CLDN4 Low
RASGRP3	2p22.3	6.55	6.83	0.75	0.78	-0.28000000000000003	1.4450000000000001E-3	2.7699999999999999E-2	 CLDN4 Low
ENO3	17p13.2	5.72	6.1	1.01	1.08	-0.38	1.451E-3	2.7799999999999998E-2	 CLDN4 Low
CD81	11p15.5	14.08	13.82	0.72	0.71	0.26	1.456E-3	2.7799999999999998E-2	 CLDN4 High 
GABARAPL2	16q23.1	10.36	10.14	0.57999999999999996	0.64	0.22	1.457E-3	2.7799999999999998E-2	 CLDN4 High 
ZNF324B	19q13.43	6.6	6.85	0.73	0.66	-0.26	1.462E-3	2.7900000000000001E-2	 CLDN4 Low
ARF5	7q32.1	11.65	11.43	0.55000000000000004	0.64	0.22	1.472E-3	2.81E-2	 CLDN4 High 
RNASEK	17p13.1	11.52	11.3	0.65	0.6	0.23	1.475E-3	2.81E-2	 CLDN4 High 
ANKRD65	1p36.33	9.99	9.51	1.17	1.41	0.47	1.4760000000000001E-3	2.81E-2	 CLDN4 High 
SH2B2	7q22.1	7.98	7.68	0.8	0.83	0.3	1.482E-3	2.81E-2	 CLDN4 High 
GPLD1	6p22.3	4.2699999999999996	4.7300000000000004	1.32	1.22	-0.46	1.4859999999999999E-3	2.81E-2	 CLDN4 Low
CCDC33	15q24.1	5.34	4.5999999999999996	2.02	2.02	0.74	1.487E-3	2.81E-2	 CLDN4 High 
TBL1X	Xp22.31-p22.2	9.74	10.119999999999999	1.1100000000000001	0.96	-0.38	1.487E-3	2.81E-2	 CLDN4 Low
SNORD1C	17q25.1	4.8099999999999996	5.2	1.03	1.1100000000000001	-0.39	1.4890000000000001E-3	2.81E-2	 CLDN4 Low
MASP2	1p36.22	4.16	4.5599999999999996	1.1200000000000001	1.06	-0.4	1.4920000000000001E-3	2.81E-2	 CLDN4 Low
ZNF318	6p21.1	9.5299999999999994	9.76	0.65	0.62	-0.23	1.4920000000000001E-3	2.81E-2	 CLDN4 Low
TMEM161A	19p13.11	9.92	9.68	0.67	0.65	0.24	1.493E-3	2.81E-2	 CLDN4 High 
ZNF525	19q13.42	7.35	7.59	0.67	0.64	-0.24	1.493E-3	2.81E-2	 CLDN4 Low
CD226	18q22.2	3.15	3.58	1.1200000000000001	1.21	-0.43	1.493E-3	2.81E-2	 CLDN4 Low
TRAF3IP2	6q21	9.23	8.9499999999999993	0.72	0.76	0.27	1.4970000000000001E-3	2.8199999999999999E-2	 CLDN4 High 
XPNPEP1	10q25.1	10.1	10.26	0.45	0.4	-0.16	1.5E-3	2.8199999999999999E-2	 CLDN4 Low
ANKRD39	2q11.2	7.82	7.62	0.56999999999999995	0.55000000000000004	0.2	1.5009999999999999E-3	2.8199999999999999E-2	 CLDN4 High 
FTH1	11q12.3	15.89	15.56	0.94	0.86	0.33	1.5020000000000001E-3	2.8199999999999999E-2	 CLDN4 High 
BCL7C	16p11.2	10.5	10.25	0.72	0.63	0.25	1.5020000000000001E-3	2.8199999999999999E-2	 CLDN4 High 
CIAO3	16p13.3	9.2200000000000006	9.0299999999999994	0.52	0.52	0.19	1.506E-3	2.8199999999999999E-2	 CLDN4 High 
ZBTB5	9p13.2	9.5399999999999991	9.75	0.55000000000000004	0.57999999999999996	-0.21	1.508E-3	2.8199999999999999E-2	 CLDN4 Low
DIS3L	15q22.31	9.3000000000000007	9.51	0.57999999999999996	0.61	-0.22	1.511E-3	2.8199999999999999E-2	 CLDN4 Low
METTL16	17p13.3	9.23	9.43	0.52	0.61	-0.21	1.511E-3	2.8199999999999999E-2	 CLDN4 Low
NUP153	6p22.3	10.83	11.04	0.62	0.55000000000000004	-0.21	1.523E-3	2.8400000000000002E-2	 CLDN4 Low
C1ORF210	1p34.2	9.19	8.82	0.64	1.31	0.38	1.5299999999999999E-3	2.8500000000000001E-2	 CLDN4 High 
URB1-AS1	21q22.11	7.3	7.01	0.82	0.79	0.28999999999999998	1.5319999999999999E-3	2.8500000000000001E-2	 CLDN4 High 
NPC2	14q24.3	12.68	12.38	0.83	0.8	0.3	1.5380000000000001E-3	2.86E-2	 CLDN4 High 
CEP152	15q21.1	6.14	6.43	0.83	0.79	-0.3	1.5380000000000001E-3	2.86E-2	 CLDN4 Low
SYNE3	14q32.13	4.43	4.88	1.18	1.31	-0.46	1.5410000000000001E-3	2.86E-2	 CLDN4 Low
LINC00626	1q24.2	1.1000000000000001	1.59	1.1000000000000001	1.53	-0.48	1.5449999999999999E-3	2.87E-2	 CLDN4 Low
KIAA0753	17p13.1	8.58	8.8000000000000007	0.6	0.63	-0.23	1.5479999999999999E-3	2.87E-2	 CLDN4 Low
CECR2	22q11.1-q11.21	3.43	4.41	2.67	2.71	-0.98	1.5510000000000001E-3	2.87E-2	 CLDN4 Low
MRE11	11q21	8.7200000000000006	8.93	0.56000000000000005	0.62	-0.22	1.552E-3	2.87E-2	 CLDN4 Low
TMEM131L	4q31.3	8.08	8.34	0.7	0.73	-0.26	1.5560000000000001E-3	2.8799999999999999E-2	 CLDN4 Low
PTPN12	7q11.23	10.8	10.63	0.48	0.46	0.17	1.5629999999999999E-3	2.8899999999999999E-2	 CLDN4 High 
SPATS2	12q13.12	9.11	9.3699999999999992	0.7	0.72	-0.26	1.5709999999999999E-3	2.9000000000000001E-2	 CLDN4 Low
UNC13D	17q25.3	9.0299999999999994	8.6199999999999992	1.1399999999999999	1.1000000000000001	0.41	1.572E-3	2.9000000000000001E-2	 CLDN4 High 
ACSS2	20q11.22	10.14	9.94	0.56000000000000005	0.55000000000000004	0.2	1.573E-3	2.9000000000000001E-2	 CLDN4 High 
MTF1	1p34.3	8.94	9.17	0.7	0.53	-0.23	1.5740000000000001E-3	2.9000000000000001E-2	 CLDN4 Low
SCEL	13q22.3	6.68	5.83	2.2400000000000002	2.44	0.85	1.575E-3	2.9000000000000001E-2	 CLDN4 High 
VTN	17q11.2	2.98	3.55	1.35	1.75	-0.56999999999999995	1.5759999999999999E-3	2.9000000000000001E-2	 CLDN4 Low
AOC4P	17q21.31	0.66	0.98	0.75	1.01	-0.32	1.578E-3	2.9000000000000001E-2	 CLDN4 Low
PPRC1	10q24.32	10.58	10.8	0.57999999999999996	0.57999999999999996	-0.21	1.585E-3	2.9100000000000001E-2	 CLDN4 Low
RAB33A	Xq26.1	3.71	4.08	1.02	1.03	-0.37	1.5900000000000001E-3	2.9100000000000001E-2	 CLDN4 Low
MTHFR	1p36.22	9.2200000000000006	9.49	0.75	0.75	-0.27	1.5900000000000001E-3	2.9100000000000001E-2	 CLDN4 Low
AIP	11q13.2	10.32	10.119999999999999	0.59	0.5	0.2	1.5920000000000001E-3	2.9100000000000001E-2	 CLDN4 High 
ICE1	5p15.32	9.84	10.029999999999999	0.5	0.56000000000000005	-0.19	1.5989999999999999E-3	2.92E-2	 CLDN4 Low
USP34	2p15	11.03	11.23	0.54	0.55000000000000004	-0.2	1.6050000000000001E-3	2.93E-2	 CLDN4 Low
TRPV1	17p13.2	7.23	7.54	0.78	0.93	-0.31	1.619E-3	2.9499999999999998E-2	 CLDN4 Low
TMPRSS3	21q22.3	10.66	10.19	1.19	1.39	0.47	1.6280000000000001E-3	2.9600000000000001E-2	 CLDN4 High 
SCO1	17p13.1	8.5	8.67	0.47	0.47	-0.17	1.629E-3	2.9600000000000001E-2	 CLDN4 Low
TXLNG	Xp22.2	7.86	8.07	0.6	0.59	-0.22	1.6299999999999999E-3	2.9600000000000001E-2	 CLDN4 Low
CAPRIN2	12p11.21	8.1300000000000008	8.39	0.7	0.72	-0.26	1.6310000000000001E-3	2.9600000000000001E-2	 CLDN4 Low
GOSR1	17q11.2	9.6999999999999993	9.84	0.36	0.43	-0.14000000000000001	1.6360000000000001E-3	2.9700000000000001E-2	 CLDN4 Low
C14ORF93	14q11.2	8.1	7.92	0.49	0.48	0.18	1.642E-3	2.98E-2	 CLDN4 High 
EML5	14q31.3	5.2	5.48	0.69	0.82	-0.28000000000000003	1.6429999999999999E-3	2.98E-2	 CLDN4 Low
NMT2	10p13	8.19	8.4	0.57999999999999996	0.57999999999999996	-0.21	1.6440000000000001E-3	2.98E-2	 CLDN4 Low
SHLD2	10q23.2	8.99	9.2200000000000006	0.71	0.55000000000000004	-0.23	1.6459999999999999E-3	2.98E-2	 CLDN4 Low
STK32B	4p16.2	5.25	5.94	1.87	1.93	-0.69	1.6509999999999999E-3	2.98E-2	 CLDN4 Low
SH3PXD2A	10q24.33	10.33	10.67	0.93	0.92	-0.33	1.652E-3	2.98E-2	 CLDN4 Low
CDC42SE1	1q21.3	11.27	11.08	0.54	0.52	0.19	1.6559999999999999E-3	2.98E-2	 CLDN4 High 
ADGRV1	5q14.3	3.92	4.7	2.17	2.15	-0.78	1.6559999999999999E-3	2.98E-2	 CLDN4 Low
BAIAP2L1	7q21.3-q22.1	10.64	10.42	0.47	0.7	0.22	1.6620000000000001E-3	2.9899999999999999E-2	 CLDN4 High 
S100A16	1q21.3	11.98	11.58	1.1399999999999999	1.06	0.4	1.668E-3	0.03	 CLDN4 High 
GRAMD1B	11q24.1	6.15	6.62	1.41	1.1499999999999999	-0.47	1.671E-3	0.03	 CLDN4 Low
BACE1	11q23.3	10.76	11.02	0.8	0.61	-0.26	1.6770000000000001E-3	3.0099999999999998E-2	 CLDN4 Low
ADD3	10q25.1-q25.2	10.86	11.07	0.57999999999999996	0.56000000000000005	-0.21	1.6770000000000001E-3	3.0099999999999998E-2	 CLDN4 Low
NRIP2	12p13.33	5.83	6.11	0.79	0.78	-0.28999999999999998	1.6800000000000001E-3	3.0099999999999998E-2	 CLDN4 Low
ITLN2	1q23.3	0.39	0.74	0.72	1.1499999999999999	-0.35	1.6819999999999999E-3	3.0099999999999998E-2	 CLDN4 Low
ITPA	20p13	10.039999999999999	9.8000000000000007	0.68	0.68	0.25	1.6850000000000001E-3	3.0200000000000001E-2	 CLDN4 High 
ZCCHC18	Xq22.2	3.39	3.86	1.26	1.34	-0.47	1.6900000000000001E-3	3.0200000000000001E-2	 CLDN4 Low
CDC26	9q32	5.42	4.6500000000000004	1.78	2.42	0.77	1.694E-3	3.0200000000000001E-2	 CLDN4 High 
ERBB3	12q13.2	11.58	11.14	0.92	1.45	0.44	1.694E-3	3.0200000000000001E-2	 CLDN4 High 
RSC1A1	1p36.21	7.74	7.97	0.65	0.57999999999999996	-0.22	1.694E-3	3.0200000000000001E-2	 CLDN4 Low
ARHGEF25	12q13.3	8.2799999999999994	8.67	1.07	1.06	-0.38	1.696E-3	3.0200000000000001E-2	 CLDN4 Low
RAD54L2	3p21.2	7.99	8.23	0.68	0.64	-0.24	1.6969999999999999E-3	3.0200000000000001E-2	 CLDN4 Low
CD109	6q13	9.15	9.68	1.45	1.45	-0.52	1.7030000000000001E-3	3.0300000000000001E-2	 CLDN4 Low
DCAF13P3	15q21.2	1.88	2.14	0.72	0.71	-0.26	1.704E-3	3.0300000000000001E-2	 CLDN4 Low
TMEM229A	7q31.32	0.46	0.79	0.73	1.07	-0.33	1.7080000000000001E-3	3.0300000000000001E-2	 CLDN4 Low
C6ORF201	6p25.2	3	3.33	0.96	0.86	-0.33	1.709E-3	3.0300000000000001E-2	 CLDN4 Low
SOCS3	17q25.3	11.25	10.84	1.08	1.19	0.41	1.7099999999999999E-3	3.0300000000000001E-2	 CLDN4 High 
RFLNB	17p13.3	7.39	7.76	0.95	1.1000000000000001	-0.37	1.712E-3	3.0300000000000001E-2	 CLDN4 Low
NPAT	11q22.3	8.7100000000000009	8.91	0.53	0.59	-0.2	1.7149999999999999E-3	3.0300000000000001E-2	 CLDN4 Low
OMG	17q11.2	1.51	1.82	0.83	0.91	-0.32	1.7210000000000001E-3	3.04E-2	 CLDN4 Low
RPL23AP32	2p16.2	1	1.31	0.84	0.88	-0.31	1.7290000000000001E-3	3.0499999999999999E-2	 CLDN4 Low
BTN2A3P	6p22.2	3.64	3.92	0.82	0.75	-0.28000000000000003	1.7309999999999999E-3	3.0499999999999999E-2	 CLDN4 Low
BLOC1S6	15q21.1	9.57	9.75	0.51	0.49	-0.18	1.7390000000000001E-3	3.0700000000000002E-2	 CLDN4 Low
EPHA1	7q34-q35	9.6300000000000008	9.1999999999999993	0.9	1.41	0.43	1.756E-3	3.09E-2	 CLDN4 High 
INHBE	12q13.3	2.79	3.45	1.68	1.96	-0.66	1.771E-3	3.1199999999999999E-2	 CLDN4 Low
MICAL3	22q11.21	10.42	10.72	0.84	0.84	-0.3	1.7730000000000001E-3	3.1199999999999999E-2	 CLDN4 Low
ISM2	14q24.3	3.6	4.2699999999999996	1.71	2.0099999999999998	-0.67	1.774E-3	3.1199999999999999E-2	 CLDN4 Low
PHC1	12p13.31	9.61	9.9	0.77	0.87	-0.3	1.7769999999999999E-3	3.1199999999999999E-2	 CLDN4 Low
EXOG	3p22.2	6.94	7.14	0.56999999999999995	0.54	-0.2	1.7799999999999999E-3	3.1199999999999999E-2	 CLDN4 Low
PRPF4B	6p25.2	10.52	10.7	0.52	0.49	-0.18	1.7880000000000001E-3	3.1300000000000001E-2	 CLDN4 Low
BAG1	9p13.3	10.26	10	0.64	0.76	0.25	1.7899999999999999E-3	3.1300000000000001E-2	 CLDN4 High 
KLHL15	Xp22.11	7.94	8.16	0.64	0.59	-0.22	1.7910000000000001E-3	3.1300000000000001E-2	 CLDN4 Low
MN1	22q12.1	7.15	7.74	1.71	1.57	-0.59	1.807E-3	3.15E-2	 CLDN4 Low
CLIC4	1p36.11	11.73	11.94	0.65	0.54	-0.21	1.807E-3	3.15E-2	 CLDN4 Low
SLC50A1	1q22	10.57	10.32	0.73	0.67	0.25	1.81E-3	3.1600000000000003E-2	 CLDN4 High 
DELEC1	9q33.1	0.02	0.09	0.09	0.25	-7.0000000000000007E-2	1.82E-3	3.1699999999999999E-2	 CLDN4 Low
HAX1	1q21.3	11.23	11.03	0.59	0.51	0.2	1.8270000000000001E-3	3.1800000000000002E-2	 CLDN4 High 
ERCC4	16p13.12	7.96	8.17	0.64	0.56000000000000005	-0.22	1.8309999999999999E-3	3.1899999999999998E-2	 CLDN4 Low
CCDC32	15q15.1	8.23	8.02	0.56999999999999995	0.57999999999999996	0.21	1.836E-3	3.1899999999999998E-2	 CLDN4 High 
MAPT-IT1	17q21.31	0.11	0.26	0.34	0.5	-0.15	1.8370000000000001E-3	3.1899999999999998E-2	 CLDN4 Low
LYPLA2	1p36.11	10.67	10.45	0.62	0.59	0.22	1.838E-3	3.1899999999999998E-2	 CLDN4 High 
MREG	2q35	8.8000000000000007	8.52	0.78	0.79	0.28000000000000003	1.841E-3	3.1899999999999998E-2	 CLDN4 High 
HOXB2	17q21.32	9.9600000000000009	9.35	1.63	1.77	0.61	1.8439999999999999E-3	3.1899999999999998E-2	 CLDN4 High 
ZNF22	10q11.21	9.65	9.85	0.56000000000000005	0.55000000000000004	-0.2	1.848E-3	3.2000000000000001E-2	 CLDN4 Low
SOBP	6q21	6.83	7.3	1.31	1.32	-0.47	1.8519999999999999E-3	3.2000000000000001E-2	 CLDN4 Low
GRHL2	8q22.3	9.92	9.57	0.53	1.26	0.35	1.8580000000000001E-3	3.2099999999999997E-2	 CLDN4 High 
ACSM2A	16p12.3	0.01	0.1	0.08	0.35	-0.09	1.8630000000000001E-3	3.2199999999999999E-2	 CLDN4 Low
CEP85L	6q22.31	4.7	5.05	0.94	0.97	-0.34	1.864E-3	3.2199999999999999E-2	 CLDN4 Low
H2BC8	6p22.2	4.9800000000000004	4.47	1.37	1.48	0.51	1.866E-3	3.2199999999999999E-2	 CLDN4 High 
PRKCG	19q13.42	3.21	4.09	2.2999999999999998	2.62	-0.88	1.877E-3	3.2300000000000002E-2	 CLDN4 Low
NF1	17q11.2	10.050000000000001	10.37	0.94	0.87	-0.32	1.882E-3	3.2399999999999998E-2	 CLDN4 Low
FABP7	6q22.31	0.24	0.62	0.79	1.29	-0.38	1.8829999999999999E-3	3.2399999999999998E-2	 CLDN4 Low
PNKD	2q35	11.99	11.78	0.61	0.54	0.21	1.887E-3	3.2399999999999998E-2	 CLDN4 High 
ZNF524	19q13.42	8.5	8.25	0.7	0.7	0.25	1.8890000000000001E-3	3.2399999999999998E-2	 CLDN4 High 
EPN3	17q21.33	10.130000000000001	9.67	1.21	1.36	0.46	1.8910000000000001E-3	3.2399999999999998E-2	 CLDN4 High 
NAT8	2p13.1	1.4	1.72	0.89	0.9	-0.32	1.921E-3	3.2899999999999999E-2	 CLDN4 Low
CTPS1	1p34.2	9.44	9.6999999999999993	0.75	0.69	-0.26	1.923E-3	3.2899999999999999E-2	 CLDN4 Low
TAL2	9q31.2	0.49	0.71	0.56999999999999995	0.64	-0.22	1.928E-3	3.3000000000000002E-2	 CLDN4 Low
UBE2O	17q25.1	9.9700000000000006	10.16	0.54	0.55000000000000004	-0.19	1.936E-3	3.3000000000000002E-2	 CLDN4 Low
CLDN18	3q22.3	0.89	1.27	0.81	1.26	-0.38	1.936E-3	3.3000000000000002E-2	 CLDN4 Low
SCYL2	12q23.1	9.65	9.86	0.56000000000000005	0.56999999999999995	-0.2	1.939E-3	3.3000000000000002E-2	 CLDN4 Low
PDP1	8q22.1	9.61	9.34	0.81	0.69	0.27	1.941E-3	3.3000000000000002E-2	 CLDN4 High 
SRL	16p13.3	3.34	3.84	1.36	1.45	-0.5	1.9430000000000001E-3	3.3000000000000002E-2	 CLDN4 Low
BLM	15q26.1	7.28	7.59	0.87	0.86	-0.31	1.9430000000000001E-3	3.3000000000000002E-2	 CLDN4 Low
DOCK5	8p21.2	7.21	7.65	1.21	1.28	-0.45	1.944E-3	3.3000000000000002E-2	 CLDN4 Low
SAP18	13q12.11	11.62	11.39	0.67	0.57999999999999996	0.22	1.9469999999999999E-3	3.3099999999999997E-2	 CLDN4 High 
RCN2	15q24.3	11.68	11.94	0.68	0.75	-0.25	1.952E-3	3.3099999999999997E-2	 CLDN4 Low
RC3H1	1q25.1	9.5299999999999994	9.68	0.46	0.38	-0.15	1.9530000000000001E-3	3.3099999999999997E-2	 CLDN4 Low
DCLK1	13q13.3	5.25	5.82	1.53	1.63	-0.56000000000000005	1.957E-3	3.32E-2	 CLDN4 Low
SDCBP2	20p13	6.54	6.09	1.32	1.18	0.45	1.9689999999999998E-3	3.3300000000000003E-2	 CLDN4 High 
TAF9B	Xq21.1	9.2899999999999991	9.58	0.75	0.83	-0.28000000000000003	1.9719999999999998E-3	3.3399999999999999E-2	 CLDN4 Low
SILC1	2p25.2	1.38	2.0099999999999998	1.55	1.97	-0.63	1.9750000000000002E-3	3.3399999999999999E-2	 CLDN4 Low
LAMTOR5	1p13.3	10.96	10.75	0.62	0.6	0.22	1.9759999999999999E-3	3.3399999999999999E-2	 CLDN4 High 
PHKA2	Xp22.13	9.39	9.6	0.6	0.61	-0.21	1.9849999999999998E-3	3.3500000000000002E-2	 CLDN4 Low
ACAD10	12q24.12	9.0500000000000007	9.2799999999999994	0.62	0.65	-0.23	1.99E-3	3.3500000000000002E-2	 CLDN4 Low
VASH2	1q32.3	6.29	6.72	1.18	1.2	-0.42	1.9959999999999999E-3	3.3599999999999998E-2	 CLDN4 Low
PALB2	16p12.2	8.3000000000000007	8.4700000000000006	0.46	0.48	-0.17	1.9989999999999999E-3	3.3599999999999998E-2	 CLDN4 Low
IFFO2	1p36.13	7.47	7.83	0.96	1.03	-0.36	2.0019999999999999E-3	3.3700000000000001E-2	 CLDN4 Low
ZYG11B	1p32.3	9.61	9.7799999999999994	0.47	0.49	-0.17	2.0040000000000001E-3	3.3700000000000001E-2	 CLDN4 Low
PHACTR1	6p24.1	6.42	6.92	1.41	1.41	-0.5	2.0079999999999998E-3	3.3700000000000001E-2	 CLDN4 Low
DCHS1	11p15.4	8.83	9.25	1.1200000000000001	1.27	-0.43	2.0089999999999999E-3	3.3700000000000001E-2	 CLDN4 Low
WSCD2	12q23.3	3.09	3.91	2.09	2.5299999999999998	-0.83	2.0089999999999999E-3	3.3700000000000001E-2	 CLDN4 Low
