Table S3, Webb and Yamamoto, et al 2021
OVCAR3 Cells					DepMap Analysis (Accessed 12/09/2021)
Compound	Class	Cell Viability in shCTRL	Cell Viability in shCLDN4		Compound (DepMap DataSet)	Class	Pearson r Cor w/CLDN4 Expression and Compound AUC	p-Value	Adj p-value
Ceritinib	Kinase Inhibitor	82	106		dactinomycin (GDSC2:1811)	DNA Replication Inhibitor	0.102703627727323	2.7119656117119698E-2	2.7119656117119698E-2
Chlorambucil	DNA Damage	108	28		vorinostat (GDSC2:1012)	Epigenetic	0.30128258103438099	4.7880719966667798E-13	4.7880719966667798E-13
Cisplatin	DNA Damage	139	101		entinostat (GDSC2:1593)	Epigenetic	0.24061758649846901	1.4972079770063899E-8	1.4972079770063899E-8
Cladribine	Antimetabolite	64	73		OTX015 (GDSC2:1626)	Epigenetic	0.244632598459949	2.1900293073707601E-8	2.1900293073707601E-8
Clofarabine	Other	57	70		I-BET-762 (GDSC2:1624)	Epigenetic	0.239686821987285	6.1455828585073704E-8	6.1455828585073704E-8
Cobimetinib	Kinase Inhibitor	89	54		I-BRD9 (GDSC2:1928)	Epigenetic	0.22692506260433501	2.919770939685E-7	2.919770939685E-7
Copanlisib	Kinase Inhibitor	66	81		PCI-34051 (GDSC2:1621)	Epigenetic	0.21110353552314001	1.22471438739397E-5	1.22471438739397E-5
Crizotinib	Kinase Inhibitor	54	78		Apabetalone (GDSC2:1625)	Epigenetic	0.13023095865680001	1.5804767209787299E-2	1.5804767209787299E-2
Cyclophosphamide	DNA Damage	116	109		OF-1 (GDSC2:1853)	Epigenetic	-0.110350700366609	1.6013924283221799E-2	1.6013924283221799E-2
Cytarabine hydrochloride	Antimetabolite	55	72		AOB2221 (GDSC2:1620)	Epigenetic	9.65966955795661E-2	0.123173104016219	0.123173104016219
Dabrafenib mesylate	Kinase Inhibitor	79	79		EPZ-5676 (GDSC2:1563)	Epigenetic	8.0865856400439806E-2	0.13558334415791101	0.13558334415791101
Dacarbazine	Cell Cycle Iinhibitor	112	101		JQ1-(+) (GDSC2:2172)	Epigenetic	5.9995538322282299E-2	0.70233617623151501	0.70233617623151501
Dacomitinib	Kinase Inhibitor	64	85		AOB3680 (GDSC2:1627)	Epigenetic	2.0020348872802299E-2	0.74146510575448299	0.74146510575448299
Dactinomycin	Other	26	28		GSK3203591 (GDSC2:2110)	Epigenetic	1.3822251330208001E-2	0.79185270719257295	0.79185270719257295
Dasatinib	Kinase Inhibitor	53	34		EPZ004777 (GDSC2:1237)	Epigenetic	-4.6415822257914697E-3	0.92871321473465496	0.92871321473465496
Daunorubicin hydrochloride	DNA Replication Inhibitor	42	35		tamoxifen (GDSC2:1199)	Hormone	0.12899390217301801	2.8756760336167602E-3	2.8756760336167602E-3
Decitabine	Epigenetic	94	45		fulvestrant (GDSC2:1200)	Hormone	-8.2177611615073004E-2	0.102925979455531	0.102925979455531
Dexrazoxane	Cell Cycle Iinhibitor	107	77		GDC 0810 (GDSC2:1925)	Hormone	-7.1067334213922598E-2	0.15341059720373801	0.15341059720373801
Docetaxel	Anti-tubulin	27	44		fulvestrant (GDSC2:1816)	Hormone	6.5669850753356004E-2	0.16862382800860401	0.16862382800860401
Doxorubicin hydrochloride	Cell Cycle Iinhibitor	31	29		AZ960 (GDSC2:1250)	Kinase Inhibitor	0.38122868099042001	2.4959838320323901E-19	2.4959838320323901E-19
Duvelisib	Kinase Inhibitor	77	104		AZD7762 (GDSC2:1022)	Kinase Inhibitor	0.36338800901388302	3.0768008303868099E-18	3.0768008303868099E-18
Enasidenib	Metabolic	94	111		AZD8931 (GDSC2:1549)	Kinase Inhibitor	-0.37353334502535801	4.22633743466317E-18	4.22633743466317E-18
Encorafenib	Kinase Inhibitor	74	66		Wee1 Inhibitor (GDSC2:1046)	Kinase Inhibitor	0.34468481629072401	9.2573983360061103E-17	9.2573983360061103E-17
Enzalutamide	Hormone	117	120		alisertib (GDSC2:1051)	Kinase Inhibitor	0.34227593995976102	3.45074293125775E-15	3.45074293125775E-15
Epirubicin hydrochloride	Cell Cycle Iinhibitor	33	32		MK-1775 (GDSC2:1179)	Kinase Inhibitor	0.31630198507403101	6.7739688571640901E-14	6.7739688571640901E-14
Erismodegib	Other	92	74		dinaciclib (GDSC2:1180)	Kinase Inhibitor	0.31667937538942298	7.0194534552459695E-14	7.0194534552459695E-14
Erlotinib hydrochloride	Kinase Inhibitor	92	87		osimertinib (GDSC2:1919)	Kinase Inhibitor	-0.273967071037159	1.7142456749799299E-10	1.7142456749799299E-10
Estramustine phosphate sodium	Hormone	130	44		NVP-BEZ235 (GDSC2:1057)	Kinase Inhibitor	0.253578040870372	1.8529807695186401E-9	1.8529807695186401E-9
Etoposide	DNA Replication Inhibitor	59	77		AZD6738 (GDSC2:1917)	Kinase Inhibitor	0.24900930188943299	2.8227872191670601E-9	2.8227872191670601E-9
Everolimus	Kinase Inhibitor	68	30		lapatinib (GDSC2:1558)	Kinase Inhibitor	-0.245813160291802	6.4706883105072704E-9	6.4706883105072704E-9
Exemestane	Hormone	114	108		SCH900776 (GDSC2:2046)	Kinase Inhibitor	0.24282085865640901	2.7130931368731399E-8	2.7130931368731399E-8
Floxuridine	Antimetabolite	68	72		AZD3759 (GDSC2:1915)	Kinase Inhibitor	-0.27488535441784401	4.0370143316215703E-8	4.0370143316215703E-8
Fludarabine phosphate	Antimetabolite	110	117		foretinib (GDSC2:2040)	Kinase Inhibitor	0.227073118683605	6.3650213580056999E-8	6.3650213580056999E-8
Fluorouracil	Antimetabolite	73	84		buparlisib (GDSC2:1873)	Kinase Inhibitor	0.225475217019005	8.8105801720033302E-8	8.8105801720033302E-8
Fulvestrant	Hormone	99	102		erlotinib (GDSC2:1168)	Kinase Inhibitor	-0.23846572271424499	1.0349226857185E-7	1.0349226857185E-7
Gefitinib	Kinase Inhibitor	90	98		afatinib (GDSC2:1032)	Kinase Inhibitor	-0.231512918193156	1.04548652504195E-7	1.04548652504195E-7
Gemcitabine hydrochloride	DNA Replication Inhibitor	50	59		VE 821 (GDSC2:2111)	Kinase Inhibitor	0.25142572100125798	1.4995018217324401E-7	1.4995018217324401E-7
Hydroxyurea	DNA Replication Inhibitor	119	100		sorafenib (GDSC2:1085)	Kinase Inhibitor	0.220640116727532	1.8116193273616299E-7	1.8116193273616299E-7
Ibrutinib	Kinase Inhibitor	95	48		gefitinib (GDSC2:1010)	Kinase Inhibitor	-0.26820973158276601	2.2115699311595799E-7	2.2115699311595799E-7
Idarubicin hydrochloride	Cell Cycle Iinhibitor	26	27		ibrutinib (GDSC2:1799)	Kinase Inhibitor	-0.25797626220999897	7.2320350042272599E-7	7.2320350042272599E-7
Idelalisib	Kinase Inhibitor	103	112		BDP-00009066 (GDSC2:1866)	Kinase Inhibitor	0.201439041136137	2.04168477453367E-6	2.04168477453367E-6
Ifosfamide	DNA Damage	129	94		dabrafenib (GDSC2:1373)	Kinase Inhibitor	0.20639920562959699	2.8428670262637902E-6	2.8428670262637902E-6
Imatinib	Kinase Inhibitor	116	48		palbociclib (GDSC2:1054)	Kinase Inhibitor	0.20558885153140599	4.7794178317018197E-6	4.7794178317018197E-6
Imiquimod	Immune	109	95		PRT062607 (GDSC2:1631)	Kinase Inhibitor	0.193653582550083	1.6159689615535299E-5	1.6159689615535299E-5
Irinotecan hydrochloride	DNA Replication Inhibitor	51	68		GSK2606414 (GDSC2:1618)	Kinase Inhibitor	0.18594186736424401	3.44802433943229E-5	3.44802433943229E-5
Ivosidenib	Metabolic	105	109		AMG-319 (GDSC2:2045)	Kinase Inhibitor	0.18841921240180401	5.4510054896006399E-5	5.4510054896006399E-5
Ixabepilone	Anti-tubulin	28	48		nilotinib (GDSC2:1013)	Kinase Inhibitor	0.19290168832594601	1.05492466863701E-4	1.05492466863701E-4
Ixazomib citrate	Proteosome Inhibitor	20	32		VE-822 (GDSC2:1613)	Kinase Inhibitor	0.181414591388249	1.2551738236091901E-4	1.2551738236091901E-4
Lapatinib	Kinase Inhibitor	89	107		WZ4003 (GDSC2:1614)	Kinase Inhibitor	0.167201447704837	2.1662285842114799E-4	2.1662285842114799E-4
Larotrectinib	Kinase Inhibitor	105	99		ruxolitinib (GDSC2:1507)	Kinase Inhibitor	0.199775875448618	7.9128526750076901E-4	7.9128526750076901E-4
Lenalidomide	Other	92	92		WY-090217 (GDSC2:1084)	Kinase Inhibitor	0.150725710930777	1.03365653749657E-3	1.03365653749657E-3
Lenvatinib	Kinase Inhibitor	107	92		NVP-ADW742 (GDSC2:1932)	Kinase Inhibitor	0.13507678767481399	1.4387337154183001E-3	1.4387337154183001E-3
Letrozole	Hormone	116	87		BVD-523 (GDSC2:2047)	Kinase Inhibitor	0.14010134611343	1.4667217765578901E-3	1.4667217765578901E-3
Lomustine	dNA Damage	105	47		dasatinib (GDSC2:1079)	Kinase Inhibitor	0.14271445069484501	1.7401036000816801E-3	1.7401036000816801E-3
Mechlorethamine hydrochloride	DNA Damage	45	65		OSI-027 (GDSC2:1594)	Kinase Inhibitor	-0.28320165296545202	1.8868607410625999E-3	1.8868607410625999E-3
Megestrol acetate	Hormone	127	31		AT13148 (GDSC2:2170)	Kinase Inhibitor	0.13660167262995901	2.4431047431867298E-3	2.4431047431867298E-3
Melphalan hydrochloride	Kinase Inhibitor	89	75		PLX4720 (GDSC2:1036)	Kinase Inhibitor	0.13268378955187199	3.3841378033408198E-3	3.3841378033408198E-3
Mercaptopurine	Antimetabolite	102	87		trametinib (GDSC2:1372)	Kinase Inhibitor	-0.12082985642568	5.4791585801350698E-3	5.4791585801350698E-3
Methotrexate	Other	59	50		BI-2536 (GDSC2:1086)	Kinase Inhibitor	0.46497330385042601	5.5932600001216397E-3	5.5932600001216397E-3
Methoxsalen	Metabolic	115	95		crizotinib (GDSC2:1083)	Kinase Inhibitor	-0.147720744055236	6.0526787213829704E-3	6.0526787213829704E-3
Mitomycin	DNA Replication Inhibitor	41	66		AZD5363 (GDSC2:1916)	Kinase Inhibitor	0.103924930316281	1.50311897751644E-2	1.50311897751644E-2
Mitotane	Hormone	125	96		KU-55933 (GDSC2:1030)	Kinase Inhibitor	0.37493505289551299	1.5719910656123801E-2	1.5719910656123801E-2
Mitoxantrone	Cell Cycle Iinhibitor	29	83		BMS-345541 (GDSC2:1249)	Kinase Inhibitor	0.10888724660980099	1.61111388297175E-2	1.61111388297175E-2
Nelarabine	Antimetabolite	105	101		GNE317 (GDSC2:1926)	Kinase Inhibitor	0.10196436483410599	1.71573157000364E-2	1.71573157000364E-2
Neratinib	Kinase Inhibitor	69	29		GS-9973 (GDSC2:1630)	Kinase Inhibitor	0.103618699111737	2.1124506985367199E-2	2.1124506985367199E-2
Nilotinib	Kinase Inhibitor	94	92		alpelisib (GDSC2:1560)	Kinase Inhibitor	-9.86474672520085E-2	2.33959914513685E-2	2.33959914513685E-2
Niraparib hydrochloride	DNA Damage	77	90		cediranib (GDSC2:1922)	Kinase Inhibitor	9.3040194643185706E-2	2.81163612213787E-2	2.81163612213787E-2
Olaparib	DNA Damage	75	67		Ro-3306 (GDSC2:1052)	Kinase Inhibitor	0.35039942526684797	3.3489245173069802E-2	3.3489245173069802E-2
Omacetaxine mepesuccinate	Other	21	28		BMS-536924 (GDSC2:1091)	Kinase Inhibitor	8.4740342520308307E-2	4.6192191750060403E-2	4.6192191750060403E-2
Osimertinib	Kinase Inhibitor	78	77		KU-57788 (GDSC2:1038)	Kinase Inhibitor	0.30550574388267399	4.9128575236925202E-2	4.9128575236925202E-2
Oxaliplatin	DNA Damage	108	65		savolitinib (GDSC2:1936)	Kinase Inhibitor	-9.6989756475150596E-2	5.8237990268509898E-2	5.8237990268509898E-2
Paclitaxel	Anti-tubulin	26	43		CZC24832 (GDSC2:1615)	Kinase Inhibitor	0.109278860649237	5.99755926989693E-2	5.99755926989693E-2
Palbociclib	Kinase Inhibitor	110	100		GSK1904529A (GDSC2:1093)	Kinase Inhibitor	8.0200187590979202E-2	6.5554241663891594E-2	6.5554241663891594E-2
Panobinostat	Epigenetic	21	39		GSK2110183C (GDSC2:1912)	Kinase Inhibitor	7.8264917168237594E-2	6.5650728099428596E-2	6.5650728099428596E-2
Pazopanib hydrochloride	kinase Inhibitor	97	43		GSK2578215A (GDSC2:1927)	Kinase Inhibitor	8.6981778489864506E-2	7.2570068528466494E-2	7.2570068528466494E-2
Pemetrexed, Disodium salt, Heptahydrate	Other	75	87		AZD8055 (GDSC2:1059)	Kinase Inhibitor	0.193981383212294	8.0769692933785803E-2	8.0769692933785803E-2
Pentostatin	Metabolic	123	112		PD-0325901 (GDSC2:1060)	Kinase Inhibitor	7.3173445522845507E-2	0.104639463905391	0.104639463905391
Pipobroman	DNA Damage	114	76		VX-11e (GDSC2:2096)	Kinase Inhibitor	-6.9147169840373099E-2	0.105892666601585	0.105892666601585
Plerixafor	Immune	111	97		taselisib (GDSC2:1561)	Kinase Inhibitor	-5.9823677669380203E-2	0.160816243989583	0.160816243989583
Plicamycin	Immune	29	28		tozasertib (GDSC2:1096)	Kinase Inhibitor	0.21792412129286501	0.201669295142757	0.201669295142757
Pomalidomide	OTher	110	90		doramapimod (GDSC2:1042)	Kinase Inhibitor	-0.20869101029239401	0.215141445249006	0.215141445249006
Ponatinib	Kinase Inhibitor	69	51		GDC-0941 (GDSC2:1058)	Kinase Inhibitor	5.0668466636366101E-2	0.24025026329448901	0.24025026329448901
Pralatrexate	Metabolic	51	31		uprosertib (GDSC2:2106)	Kinase Inhibitor	4.3700203053732699E-2	0.31760664418964601	0.31760664418964601
Procarbazine hydrochloride	DNA Damage	128	43		linsitinib (GDSC2:1510)	Kinase Inhibitor	4.07179370748737E-2	0.34631593000308503	0.34631593000308503
Raloxifene	Hormone	110	46		BMS-754807 (GDSC2:2171)	Kinase Inhibitor	0.15790785613018499	0.35767777960527902	0.35767777960527902
Regorafenib	Kinase Inhibitor	104	45		axitinib (GDSC2:1021)	Kinase Inhibitor	0.14531243950137299	0.37097119589502903	0.37097119589502903
Ribociclib	Kinase Inhibitor	111	110		GSK 269962A (GDSC2:1192)	Kinase Inhibitor	0.140345148121542	0.38771936345297903	0.38771936345297903
Romidepsin	Epigenetic	20	29		AZD4547 (GDSC2:1786)	Kinase Inhibitor	3.8607218456750303E-2	0.43168684598519202	0.43168684598519202
Rucaparib phosphate	DNA Damage	89	94		MK-2206 (GDSC2:1053)	Kinase Inhibitor	3.3801096469024801E-2	0.43569525159368899	0.43569525159368899
Sirolimus	Kinase Inhibitor	78	65		SB 216763 (GDSC2:1025)	Kinase Inhibitor	-9.6082094927020301E-2	0.47308237352736099	0.47308237352736099
Sorafenib	Kinase Inhibitor	105	98		ribociclib (GDSC2:1632)	Kinase Inhibitor	-0.10710809469329501	0.54656181964073203	0.54656181964073203
Streptozocin	Metabolic	123	118		uprosertib (GDSC2:1553)	Kinase Inhibitor	2.2990691787049398E-2	0.61313687597186295	0.61313687597186295
Sunitinib	Kinase Inhibitor	115	83		AZD6482 (GDSC2:2169)	Kinase Inhibitor	7.4287486113303103E-2	0.64870120689474897	0.64870120689474897
Talazoparib	DNA Damage	55	79		AZD8186 (GDSC2:1918)	Kinase Inhibitor	1.6343699938130701E-2	0.70630919824865501	0.70630919824865501
Tamoxifen citrate	Hormone	112	76		BVD-523 (GDSC2:1908)	Kinase Inhibitor	-1.4576827693620301E-2	0.73515059663818705	0.73515059663818705
Temozolomide	DNA Damage	105	100		PD-173074 (GDSC2:1049)	Kinase Inhibitor	1.63907005653319E-2	0.76917466784425603	0.76917466784425603
Temsirolimus	Kinase Inhibitor	81	37		PF-4708671 (GDSC2:1129)	Kinase Inhibitor	-2.2683214136945299E-2	0.88805186160654004	0.88805186160654004
Teniposide	Other	35	89		BPD-00008900 (GDSC2:1998)	Kinase Inhibitor	6.5869492905223804E-3	0.89910699566471097	0.89910699566471097
Thalidomide	Other	121	102		ZM 447439 (GDSC2:1050)	Kinase Inhibitor	-1.54257673727858E-2	0.92275886908151805	0.92275886908151805
Thioguanine	Antimetabolite	96	58		GDC 0068 (GDSC2:1924)	Kinase Inhibitor	3.8230575831024499E-3	0.92963516372919797	0.92963516372919797
Thiotepa	DNA Damage	116	114		LJI308 (GDSC2:2107)	Kinase Inhibitor	-0.112802169400468	4.7571944901043398E-2	4.7571944901043398E-2
Topotecan hydrochloride	DNA Replication Inhibitor	27	43		FK-866 (GDSC2:1248)	Metabolic	0.378222079677348	4.2783927958783001E-10	4.2783927958783001E-10
Trametinib	Kinase Inhibitor	84	80		Zoledronic acid (GDSC2:1802)	Metabolic	0.127913747125839	3.8167188514946701E-2	3.8167188514946701E-2
Tretinoin	Metabolic	95	103		AGI-6780 (GDSC2:1634)	Metabolic	5.2342804776090601E-2	0.27162429469912303	0.27162429469912303
Triethylenemelamine	Other	48	76		AGI-5198 (GDSC2:1913)	Metabolic	-4.34238206105017E-2	0.36295896877896899	0.36295896877896899
Trifluridine	Other	90	41		Dihydrorotenone (GDSC2:1827)	Metabolic	-2.4087578226685401E-2	0.58366514808752201	0.58366514808752201
Uracil mustard	DNA Damage	97	65		MST-312 (GDSC2:1930)	Other	0.41348141703556301	3.30093691277513E-24	3.30093691277513E-24
Uridine triacetate	Antimetabolite	104	107		BI-97C1 (GDSC2:1849)	Other	0.41100975165734299	3.19281274659255E-23	3.19281274659255E-23
Valrubicin	Other	52	71		AUY922 (GDSC2:1559)	Other	0.40986311466728598	4.6108156924679101E-20	4.6108156924679101E-20
Vandetanib	Kinase Inhibitor	85	86		pevonedistat (GDSC2:1529)	Other	0.35297402123573701	1.5982779058148799E-17	1.5982779058148799E-17
Vemurafenib	Kinase Inhibitor	103	123		YK-4-279 (GDSC2:1239)	Other	0.35061126225871098	2.5267075723745299E-17	2.5267075723745299E-17
Venetoclax	Other	117	89		Oxyphenisatin acetate (GDSC2:1804)	Other	-0.33731560300552199	2.41392773306927E-14	2.41392773306927E-14
Vinblastine sulfate	Anti-tubulin	27	34		Elephantin (GDSC2:1835)	Other	0.278775179292092	9.7703003606240197E-11	9.7703003606240197E-11
Vincristine sulfate	Anti-tubulin	27	31		venetoclax (GDSC2:1909)	Other	0.28136862762612802	6.5631357112206901E-10	6.5631357112206901E-10
Vinorelbine tartrate	Anti-tubulin	37	44		bortezomib (GDSC2:1191)	Other	0.26173515475423798	8.1746699838465E-10	8.1746699838465E-10
Vismodegib	Other	98	83		obatoclax (GDSC2:1068)	Other	0.22384710344287301	1.3920035357109199E-7	1.3920035357109199E-7
Vorinostat	Epigenetic	50	35		APR-246 (GDSC2:1131)	Other	0.24470889795399001	2.36737210833642E-7	2.36737210833642E-7
Zoledronic acid	Metabolic	96	91		ABT737 (GDSC2:1910)	Other	0.21408825691012601	3.6424822084307201E-7	3.6424822084307201E-7
					nutlin-3 (GDSC2:1047)	Other	0.21068517998289801	3.9857940824886003E-6	3.9857940824886003E-6
					Pyridostatin (GDSC2:2044)	Other	0.18018775353107	2.7605650289262099E-5	2.7605650289262099E-5
					fludarabine (GDSC2:1813)	Other	0.182084157500153	9.8997958321433006E-5	9.8997958321433006E-5
					YM-155 (GDSC2:1941)	Other	0.15868333945833299	1.6503832790972899E-4	1.6503832790972899E-4
					MIM-1 (GDSC2:1996)	Other	0.14963436089791499	6.8202246931485695E-4	6.8202246931485695E-4
					navitoclax (GDSC2:1011)	Other	0.13657452727106001	1.5912487980388401E-3	1.5912487980388401E-3
					Sinularin (GDSC2:1838)	Other	-0.14782346657248799	2.7276191085072801E-3	2.7276191085072801E-3
					LCL161 (GDSC2:1557)	Other	-0.159915129394957	4.5662134143454203E-3	4.5662134143454203E-3
					AZD5582 (GDSC2:1617)	Other	0.106334675597589	1.7158785597087299E-2	1.7158785597087299E-2
					ML323 (GDSC2:1629)	Other	9.01630652793214E-2	4.4744360899326097E-2	4.4744360899326097E-2
					BIBR-1532 (GDSC2:2043)	Other	9.2932521346323502E-2	7.4589734751475206E-2	7.4589734751475206E-2
					UMI-77 (GDSC2:1939)	Other	7.36140215578997E-2	9.0757984754296306E-2	9.0757984754296306E-2
					GTPL8020 (GDSC2:1855)	Other	7.9208476825680899E-2	9.1850987784411794E-2	9.1850987784411794E-2
					WEHI-539 (GDSC2:1997)	Other	7.1676746936279095E-2	0.101881412808942	0.101881412808942
					CS-1421 (GDSC2:1564)	Other	-5.6365199548289301E-2	0.17977599747593201	0.17977599747593201
					Gallibiscoquinazole (GDSC2:1830)	Other	-6.9197301789324095E-2	0.193980948349085	0.193980948349085
					MIRA-1 (GDSC2:1931)	Other	7.8675584073939403E-2	0.211432663058256	0.211432663058256
					SB 505124 (GDSC2:1194)	Other	0.187270609656011	0.28889902276914697	0.28889902276914697
					LY2109761 (GDSC2:1852)	Other	-6.7297358993527207E-2	0.30427304951376499	0.30427304951376499
					P22077 (GDSC2:1933)	Other	3.5072941773331402E-2	0.46977546150350302	0.46977546150350302
					Picolinate (GDSC2:1635)	Other	4.5874491172986302E-2	0.47024247641181699	0.47024247641181699
					WIKI4 (GDSC2:1940)	Wnt signaling	-0.1400761227749	1.3341809057491299E-3	1.3341809057491299E-3
					MN-64 (GDSC2:1854)	Wnt signaling	-0.154386045647569	1.95724853617302E-3	1.95724853617302E-3
					Wnt Inhibitor IWP-2 (GDSC2:1576)	Wnt signaling	9.0994237641089798E-2	0.14896968929840501	0.14896968929840501
					wnt-c59 (GDSC2:1622)	Wnt signaling	5.8477577162066301E-2	0.21670532762508099	0.21670532762508099
					XAV 939 (GDSC2:1268)	Wnt signaling	-2.07389149561602E-2	0.67656874566046199	0.67656874566046199
					AZ6102 (GDSC2:2109)	Wnt signaling	-1.6406134420459201E-2	0.702349064402081	0.702349064402081
					LGK-974 (GDSC2:1598)	Wnt signaling	9.2846205349635304E-3	0.82878614049718602	0.82878614049718602
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
