title,taxon,n_samples_meta,n_subjects_detected,n_pre_labelled,n_post_labelled,source_file,gene_row,n_samples_in_matrix,gse,n_paired_subjects,status,reason,n_tables_tried
Radiation Therapy Inhances Immunotherapy Response in  Microsatellite-stable Colorectal and Pancreatic Adenocarcinoma in a Phase II Trial,,54.0,0.0,43.0,0.0,GSE179351_RawCountsForAllSamples.txt.gz,56753,64.0,GSE179351,0.0,fail,TACSTD2 present but only 0 paired subjects,
Molecular predictors of response to pembrolizumab in thymic carcinoma,,30.0,0.0,0.0,0.0,GSE181815_20180514_ThymusCa_countMatrix_anno.csv.gz,ENSG00000184292,10.0,GSE181815,0.0,fail,TACSTD2 present but only 0 paired subjects,
A Phase II Trial of Adjuvant Durvalumab following Trimodality Therapy for Locally Advanced Esophageal and Gastroesophageal Junction Adenocarcinoma: A Big Ten Cancer Research Consortium Study,,37.0,37.0,0.0,0.0,GSE183924_FPKM.txt.gz,TACSTD2,39.0,GSE183924,0.0,fail,TACSTD2 present but only 0 paired subjects,
A functional circuit formed by the autonomic nerves and myofibroblasts controls mammalian alveolar formation for gas exchange,,1.0,0.0,0.0,1.0,,,,GSE189466,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
I-SPY2-990 mRNA/RPPA Data Resource: mRNA component,,654.0,654.0,654.0,0.0,GSE194040_ISPY2_LinearFit_forCombiningExp_20078.txt.gz,TACSTD2,4.0,GSE194040,0.0,fail,TACSTD2 present but only 0 paired subjects,
Transcriptomic analysis of hippocampus of hACE2 mice with SARS-CoV-2 infection,,6.0,3.0,0.0,0.0,,,,GSE199545,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Single-cell atlas of diverse immune populations in the advanced biliary tract cancer microenvironment,,32.0,5.0,0.0,32.0,,,,GSE201425,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Primate-specific ZNF808 is essential for pancreatic development in humans [ChIP-seq],,30.0,0.0,0.0,0.0,,,,GSE205152,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,,39.0,36.0,27.0,12.0,GSE207422_NSCLC_bulk_RNAseq_log2TPM.txt.gz,TACSTD2,24.0,GSE207422,0.0,fail,TACSTD2 present but only 0 paired subjects,
,,,,,,,,,GSE208652,,fail,matrix: no series matrix: https://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208652/matrix/GSE208652_series_matrix.txt.gz: HTTP Error 404: Not Found,0.0
A single-cell analysis reveals tumor heterogeneity and immune environment of acral melanoma [scRNA-Seq],,11.0,0.0,0.0,0.0,,,,GSE215120,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Baseline gene expression profiling determines long-term benefit to programmed cell death protein 1 axis blockade,,105.0,0.0,0.0,0.0,,,,GSE215868,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,2.0
Gene expression analysis of pheochromocytoma samples carrying co-occurrent mutations in NF1 and DLST.,,2.0,0.0,0.0,0.0,,,,GSE217206,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types,,355.0,0.0,0.0,0.0,GSE218989_SMC_KAIST_TPM_matrix_pc_rmdupli.txt.gz,TACSTD2,355.0,GSE218989,0.0,fail,TACSTD2 present but only 0 paired subjects,
Comprehensively profiling of molecular landscape using mHSPC patient (RNA-Seq).,,60.0,0.0,0.0,0.0,GSE221601_Expression.csv.gz,TACSTD2,60.0,GSE221601,0.0,fail,TACSTD2 present but only 0 paired subjects,
,,,,,,,,,GSE222219,,fail,matrix: no series matrix: https://ftp.ncbi.nlm.nih.gov/geo/series/GSE222nnn/GSE222219/matrix/GSE222219_series_matrix.txt.gz: HTTP Error 404: Not Found,0.0
Combinatorial effects on gene expression at the Lbx1/Fgf8 locus resolve Split-Hand/Foot Malformation type 3 [4C-seq],,12.0,0.0,0.0,0.0,,,,GSE223454,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Neoadjuvant and adjuvant pembrolizumab for advanced high-grade serous carcinoma (NeoPembrOV): A randomized phase II GINECO clinical trial,,109.0,0.0,53.0,0.0,GSE227666_neopembrov_counts.txt.gz,TACSTD2,109.0,GSE227666,0.0,fail,TACSTD2 present but only 0 paired subjects,
Coordinated single cell tumor microenvironment dynamics reinforce pancreatic cancer subtype,,2.0,0.0,0.0,0.0,,,,GSE231535,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Spatiotemporal single-cell analysis decodes cellular dynamics underlying different responses to immunotherapy in Colorectal Cancer,,169.0,22.0,66.0,37.0,GSE236581_features.tsv.gz,TACSTD2,2.0,GSE236581,0.0,fail,TACSTD2 present but only 0 paired subjects,
Comparative Transcriptomics Analysis of Shiga Toxin Producing Escherichia coli O157:H7 Grown in Bovine Rectoanal Junction Cells and Human Colonic Epithelial Cells,,9.0,0.0,0.0,0.0,,,,GSE240423,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
"Fibroblast-specific TGF-b signaling mediates dysfunction, fibrosis and hypertrophy in a mouse model of obesity-associated type 2 diabetes [RNA-seq: Smad3 in dbdb]",,12.0,0.0,0.0,0.0,,,,GSE241176,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,2.0
,,,,,,,,,GSE247765,,fail,matrix: no series matrix: https://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247765/matrix/GSE247765_series_matrix.txt.gz: HTTP Error 404: Not Found,0.0
Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial,,29.0,0.0,0.0,0.0,GSE248378_Durva_Post_FPKMs.txt.gz,TACSTD2,29.0,GSE248378,0.0,fail,TACSTD2 present but only 0 paired subjects,
The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients,,50.0,0.0,0.0,0.0,GSE260770_mRNA_FPKM.txt.gz,ENSG00000184292,51.0,GSE260770,0.0,fail,TACSTD2 present but only 0 paired subjects,
"Quantitative RNA pseudouridine maps reveal multi-layered translation control through plant rRNA, tRNA and mRNA pseudouridylation (maize)",,4.0,0.0,0.0,0.0,,,,GSE262376,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,2.0
,,,,,,,,,GSE264434,,fail,matrix: no series matrix: https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264434/matrix/GSE264434_series_matrix.txt.gz: HTTP Error 404: Not Found,0.0
A novel ATG4B-SESN3 axis promotes the growth of T-cell acute lymphoblastic leukemia cells,,6.0,0.0,0.0,0.0,,,,GSE268628,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,0.0
Pembrolizumab plus chemotherapy in frontline treatment of advanced epithelial ovarian cancer: clinical and translational results from a phase II trial,,97.0,0.0,42.0,0.0,,,,GSE271757,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
"Differential gene expression between wild type (Col 0) and mutants (Atplh1, Atplh2, Atplh3)",,36.0,0.0,0.0,0.0,,,,GSE272436,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Expression study of granuloma macrophages in the mouse liver,,12.0,0.0,0.0,0.0,,,,GSE273160,,fail,suppl GSE273160_normalized_R.txt.gz: cannot parse /workspace/data/geo/cache/GSE273160_normalized_R.txt.gz: object of type 'NoneType' has no len(),0.0
Transcriptome profiles of neonatal intestinal organoids under fibroblast coculture with or without LPS sitimulation and tryptophan metabolites intervention,,15.0,0.0,0.0,0.0,,,,GSE279881,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Distinct CD8+ T cell dynamics associate with response to neoadjuvant cancer immunotherapies,,180.0,0.0,0.0,0.0,GSE288199_HN01_pre_T_features.tsv.gz,ENSG00000184292,2.0,GSE288199,0.0,fail,TACSTD2 present but only 0 paired subjects,
Impact of molecular androgen and estrogen response scores on outcomes following neoadjuvant pembrolizumab in muscle-invasive bladder cancer,,102.0,0.0,0.0,0.0,series_matrix,TACSTD2,102.0,GSE298296,0.0,fail,TACSTD2 present but only 0 paired subjects,
RNA-Seq profiling of pre- and on-treatment tumor samples from breast cancer patients enrolled in the NeoTRIP trial.,,401.0,251.0,241.0,0.0,GSE319641_NeoTRIP_baseline_D1C2_TPM_ComBat_all_samples.txt.gz,TACSTD2,403.0,GSE319641,0.0,fail,TACSTD2 present but only 0 paired subjects,
Gene expression profiling of neoadjuvant ABFOLFOX treatment in patients with unresectable colorectal cancer with liver metastases,,104.0,0.0,0.0,0.0,GSE330465_count.dat.txt.gz,TACSTD2,104.0,GSE330465,0.0,fail,TACSTD2 present but only 0 paired subjects,
Molecular Determinants of Response to Anti–PD-1 Immunotherapy in Syngeneic Tumor Mouse Models,,143.0,0.0,21.0,40.0,,,,GSE168846,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
NCI-H460 gene expression analysis after in vivo treatment with anti-PD1 antibody,,12.0,0.0,6.0,0.0,,,,GSE210547,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,3.0
Epigenetic Silencing by SETDB1 Suppresses Tumor-cell Intrinsic Immunogenicity,,8.0,0.0,0.0,0.0,GSE155972_B16_FPKM_mm9.txt.gz,Tacstd2,8.0,GSE155972,0.0,fail,TACSTD2 present but only 0 paired subjects,
