cohort_id	source	organism	material	n_nominated	n_runs_lung_rnaseq	single_cell_frac	median_spots	study_title	url	selected_runs
SRP059363	sra	human	cell_line	44	44	0.0	3502021	Epigenome-wide analysis of DNA methylation in lung tissue shows concordance with blood studies and identifies tobacco smoke-inducible enhancers	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/63/SRP059363/sra.gene_sums.SRP059363.G026.gz	SRR2060136,SRR2060137,SRR2060138,SRR2060139,SRR2060140,SRR2060141,SRR2060142,SRR2060143,SRR2060144,SRR2060145,SRR2060146,SRR2060147,SRR2060148,SRR2060149,SRR2060150,SRR2060151,SRR2060152,SRR2060153,SRR2060154,SRR2060155,SRR2060156,SRR2060157,SRR2060158,SRR2060159,SRR2060160,SRR2060161,SRR2060162,SRR2060163,SRR2060164,SRR2060165,SRR2060166,SRR2060167,SRR2060168,SRR2060169,SRR2060170,SRR2060171,SRR2060172,SRR2060173,SRR2060174,SRR2060175,SRR2060176,SRR2060177,SRR2060178,SRR2060179
SRP060362	sra	human	cell_line	24	24	0.0	69997470	Homo sapiens Transcriptome or Gene expression	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/62/SRP060362/sra.gene_sums.SRP060362.G026.gz	SRR2087655,SRR2094357,SRR2094358,SRR2094359,SRR2094360,SRR2094362,SRR2094363,SRR2094364,SRR2094365,SRR2094366,SRR2094367,SRR2094368,SRR2094369,SRR2094371,SRR2094373,SRR2094374,SRR2094375,SRR2094377,SRR2094378,SRR2094379,SRR2094380,SRR2094381,SRR2094382,SRR2094383
SRP062973	sra	human	cell_line	12	12	0.0	25000000	mRNA expression profiling of the EGFR-mutant lung adenocarcinoma cell line HCC-827 and the NRAS-mutant neuroblastoma cell line CHP-212	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/73/SRP062973/sra.gene_sums.SRP062973.G026.gz	SRR2253241,SRR2253242,SRR2253243,SRR2253244,SRR2253245,SRR2253246,SRR2253247,SRR2253248,SRR2253249,SRR2253250,SRR2253251,SRR2253252
SRP063838	sra	human	tissue	24	24	0.0	8717701	Select correlative genes involved in pathogenesis of idiopathic interstitial pneumonia by high-throughput sequencing analysis	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/38/SRP063838/sra.gene_sums.SRP063838.G026.gz	SRR2444093,SRR2444094,SRR2444095,SRR2444096,SRR2444097,SRR2444098,SRR2444099,SRR2444100,SRR2444101,SRR2444102,SRR2444103,SRR2444104,SRR6032713,SRR6032714,SRR6032715,SRR6032716,SRR6032717,SRR6032718,SRR6032719,SRR6032720,SRR6032721,SRR6032722,SRR6032723,SRR6032724
SRP065206	sra	human	cell_line	72	72	0.0	10435586	BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq)	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/06/SRP065206/sra.gene_sums.SRP065206.G026.gz	SRR2932856,SRR2932857,SRR2932858,SRR2932859,SRR2932860,SRR2932861,SRR2932862,SRR2932863,SRR2932864,SRR2932865,SRR2932866,SRR2932867,SRR2932868,SRR2932869,SRR2932870,SRR2932871,SRR2932872,SRR2932873,SRR2932874,SRR2932875,SRR2932876,SRR2932877,SRR2932878,SRR2932879,SRR2932880,SRR2932881,SRR2932882,SRR2932883,SRR2932884,SRR2932885,SRR2932886,SRR2932887,SRR2932888,SRR2932889,SRR2932890,SRR2932891,SRR2932892,SRR2932893,SRR2932894,SRR2932895,SRR2932896,SRR2932897,SRR2932898,SRR2932899,SRR2932900,SRR2932901,SRR2932902,SRR2932903,SRR2932904,SRR2932905,SRR2932906,SRR2932907,SRR2932908,SRR2932909,SRR2932910,SRR2932911,SRR2932912,SRR2932913,SRR2932914,SRR2932915,SRR2932916,SRR2932917,SRR2932918,SRR2932919,SRR2932920,SRR2932921,SRR2932922,SRR2932923,SRR2932924,SRR2932925,SRR2932926,SRR2932927
SRP066794	sra	human	tissue	23	24	0.0	53512878	Determination of a comprehensive alternative splicing regulatory network and the combinatorial regulation by key factors during Epithelial-to-Mesenchymal Transition [EMT.time course]	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/94/SRP066794/sra.gene_sums.SRP066794.G026.gz	SRR2966453,SRR2966454,SRR2966455,SRR2966456,SRR2966457,SRR2966458,SRR2966459,SRR2966460,SRR2966461,SRR2966462,SRR2966463,SRR2966464,SRR2966465,SRR2966466,SRR2966467,SRR2966468,SRR2966469,SRR2966470,SRR2966471,SRR2966472,SRR2966473,SRR2966474,SRR2966475,SRR2966476
SRP066865	sra	human	cell_line	24	24	0.0	17458733	miRNA-1343 attenuates pathways of fibrosis by targeting the TGF-beta receptors [RNA-seq]	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/65/SRP066865/sra.gene_sums.SRP066865.G026.gz	SRR2968576,SRR2968577,SRR2968578,SRR2968579,SRR2968580,SRR2968581,SRR2968582,SRR2968583,SRR2968584,SRR2968585,SRR2968586,SRR2968587,SRR2968588,SRR2968589,SRR2968590,SRR2968591,SRR2968592,SRR2968593,SRR2968594,SRR2968595,SRR2968596,SRR2968597,SRR2968598,SRR2968599
SRP066947	sra	human	cell_line	24	24	0.0	16501386	Massive reshaping of genome - nuclear lamina interactions during oncogene induced senescence	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/47/SRP066947/sra.gene_sums.SRP066947.G026.gz	SRR2970873,SRR2970874,SRR2970875,SRR2970876,SRR2970877,SRR2970878,SRR2970879,SRR2970880,SRR2970881,SRR2970882,SRR2970883,SRR2970884,SRR2970885,SRR2970886,SRR2970887,SRR2970888,SRR2970889,SRR2970890,SRR2970891,SRR2970892,SRR2970893,SRR2970894,SRR2970895,SRR2970896
SRP067913	sra	human	culture_or_organoid	35	50	0.0	5352063	JAG1 Mediated Notch Signaling Regulates Secretory Cell Differentiation of the Human Airway Epithelium	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/13/SRP067913/sra.gene_sums.SRP067913.G026.gz	SRR3066145,SRR3066146,SRR3066147,SRR3066148,SRR3066149,SRR3066150,SRR3066151,SRR3066152,SRR3066153,SRR3066154,SRR3066155,SRR3066156,SRR3066157,SRR3066158,SRR3066159,SRR3066160,SRR3066161,SRR3066162,SRR3066163,SRR3066164,SRR3066165,SRR3066166,SRR3066167,SRR3066168,SRR3066169,SRR3066170,SRR3066171,SRR3066172,SRR3066173,SRR3066174,SRR3066175,SRR3066176,SRR3066177,SRR3066178,SRR3066179,SRR3066180,SRR3066181,SRR3066182,SRR3066183,SRR3066184,SRR3066185,SRR3066186,SRR3066187,SRR3066188,SRR3066189,SRR3066190,SRR3066191,SRR3066192,SRR3066193,SRR3066194
SRP067922	sra	human	tissue	52	52	0.0	16000000	Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq]	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/22/SRP067922/sra.gene_sums.SRP067922.G026.gz	SRR3066485,SRR3066486,SRR3066487,SRR3066488,SRR3066489,SRR3066490,SRR3066491,SRR3066492,SRR3066493,SRR3066494,SRR3066495,SRR3066496,SRR3066497,SRR3066498,SRR3066499,SRR3066500,SRR3066501,SRR3066502,SRR3066503,SRR3066504,SRR3066505,SRR3066506,SRR3066507,SRR3066508,SRR3066509,SRR3066510,SRR3066511,SRR3066512,SRR3066513,SRR3066514,SRR3066515,SRR3066516,SRR3066517,SRR3066518,SRR3066519,SRR3066520,SRR3066521,SRR3066522,SRR3066523,SRR3066524,SRR3066525,SRR3066526,SRR3066527,SRR3066528,SRR3066529,SRR3066530,SRR3066531,SRR3066532,SRR3066533,SRR3066534,SRR3066535,SRR3066536
SRP070840	sra	human	cell_line	12	12	0.0	7466598	Capicua-dependent transcriptional changes in human cancer cell lines treated with trametinib	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/40/SRP070840/sra.gene_sums.SRP070840.G026.gz	SRR3189329,SRR3189330,SRR3189331,SRR3189332,SRR3189333,SRR3189334,SRR3189335,SRR3189336,SRR3189337,SRR3189338,SRR3189339,SRR3189340
SRP071557	sra	human	tissue	20	20	0.0	62707278	The Landscape of Antisense Gene Expression in Human Cancers	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/57/SRP071557/sra.gene_sums.SRP071557.G026.gz	SRR3214818,SRR3214877,SRR3214878,SRR3214879,SRR3214880,SRR3214881,SRR3214882,SRR3214885,SRR3214886,SRR3214889,SRR3214890,SRR3214891,SRR3214892,SRR3214893,SRR3214894,SRR3214895,SRR3214897,SRR3214946,SRR3214947,SRR3214948
SRP071758	sra	human	tissue	82	82	0.0	45622250	Airway epithelial cells from smokers with and without bronchial premalignant lesions	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/58/SRP071758/sra.gene_sums.SRP071758.G026.gz	SRR3225255,SRR3225256,SRR3225257,SRR3225258,SRR3225259,SRR3225260,SRR3225261,SRR3225262,SRR3225263,SRR3225264,SRR3225265,SRR3225266,SRR3225267,SRR3225268,SRR3225269,SRR3225270,SRR3225271,SRR3225272,SRR3225273,SRR3225274,SRR3225275,SRR3225276,SRR3225277,SRR3225278,SRR3225279,SRR3225280,SRR3225281,SRR3225282,SRR3225283,SRR3225284,SRR3225285,SRR3225286,SRR3225287,SRR3225288,SRR3225289,SRR3225290,SRR3225291,SRR3225292,SRR3225293,SRR3225294,SRR3225295,SRR3225296,SRR3225297,SRR3225298,SRR3225299,SRR3225300,SRR3225301,SRR3225302,SRR3225303,SRR3225304,SRR3225305,SRR3225306,SRR3225307,SRR3225308,SRR3225309,SRR3225310,SRR3225311,SRR3225312,SRR3225313,SRR3225314,SRR3225315,SRR3225316,SRR3225317,SRR3225318,SRR3225319,SRR3225320,SRR3225321,SRR3225322,SRR3225323,SRR3225324,SRR3225325,SRR3225326,SRR3225327,SRR3225328,SRR3225329,SRR3225330,SRR3225331,SRR3225332,SRR3225333,SRR3225334,SRR3225335,SRR3225336
SRP072919	sra	human	cell_line	78	78	0.0	36850384	Merkel cell polyomavirus small T antigen promotes pro-glycolytic metabolic perturbations required for transformation	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/19/SRP072919/sra.gene_sums.SRP072919.G026.gz	SRR3340665,SRR3340666,SRR3340667,SRR3340668,SRR3340669,SRR3340670,SRR3340671,SRR3340672,SRR3340673,SRR3340674,SRR3340675,SRR3340676,SRR3340677,SRR3340678,SRR3340679,SRR3340680,SRR3340681,SRR3340682,SRR3340683,SRR3340684,SRR3340685,SRR3340686,SRR3340687,SRR3340688,SRR3340689,SRR3340690,SRR3340691,SRR3340692,SRR3340693,SRR3340694,SRR3340695,SRR3340696,SRR3340697,SRR3340698,SRR3340699,SRR3340700,SRR3340701,SRR3340702,SRR3340703,SRR3340704,SRR3340705,SRR3340706,SRR3340707,SRR3340708,SRR3340709,SRR3340710,SRR3340711,SRR3340712,SRR3340713,SRR3340714,SRR3340715,SRR3340716,SRR3340717,SRR3340718,SRR3340719,SRR3340720,SRR3340721,SRR3340722,SRR3340723,SRR3340724,SRR3340725,SRR3340726,SRR3340727,SRR3340728,SRR3340729,SRR3340730,SRR3340731,SRR3340732,SRR3340733,SRR3340734,SRR3340735,SRR3340736,SRR3340737,SRR3340738,SRR3340739,SRR3340740,SRR3340741,SRR3340742
SRP073102	sra	human	cell_line	16	16	0.0	104327688	Whole transcriptome splicing analysis in isogenic lung epithelial and adenocarcinoma cell lines with or without a recurrent splicing factor mutation, U2AF1 (S34F)	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/02/SRP073102/sra.gene_sums.SRP073102.G026.gz	SRR3355988,SRR3355989,SRR3355990,SRR3355991,SRR3355992,SRR3355993,SRR3355994,SRR3355995,SRR3355996,SRR3355997,SRR3355998,SRR3355999,SRR3356000,SRR3356001,SRR3356002,SRR3356003
SRP073267	sra	human	tissue	12	12	0.0	27527363	Impact of RNA degradation on fusion detection by RNA-seq	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/67/SRP073267/sra.gene_sums.SRP073267.G026.gz	SRR3380698,SRR3380699,SRR3380706,SRR3380708,SRR3380709,SRR3380710,SRR3380711,SRR3380712,SRR3380725,SRR3380726,SRR3380727,SRR3380728
SRP073445	sra	human	culture_or_organoid	24	24	0.0	47216632	Integrator complex subunit 12 is a key regulator of human protein synthesis pathways	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/45/SRP073445/sra.gene_sums.SRP073445.G026.gz	SRR3400052,SRR3400053,SRR3400054,SRR3400055,SRR3400056,SRR3400057,SRR3400058,SRR3400059,SRR3400060,SRR3400061,SRR3400062,SRR3400063,SRR3400064,SRR3400066,SRR3400067,SRR3400068,SRR3400069,SRR3400070,SRR3400071,SRR3400072,SRR3400073,SRR3400074,SRR3400075,SRR3400076
SRP073483	sra	human	culture_or_organoid	22	44	0.0	4000000	small RNA-Seq showing transfer of bacterial outer membrane vesicle (OMV) sRNA to host airway epithelial cells	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/83/SRP073483/sra.gene_sums.SRP073483.G026.gz	SRR3401660,SRR3401661,SRR3401662,SRR3401663,SRR3401664,SRR3401665,SRR3401666,SRR3401667,SRR3401668,SRR3401669,SRR3401670,SRR3401671,SRR3401682,SRR3401683,SRR3401684,SRR3401685,SRR3401686,SRR3401687,SRR3401688,SRR3401689,SRR3401690,SRR3401691,SRR3401700,SRR3401701,SRR3401702,SRR3401703,SRR3401704,SRR3401705,SRR3401706,SRR3401707,SRR3401716,SRR3401717,SRR3401718,SRR3401719,SRR3401720,SRR3401721,SRR3401722,SRR3401723,SRR3401730,SRR3401731,SRR3401732,SRR3401733,SRR3401734,SRR3401735
SRP074349	sra	human	tissue	598	598	0.0	5442878	Next Generation Sequencing (RNAseq) of non-small cell lung cancer	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/49/SRP074349/sra.gene_sums.SRP074349.G026.gz	SRR3474721,SRR3474722,SRR3474723,SRR3474724,SRR3474725,SRR3474726,SRR3474727,SRR3474728,SRR3474729,SRR3474730,SRR3474731,SRR3474732,SRR3474733,SRR3474734,SRR3474735,SRR3474736,SRR3474737,SRR3474738,SRR3474739,SRR3474740,SRR3474741,SRR3474742,SRR3474743,SRR3474744,SRR3474745,SRR3474746,SRR3474747,SRR3474748,SRR3474749,SRR3474750,SRR3474751,SRR3474752,SRR3474753,SRR3474754,SRR3474755,SRR3474756,SRR3474757,SRR3474758,SRR3474759,SRR3474760,SRR3474761,SRR3474762,SRR3474763,SRR3474764,SRR3474765,SRR3474766,SRR3474767,SRR3474768,SRR3474769,SRR3474770,SRR3474771,SRR3474772,SRR3474773,SRR3474774,SRR3474775,SRR3474776,SRR3474777,SRR3474778,SRR3474779,SRR3474780,SRR3474781,SRR3474782,SRR3474783,SRR3474784,SRR3474785,SRR3474786,SRR3474787,SRR3474788,SRR3474789,SRR3474790,SRR3474791,SRR3474792,SRR3474793,SRR3474794,SRR3474796,SRR3474797,SRR3474798,SRR3474799,SRR3474800,SRR3474801,SRR3474802,SRR3474803,SRR3474804,SRR3474805,SRR3474806,SRR3474807,SRR3474808,SRR3474809,SRR3474810,SRR3474811,SRR3474812,SRR3474813,SRR3474814,SRR3474815,SRR3474816,SRR3474817,SRR3474818,SRR3474819,SRR3474820,SRR3474821,SRR3474822,SRR3474823,SRR3474824,SRR3474825,SRR3474826,SRR3474827,SRR3474828,SRR3474829,SRR3474830,SRR3474831,SRR3474832,SRR3474833,SRR3474834,SRR3474835,SRR3474836,SRR3474837,SRR3474838,SRR3474839,SRR3474840,SRR3474841,SRR3474842,SRR3474843,SRR3474844,SRR3474845,SRR3474846,SRR3474847,SRR3474848,SRR3474849,SRR3474850,SRR3474851,SRR3474852,SRR3474853,SRR3474854,SRR3474855,SRR3474856,SRR3474857,SRR3474858,SRR3474859,SRR3474860,SRR3474861,SRR3474862,SRR3474863,SRR3474864,SRR3474865,SRR3474866,SRR3474867,SRR3474868,SRR3474869,SRR3474870,SRR3474871,SRR3474872,SRR3474873,SRR3474874,SRR3474875,SRR3474876,SRR3474877,SRR3474878,SRR3474879,SRR3474880,SRR3474881,SRR3474882,SRR3474883,SRR3474884,SRR3474885,SRR3474886,SRR3474887,SRR3474888,SRR3474889,SRR3474890,SRR3474891,SRR3474892,SRR3474893,SRR3474894,SRR3474895,SRR3474896,SRR3474897,SRR3474898,SRR3474899,SRR3474900,SRR3474901,SRR3474902,SRR3474903,SRR3474904,SRR3474905,SRR3474906,SRR3474907,SRR3474908,SRR3474909,SRR3474910,SRR3474911,SRR3474912,SRR3474913,SRR3474914,SRR3474915,SRR3474916,SRR3474917,SRR3474918,SRR3474919,SRR3474920,SRR3474921,SRR3474922,SRR3474923,SRR3474924,SRR3474925,SRR3474926,SRR3474927,SRR3474928,SRR3474929,SRR3474930,SRR3474931,SRR3474932,SRR3474933,SRR3474934,SRR3474935,SRR3474936,SRR3474937,SRR3474938,SRR3474939,SRR3474940,SRR3474941,SRR3474942,SRR3474943,SRR3474944,SRR3474945,SRR3474946,SRR3474947,SRR3474948,SRR3474949,SRR3474950,SRR3474951,SRR3474952,SRR3474953,SRR3474954,SRR3474955,SRR3474956,SRR3474957,SRR3474958,SRR3474959,SRR3474960,SRR3474961,SRR3474962,SRR3474963,SRR3474964,SRR3474965,SRR3474966,SRR3474967,SRR3474968,SRR3474969,SRR3474970,SRR3474971,SRR3474972,SRR3474973,SRR3474974,SRR3474975,SRR3474976,SRR3474977,SRR3474978,SRR3474979,SRR3474980,SRR3474981,SRR3474982,SRR3474983,SRR3474984,SRR3474985,SRR3474986,SRR3474987,SRR3474988,SRR3474989,SRR3474990,SRR3474991,SRR3474992,SRR3474993,SRR3474994,SRR3474995,SRR3474996,SRR3474997,SRR3474998,SRR3474999,SRR3475000,SRR3475001,SRR3475002,SRR3475003,SRR3475005,SRR3475006,SRR3475007,SRR3475008,SRR3475009,SRR3475010,SRR3475011,SRR3475012,SRR3475013,SRR3475014,SRR3475015,SRR3475016,SRR3475017,SRR3475018,SRR3475019,SRR3475020,SRR3475021,SRR3475022,SRR3475023,SRR3475024,SRR3475025,SRR3475026,SRR3475027,SRR3475028,SRR3475029,SRR3475030,SRR3475031,SRR3475032,SRR3475033,SRR3475034,SRR3475035,SRR3475036,SRR3475037,SRR3475038,SRR3475039,SRR3475040,SRR3475041,SRR3475042,SRR3475043,SRR3475044,SRR3475045,SRR3475046,SRR3475047,SRR3475048,SRR3475049,SRR3475050,SRR3475051,SRR3475052,SRR3475053,SRR3475054,SRR3475055,SRR3475056,SRR3475057,SRR3475058,SRR3475059,SRR3475060,SRR3475061,SRR3475062,SRR3475063,SRR3475064,SRR3475065,SRR3475066,SRR3475067,SRR3475068,SRR3475069,SRR3475070,SRR3475071,SRR3475072,SRR3475073,SRR3475074,SRR3475075,SRR3475076,SRR3475077,SRR3475078,SRR3475079,SRR3475080,SRR3475081,SRR3475082,SRR3475083,SRR3475084,SRR3475085,SRR3475086,SRR3475087,SRR3475088,SRR3475089,SRR3475090,SRR3475091,SRR3475092,SRR3475093,SRR3475094,SRR3475095,SRR3475096,SRR3475097,SRR3475098,SRR3475099,SRR3475100,SRR3475101,SRR3475102,SRR3475103,SRR3475104,SRR3475105,SRR3475106,SRR3475107,SRR3475108,SRR3475109,SRR3475110,SRR3475111,SRR3475112,SRR3475113,SRR3475114,SRR3475115,SRR3475116,SRR3475117,SRR3475118,SRR3475119,SRR3475120,SRR3475121,SRR3475122,SRR3475123,SRR3475124,SRR3475125,SRR3475126,SRR3475127,SRR3475128,SRR3475129,SRR3475130,SRR3475131,SRR3475132,SRR3475133,SRR3475134,SRR3475135,SRR3475136,SRR3475137,SRR3475138,SRR3475139,SRR3475140,SRR3475141,SRR3475142,SRR3475143,SRR3475144,SRR3475145,SRR3475146,SRR3475147,SRR3475148,SRR3475149,SRR3475150,SRR3475151,SRR3475152,SRR3475153,SRR3475154,SRR3475155,SRR3475156,SRR3475157,SRR3475158,SRR3475159,SRR3475160,SRR3475161,SRR3475162,SRR3475163,SRR3475164,SRR3475165,SRR3475166,SRR3475167,SRR3475168,SRR3475169,SRR3475170,SRR3475171,SRR3475172,SRR3475173,SRR3475174,SRR3475175,SRR3475176,SRR3475177,SRR3475178,SRR3475179,SRR3475180,SRR3475181,SRR3475182,SRR3475183,SRR3475184,SRR3475185,SRR3475186,SRR3475187,SRR3475188,SRR3475189,SRR3475190,SRR3475191,SRR3475192,SRR3475193,SRR3475194,SRR3475195,SRR3475196,SRR3475197,SRR3475198,SRR3475199,SRR3475200,SRR3475201,SRR3475202,SRR3475203,SRR3475204,SRR3475205,SRR3475206,SRR3475207,SRR3475208,SRR3475209,SRR3475210,SRR3475211,SRR3475212,SRR3475213,SRR3475214,SRR3475215,SRR3475216,SRR3475217,SRR3475218,SRR3475219,SRR3475220,SRR3475221,SRR3475222,SRR3475223,SRR3475224,SRR3475225,SRR3475226,SRR3475227,SRR3475228,SRR3475229,SRR3475230,SRR3475231,SRR3475232,SRR3475233,SRR3475234,SRR3475235,SRR3475236,SRR3475237,SRR3475238,SRR3475239,SRR3475240,SRR3475241,SRR3475242,SRR3475243,SRR3475244,SRR3475245,SRR3475246,SRR3475247,SRR3475248,SRR3475249,SRR3475250,SRR3475251,SRR3475252,SRR3475253,SRR3475254,SRR3475255,SRR3475256,SRR3475257,SRR3475258,SRR3475259,SRR3475260,SRR3475261,SRR3475262,SRR3475263,SRR3475264,SRR3475265,SRR3475266,SRR3475267,SRR3475268,SRR3475269,SRR3475270,SRR3475271,SRR3475272,SRR3475273,SRR3475274,SRR3475275,SRR3475276,SRR3475277,SRR3475278,SRR3475279,SRR3475280,SRR3475281,SRR3475282,SRR3475283,SRR3475284,SRR3475285,SRR3475286,SRR3475287,SRR3475288,SRR3475289,SRR3475290,SRR3475291,SRR3475292,SRR3475293,SRR3475294,SRR3475295,SRR3475296,SRR3475297,SRR3475298,SRR3475299,SRR3475300,SRR3475301,SRR3475302,SRR3475303,SRR3475304,SRR3475305,SRR3475306,SRR3475307,SRR3475308,SRR3475309,SRR3475310,SRR3475311,SRR3475312,SRR3475313,SRR3475314,SRR3475315,SRR3475316,SRR3475317,SRR3475318,SRR3475319,SRR3475320
SRP075725	sra	human	tissue	20	20	0.0	30757307	Homo sapiens Raw sequence reads	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/25/SRP075725/sra.gene_sums.SRP075725.G026.gz	SRR3588666,SRR3588667,SRR3588668,SRR3588669,SRR3588705,SRR3588706,SRR3588707,SRR3588708,SRR3588709,SRR3588710,SRR3588711,SRR3588712,SRR3588713,SRR3588714,SRR3588715,SRR3588716,SRR3588717,SRR3588719,SRR3588720,SRR3588721
SRP075763	sra	human	tissue	24	24	0.0	38768299	Bronchial brushing RNA-seq from cystic fibrosis patients	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/63/SRP075763/sra.gene_sums.SRP075763.G026.gz	SRR3590623,SRR3590624,SRR3590625,SRR3590626,SRR3590627,SRR3590628,SRR3590629,SRR3590630,SRR3590631,SRR3590632,SRR3590633,SRR3590634,SRR3590635,SRR3590636,SRR3590637,SRR3590638,SRR3590639,SRR3590640,SRR3590641,SRR3590642,SRR3590643,SRR3590644,SRR3590645,SRR3590646
SRP076732	sra	human	tissue	18	18	0.0	24326169	Transcriptome analysis of human lung epithelial cells	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/32/SRP076732/sra.gene_sums.SRP076732.G026.gz	SRR3680937,SRR3680938,SRR3680939,SRR3680940,SRR3680941,SRR3680942,SRR3680943,SRR3680944,SRR3680945,SRR3680946,SRR3680947,SRR3680948,SRR3680949,SRR3680950,SRR3680951,SRR3680952,SRR3680953,SRR3680954
SRP077731	sra	human	cell_line	24	24	0.0	27048959	RNA-seq data sets from in vitro infection of A549 cells with either Mucoralean fungi.	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/31/SRP077731/sra.gene_sums.SRP077731.G026.gz	SRR3979450,SRR3979455,SRR3979526,SRR3981088,SRR3981102,SRR3981165,SRR3981182,SRR3981185,SRR3981187,SRR3981188,SRR3982079,SRR4017871,SRR4025867,SRR4025868,SRR4026108,SRR4026156,SRR4026157,SRR4026160,SRR4026600,SRR4026602,SRR4026620,SRR4026719,SRR4026721,SRR4043670
SRP078053	sra	human	culture_or_organoid	18	18	0.0	21245316	The NFkB subunit RELA is a master transcriptional regulator of the committed epithelial-mesenchymal transition in airway epithelial cells	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/53/SRP078053/sra.gene_sums.SRP078053.G026.gz	SRR3747825,SRR3747826,SRR3747827,SRR3747828,SRR3747829,SRR3747830,SRR3747831,SRR3747832,SRR3747833,SRR3747834,SRR3747835,SRR3747836,SRR3747837,SRR3747838,SRR3747839,SRR3747840,SRR3747841,SRR3747842
SRP079676	sra	human	tissue	18	18	0.0	126541815	Compared performance of Affymetrix HTA arrays and Illumina RNAseq for the analysis of tumours [RNA-seq]	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/76/SRP079676/sra.gene_sums.SRP079676.G026.gz	SRR3949013,SRR3949014,SRR3949015,SRR3949016,SRR3949017,SRR3949018,SRR3949019,SRR3949020,SRR3949021,SRR3949022,SRR3949023,SRR3949024,SRR3949025,SRR3949026,SRR3949027,SRR3949028,SRR3949029,SRR3949030
SRP081022	sra	human	tissue	26	26	0.0	15462491	MicroRNAs underlie genome-wide transcriptome and translatome regulation in asthma as revealed by Frac-seq (RNA-Seq)	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/22/SRP081022/sra.gene_sums.SRP081022.G026.gz	SRR4000598,SRR4000599,SRR4000600,SRR4000601,SRR4000602,SRR4000603,SRR4000604,SRR4000605,SRR4000606,SRR4000607,SRR4000608,SRR4000609,SRR4000610,SRR4000611,SRR4000612,SRR4000613,SRR4000614,SRR4000615,SRR4000616,SRR4000617,SRR4000618,SRR4000619,SRR4000620,SRR4000621,SRR4000622,SRR4000623
SRP081445	sra	human	tissue	30	30	0.0	16000000	HIV Reprograms Human Airway Basal Stem/Progenitor Cells to Acquire a Tissue Destructive Phenotype	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/45/SRP081445/sra.gene_sums.SRP081445.G026.gz	SRR4023002,SRR4023003,SRR4023004,SRR4023005,SRR4023006,SRR4023007,SRR4023008,SRR4023009,SRR4023010,SRR4023011,SRR4023012,SRR4023013,SRR4023014,SRR4023015,SRR4023016,SRR4023017,SRR4023018,SRR4023019,SRR4023020,SRR4023021,SRR4023022,SRR4023023,SRR4023024,SRR4023025,SRR4023026,SRR4023027,SRR4023028,SRR4023029,SRR4023030,SRR4023031
