project	organism	n_runs_total	n_runs_lung_selected	n_runs_lung_rnaseq	selection_basis	lung_run_frac	study_level_lung	n_tissue	n_cell_line	n_culture_organoid	n_sorted_or_fluid	single_cell_frac	median_spots	study_title	selected_runs
ERP105806	human	13	13	13	run_level	1.0	True	0	13	0	0	0.0	12025324	RNA-Seq of BEAS-2B cells treated with low doses of Ag nanoparticles for 6 weeks	ERR2225791,ERR2225792,ERR2225793,ERR2225794,ERR2225795,ERR2225796,ERR2225797,ERR2225798,ERR2225799,ERR2225800,ERR2225801,ERR2225802,ERR2225803
ERP106610	human	41	3	3	run_level	0.073	False	3	0	0	0	0.0	20523578	Whole exome sequencing and transcription profiling of a patient cohort of oral cavity squamous cell carcinomas	ERR2278857,ERR2278870,ERR2278871
ERP106765	human	6	6	6	run_level	1.0	True	0	6	0	0	0.0	26775185	RNA-seq to investigate impact of treatment of KRAS mutant A549 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib	ERR2287646,ERR2287647,ERR2287648,ERR2287649,ERR2287650,ERR2287651
ERP106766	human	6	6	6	run_level	1.0	True	0	6	0	0	0.0	26137622	RNA-seq to investigate impact of treatment of KRAS mutant NCI-H358 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib	ERR2287652,ERR2287653,ERR2287654,ERR2287655,ERR2287656,ERR2287657
ERP106767	human	6	6	6	run_level	1.0	True	0	6	0	0	0.0	26615507	RNA-seq to investigate impact of treatment of KRAS mutant NCI-H2009 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib	ERR2287664,ERR2287665,ERR2287666,ERR2287667,ERR2287668,ERR2287669
ERP107491	human	10	10	10	run_level	1.0	False	10	0	0	0	0.0	159154020	Cystic fibrosis (CF) is the most common lethal genetic disease, caused by CFTR (cystic fibrosis transmembrane conductance regulator) gene mutations. CF is characterized by an ionic imbalance and thickened mucus, leading to impaired mucociliary clearance and promoting bacterial colonization and the e	ERR2400286,ERR2400287,ERR2400288,ERR2400289,ERR2400290,ERR2400291,ERR2400292,ERR2400293,ERR2400294,ERR2400295
ERP108966	human	7	7	7	study_level	0.0	True	0	7	0	0	0.0	42253383	Sequencing of chromatin remodelling complexes in Lung Cancer	ERR2599564,ERR2599565,ERR2599566,ERR2599567,ERR2599570,ERR2599571,ERR2599572
ERP110145	human	12	12	12	run_level	1.0	False	0	12	0	0	0.0	41253741	RNA-seq analysis of MES-MM 98 and REN mesothelioma cell lines modulated for miR-24-3p expression	ERR2718588,ERR2718589,ERR2718590,ERR2718591,ERR2718592,ERR2718593,ERR2718594,ERR2718595,ERR2718596,ERR2718597,ERR2718598,ERR2718599
ERP111852	human	31	31	31	run_level	1.0	True	0	26	5	0	0.0	18808164	RNA-seq comparison of fetal lung and cultured fetal lung derived organoids with pluripotent stem cell derived lung organoids	ERR2870193,ERR2870194,ERR2870195,ERR2870196,ERR2870197,ERR2870198,ERR2870199,ERR2870200,ERR2870201,ERR2870202,ERR2870203,ERR2870204,ERR2870205,ERR2870206,ERR2870207,ERR2870208,ERR2870209,ERR2870210,ERR2870211,ERR2870212,ERR2870213,ERR2870214,ERR2870215,ERR2870216,ERR2870217,ERR2870218,ERR2870219,ERR2870220,ERR2870221,ERR2870222,ERR2870223
ERP112503	human	9	9	9	study_level	0.0	True	9	0	0	0	0.0	29214815	RNA-seq profiling of NSCLC cell lines exposed to the PARP inhibitor talazoparib.	ERR2983511,ERR2983512,ERR2983516,ERR2983517,ERR2983521,ERR2983522,ERR2983525,ERR2983529,ERR2983534
ERP114632	human	48	48	48	run_level	1.0	True	0	48	0	0	0.0	16743528	RNAseq of human epithelial nasopharyngeal carcinoma cell line Detroit 562, following infection with strains of Streptococcus pneumoniae	ERR3262080,ERR3262081,ERR3262082,ERR3262083,ERR3262084,ERR3262085,ERR3262086,ERR3262087,ERR3262088,ERR3262089,ERR3262090,ERR3262091,ERR3262092,ERR3262093,ERR3262094,ERR3262095,ERR3262096,ERR3262097,ERR3262098,ERR3262099,ERR3262100,ERR3262101,ERR3262102,ERR3262103,ERR3262104,ERR3262105,ERR3262106,ERR3262107,ERR3262108,ERR3262109,ERR3262110,ERR3262111,ERR3262112,ERR3262113,ERR3262114,ERR3262115,ERR3262116,ERR3262117,ERR3262118,ERR3262119,ERR3262120,ERR3262121,ERR3262122,ERR3262123,ERR3262124,ERR3262125,ERR3262126,ERR3262127
