uid,accession,title,gpl,taxon,entrytype,gdstype,n_samples,pdat,suppfile,ftplink,summary,matched_queries
200180908,GSE180908,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,30440,Mus musculus; Homo sapiens,GSE,Expression profiling by high throughput sequencing,20,2022/04/19,CSV,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180908/,"The majority of SARS-CoV-2 infections among healthy individuals result in asymptomatic to mild disease. However, the immunological mechanisms defining effective lung tissue protection from SARS-CoV-2 infection remain elusive. Unlike mice solely engrafted with human fetal lung xenograft (fLX), mice co-engrafted with fLX and a myeloid-enhanced human immune system (HNFL mice) are resistant to SARS-CoV-2 infection, severe inflammation, and histopathology. Effective control of viral infection in HNFL mice associated with significant macrophage infiltration, and the induction of a potent macrophage-mediated interferon response. The strong upregulation of the USP18-ISG15 axis, a negative regulator of IFN responses, by macrophages was unique to HNFL mice and represented a prominent correlate of reduced inflammation and histopathology. Altogether, our work shed lights on unique cellular and molecular correlate of lung tissue protection during SARS-CoV-2 infection, and underscores macrophage IFN responses as prime targets for developing immunotherapies against coronavirus respiratory diseases.",ici_immunotherapy;union_broad
200180941,GSE180941,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [RNA-seq],24676,Homo sapiens,GSE,Expression profiling by high throughput sequencing,22,2023/02/28,TXT,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180941/,"The pleiotropic cytokine interferon-gamma (IFNγ) is known to be associated with cytostatic, anti-proliferation, and pro-apoptosis functions in cancer cells. However, cancer cells can become resistant to IFNγ, and the underlying mechanism is not fully understood. To investigate the potential IFNγ resistant mechanisms, we performed IFNγ sensitivity screens in more than 40 cancer cell lines and characterized the sensitive and resistant cell lines. By applying CRISPR screening and transcriptomic profiling in both IFNγ sensitive and resistant cells, we discovered that activation of double-strand break (DSB) repair genes could result in IFNγ resistance in cancer cells. In addition, suppression of single-strand break (SSB) repair genes increased the essentiality of DSB repair genes after IFNγ treatment. The relationship between the activation of DSB repair genes and IFNγ resistance was further confirmed in clinical tumor profiles from The Cancer Genome Atlas (TCGA) and immune checkpoint blockade (ICB) cohorts. Our study provides a comprehensive resource to elucidate IFNγ resistance in cancer and has the potential to inform combinational therapeutic strategies to overcome immunotherapy resistance.",ici_immune_checkpoint;ici_immunotherapy;union_broad
200180942,GSE180942,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [CRISPR screen],20795,Homo sapiens,GSE,Other,27,2023/02/28,CSV,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180942/,"The pleiotropic cytokine interferon-gamma (IFNγ) is known to be associated with cytostatic, anti-proliferation, and pro-apoptosis functions in cancer cells. However, cancer cells can become resistant to IFNγ, and the underlying mechanism is not fully understood. To investigate the potential IFNγ resistant mechanisms, we performed IFNγ sensitivity screens in more than 40 cancer cell lines and characterized the sensitive and resistant cell lines. By applying CRISPR screening and transcriptomic profiling in both IFNγ sensitive and resistant cells, we discovered that activation of double-strand break (DSB) repair genes could result in IFNγ resistance in cancer cells. In addition, suppression of single-strand break (SSB) repair genes increased the essentiality of DSB repair genes after IFNγ treatment. The relationship between the activation of DSB repair genes and IFNγ resistance was further confirmed in clinical tumor profiles from The Cancer Genome Atlas (TCGA) and immune checkpoint blockade (ICB) cohorts. Our study provides a comprehensive resource to elucidate IFNγ resistance in cancer and has the potential to inform combinational therapeutic strategies to overcome immunotherapy resistance.",ici_immune_checkpoint;ici_immunotherapy;union_broad
200184242,GSE184242,Patient-derived micro-organospheres (MOS) enable clinical precision oncology,24676;20795,Homo sapiens,GSE,Expression profiling by high throughput sequencing,17,2022/09/01,"H5, TXT",ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184242/,"Patient-derived xenografts (PDX) and organoids (PDO) have been shown to model clinical response to cancer therapy. However, it remains challenging to use these models to guide timely clinical decisions for cancer patients. Here we used droplet emulsion microfluidics with temperature control and dead-volume minimization to rapidly generate thousands of Micro- Organospheres (MOS) from low-volume patient tissues, which serve as an ideal patient-derived model for clinical precision oncology. A clinical study of newly diagnosed metastatic colorectal cancer (CRC) patients using a MOS-based precision oncology pipeline reliably predicted patient treatment outcome within 14 days, a timeline suitable for guiding treatment decisions in clinic. Furthermore, MOS capture original stromal cells and allow T cell penetration, providing a clinical assay for testing immuno-oncology (IO) therapies such as PD-1 blockade, bispecific antibodies, and T cell therapies on patient tumors.",ici_PD-1;union_broad
200185204,GSE185204,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq],24676,Homo sapiens,GSE,Expression profiling by high throughput sequencing; Other,40,2023/02/14,"MTX, TSV",ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185204/,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",ici_immune_checkpoint;union_broad
200185205,GSE185205,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scTCR-seq],24676,Homo sapiens,GSE,Other,36,2023/02/14,CSV,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185205/,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",ici_immune_checkpoint;union_broad
200185206,GSE185206,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade,20301;24676,Homo sapiens,GSE,Expression profiling by high throughput sequencing; Other,108,2023/02/13,"CSV, MTX, TSV",ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185206/,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",ici_immune_checkpoint;union_broad
200186446,GSE186446,Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade,20301,Homo sapiens,GSE,Expression profiling by high throughput sequencing,32,2023/02/14,TXT,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186446/,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",ici_immune_checkpoint;union_broad
200186872,GSE186872,RNA-seq study of SRSF2 over-expressing lung cancer cell lines,24676,Homo sapiens,GSE,Expression profiling by high throughput sequencing,12,2022/10/31,TXT,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186872/,Immune checkpoints blockade therapy may have clinical symptoms of hyper-progressiveness (HP). The molecular mechanism of HP is still to be revealed. This study inspected transcriptome difference between clinical hyper-progressive samples to immunotherapy-response samples based public datasets. Spliceosome factors SRSF2 were found most enriched in neoantigen-related splicing events. Similar splicing pattern and increased cell invasion were found in two lung cancer cell lines after SRSF2 over-expressed.This study shows that dysregulation of SRSF2 -related splicing might be an important feature of immune hyper-progress occurrence.,ici_immunotherapy;union_broad
200189045,GSE189045,The expression profiles of exosomal miRNAs associated with response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients.,21263,Homo sapiens,GSE,Non-coding RNA profiling by array,23,2023/01/12,TXT,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189045/,Exosomal miRNAs involved in response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients were successfully identified through the microoarray analysis.,union_broad
200189628,GSE189628,Landscape of immune-related signatures induced by targeting of epigenetic regulators in melanoma I,23159,Homo sapiens,GSE,Expression profiling by array,23,2022/11/23,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189628/,"Epigenetic drugs exert a wide range of immune-related effects, but have strong drug-specific heterogeneity in immunomodulation, thus hampering selection of the most promising agent for innovative cancer immunotherapy approaches. Here we identified immune-related signatures induced by four classes of epigenetic drugs in melanoma cells to define the most active agent and to understand its biological activity in -vitro, in a pre-clinical model and in clinical samples. Gene modulation, induced by inhibitors of DNA methyltransferases (guadecitabine), histone deacetylases (givinostat), bromodomain and extraterminal domain proteins (JQ1 and OTX-015) and enhancer of zeste homolog 2 (GSK126), was assessed in human melanoma cell lines. All drugs modulated genes belonging to 20 families. Guadecitabine, followed by givinostat, was the most active drug and upregulated >160 immune-related genes characterized by low expression and high methylation. JQ1 and OTX-015 showed predominant inhibitory effects, GSK126 was the least active. A dominant immunomodulatory effect of guadecitabine and JQ1 was observed in combinatorial treatments. This experiment deals with the characterization of gene expression in untreated human melanoma cell lines used throughout the project.",ici_immunotherapy;union_broad
200189804,GSE189804,"A549 NRF NT, mock and knockout RNAseq",18573,Homo sapiens,GSE,Expression profiling by high throughput sequencing,9,2023/03/22,TXT,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189804/,"The NRF2 pathway is frequently activated in various cancer types, yet a comprehensive analysis of its effects across different malignancies is currently lacking. We developed a robust NRF2 activity metric and utilized it to conduct a pan-cancer wide analysis of oncogenic NRF2 signaling. We identified a distinct immunoevasive phenotype where high NRF2 activity is associated with low interferon-gamma (IFNγ), HLA-I expression and T-cell infiltration spanning non-small cell lung cancer (NSCLC) and squamous malignancies of head and neck area, cervix and esophagus. In squamous cell cancers, NRF2 overactive tumors comprise a molecular phenotype with SOX2/TP63 amplification, TP53 mutation and CDKN2A loss. These immune-cold NRF2 hyperactive diseases are associated with upregulation of immunomodulatory NAMPT, WNT5A, SPP1, SLC7A11 and SLC2A1 that represent candidate NRF2 target genes, suggesting direct modulation of the tumor immune milieu. Based on single-cell mRNA data, coupled with a priori information on intercellular ligand-receptor interactions, cancer cells of this subtype exhibit decreased expression of IFNγ responsive ligands, and increased expression of immunosuppressive ligands NAMPT, SPP1 and WNT5A that mediate signaling in intercellular crosstalk. As we observed differential cytokine mRNA expression with IFNγ treatment in NSCLC adenocarcinoma subtype, we explored the cytokine secretome in vitro. We found that secreted neutrophil chemoattractants interleukin-8 (CXCL8) and ENA-78 (CXCL5) are elevated in NRF2 overactive cells, suggesting contribution of immunosuppressive neutrophils in NRF2 driven immune escape. Importantly, as overactive NRF2 is associated with immune-cold characteristics, our results highlight the utility of NRF2 pathway activation as a putative biomarker for stratifying immune-checkpoint blockade responders and non-responders across NSCLC and squamous cancers.",ici_immune_checkpoint;union_broad
200190731,GSE190731,"Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors",570,Homo sapiens,GSE,Expression profiling by array,23,2022/02/23,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190731/,"Non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) mutations do not respond to anti-PD-1 (L1) as well as tumors without an EGFR mutation. We showed in a xenograft mouse model of EGFR-mutated NSCLC that, neither durvalumab nor oleclumab alone inhibited tumor growth compared to the isotype control. In contrast, the combination of both antibodies significantly inhibited tumor growth and increased gene expressions that corresponded to inflammation and T cell function in tumors treated. We used microarrays to study gene expressions that corresponded to enhanced immune response in antibody-treated mice.",ici_durvalumab;union_broad
200192402,GSE192402,"Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications",20301,Homo sapiens,GSE,Expression profiling by high throughput sequencing; Other,74,2022/10/19,CSV,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE192nnn/GSE192402/,This SuperSeries is composed of the SubSeries listed below.,ici_pembrolizumab;union_broad
200192591,GSE192591,PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance,24676,Homo sapiens,GSE,Expression profiling by high throughput sequencing,6,2022/02/18,TXT,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE192nnn/GSE192591/,"Targeting checkpoint blockade to rescue exhausted regulatory T cells (Tregs) has become an essential immunotherapy strategy in treating cancer. Until now, the CD4+ Tregs and PD-1+CD8+ T cells were demonstrated to reduce immunogenic responses. In contrast, little is known about the PD-L1 graphic pattern and characteristics in CD8+ T cells. We performed two high-throughput analysis approaches on tumor-infiltrating CD8+ T cells in lung cancers. We discovered PD-L1+CD8+ T cells enriched in tumor lesions, localized with PD-1+CD8+ affected T cells, and owned regulatory functions. Moreover, tumor-derived IL-27 promoted the development of PD-L1+CD8+ T cells through STAT1/STAT3 signaling. Single-cell RNA sequencing data analysis further clarified the enrichment of PD-L1+CD8+ T cells related to the downregulation of adaptive immune response. Additionally, enrichment of this subset was correlated with poor survival of lung cancer patients. Our data collectively demonstrated that PD-L1+CD8+ T cells potentially become a prognostic biomarker in lung cancer.",ici_PD-1;ici_PD-L1;ici_immunotherapy;union_broad
200192790,GSE192790,A subpopulation of cancer cells with high SIRPG expression promotes immune escape of non-small cell lung carcinoma through crosstalk with Hippo signaling,20795,Homo sapiens,GSE,Expression profiling by high throughput sequencing,6,2022/01/02,TXT,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE192nnn/GSE192790/,"Cancer stem like cells (CSLCs) acquire enhanced immune checkpoint responses to evade immune cell killing and promote tumor progression. Here we show that signal regulatory protein gamma (SIRPG) determines a small population of lung adenocarcinoma (LUAD) cancer cells for both CSLCs properties and immune evasion. SIRPGhigh population displays CSLCs properties and transmits the immune escape signal through sustaining CD47 expression to both SIRPGhigh and SIRPGlow/- tumor cells. SIRPG bridges MST1 and PP2A to facilitate MST1 dephosphorylation, resulting in Hippo/YAP activation leading to cytokine release by CSLCs, which stimulates CD47 expression in LUAD cells and consequently inhibits tumor cell phagocytosis. SIRPG promotes tumor growth and metastasis in vivo through YAP signaling. Notably, SIRPG targeting with genetic SIRPG knockdown or a SIRPG neutralization antibody inhibits CSLC phenotypes and elicits phagocytosis that suppresses tumor growth in vivo. SIRPG is upregulated in human LUAD and its overexpression predicts poor survival outcome. Thus, SIRPGhigh cells serve as CSLCs and tumor immune checkpoint initiating cells propagating the immune escape signal to the whole cancer cell populations. Our study identifies Hippo/YAP signaling as the first mechanism by which SIRPG is engaged and reveals that targeting SIRPG represents an immune and CSLC targeting strategy for lung cancer therapy.",ici_immune_checkpoint;union_broad
