accession,title,n_samples,pdat,gdstype,relevant,suppl_files,suppl_total_mb,n_meta,meta_cols,series_summary,series_overall_design,gene_info,meta_error
GSE217451,Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients,9,2023/08/30,Expression profiling by high throughput sequencing,True,GSE217451_siMENA_H1650_fpkm_table_RAP.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,0.6,9.0,Sample_title;Sample_source_name_ch1;Sample_description;cell line;cell type;treatment;time,"The advent of immunotherapy in the clinical practice of non-small cell lung cancer (NSCLC) have highlighted the impact of the tumor immune microenvironment in the control of the tumor progression, as well as in the response to immune checkpoint blockade (ICB) therapy. Tertiary Lymphoid Structures (TLS), determinants of antitumor immunity, are associated with a favorable clinical outcome in NSCLC p","Gene expression profiling through RNA-seq for each biological replicate of H1650 cell line transfected with siControl, sihMENA(t), siMENA11a.",{},
GSE224216,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [RNA-seq],9,2023/08/30,Expression profiling by high throughput sequencing,True,GSE224216_rsem.merged.gene_tpm_H2030.tsv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,0.8,9.0,Sample_title;Sample_source_name_ch1;Sample_description;cell line;cell type;treatment,"Understanding how cancer signaling pathways promote an immunosuppressive program which sustains acquired or primary resistance to immune checkpoint blockade (ICB) is a crucial step in improving immunotherapy efficacy. Among the pathways that can affect ICB response is the IFN pathway that may be detrimental rather than beneficial. Effects of hMENA11a down-regulation were tested by RNA-Seq, ATAC-Se","The immune sensor retinoic acid-inducible gene I (RIG-I) induces IFN activation and secretion and is activated by actin cytoskeleton disturbance. The actin cytoskeleton regulatory protein hMENA, along with its isoforms, is a key signaling hub in different solid tumors, and recently its role as a regulator of transcription of genes encoding immunomodulatory secretory proteins has been proposed. Whe",{},
GSE150255,IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness,8,2023/05/01,Expression profiling by high throughput sequencing,True,GSE150255_SBC_BC190046_gene_expression.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.1,8.0,Sample_title;Sample_source_name_ch1;cell line;tissue;ifn-g treatment time,"Active IFN-g signaling is a common feature of tumors responding to PD-1 checkpoint blockade. IFN-g exhibits both anti- and pro-tumor activities. Here, we demonstrated that IFN-g induced ZEB1 expression and promoted epithelial-to-mesenchymal-transition in lung adenocarcinoma cells. ZEB1 was required for IFN-g-promoted EMT, cell migration, and metastasis. We performed a transcriptome analysis using ","A549 and HCC827 cells were treated with 100 IU/ml IFN-g for 1h, 8h, and 24h, respectively. total RNA of A549 and HCC827 cells was harvested and analyzed by RNA sequencing (RNA-seq)",{},
GSE194350,In vivo CRISPR screens identify a dual function of MEN1 in regulating tumor-microenvironment interactions [A549 RNA-seq],8,2022/11/03,Expression profiling by high throughput sequencing,True,GSE194350_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.6,8.0,Sample_title;Sample_source_name_ch1;cell type;growth;strain,"In this study, we used a targeted CRISPR/Cas9 screen to identify genes that determine growth of A549 cells in vivo and in vitro. Functional genomic screens in 2D cell culture are of limited use for identifying therapeutic targets that modulate tumor cell-microenvironment cell interactions. By comparing targeted CRISPR-Cas9 screens in 2D culture of A549 lung cancer cells versus xenografts derived f",mRNA profiling of wild-type(WT) and MEN1 knockout A549 cells,{},
GSE195770,Idiopathic pulmonary fibrosis (IPF),8,2023/01/01,Expression profiling by array,True,GSE195770_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,64.0,8.0,Sample_title;Sample_source_name_ch1;source;htll-280 status;pd-l1 status,"Idiopathic pulmonary fibrosis (IPF) is a disease related to AT2 cell. We used flow cytometry to analyze the epithelial component of donor and IPF lungs. From the live cells, we first excluded the CD31PosCD45Pos and then selected the EPCAMPos cells for further analysis using the human AT2 cell marker HTll-280 and the surface marker PD-L1. Our data indicate that, the bona fide differentiated AT2 cel","4 groups, each with 2 biological replicates",{},
GSE218402,"Norepinephrine inhibits CD8+ T cell infiltration and function, inducing anti-PD-1 mAb resistance in lung adenocarcinoma",8,2023/04/04,Expression profiling by high throughput sequencing,True,GSE218402_ADO_DEGs_PBMC.txt.gz;GSE218402_NE_DEGs_A549.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.0,8.0,Sample_title;Sample_source_name_ch1;Sample_description;cell type;cell line;time;treatment,"BACKGROUND:Mental stress-induced neurotransmitters can affect the immune system in various ways, leading to tumor immune escape. Therefore, a better understanding of the potential functions of neurotransmitters in the tumor immune microenvironment is expected to promote the development of novel anti-tumor therapies, while facilitating synergistic immune therapy. METHODS: In this study, we analyzed","To explore whether ADO affects immune cell function, we treated PBMCs with 30 uM ADO for 24 h, which were subjected to transcriptome sequencing. In order to further study the mechanism of NE-induced changes of CXCL9 and ADO secretion in tumor cells, we used transcriptome sequencing to detect gene expression levels in A549 cells after NE stimulation.",{},
GSE224246,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [ATAC-seq],8,2023/08/30,Genome binding/occupancy profiling by high throughput sequencing,True,GSE224246_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,4.3,8.0,Sample_title;Sample_source_name_ch1;cell line;cell type;treatment,"Understanding how cancer signaling pathways promote an immunosuppressive program which sustains acquired or primary resistance to immune checkpoint blockade (ICB) is a crucial step in improving immunotherapy efficacy. Among the pathways that can affect ICB response is the IFN pathway that may be detrimental rather than beneficial. Effects of hMENA11a down-regulation were tested by RNA-Seq, ATAC-Se","The immune sensor retinoic acid-inducible gene I (RIG-I) induces IFN activation and secretion and is activated by actin cytoskeleton disturbance. The actin cytoskeleton regulatory protein hMENA, along with its isoforms, is a key signaling hub in different solid tumors, and recently its role as a regulator of transcription of genes encoding immunomodulatory secretory proteins has been proposed. Whe",{},
GSE238006,Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq],8,2023/07/25,Expression profiling by high throughput sequencing,True,GSE238006_Table_S5_RNA-seq_Normalized_Counts_H146_F1339_Veh_vs_Dec.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,4.3,,,,,{},HTTP Error 404: Not Found
GSE250254,Single-cell immunophenotyping revealed the association of CD4+ central and CD4+ effector memory T cells linking exacerbating chronic obstructive pulmonary disease and NSCLC,8,2023/12/17,Expression profiling by high throughput sequencing,True,GSE250254_Processed_RNAseq.xlsx;GSE250254_Processed_data_all_reads.xls.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,2.4,8.0,Sample_title;Sample_source_name_ch1;Sample_description;tissue;cell line;cell type;genotype;treatment,"Introduction: Tobacco smoking generates airway inflammation in chronic obstructive pulmonary disease (COPD), and its involvement in the development of lung cancer is still among the leading causes of early death. Therefore, we aimed to have a better understanding of the disbalance in immunoregulation in chronic inflammatory conditions in smoker subjects with stable COPD (stCOPD), exacerbating COPD","FACS sorted CD4+ human central memory and effector memory T-cells: 1. CD4+ CM T-cell contol, 2. CD4+ CM T-cell stable COPD, 3. CD4+ CM T-cell COPD with exacerbation, 4. CD4+ CM T-cell NSCLC, 5. CD4+ EM T-cell contol, 6. CD4+ EM T-cell stable COPD, 7. CD4+ EM T-cell COPD with exacerbation, 8. CD4+ EM T-cell NSCLC",{},
GSE193049,Bronchoalveolar lavage fluid reveals factors contributing to the efficacy of PD-1 blockade in lung cancer,7,2022/04/07,Expression profiling by high throughput sequencing,True,GSE193049_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,0.9,7.0,Sample_title;Sample_source_name_ch1;Sample_description;cell line,"Bronchoalveolar lavage is commonly performed to examine inflammation and responsible pathogens in lung diseases, and its findings may be used to assess the immune profile of the lung tumor microenvironment (TME). To investigate whether analyses of bronchoalveolar lavage fluid (BALF) can help identify non-small cell lung cancer (NSCLC) patients who respond to immune checkpoint inhibitors (ICIs), BA",The transcriptome profiles of bulk cells collected from BALF were compared between four responders and three non-responders.,{},
GSE229353,PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells,7,2023/05/16,Expression profiling by high throughput sequencing,True,GSE229353_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,155.0,7.0,Sample_title;Sample_source_name_ch1;Sample_description;tissue;treatment;cell type;pathology,"The combination of PD-1 blockade with neoadjuvant chemotherapy (NAC) has achieved unprecedented clinical success in non-small-cell lung cancer (NSCLC) compared to NAC alone, but the underlying mechanisms by which PD-1 blockade augments the effects of chemotherapy remain incompletely elucidated. Single-cell RNA sequencing was performed on CD45+ immune cells isolated from surgically resected fresh t","Xiubao,Ren",{},
GSE178521,PRMT5 inhibition increases PD-L1 expression and immunoresistance in lung cancer,6,2022/02/08,Expression profiling by high throughput sequencing,True,GSE178521_gene_count_matrix.txt.gz;GSE178521_genes_fpkm_expression.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,2.0,6.0,Sample_title;Sample_source_name_ch1;genotype;cell line;treatment,"Purpose: We sequenced mRNA from 3 biological replicates each of NCI-H460 lung adenocarcinoma cell lines expressing shRNA against GFP (control) or PRMT5.We then determined differential gene expression to identify the relationship between PRMT5 expression and tumorigenesis. Methods: PRMT5 shRNA and control shRNA NCI-H460 cells were generated by lentivirus targeting PRMT5 or GFP(control), in triplica",Transcriptome analysis of mRNA testing the role of PRMT5  by knockdown in NCI-H460 human lung adenocarcinoma cells,{},
GSE192591,PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance,6,2022/02/18,Expression profiling by high throughput sequencing,True,GSE192591_count.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,0.4,6.0,Sample_title;Sample_source_name_ch1;Sample_description;tissue;cell type;treatment;cell type (sorted),"Targeting checkpoint blockade to rescue exhausted regulatory T cells (Tregs) has become an essential immunotherapy strategy in treating cancer. Until now, the CD4+ Tregs and PD-1+CD8+ T cells were demonstrated to reduce immunogenic responses. In contrast, little is known about the PD-L1 graphic pattern and characteristics in CD8+ T cells. We performed two high-throughput analysis approaches on tum","CD8 T cells were stimulated with IL-27 for 48 hours, CD8+PD-L1+ and CD8+PD-L1- T cells were sorted into tubes containing lysis buffer, and transcriptome amplifications were performed following the Smart-Seq2 protocol.",{},
GSE192790,A subpopulation of cancer cells with high SIRPG expression promotes immune escape of non-small cell lung carcinoma through crosstalk with Hippo signaling,6,2022/01/02,Expression profiling by high throughput sequencing,True,GSE192790_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,15.0,6.0,Sample_title;Sample_source_name_ch1;cell type;treatment,Cancer stem like cells (CSLCs) acquire enhanced immune checkpoint responses to evade immune cell killing and promote tumor progression. Here we show that signal regulatory protein gamma (SIRPG) determines a small population of lung adenocarcinoma (LUAD) cancer cells for both CSLCs properties and immune evasion. SIRPGhigh population displays CSLCs properties and transmits the immune escape signal t,Examination of 2 different histone modifications in A549 cells.,{},
GSE197236,Identification of Key Gene and Functional Pathways in Radioresistance of non-small cell lung cancer,6,2022/02/27,Expression profiling by array; Non-coding RNA profiling by array,True,GSE197236_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,18.0,6.0,Sample_title;Sample_source_name_ch1;Sample_description;cell line,"For better understanding of radiotherapy resistance and its potential mechanism, we established radioresistance cell lines of non-small cell lung cancer (NSCLC) followed by microarray analysis. 529 differentially expressed genes (DEGs) were then screened between radiation resistant cell lines compared with the sensitive cell lines. The biological functions and enrichment pathways of the above DEGs","The lung cancer cell line A549 in logarithmic growth phase was irradiated with 4 Gy for the first time and cultured for subculture. After cell adherence growth, the cells were irradiated again with 4 Gy, with a total dose of 60Gy. The radiotherapy resistance cell line A549-RR was obtained by further culture. Total RNA of cultured cells was isolated using TRIzol reagent (Invitrogen), there were thr",{},
GSE198099,Immune suppressive landscape in the human non-small cell lung cancer microenvironment,6,2023/12/31,Expression profiling by high throughput sequencing,True,GSE198099_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,283.0,6.0,Sample_title;Sample_source_name_ch1;Sample_description;tumor stage;patient number,"Background: Lung cancer is the one of the malignant tumors with the highest morbidity and mortality in China and even the world. The overall five-year survival rate is about 20%, and most patients die of tumor metastasis. Non-small cell lung cancer (NSCLC) is the main pathologic type of lung cancer. The development and metastasis of tumor cells is influenced by the interaction with other cells in ","Single-cell RNA sequencing (10X Genomics) of non-small cell lung cancer, including two tumor tissues, two paired adjacent normal lung tissues, and two lymph node tissues from two patinets.",{},
GSE213590,FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis,6,2023/09/20,Expression profiling by high throughput sequencing,True,GSE213590_Differentially_Expressed_Genes.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,0.3,6.0,Sample_title;Sample_source_name_ch1;cell line;cell type;treatment,"Lung cancer brain metastasis (LCBM) is a leading cause of mortality in lung cancer patients, with a median survival of merely 4-6 months post-metastasis. Ferroptosis, an iron-dependent form of programmed cell death, has emerged as a key regulator of cancer metastasis, yet its role and underlying mechanisms in LCBM remain elusive. This study investigates the involvement of ferroptosis resistance an",Comparative transcriptome analysis of PC-9 lung cancer cells with FOS overexpression (OE) versus control PC-9 cells (Con). The experiment includes 3 biological replicates per group to investigate the regulatory mechanisms of FOS in lung cancer.,{},
