gene	gate	site	pool	split	min_arm	score	n_patients	mean_delta	median_delta	frac_pos	wilcoxon_p	eligible
CGN	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.1042593637747424	0.10514315962791443	0.8095238095238095	0.0005102157592773438	True
MARVELD2	author	all	patient	median	10	cell_mean	20	0.046005739271640776	0.03903455659747124	1.0	1.9073486328125e-06	True
MARVELD2	author	all	patient	q4q1	10	cell_mean	20	0.07028948469087481	0.054742151871323586	0.95	5.7220458984375e-06	True
MARVELD2	ts	tLung	patient	median	10	cell_mean	10	0.06678987666964531	0.04380950704216957	0.9	0.005859375	True
MARVELD2	ts	tLung	patient	q4q1	10	cell_mean	10	0.1231936976313591	0.08891979604959488	1.0	0.001953125	True
MARVELD2	broad	all	patient	median	10	cell_mean	30	0.05293378507097562	0.04160427674651146	0.9666666666666667	2.60770320892334e-08	True
MARVELD2	broad	all	patient	q4q1	10	cell_mean	30	0.0879242223377029	0.06887250766158104	0.9666666666666667	5.587935447692871e-09	True
MARVELD2	epi	no_mBrain	patient	median	10	cell_mean	21	0.062103831342288425	0.04679188132286072	0.9523809523809523	2.86102294921875e-06	True
MARVELD2	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.10782151349953242	0.09432828426361084	1.0	9.5367431640625e-07	True
CRB3	author	all	patient	median	10	cell_mean	20	0.0792110875248909	0.08798280358314514	0.8	0.001209259033203125	True
CRB3	author	all	patient	q4q1	10	cell_mean	20	0.13853465989232064	0.15020465850830078	0.85	0.0001049041748046875	True
CRB3	ts	tLung	patient	median	10	cell_mean	10	0.020568625628948213	0.03723621368408203	0.7	0.232421875	True
CRB3	ts	tLung	patient	q4q1	10	cell_mean	10	0.04989175945520401	0.06405511498451233	0.8	0.10546875	True
CRB3	broad	all	patient	median	10	cell_mean	30	0.059663600226243334	0.06565528735518456	0.7666666666666667	0.0007978975772857666	True
CRB3	broad	all	patient	q4q1	10	cell_mean	30	0.10898702641328176	0.13906937837600708	0.8333333333333334	6.286613643169403e-05	True
CRB3	epi	no_mBrain	patient	median	10	cell_mean	21	0.05973675740616662	0.05293816328048706	0.7619047619047619	0.002857208251953125	True
CRB3	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.12174689627829052	0.11928322911262512	0.8571428571428571	0.0013742446899414062	True
PARD3	author	all	patient	median	10	cell_mean	20	0.03345917817205191	0.027190960943698883	0.85	0.0014324188232421875	True
PARD3	author	all	patient	q4q1	10	cell_mean	20	0.05731376763433218	0.03815173730254173	0.95	3.62396240234375e-05	True
PARD3	ts	tLung	patient	median	10	cell_mean	10	0.027055179327726366	0.027532923966646194	0.8	0.083984375	True
PARD3	ts	tLung	patient	q4q1	10	cell_mean	10	0.061941832304000854	0.046478595584630966	0.9	0.00390625	True
PARD3	broad	all	patient	median	10	cell_mean	30	0.03132451189061006	0.027532923966646194	0.8333333333333334	0.00031275488436222076	True
PARD3	broad	all	patient	q4q1	10	cell_mean	30	0.05885645585755507	0.04400436207652092	0.9333333333333333	1.601874828338623e-07	True
PARD3	epi	no_mBrain	patient	median	10	cell_mean	21	0.050187850991884865	0.031414009630680084	0.9047619047619048	0.0006074905395507812	True
PARD3	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.09191751817152613	0.0647587776184082	0.8571428571428571	9.5367431640625e-06	True
PARD6A	author	all	patient	median	10	cell_mean	20	0.01936360732652247	0.019234899431467056	0.85	0.0004825592041015625	True
PARD6A	author	all	patient	q4q1	10	cell_mean	20	0.03276671841740608	0.03244111128151417	0.85	0.000164031982421875	True
PARD6A	ts	tLung	patient	median	10	cell_mean	10	-0.0014084957540035248	0.003578667528927326	0.7	0.375	False
PARD6A	ts	tLung	patient	q4q1	10	cell_mean	10	-0.011600934900343418	-0.0010890155099332333	0.5	0.76953125	False
PARD6A	broad	all	patient	median	10	cell_mean	30	0.012439572966347139	0.013446444645524025	0.8	0.001340603455901146	True
PARD6A	broad	all	patient	q4q1	10	cell_mean	30	0.017977500644822914	0.020519115030765533	0.7333333333333333	0.0032424964010715485	True
PARD6A	epi	no_mBrain	patient	median	10	cell_mean	21	0.005589749841462998	0.005859799683094025	0.6190476190476191	0.27221012115478516	True
PARD6A	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.0166600410427366	0.011038212105631828	0.6190476190476191	0.07013702392578125	True
PARD6B	author	all	patient	median	10	cell_mean	20	0.03099216353148222	0.02998477779328823	0.7	0.012079238891601562	True
PARD6B	author	all	patient	q4q1	10	cell_mean	20	0.058014029264450075	0.05156842619180679	0.85	0.001689910888671875	True
PARD6B	ts	tLung	patient	median	10	cell_mean	10	0.10084950774908066	0.09260590374469757	0.9	0.00390625	True
PARD6B	ts	tLung	patient	q4q1	10	cell_mean	10	0.15715423077344895	0.15951845794916153	0.9	0.00390625	True
PARD6B	broad	all	patient	median	10	cell_mean	30	0.05427794493734837	0.039383627474308014	0.7666666666666667	7.056817412376404e-05	True
PARD6B	broad	all	patient	q4q1	10	cell_mean	30	0.09106076310078302	0.07342606037855148	0.8666666666666667	5.144625902175903e-06	True
PARD6B	epi	no_mBrain	patient	median	10	cell_mean	21	0.06386363878846169	0.051712363958358765	0.8095238095238095	0.00019741058349609375	True
PARD6B	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.10722763375157401	0.10047687590122223	0.9047619047619048	9.5367431640625e-06	True
MPDZ	author	all	patient	median	10	cell_mean	20	0.006566514994483441	0.004265495575964451	0.75	0.005329132080078125	True
MPDZ	author	all	patient	q4q1	10	cell_mean	20	0.003559499979019165	0.0032093077898025513	0.65	0.0987396240234375	True
MPDZ	ts	tLung	patient	median	10	cell_mean	10	0.006482927687466144	0.0037707965821027756	0.7	0.10546875	True
MPDZ	ts	tLung	patient	q4q1	10	cell_mean	10	0.014191549457609653	-0.0007535256445407867	0.4	0.42578125	False
MPDZ	broad	all	patient	median	10	cell_mean	30	0.006538652558811009	0.003920017974451184	0.7333333333333333	0.0006071217358112335	True
MPDZ	broad	all	patient	q4q1	10	cell_mean	30	0.007103516471882661	0.00151863694190979	0.5666666666666667	0.0692269504070282	True
MPDZ	epi	no_mBrain	patient	median	10	cell_mean	21	0.014461451697917212	0.009168624877929688	0.7619047619047619	0.0010023117065429688	True
MPDZ	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.026873676017636343	0.021923892199993134	0.6666666666666666	0.002838134765625	True
INADL	author	all	patient	median	10	cell_mean	20	0.06701855100691319	0.05536527931690216	0.9	0.0003948211669921875	True
INADL	author	all	patient	q4q1	10	cell_mean	20	0.10179128721356392	0.08794399350881577	0.9	0.0002613067626953125	True
INADL	ts	tLung	patient	median	10	cell_mean	10	0.08164387196302414	0.057761624455451965	0.9	0.00390625	True
INADL	ts	tLung	patient	q4q1	10	cell_mean	10	0.14024718701839448	0.1075330302119255	1.0	0.001953125	True
INADL	broad	all	patient	median	10	cell_mean	30	0.0718936579922835	0.057761624455451965	0.9	2.348795533180237e-06	True
INADL	broad	all	patient	q4q1	10	cell_mean	30	0.11460992048184077	0.10019807517528534	0.9333333333333333	4.7124922275543213e-07	True
INADL	epi	no_mBrain	patient	median	10	cell_mean	21	0.09299352871520179	0.06937111914157867	0.9523809523809523	2.86102294921875e-06	True
INADL	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.13659787248997463	0.11339455842971802	1.0	9.5367431640625e-07	True
CLDN18	author	all	patient	median	10	cell_mean	20	0.0014106499584158882	0.0	0.05	1.0	False
CLDN18	author	all	patient	q4q1	10	cell_mean	20	0.0013665640959516167	0.0	0.05	1.0	False
CLDN18	ts	tLung	patient	median	10	cell_mean	10	0.0019391102716326714	-0.008166409097611904	0.3	0.91015625	False
CLDN18	ts	tLung	patient	q4q1	10	cell_mean	10	0.04351360872387886	0.0	0.4	0.3828125	False
CLDN18	broad	all	patient	median	10	cell_mean	30	0.001586803396154816	0.0	0.13333333333333333	0.9697265625	False
CLDN18	broad	all	patient	q4q1	10	cell_mean	30	0.015415578971927364	0.0	0.16666666666666666	0.365234375	False
CLDN18	epi	no_mBrain	patient	median	10	cell_mean	21	-0.03624394186772406	0.0	0.14285714285714285	0.0341796875	False
CLDN18	epi	no_mBrain	patient	q4q1	10	cell_mean	21	-0.02472285908602533	0.0	0.19047619047619047	0.365234375	False
CDH1	author	all	patient	median	10	cell_mean	20	0.20408697426319122	0.1772949993610382	0.95	3.814697265625e-06	True
CDH1	author	all	patient	q4q1	10	cell_mean	20	0.31414989158511164	0.28698745369911194	0.95	3.814697265625e-06	True
CDH1	ts	tLung	patient	median	10	cell_mean	10	0.15037354826927185	0.11831633746623993	1.0	0.001953125	True
CDH1	ts	tLung	patient	q4q1	10	cell_mean	10	0.24743506759405137	0.17693664878606796	1.0	0.001953125	True
CDH1	broad	all	patient	median	10	cell_mean	30	0.18618249893188477	0.16830211877822876	0.9666666666666667	3.725290298461914e-09	True
CDH1	broad	all	patient	q4q1	10	cell_mean	30	0.29191161692142487	0.27890296280384064	0.9666666666666667	2.60770320892334e-08	True
CDH1	epi	no_mBrain	patient	median	10	cell_mean	21	0.2237270942756108	0.20799121260643005	1.0	9.5367431640625e-07	True
CDH1	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.34548777980463846	0.3134042024612427	1.0	9.5367431640625e-07	True
