cohort,cancer,cutoff,endpoint,n_with_expr,n_with_binary,n_R,n_NR,expr_scale,n_high_R,n_high_NR,n_low_R,n_low_NR,n_used,or,logor,se_logor,or_lo,or_hi,fisher_p,haldane,estimable,wald_p,reason
GSE135222_DCB180,NSCLC,tertile,curated_R_vs_NR,27,27,7,20,log2_plus1,3.0,6.0,2.0,7.0,18.0,1.75,0.5596157879354227,1.0690449676496976,0.21530226624978793,14.224188408899371,1.0,False,True,,
GSE135222_DCB180,NSCLC,tertile,CRPR_vs_PD,27,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE135222_DCB180,NSCLC,tertile,CRPR_vs_SDPD,27,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE135222_DCB180,NSCLC,quartile,curated_R_vs_NR,27,27,7,20,log2_plus1,2.0,5.0,1.0,6.0,14.0,2.4,0.8754687373538999,1.3662601021279464,0.1649024713088102,34.92973728218627,1.0,False,True,,
GSE135222_DCB180,NSCLC,quartile,CRPR_vs_PD,27,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE135222_DCB180,NSCLC,quartile,CRPR_vs_SDPD,27,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE135222_DCB180,NSCLC,continuous,curated_R_vs_NR,27,27,7,20,log2_plus1,,,,,27.0,1.095193500342914,0.09093106029855508,0.46315851990318097,0.44181694303874053,2.7148094297691783,,,True,0.8443533212709677,
GSE135222_DCB180,NSCLC,continuous,CRPR_vs_PD,27,0,0,0,log2_plus1,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE135222_DCB180,NSCLC,continuous,CRPR_vs_SDPD,27,0,0,0,log2_plus1,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE135222_Jung,NSCLC,median,curated_R_vs_NR,27,27,8,19,already_log_detected,4.0,10.0,4.0,9.0,27.0,0.9,-0.10536051565782628,0.8432740427115678,0.17235867746300843,4.69950229325612,1.0,False,True,,
GSE135222_Jung,NSCLC,median,CRPR_vs_PD,27,0,0,0,already_log_detected,,,,,,,,,,,,,False,,too_few
GSE135222_Jung,NSCLC,median,CRPR_vs_SDPD,27,0,0,0,already_log_detected,,,,,,,,,,,,,False,,too_few
GSE135222_Jung,NSCLC,tertile,curated_R_vs_NR,27,27,8,19,already_log_detected,3.0,6.0,3.0,6.0,18.0,1.0,0.0,0.9999999999999999,0.14085842092104503,7.099327065156631,1.0,False,True,,
GSE135222_Jung,NSCLC,tertile,CRPR_vs_PD,27,0,0,0,already_log_detected,,,,,,,,,,,,,False,,too_few
GSE135222_Jung,NSCLC,tertile,CRPR_vs_SDPD,27,0,0,0,already_log_detected,,,,,,,,,,,,,False,,too_few
GSE135222_Jung,NSCLC,quartile,curated_R_vs_NR,27,27,8,19,already_log_detected,2.0,5.0,1.0,6.0,14.0,2.4,0.8754687373538999,1.3662601021279464,0.1649024713088102,34.92973728218627,1.0,False,True,,
GSE135222_Jung,NSCLC,quartile,CRPR_vs_PD,27,0,0,0,already_log_detected,,,,,,,,,,,,,False,,too_few
GSE135222_Jung,NSCLC,quartile,CRPR_vs_SDPD,27,0,0,0,already_log_detected,,,,,,,,,,,,,False,,too_few
GSE135222_Jung,NSCLC,continuous,curated_R_vs_NR,27,27,8,19,already_log_detected,,,,,27.0,1.1226030984236302,0.11565018356458148,0.4512500391194472,0.46356906704710893,2.718554377706713,,,True,0.7977280971411357,
GSE135222_Jung,NSCLC,continuous,CRPR_vs_PD,27,0,0,0,already_log_detected,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE135222_Jung,NSCLC,continuous,CRPR_vs_SDPD,27,0,0,0,already_log_detected,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE166449,NSCLC,median,curated_R_vs_NR,22,22,7,15,log2_plus1,3.0,8.0,4.0,7.0,22.0,0.65625,-0.42121346507630353,0.9225998461903601,0.10758122195734238,4.0031527311593935,1.0,False,True,,
GSE166449,NSCLC,median,CRPR_vs_PD,22,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE166449,NSCLC,median,CRPR_vs_SDPD,22,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE166449,NSCLC,tertile,curated_R_vs_NR,22,22,7,15,log2_plus1,2.0,6.0,2.0,6.0,16.0,1.0,0.0,1.1547005383792515,0.10401573895102821,9.613929681072701,1.0,False,True,,
GSE166449,NSCLC,tertile,CRPR_vs_PD,22,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE166449,NSCLC,tertile,CRPR_vs_SDPD,22,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE166449,NSCLC,quartile,curated_R_vs_NR,22,22,7,15,log2_plus1,2.0,4.0,1.0,5.0,12.0,2.5,0.9162907318741551,1.396424004376894,0.16191232131689703,38.6011388705089,1.0,False,True,,
GSE166449,NSCLC,quartile,CRPR_vs_PD,22,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE166449,NSCLC,quartile,CRPR_vs_SDPD,22,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE166449,NSCLC,continuous,curated_R_vs_NR,22,22,7,15,log2_plus1,,,,,22.0,1.166271591698949,0.15381198679063157,0.4757014171770106,0.4590653102687833,2.962954061607504,,,True,0.7464398483574326,
GSE166449,NSCLC,continuous,CRPR_vs_PD,22,0,0,0,log2_plus1,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE166449,NSCLC,continuous,CRPR_vs_SDPD,22,0,0,0,log2_plus1,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE207422,NSCLC,median,curated_R_vs_NR,24,24,9,15,already_log2tpm,2.0,10.0,7.0,5.0,24.0,0.14285714285714285,-1.9459101490553135,0.9710083124552245,0.02129918560579241,0.9581663657485581,0.08937945887737245,False,True,,
GSE207422,NSCLC,median,CRPR_vs_PD,24,17,17,0,already_log2tpm,,,,,,,,,,,,,False,,too_few
GSE207422,NSCLC,median,CRPR_vs_SDPD,24,24,17,7,already_log2tpm,7.0,5.0,10.0,2.0,24.0,0.28,-1.2729656758128873,0.9710083124552245,0.04174640378735315,1.8780060768671745,0.3707093821510298,False,True,,
GSE207422,NSCLC,tertile,curated_R_vs_NR,24,24,9,15,already_log2tpm,1.0,7.0,3.0,5.0,16.0,0.23809523809523808,-1.4350845252893227,1.2946777499402993,0.01882342987456475,3.011637240470709,0.5692307692307692,False,True,,
GSE207422,NSCLC,tertile,CRPR_vs_PD,24,17,17,0,already_log2tpm,,,,,,,,,,,,,False,,too_few
GSE207422,NSCLC,tertile,CRPR_vs_SDPD,24,24,17,7,already_log2tpm,4.0,4.0,6.0,2.0,16.0,0.3333333333333333,-1.0986122886681098,1.0801234497346432,0.040129070782762497,2.768843358287753,0.6083916083916084,False,True,,
GSE207422,NSCLC,quartile,curated_R_vs_NR,24,24,9,15,already_log2tpm,1.0,5.0,2.0,4.0,12.0,0.4,-0.916290731874155,1.396424004376894,0.025905971410703523,6.176182219281424,1.0,False,True,,
GSE207422,NSCLC,quartile,CRPR_vs_PD,24,17,17,0,already_log2tpm,,,,,,,,,,,,,False,,too_few
GSE207422,NSCLC,quartile,CRPR_vs_SDPD,24,24,17,7,already_log2tpm,3.0,3.0,4.0,2.0,12.0,0.5,-0.6931471805599453,1.1902380714238083,0.04850861826929884,5.153723377815221,1.0,False,True,,
GSE207422,NSCLC,continuous,curated_R_vs_NR,24,24,9,15,already_log2tpm,,,,,24.0,0.8984122063552583,-0.10712628887898931,0.4267251094113524,0.3892601069851938,2.073535094000332,,,True,0.8017809779517122,
GSE207422,NSCLC,continuous,CRPR_vs_PD,24,17,17,0,already_log2tpm,,,,,17.0,,,,,,,,False,,too_few_or_one_class
GSE207422,NSCLC,continuous,CRPR_vs_SDPD,24,24,17,7,already_log2tpm,,,,,24.0,0.9723117475088977,-0.028078798054080426,0.4614826181231257,0.39353521256505264,2.4023012532519705,,,True,0.9514828448879865,
Gide,melanoma,median,curated_R_vs_NR,41,38,19,19,already_log_detected,6.0,13.0,13.0,6.0,38.0,0.21301775147928997,-1.5463797764669633,0.6979824404521128,0.05423518780185832,0.836662769769883,0.050210277281902756,False,True,,
Gide,melanoma,median,CRPR_vs_PD,41,35,19,16,already_log_detected,7.0,11.0,12.0,5.0,35.0,0.26515151515151514,-1.3274538610969573,0.7190963545308564,0.06477194505999037,1.0854286670259612,0.09221518273121504,False,True,,
Gide,melanoma,median,CRPR_vs_SDPD,41,41,19,22,already_log_detected,6.0,15.0,13.0,7.0,41.0,0.2153846153846154,-1.5353299402803784,0.673137098304315,0.05757431948586238,0.8057504275976738,0.029366258588311604,False,True,,
Gide,melanoma,tertile,curated_R_vs_NR,41,38,19,19,already_log_detected,4.0,9.0,8.0,5.0,26.0,0.2777777777777778,-1.2809338454620642,0.8283182426526118,0.05477958992316717,1.4085628230401939,0.23774397630905908,False,True,,
Gide,melanoma,tertile,CRPR_vs_PD,41,35,19,16,already_log_detected,4.0,8.0,7.0,5.0,24.0,0.3571428571428572,-1.0296194171811581,0.8472645058404977,0.0678634386210101,1.8795248664083206,0.4136492125454301,False,True,,
Gide,melanoma,tertile,CRPR_vs_SDPD,41,41,19,22,already_log_detected,4.0,10.0,9.0,5.0,28.0,0.2222222222222222,-1.5040773967762742,0.8130873945100312,0.045151639385771956,1.093708151490598,0.1283461210571185,False,True,,
Gide,melanoma,quartile,curated_R_vs_NR,41,38,19,19,already_log_detected,3.0,7.0,6.0,4.0,20.0,0.2857142857142857,-1.252762968495368,0.944911182523068,0.04483398263085676,1.8207763011676152,0.3698499642772088,False,True,,
Gide,melanoma,quartile,CRPR_vs_PD,41,35,19,16,already_log_detected,3.0,6.0,5.0,4.0,18.0,0.4,-0.916290731874155,0.9746794344808963,0.059210142635980664,2.702239732534805,0.6371863430686961,False,True,,
Gide,melanoma,quartile,CRPR_vs_SDPD,41,41,19,22,already_log_detected,3.0,8.0,6.0,5.0,22.0,0.3125,-1.1631508098056809,0.9082951062292475,0.05268580481776265,1.8535590438029308,0.3869969040247677,False,True,,
Gide,melanoma,continuous,curated_R_vs_NR,41,38,19,19,already_log_detected,,,,,38.0,0.6270096906275032,-0.46679328292239497,0.3517638357931379,0.314663834814024,1.2494004987041352,,,True,0.1845061691802652,
Gide,melanoma,continuous,CRPR_vs_PD,41,35,19,16,already_log_detected,,,,,35.0,0.6586924380614062,-0.4174985634964129,0.365686923553295,0.32166490800734965,1.3488438345576879,,,True,0.25358578740477034,
Gide,melanoma,continuous,CRPR_vs_SDPD,41,41,19,22,already_log_detected,,,,,41.0,0.594919111683072,-0.5193298294292439,0.34137704456784657,0.30469962101688963,1.161566096684305,,,True,0.1281897640375557,
IMvigor210_Mariathasan,urothelial,median,curated_R_vs_NR,348,235,68,167,already_log_detected,40.0,78.0,28.0,89.0,235.0,1.63003663003663,0.48860248698128045,0.2911541749502801,0.9212169641595265,2.8842493339072504,0.11351754884844069,False,True,,
IMvigor210_Mariathasan,urothelial,median,CRPR_vs_PD,348,235,68,167,already_log_detected,40.0,78.0,28.0,89.0,235.0,1.63003663003663,0.48860248698128045,0.2911541749502801,0.9212169641595265,2.8842493339072504,0.11351754884844069,False,True,,
IMvigor210_Mariathasan,urothelial,median,CRPR_vs_SDPD,348,298,68,230,already_log_detected,39.0,110.0,29.0,120.0,298.0,1.4670846394984327,0.38327719313280223,0.27847446325643166,0.8499882485320097,2.5321965840933522,0.21394219114423912,False,True,,
IMvigor210_Mariathasan,urothelial,tertile,curated_R_vs_NR,348,235,68,167,already_log_detected,26.0,53.0,18.0,61.0,158.0,1.6624737945492662,0.5083067307465068,0.3595531409518581,0.8216691773998032,3.3636641042192,0.21386561810948582,False,True,,
IMvigor210_Mariathasan,urothelial,tertile,CRPR_vs_PD,348,235,68,167,already_log_detected,26.0,53.0,18.0,61.0,158.0,1.6624737945492662,0.5083067307465068,0.3595531409518581,0.8216691773998032,3.3636641042192,0.21386561810948582,False,True,,
IMvigor210_Mariathasan,urothelial,tertile,CRPR_vs_SDPD,348,298,68,230,already_log_detected,26.0,74.0,18.0,82.0,200.0,1.6006006006006006,0.4703789341854007,0.3460140596591807,0.8123624895384154,3.1536688555113965,0.23192087400793293,False,True,,
IMvigor210_Mariathasan,urothelial,quartile,curated_R_vs_NR,348,235,68,167,already_log_detected,19.0,40.0,15.0,44.0,118.0,1.3933333333333333,0.33169895786855524,0.4086875558924052,0.6254220033836217,3.10410853355758,0.5423715378464401,False,True,,
IMvigor210_Mariathasan,urothelial,quartile,CRPR_vs_PD,348,235,68,167,already_log_detected,19.0,40.0,15.0,44.0,118.0,1.3933333333333333,0.33169895786855524,0.4086875558924052,0.6254220033836217,3.10410853355758,0.5423715378464401,False,True,,
IMvigor210_Mariathasan,urothelial,quartile,CRPR_vs_SDPD,348,298,68,230,already_log_detected,20.0,55.0,15.0,60.0,150.0,1.4545454545454546,0.3746934494414107,0.38924947208076144,0.6782525852268417,3.119343037419085,0.4403088759068746,False,True,,
IMvigor210_Mariathasan,urothelial,continuous,curated_R_vs_NR,348,235,68,167,already_log_detected,,,,,235.0,1.1592670772570892,0.14778797547882758,0.15019179545405986,0.8636497765147986,1.556070751080854,,,True,0.325117972273014,
IMvigor210_Mariathasan,urothelial,continuous,CRPR_vs_PD,348,235,68,167,already_log_detected,,,,,235.0,1.1592670772570892,0.14778797547882758,0.15019179545405986,0.8636497765147986,1.556070751080854,,,True,0.325117972273014,
IMvigor210_Mariathasan,urothelial,continuous,CRPR_vs_SDPD,348,298,68,230,already_log_detected,,,,,298.0,1.162146215670826,0.1502684815556769,0.14587296981802975,0.8731546952096466,1.5467864217047398,,,True,0.3029478284521663,
Liu,melanoma,median,curated_R_vs_NR,121,112,52,60,already_log_detected,25.0,31.0,27.0,29.0,112.0,0.8661887694145759,-0.1436524156348005,0.37918051133181374,0.41195291594705896,1.8212833438381537,0.849843592899785,False,True,,
Liu,melanoma,median,CRPR_vs_PD,121,103,47,56,already_log_detected,22.0,30.0,25.0,26.0,103.0,0.7626666666666667,-0.27093421515055816,0.39654686639717285,0.3505800981269068,1.6591370917863362,0.5553604954239677,False,True,,
Liu,melanoma,median,CRPR_vs_SDPD,121,121,47,74,already_log_detected,21.0,40.0,26.0,34.0,121.0,0.6865384615384615,-0.376093029795834,0.374823092653679,0.3293131058089654,1.4312672373416537,0.35419002181801734,False,True,,
Liu,melanoma,tertile,curated_R_vs_NR,121,112,52,60,already_log_detected,15.0,23.0,24.0,22.0,84.0,0.5978260869565217,-0.5144553918165694,0.4441465294893612,0.25032815806318504,1.4277100627071155,0.2777072215351496,False,True,,
Liu,melanoma,tertile,CRPR_vs_PD,121,103,47,56,already_log_detected,13.0,22.0,21.0,20.0,76.0,0.5627705627705628,-0.574883260066211,0.469038026173433,0.22442857107300687,1.4111871086951295,0.25308089110655324,False,True,,
Liu,melanoma,tertile,CRPR_vs_SDPD,121,121,47,74,already_log_detected,12.0,29.0,21.0,26.0,88.0,0.5123152709359606,-0.6688150799004146,0.45154919780086983,0.21143207138039305,1.2413771246745984,0.18576995773968186,False,True,,
Liu,melanoma,quartile,curated_R_vs_NR,121,112,52,60,already_log_detected,12.0,16.0,24.0,22.0,74.0,0.6875,-0.3746934494414107,0.48265364958171136,0.2669498135126331,1.7705809334743443,0.4795886020553367,False,True,,
Liu,melanoma,quartile,CRPR_vs_PD,121,103,47,56,already_log_detected,10.0,16.0,21.0,20.0,67.0,0.5952380952380952,-0.5187937934151675,0.5100186737944481,0.21905544798799845,1.617437015499781,0.3283450768524827,False,True,,
Liu,melanoma,quartile,CRPR_vs_SDPD,121,121,47,74,already_log_detected,10.0,21.0,21.0,26.0,78.0,0.5895691609977324,-0.5283632444313183,0.483424899751382,0.22857839367538807,1.5206677674583582,0.34650276874064867,False,True,,
Liu,melanoma,continuous,curated_R_vs_NR,121,112,52,60,already_log_detected,,,,,112.0,0.8560454800141085,-0.15543177339418557,0.19134903907183476,0.5883249251145463,1.2455937740695031,,,True,0.4166226616117231,
Liu,melanoma,continuous,CRPR_vs_PD,121,103,47,56,already_log_detected,,,,,103.0,0.8340675391230932,-0.18144089774028635,0.2002368400756141,0.5633213093621362,1.23494113973174,,,True,0.36486628207976146,
Liu,melanoma,continuous,CRPR_vs_SDPD,121,121,47,74,already_log_detected,,,,,121.0,0.8021730782922849,-0.22043088605439873,0.18923936452170692,0.5535849611962071,1.1623900442426416,,,True,0.24408953057748106,
Riaz,melanoma,median,curated_R_vs_NR,46,30,9,21,already_log_detected,4.0,11.0,5.0,10.0,30.0,0.7272727272727273,-0.3184537311185346,0.8005679801922452,0.15143981823966074,3.4926456329844564,1.0,False,True,,
Riaz,melanoma,median,CRPR_vs_PD,46,30,9,21,already_log_detected,4.0,11.0,5.0,10.0,30.0,0.7272727272727273,-0.3184537311185346,0.8005679801922452,0.15143981823966074,3.4926456329844564,1.0,False,True,,
Riaz,melanoma,median,CRPR_vs_SDPD,46,44,9,35,already_log_detected,4.0,18.0,5.0,17.0,44.0,0.7555555555555555,-0.2803019651541584,0.7512516788449263,0.17329581079527778,3.2941604007107355,1.0,False,True,,
Riaz,melanoma,tertile,curated_R_vs_NR,46,30,9,21,already_log_detected,3.0,7.0,4.0,6.0,20.0,0.6428571428571429,-0.4418327522790392,0.944911182523068,0.10087646091942772,4.096746677627134,1.0,False,True,,
Riaz,melanoma,tertile,CRPR_vs_PD,46,30,9,21,already_log_detected,3.0,7.0,4.0,6.0,20.0,0.6428571428571429,-0.4418327522790392,0.944911182523068,0.10087646091942772,4.096746677627134,1.0,False,True,,
Riaz,melanoma,tertile,CRPR_vs_SDPD,46,44,9,35,already_log_detected,3.0,12.0,4.0,11.0,30.0,0.6875,-0.3746934494414107,0.8703882797784892,0.12484847489778576,3.7858391973707852,1.0,False,True,,
Riaz,melanoma,quartile,curated_R_vs_NR,46,30,9,21,already_log_detected,1.0,7.0,3.0,5.0,16.0,0.23809523809523808,-1.4350845252893227,1.2946777499402993,0.01882342987456475,3.011637240470709,0.5692307692307692,False,True,,
Riaz,melanoma,quartile,CRPR_vs_PD,46,30,9,21,already_log_detected,1.0,7.0,3.0,5.0,16.0,0.23809523809523808,-1.4350845252893227,1.2946777499402993,0.01882342987456475,3.011637240470709,0.5692307692307692,False,True,,
Riaz,melanoma,quartile,CRPR_vs_SDPD,46,44,9,35,already_log_detected,1.0,10.0,4.0,7.0,22.0,0.175,-1.742969305058623,1.2218253323847656,0.015958766825270313,1.9190079243156848,0.3107769423558897,False,True,,
Riaz,melanoma,continuous,curated_R_vs_NR,46,30,9,21,already_log_detected,,,,,30.0,0.6648413342305942,-0.4082068619365957,0.4450071902067575,0.2779202839642108,1.5904344706212128,,,True,0.3589833779983067,
Riaz,melanoma,continuous,CRPR_vs_PD,46,30,9,21,already_log_detected,,,,,30.0,0.6648413342305942,-0.4082068619365957,0.4450071902067575,0.2779202839642108,1.5904344706212128,,,True,0.3589833779983067,
Riaz,melanoma,continuous,CRPR_vs_SDPD,46,44,9,35,already_log_detected,,,,,44.0,0.6192734070781305,-0.4792084122505226,0.43157064985321875,0.2657798655461696,1.4429217650707884,,,True,0.26683432067669277,
