nes_rank	Name	geneset	ES	NES	pval	fdr	tag_pct	gene_pct	lead_genes	log2err	n_genes_ranked
32	prerank	Cholesterol Homeostasis	-0.3714685574831457	-1.1899145101173618	0.1951219512195122	0.3147128245476003	22/73	13.81%	CYP51A1;CD9;ALDOC;TNFRSF12A;SEMA3B;ALCAM;LGALS3;TM7SF2;ETHE1;NIBAN1;GUSB;SREBF2;ACSS2;CLU;TMEM97;ECH1;ABCA2;ATF3;DHCR7;FBXO6;MVK;FASN	0.11934844059101545	17145
33	prerank	mTORC1 Signaling	-0.3296508859482235	-1.2091301189484367	0.10126582278481013	0.22950401632028558	40/198	9.88%	IGFBP5;CYP51A1;PSMC2;NAMPT;XBP1;PDAP1;ADD3;TES;SYTL2;SORD;P4HA1;SQSTM1;CD9;IFRD1;PPA1;PPIA;LDHA;SLC37A4;NUP205;SLC2A1;TM7SF2;CALR;SERP1;INSIG1;TPI1;NIBAN1;HK2;ABCF2;PDK1;EGLN3;SLC1A5;UNG;DDIT4;SLC7A5;SEC11A;PGK1;DHCR24;PFKL;TMEM97;ADIPOR2	0.16440575583821015	17145
34	prerank	UV Response Dn	-0.35019353098294564	-1.2224440582964007	0.12173913043478261	0.24347826086956523	28/134	11.04%	IGFBP5;MET;ADD3;ARHGEF9;PMP22;CAV1;PLCB4;NRP1;SRI;ICA1;MIOS;ID1;IGF1R;GCNT1;INSIG1;ATP2B4;NR3C1;MGMT;NR1D2;SIPA1L1;PTPN21;CDKN1B;PTEN;DUSP1;ATXN1;ERBB2;RUNX1;PDLIM5	0.15114876138548378	17145
35	prerank	Myogenesis	-0.36488199281928146	-1.3047135859268186	0.0536231884057971	0.15903238398675953	37/167	13.06%	BAG1;CACNA1H;SPDEF;LARGE1;ERBB3;IFRD1;GSN;CRAT;PKIA;ITGB1;KCNH1;PPP1R3C;ITGB5;DTNA;MB;ABLIM1;CFD;FHL1;SVIL;TNNT1;PLXNB2;ADCY9;REEP1;PPFIA4;CLU;PTGIS;ITGB4;NOTCH1;MEF2D;TSC2;EIF4A2;SSPN;AKT2;KIFC3;PICK1;SYNGR2;PTP4A3	0.23439264729468612	17145
36	prerank	Pperoxisome	-0.3939900103357825	-1.3127071282465284	0.07164634146341463	0.19226147560682527	23/98	12.87%	SEMA3C;FIS1;PEX11A;TSPO;GSTK1;CRAT;UGT2B17;IDH2;EPHX2;HSD3B7;ABCB1;CADM1;PEX6;DHCR24;MLYCD;CTBP1;CDK7;ATXN1;ECH1;MVP;DHRS3;IDE;SULT2B1	0.2065879226968911	17145
37	prerank	Interferon Gamma Response	-0.3665316568876775	-1.3174637577118107	0.051798561151079135	0.15903238398675953	52/173	17.51%	TXNIP;NAMPT;ISG15;BST2;ARL4A;LGALS3BP;SRI;IFI44;OAS3;PSME1;PSMA2;IFI35;NFKBIA;RAPGEF6;ISG20;TAPBP;CASP7;TRIM25;BANK1;OGFR;IL4R;CASP4;PSME2;VAMP8;ARID5B;CMTR1;HELZ2;SLC25A28;PARP14;IRF1;USP18;IRF5;SSPN;JAK2;MVP;PTPN1;LY6E;PARP12;NOD1;IFIH1;IL18BP;TNFAIP2;IL7;PSMB10;RNF213;TRIM21;ADAR;NMI;TRIM14;ZNFX1;IFI27;CMPK2	0.2377938344236881	17145
38	prerank	Androgen Response	-0.3953552326133275	-1.3193496459050238	0.0730593607305936	0.19226147560682527	21/97	8.95%	SLC26A2;SAT1;ABHD2;SPDEF;SORD;B4GALT1;TPD52;DNAJB9;H1-0;NCOA4;NDRG1;AKT1;XRCC6;UBE2I;INSIG1;BMPR1B;PTK2B;KRT19;DHCR24;ARID5B;PTPN21	0.2042947565168861	17145
39	prerank	Fatty Acid Metabolism	-0.38051438454684866	-1.3459568309509629	0.04885057471264368	0.15903238398675953	49/145	18.39%	DLD;MDH2;ECI1;CRAT;LDHA;BLVRA;GSTZ1;PTPRG;CA2;NTHL1;NCAPH2;PSME1;ECHS1;UROS;MIF;GLUL;PCBD1;SLC22A5;BMPR1B;ADSL;REEP6;DHCR24;MLYCD;BPHL;FH;ADIPOR2;ECH1;SUCLG2;ERP29;MCEE;HADHB;D2HGDH;DLST;FASN;ALDOA;ACADS;ACO2;IDH3B;NBN;EPHX1;ACADVL;ODC1;CPT2;METAP1;IDH1;OSTC;HPGD;UGDH;HMGCS2	0.24504178543099622	17145
40	prerank	Hedgehog Signaling	-0.5152011625779622	-1.412603777589862	0.07705192629815745	0.19262981574539362	11/31	17.78%	SLIT1;NRCAM;NRP1;TLE1;CELSR1;LDB1;OPHN1;SHH;HEY1;TLE3;VEGFA	0.20895502754935388	17145
41	prerank	Coagulation	-0.4226324302211679	-1.4444136149282008	0.011783907057199386	0.053563213896360845	14/113	8.48%	TIMP3;GNB2;CAPN2;S100A13;CD9;GSN;ITGA2;CRIP2;CTSV;CFD;RAC1;FURIN;PDGFB;CLU	0.3807304007227925	17145
42	prerank	Epithelial Mesenchymal Transition	-0.41096384081019177	-1.4560248902123603	0.008907312553982182	0.04948506974434545	16/153	4.23%	TIMP3;MCM7;SDC1;SAT1;DKK1;PMP22;MEST;MGP;TNFRSF12A;IGFBP4;CALU;ITGB1;ITGA2;PLOD3;ITGB5;LAMA3	0.3807304007227925	17145
43	prerank	Interferon Alpha Response	-0.44876829297041615	-1.4862318090107942	0.010223320111158445	0.05111660055579222	33/91	17.51%	TXNIP;ISG15;BST2;LGALS3BP;NUB1;IFI44;PARP9;PSME1;IFI35;ISG20;TRIM25;OGFR;IL4R;PSME2;CMTR1;SAMD9;HELZ2;SLC25A28;PARP14;IRF1;USP18;LY6E;PARP12;IFIH1;IL7;TRIM21;ADAR;NMI;CD47;TRIM14;TMEM140;IFI27;CMPK2	0.3807304007227925	17145
44	prerank	Adipogenesis	-0.412584282330647	-1.5045890062542506	0.0036104417385208905	0.022565260865755565	62/193	16.86%	DLD;MDH2;YWHAG;POR;PIM3;ARL4A;PRDX3;STOM;SLC66A3;GHITM;CRAT;ESRRA;SLC25A1;DNAJB9;TST;UBC;EPHX2;ECHS1;CYC1;COQ5;DHRS7B;ADCY6;ABCB8;UQCR10;BCL2L13;SLC5A6;SLC1A5;FZD4;COX6A1;ANGPTL4;PFKFB3;MTARC2;REEP6;MCCC1;FAH;PFKL;UQCR11;ADIPOR2;SSPN;ATP5PO;COQ9;TKT;ECH1;COQ3;UQCRC1;NDUFA5;DHCR7;TOB1;QDPR;DNAJC15;MRPL15;ALDOA;ACADS;CDKN2C;ACO2;SLC25A10;CHCHD10;CHUK;MAP4K3;UQCRQ;CPT2;STAT5A	0.4317076958033465	17145
45	prerank	Glycolysis	-0.43079128590460813	-1.5691303556418916	0.0008021634211776312	0.008021634211776313	59/191	15.04%	SDC1;DLD;MDH2;CACNA1H;TFF3;MET;ELF3;SLC25A13;P4HA1;PGAM1;B4GALT1;CLDN3;PPIA;LDHA;SLC37A4;AKR1A1;KDELR3;GLCE;MIF;PAXIP1;TPI1;ABCB6;B3GNT3;BIK;IER3;HK2;CHPF;ISG20;GUSB;ALG1;PHKA2;PPFIA4;EGLN3;DDIT4;ANGPTL4;DPYSL4;GPC1;PGK1;SRD5A3;PGLS;CYB5A;CHPF2;ALDH7A1;FAM162A;GALK2;PYGB;SAP30;LHPP;CD44;B3GALT6;ALDOA;ENO1;ECD;SLC16A3;SLC25A10;ANG;PRPS1;PKM;IL13RA1	0.4772708153628622	17145
46	prerank	Apoptosis	-0.4646110789291495	-1.6379286311881003	0.0015697637645234186	0.013081364704361822	39/140	14.97%	TIMP3;HSPB1;TXNIP;SAT1;PPT1;VDAC2;SQSTM1;TSPO;CAV1;ERBB3;TNFRSF12A;GSN;LGALS3;H1-0;RHOT2;JUN;BIK;IER3;ISG20;CASP7;BRCA1;MGMT;CLU;CASP4;DAP3;CDKN1B;IRF1;ERBB2;NEDD9;MADD;ATF3;CREBBP;CD44;ANXA1;RHOB;SMAD7;LMNA;BIRC3;DPYD	0.4550598673872297	17145
47	prerank	Hypoxia	-0.4845821876962285	-1.7547241237931352	2.4097651886083843e-05	0.00030122064857604806	48/181	9.47%	HK1;FBP1;TES;ACKR3;P4HA1;ADM;LARGE1;CAV1;ALDOC;TPD52;LXN;FOSL2;LDHA;SLC25A1;SLC37A4;SLC2A1;TGFB3;NDRG1;PPP1R3C;DTNA;EFNA1;KDELR3;KDM3A;MIF;SIAH2;TPI1;XPNPEP1;JUN;IER3;HK2;ISG20;HEXA;PDK1;PPFIA4;PKP1;NR3C1;PDGFB;DDIT4;ANGPTL4;DPYSL4;NDST1;PFKFB3;GPC1;SELENBP1;PGK1;CDKN1B;PFKL;DUSP1	0.5756102610711286	17145
48	prerank	Oxidative Phosphorylation	-0.5035663098763219	-1.847036419780214	1.3750751890590872e-06	2.2917919817651456e-05	69/198	16.73%	DLD;MDH2;ATP5MF;VDAC2;POR;ATP1B1;SLC25A6;GLUD1;PRDX3;NDUFB2;ETFA;ECI1;LDHA;PHB2;NQO2;NDUFS4;ATP5F1D;COX15;COX6C;ACADSB;IDH2;ATP6V1F;OAT;RHOT2;ECHS1;ATP6V0C;ATP5PD;CYC1;NDUFA1;UQCR10;MRPL11;CASP7;CYB5R3;COX6A1;HADHA;COX5A;COX5B;FH;UQCR11;SLC25A20;CYB5A;NDUFA9;ATP5PO;ECH1;VDAC1;MRPL35;UQCRH;UQCRC2;UQCRC1;ATP5MC1;NDUFA2;NDUFB5;NDUFV1;NDUFA5;HADHB;ALDH6A1;TCIRG1;DLST;NDUFS1;NDUFS2;MRPL15;ATP5MC2;ACO2;IDH3B;OXA1L;ACADVL;OGDH;PDK4;UQCRQ	0.6435518361507222	17145
49	prerank	Estrogen Response Late	-0.5312514093792737	-1.9287815615589723	8.614428148352028e-08	2.153607037088007e-06	69/190	13.14%	TFF1;SLC26A2;BAG1;TFF3;AGR2;XBP1;ABHD2;ADD3;SCNN1A;SORD;BLVRB;LARGE1;MEST;PERP;CD9;CAV1;KLF4;IGFBP4;NPY1R;PGR;FLNB;SEMA3B;DNAJC12;TSPAN13;PPIF;UNC13B;MYOF;TST;RET;COX6C;CA2;IDH2;SLC24A3;CHPT1;DLG5;SIAH2;SERPINA3;GPER1;ASCL1;DNAJC1;ATP2B4;IL17RB;SLC22A5;TFAP2C;ISG20;FGFR3;ST14;SLC7A5;ST6GALNAC2;KRT19;LLGL2;IMPA2;ABCA3;RABEP1;ID2;SLC29A1;KLK11;JAK2;CYP4F11;KCNK5;OPN3;SNX10;DCXR;ZFP36;DHCR7;SULT2B1;TOB1;CD44;TMPRSS3	0.7049757151672383	17145
50	prerank	Estrogen Response Early	-0.5591969763763464	-2.0503732476775385	2.11591446890982e-09	1.05795723445491e-07	80/195	14.40%	TFF1;SLC26A2;AQP3;SLC39A6;BAG1;INHBB;MLPH;TFF3;XBP1;SYBU;PEX11A;ABHD2;ADD3;ELF3;SCNN1A;BLVRB;GREB1;THSD4;PODXL;KLF4;CLDN7;IGFBP4;NPY1R;PGR;FLNB;B4GALT1;SLC19A2;SEMA3B;SYNGR1;PPIF;TSKU;MYOF;SLC2A1;IGF1R;RET;RETREG1;TTC39A;NADSYN1;SLC24A3;MREG;CHPT1;ABLIM1;CANT1;SIAH2;AR;CELSR1;SVIL;LRIG1;IL17RB;SLC22A5;TFAP2C;KCNK15;ADCY9;REEP1;ZNF185;SLC7A5;KRT19;ABCA3;SH3BP5;INPP5F;JAK2;SLC37A1;KCNK5;OPN3;DHRS3;SEC14L2;DHCR7;KRT15;DLC1;TMEM164;SULT2B1;TOB1;CD44;TMPRSS3;FASN;TBC1D30;ASB13;TJP3;KAZN;FHL2	0.7749390301364365	17145
