symbol	dropped_ensg	kept_ensg
ADCK5	ENSG00000285451	ENSG00000173137
ADCY4	ENSG00000284814	ENSG00000129467
ADGRL1	ENSG00000288324	ENSG00000072071
ADH5P4	ENSG00000277364	ENSG00000233859
ADI1	ENSG00000280830	ENSG00000182551
ADIPOR2	ENSG00000285070	ENSG00000006831
AGAP12P	ENSG00000288424	ENSG00000265018
AGBL2	ENSG00000165923	ENSG00000285501
AGER	ENSG00000206320	ENSG00000204305
AGER	ENSG00000229058	ENSG00000204305
AGER	ENSG00000230514	ENSG00000204305
AGER	ENSG00000231268	ENSG00000204305
AGER	ENSG00000234729	ENSG00000204305
AGER	ENSG00000237405	ENSG00000204305
AGK	ENSG00000262327	ENSG00000006530
AGPAT1	ENSG00000206324	ENSG00000204310
AGPAT1	ENSG00000226467	ENSG00000204310
AGPAT1	ENSG00000227642	ENSG00000204310
AGPAT1	ENSG00000228892	ENSG00000204310
AGPAT1	ENSG00000235758	ENSG00000204310
AGPAT1	ENSG00000236873	ENSG00000204310
AGPAT5	ENSG00000284980	ENSG00000155189
AIF1	ENSG00000204472	ENSG00000206428
AIF1	ENSG00000234836	ENSG00000206428
AIF1	ENSG00000235588	ENSG00000206428
AIF1	ENSG00000235985	ENSG00000206428
AIF1	ENSG00000237727	ENSG00000206428
AK3P2	ENSG00000282669	ENSG00000250115
AK4P1	ENSG00000291723	ENSG00000263535
AK6	ENSG00000279247	ENSG00000085231
AKAP17A	ENSG00000292343	ENSG00000197976
AKR7A2P1	ENSG00000280751	ENSG00000229020
AKT3	ENSG00000275199	ENSG00000117020
ALG1L11P	ENSG00000292280	ENSG00000249889
ALG1L12P	ENSG00000292392	ENSG00000250794
ALG1L13P	ENSG00000253981	ENSG00000285027
ALG1L6P	ENSG00000238278	ENSG00000288161
ALMS1P1	ENSG00000291486	ENSG00000163016
ALOX5	ENSG00000275565	ENSG00000012779
AMD1P2	ENSG00000292364	ENSG00000237801
ANKRD20A9P	ENSG00000282715	ENSG00000206192
ANKRD30BP3	ENSG00000275985	ENSG00000230501
ANKRD33BP1	ENSG00000292095	ENSG00000229689
ANKRD36	ENSG00000135976	ENSG00000291582
ANKRD36B	ENSG00000291600	ENSG00000196912
ANKS4B	ENSG00000284290	ENSG00000175311
ANO4	ENSG00000262139	ENSG00000151572
ANO7L1	ENSG00000291404	ENSG00000237276
AP2A2	ENSG00000183020	ENSG00000280759
AP2A2	ENSG00000281385	ENSG00000280759
AP3S1P3	ENSG00000281168	ENSG00000271370
APBA1	ENSG00000107282	ENSG00000276497
APBA2	ENSG00000034053	ENSG00000276495
APEX1	ENSG00000100823	ENSG00000291796
APOB	ENSG00000291544	ENSG00000084674
APOBEC3A	ENSG00000262156	ENSG00000128383
APOL5	ENSG00000277390	ENSG00000128313
APOM	ENSG00000206409	ENSG00000204444
APOM	ENSG00000224290	ENSG00000204444
APOM	ENSG00000226215	ENSG00000204444
APOM	ENSG00000227567	ENSG00000204444
APOM	ENSG00000231974	ENSG00000204444
APOM	ENSG00000235754	ENSG00000204444
ARHGAP11A	ENSG00000275568	ENSG00000198826
ARHGAP11B	ENSG00000274734	ENSG00000285077
ARHGAP11B	ENSG00000286139	ENSG00000285077
ARHGAP17	ENSG00000288353	ENSG00000140750
ARHGAP23	ENSG00000273780	ENSG00000275832
ARHGAP27	ENSG00000276836	ENSG00000159314
ARHGAP27	ENSG00000276907	ENSG00000159314
ARHGAP42P2	ENSG00000292145	ENSG00000231147
ARHGEF10	ENSG00000274726	ENSG00000104728
ARHGEF19	ENSG00000291381	ENSG00000142632
ARHGEF26	ENSG00000277101	ENSG00000114790
ARHGEF35	ENSG00000288422	ENSG00000213214
ARHGEF5	ENSG00000284933	ENSG00000050327
ARL17B	ENSG00000275748	ENSG00000228696
ARL17B	ENSG00000276276	ENSG00000228696
ARMC10	ENSG00000282813	ENSG00000170632
ASAP3	ENSG00000282854	ENSG00000088280
ASB2	ENSG00000278693	ENSG00000100628
ASF1B	ENSG00000288210	ENSG00000105011
ASH2LP1	ENSG00000281502	ENSG00000224144
ASH2LP4	ENSG00000280754	ENSG00000230821
ASIC5	ENSG00000262505	ENSG00000256394
ASMT	ENSG00000292336	ENSG00000196433
ASMTL	ENSG00000292339	ENSG00000169093
ASPN	ENSG00000292224	ENSG00000106819
ATAT1	ENSG00000206488	ENSG00000137343
ATAT1	ENSG00000223752	ENSG00000137343
ATAT1	ENSG00000229061	ENSG00000137343
ATAT1	ENSG00000231257	ENSG00000137343
ATAT1	ENSG00000234549	ENSG00000137343
ATAT1	ENSG00000235658	ENSG00000137343
ATF6B	ENSG00000168468	ENSG00000213676
ATF6B	ENSG00000228628	ENSG00000213676
ATF6B	ENSG00000234539	ENSG00000213676
ATG16L1	ENSG00000281089	ENSG00000085978
ATMIN	ENSG00000291953	ENSG00000166454
ATP23	ENSG00000262145	ENSG00000166896
ATP5IF1	ENSG00000285390	ENSG00000130770
ATP5MC1P1	ENSG00000282751	ENSG00000230157
ATP6V1G1P1	ENSG00000282819	ENSG00000270371
ATP6V1G2	ENSG00000206445	ENSG00000213760
ATP6V1G2	ENSG00000226850	ENSG00000213760
ATP6V1G2	ENSG00000227587	ENSG00000213760
ATP6V1G2	ENSG00000230900	ENSG00000213760
ATP6V1G2	ENSG00000234668	ENSG00000213760
ATP6V1G2	ENSG00000234920	ENSG00000213760
ATP6V1G3	ENSG00000263014	ENSG00000151418
ATP7BP1	ENSG00000283107	ENSG00000270855
ATP9B	ENSG00000274273	ENSG00000166377
ATP9B	ENSG00000282266	ENSG00000166377
AZU1	ENSG00000278624	ENSG00000172232
B2M	ENSG00000273686	ENSG00000166710
B3GALNT2	ENSG00000282880	ENSG00000162885
B3GALT4	ENSG00000206285	ENSG00000235863
B3GALT4	ENSG00000226936	ENSG00000235863
B3GALT4	ENSG00000235155	ENSG00000235863
B3GALT4	ENSG00000236802	ENSG00000235863
BAAT	ENSG00000276559	ENSG00000136881
BAG6	ENSG00000096155	ENSG00000204463
BAG6	ENSG00000227761	ENSG00000204463
BAG6	ENSG00000228760	ENSG00000204463
BAG6	ENSG00000229524	ENSG00000204463
BAG6	ENSG00000233348	ENSG00000204463
BAG6	ENSG00000234651	ENSG00000204463
BAHCC1	ENSG00000291421	ENSG00000266074
BCAP29	ENSG00000283852	ENSG00000075790
BCL2L14	ENSG00000281449	ENSG00000121380
BDH1	ENSG00000275544	ENSG00000161267
BDP1	ENSG00000145734	ENSG00000274803
BDP1	ENSG00000273873	ENSG00000274803
BEND3P2	ENSG00000291343	ENSG00000224809
BEX5	ENSG00000291824	ENSG00000184515
BFAR	ENSG00000275618	ENSG00000103429
BLK	ENSG00000285369	ENSG00000136573
BMERB1	ENSG00000278823	ENSG00000166780
BMS1P7	ENSG00000288196	ENSG00000270025
BNIP3P24	ENSG00000280428	ENSG00000269040
BNIP3P30	ENSG00000279350	ENSG00000268079
BNIP3P31	ENSG00000279984	ENSG00000270191
BOLA3P2	ENSG00000291736	ENSG00000267332
BORCS5	ENSG00000280689	ENSG00000165714
BPNT2P1	ENSG00000280937	ENSG00000270936
BRD2	ENSG00000215077	ENSG00000204256
BRD2	ENSG00000230678	ENSG00000204256
BRD2	ENSG00000234507	ENSG00000204256
BRD2	ENSG00000234704	ENSG00000204256
BRD2	ENSG00000235307	ENSG00000204256
BRD2	ENSG00000236227	ENSG00000204256
BRD7P1	ENSG00000284831	ENSG00000259043
BRI3BPP1	ENSG00000269136	ENSG00000279112
BRME1	ENSG00000288152	ENSG00000132016
BRSK2	ENSG00000291428	ENSG00000174672
BTBD7	ENSG00000011114	ENSG00000277222
BTG3	ENSG00000281484	ENSG00000154640
BTN1A1	ENSG00000124557	ENSG00000292177
BTN1A1P1	ENSG00000292172	ENSG00000284688
BTN2A1	ENSG00000292170	ENSG00000112763
BTNL10P	ENSG00000285153	ENSG00000215811
BTNL2	ENSG00000224242	ENSG00000204290
BTNL2	ENSG00000224770	ENSG00000204290
BTNL2	ENSG00000225412	ENSG00000204290
BTNL2	ENSG00000225845	ENSG00000204290
BTNL2	ENSG00000226127	ENSG00000204290
BTNL2	ENSG00000229597	ENSG00000204290
BTNL2	ENSG00000229741	ENSG00000204290
BTNL2	ENSG00000275798	ENSG00000204290
C13orf46	ENSG00000283302	ENSG00000283199
C14orf180	ENSG00000274126	ENSG00000184601
C16orf46	ENSG00000291963	ENSG00000166455
C17orf78	ENSG00000278505	ENSG00000278145
C19orf67	ENSG00000288239	ENSG00000188032
C1GALT1C1	ENSG00000171155	ENSG00000288368
C1QTNF4	ENSG00000284838	ENSG00000172247
C1R	ENSG00000288512	ENSG00000159403
C1RL	ENSG00000288124	ENSG00000139178
C2	ENSG00000204364	ENSG00000166278
C2	ENSG00000206372	ENSG00000166278
C2	ENSG00000226560	ENSG00000166278
C2	ENSG00000231543	ENSG00000166278
C2	ENSG00000235017	ENSG00000166278
C2	ENSG00000235696	ENSG00000166278
C22orf15	ENSG00000273579	ENSG00000169314
C2orf78	ENSG00000291484	ENSG00000187833
C2orf92	ENSG00000291598	ENSG00000228486
C4A	ENSG00000206340	ENSG00000244731
C4A	ENSG00000227746	ENSG00000244731
C4A	ENSG00000244207	ENSG00000244731
C4B	ENSG00000228267	ENSG00000224389
C4B	ENSG00000228454	ENSG00000224389
C4B	ENSG00000236625	ENSG00000224389
C4orf36	ENSG00000285458	ENSG00000163633
C6orf136	ENSG00000206487	ENSG00000204564
C6orf136	ENSG00000224120	ENSG00000204564
C6orf136	ENSG00000233164	ENSG00000204564
C6orf136	ENSG00000233641	ENSG00000204564
C6orf136	ENSG00000237012	ENSG00000204564
C6orf136	ENSG00000237100	ENSG00000204564
C6orf15	ENSG00000206461	ENSG00000204542
C6orf15	ENSG00000224105	ENSG00000204542
C6orf15	ENSG00000225543	ENSG00000204542
C6orf15	ENSG00000229432	ENSG00000204542
C6orf15	ENSG00000231624	ENSG00000204542
C6orf47	ENSG00000203623	ENSG00000235360
C6orf47	ENSG00000204439	ENSG00000235360
C6orf47	ENSG00000226103	ENSG00000235360
C6orf47	ENSG00000226531	ENSG00000235360
C6orf47	ENSG00000228177	ENSG00000235360
C6orf47	ENSG00000228435	ENSG00000235360
C6orf52	ENSG00000137434	ENSG00000285312
C8orf33	ENSG00000291362	ENSG00000182307
C8orf74	ENSG00000285147	ENSG00000171060
C8orf90	ENSG00000291474	ENSG00000226490
CACFD1	ENSG00000280479	ENSG00000160325
CACNA1C	ENSG00000151067	ENSG00000285479
CACNA2D4	ENSG00000284953	ENSG00000151062
CALB2	ENSG00000282830	ENSG00000172137
CANX	ENSG00000127022	ENSG00000283777
CAPN12	ENSG00000292260	ENSG00000182472
CAPZA1P5	ENSG00000285391	ENSG00000270729
CARMIL3	ENSG00000284765	ENSG00000186648
CARS1	ENSG00000278191	ENSG00000110619
CASP12	ENSG00000204403	ENSG00000291983
CASP4LP	ENSG00000291984	ENSG00000235505
CASP8AP2	ENSG00000288475	ENSG00000118412
CATSPERB	ENSG00000133962	ENSG00000274338
CATSPERQ	ENSG00000285272	ENSG00000261587
CBLL1P1	ENSG00000288220	ENSG00000233433
CBY3	ENSG00000283718	ENSG00000204659
CC2D1A	ENSG00000288293	ENSG00000132024
CCDC120	ENSG00000292279	ENSG00000147144
CCDC125	ENSG00000277868	ENSG00000183323
CCDC166	ENSG00000278749	ENSG00000255181
CCDC188BP	ENSG00000248409	ENSG00000281149
CCDC33	ENSG00000288407	ENSG00000140481
CCDC40	ENSG00000291505	ENSG00000141519
CCDC74B	ENSG00000292118	ENSG00000152076
CCDC92	ENSG00000275035	ENSG00000119242
CCER2	ENSG00000262484	ENSG00000283099
CCHCR1	ENSG00000204536	ENSG00000206457
CCHCR1	ENSG00000206355	ENSG00000206457
CCHCR1	ENSG00000223533	ENSG00000206457
CCHCR1	ENSG00000224180	ENSG00000206457
CCHCR1	ENSG00000234114	ENSG00000206457
CCL14	ENSG00000277236	ENSG00000276409
CCL15	ENSG00000275528	ENSG00000275718
CCL15-CCL14	ENSG00000282521	ENSG00000275688
CCL16	ENSG00000275095	ENSG00000275152
CCL18	ENSG00000278006	ENSG00000275385
CCL18	ENSG00000278167	ENSG00000275385
CCL23	ENSG00000276114	ENSG00000274736
CCL3	ENSG00000277632	ENSG00000274221
CCL3	ENSG00000278567	ENSG00000274221
CCL3L3	ENSG00000276085	ENSG00000293545
CCL3L3	ENSG00000277336	ENSG00000293545
CCL3L3	ENSG00000277768	ENSG00000293545
CCL4	ENSG00000275824	ENSG00000275302
CCL4	ENSG00000277943	ENSG00000275302
CCL4L2	ENSG00000276070	ENSG00000276125
CCL4L2	ENSG00000282604	ENSG00000276125
CCL4L2	ENSG00000293547	ENSG00000276125
CCL5	ENSG00000274233	ENSG00000271503
CCNB1IP1	ENSG00000291784	ENSG00000100814
CCNYL6	ENSG00000279280	ENSG00000269845
CCT8	ENSG00000291533	ENSG00000156261
CD300A	ENSG00000291918	ENSG00000167851
CD300C	ENSG00000291920	ENSG00000167850
CD300H	ENSG00000284690	ENSG00000291925
CD300LB	ENSG00000291919	ENSG00000178789
CD300LD	ENSG00000291922	ENSG00000204345
CD99	ENSG00000292348	ENSG00000002586
CD99P1	ENSG00000292361	ENSG00000223773
CDC42EP5	ENSG00000273622	ENSG00000167617
CDC42EP5	ENSG00000273633	ENSG00000167617
CDC42EP5	ENSG00000278444	ENSG00000167617
CDC42P6	ENSG00000291926	ENSG00000237350
CDH12P2	ENSG00000280638	ENSG00000249230
CDH12P4	ENSG00000253900	ENSG00000273935
CDH4	ENSG00000179242	ENSG00000280641
CDHR5	ENSG00000273572	ENSG00000099834
CDIP1	ENSG00000274336	ENSG00000089486
CDK7	ENSG00000277273	ENSG00000134058
CDKN1C	ENSG00000273707	ENSG00000129757
CDSN	ENSG00000137197	ENSG00000206460
CDSN	ENSG00000204539	ENSG00000206460
CDSN	ENSG00000237114	ENSG00000206460
CDSN	ENSG00000237123	ENSG00000206460
CDSN	ENSG00000237165	ENSG00000206460
CDY10P	ENSG00000285196	ENSG00000226042
CDY11P	ENSG00000285455	ENSG00000230029
CDY3P	ENSG00000291445	ENSG00000232235
CDYLP1	ENSG00000284109	ENSG00000224039
CEACAM21	ENSG00000007129	ENSG00000278565
CEACAM4	ENSG00000274131	ENSG00000105352
CEACAM7	ENSG00000280501	ENSG00000007306
CEACAMP3	ENSG00000280470	ENSG00000239736
CENATAC	ENSG00000280975	ENSG00000186166
CENPN	ENSG00000291964	ENSG00000166451
CENPP	ENSG00000188312	ENSG00000291348
CEP170	ENSG00000276725	ENSG00000143702
CEP20	ENSG00000276914	ENSG00000133393
CEP72	ENSG00000280688	ENSG00000112877
CES1	ENSG00000262243	ENSG00000198848
CES1P1	ENSG00000281948	ENSG00000228695
CES5A	ENSG00000261972	ENSG00000159398
CES5AP1	ENSG00000280839	ENSG00000215478
CETN2	ENSG00000292191	ENSG00000147400
CFB	ENSG00000204359	ENSG00000243649
CFB	ENSG00000239754	ENSG00000243649
CFB	ENSG00000241253	ENSG00000243649
CFB	ENSG00000241534	ENSG00000243649
CFB	ENSG00000242335	ENSG00000243649
CFB	ENSG00000243570	ENSG00000243649
CFD	ENSG00000274619	ENSG00000197766
CFHR2	ENSG00000292003	ENSG00000080910
CFHR5	ENSG00000292002	ENSG00000134389
CFL1P1	ENSG00000282866	ENSG00000223820
CFL1P5	ENSG00000275282	ENSG00000213830
CHCHD10	ENSG00000273607	ENSG00000250479
CHCHD2P2	ENSG00000275346	ENSG00000215006
CHEK2P5	ENSG00000288509	ENSG00000234541
CHGA	ENSG00000276781	ENSG00000100604
CHMP4A	ENSG00000285302	ENSG00000254505
CHORDC1	ENSG00000285023	ENSG00000110172
CHRFAM7A	ENSG00000275917	ENSG00000166664
CHRNA7	ENSG00000274542	ENSG00000175344
CHRNA7	ENSG00000282088	ENSG00000175344
CHRNB1	ENSG00000283946	ENSG00000170175
CICP9	ENSG00000288268	ENSG00000228882
CIDEB	ENSG00000285199	ENSG00000136305
CISD3	ENSG00000274768	ENSG00000277972
CLDN23	ENSG00000253958	ENSG00000285098
CLDN7	ENSG00000288292	ENSG00000181885
CLIC1	ENSG00000206394	ENSG00000213719
CLIC1	ENSG00000223639	ENSG00000213719
CLIC1	ENSG00000226248	ENSG00000213719
CLIC1	ENSG00000226417	ENSG00000213719
CLIC1	ENSG00000226651	ENSG00000213719
CLIC1	ENSG00000230685	ENSG00000213719
CLK2	ENSG00000261893	ENSG00000176444
CLN8	ENSG00000278220	ENSG00000182372
CLPTM1L	ENSG00000274811	ENSG00000049656
CLSTN3	ENSG00000288427	ENSG00000139182
CMC2	ENSG00000291948	ENSG00000103121
CMKLR2	ENSG00000283448	ENSG00000183671
CMTR2	ENSG00000180917	ENSG00000292378
CNN2P12	ENSG00000282611	ENSG00000204718
CNOT10	ENSG00000291502	ENSG00000182973
CNOT3	ENSG00000273943	ENSG00000088038
CNOT3	ENSG00000274176	ENSG00000088038
CNOT3	ENSG00000274616	ENSG00000088038
CNOT3	ENSG00000274941	ENSG00000088038
CNOT3	ENSG00000275979	ENSG00000088038
CNOT3	ENSG00000276082	ENSG00000088038
CNOT3	ENSG00000277114	ENSG00000088038
CNOT3	ENSG00000277600	ENSG00000088038
CNOT3	ENSG00000277615	ENSG00000088038
CNTNAP2	ENSG00000278728	ENSG00000174469
CNTNAP3C	ENSG00000291365	ENSG00000283378
COG5	ENSG00000284369	ENSG00000164597
COL11A2	ENSG00000204248	ENSG00000232541
COL11A2	ENSG00000206290	ENSG00000232541
COL11A2	ENSG00000223699	ENSG00000232541
COL11A2	ENSG00000227801	ENSG00000232541
COL11A2	ENSG00000230930	ENSG00000232541
COL11A2	ENSG00000235708	ENSG00000232541
COL11A2P1	ENSG00000226591	ENSG00000226513
COL11A2P1	ENSG00000227577	ENSG00000226513
COL11A2P1	ENSG00000228164	ENSG00000226513
COL11A2P1	ENSG00000228688	ENSG00000226513
COL11A2P1	ENSG00000230816	ENSG00000226513
COL11A2P1	ENSG00000232802	ENSG00000226513
COL11A2P1	ENSG00000234249	ENSG00000226513
COL18A1	ENSG00000292234	ENSG00000182871
COL3A1	ENSG00000291748	ENSG00000168542
CORO7	ENSG00000282725	ENSG00000262246
CORO7-PAM16	ENSG00000278760	ENSG00000103426
COX5B	ENSG00000291596	ENSG00000135940
COX6CP18	ENSG00000282441	ENSG00000236041
COX8C	ENSG00000277018	ENSG00000187581
CPEB1	ENSG00000277445	ENSG00000214575
CPLANE2	ENSG00000291382	ENSG00000132881
CPNE6	ENSG00000285221	ENSG00000100884
CPSF1	ENSG00000285049	ENSG00000071894
CRHR1	ENSG00000276191	ENSG00000120088
CRHR1	ENSG00000278232	ENSG00000120088
CRIM1	ENSG00000277354	ENSG00000150938
CRLF2	ENSG00000292363	ENSG00000205755
CROCCP3	ENSG00000291402	ENSG00000080947
CROCCP4	ENSG00000227684	ENSG00000291403
CRYGC	ENSG00000285011	ENSG00000163254
CRYGD	ENSG00000285434	ENSG00000118231
CRYGEP	ENSG00000285058	ENSG00000229150
CRYZP1	ENSG00000282789	ENSG00000233025
CSAG1	ENSG00000292188	ENSG00000198930
CSAG4	ENSG00000292197	ENSG00000242599
CSF2RA	ENSG00000292357	ENSG00000198223
CSN1S2AP	ENSG00000283090	ENSG00000234124
CSNK2B	ENSG00000204435	ENSG00000224398
CSNK2B	ENSG00000206406	ENSG00000224398
CSNK2B	ENSG00000224774	ENSG00000224398
CSNK2B	ENSG00000228875	ENSG00000224398
CSNK2B	ENSG00000230700	ENSG00000224398
CSNK2B	ENSG00000232960	ENSG00000224398
CSPG4P10	ENSG00000282457	ENSG00000276710
CSPG4P11	ENSG00000291612	ENSG00000259726
CSPG4P5	ENSG00000291618	ENSG00000272887
CT47A1	ENSG00000288363	ENSG00000236371
CT47A2	ENSG00000292268	ENSG00000242362
CT47A3	ENSG00000292267	ENSG00000236126
CT47A4	ENSG00000288477	ENSG00000230594
CT47A5	ENSG00000292266	ENSG00000237957
CT47A6	ENSG00000288273	ENSG00000226023
CT47B1	ENSG00000288466	ENSG00000236446
CTAGE1	ENSG00000282841	ENSG00000212710
CTAGE15	ENSG00000285172	ENSG00000271079
CTAGE4	ENSG00000288784	ENSG00000288370
CTAGE6	ENSG00000285123	ENSG00000271321
CTAGE8	ENSG00000288181	ENSG00000289604
CTBP2P1	ENSG00000281211	ENSG00000235857
CTDP1	ENSG00000282752	ENSG00000060069
CTIF	ENSG00000134030	ENSG00000282825
CTRB1	ENSG00000285346	ENSG00000168925
CTRB2	ENSG00000284810	ENSG00000168928
CTSB	ENSG00000285132	ENSG00000164733
CTSO	ENSG00000263238	ENSG00000256043
CTTN	ENSG00000288401	ENSG00000085733
CUBNP2	ENSG00000273495	ENSG00000234993
CUTA	ENSG00000226492	ENSG00000112514
CWC25	ENSG00000273559	ENSG00000276761
CXADRP2	ENSG00000274439	ENSG00000258712
CYB5AP3	ENSG00000281141	ENSG00000258595
CYFIP1	ENSG00000280618	ENSG00000273749
CYFIP1	ENSG00000288461	ENSG00000273749
CYP11A1	ENSG00000288362	ENSG00000140459
CYP21A1P	ENSG00000204338	ENSG00000229856
CYP21A1P	ENSG00000231759	ENSG00000229856
CYP21A1P	ENSG00000239882	ENSG00000229856
CYP21A2	ENSG00000198457	ENSG00000231852
CYP21A2	ENSG00000206338	ENSG00000231852
CYP21A2	ENSG00000232414	ENSG00000231852
CYP21A2	ENSG00000233151	ENSG00000231852
CYP21A2	ENSG00000235134	ENSG00000231852
CYP2D6	ENSG00000272532	ENSG00000100197
CYP2D6	ENSG00000275211	ENSG00000100197
CYP2D6	ENSG00000280905	ENSG00000100197
CYP2D6	ENSG00000282966	ENSG00000100197
CYP2D6	ENSG00000283284	ENSG00000100197
CYP2D7	ENSG00000205702	ENSG00000283008
CYP2D7	ENSG00000263181	ENSG00000283008
CYP2D7	ENSG00000278088	ENSG00000283008
CYP2D8P	ENSG00000226450	ENSG00000281436
CYP2D8P	ENSG00000262055	ENSG00000281436
CYP2D8P	ENSG00000273785	ENSG00000281436
CYP2D8P	ENSG00000281004	ENSG00000281436
CYP2D8P	ENSG00000282884	ENSG00000281436
CYP2D8P	ENSG00000282926	ENSG00000281436
CYP2D8P	ENSG00000283628	ENSG00000281436
CYP4F27P	ENSG00000292125	ENSG00000248313
CYP4F34P	ENSG00000282782	ENSG00000244155
DAXX	ENSG00000206206	ENSG00000204209
DAXX	ENSG00000206279	ENSG00000204209
DAXX	ENSG00000227046	ENSG00000204209
DAXX	ENSG00000231617	ENSG00000204209
DCAF11	ENSG00000284796	ENSG00000100897
DCAF15	ENSG00000288453	ENSG00000132017
DCHS2	ENSG00000197410	ENSG00000284227
DCP1B	ENSG00000284850	ENSG00000151065
DDAH2	ENSG00000206395	ENSG00000213722
DDAH2	ENSG00000225635	ENSG00000213722
DDAH2	ENSG00000226634	ENSG00000213722
DDAH2	ENSG00000227317	ENSG00000213722
DDAH2	ENSG00000228128	ENSG00000213722
DDAH2	ENSG00000233076	ENSG00000213722
DDR1	ENSG00000137332	ENSG00000204580
DDR1	ENSG00000215522	ENSG00000204580
DDR1	ENSG00000223680	ENSG00000204580
DDR1	ENSG00000229767	ENSG00000204580
DDR1	ENSG00000230456	ENSG00000204580
DDR1	ENSG00000234078	ENSG00000204580
DDT	ENSG00000275003	ENSG00000099977
DDTL	ENSG00000099974	ENSG00000275758
DDX11L16	ENSG00000292371	ENSG00000227159
DDX11L8	ENSG00000272877	ENSG00000256263
DDX11L9	ENSG00000288170	ENSG00000248472
DDX24	ENSG00000089737	ENSG00000273761
DDX39B	ENSG00000198563	ENSG00000237889
DDX39B	ENSG00000215425	ENSG00000237889
DDX39B	ENSG00000225073	ENSG00000237889
DDX39B	ENSG00000225859	ENSG00000237889
DDX39B	ENSG00000229496	ENSG00000237889
DDX39B	ENSG00000230624	ENSG00000237889
DDX39B	ENSG00000235439	ENSG00000237889
DDX39BP1	ENSG00000228891	ENSG00000225926
DDX39BP1	ENSG00000229364	ENSG00000225926
DDX39BP1	ENSG00000233241	ENSG00000225926
DDX39BP1	ENSG00000233677	ENSG00000225926
DDX39BP1	ENSG00000235697	ENSG00000225926
DDX39BP1	ENSG00000236265	ENSG00000225926
DDX39BP1	ENSG00000236441	ENSG00000225926
DDX39BP2	ENSG00000227389	ENSG00000224362
DDX39BP2	ENSG00000228458	ENSG00000224362
DDX39BP2	ENSG00000234140	ENSG00000224362
DDX39BP2	ENSG00000234242	ENSG00000224362
DDX39BP2	ENSG00000235305	ENSG00000224362
DDX39BP2	ENSG00000235809	ENSG00000224362
DDX39BP2	ENSG00000238024	ENSG00000224362
DDX51	ENSG00000288503	ENSG00000185163
DDX52	ENSG00000277594	ENSG00000278053
DDX6P1	ENSG00000225927	ENSG00000227843
DDX6P1	ENSG00000228197	ENSG00000227843
DDX6P1	ENSG00000229045	ENSG00000227843
DDX6P1	ENSG00000230056	ENSG00000227843
DDX6P1	ENSG00000232435	ENSG00000227843
