overlap_up_rank	family	geneset	set_in_universe	set_size_gmt	tail_n	universe_n	overlap_up_tail	hypergeom_p_up	overlap_down_tail	hypergeom_p_down	fdr_up	fdr_down
36	hallmark	Complement	180	200	1881	18812	15	0.806797711295485	19	0.43743056614811304	0.9982705047337064	0.5755665344054118
37	hallmark	Interferon Alpha Response	92	97	1881	18812	7	0.8256008743249307	17	0.009174620408321347	0.9982705047337064	0.02867068877600421
38	hallmark	Notch Signaling	31	32	1881	18812	2	0.8306217800433546	4	0.3760917087605013	0.9982705047337064	0.5082320388655422
39	hallmark	UV Response Dn	139	144	1881	18812	11	0.8323459175980276	28	0.0002395257917977791	0.9982705047337064	0.0031639671888031946
40	hallmark	Hedgehog Signaling	34	36	1881	18812	2	0.867311115163022	7	0.04796385439930374	0.9982705047337064	0.0959277087986075
41	hallmark	Reactive Oxygen Species Pathway	48	49	1881	18812	3	0.8713738045502236	6	0.3467696664838872	0.9982705047337064	0.48740963547230565
42	hallmark	Bile Acid Metabolism	102	112	1881	18812	7	0.8950757824731531	19	0.005584686188048631	0.9982705047337064	0.024487842689323004
43	hallmark	Myogenesis	177	200	1881	18812	13	0.9095453675997588	18	0.5066620064428328	0.9982705047337064	0.633327508053541
44	hallmark	Inflammatory Response	175	200	1881	18812	12	0.9421013598051391	14	0.8448859277196501	0.9982705047337064	0.8668518617592839
45	hallmark	IL-6/JAK/STAT3 Signaling	74	87	1881	18812	4	0.9462438237770745	15	0.00588895805578234	0.9982705047337064	0.024487842689323004
46	hallmark	TNF-alpha Signaling via NF-kB	182	200	1881	18812	12	0.9586449576553837	34	0.00025311737510425557	0.9982705047337064	0.0031639671888031946
47	hallmark	Angiogenesis	31	36	1881	18812	1	0.9619387691394025	5	0.19299699609420473	0.9982705047337064	0.29333555606593237
48	hallmark	TGF-beta Signaling	52	54	1881	18812	2	0.9718401434369531	14	0.00043408089216745216	0.9982705047337064	0.004340808921674521
49	hallmark	Apical Junction	184	200	1881	18812	11	0.9806491596228136	29	0.009134388432798403	0.9982705047337064	0.02867068877600421
50	hallmark	KRAS Signaling Dn	151	200	1881	18812	6	0.9982705047337063	13	0.7547663677562553	0.9982705047337064	0.8203982258220165
1	custom	MHC-I/APM	20	22	1881	18812	3	0.3229973340624785	3	0.3229973340624785	0.645994668124957	0.3229973340624785
2	custom	Tight junction (excluding CLDN4)	28	31	1881	18812	0	1.0	5	0.14191494302295782	1.0	0.28382988604591564
