ligand	receptor	pathway	n_samples	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
CD47	SIRPG	other	15	15	0.008691400289535522	0.03630356589953105	0.589417627453804	0.553114061554273	1.0	1.0	0.10699462890625	0.2012518019903274
JAG1	CD46	other	9	9	0.011967044323682785	0.021684183842606015	0.1495018671784136	0.1278176833358076	1.0	0.5555555555555556	0.00390625	0.012858072916666666
ITGAV+ITGB1	ADGRE5	other	28	28	0.012493506073951721	0.02781082530106817	0.36399023208234993	0.3361794067812817	0.9642857142857143	1.0	0.0051764026284217834	0.016357432305812835
FN1	ITGA4+ITGB1	other	16	16	0.014170763082802296	0.013928531669080257	0.3062109958846122	0.29228246421553195	1.0	0.9375	0.4637451171875	0.5550888523910985
FN1	ITGA4+ITGB7	other	16	16	0.014170763082802296	0.013928531669080257	0.3002757315989584	0.2863471999298781	1.0	0.9375	0.4637451171875	0.5550888523910985
CLEC2B	KLRF1	other	8	8	0.014922279864549637	0.021777679212391376	0.3672777866013348	0.34550010738894343	0.875	0.75	0.0234375	0.054457720588235295
PTGES	PTGER4	other	16	16	0.01636519841849804	0.01903567387489602	0.2616598312743008	0.2426241573994048	0.9375	0.75	0.000579833984375	0.002694522633272059
PTGES	PTGER2	other	9	9	0.01644521951675415	0.018787160619265504	0.2196689380539788	0.2008817774347133	1.0	0.6666666666666666	0.01171875	0.030859374999999998
PODXL2	SELL	other	15	15	0.016806096769869328	0.026688658787558477	0.2905770822117726	0.26388842342421415	1.0	0.7333333333333333	0.00115966796875	0.00482177734375
LGALS9	HAVCR2	other	10	10	0.01781579479575157	0.022776155918836593	0.2846070662140846	0.261830910295248	1.0	1.0	0.02734375	0.060147908619708486
CD44	TYROBP	other	26	26	0.01810227520763874	0.02647732850164175	0.6392912469231166	0.6128139184214748	1.0	1.0	0.04346644878387451	0.08804742189554067
LGALS9	P4HB	other	24	24	0.018308516591787338	0.027531594193230074	0.42915629541190964	0.40162470121867955	0.9583333333333334	0.9583333333333334	0.0004944801330566406	0.002604262034098307
COL1A1	ITGA1+ITGB1	other	3	3	0.01911197230219841	0.013613354414701462	0.2605755068361759	0.24696215242147446	1.0	1.0	0.75	0.8713235294117647
ALCAM	CD6	other	27	27	0.019683174788951874	0.022950946732803627	0.4216344177171036	0.39868347098429996	1.0	1.0	0.010378450155258179	0.02928205579519272
BAG6	NCR3	other	9	9	0.020202532410621643	0.041329087482558355	0.328212929268678	0.2868838417861197	1.0	1.0	0.00390625	0.012858072916666666
CD274	PDCD1	other	5	5	0.021432451903820038	0.015030739083886146	0.18219909071922302	0.1671683516353369	1.0	1.0	0.3125	0.4408482142857143
TGM2	ADGRG1	other	7	7	0.02799081802368164	0.049123468941875865	0.4018862582743168	0.35276278933244093	1.0	1.0	0.015625	0.03740530303030303
DHCR24	RORA	other	28	28	0.030683452263474464	0.010539623243468148	0.5973906056689364	0.5868509824254683	1.0	1.0	0.3272097110748291	0.4535011785072193
PTGDS	PTGDR	other	4	4	0.03140958305448294	0.034020266495645046	0.15703403763473034	0.12301377113908529	1.0	1.0	0.125	0.21467391304347827
ICAM4	ITGAL+ITGB2	other	15	15	0.03213060647249222	0.046010620053857566	0.21842320021241904	0.17241258015856148	1.0	0.7333333333333333	6.103515625e-05	0.0005357530381944445
APP	CD74	other	28	28	0.03407060354948044	0.04875391934599195	1.2371725463973624	1.1884186270513706	1.0	1.0	0.0007921457290649414	0.0034766395886739096
TGFB1	TGFBR3	other	3	3	0.04426194727420807	0.05403880029916763	0.2186350797613462	0.16459627946217856	1.0	1.0	0.25	0.37264150943396224
PLAUR	ITGA4+ITGB1	other	16	16	0.05636587738990784	0.06558110564947128	0.35348178702406585	0.28790068137459457	1.0	1.0	0.0155029296875	0.03740530303030303
APP	SORL1	other	17	17	0.058912307024002075	0.05486809900578331	0.48261920275057063	0.4277511037447873	1.0	1.0	0.001678466796875	0.006629943847656249
CD55	ADGRE5	other	28	28	0.06719374656677246	0.08205914124846458	0.7766057021383729	0.6945465608899083	1.0	1.0	0.00019368529319763184	0.0015301138162612915
F11R	ITGAL+ITGB2	other	17	17	0.07219995558261871	0.07993366393972845	0.3881681337952614	0.30823446985553293	1.0	1.0	3.0517578125e-05	0.0003444126674107143
ICAM1	SPN	other	27	27	0.07334250211715698	0.09198026224556896	0.5618369306817099	0.46985666843614093	1.0	0.9259259259259259	1.4901161193847656e-08	1.1771917343139648e-06
CDH1	ITGAE+ITGB7	other	23	23	0.07562956213951111	0.0843481470061385	0.47347622915454535	0.38912808214840683	1.0	1.0	7.152557373046875e-07	1.8835067749023438e-05
IGFBP3	TMEM219	other	19	19	0.07953634858131409	0.11597459052542322	0.6337666356641996	0.5177920451387763	1.0	0.8947368421052632	0.00041961669921875	0.0023678370884486605
CDH1	KLRG1	other	14	14	0.08340578153729439	0.09352971932717732	0.503520776118551	0.40999105679137365	1.0	1.0	0.000244140625	0.0015401290013239935
ICAM1	ITGAL	other	17	17	0.10853663086891174	0.11501814600299387	0.48989042804083405	0.3748722820378402	1.0	0.9411764705882353	1.52587890625e-05	0.00024108886718749998
ICAM1	ITGAL+ITGB2	other	17	17	0.10853663086891174	0.11501814600299387	0.48989042804083405	0.3748722820378402	1.0	0.9411764705882353	1.52587890625e-05	0.00024108886718749998
