gene,cut,metric,radius_um,sample,patient,n_high,n_low,high_mean,low_mean,delta,ratio
CLDN4,median,cd8nk_n,10,LUAD-5 R3,Lung5,7942,7951,0.0012591286829513977,0.0016350144635894855,-0.0003758857806380879,0.7701024737035818
CLDN4,median,cd8nk_n,20,LUAD-5 R3,Lung5,7942,7951,0.018131453034500127,0.015469752232423594,0.002661700802076533,1.1720583990025246
CLDN4,median,cd8nk_n,50,LUAD-5 R3,Lung5,7942,7951,0.22185847393603628,0.19506980254056094,0.026788671395475333,1.137328643626966
CLDN4,median,cd8nk_n,100,LUAD-5 R3,Lung5,7942,7951,1.3728280030219089,1.087284618287008,0.28554338473490093,1.2626206422240829
CLDN4,median,cd8nk_n,10,LUSC-6,Lung6,16323,49873,0.0006126324817741837,0.0014035650552403104,-0.0007909325734661267,0.4364831394789123
CLDN4,median,cd8nk_n,20,LUSC-6,Lung6,16323,49873,0.012191386387306255,0.011228520441922483,0.0009628659453837715,1.0857518094537943
CLDN4,median,cd8nk_n,50,LUSC-6,Lung6,16323,49873,0.14954358880107824,0.13089246686583922,0.018651121935239018,1.1424919430570122
CLDN4,median,cd8nk_n,100,LUSC-6,Lung6,16323,49873,0.8592170556882925,0.7782367212720309,0.08098033441626162,1.1040561723737463
CLDN4,median,cd8nk_n,10,LUAD-9 R1,Lung9,19428,19436,0.005558987029030266,0.01265692529327022,-0.007097938264239954,0.43920517030988715
CLDN4,median,cd8nk_n,20,LUAD-9 R1,Lung9,19428,19436,0.038758492896849905,0.0723914385676065,-0.0336329456707566,0.535401611899911
CLDN4,median,cd8nk_n,50,LUAD-9 R1,Lung9,19428,19436,0.4217624047766111,0.608973039720107,-0.18721063494349588,0.6925797650589907
CLDN4,median,cd8nk_n,100,LUAD-9 R1,Lung9,19428,19436,2.6257463454807493,3.252881251286273,-0.6271349058055238,0.8072063326758274
CLDN4,median,cd8nk_n,10,LUAD-9 R2,Lung9,47430,47446,0.005081172253847775,0.013657631834085065,-0.00857645958023729,0.3720390412902185
CLDN4,median,cd8nk_n,20,LUAD-9 R2,Lung9,47430,47446,0.03282732447817837,0.07530666441849682,-0.042479339940318446,0.43591526369763534
CLDN4,median,cd8nk_n,50,LUAD-9 R2,Lung9,47430,47446,0.2945604048070841,0.5185263246638283,-0.2239659198567442,0.5680722285373918
CLDN4,median,cd8nk_n,100,LUAD-9 R2,Lung9,47430,47446,1.592156862745098,2.2815832736163215,-0.6894264108712236,0.6978298277149976
CLDN4,median,cd8nk_n,10,LUAD-12,Lung12,7260,11007,0.0027548209366391185,0.014717906786590351,-0.011963085849951233,0.187174778083869
CLDN4,median,cd8nk_n,20,LUAD-12,Lung12,7260,11007,0.025206611570247933,0.08231125647315345,-0.05710464490290551,0.3062352908981446
CLDN4,median,cd8nk_n,50,LUAD-12,Lung12,7260,11007,0.2630853994490358,0.5664577087308077,-0.3033723092817719,0.46443961375068754
CLDN4,median,cd8nk_n,100,LUAD-12,Lung12,7260,11007,1.5578512396694215,2.4487144544380848,-0.8908632147686633,0.6361914664431166
CLDN4,median,cd8nk_n,10,LUAD-13,Lung13,13015,13015,0.02305032654629274,0.032577794852093736,-0.009527468305800996,0.7075471698113208
CLDN4,median,cd8nk_n,20,LUAD-13,Lung13,13015,13015,0.16657702650787554,0.21828659239339224,-0.0517095658855167,0.7631115804294263
CLDN4,median,cd8nk_n,50,LUAD-13,Lung13,13015,13015,1.5481367652708413,1.7052631578947368,-0.1571263926238955,0.9078579796341354
CLDN4,median,cd8nk_n,100,LUAD-13,Lung13,13015,13015,7.390318862850557,7.749673453707261,-0.35935459085670374,0.9536297118835637
