predictor	expression	filter	adjustment	n	rho	abs_rho	p	ci95_lo	ci95_hi	eligible	q_grid
tmb	protein	msi_lt_3.5	krt18_krt19	50	-0.253164	0.253164	0.0825384	-0.496527	0.0270983	True	0.152549
tmb	protein	tmb_le_10	krt18_krt19	50	-0.253164	0.253164	0.0825384	-0.496527	0.0270983	True	0.152549
mut_nonsyn	protein	all_paired	krt18_krt19	50	-0.247966	0.247966	0.089258	-0.492336	0.0326398	True	0.15545
mut_nonsyn	protein	msi_lt_3.5	krt18_krt19	50	-0.247966	0.247966	0.089258	-0.492336	0.0326398	True	0.15545
mut_nonsyn	protein	count_le_500	krt18_krt19	50	-0.247966	0.247966	0.089258	-0.492336	0.0326398	True	0.15545
mut_all	protein	brca_nonsyn_absent	krt18_krt19	45	-0.234733	0.234733	0.129735	-0.494218	0.0631581	True	0.191267
tmb	protein	brca_nonsyn_absent	krt18_krt19	45	-0.233418	0.233418	0.131959	-0.493167	0.0645429	True	0.191462
mut_nonsyn	protein	brca_nonsyn_absent	krt18_krt19	45	-0.231162	0.231162	0.135844	-0.49136	0.0669178	True	0.192573
mut_all	protein	all_paired	none	82	-0.227151	0.227151	0.0401436	-0.423296	-0.0106653	True	0.103904
mut_all	protein	msi_lt_3.5	none	82	-0.227151	0.227151	0.0401436	-0.423296	-0.0106653	True	0.103904
mut_all	protein	count_le_500	none	82	-0.227151	0.227151	0.0401436	-0.423296	-0.0106653	True	0.103904
tmb	protein	tmb_le_10	purity	79	-0.225133	0.225133	0.0475087	-0.425086	-0.0042289	True	0.107568
tmb	protein	all_paired	none	82	-0.223407	0.223407	0.0436371	-0.420053	-0.00672237	True	0.105218
tmb	protein	msi_lt_3.5	none	82	-0.223407	0.223407	0.0436371	-0.420053	-0.00672237	True	0.105218
tmb	protein	tmb_le_10	purity_ploidy	79	-0.221754	0.221754	0.0525918	-0.422168	-0.000672198	True	0.113072
mut_nonsyn	protein	all_paired	none	82	-0.219333	0.219333	0.0477225	-0.416519	-0.00243791	True	0.107568
mut_nonsyn	protein	msi_lt_3.5	none	82	-0.219333	0.219333	0.0477225	-0.416519	-0.00243791	True	0.107568
mut_nonsyn	protein	count_le_500	none	82	-0.219333	0.219333	0.0477225	-0.416519	-0.00243791	True	0.107568
mut_all	star	msi_lt_3.5	purity_ploidy	271	-0.209967	0.209967	0.000527497	-0.32109	-0.0931395	True	0.0171328
mut_all	star	all_paired	purity_ploidy	274	-0.206147	0.206147	0.000623849	-0.316908	-0.0898398	True	0.0171328
mut_all	protein	brca_nonsyn_absent	purity_krt18_krt19	43	-0.205014	0.205014	0.204428	-0.47605	0.10159	True	0.253569
mut_all	star	count_le_500	purity_ploidy	273	-0.204246	0.204246	0.000718318	-0.315319	-0.0876516	True	0.0171328
tmb	protein	brca_nonsyn_absent	purity_krt18_krt19	43	-0.203205	0.203205	0.208538	-0.474588	0.103459	True	0.25743
mut_nonsyn	star	msi_lt_3.5	purity_ploidy	271	-0.203135	0.203135	0.000804776	-0.314675	-0.0860604	True	0.0171328
mut_all	star	msi_lt_3.5	none	281	-0.201619	0.201619	0.000674675	-0.31129	-0.0866491	True	0.0171328
tmb	star	msi_lt_3.5	purity_ploidy	271	-0.201442	0.201442	0.00089169	-0.313085	-0.0843089	True	0.0171328
mut_all	protein	brca_nonsyn_absent	purity	72	-0.200646	0.200646	0.0933918	-0.413115	0.0325395	True	0.15559
mut_nonsyn	star	all_paired	purity_ploidy	274	-0.2002	0.2002	0.000899363	-0.311316	-0.0836831	True	0.0171328
mut_all	star	msi_lt_3.5	purity	271	-0.19923	0.19923	0.000996364	-0.311004	-0.0820197	True	0.0171328
mut_nonsyn	protein	brca_nonsyn_absent	purity_krt18_krt19	43	-0.198415	0.198415	0.219695	-0.470712	0.108394	True	0.269911
mut_all	protein	brca_nonsyn_absent	purity_ploidy	72	-0.198395	0.198395	0.0996784	-0.411169	0.0348809	True	0.163803
mut_nonsyn	star	count_le_500	purity_ploidy	273	-0.198272	0.198272	0.00103247	-0.309702	-0.0814708	True	0.0171328
tmb	star	all_paired	purity_ploidy	274	-0.198126	0.198126	0.00101929	-0.309364	-0.0815378	True	0.0171328
mut_all	rsem	msi_lt_3.5	purity_ploidy	194	-0.19769	0.19769	0.00598557	-0.329394	-0.0584406	True	0.0285977
mut_nonsyn	star	msi_lt_3.5	none	281	-0.196499	0.196499	0.000927686	-0.306467	-0.0813552	True	0.0171328
tmb	star	tmb_le_10	purity_ploidy	273	-0.196173	0.196173	0.00117005	-0.307725	-0.0793003	True	0.0171328
mut_all	star	brca_nonsyn_absent	purity_ploidy	252	-0.196108	0.196108	0.0018363	-0.312119	-0.0743342	True	0.0182837
tmb	protein	brca_nonsyn_absent	purity	72	-0.196048	0.196048	0.101307	-0.409138	0.0373198	True	0.165425
mut_all	star	all_paired	none	284	-0.195941	0.195941	0.000901016	-0.305371	-0.0814042	True	0.0171328
tmb	star	msi_lt_3.5	none	281	-0.194979	0.194979	0.00101817	-0.305034	-0.0797846	True	0.0171328
mut_all	rsem	msi_lt_3.5	purity	194	-0.194943	0.194943	0.00659249	-0.326844	-0.0555924	True	0.0303725
mut_nonsyn	star	msi_lt_3.5	purity	271	-0.194699	0.194699	0.00130348	-0.30674	-0.0773359	True	0.0171328
mut_nonsyn	protein	brca_nonsyn_absent	purity	72	-0.194221	0.194221	0.104593	-0.407555	0.0392162	True	0.167142
mut_all	star	count_le_500	none	283	-0.193969	0.193969	0.00103868	-0.3037	-0.0791602	True	0.0171328
tmb	protein	brca_nonsyn_absent	purity_ploidy	72	-0.193694	0.193694	0.108134	-0.407099	0.0397631	True	0.169169
mut_all	star	all_paired	purity	274	-0.193589	0.193589	0.0013072	-0.305092	-0.0768495	True	0.0171328
tmb	star	msi_lt_3.5	purity	271	-0.192336	0.192336	0.00149608	-0.304515	-0.0748954	True	0.0171328
mut_nonsyn	protein	brca_nonsyn_absent	purity_ploidy	72	-0.192158	0.192158	0.111014	-0.405767	0.0413559	True	0.17254
mut_nonsyn	star	all_paired	none	284	-0.191843	0.191843	0.00115826	-0.301504	-0.0771721	True	0.0171328
mut_all	star	count_le_500	purity	273	-0.190772	0.190772	0.00157291	-0.302637	-0.0737226	True	0.0171328
mut_nonsyn	star	all_paired	purity	274	-0.190199	0.190199	0.00159375	-0.301896	-0.0733499	True	0.0171328
tmb	star	all_paired	none	284	-0.189904	0.189904	0.00130211	-0.299674	-0.0751716	True	0.0171328
mut_nonsyn	star	count_le_500	none	283	-0.189869	0.189869	0.00133103	-0.299831	-0.0749287	True	0.0171328
mut_all	rsem	all_paired	purity_ploidy	196	-0.188805	0.188805	0.00837641	-0.32048	-0.049972	True	0.0379143
tmb	star	tmb_le_10	none	283	-0.187916	0.187916	0.00149533	-0.297987	-0.0729144	True	0.0171328
mut_nonsyn	star	brca_nonsyn_absent	purity_ploidy	252	-0.187802	0.187802	0.00287222	-0.304314	-0.0657525	True	0.0218896
tmb	star	all_paired	purity	274	-0.18738	0.18738	0.00187466	-0.299237	-0.0704418	True	0.0182837
mut_nonsyn	star	count_le_500	purity	273	-0.187362	0.187362	0.00191341	-0.299421	-0.0702045	True	0.0182837
tmb	star	brca_nonsyn_absent	purity_ploidy	252	-0.185826	0.185826	0.00318618	-0.302456	-0.0637145	True	0.0218896
mut_all	rsem	count_le_500	purity_ploidy	195	-0.1847	0.1847	0.0101279	-0.316988	-0.0453627	True	0.0435499
tmb	star	tmb_le_10	purity	273	-0.184513	0.184513	0.00224816	-0.296732	-0.0672671	True	0.0196189
mut_all	rsem	all_paired	purity	196	-0.184091	0.184091	0.00998856	-0.316091	-0.0450998	True	0.0435499
mut_all	star	msi_lt_3.5	krt18_krt19	281	-0.182323	0.182323	0.00223274	-0.293085	-0.0667322	True	0.0196189
mut_nonsyn	star	msi_lt_3.5	krt18_krt19	281	-0.181945	0.181945	0.00228127	-0.292727	-0.0663428	True	0.0196189
mut_all	star	brca_nonsyn_absent	none	262	-0.181028	0.181028	0.0032766	-0.29573	-0.0611806	True	0.0218896
tmb	star	msi_lt_3.5	krt18_krt19	281	-0.18084	0.18084	0.00242864	-0.291682	-0.0652049	True	0.0202125
mut_all	star	brca_nonsyn_absent	purity	252	-0.180239	0.180239	0.00417315	-0.297195	-0.0579547	True	0.0239261
mut_nonsyn	star	msi_lt_3.5	purity_krt18_krt19	271	-0.179859	0.179859	0.00312887	-0.292742	-0.0620309	True	0.0218896
mut_nonsyn	rsem	msi_lt_3.5	purity	194	-0.179573	0.179573	0.0124596	-0.312544	-0.0397003	True	0.0502813
mut_nonsyn	rsem	msi_lt_3.5	purity_ploidy	194	-0.179384	0.179384	0.0127881	-0.312368	-0.039505	True	0.050759
mut_all	star	msi_lt_3.5	purity_krt18_krt19	271	-0.179297	0.179297	0.00322534	-0.292211	-0.0614527	True	0.0218896
mut_all	rsem	count_le_500	purity	195	-0.179085	0.179085	0.0124729	-0.311755	-0.0395656	True	0.0502813
tmb	star	msi_lt_3.5	purity_krt18_krt19	271	-0.177892	0.177892	0.00347857	-0.290883	-0.0600064	True	0.0218896
tmb	rsem	msi_lt_3.5	purity_ploidy	194	-0.1777	0.1777	0.0136682	-0.310797	-0.0377684	True	0.0526328
tmb	rsem	msi_lt_3.5	purity	194	-0.177468	0.177468	0.0135461	-0.310581	-0.0375289	True	0.0526328
mut_all	rsem	brca_nonsyn_absent	purity_ploidy	180	-0.17713	0.17713	0.0180157	-0.315229	-0.031685	True	0.0611586
mut_nonsyn	star	all_paired	krt18_krt19	284	-0.175794	0.175794	0.00305569	-0.28633	-0.0606414	True	0.0218896
mut_all	star	all_paired	krt18_krt19	284	-0.175213	0.175213	0.00315589	-0.285779	-0.0600438	True	0.0218896
mut_nonsyn	star	brca_nonsyn_absent	none	262	-0.174557	0.174557	0.00460089	-0.28962	-0.0545202	True	0.0247671
tmb	star	all_paired	krt18_krt19	284	-0.174235	0.174235	0.00333131	-0.284852	-0.0590381	True	0.0218896
mut_nonsyn	star	brca_nonsyn_absent	purity	252	-0.174179	0.174179	0.00565895	-0.29148	-0.0517166	True	0.0275473
mut_nonsyn	star	all_paired	purity_krt18_krt19	274	-0.174069	0.174069	0.00404957	-0.286658	-0.0567377	True	0.0237452
mut_nonsyn	star	count_le_500	krt18_krt19	283	-0.173876	0.173876	0.00345551	-0.284704	-0.058462	True	0.0218896
mut_nonsyn	rsem	all_paired	purity_ploidy	196	-0.17359	0.17359	0.0154945	-0.306293	-0.0342685	True	0.0571084
mut_all	protein	all_paired	purity	80	-0.173443	0.173443	0.126354	-0.378731	0.0481108	True	0.189531
mut_all	protein	msi_lt_3.5	purity	80	-0.173443	0.173443	0.126354	-0.378731	0.0481108	True	0.189531
mut_all	protein	count_le_500	purity	80	-0.173443	0.173443	0.126354	-0.378731	0.0481108	True	0.189531
mut_all	star	count_le_500	krt18_krt19	283	-0.173239	0.173239	0.00357825	-0.2841	-0.0578072	True	0.0219807
tmb	star	brca_nonsyn_absent	none	262	-0.172696	0.172696	0.00506223	-0.287861	-0.0526067	True	0.0261211
mut_all	star	all_paired	purity_krt18_krt19	274	-0.172475	0.172475	0.0044059	-0.285149	-0.0550987	True	0.0247114
mut_nonsyn	rsem	all_paired	purity	196	-0.172419	0.172419	0.0159397	-0.305198	-0.0330623	True	0.0571173
tmb	star	tmb_le_10	krt18_krt19	283	-0.172309	0.172309	0.00376458	-0.283218	-0.0568511	True	0.0225875
tmb	star	all_paired	purity_krt18_krt19	274	-0.171622	0.171622	0.00460784	-0.284341	-0.0542224	True	0.0247671
tmb	star	brca_nonsyn_absent	purity	252	-0.171433	0.171433	0.00647635	-0.288888	-0.0488936	True	0.0303725
tmb	rsem	all_paired	purity_ploidy	196	-0.171153	0.171153	0.0170273	-0.304016	-0.03176	True	0.0593654
mut_nonsyn	star	count_le_500	purity_krt18_krt19	273	-0.170714	0.170714	0.00491147	-0.283684	-0.0530705	True	0.0258604
tmb	rsem	all_paired	purity	196	-0.169471	0.169471	0.0178618	-0.302442	-0.0300287	True	0.0611586
mut_all	protein	all_paired	purity_ploidy	80	-0.1692	0.1692	0.13863	-0.374981	0.0524712	True	0.193333
mut_all	protein	msi_lt_3.5	purity_ploidy	80	-0.1692	0.1692	0.13863	-0.374981	0.0524712	True	0.193333
mut_all	protein	count_le_500	purity_ploidy	80	-0.1692	0.1692	0.13863	-0.374981	0.0524712	True	0.193333
mut_nonsyn	rsem	count_le_500	purity_ploidy	195	-0.169195	0.169195	0.0186601	-0.302518	-0.0293789	True	0.0625235
mut_all	star	count_le_500	purity_krt18_krt19	273	-0.169063	0.169063	0.00534991	-0.28212	-0.0513747	True	0.0270642
tmb	star	tmb_le_10	purity_krt18_krt19	273	-0.168244	0.168244	0.00558009	-0.281344	-0.050534	True	0.0275473
mut_all	rsem	brca_nonsyn_absent	purity	180	-0.167897	0.167897	0.0246694	-0.306633	-0.0221754	True	0.0748789
tmb	protein	all_paired	purity	80	-0.167391	0.167391	0.140343	-0.373379	0.054328	True	0.193628
tmb	protein	msi_lt_3.5	purity	80	-0.167391	0.167391	0.140343	-0.373379	0.054328	True	0.193628
mut_nonsyn	rsem	count_le_500	purity	195	-0.167129	0.167129	0.0198487	-0.300585	-0.0272538	True	0.0656532
tmb	rsem	tmb_le_10	purity_ploidy	195	-0.166721	0.166721	0.0204842	-0.300203	-0.0268347	True	0.0668979
tmb	rsem	tmb_le_10	purity	195	-0.16414	0.16414	0.0221979	-0.297787	-0.0241829	True	0.069702
mut_nonsyn	protein	all_paired	purity	80	-0.162852	0.162852	0.151578	-0.369356	0.0589792	True	0.202129
mut_nonsyn	protein	msi_lt_3.5	purity	80	-0.162852	0.162852	0.151578	-0.369356	0.0589792	True	0.202129
mut_nonsyn	protein	count_le_500	purity	80	-0.162852	0.162852	0.151578	-0.369356	0.0589792	True	0.202129
tmb	protein	all_paired	purity_ploidy	80	-0.162338	0.162338	0.155601	-0.368901	0.0595052	True	0.202539
tmb	protein	msi_lt_3.5	purity_ploidy	80	-0.162338	0.162338	0.155601	-0.368901	0.0595052	True	0.202539
mut_all	rsem	msi_lt_3.5	purity_krt18_krt19	194	-0.161316	0.161316	0.0257857	-0.295479	-0.0209143	True	0.077357
mut_nonsyn	rsem	brca_nonsyn_absent	purity_ploidy	180	-0.160578	0.160578	0.032258	-0.299802	-0.0146563	True	0.0935119
mut_all	rsem	msi_lt_3.5	none	203	-0.160196	0.160196	0.0224235	-0.291478	-0.0229912	True	0.069702
mut_all	star	brca_nonsyn_absent	krt18_krt19	262	-0.159751	0.159751	0.00987757	-0.275605	-0.0393224	True	0.0435499
tmb	rsem	brca_nonsyn_absent	purity_ploidy	180	-0.15928	0.15928	0.0336978	-0.29859	-0.0133247	True	0.0955388
mut_nonsyn	protein	all_paired	purity_ploidy	80	-0.158141	0.158141	0.166715	-0.365173	0.0637963	True	0.210846
mut_nonsyn	protein	msi_lt_3.5	purity_ploidy	80	-0.158141	0.158141	0.166715	-0.365173	0.0637963	True	0.210846
mut_nonsyn	protein	count_le_500	purity_ploidy	80	-0.158141	0.158141	0.166715	-0.365173	0.0637963	True	0.210846
mut_nonsyn	star	brca_nonsyn_absent	krt18_krt19	262	-0.157819	0.157819	0.0108192	-0.273773	-0.0373433	True	0.0457601
tmb	star	brca_nonsyn_absent	krt18_krt19	262	-0.15634	0.15634	0.0115931	-0.272369	-0.0358285	True	0.0482423
mut_nonsyn	rsem	msi_lt_3.5	purity_krt18_krt19	194	-0.155652	0.155652	0.0315427	-0.290167	-0.0151061	True	0.0935119
mut_nonsyn	rsem	brca_nonsyn_absent	purity	180	-0.155019	0.155019	0.0382627	-0.294605	-0.00895641	True	0.103904
mut_all	star	brca_nonsyn_absent	purity_krt18_krt19	252	-0.154853	0.154853	0.0144445	-0.2732	-0.0318881	True	0.054804
tmb	rsem	msi_lt_3.5	purity_krt18_krt19	194	-0.154347	0.154347	0.0330148	-0.288941	-0.0137687	True	0.0946424
mut_nonsyn	star	brca_nonsyn_absent	purity_krt18_krt19	252	-0.153578	0.153578	0.0152818	-0.271991	-0.0305832	True	0.0571084
tmb	rsem	brca_nonsyn_absent	purity	180	-0.1531	0.1531	0.0407492	-0.292809	-0.00699103	True	0.104092
mut_all	protein	purity_ge_0.7	none	64	-0.151842	0.151842	0.231013	-0.383347	0.0976152	True	0.282471
tmb	star	brca_nonsyn_absent	purity_krt18_krt19	252	-0.151159	0.151159	0.0169876	-0.269696	-0.0281088	True	0.0593654
mut_all	rsem	all_paired	none	205	-0.149845	0.149845	0.031996	-0.28111	-0.0130762	True	0.0935119
mut_all	rsem	all_paired	purity_krt18_krt19	196	-0.14893	0.14893	0.0387239	-0.283175	-0.00896224	True	0.103904
mut_all	star	purity_ge_0.7	none	202	-0.1489	0.1489	0.0344355	-0.281173	-0.0110739	True	0.0965692
mut_nonsyn	protein	purity_ge_0.7	none	64	-0.147716	0.147716	0.244082	-0.379741	0.101793	True	0.297043
mut_nonsyn	rsem	all_paired	purity_krt18_krt19	196	-0.146736	0.146736	0.0417185	-0.28111	-0.00671914	True	0.104805
mut_all	star	purity_ge_0.7	purity	202	-0.146058	0.146058	0.0385538	-0.278496	-0.00816882	True	0.103904
mut_all	rsem	count_le_500	none	204	-0.145702	0.145702	0.0375839	-0.277521	-0.00849855	True	0.103904
tmb	protein	purity_ge_0.7	none	64	-0.145276	0.145276	0.252048	-0.377605	0.104261	True	0.30387
tmb	rsem	all_paired	purity_krt18_krt19	196	-0.144514	0.144514	0.0449466	-0.279018	-0.0044493	True	0.107372
mut_nonsyn	rsem	msi_lt_3.5	none	203	-0.144086	0.144086	0.0402727	-0.276315	-0.00650228	True	0.103904
mut_all	rsem	count_le_500	purity_krt18_krt19	195	-0.143567	0.143567	0.0469632	-0.278464	-0.00311464	True	0.107568
mut_all	star	purity_ge_0.7	purity_ploidy	202	-0.143511	0.143511	0.0426279	-0.276095	-0.00556787	True	0.105218
tmb	rsem	msi_lt_3.5	none	203	-0.142984	0.142984	0.0418409	-0.275276	-0.00537772	True	0.104805
mut_nonsyn	star	purity_ge_0.7	none	202	-0.142646	0.142646	0.0428509	-0.275278	-0.00468429	True	0.105218
mut_all	rsem	brca_nonsyn_absent	none	189	-0.142054	0.142054	0.0511931	-0.279127	0.000693385	True	0.111499
mut_nonsyn	rsem	count_le_500	purity_krt18_krt19	195	-0.141294	0.141294	0.0505998	-0.276323	-0.000794675	True	0.111499
tmb	star	purity_ge_0.7	none	202	-0.14061	0.14061	0.0459376	-0.273357	-0.00260692	True	0.107568
mut_nonsyn	star	purity_ge_0.7	purity	202	-0.139692	0.139692	0.0479469	-0.272491	-0.00167118	True	0.107568
tmb	rsem	tmb_le_10	purity_krt18_krt19	195	-0.139054	0.139054	0.05441	-0.274211	0.00149033	True	0.11466
tmb	star	purity_ge_0.7	purity	202	-0.137598	0.137598	0.0514276	-0.270513	0.000464513	True	0.111499
mut_nonsyn	rsem	all_paired	none	205	-0.136905	0.136905	0.0502974	-0.268898	0.000134703	True	0.111499
mut_nonsyn	star	purity_ge_0.8	purity	144	-0.136144	0.136144	0.10495	-0.293194	0.0280596	True	0.167142
mut_all	rsem	msi_lt_3.5	krt18_krt19	203	-0.135754	0.135754	0.0546635	-0.268447	0.001996	True	0.11466
tmb	rsem	all_paired	none	205	-0.135107	0.135107	0.0534244	-0.267197	0.00196692	True	0.113913
tmb	star	purity_ge_0.8	purity	144	-0.134902	0.134902	0.10819	-0.292036	0.0293243	True	0.169169
mut_nonsyn	star	purity_ge_0.7	purity_ploidy	202	-0.133929	0.133929	0.0586655	-0.267045	0.00420254	True	0.121086
mut_nonsyn	rsem	count_le_500	none	204	-0.132625	0.132625	0.0586269	-0.265167	0.00483717	True	0.121086
mut_nonsyn	star	purity_ge_0.8	none	144	-0.131974	0.131974	0.114842	-0.289308	0.0323017	True	0.177421
tmb	star	purity_ge_0.7	purity_ploidy	202	-0.131912	0.131912	0.0626075	-0.265137	0.00625543	True	0.127187
tmb	star	purity_ge_0.8	none	144	-0.130845	0.130845	0.11801	-0.288254	0.0334499	True	0.181229
tmb	rsem	tmb_le_10	none	204	-0.13081	0.13081	0.0621988	-0.263449	0.00668415	True	0.127187
mut_all	star	purity_ge_0.8	purity	144	-0.130511	0.130511	0.12027	-0.287943	0.0337892	True	0.183608
mut_nonsyn	rsem	msi_lt_3.5	krt18_krt19	203	-0.129309	0.129309	0.0673206	-0.26235	0.00855559	True	0.135693
mut_nonsyn	rsem	brca_nonsyn_absent	none	189	-0.128978	0.128978	0.0769288	-0.2668	0.0140125	True	0.152549
tmb	rsem	msi_lt_3.5	krt18_krt19	203	-0.128904	0.128904	0.068191	-0.261966	0.00896788	True	0.136382
mut_nonsyn	star	purity_ge_0.8	purity_ploidy	144	-0.128304	0.128304	0.128084	-0.285883	0.0360312	True	0.190336
tmb	rsem	brca_nonsyn_absent	none	189	-0.12779	0.12779	0.0797121	-0.265677	0.0152205	True	0.152549
mut_all	star	purity_ge_0.8	none	144	-0.127308	0.127308	0.128366	-0.284953	0.0370422	True	0.190336
tmb	star	purity_ge_0.8	purity_ploidy	144	-0.12711	0.12711	0.131703	-0.284768	0.0372435	True	0.191462
mut_all	rsem	purity_ge_0.7	purity	143	-0.126982	0.126982	0.132094	-0.285189	0.0379606	True	0.191462
mut_all	rsem	purity_ge_0.7	purity_ploidy	143	-0.126611	0.126611	0.134637	-0.284842	0.0383376	True	0.192573
mut_all	rsem	brca_nonsyn_absent	purity_krt18_krt19	180	-0.126466	0.126466	0.0934747	-0.267779	0.0201727	True	0.15559
mut_all	star	purity_ge_0.8	purity_ploidy	144	-0.126162	0.126162	0.13463	-0.283882	0.0382054	True	0.192573
mut_all	rsem	all_paired	krt18_krt19	205	-0.123496	0.123496	0.0791901	-0.256198	0.0137748	True	0.152549
mut_nonsyn	rsem	brca_nonsyn_absent	purity_krt18_krt19	180	-0.122382	0.122382	0.104642	-0.263924	0.0243193	True	0.167142
mut_all	protein	purity_ge_0.7	purity	64	-0.122075	0.122075	0.340536	-0.35717	0.127567	True	0.385325
tmb	rsem	brca_nonsyn_absent	purity_krt18_krt19	180	-0.121248	0.121248	0.107922	-0.262852	0.0254699	True	0.169169
mut_nonsyn	rsem	all_paired	krt18_krt19	205	-0.12002	0.12002	0.0880761	-0.252898	0.0173019	True	0.15545
mut_all	rsem	count_le_500	krt18_krt19	204	-0.119684	0.119684	0.0897755	-0.2529	0.0179849	True	0.15545
mut_all	protein	purity_ge_0.7	purity_ploidy	64	-0.119152	0.119152	0.356319	-0.35458	0.130483	True	0.397967
tmb	rsem	all_paired	krt18_krt19	205	-0.118838	0.118838	0.0912736	-0.251775	0.0185006	True	0.15559
mut_nonsyn	protein	purity_ge_0.7	purity	64	-0.117404	0.117404	0.359468	-0.353029	0.132226	True	0.399754
mut_nonsyn	rsem	purity_ge_0.7	purity	143	-0.117256	0.117256	0.164616	-0.276093	0.047816	True	0.210846
mut_nonsyn	rsem	count_le_500	krt18_krt19	204	-0.116223	0.116223	0.099522	-0.249611	0.0214938	True	0.163803
tmb	rsem	purity_ge_0.7	purity	143	-0.115602	0.115602	0.170692	-0.274544	0.0494882	True	0.214822
tmb	rsem	tmb_le_10	krt18_krt19	204	-0.115034	0.115034	0.103056	-0.248481	0.022698	True	0.167142
mut_nonsyn	protein	purity_ge_0.7	purity_ploidy	64	-0.113919	0.113919	0.377982	-0.349934	0.135694	True	0.41675
tmb	protein	purity_ge_0.7	purity	64	-0.11388	0.11388	0.374169	-0.349899	0.135733	True	0.414315
mut_nonsyn	rsem	purity_ge_0.7	purity_ploidy	143	-0.112927	0.112927	0.182444	-0.272036	0.0521918	True	0.228497
mut_all	rsem	purity_ge_0.8	purity_ploidy	99	-0.112753	0.112753	0.271506	-0.303414	0.0865901	True	0.321324
mut_all	rsem	purity_ge_0.8	purity	99	-0.112511	0.112511	0.270021	-0.303192	0.0868333	True	0.321038
tmb	rsem	purity_ge_0.7	purity_ploidy	143	-0.111436	0.111436	0.188324	-0.270637	0.0536977	True	0.234723
tmb	protein	purity_ge_0.7	purity_ploidy	64	-0.110324	0.110324	0.393315	-0.346734	0.139267	True	0.431809
mut_all	rsem	brca_nonsyn_absent	krt18_krt19	189	-0.109471	0.109471	0.135846	-0.248324	0.03379	True	0.192573
mut_nonsyn	rsem	brca_nonsyn_absent	krt18_krt19	189	-0.105172	0.105172	0.151988	-0.244239	0.0381329	True	0.202129
tmb	rsem	brca_nonsyn_absent	krt18_krt19	189	-0.104678	0.104678	0.153934	-0.243769	0.038632	True	0.202539
mut_nonsyn	rsem	purity_ge_0.8	purity	99	-0.103714	0.103714	0.309495	-0.295087	0.0956604	True	0.361311
tmb	rsem	purity_ge_0.8	purity	99	-0.103399	0.103399	0.310971	-0.294797	0.0959752	True	0.361399
mut_all	star	purity_ge_0.7	krt18_krt19	202	-0.1031	0.1031	0.14628	-0.23777	0.0354577	True	0.200747
mut_all	star	purity_ge_0.7	purity_krt18_krt19	202	-0.102115	0.102115	0.151234	-0.23683	0.0364526	True	0.202129
mut_nonsyn	star	purity_ge_0.7	krt18_krt19	202	-0.102032	0.102032	0.150529	-0.236751	0.0365358	True	0.202129
mut_nonsyn	star	purity_ge_0.7	purity_krt18_krt19	202	-0.101072	0.101072	0.155474	-0.235835	0.0375045	True	0.202539
mut_nonsyn	rsem	purity_ge_0.8	purity_ploidy	99	-0.100747	0.100747	0.32616	-0.292348	0.0986303	True	0.3732
tmb	star	purity_ge_0.7	krt18_krt19	202	-0.100636	0.100636	0.156222	-0.235419	0.0379445	True	0.202539
