cell_type	x	y	n	spearman_rho_cpm	p	normalization	fdr_bh
CD68	CLDN4	PRF1	192	0.8674395953438694	1.6624478578878514e-59	count_per_million_aligned	9.158984973669843e-59
CD68	CLDN4	MS4A1	192	0.850654190527384	5.965118109428855e-55	count_per_million_aligned	2.187209973457247e-54
CD68	CLDN4	FOXP3	192	0.8711420217592486	1.3548877359464226e-60	count_per_million_aligned	9.534181807974271e-60
CD68	CLDN4	NCAM1	192	0.8674370520722212	1.6652699952126989e-59	count_per_million_aligned	9.158984973669843e-59
CK	TACSTD2	CD8A	212	0.5273711481083586	1.4185259997524404e-16	count_per_million_aligned	1.7022311997029284e-16
CK	TACSTD2	CD4	212	0.5288064658021383	1.1345713261586624e-16	count_per_million_aligned	1.4128624061598437e-16
CK	TACSTD2	CD3E	212	0.5281904603577022	1.24887964983215e-16	count_per_million_aligned	1.526408460905961e-16
CK	TACSTD2	PTPRC	212	0.5474212453451515	5.6769317738922284e-18	count_per_million_aligned	7.646479532181368e-18
CK	TACSTD2	CD68	212	0.5552601078536572	1.5198231999695066e-18	count_per_million_aligned	2.134219812723137e-18
CK	TACSTD2	CD274	212	0.5420836651216543	1.365629458543892e-17	count_per_million_aligned	1.8026308852779374e-17
CK	TACSTD2	GZMB	212	0.5393304913678636	2.1347135334853972e-17	count_per_million_aligned	2.7625704550987496e-17
CK	TACSTD2	PRF1	212	0.507520226904452	2.802555634777849e-15	count_per_million_aligned	3.0322733097596397e-15
CK	TACSTD2	MS4A1	212	0.5144774758439934	1.0069566372282856e-15	count_per_million_aligned	1.126426068763845e-15
CK	TACSTD2	FOXP3	212	0.5116236892591528	1.5366794511394438e-15	count_per_million_aligned	1.6903473962533882e-15
CK	TACSTD2	NCAM1	212	0.4894118995419281	3.616913744611215e-14	count_per_million_aligned	3.729942299130315e-14
CK	CLDN4	CD8A	212	0.478403612627469	1.5931844219236956e-13	count_per_million_aligned	1.6176949514917524e-13
CK	CLDN4	CD4	212	0.5631192989858217	3.914537830514351e-19	count_per_million_aligned	5.741322151421049e-19
CK	CLDN4	CD3E	212	0.5164209829638443	7.533666093994423e-16	count_per_million_aligned	8.5727924517867575e-16
CK	CLDN4	PTPRC	212	0.5232499047535084	2.6781433872157997e-16	count_per_million_aligned	3.1010081325656627e-16
CK	CLDN4	CD68	212	0.6615900024244562	4.6096916291522525e-28	count_per_million_aligned	7.075340640094155e-28
CK	CLDN4	CD274	212	0.563291844696266	3.798140357177676e-19	count_per_million_aligned	5.697210535766514e-19
CK	CLDN4	GZMB	212	0.5490473776515522	4.331300636206532e-18	count_per_million_aligned	5.9555383747839815e-18
CK	CLDN4	PRF1	212	0.5255709520913614	1.8743727650967552e-16	count_per_million_aligned	2.2090821874354616e-16
CK	CLDN4	MS4A1	212	0.43738237834354693	2.5625700318143472e-11	count_per_million_aligned	2.5625700318143472e-11
CK	CLDN4	FOXP3	212	0.49643353054342454	1.3658163365399473e-14	count_per_million_aligned	1.4539335195425244e-14
CK	CLDN4	NCAM1	212	0.4926337465404271	2.3199134257859227e-14	count_per_million_aligned	2.4303854936804903e-14
