gene	n_control	n_tolerant	mean_control	mean_tolerant	sd_control	sd_tolerant	log2FC_P_minus_C	welch_t	welch_p	mwu_p	C1	C2	C3	P1	P2	P3
HLA-G	3	3	10.6767	11.1867	0.0577	0.1079	0.51	7.2205	0.0051290939084416695	0.07652250047505922	10.71	10.71	10.61	11.31	11.11	11.14
B2M	3	3	15.61	16.12	0.0458	0.052	0.51	12.75	0.00023893404835436375	0.07652250047505922	15.66	15.6	15.57	16.15	16.06	16.15
BST2	3	3	12.0067	12.5167	0.0666	0.0153	0.51	12.9309	0.003991253179124162	0.1	12.04	11.93	12.05	12.53	12.52	12.5
IFITM2	3	3	14.81	15.2967	0.04	0.0603	0.4867	11.6521	0.0006590891372817106	0.1	14.77	14.85	14.81	15.29	15.36	15.24
HLA-F	3	3	11.9733	12.44	0.0503	0.2261	0.4667	3.4902	0.06382737671383693	0.1	11.92	12.02	11.98	12.7	12.29	12.33
IFITM3	3	3	16.1067	16.5633	0.0551	0.0153	0.4567	13.8391	0.0028651657220287734	0.1	16.05	16.16	16.11	16.55	16.58	16.56
TAPBP	3	3	13.3133	13.7633	0.1007	0.0153	0.45	7.6551	0.014634188377323162	0.1	13.22	13.42	13.3	13.78	13.76	13.75
ERAP1	3	3	7.755	8.1783	0.2476	0.0548	0.4233	2.8914	0.09124086364192042	0.07652250047505922	7.945	7.845	7.4750000000000005	8.209999999999999	8.209999999999999	8.115
HLA-DQB1	3	3	3.9333	4.3333	0.2603	0.0379	0.4	2.6343	0.11398011721857405	0.1	4.2	3.92	3.68	4.29	4.36	4.35
IFNAR1	3	3	11.5667	11.9267	0.0814	0.0306	0.36	7.1682	0.009378508924121547	0.1	11.66	11.53	11.51	11.92	11.96	11.9
GBP5	3	3	7.4667	7.7667	0.0231	0.257	0.3	2.014	0.179585284174638	0.07652250047505922	7.44	7.48	7.48	8.04	7.73	7.53
IFNG	3	3	4.3433	4.6033	0.3465	0.2272	0.26	1.0869	0.347082137234123	0.7	4.38	3.98	4.67	4.81	4.64	4.36
IFI16	3	3	14.6633	14.8867	0.0666	0.0987	0.2233	3.25	0.03793197674181028	0.1	14.68	14.72	14.59	15.0	14.84	14.82
CD74	3	3	11.6533	11.8767	0.1582	0.0231	0.2233	2.4192	0.13156827700505674	0.07652250047505922	11.48	11.69	11.79	11.89	11.89	11.85
STAT1	3	3	14.2	14.4167	0.0889	0.0907	0.2167	2.9545	0.04180236202437063	0.1	14.27	14.1	14.23	14.35	14.52	14.38
PDIA3	3	3	14.6233	14.8367	0.0289	0.0289	0.2133	9.051	0.0008257143100314472	0.07219819770165753	14.59	14.64	14.64	14.82	14.87	14.82
IFNGR2	3	3	9.7017	9.86	0.1056	0.0656	0.1583	2.2057	0.10537661783774749	0.1	9.58	9.77	9.755	9.8	9.850000000000001	9.93
CXCL11	3	3	3.2467	3.3867	0.1079	0.0924	0.14	1.7075	0.164597185311243	0.1840386271964254	3.17	3.2	3.37	3.44	3.28	3.44
CANX	3	3	15.79	15.9267	0.07	0.0252	0.1367	3.1822	0.06386772592660563	0.1	15.86	15.72	15.79	15.93	15.9	15.95
IRF7	3	3	5.0633	5.18	0.1401	0.2563	0.1167	0.6917	0.537385469123953	0.7	5.2	4.92	5.07	5.15	5.45	4.94
ERAP2	3	3	12.89	13.0033	0.0917	0.0321	0.1133	2.0211	0.1552131586250046	0.1	12.97	12.91	12.79	13.04	12.98	12.99
CXCL9	3	3	4.0833	4.1567	0.3265	0.2122	0.0733	0.3261	0.7631991701106602	0.7	3.88	3.91	4.46	4.01	4.06	4.4
JAK2	3	3	6.6033	6.66	0.2237	0.1821	0.0567	0.3403	0.7514480037533723	1.0	6.800000000000001	6.65	6.359999999999999	6.45	6.775	6.755
NLRC5	3	3	5.7433	5.7933	0.2829	0.155	0.05	0.2685	0.805217306600281	1.0	6.0	5.79	5.44	5.64	5.79	5.95
SOCS3	3	3	5.8733	5.8867	0.1604	0.0702	0.0133	0.1319	0.904161955471371	1.0	5.72	6.04	5.86	5.88	5.82	5.96
GBP4	3	3	4.7267	4.7167	0.1701	0.3166	-0.01	-0.0482	0.9645306269051386	1.0	4.92	4.6	4.66	5.05	4.68	4.42
ZBP1	3	3	4.4467	4.4233	0.3293	0.2303	-0.0233	-0.1006	0.9252646170302162	1.0	4.59	4.68	4.07	4.66	4.41	4.2
TAP1	3	3	9.4733	9.45	0.106	0.0436	-0.0233	-0.3527	0.7504271211412193	1.0	9.49	9.36	9.57	9.42	9.5	9.43
CALR	3	3	16.4433	16.4067	0.0404	0.0321	-0.0367	-1.2298	0.28929341460986235	0.6428348264908044	16.42	16.42	16.49	16.43	16.37	16.42
EIF2AK2	3	3	14.22	14.1467	0.0173	0.0702	-0.0733	-1.7558	0.2074478000484324	0.1840386271964254	14.23	14.23	14.2	14.14	14.22	14.08
IFI35	3	3	9.55	9.4633	0.07	0.2065	-0.0867	-0.6885	0.5504968953826573	0.7	9.48	9.55	9.62	9.37	9.7	9.32
HLA-DQA1	3	3	5.5433	5.4367	0.2706	0.1514	-0.1067	-0.5958	0.5915451767828446	0.7	5.76	5.63	5.24	5.61	5.37	5.33
IFIH1	3	3	9.2433	9.12	0.1155	0.167	-0.1233	-1.052	0.35896287605313426	0.37582508748869836	9.31	9.11	9.31	8.94	9.27	9.15
IFNB1	3	3	4.9667	4.84	0.39	0.1769	-0.1267	-0.5123	0.646251158310196	1.0	5.36	4.58	4.96	4.81	4.68	5.03
HLA-DPB1	3	3	5.9433	5.81	0.095	0.4251	-0.1333	-0.5302	0.6446855357878178	1.0	6.04	5.85	5.94	5.32	6.03	6.08
OAS1	3	3	8.9033	8.7567	0.3556	0.2574	-0.1467	-0.5787	0.5966288325574319	1.0	8.56	9.27	8.88	8.46	8.89	8.92
CXCL10	3	3	4.61	4.45	0.4223	0.07	-0.16	-0.6475	0.5806830530043117	0.7	4.52	4.24	5.07	4.5	4.37	4.48
IFIT5	3	3	9.93	9.7633	0.1345	0.1457	-0.1667	-1.4556	0.21965356022555857	0.4	9.82	9.89	10.08	9.66	9.93	9.7
ISG15	3	3	8.3467	8.17	0.1069	0.1539	-0.1767	-1.6325	0.18650600715053792	0.2	8.44	8.37	8.23	8.0	8.3	8.21
HLA-DRB1	3	3	4.29	4.1133	0.3672	0.2248	-0.1767	-0.7108	0.5239900032344038	0.7	4.71	4.13	4.03	4.36	3.92	4.06
PSMB10	3	3	6.26	6.0467	0.2193	0.0971	-0.2133	-1.5405	0.22891038929442795	0.26828588367711736	6.07	6.5	6.21	6.13	6.07	5.94
CCL5	3	3	6.7667	6.54	0.1537	0.1967	-0.2267	-1.5725	0.19504261740394904	0.2	6.84	6.59	6.87	6.51	6.36	6.75
SOCS1	3	3	5.3733	5.1333	0.125	0.1124	-0.24	-2.4725	0.0694693746347416	0.1	5.5	5.37	5.25	5.23	5.01	5.16
RSAD2	3	3	6.675	6.3383	0.0507	0.1242	-0.3367	-4.3453	0.028898982544536888	0.1	6.665000000000001	6.7299999999999995	6.630000000000001	6.195	6.415	6.404999999999999
IFIT2	3	3	9.83	9.4467	0.151	0.145	-0.3833	-3.1713	0.03389296432033749	0.1	9.69	9.81	9.99	9.45	9.59	9.3
PSMB8	3	3	12.57	12.1667	0.03	0.0902	-0.4033	-7.3502	0.010162019123934407	0.1	12.57	12.54	12.6	12.08	12.16	12.26
IRF1	3	3	8.4333	7.94	0.0723	0.0954	-0.4933	-7.1372	0.002649318451340217	0.1	8.35	8.47	8.48	8.03	7.84	7.95
TAP2	3	3	11.6067	11.0733	0.0351	0.1986	-0.5333	-4.5808	0.039646155310729056	0.1	11.57	11.64	11.61	10.93	11.3	10.99
HLA-DRA	3	3	8.8	8.23	0.3012	0.1153	-0.57	-3.0614	0.06701789257042823	0.1	8.87	9.06	8.47	8.19	8.14	8.36
IFIT1	3	3	11.6	10.96	0.1389	0.1082	-0.64	-6.2959	0.003948251790170296	0.1	11.67	11.69	11.44	10.93	11.08	10.87
USP18	3	3	9.1467	8.4967	0.1914	0.2316	-0.65	-3.7472	0.021285145238718484	0.1	9.09	9.36	8.99	8.24	8.56	8.69
DDX58	3	3	10.8933	10.18	0.0751	0.0557	-0.7133	-13.221	0.00030517164661105243	0.1	10.82	10.97	10.89	10.13	10.24	10.17
PSMB9	3	3	13.4267	12.69	0.0462	0.0458	-0.7367	-19.6106	3.989359142201647e-05	0.07652250047505922	13.48	13.4	13.4	12.7	12.73	12.64
DDX60	3	3	9.9767	9.21	0.0902	0.1311	-0.7667	-8.343	0.001875852866108774	0.1	9.97	10.07	9.89	9.19	9.35	9.09
CMPK2	3	3	7.0267	6.1333	0.1801	0.125	-0.8933	-7.0575	0.0032407676517504933	0.1	7.15	6.82	7.11	6.26	6.01	6.13
IFI44L	3	3	9.0967	8.0533	0.0611	0.4188	-1.0433	-4.2693	0.04710894943885642	0.1	9.03	9.11	9.15	7.93	8.52	7.71
OAS3	3	3	10.4933	9.4167	0.3331	0.2444	-1.0767	-4.5141	0.013038234785656322	0.1	10.12	10.6	10.76	9.63	9.15	9.47
CIITA	3	3	7.18	5.88	0.2163	0.1732	-1.3	-8.125	0.0015190482362809864	0.07652250047505922	7.36	7.24	6.94	5.78	6.08	5.78
HERC5	3	3	9.33	7.7967	0.052	0.2312	-1.5333	-11.2095	0.0055315738038932164	0.07652250047505922	9.39	9.3	9.3	7.77	8.04	7.58
IFI44	3	3	10.1067	8.4767	0.0651	0.0737	-1.63	-28.7151	1.0055296528215644e-05	0.1	10.17	10.11	10.04	8.42	8.56	8.45
IFIT3	3	3	11.4067	9.66	0.0929	0.2551	-1.7467	-11.1414	0.003289451045760534	0.1	11.38	11.51	11.33	9.41	9.92	9.65
OASL	3	3	10.53	8.1	0.28	0.2117	-2.43	-11.9912	0.00041367371773117845	0.1	10.21	10.65	10.73	7.94	8.02	8.34
