dataset	accession	model_family	setting	symbol	contrast	family	test_group	ref_group	n_test	n_ref	mean_test	mean_ref	sd_test	sd_ref	delta_log2	hedges_g	test_name	statistic	p_value	note	contrast_note	fdr_bh_within_family
GSE169194_KPM_total_aPD1	GSE169194	KP	in_vivo_tumor	Cldn4	A2V_vs_IgG	mechanism	A2V	IgG	3	3	4.62503	4.5416	0.507847	1.15041	0.0834267	0.075058	welch_t	0.114909	0.916384			0.928808
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Tacstd2	relapsed_1st_vs_parental	resistance	relapsed_1st	parental	3	3	8.62896	8.61107	0.214303	0.250278	0.0178833	0.0614057	welch_t	0.0940079	0.929725			0.929725
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Cldn4	relapsed_1st_vs_parental	resistance	relapsed_1st	parental	3	3	9.53459	9.20083	0.366159	0.492354	0.33376	0.615411	welch_t	0.942152	0.403551			0.706214
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Tacstd2	relapsed_2nd_vs_parental	resistance	relapsed_2nd	parental	3	3	8.26148	8.61107	0.0783329	0.250278	-0.34959	-1.50816	welch_t	-2.30889	0.126468			0.436128
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Cldn4	relapsed_2nd_vs_parental	resistance	relapsed_2nd	parental	3	3	9.11606	9.20083	0.113028	0.492354	-0.08477	-0.189853	welch_t	-0.290651	0.796354			0.92908
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Tacstd2	relapsed_late_vs_parental	resistance	relapsed_late	parental	3	3	8.33357	8.61107	0.0818014	0.250278	-0.277507	-1.19238	welch_t	-1.82546	0.186912			0.436128
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Cldn4	relapsed_late_vs_parental	resistance	relapsed_late	parental	3	3	8.98775	9.20083	0.0156068	0.492354	-0.213083	-0.489394	welch_t	-0.749228	0.531719			0.744407
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Tacstd2	chronic_IFNg_vs_parental	mechanism	chronic_IFNg	parental	3	3	8.55666	8.61107	0.0919288	0.250278	-0.0544167	-0.230905	welch_t	-0.353499	0.751067			0.860757
GSE246922_KP_ICBrelapse	GSE246922	KP	sorted_tumor_cells	Cldn4	chronic_IFNg_vs_parental	mechanism	chronic_IFNg	parental	3	3	9.35261	9.20083	0.187564	0.492354	0.151773	0.325909	welch_t	0.498944	0.657361			0.813876
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	in_vivo_tumor	Tacstd2	aLAIR1_aPD1_vs_ctrlAb_aPD1	mechanism	aLAIR1_aPD1	control_ab_aPD1	4	3	0.0653575	0.228213	0.130715	0.395277	-0.162856	-0.508458	welch_t	-0.686033	0.554595		both arms receive anti-PD-1; contrast isolates LAIR1 blockade	0.720973
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	in_vivo_tumor	Cldn4	aLAIR1_aPD1_vs_ctrlAb_aPD1	mechanism	aLAIR1_aPD1	control_ab_aPD1	4	3	0.661613	0.730477	0.677384	0.573698	-0.0688642	-0.0909041	welch_t	-0.145365	0.89028		both arms receive anti-PD-1; contrast isolates LAIR1 blockade	0.928808
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Tacstd2	KL_adenoma_vs_K_adenoma	genotype	KL_adenoma	K_adenoma	5	4	2.53976	1.79958	2.1046	0.930241	0.740182	0.386228	welch_t	0.70503	0.508391			0.699913
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Cldn4	KL_adenoma_vs_K_adenoma	genotype	KL_adenoma	K_adenoma	5	4	2.22491	2.12462	2.26482	2.43801	0.100283	0.0380844	welch_t	0.063275	0.951503			0.951503
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Tacstd2	KP_adenoma_vs_K_adenoma	genotype	KP_adenoma	K_adenoma	5	4	3.39968	1.79958	1.98397	0.930241	1.6001	0.87869	welch_t	1.59725	0.162109			0.449265
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Cldn4	KP_adenoma_vs_K_adenoma	genotype	KP_adenoma	K_adenoma	5	4	3.26068	2.12462	2.23084	2.43801	1.13606	0.434917	welch_t	0.721208	0.496828			0.699913
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Tacstd2	KL_adenoma_vs_KP_adenoma	genotype	KL_adenoma	KP_adenoma	5	5	2.53976	3.39968	2.1046	1.98397	-0.859914	-0.379771	welch_t	-0.664806	0.524935			0.699913
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Cldn4	KL_adenoma_vs_KP_adenoma	genotype	KL_adenoma	KP_adenoma	5	5	2.22491	3.26068	2.26482	2.23084	-1.03577	-0.416184	welch_t	-0.728549	0.487058			0.699913
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Tacstd2	K_adenoma_vs_normal_lung	genotype	K_adenoma	normal_lung	4	4	1.79958	2.86505	0.930241	0.851543	-1.06547	-1.03896	welch_t	-1.6897	0.142429			0.449265
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Cldn4	K_adenoma_vs_normal_lung	genotype	K_adenoma	normal_lung	4	4	2.12462	0	2.43801	0	2.12462	1.07168	welch_t	1.74292	0.179706			0.449265
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Tacstd2	KP_adenoma_vs_normal_lung	genotype	KP_adenoma	normal_lung	5	4	3.39968	2.86505	1.98397	0.851543	0.534621	0.297012	welch_t	0.543243	0.607693			0.739881
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Cldn4	KP_adenoma_vs_normal_lung	genotype	KP_adenoma	normal_lung	5	4	3.26068	0	2.23084	0	3.26068	1.71873	welch_t	3.26832	0.0308378			0.449265
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Tacstd2	KL_adenoma_vs_normal_lung	genotype	KL_adenoma	normal_lung	5	4	2.53976	2.86505	2.1046	0.851543	-0.325293	-0.171524	welch_t	-0.314893	0.764448			0.849387
GSE274351_K_KP_KL_adenoma	GSE274351	KL	in_vivo_tumor	Cldn4	KL_adenoma_vs_normal_lung	genotype	KL_adenoma	normal_lung	5	4	2.22491	0	2.26482	0	2.22491	1.15516	welch_t	2.19666	0.0929987			0.449265
GSE137396_KL_vs_KP_nodules	GSE137396	KL	in_vivo_tumor	Tacstd2	KL_vs_KP_nodule	genotype	KL_nodule	KP_nodule	5	5	6.77921	5.69461	0.952327	0.575305	1.0846	1.2452	welch_t	2.17978	0.068138			0.449265
GSE137396_KL_vs_KP_nodules	GSE137396	KL	in_vivo_tumor	Cldn4	KL_vs_KP_nodule	genotype	KL_nodule	KP_nodule	5	5	7.56277	7.05124	1.56146	0.51541	0.511532	0.397372	welch_t	0.695618	0.518508			0.699913
GSE175479_K_KL_AMPK	GSE175479	KL	in_vivo_tumor	Tacstd2	KL_vs_K	genotype	KL_tumor	K_tumor	4	4	6.7934	6.61838	0.547622	0.411242	0.175015	0.314269	welch_t	0.51111	0.628899			0.739881
GSE175479_K_KL_AMPK	GSE175479	KL	in_vivo_tumor	Cldn4	KL_vs_K	genotype	KL_tumor	K_tumor	4	4	7.12954	5.44853	0.644364	1.21168	1.68101	1.50633	welch_t	2.44981	0.0626108			0.449265
GSE175479_K_KL_AMPK	GSE175479	KL	in_vivo_tumor	Tacstd2	KAA_vs_K	genotype	KAA_tumor	K_tumor	4	4	6.25023	6.61838	0.700806	0.411242	-0.368155	-0.557178	welch_t	-0.906164	0.407637			0.699913
GSE175479_K_KL_AMPK	GSE175479	KL	in_vivo_tumor	Cldn4	KAA_vs_K	genotype	KAA_tumor	K_tumor	4	4	5.31546	5.44853	1.6963	1.21168	-0.13307	-0.0785004	welch_t	-0.127669	0.903007			0.950534
GSE175479_K_KL_AMPK	GSE175479	KL	in_vivo_tumor	Tacstd2	KL_vs_KAA	genotype	KL_tumor	KAA_tumor	4	4	6.7934	6.25023	0.547622	0.700806	0.54317	0.751034	welch_t	1.22144	0.270271			0.600602
GSE175479_K_KL_AMPK	GSE175479	KL	in_vivo_tumor	Cldn4	KL_vs_KAA	genotype	KL_tumor	KAA_tumor	4	4	7.12954	5.31546	0.644364	1.6963	1.81408	1.22942	welch_t	1.99946	0.118967			0.449265
GSE274352_KP_KL_IFNB	GSE274352	KL	cultured_cells	Tacstd2	IFNbeta_vs_empty	mechanism	IFNbeta	empty_vector	6	6	4.65251	3.23069	1.05846	0.904168	1.42183	1.33334	paired_t	2.55806	0.0507659			0.369854
GSE274352_KP_KL_IFNB	GSE274352	KL	cultured_cells	Cldn4	IFNbeta_vs_empty	mechanism	IFNbeta	empty_vector	6	6	7.02329	6.66699	0.963694	0.747911	0.356302	0.381292	paired_t	0.77531	0.473212			0.720973
GSE274352_KP_KL_STING	GSE274352	KL	cultured_cells	Tacstd2	STING_vs_empty	mechanism	STING_V154M	empty_vector	4	4	3.72549	3.23003	0.475892	1.13847	0.49546	0.493783	paired_t	1.35391	0.268728			0.698693
GSE274352_KP_KL_STING	GSE274352	KL	cultured_cells	Cldn4	STING_vs_empty	mechanism	STING_V154M	empty_vector	4	4	7.1476	6.73944	0.79894	0.861416	0.40816	0.427222	paired_t	1.78227	0.172724			0.530559
GSE295685_KL_TNG260	GSE295685	KL	cultured_cells	Tacstd2	TNG260_vs_DMSO	mechanism	TNG260	DMSO	2	2	5.07004	3.85047	0.0282418	0.132158	1.21957	7.29277	welch_t	12.7624	0.0402635	n<3 per arm, underpowered		0.369854
GSE295685_KL_TNG260	GSE295685	KL	cultured_cells	Cldn4	TNG260_vs_DMSO	mechanism	TNG260	DMSO	2	2	10.77	10.4081	0.0129613	0.0651882	0.36191	4.40037	welch_t	7.70066	0.0711258	n<3 per arm, underpowered		0.369854
GSE236258_CMT167_trametinib	GSE236258	CMT167	cultured_cells	Tacstd2	CMT167_trametinib_vs_control	mechanism	CMT167_trametinib	CMT167_control	3	3	0	0	0	0	0	0	welch_t	nan	nan			
GSE236258_CMT167_trametinib	GSE236258	CMT167	cultured_cells	Cldn4	CMT167_trametinib_vs_control	mechanism	CMT167_trametinib	CMT167_control	3	3	0.0928967	0.343047	0.160902	0.208125	-0.25015	-1.07581	welch_t	-1.64699	0.179402			0.530559
GSE236258_CMT167_trametinib	GSE236258	CMT167	cultured_cells	Tacstd2	CMT167_trametinib_resistant_vs_control	resistance	CMT167_trametinib_resistant	CMT167_control	3	3	0	0	0	0	0	0	welch_t	nan	nan			
GSE236258_CMT167_trametinib	GSE236258	CMT167	cultured_cells	Cldn4	CMT167_trametinib_resistant_vs_control	resistance	CMT167_trametinib_resistant	CMT167_control	3	3	0.0653333	0.343047	0.0565805	0.208125	-0.277713	-1.45678	welch_t	-2.23023	0.139027			0.436128
GSE236258_CMT167_trametinib	GSE236258	CMT167	cultured_cells	Tacstd2	KLA_trametinib_vs_control	mechanism	KLA_trametinib	KLA_control	3	3	0.0326833	0	0.0566092	0	0.0326833	0.653197	welch_t	1	0.42265			0.720973
GSE236258_CMT167_trametinib	GSE236258	CMT167	cultured_cells	Cldn4	KLA_trametinib_vs_control	mechanism	KLA_trametinib	KLA_control	3	3	9.41539	2.70352	0.0510451	0.0417696	6.71187	115.13	welch_t	176.256	1.1532e-08			2.99832e-07
GSE241978_CMT167_AhR	GSE241978	CMT167	cultured_cells	Tacstd2	AhR_KO_vs_control	mechanism	AhR_KO	cas9_control	3	3	4.556	4.556	0	0	0	0	welch_t	nan	nan			
GSE241978_CMT167_AhR	GSE241978	CMT167	cultured_cells	Cldn4	AhR_KO_vs_control	mechanism	AhR_KO	cas9_control	3	3	4.556	5.1501	0	0.514795	-0.594103	-1.30567	welch_t	-1.99889	0.183655			0.530559
GSE217405_EGFR_osimertinib	GSE217405	EGFR	cultured_cells	Tacstd2	osimertinib_vs_DMSO	mechanism	osimertinib	DMSO	12	12	3.11711	2.81232	4.60707	4.15874	0.304792	0.0670554	paired_t	2.00715	0.0699421			0.369854
GSE217405_EGFR_osimertinib	GSE217405	EGFR	cultured_cells	Cldn4	osimertinib_vs_DMSO	mechanism	osimertinib	DMSO	12	12	7.64235	7.83578	4.26857	4.04236	-0.193424	-0.0449252	paired_t	-0.716517	0.488606			0.720973
GSE330658_EGFR_invivo	GSE330658	EGFR	in_vivo_tumor	Tacstd2	aVEGF_vs_control	mechanism	aVEGF	control	2	2	2.94812	3.04935	0.0290338	0.130108	-0.10123	-0.613664	welch_t	-1.07391	0.464299	n<3 per arm, underpowered		0.720973
GSE330658_EGFR_invivo	GSE330658	EGFR	in_vivo_tumor	Cldn4	aVEGF_vs_control	mechanism	aVEGF	control	2	2	4.92362	4.83887	0.00174655	0.0671044	0.084755	1.02034	welch_t	1.78559	0.324752	n<3 per arm, underpowered		0.703629
GSE330658_EGFR_invivo	GSE330658	EGFR	in_vivo_tumor	Tacstd2	PTX_vs_control	mechanism	PTX	control	2	2	3.51854	3.04935	0.00704278	0.130108	0.46919	2.90996	welch_t	5.09244	0.122391	n<3 per arm, underpowered		0.530361
GSE330658_EGFR_invivo	GSE330658	EGFR	in_vivo_tumor	Cldn4	PTX_vs_control	mechanism	PTX	control	2	2	4.93782	4.83887	0.0823355	0.0671044	0.09895	0.75283	welch_t	1.31745	0.322857	n<3 per arm, underpowered		0.703629
