# Ensembl REST lookup/symbol/mus_musculus, release 116
symbol	ensembl_gene_id	display_name	biotype	assembly	chrom	resolved
Cxcl10	ENSMUSG00000034855	Cxcl10	protein_coding	GRCm39	5	yes
Ido1	ENSMUSG00000031551	Ido1	protein_coding	GRCm39	8	yes
Irf1	ENSMUSG00000018899	Irf1	protein_coding	GRCm39	11	yes
Ciita	ENSMUSG00000022504	Ciita	protein_coding	GRCm39	16	yes
Nlrc5	ENSMUSG00000074151	Nlrc5	protein_coding	GRCm39	8	yes
Socs1	ENSMUSG00000038037	Socs1	protein_coding	GRCm39	16	yes
Gbp2	ENSMUSG00000028270	Gbp2	protein_coding	GRCm39	3	yes
Gbp3	ENSMUSG00000028268	Gbp3	protein_coding	GRCm39	3	yes
Ifi47	ENSMUSG00000078920	Ifi47	protein_coding	GRCm39	11	yes
Igtp	ENSMUSG00000078853	Igtp	protein_coding	GRCm39	11	yes
Iigp1	ENSMUSG00000054072	Iigp1	protein_coding	GRCm39	18	yes
Ifit1	ENSMUSG00000034459	Ifit1	protein_coding	GRCm39	19	yes
Ifit3	ENSMUSG00000074896	Ifit3	protein_coding	GRCm39	19	yes
Isg15	ENSMUSG00000035692	Isg15	protein_coding	GRCm39	4	yes
Oasl2	ENSMUSG00000029561	Oasl2	protein_coding	GRCm39	5	yes
Mx1	ENSMUSG00000000386	Mx1	protein_coding	GRCm39	16	yes
Mx2	ENSMUSG00000023341	Mx2	protein_coding	GRCm39	16	yes
Irf7	ENSMUSG00000025498	Irf7	protein_coding	GRCm39	7	yes
Rsad2	ENSMUSG00000020641	Rsad2	protein_coding	GRCm39	12	yes
Usp18	ENSMUSG00000030107	Usp18	protein_coding	GRCm39	6	yes
B2m	ENSMUSG00000060802	B2m	protein_coding	GRCm39	2	yes
H2-K1	ENSMUSG00000061232	H2-K1	protein_coding	GRCm39	17	yes
H2-D1	ENSMUSG00000073411	H2-D1	protein_coding	GRCm39	17	yes
Tap1	ENSMUSG00000037321	Tap1	protein_coding	GRCm39	17	yes
Tap2	ENSMUSG00000024339	Tap2	protein_coding	GRCm39	17	yes
Tapbp	ENSMUSG00000024308	Tapbp	protein_coding	GRCm39	17	yes
Psmb8	ENSMUSG00000024338	Psmb8	protein_coding	GRCm39	17	yes
Psmb9	ENSMUSG00000096727	Psmb9	protein_coding	GRCm39	17	yes
H2-Aa	ENSMUSG00000036594	H2-Aa	protein_coding	GRCm39	17	yes
H2-Ab1	ENSMUSG00000073421	H2-Ab1	protein_coding	GRCm39	17	yes
H2-Eb1	ENSMUSG00000060586	H2-Eb1	protein_coding	GRCm39	17	yes
Cd74	ENSMUSG00000024610	Cd74	protein_coding	GRCm39	18	yes
Cd274	ENSMUSG00000016496	Cd274	protein_coding	GRCm39	19	yes
Pdcd1lg2	ENSMUSG00000016498	Pdcd1lg2	protein_coding	GRCm39	19	yes
Pdcd1	ENSMUSG00000026285	Pdcd1	protein_coding	GRCm39	1	yes
Ctla4	ENSMUSG00000026011	Ctla4	protein_coding	GRCm39	1	yes
Lag3	ENSMUSG00000030124	Lag3	protein_coding	GRCm39	6	yes
Havcr2	ENSMUSG00000020399	Havcr2	protein_coding	GRCm39	11	yes
Tigit	ENSMUSG00000071552	Tigit	protein_coding	GRCm39	16	yes
Foxp3	ENSMUSG00000039521	Foxp3	protein_coding	GRCm39	X	yes
Arg1	ENSMUSG00000019987	Arg1	protein_coding	GRCm39	10	yes
Mrc1	ENSMUSG00000026712	Mrc1	protein_coding	GRCm39	2	yes
Trem2	ENSMUSG00000023992	Trem2	protein_coding	GRCm39	17	yes
Spp1	ENSMUSG00000029304	Spp1	protein_coding	GRCm39	5	yes
Il10	ENSMUSG00000016529	Il10	protein_coding	GRCm39	1	yes
Vegfa	ENSMUSG00000023951	Vegfa	protein_coding	GRCm39	17	yes
Cd68	ENSMUSG00000018774	Cd68	protein_coding	GRCm39	11	yes
Adgre1	ENSMUSG00000004730	Adgre1	protein_coding	GRCm39	17	yes
Ptprc	ENSMUSG00000026395	Ptprc	protein_coding	GRCm39	1	yes
Cd52	ENSMUSG00000000682	Cd52	protein_coding	GRCm39	4	yes
Laptm5	ENSMUSG00000028581	Laptm5	protein_coding	GRCm39	4	yes
Coro1a	ENSMUSG00000030707	Coro1a	protein_coding	GRCm39	7	yes
Cd53	ENSMUSG00000040747	Cd53	protein_coding	GRCm39	3	yes
Ascl1	ENSMUSG00000020052	Ascl1	protein_coding	GRCm39	10	yes
Insm1	ENSMUSG00000068154	Insm1	protein_coding	GRCm39	2	yes
Chga	ENSMUSG00000021194	Chga	protein_coding	GRCm39	12	yes
Syp	ENSMUSG00000031144	Syp	protein_coding	GRCm39	X	yes
Ncam1	ENSMUSG00000039542	Ncam1	protein_coding	GRCm39	9	yes
Calca	ENSMUSG00000030669	Calca	protein_coding	GRCm39	7	yes
Dll3	ENSMUSG00000003436	Dll3	protein_coding	GRCm39	7	yes
Uchl1	ENSMUSG00000029223	Uchl1	protein_coding	GRCm39	5	yes
Pou2f3	ENSMUSG00000032015	Pou2f3	protein_coding	GRCm39	9	yes
Neurod1	ENSMUSG00000034701	Neurod1	protein_coding	GRCm39	2	yes
Yap1	ENSMUSG00000053110	Yap1	protein_coding	GRCm39	9	yes
Myc	ENSMUSG00000022346	Myc	protein_coding	GRCm39	15	yes
Rest	ENSMUSG00000029249	Rest	protein_coding	GRCm39	5	yes
