dataset	accession	model_family	symbol	signature	n	spearman_rho	p_value	fdr_bh
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	CD8_T_cell	15	0.17500	0.532748	0.862111
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	IFNg_response	15	0.34643	0.205896	0.639003
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	IFN_I_response	15	-0.18571	0.507541	0.845902
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	MHC_I_antigen_presentation	15	0.43214	0.107693	0.478636
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	MHC_II	15	0.84643	6.92382e-05	0.0138476
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	T_cell_inhibitory	15	-0.56071	0.0296765	0.316834
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	Myeloid_suppressive	15	-0.36429	0.18191	0.639003
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	Leukocyte_general	15	0.44286	0.0982941	0.478636
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	Neuroendocrine	15	-0.38929	0.151512	0.582738
GSE246922_KP_ICBrelapse	GSE246922	KP	Tacstd2	Non_NE_SCLC	15	-0.00714	0.979844	0.989741
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	CD8_T_cell	15	0.10357	0.71338	0.91459
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	IFNg_response	15	0.56071	0.0296765	0.316834
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	IFN_I_response	15	0.16429	0.558497	0.876887
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	MHC_I_antigen_presentation	15	0.63214	0.0114575	0.210728
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	MHC_II	15	0.62143	0.013402	0.210728
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	T_cell_inhibitory	15	-0.52143	0.0462192	0.330137
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	Myeloid_suppressive	15	-0.33214	0.226472	0.647063
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	Leukocyte_general	15	0.09286	0.742045	0.927245
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	Neuroendocrine	15	-0.49643	0.0597974	0.38579
GSE246922_KP_ICBrelapse	GSE246922	KP	Cldn4	Non_NE_SCLC	15	-0.20714	0.458843	0.837909
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	CD8_T_cell	7	-0.22272	0.63121	0.876887
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	IFNg_response	7	-0.40089	0.372769	0.810367
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	IFN_I_response	7	-0.40089	0.372769	0.810367
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	MHC_I_antigen_presentation	7	-0.35635	0.432711	0.837909
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	MHC_II	7	-0.53452	0.216437	0.639003
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	T_cell_inhibitory	7	-0.66815	0.100897	0.478636
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	Myeloid_suppressive	7	-0.26726	0.562312	0.876887
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	Leukocyte_general	7	-0.22272	0.63121	0.876887
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	Neuroendocrine	7	-0.53452	0.216437	0.639003
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Tacstd2	Non_NE_SCLC	7	0.80178	0.0300992	0.316834
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	CD8_T_cell	7	-0.67857	0.0937503	0.478636
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	IFNg_response	7	-0.71429	0.0713436	0.407678
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	IFN_I_response	7	-0.60714	0.148231	0.582451
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	MHC_I_antigen_presentation	7	-0.75000	0.0521814	0.347876
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	MHC_II	7	-0.78571	0.0362385	0.31785
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	T_cell_inhibitory	7	-0.71429	0.0713436	0.407678
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	Myeloid_suppressive	7	-0.21429	0.644512	0.876887
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	Leukocyte_general	7	-0.50000	0.25317	0.667104
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	Neuroendocrine	7	-0.25000	0.588724	0.876887
GSE260596_344SQ_aLAIR1	GSE260596	344SQ	Cldn4	Non_NE_SCLC	7	0.75000	0.0521814	0.347876
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	CD8_T_cell	7	-0.03571	0.939408	0.974863
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	IFNg_response	7	-0.25000	0.588724	0.876887
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	IFN_I_response	7	0.07143	0.879048	0.956434
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	MHC_I_antigen_presentation	7	0.39286	0.383317	0.810781
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	MHC_II	7	-0.10714	0.819151	0.944249
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	T_cell_inhibitory	7	-0.03571	0.939408	0.974863
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	Myeloid_suppressive	7	0.07143	0.879048	0.956434
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	Leukocyte_general	7	-0.35714	0.431611	0.837909
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	Neuroendocrine	7	-0.53571	0.215217	0.639003
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Tacstd2	Non_NE_SCLC	7	0.85714	0.0136973	0.210728
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	CD8_T_cell	7	-0.21429	0.644512	0.876887
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	IFNg_response	7	-0.42857	0.337368	0.759537
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	IFN_I_response	7	-0.03571	0.939408	0.974863
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	MHC_I_antigen_presentation	7	0.25000	0.588724	0.876887
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	MHC_II	7	-0.28571	0.534509	0.862111
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	T_cell_inhibitory	7	-0.21429	0.644512	0.876887
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	Myeloid_suppressive	7	-0.03571	0.939408	0.974863
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	Leukocyte_general	7	-0.50000	0.25317	0.667104
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	Neuroendocrine	7	-0.60714	0.148231	0.582451
GSE197260_EGFR_TKI_aPD1	GSE197260	EGFR	Cldn4	Non_NE_SCLC	7	0.89286	0.00680719	0.210728
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	CD8_T_cell	18	0.33660	0.171997	0.634615
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	IFNg_response	18	0.25284	0.311413	0.733442
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	IFN_I_response	18	0.32921	0.182212	0.639003
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	MHC_I_antigen_presentation	18	0.39525	0.104497	0.478636
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	MHC_II	18	0.31682	0.200205	0.639003
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	T_cell_inhibitory	18	-0.01867	0.941377	0.974863
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	Myeloid_suppressive	18	0.55212	0.0175129	0.247643
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	Leukocyte_general	18	0.47575	0.0459786	0.330137
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	Neuroendocrine	18	0.27232	0.274287	0.685717
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Tacstd2	Non_NE_SCLC	18	-0.08566	0.73541	0.927245
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	CD8_T_cell	18	-0.18313	0.467003	0.837909
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	IFNg_response	18	-0.23649	0.344759	0.766131
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	IFN_I_response	18	-0.27968	0.261003	0.667104
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	MHC_I_antigen_presentation	18	-0.11878	0.63875	0.876887
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	MHC_II	18	-0.23973	0.337994	0.759537
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	T_cell_inhibitory	18	-0.18127	0.471608	0.837909
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	Myeloid_suppressive	18	-0.25269	0.311713	0.733442
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	Leukocyte_general	18	-0.31964	0.196014	0.639003
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	Neuroendocrine	18	-0.35532	0.147894	0.582451
GSE274351_K_KP_KL_adenoma	GSE274351	KL	Cldn4	Non_NE_SCLC	18	-0.05831	0.818222	0.944249
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	CD8_T_cell	10	-0.17576	0.627188	0.876887
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	IFNg_response	10	-0.15152	0.676065	0.886859
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	IFN_I_response	10	0.17576	0.627188	0.876887
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	MHC_I_antigen_presentation	10	-0.27273	0.445838	0.837909
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	MHC_II	10	-0.69697	0.0250967	0.313709
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	T_cell_inhibitory	10	-0.39394	0.259998	0.667104
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	Myeloid_suppressive	10	-0.17576	0.627188	0.876887
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	Leukocyte_general	10	-0.24848	0.488776	0.837909
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	Neuroendocrine	10	0.39394	0.259998	0.667104
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Tacstd2	Non_NE_SCLC	10	0.15152	0.676065	0.886859
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	CD8_T_cell	10	-0.72121	0.0185732	0.247643
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	IFNg_response	10	-0.67273	0.0330412	0.31785
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	IFN_I_response	10	0.17576	0.627188	0.876887
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	MHC_I_antigen_presentation	10	-0.81818	0.00381492	0.210728
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	MHC_II	10	-0.29697	0.404702	0.837909
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	T_cell_inhibitory	10	-0.07879	0.828717	0.944249
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	Myeloid_suppressive	10	-0.10303	0.776998	0.927245
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	Leukocyte_general	10	0.01818	0.96024	0.974863
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	Neuroendocrine	10	-0.10303	0.776998	0.927245
GSE137396_KL_vs_KP_nodules	GSE137396	KL	Cldn4	Non_NE_SCLC	10	0.78182	0.00754701	0.210728
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	CD8_T_cell	12	0.08392	0.795415	0.933301
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	IFNg_response	12	-0.30769	0.330589	0.759537
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	IFN_I_response	12	-0.08392	0.795415	0.933301
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	MHC_I_antigen_presentation	12	-0.41958	0.174519	0.634615
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	MHC_II	12	-0.30769	0.330589	0.759537
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	T_cell_inhibitory	12	-0.15385	0.633091	0.876887
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	Myeloid_suppressive	12	-0.15385	0.633091	0.876887
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	Leukocyte_general	12	-0.16084	0.617523	0.876887
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	Neuroendocrine	12	-0.49650	0.100603	0.478636
GSE175479_K_KL_AMPK	GSE175479	KL	Tacstd2	Non_NE_SCLC	12	-0.70629	0.0102452	0.210728
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	CD8_T_cell	12	0.36364	0.245265	0.667104
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	IFNg_response	12	-0.17483	0.586824	0.876887
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	IFN_I_response	12	0.22378	0.484452	0.837909
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	MHC_I_antigen_presentation	12	-0.32168	0.30791	0.733442
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	MHC_II	12	-0.81818	0.00114311	0.114311
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	T_cell_inhibitory	12	0.21678	0.498556	0.837909
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	Myeloid_suppressive	12	0.11888	0.712884	0.91459
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	Leukocyte_general	12	0.06294	0.845931	0.945174
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	Neuroendocrine	12	-0.04895	0.879919	0.956434
GSE175479_K_KL_AMPK	GSE175479	KL	Cldn4	Non_NE_SCLC	12	-0.25175	0.429919	0.837909
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	CD8_T_cell	8	0.26190	0.530923	0.862111
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	IFNg_response	8	0.30952	0.455645	0.837909
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	IFN_I_response	8	0.02381	0.955374	0.974863
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	MHC_I_antigen_presentation	8	0.30952	0.455645	0.837909
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	MHC_II	8	0.19048	0.651401	0.880272
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	T_cell_inhibitory	8	0.23810	0.570156	0.876887
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	Myeloid_suppressive	8	0.07143	0.866526	0.956434
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	Leukocyte_general	8	0.35714	0.385121	0.810781
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	Neuroendocrine	8	0.00000	1	1
GSE330658_EGFR_invivo	GSE330658	EGFR	Tacstd2	Non_NE_SCLC	8	0.42857	0.289403	0.705861
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	CD8_T_cell	8	0.14286	0.735765	0.927245
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	IFNg_response	8	0.11905	0.778886	0.927245
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	IFN_I_response	8	0.02381	0.955374	0.974863
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	MHC_I_antigen_presentation	8	0.11905	0.778886	0.927245
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	MHC_II	8	0.23810	0.570156	0.876887
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	T_cell_inhibitory	8	0.26190	0.530923	0.862111
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	Myeloid_suppressive	8	0.47619	0.232936	0.656158
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	Leukocyte_general	8	0.28571	0.492726	0.837909
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	Neuroendocrine	8	-0.09524	0.822505	0.944249
GSE330658_EGFR_invivo	GSE330658	EGFR	Cldn4	Non_NE_SCLC	8	0.50000	0.207031	0.639003
