predictor	outcome	adjustment	n_cohorts	n_negative	stouffer_z	stouffer_p	median_delta	thesis	q
TACSTD2	CD8_AB	squamous_ESTIMATE_spearman	8	6	-2.5653622819701667	0.010306812764421908	-0.09941323582630235	True	0.01442953787019067
TACSTD2	cytotoxic_8	simple_ESTIMATE_spearman	8	7	-2.551144827807519	0.010736969814611924	-0.05061411282986161	True	0.014889509661632862
TACSTD2	cytotoxic_8	simple_spearman	8	6	-2.548696991763823	0.010812620111423863	-0.08658934916040034	True	0.014889509661632862
TACSTD2	cytotoxic_8	squamous_ESTIMATE_spearman	8	5	-2.5294800610909283	0.011423166429747457	-0.06466121695455168	True	0.015602373660142867
TACSTD2	cytotoxic_8	simple_ABSOLUTE_spearman	5	5	-2.5115594587506624	0.012019903527034491	-0.10356536502546687	True	0.016285030585014473
TACSTD2	CYT_Rooney	simple_spearman	8	6	-2.4936639671268828	0.012643217447156947	-0.08651973798294549	True	0.016857623262875928
TACSTD2	CYT_Rooney	simple_ESTIMATE_spearman	8	7	-2.4811502307312296	0.013095916555851003	-0.0724356620724983	True	0.017323732136873767
TACSTD2	T_CD3	simple_spearman	8	6	-2.379039640600483	0.017357809224481158	-0.08411407214080752	True	0.0220917571947942
TACSTD2	CD8A	squamous_ESTIMATE_spearman	8	6	-2.3518780667104204	0.01867889684729588	-0.08050674705713468	True	0.0235943960176369
TACSTD2	T_CD3	simple_ABSOLUTE_spearman	5	4	-2.25386040991842	0.02420495097586065	-0.10356536502546687	True	0.029900233558416096
TACSTD2	CYT_Rooney	simple_ABSOLUTE_spearman	5	5	-2.232406100166329	0.025588135008817733	-0.08998302207130726	True	0.03137815095971809
TACSTD2	T_CD3	simple_ESTIMATE_spearman	8	6	-2.1532779510759594	0.03129684057073386	-0.044425292649136916	True	0.038100501564371655
CLDN7	CD8_effector	simple_ABSOLUTE_spearman	4	3	-1.9097258011452674	0.05616852712922558	-0.034607745779543175	True	0.06788714070294889
CLDN7	CD8A	simple_ABSOLUTE_spearman	5	4	-1.886610453979386	0.05921273964836271	-0.05428514615231661	True	0.07105528757803525
CLDN7	cytotoxic_8	simple_ABSOLUTE_spearman	5	3	-1.7606837145018543	0.0782919506495843	-0.06618669314796422	True	0.09328402630588768
CLDN7	T_CD3	simple_ABSOLUTE_spearman	5	4	-1.7560950885744468	0.07907217361733535	-0.10074478649453822	True	0.09355017723741083
CLDN4	cytotoxic_8	simple_ESTIMATE_spearman	8	7	-1.7257793144749676	0.08438712261205564	-0.10676537569360717	True	0.09914011607570174
CLDN4	CYT_Rooney	simple_ESTIMATE_spearman	8	6	-1.7180816180304501	0.0857817291929787	-0.09287983586098947	True	0.10007868405847514
CLDN4	cytotoxic_4	simple_ESTIMATE_spearman	8	6	-1.7037540670575562	0.08842704253603037	-0.09456538170823886	True	0.10245340100726277
CLDN7	cytotoxic_4	simple_ABSOLUTE_spearman	5	3	-1.6802374149782588	0.09291113240304452	-0.037735849056603765	True	0.10638054719575304
CLDN4	cytotoxic_8	simple_ABSOLUTE_spearman	5	4	-1.6793544817992163	0.09308297879628391	-0.11142346026066952	True	0.10638054719575304
CLDN4	cytotoxic_4	simple_ABSOLUTE_spearman	5	4	-1.6666472191777444	0.09558457376944378	-0.12266802964477386	True	0.10850140806261185
CLDN7	CYT_Rooney	simple_ABSOLUTE_spearman	5	3	-1.6571436464665592	0.09749043665764502	-0.06216484607745776	True	0.10992210307707626
CLDN4	CD8_effector	simple_ABSOLUTE_spearman	5	4	-1.4645421317082057	0.14304588017914996	-0.10069000766675185	True	0.16021138580064795
CLDN4	CYT_Rooney	simple_ABSOLUTE_spearman	5	4	-1.4288837801712861	0.1530376400752147	-0.10299003322259137	True	0.1702670432624905
CLDN7	CD8_AB	simple_ABSOLUTE_spearman	5	4	-1.4158185200039266	0.1568286457709759	-0.03579240405647244	True	0.17220400319950296
TACSTD2	T_CD3	squamous_ESTIMATE_spearman	8	4	-1.2476451108461037	0.21216105058169832	-0.013031870009745816	True	0.2284811313956751
CLDN4	T_CD3	simple_ABSOLUTE_spearman	5	4	-1.0733896484206444	0.28309632706129984	-0.03910068426197455	True	0.30101381611581246
CLDN4	CD8_effector	simple_ESTIMATE_spearman	8	6	-1.0356567836578436	0.30036229067908193	-0.09841248511588147	True	0.31538040521303606
CLDN4	CD8A	simple_ABSOLUTE_spearman	5	4	-0.7475767481389834	0.45471549405606126	-0.025171065493646116	True	0.4686638220945908
CLDN4	CD8A	simple_ESTIMATE_spearman	8	7	-0.4304748955226705	0.6668502245523112	-0.010174677116514985	True	0.6748845646071583
CLDN4	CD8_AB	simple_ABSOLUTE_spearman	5	4	-0.4143760836109043	0.6785987014139239	-0.015717845505079597	True	0.6826621666918515
CLDN4	CD8_AB	simple_ESTIMATE_spearman	8	5	-0.03986497335279777	0.9682007761077471	-0.01284043028976295	True	0.9682007761077471
