predictor	endpoint	family	n	rho	p	ci95_lo	ci95_hi	purity	n_partial	partial_rho	partial_p	partial_ci95_lo	partial_ci95_hi
TJ-15 protein	GEP18 RNA	primary	108	-0.13278458944239618	0.17070082681001425	-0.3260583845372136	0.07195812068841984	WES_purity	107.0	-0.11788044436607299	0.22656142765669418	-0.316699709798644	0.09832262002119978
TJ-15 protein	GEP18 RNA	wgs_sensitivity	108	-0.13278458944239618	0.17070082681001425	-0.3260583845372136	0.07195812068841984	WGS_purity	104.0	-0.10993278566094103	0.2666028097240268	-0.312871284486899	0.09124678528670854
TJ-15 protein	CD8A RNA	primary	108	-0.08222147066061947	0.39757425924614914	-0.28040168795043985	0.12579081474660236	WES_purity	107.0	-0.06956445071415976	0.4764699630645389	-0.27366183414710726	0.14062254802555255
TJ-15 protein	CD8A RNA	wgs_sensitivity	108	-0.08222147066061947	0.39757425924614914	-0.28040168795043985	0.12579081474660236	WGS_purity	104.0	-0.05301397631494719	0.5930092024846921	-0.2718819105969304	0.15536885054711308
TJ-15 protein	ESTIMATE StromalScore	extra	108	-0.17883715834500366	0.06404548263032132	-0.3449939507599636	0.011624524136594679	WES_purity	107.0	-0.25120006269715317	0.009056778308733544	-0.4200396417561291	-0.07612167862921408
TJ-15 protein	CD8 RNA (CD8A/B)	extra	108	-0.07051740070688883	0.46832051095904786	-0.27026631059857914	0.13346886596520072	WES_purity	107.0	-0.06434295342777092	0.5102592874075054	-0.26727117761354297	0.15580527542578557
TJ-15 protein	CYT RNA (GZMA/PRF1)	extra	108	-0.014032981794278202	0.8853858536936925	-0.20828244198088977	0.19081179504087625	WES_purity	107.0	0.024540057603009466	0.8018909775852209	-0.1713641427155886	0.22426975951588388
TJ-15 protein	CIBERSORT CD8	extra	108	-0.04975385062426732	0.6091007532683542	-0.25903093407515726	0.16403282693036492	WES_purity	107.0	-0.05042222614079429	0.6060124696834955	-0.2516653600988851	0.16485518686850079
TJ-15 protein	xCell CD8	extra	108	-0.1130840321558427	0.2439092989415622	-0.30154621190219383	0.08023975918194878	WES_purity	107.0	-0.12552227474373598	0.19765413966470538	-0.3274405521459891	0.08551211428839618
TJ-15 protein	xCell immune score	extra	108	-0.1448836300932674	0.13463794726967782	-0.3312326161614413	0.05009685040593263	WES_purity	107.0	-0.13042967142773174	0.1805523951365386	-0.3222033032815676	0.07223055015176255
