protein	score	family	purity	n_marginal	marginal_rho	marginal_p	n_partial	partial_spearman_rho	partial_p	partial_ci_low	partial_ci_high	ols_residual_spearman_rho	ols_residual_spearman_p	n_ols_residual	partial_fdr_primary_wes	marginal_fdr_primary
TACSTD2	xCell_T_cell_CD8+_effector_memory	exploratory_cd8_subset	WES_purity	108	-0.08819166140375356	0.3640790073680964	107.0	-0.07695816691827333	0.43298025447531074	-0.2638403532505205	0.11549269950232642	-0.07970764278688831	0.41443283643713036	107.0		
CLDN4	xCell_T_cell_CD8+	primary	none	78	-0.38694856874235994	0.0004658835719110316										0.0009317671438220632
CLDN4	xCell_T_cell_CD8+	primary	WES_purity	78	-0.38694856874235994	0.0004658835719110316	77.0	-0.30319469740965616	0.007759333244733676	-0.49482549128532244	-0.08344306588612987	-0.2888428804529399	0.010844126267151186	77.0	0.02331728535065986	
CLDN4	xCell_T_cell_CD8+	primary	WGS_purity	78	-0.38694856874235994	0.0004658835719110316	75.0	-0.17265712369878736	0.1412805312782483	-0.38593017164768845	0.05813516099212079	-0.19123755334281647	0.10026787801668857	75.0		
CLDN4	xCell_T_cell_CD8+	primary	ESTIMATE_TumorPurity	78	-0.38694856874235994	0.0004658835719110316	78.0	-0.3146570947095851	0.005317973019852177	-0.5031739718391172	-0.09755349443393176	-0.260562222587539	0.021221323440133954	78.0		
CLDN4	xCell_immune_score	primary	none	78	-0.3995877540181338	0.0002897362838075348										0.0009317671438220632
CLDN4	xCell_immune_score	primary	WES_purity	78	-0.3995877540181338	0.0002897362838075348	77.0	-0.28794520160714127	0.01165864267532993	-0.48210316542751674	-0.06682805885534175	-0.2791944897208055	0.01393401378530789	77.0	0.02331728535065986	
CLDN4	xCell_immune_score	primary	WGS_purity	78	-0.3995877540181338	0.0002897362838075348	75.0	-0.048659028574473365	0.6805603527827337	-0.2741100685371505	0.18186174619524767	-0.1092176386913229	0.3509437470374794	75.0		
CLDN4	xCell_immune_score	primary	ESTIMATE_TumorPurity	78	-0.3995877540181338	0.0002897362838075348	78.0	-0.31012218017275495	0.006054321163697066	-0.49941148871626034	-0.09257358379220038	-0.19128972293529253	0.0934095465052053	78.0		
CLDN4	xCell_T_cell_CD8+_naive	exploratory_cd8_subset	none	78	-0.29173048783299294	0.009554974976868871										
CLDN4	xCell_T_cell_CD8+_naive	exploratory_cd8_subset	WES_purity	78	-0.29173048783299294	0.009554974976868871	77.0	-0.341998804386136	0.002496165267475024	-0.5268326394702669	-0.12628015960133435	-0.2697217079349649	0.017680961614600515	77.0		
CLDN4	xCell_T_cell_CD8+_central_memory	exploratory_cd8_subset	none	78	-0.3952060970466788	0.0003423295283694056										
CLDN4	xCell_T_cell_CD8+_central_memory	exploratory_cd8_subset	WES_purity	78	-0.3952060970466788	0.0003423295283694056	77.0	-0.3000472157044513	0.008454139236900537	-0.4922063257552155	-0.08000370826218797	-0.26666140872059546	0.019063254130592313	77.0		
CLDN4	xCell_T_cell_CD8+_effector_memory	exploratory_cd8_subset	none	78	-0.2169328087652045	0.05642333134714335										
CLDN4	xCell_T_cell_CD8+_effector_memory	exploratory_cd8_subset	WES_purity	78	-0.2169328087652045	0.05642333134714335	77.0	-0.1385848518409736	0.2325160003863006	-0.353010674039654	0.0896724829816541	-0.15072536313087181	0.19071532437472005	77.0		
