Term	n_genes
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION	518
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	26
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	330
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	8
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	7
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION	13
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	16
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	278
GOFOCUS__GOBP_PROTEIN_LOCALIZATION_TO_ADHERENS_JUNCTION	6
GOFOCUS__GOBP_PROTEIN_LOCALIZATION_TO_BICELLULAR_TIGHT_JUNCTION	6
GOFOCUS__GOBP_REGULATION_OF_ADHERENS_JUNCTION_ORGANIZATION	5
GOFOCUS__GOBP_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	27
GOFOCUS__GOBP_REGULATION_OF_CELL_ADHESION	821
GOFOCUS__GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	52
GOFOCUS__GOBP_REGULATION_OF_CELL_ADHESION_MOLECULE_PRODUCTION	9
GOFOCUS__GOBP_REGULATION_OF_CELL_CELL_ADHESION	507
GOFOCUS__GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	17
GOFOCUS__GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	12
GOFOCUS__GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION	24
GOFOCUS__GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	37
GOFOCUS__GOBP_TIGHT_JUNCTION_ORGANIZATION	105
GOFOCUS__GOCC_ADHERENS_JUNCTION	154
GOFOCUS__GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	57
GOFOCUS__GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_CELL_ADHESION	6
GOFOCUS__REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	40
GOFOCUS__REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	10
GOFOCUS__REACTOME_TIGHT_JUNCTION_INTERACTIONS	6
HALLMARK__HALLMARK_ADIPOGENESIS	200
HALLMARK__HALLMARK_ALLOGRAFT_REJECTION	192
HALLMARK__HALLMARK_ANDROGEN_RESPONSE	96
HALLMARK__HALLMARK_ANGIOGENESIS	36
HALLMARK__HALLMARK_APICAL_JUNCTION	199
HALLMARK__HALLMARK_APICAL_SURFACE	44
HALLMARK__HALLMARK_APOPTOSIS	161
HALLMARK__HALLMARK_BILE_ACID_METABOLISM	111
HALLMARK__HALLMARK_CHOLESTEROL_HOMEOSTASIS	71
HALLMARK__HALLMARK_COAGULATION	134
HALLMARK__HALLMARK_COMPLEMENT	185
HALLMARK__HALLMARK_DNA_REPAIR	148
HALLMARK__HALLMARK_E2F_TARGETS	199
HALLMARK__HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	194
HALLMARK__HALLMARK_ESTROGEN_RESPONSE_EARLY	197
HALLMARK__HALLMARK_ESTROGEN_RESPONSE_LATE	194
HALLMARK__HALLMARK_FATTY_ACID_METABOLISM	155
HALLMARK__HALLMARK_G2M_CHECKPOINT	195
HALLMARK__HALLMARK_GLYCOLYSIS	200
HALLMARK__HALLMARK_HEDGEHOG_SIGNALING	36
HALLMARK__HALLMARK_HEME_METABOLISM	189
HALLMARK__HALLMARK_HYPOXIA	199
HALLMARK__HALLMARK_IL2_STAT5_SIGNALING	199
HALLMARK__HALLMARK_IL6_JAK_STAT3_SIGNALING	85
HALLMARK__HALLMARK_INFLAMMATORY_RESPONSE	197
HALLMARK__HALLMARK_INTERFERON_ALPHA_RESPONSE	94
HALLMARK__HALLMARK_INTERFERON_GAMMA_RESPONSE	188
HALLMARK__HALLMARK_KRAS_SIGNALING_DN	194
HALLMARK__HALLMARK_KRAS_SIGNALING_UP	198
HALLMARK__HALLMARK_MITOTIC_SPINDLE	199
HALLMARK__HALLMARK_MTORC1_SIGNALING	199
HALLMARK__HALLMARK_MYC_TARGETS_V1	197
HALLMARK__HALLMARK_MYC_TARGETS_V2	58
HALLMARK__HALLMARK_MYOGENESIS	199
HALLMARK__HALLMARK_NOTCH_SIGNALING	32
HALLMARK__HALLMARK_OXIDATIVE_PHOSPHORYLATION	195
HALLMARK__HALLMARK_P53_PATHWAY	200
HALLMARK__HALLMARK_PANCREAS_BETA_CELLS	39
HALLMARK__HALLMARK_PEROXISOME	103
HALLMARK__HALLMARK_PI3K_AKT_MTOR_SIGNALING	105
HALLMARK__HALLMARK_PROTEIN_SECRETION	94
HALLMARK__HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	48
HALLMARK__HALLMARK_SPERMATOGENESIS	135
HALLMARK__HALLMARK_TGF_BETA_SIGNALING	53
HALLMARK__HALLMARK_TNFA_SIGNALING_VIA_NFKB	196
HALLMARK__HALLMARK_UNFOLDED_PROTEIN_RESPONSE	111
HALLMARK__HALLMARK_UV_RESPONSE_DN	144
HALLMARK__HALLMARK_UV_RESPONSE_UP	156
HALLMARK__HALLMARK_WNT_BETA_CATENIN_SIGNALING	42
HALLMARK__HALLMARK_XENOBIOTIC_METABOLISM	196
KEGG__ABC transporters	48
KEGG__AGE-RAGE signaling pathway in diabetic complications	101
KEGG__AMPK signaling pathway	126
KEGG__Acute myeloid leukemia	69
KEGG__Adherens junction	72
KEGG__Adipocytokine signaling pathway	71
KEGG__Adrenergic signaling in cardiomyocytes	148
KEGG__African trypanosomiasis	39
KEGG__Alanine, aspartate and glutamate metabolism	37
KEGG__Alcoholism	199
KEGG__Aldosterone synthesis and secretion	102
KEGG__Aldosterone-regulated sodium reabsorption	38
KEGG__Allograft rejection	63
KEGG__Alzheimer disease	175
KEGG__Amino sugar and nucleotide sugar metabolism	49
KEGG__Aminoacyl-tRNA biosynthesis	66
KEGG__Amoebiasis	106
KEGG__Amphetamine addiction	68
KEGG__Amyotrophic lateral sclerosis (ALS)	52
KEGG__Antigen processing and presentation	90
KEGG__Apelin signaling pathway	138
KEGG__Apoptosis	141
KEGG__Arachidonic acid metabolism	89
KEGG__Arginine and proline metabolism	50
KEGG__Arginine biosynthesis	19
KEGG__Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72
KEGG__Ascorbate and aldarate metabolism	27
KEGG__Asthma	25
KEGG__Autoimmune thyroid disease	78
KEGG__Autophagy	130
KEGG__Axon guidance	180
KEGG__B cell receptor signaling pathway	72
KEGG__Bacterial invasion of epithelial cells	74
KEGG__Basal cell carcinoma	63
KEGG__Basal transcription factors	43
KEGG__Base excision repair	35
KEGG__Bile secretion	72
KEGG__Biosynthesis of unsaturated fatty acids	32
KEGG__Bladder cancer	41
KEGG__Breast cancer	147
KEGG__Butanoate metabolism	27
KEGG__C-type lectin receptor signaling pathway	112
KEGG__Caffeine metabolism	6
KEGG__Calcium signaling pathway	189
KEGG__Carbohydrate digestion and absorption	43
KEGG__Cardiac muscle contraction	78
KEGG__Cell adhesion molecules (CAMs)	170
KEGG__Cell cycle	123
KEGG__Cellular senescence	185
KEGG__Central carbon metabolism in cancer	64
KEGG__Chagas disease (American trypanosomiasis)	103
KEGG__Chemical carcinogenesis	94
KEGG__Chemokine signaling pathway	197
KEGG__Cholesterol metabolism	49
KEGG__Choline metabolism in cancer	99
KEGG__Cholinergic synapse	113
KEGG__Chronic myeloid leukemia	76
KEGG__Circadian entrainment	99
KEGG__Circadian rhythm	30
KEGG__Citrate cycle (TCA cycle)	32
KEGG__Cocaine addiction	48
KEGG__Collecting duct acid secretion	27
KEGG__Colorectal cancer	88
KEGG__Complement and coagulation cascades	88
KEGG__Cortisol synthesis and secretion	69
KEGG__Cushing syndrome	159
KEGG__Cysteine and methionine metabolism	50
KEGG__Cytokine-cytokine receptor interaction	292
KEGG__Cytosolic DNA-sensing pathway	61
KEGG__DNA replication	35
KEGG__Dilated cardiomyopathy (DCM)	90
KEGG__Dopaminergic synapse	135
KEGG__Drug metabolism	114
KEGG__ECM-receptor interaction	83
KEGG__Endocrine and other factor-regulated calcium reabsorption	55
KEGG__Endocytosis	269
KEGG__Endometrial cancer	58
KEGG__Epstein-Barr virus infection	229
KEGG__ErbB signaling pathway	84
KEGG__Estrogen signaling pathway	134
KEGG__Ether lipid metabolism	47
KEGG__Fanconi anemia pathway	51
KEGG__Fat digestion and absorption	40
KEGG__Fatty acid biosynthesis	14
KEGG__Fatty acid degradation	50
KEGG__Fatty acid elongation	29
KEGG__Fc epsilon RI signaling pathway	68
KEGG__Fc gamma R-mediated phagocytosis	87
KEGG__Ferroptosis	40
KEGG__Fluid shear stress and atherosclerosis	143
KEGG__Focal adhesion	199
KEGG__Folate biosynthesis	26
KEGG__FoxO signaling pathway	132
KEGG__Fructose and mannose metabolism	35
KEGG__GABAergic synapse	90
KEGG__Galactose metabolism	32
KEGG__Gap junction	86
KEGG__Gastric acid secretion	74
KEGG__Gastric cancer	150
KEGG__Glioma	75
KEGG__Glucagon signaling pathway	102
KEGG__Glutamatergic synapse	114
KEGG__Glutathione metabolism	64
KEGG__Glycerolipid metabolism	61
KEGG__Glycerophospholipid metabolism	97
KEGG__Glycine, serine and threonine metabolism	40
KEGG__Glycolysis / Gluconeogenesis	67
KEGG__Glycosaminoglycan biosynthesis	53
KEGG__Glycosaminoglycan degradation	21
KEGG__Glycosphingolipid biosynthesis	45
KEGG__Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25
KEGG__Glyoxylate and dicarboxylate metabolism	31
KEGG__GnRH signaling pathway	90
KEGG__Graft-versus-host disease	64
KEGG__HIF-1 signaling pathway	104
KEGG__Hedgehog signaling pathway	44
KEGG__Hematopoietic cell lineage	94
KEGG__Hepatitis B	163
KEGG__Hepatitis C	160
KEGG__Hepatocellular carcinoma	171
KEGG__Herpes simplex virus 1 infection	433
KEGG__Hippo signaling pathway	159
KEGG__Histidine metabolism	24
KEGG__Homologous recombination	41
KEGG__Human T-cell leukemia virus 1 infection	245
KEGG__Human cytomegalovirus infection	255
KEGG__Human immunodeficiency virus 1 infection	238
KEGG__Human papillomavirus infection	360
KEGG__Huntington disease	192
KEGG__Hypertrophic cardiomyopathy (HCM)	86
KEGG__IL-17 signaling pathway	91
KEGG__Inflammatory bowel disease (IBD)	59
KEGG__Inflammatory mediator regulation of TRP channels	127
KEGG__Influenza A	168
KEGG__Inositol phosphate metabolism	73
KEGG__Insulin resistance	110
KEGG__Insulin secretion	86
KEGG__Insulin signaling pathway	139
KEGG__Intestinal immune network for IgA production	43
KEGG__JAK-STAT signaling pathway	164
KEGG__Kaposi sarcoma-associated herpesvirus infection	216
KEGG__Legionellosis	58
KEGG__Leishmaniasis	67
KEGG__Leukocyte transendothelial migration	115
KEGG__Linoleic acid metabolism	50
KEGG__Long-term depression	61
KEGG__Long-term potentiation	67
KEGG__Longevity regulating pathway	102
KEGG__Lysine degradation	59
KEGG__Lysosome	124
KEGG__MAPK signaling pathway	294
KEGG__Malaria	49
KEGG__Mannose type O-glycan biosynthesis	23
KEGG__Maturity onset diabetes of the young	27
KEGG__Measles	144
KEGG__Melanogenesis	100
KEGG__Melanoma	72
KEGG__Metabolism of xenobiotics by cytochrome P450	66
KEGG__MicroRNAs in cancer	281
KEGG__Mineral absorption	44
KEGG__Mismatch repair	22
KEGG__Mitophagy	63
KEGG__Morphine addiction	92
KEGG__Mucin type O-glycan biosynthesis	28
KEGG__N-Glycan biosynthesis	50
KEGG__NF-kappa B signaling pathway	102
KEGG__NOD-like receptor signaling pathway	205
KEGG__Natural killer cell mediated cytotoxicity	118
KEGG__Necroptosis	176
KEGG__Neomycin, kanamycin and gentamicin biosynthesis	5
KEGG__Neuroactive ligand-receptor interaction	348
KEGG__Neurotrophin signaling pathway	121
KEGG__Nicotinate and nicotinamide metabolism	36
KEGG__Nicotine addiction	40
KEGG__Nitrogen metabolism	17
KEGG__Non-alcoholic fatty liver disease (NAFLD)	151
KEGG__Non-homologous end-joining	13
KEGG__Non-small cell lung cancer	66
KEGG__Notch signaling pathway	49
KEGG__Nucleotide excision repair	43
KEGG__Olfactory transduction	1133
KEGG__One carbon pool by folate	19
KEGG__Oocyte meiosis	116
KEGG__Osteoclast differentiation	128
KEGG__Other glycan degradation	18
KEGG__Other types of O-glycan biosynthesis	22
KEGG__Ovarian steroidogenesis	57
KEGG__Oxidative phosphorylation	134
KEGG__Oxytocin signaling pathway	154
KEGG__PI3K-Akt signaling pathway	357
KEGG__PPAR signaling pathway	85
KEGG__Pancreatic cancer	75
KEGG__Pancreatic secretion	105
KEGG__Pantothenate and CoA biosynthesis	18
KEGG__Parathyroid hormone synthesis, secretion and action	107
KEGG__Parkinson disease	144
KEGG__Pathways in cancer	535
KEGG__Pentose and glucuronate interconversions	34
KEGG__Pentose phosphate pathway	32
KEGG__Peroxisome	84
KEGG__Pertussis	76
KEGG__Phagosome	180
KEGG__Phenylalanine metabolism	23
KEGG__Phenylalanine, tyrosine and tryptophan biosynthesis	8
KEGG__Phosphatidylinositol signaling system	98
KEGG__Phospholipase D signaling pathway	149
KEGG__Phosphonate and phosphinate metabolism	6
KEGG__Phototransduction	27
KEGG__Platelet activation	125
KEGG__Porphyrin and chlorophyll metabolism	41
KEGG__Primary bile acid biosynthesis	16
KEGG__Primary immunodeficiency	36
KEGG__Prion diseases	34
KEGG__Progesterone-mediated oocyte maturation	90
KEGG__Prolactin signaling pathway	72
KEGG__Propanoate metabolism	31
KEGG__Prostate cancer	97
KEGG__Proteasome	46
KEGG__Protein digestion and absorption	90
KEGG__Protein export	28
KEGG__Protein processing in endoplasmic reticulum	163
KEGG__Proteoglycans in cancer	203
KEGG__Proximal tubule bicarbonate reclamation	22
KEGG__Purine metabolism	136
KEGG__Pyrimidine metabolism	58
KEGG__Pyruvate metabolism	38
KEGG__RIG-I-like receptor signaling pathway	68
KEGG__RNA degradation	83
KEGG__RNA polymerase	28
KEGG__RNA transport	167
KEGG__Rap1 signaling pathway	209
KEGG__Ras signaling pathway	233
KEGG__Regulation of actin cytoskeleton	217
KEGG__Regulation of lipolysis in adipocytes	56
KEGG__Relaxin signaling pathway	131
KEGG__Renal cell carcinoma	68
KEGG__Renin secretion	76
KEGG__Renin-angiotensin system	36
KEGG__Retinol metabolism	91
KEGG__Retrograde endocannabinoid signaling	150
KEGG__Rheumatoid arthritis	84
KEGG__Riboflavin metabolism	8
KEGG__Ribosome	170
KEGG__Ribosome biogenesis in eukaryotes	115
KEGG__SNARE interactions in vesicular transport	33
KEGG__Salivary secretion	78
KEGG__Salmonella infection	78
KEGG__Selenocompound metabolism	17
KEGG__Serotonergic synapse	132
KEGG__Signaling pathways regulating pluripotency of stem cells	137
KEGG__Small cell lung cancer	92
KEGG__Sphingolipid metabolism	48
KEGG__Sphingolipid signaling pathway	124
KEGG__Spliceosome	132
KEGG__Staphylococcus aureus infection	95
KEGG__Starch and sucrose metabolism	33
KEGG__Steroid biosynthesis	19
KEGG__Steroid hormone biosynthesis	89
KEGG__Sulfur metabolism	9
KEGG__Sulfur relay system	8
KEGG__Synaptic vesicle cycle	77
KEGG__Synthesis and degradation of ketone bodies	11
KEGG__Systemic lupus erythematosus	143
KEGG__T cell receptor signaling pathway	101
KEGG__TGF-beta signaling pathway	91
KEGG__TNF signaling pathway	110
KEGG__Taste transduction	88
KEGG__Taurine and hypotaurine metabolism	11
KEGG__Terpenoid backbone biosynthesis	23
KEGG__Th1 and Th2 cell differentiation	87
KEGG__Th17 cell differentiation	102
KEGG__Thermogenesis	231
KEGG__Thiamine metabolism	15
KEGG__Thyroid cancer	37
KEGG__Thyroid hormone signaling pathway	115
KEGG__Thyroid hormone synthesis	73
KEGG__Tight junction	167
KEGG__Toll-like receptor signaling pathway	99
KEGG__Toxoplasmosis	108
KEGG__Transcriptional misregulation in cancer	183
KEGG__Tryptophan metabolism	48
KEGG__Tuberculosis	178
KEGG__Type I diabetes mellitus	69
KEGG__Type II diabetes mellitus	48
KEGG__Tyrosine metabolism	40
KEGG__Ubiquinone and other terpenoid-quinone biosynthesis	11
KEGG__Ubiquitin mediated proteolysis	138
KEGG__VEGF signaling pathway	58
KEGG__Valine, leucine and isoleucine degradation	56
KEGG__Vascular smooth muscle contraction	140
KEGG__Vasopressin-regulated water reabsorption	43
KEGG__Viral carcinogenesis	229
KEGG__Viral myocarditis	87
KEGG__Vitamin B6 metabolism	9
KEGG__Vitamin digestion and absorption	24
KEGG__Wnt signaling pathway	160
KEGG__alpha-Linolenic acid metabolism	25
KEGG__beta-Alanine metabolism	32
KEGG__cAMP signaling pathway	211
KEGG__cGMP-PKG signaling pathway	172
KEGG__mRNA surveillance pathway	96
KEGG__mTOR signaling pathway	154
KEGG__p53 signaling pathway	71
WIKI__ACE Inhibitor Pathway WP396	9
WIKI__Acetylcholine Synthesis WP175	7
WIKI__Adipogenesis genes WP447	134
WIKI__Aflatoxin B1 metabolism WP1262	5
WIKI__Alanine and aspartate metabolism WP240	15
WIKI__Alpha6-Beta4 Integrin Signaling Pathway WP488	67
WIKI__Alzheimers Disease WP2075	75
WIKI__Amino Acid metabolism WP662	95
WIKI__ApoE and miR-146 in inflammation and atherosclerosis WP3592	8
WIKI__Apoptosis Modulation by HSP70 WP166	17
WIKI__Apoptosis WP1254	81
WIKI__BMP Signaling Pathway in Eyelid Development WP3663	20
WIKI__Biogenic Amine Synthesis WP522	15
WIKI__Blood Clotting Cascade WP460	20
WIKI__Calcium Regulation in the Cardiac Cell WP553	147
WIKI__Chemokine signaling pathway WP2292	190
WIKI__Cholesterol Biosynthesis WP103	15
WIKI__Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	49
WIKI__Complement Activation, Classical Pathway WP200	17
WIKI__Complement and Coagulation Cascades WP449	62
WIKI__Cytokines and Inflammatory Response WP222	27
WIKI__Cytoplasmic Ribosomal Proteins WP163	92
WIKI__DNA Replication WP150	41
WIKI__Delta-Notch Signaling Pathway WP265	83
WIKI__Dopaminergic Neurogenesis WP1498	30
WIKI__Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling WP3855	26
WIKI__EBV LMP1 signaling WP1243	22
WIKI__EDA Signalling in Hair Follicle Development WP3652	18
WIKI__EGFR1 Signaling Pathway WP572	178
WIKI__EPO Receptor Signaling WP1249	26
WIKI__ESC Pluripotency Pathways WP339	118
WIKI__Eicosanoid Lipid Synthesis Map WP4335	9
WIKI__Eicosanoid Synthesis WP318	18
WIKI__Eicosanoid metabolism via Cyclo Oxygenases (COX) WP4347	31
WIKI__Eicosanoid metabolism via Cytochrome P450 Mono-Oxygenases (CYP) pathway WP4349	16
WIKI__Eicosanoid metabolism via Lipo Oxygenases (LOX) WP4348	32
WIKI__Electron Transport Chain WP295	103
WIKI__Endochondral Ossification WP1270	62
WIKI__ErbB signaling pathway WP1261	46
WIKI__Estrogen metabolism WP1264	14
WIKI__Estrogen signaling WP1244	77
WIKI__Ethanol metabolism resulting in production of ROS by CYP2E1 WP4265	10
WIKI__Eukaryotic Transcription Initiation WP567	43
WIKI__Exercise-induced Circadian Regulation WP544	49
WIKI__Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3675	31
WIKI__Fatty Acid Beta Oxidation WP1269	34
WIKI__Fatty Acid Biosynthesis WP336	22
WIKI__Fatty Acid Omega Oxidation WP33	7
WIKI__Fatty acid oxidation WP2318	10
WIKI__Focal Adhesion WP85	185
WIKI__Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	324
WIKI__Folic Acid Network WP1273	23
WIKI__G Protein Signaling Pathways WP232	92
WIKI__G1 to S cell cycle control WP413	61
WIKI__G13 Signaling Pathway WP298	39
WIKI__GPCRs, Class A Rhodopsin-like WP189	228
WIKI__GPCRs, Class B Secretin-like WP456	22
WIKI__GPCRs, Class C Metabotropic glutamate, pheromone WP327	15
WIKI__GPCRs, Other WP41	155
WIKI__Gene regulatory network modelling somitogenesis  WP2852	11
WIKI__Glucocorticoid & Mineralcorticoid Metabolism WP495	14
WIKI__Glucuronidation WP1241	16
WIKI__Glutathione and one carbon metabolism WP730	31
WIKI__Glutathione metabolism WP164	20
WIKI__Glycogen Metabolism WP317	34
WIKI__Glycolysis and Gluconeogenesis WP157	51
WIKI__Heart Development WP2067	44
WIKI__Hedgehog Signaling Pathway WP116	22
WIKI__Heme Biosynthesis WP18	9
WIKI__Hfe effect on hepcidin production WP3673	7
WIKI__Histone modifications WP300	5
WIKI__Homologous recombination WP1258	13
WIKI__Hypertrophy Model WP202	20
WIKI__Hypothetical Network for Drug Addiction WP1246	31
WIKI__IL-1 Signaling Pathway WP37	37
WIKI__IL-2 Signaling Pathway WP450	76
WIKI__IL-3 Signaling Pathway WP373	100
WIKI__IL-5 Signaling Pathway WP151	69
WIKI__IL-6 signaling Pathway WP387	99
WIKI__IL-7 Signaling Pathway WP297	44
WIKI__IL-9 Signaling Pathway WP10	24
WIKI__Id Signaling Pathway WP512	51
WIKI__Inflammatory Response Pathway WP458	30
WIKI__Insulin Signaling WP65	159
WIKI__Integrin-mediated Cell Adhesion WP6	100
WIKI__Irinotecan Pathway WP475	10
WIKI__Iron Homeostasis WP1596	15
WIKI__Keap1-Nrf2 WP1245	14
WIKI__Kennedy pathway WP1771	14
WIKI__Kit Receptor Signaling Pathway WP407	67
WIKI__Leptin Insulin Overlap WP578	18
WIKI__Leptin and adiponectin WP683	10
WIKI__Lung fibrosis WP3632	61
WIKI__MAPK Cascade WP251	28
WIKI__MAPK signaling pathway WP493	159
WIKI__Macrophage markers WP2271	10
WIKI__Matrix Metalloproteinases WP441	29
WIKI__Mecp2 and Associated Rett Syndrome WP2910	47
WIKI__Metapathway biotransformation WP1251	141
WIKI__Methylation WP1247	9
WIKI__MicroRNAs in Cardiomyocyte Hypertrophy WP1560	82
WIKI__Microglia Pathogen Phagocytosis Pathway WP3626	41
WIKI__Mismatch repair WP1257	9
WIKI__Mitochondrial Gene Expression WP1263	19
WIKI__Mitochondrial LC-Fatty Acid Beta-Oxidation WP401	16
WIKI__Monoamine GPCRs WP570	33
WIKI__Myometrial Relaxation and Contraction Pathways WP385	153
WIKI__NLR Proteins WP1256	9
WIKI__Neural Crest Differentiation WP2074	101
WIKI__Non-homologous end joining WP1242	6
WIKI__Non-odorant GPCRs WP1396	267
WIKI__Notch Signaling Pathway WP29	46
WIKI__Novel Jun-Dmp1 Pathway WP3654	26
WIKI__Nuclear Receptors WP509	38
WIKI__Nuclear receptors in lipid metabolism and toxicity WP431	30
WIKI__Nucleotide GPCRs WP207	12
WIKI__Nucleotide Metabolism WP87	19
WIKI__Odorant GPCRs WP1397	189
WIKI__One Carbon Metabolism WP435	29
WIKI__One carbon metabolism and related pathways WP1770	52
WIKI__Orphan GPCRs WP1398	19
WIKI__Osteoblast WP238	10
WIKI__Osteoclast WP454	14
WIKI__Ovarian Infertility Genes WP273	31
WIKI__Oxidation by Cytochrome P450 WP1274	40
WIKI__Oxidative Damage WP1496	42
WIKI__Oxidative Stress WP412	28
WIKI__Oxidative phosphorylation WP1248	62
WIKI__PPAR signaling pathway WP2316	81
WIKI__Parkinsons Disease Pathway WP3638	39
WIKI__Pentose Phosphate Pathway WP63	7
WIKI__Peptide GPCRs WP234	71
WIKI__PluriNetWork WP1763	292
WIKI__Primary Focal Segmental Glomerulosclerosis FSGS WP2573	72
WIKI__Prostaglandin Synthesis and Regulation WP374	31
WIKI__Proteasome Degradation WP519	52
WIKI__Ptf1a related regulatory pathway WP201	11
WIKI__Purine metabolism WP2185	171
WIKI__Regulation of Actin Cytoskeleton WP523	152
WIKI__Regulation of Cardiac Hypertrophy by miR-208 WP1526	6
WIKI__Retinol metabolism WP1259	39
WIKI__Robo4 and VEGF Signaling Pathways Crosstalk WP3864	6
WIKI__SIDS Susceptibility Pathways WP1266	61
WIKI__SREBF and miR33 in cholesterol and lipid homeostasis WP2084	11
WIKI__Selenium Micronutrient Network WP1272	23
WIKI__Selenium metabolism/Selenoproteins WP108	50
WIKI__Serotonin and anxiety WP2141	18
WIKI__Serotonin and anxiety-related events WP2140	13
