rank_pos_NES	cohort	n_genes_ranked	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	family
100	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.3545258156103809	1.325483511892078	0.08934426229508197	0.22305233469131933	0.7425	28/47	36.31%	Scarf1;Scarf2;Adgrl1;Nectin1;Sell;Cd6;Sele;Dchs1;Itgal;Cadm3;Crb2;Itga4;Ptprd;Tenm4;Nectin4;Colec10;Lgals1;Hmcn1;Crtam;Tenm3;Mcam;Itga5;Umod;Fat4;Cd24a;Amigo2;Cadm1;Amigo1	cell_adhesion
108	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	0.3349407048422182	1.2976885561785356	0.09352517985611511	0.24202159482635824	0.802	26/56	28.57%	Emilin1;Lamb2;Itga2b;Itgb7;Vtn;Itgae;Jam3;Lgals2;Ctla4;Itgb5;Itga10;Mmrn1;Itgal;Itgb2l;Itgb8;Lyn;Itgb2;Itga9;Itga4;Itga7;Itga3;Cd80;Lama1;Lgals1;Pmp22;Itgad	cell_adhesion
109	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.4349065514796339	1.2969981736020522	0.14736842105263157	0.22297433754657198	0.803	8/18	23.52%	Fermt3;Piezo1;Cxcl13;Cd3e;Ada;Ccl5;Skap1;Itga4	cell_adhesion
118	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.47570775762531864	1.2691458955527397	0.182546749777382	0.24330609325908603	0.848	7/12	22.85%	Fermt3;Piezo1;Cxcl13;Cd3e;Ada;Ccl5;Skap1	cell_adhesion
125	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.26280784901984533	1.236767231990827	0.07916102841677942	0.27059438002715974	0.8845	75/199	30.77%	Igsf9b;Cldn3;Mapk7;Lrfn4;Cdh24;Esam;Celsr1;Ric8a;Plxnb2;Scarf1;Scarf2;Mmp24;Clstn1;Adgrl1;Ntng2;Ptprf;Ptpn23;Celsr2;Elfn1;Ptprs;Elfn2;Taok2;Pcdhgc3;Pcdhga12;Pcdhga4;Nectin1;Mag;Nectin2;Sell;Sdk1;Cd6;Lrfn3;Cdh23;Il10;Gata5;Sele;Dchs1;Itgal;Chl1;Fgfrl1;Pcdh15;Cadm3;Map2k5;Dscam;Nrg1;Dscaml1;Pcdhb8;Epha3;Cdh5;Pcdhb6;Pcdhb14;Adipoq;Crb2;Itga4;Ptprd;Tenm4;Itga3;Nectin4;Colec10;Lrrc4c;Cdhr1;Lgals1;Hmcn1;Igsf9;Cdh22;Cx3cl1;Celsr3;Crtam;Tenm3;Lrrc4b;Mcam;Pcdh12;Itga5;Ajuba;Pecam1	cell_adhesion
145	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.3662324561326974	1.143165901549344	0.28413910093299405	0.4258644103206936	0.9655	10/22	26.29%	Piezo1;Ccl21a;Cxcl13;Cd3e;Lif;Ccl5;Syk;Cib1;Skap1;Nckap1l	cell_adhesion
152	GSE164758_GEMM_KL_KP_primary	19769	prerank	WIKI__Integrin-mediated Cell Adhesion WP6	0.25849305895817615	1.110852302137177	0.2516507703595011	0.6972941885460484	1.0	40/100	25.13%	Mapk7;Map2k2;Pik3r2;Bcar1;Capn10;Pak4;Csk;Arhgef7;Src;Tln1;Itga2b;Git2;Akt2;Itgb7;Grb2;Shc1;Akt1;Itgae;Capn1;Vasp;Zyx;Pxn;Itgb5;Itga10;Hras;Fyn;Rac2;Itgal;Rapgef1;Itgb8;Map2k5;Vav2;Itgb2;Capn6;Itga9;Itga4;Pak6;Itga7;Map2k1;Itga3	cell_adhesion
177	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.24688194086025533	1.0598677464132669	0.33011152416356876	0.6116682335735925	0.99	25/103	22.72%	Igsf9b;Cdh24;Esam;Celsr1;Plxnb2;Clstn1;Ptprf;Ptpn23;Celsr2;Pcdhgc3;Pcdhga4;Nectin1;Nectin2;Sdk1;Cdh23;Dchs1;Chl1;Pcdh15;Cadm3;Dscam;Dscaml1;Pcdhb8;Cdh5;Pcdhb6;Pcdhb14	cell_adhesion
222	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_EPITHELIAL_CELL_CELL_ADHESION	0.33802046732450425	0.9585785076413827	0.526919682259488	0.8861737361820317	1.0	3/15	5.31%	Kifc3;Camsap3;Srf	cell_adhesion
232	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.2538047073110124	0.940734178673026	0.5451664025356577	0.8924173311512702	1.0	19/46	26.29%	Fermt3;Piezo1;Lpxn;Ccl21a;Cxcl13;Tesc;Jam3;Cd3e;Lif;Ada;Ccl5;Lyn;Syk;Cib1;Skap1;Ptpn11;Muc1;Epha2;Nckap1l	cell_adhesion
256	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_CELL_CELL_ADHESION_INVOLVED_IN_GASTRULATION	0.3324932207718971	0.8764290637320526	0.6224580017683466	1.0	1.0	5/12	23.08%	Mapk7;Ric8a;Il10;Map2k5;Adipoq	cell_adhesion
266	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.24314266971245405	0.8548236640698327	0.7063048683160414	1.0	1.0	17/35	37.49%	Cdh24;Pcdhgc3;Pcdhga12;Sell;Cdh23;Cdh5;Cdh22;Pcdh12;Ajuba;Arvcf;Pcdh18;Pcdh1;Pcdhb16;Cdh13;Cdh18;Cdh20;Cdh12	cell_adhesion
267	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_POSITIVE_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION	0.3157976285587312	0.853630575999098	0.6678865507776761	0.995187854730318	1.0	7/13	30.50%	Lck;Flot1;Fgg;Skap1;Ager;Il1b;Tnf	cell_adhesion
268	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_HOMOTYPIC_CELL_CELL_ADHESION	0.20450248226298556	0.8522356259391002	0.7520661157024794	0.9530896555653685	1.0	30/89	27.19%	Fermt3;Bloc1s4;Vps33b;Pip5k1c;Tyro3;Emilin2;Pear1;Jup;Ccm2l;Tspan9;Prkcq;Stxbp1;Megf11;Mmrn1;Ccl5;F2rl3;Lyn;Tubb1;Cfh;Fgg;Syk;Sh2b3;Zfp703;Ptpru;Il6;Ank3;Map2k1;Ubash3a;C1qtnf1;Lgals1	cell_adhesion
270	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION	0.2627288963190588	0.8321149525565742	0.7070008643042351	0.9553463318481782	1.0	9/24	23.22%	Mapk7;Lck;Flot1;Il10;Map2k5;Fgg;Skap1;Adipoq;Ager	cell_adhesion
277	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_HETEROTYPIC_CELL_CELL_ADHESION	0.20145902837721208	0.7825561842100264	0.8432956381260097	0.9990946759984679	1.0	19/56	24.52%	Mapk7;Ninj1;Jup;Itgb7;Thy1;Lck;Flot1;Jam3;Il10;Madcam1;Itgb2l;Map2k5;Fgg;Itgb2;Skap1;Adipoq;Ager;Itga4;Itga7	cell_adhesion
285	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	0.21270338806993827	0.7478143631496912	0.8557046979865772	1.0	1.0	17/37	29.41%	Vps33b;Emilin2;Ccm2l;Prkcq;Mmrn1;Ccl5;Lyn;Syk;Sh2b3;Zfp703;Il6;Ank3;Map2k1;C1qtnf1;Lgals1;Serpine2;Tnfsf11	cell_adhesion
290	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.2511146936476895	0.7270118300566306	0.8352322524101665	0.9832590056971128	1.0	11/16	35.22%	Notch4;Notch1;Flot1;Mad2l2;Ppm1f;Ptpru;Vegfa;Wnt5a;Bmp6;Epcam;Wnt3a	cell_adhesion
296	GSE164758_GEMM_KL_KP_primary	19769	prerank	CURATED__CLAUDIN_FAMILY	0.2131466359145277	0.6865777405895483	0.9049657534246576	0.9049657534246576	0.5285	2/23	2.07%	Cldn3;Cldn7	claudin_family
301	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_CELL_ADHESION_MOLECULE_PRODUCTION	0.2520069851382597	0.665557364324229	0.8977973568281938	0.9908670605212964	1.0	3/12	20.66%	Notch4;Notch1;Fut7	cell_adhesion
310	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.15727373055730984	0.5642473707028075	0.9893267651888341	0.988718270134754	1.0	6/38	15.64%	Cdh24;Jup;Nectin1;Nectin2;Actg1;Actb	cell_adhesion
