contrast	gse	arm	species	gene_set	n_set	n_bg	auc	p_up	p_two	med_set	med_bg	mean_set	mean_bg	delta_med	delta_score	perm_p_up	perm_p_two	n_perm	exact
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	REACTOME_IFN_ALPHA_BETA	68	21520	0.49668	0.53791	0.9242	0.0	0.0	0.02584	-0.01158	0.0					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	REACTOME_MHC1_PEPTIDE_LOADING	28	21560	0.54944	0.18134	0.36267	0.04508	0.0	0.0098	-0.01149	0.04508					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	CTRL_HALLMARK_MYC_V1	190	21398	0.56435	0.00105	0.0021	0.03421	0.0	0.02603	-0.0118	0.03421					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	CTRL_HALLMARK_OXPHOS	191	21397	0.67864	0.0	0.0	0.12025	0.0	0.12158	-0.01265	0.12025					
GSE274940_EpH4	GSE274940	CLDN4	mouse	USER_CORE6	7	20378	0.58147	0.22769	0.45538	0.04694	-0.00235	0.06084	0.00046	0.04929	0.41072	0.3	0.6	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	ISG_CORE	32	20353	0.39958	0.97536	0.04928	-0.07628	-0.00221	-0.17781	0.00076	-0.07407	-0.21301	0.75	0.6	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	MHC1_APM	21	20364	0.46866	0.6905	0.61903	-0.02342	-0.00227	-0.19047	0.00068	-0.02115	-0.08286	0.55	1.0	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	HALLMARK_IFN_ALPHA	86	20299	0.44033	0.97211	0.05578	-0.02264	-0.0022	-0.15781	0.00115	-0.02044	-0.1209	0.75	0.6	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	HALLMARK_IFN_GAMMA	154	20231	0.45843	0.96249	0.07503	-0.02484	-0.0022	-0.12088	0.00141	-0.02264	-0.10727	0.85	0.4	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	REACTOME_IFN_ALPHA_BETA	56	20329	0.50205	0.4788	0.95759	0.03514	-0.00247	-0.1084	0.00078	0.03761	0.08277	0.25	0.5	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	REACTOME_MHC1_PEPTIDE_LOADING	28	20357	0.49686	0.52294	0.95414	-0.02963	-0.00226	0.00144	0.00048	-0.02737	-0.01604	0.6	0.9	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	CTRL_HALLMARK_MYC_V1	197	20188	0.57917	6e-05	0.00013	0.07986	-0.00333	0.09147	-0.00041	0.08319	0.2371	0.3	0.6	20.0	True
GSE274940_EpH4	GSE274940	CLDN4	mouse	CTRL_HALLMARK_OXPHOS	182	20203	0.52256	0.14694	0.29388	0.02189	-0.00247	0.0083	0.00041	0.02436	0.06576	0.3	0.6	20.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	USER_CORE6	8	18036	0.59837	0.17088	0.34176	0.09859	-0.0084	0.07213	-0.04225	0.10699	0.18388	0.31746	0.63492	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	ISG_CORE	35	18009	0.6075	0.01387	0.02775	0.11792	-0.00861	0.10623	-0.04249	0.12653	0.24315	0.2619	0.52381	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	MHC1_APM	21	18023	0.66403	0.00463	0.00926	0.1398	-0.00875	0.14789	-0.04243	0.14855	0.36238	0.1627	0.3254	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	HALLMARK_IFN_ALPHA	93	17951	0.607	0.00018	0.00036	0.09397	-0.00888	0.11506	-0.04302	0.10285	0.24373	0.20635	0.4127	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	HALLMARK_IFN_GAMMA	186	17858	0.62191	0.0	0.0	0.12008	-0.0095	0.13062	-0.044	0.12958	0.29526	0.10714	0.21429	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	REACTOME_IFN_ALPHA_BETA	59	17985	0.55952	0.05692	0.11384	0.06436	-0.00861	0.04765	-0.0425	0.07297	0.13958	0.29762	0.59524	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	REACTOME_MHC1_PEPTIDE_LOADING	28	18016	0.58868	0.05217	0.10434	0.08549	-0.00864	0.07159	-0.04238	0.09413	0.22862	0.21825	0.43651	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	CTRL_HALLMARK_MYC_V1	195	17849	0.43325	0.99934	0.00132	-0.08532	-0.00706	-0.06873	-0.04191	-0.07826	-0.19143	0.67063	0.66667	252.0	True
GSE334497_4T1	GSE334497	TACSTD2	mouse	CTRL_HALLMARK_OXPHOS	182	17862	0.45905	0.97156	0.05688	-0.05532	-0.00789	-0.04977	-0.04213	-0.04743	-0.1402	0.61508	0.77778	252.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	USER_CORE6	6	26247	0.97945	2e-05	5e-05	0.86139	0.0	0.89767	0.00271	0.86139	1.01062	0.11429	0.2	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	ISG_CORE	40	26213	0.90456	0.0	0.0	0.68391	0.0	0.6539	0.00192	0.68391	0.81839	0.14286	0.25714	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	MHC1_APM	21	26232	0.60567	0.04671	0.09341	0.14839	0.0	0.10974	0.00283	0.14839	0.18858	0.37143	0.74286	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	HALLMARK_IFN_ALPHA	95	26158	0.68643	0.0	0.0	0.24397	0.0	0.27132	0.00194	0.24397	0.38057	0.2	0.45714	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	HALLMARK_IFN_GAMMA	185	26068	0.57721	0.00014	0.00029	0.06468	0.0	0.11743	0.0021	0.06468	0.15493	0.37143	0.68571	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	REACTOME_IFN_ALPHA_BETA	63	26190	0.68709	0.0	0.0	0.36109	0.0	0.30828	0.00218	0.36109	0.30526	0.2	0.37143	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	REACTOME_MHC1_PEPTIDE_LOADING	29	26224	0.57561	0.0792	0.15841	0.07671	0.0	0.07121	0.00284	0.07671	0.1471	0.31429	0.62857	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	CTRL_HALLMARK_MYC_V1	194	26059	0.42182	0.99991	0.00017	-0.0851	0.0	-0.08014	0.00353	-0.0851	-0.29483	0.97143	0.08571	35.0	True
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	CTRL_HALLMARK_OXPHOS	181	26072	0.46449	0.95052	0.09897	-0.05903	0.0	-0.04836	0.00327	-0.05903	-0.12312	0.71429	0.6	35.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	USER_CORE6	6	25891	0.12193	0.99933	0.00134	-0.57141	-0.09258	-1.31014	-0.12228	-0.47883	-1.75826	1.0	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	ISG_CORE	38	25859	0.15803	1.0	0.0	-0.60143	-0.09229	-0.75995	-0.12162	-0.50913	-1.60679	1.0	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	MHC1_APM	21	25876	0.29903	0.99929	0.00143	-0.40168	-0.09255	-0.58472	-0.12218	-0.30913	-1.09218	1.0	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	HALLMARK_IFN_ALPHA	92	25805	0.24918	1.0	0.0	-0.50229	-0.09203	-0.5664	-0.12098	-0.41027	-1.31522	1.0	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	HALLMARK_IFN_GAMMA	158	25739	0.3159	1.0	0.0	-0.41879	-0.09193	-0.47852	-0.12037	-0.32686	-1.01459	1.0	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	REACTOME_IFN_ALPHA_BETA	60	25837	0.28039	1.0	0.0	-0.43273	-0.09229	-0.59207	-0.12147	-0.34044	-1.18384	1.0	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	REACTOME_MHC1_PEPTIDE_LOADING	28	25869	0.37302	0.99	0.02001	-0.29931	-0.09256	-0.3769	-0.12228	-0.20675	-1.01066	1.0	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	CTRL_HALLMARK_MYC_V1	199	25698	0.91665	0.0	0.0	0.60675	-0.09474	0.67328	-0.12872	0.70149	1.58162	0.05	0.1	20.0	True
GSE245459_SKOV3	GSE245459	TACSTD2	human	CTRL_HALLMARK_OXPHOS	197	25700	0.62358	0.0	0.0	0.07502	-0.09324	0.07133	-0.12404	0.16826	0.2126	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	USER_CORE6	6	25992	0.6512	0.09978	0.19957	0.27816	0.02437	0.20886	0.04489	0.25379	0.87427	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	ISG_CORE	37	25961	0.75481	0.0	0.0	0.40558	0.02421	0.48262	0.04431	0.38137	1.22512	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	MHC1_APM	21	25977	0.68812	0.00142	0.00284	0.39691	0.0243	0.3079	0.04472	0.37261	0.87948	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	HALLMARK_IFN_ALPHA	89	25909	0.67091	0.0	0.0	0.31982	0.0239	0.32763	0.04396	0.29592	0.82592	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	HALLMARK_IFN_GAMMA	155	25843	0.56523	0.00252	0.00503	0.10454	0.02422	0.17127	0.04417	0.08032	0.35119	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	REACTOME_IFN_ALPHA_BETA	60	25938	0.58907	0.00849	0.01698	0.1702	0.02427	0.17006	0.04464	0.14593	0.44177	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	REACTOME_MHC1_PEPTIDE_LOADING	28	25970	0.60651	0.02552	0.05103	0.11173	0.02432	0.16982	0.0448	0.08741	0.62279	0.05	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	CTRL_HALLMARK_MYC_V1	199	25799	0.15508	1.0	0.0	-0.46045	0.02705	-0.49728	0.04911	-0.48751	-1.51897	1.0	0.1	20.0	True
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	CTRL_HALLMARK_OXPHOS	197	25801	0.50036	0.49302	0.98605	0.02811	0.02441	0.04482	0.04493	0.00371	0.09468	0.1	0.2	20.0	True
