contrast	arm	species	gene	log2FC	p	present
GSE207704_MCF7	CLDN4	human	SP110	1.008		1
GSE207704_MCF7	CLDN4	human	STAT1	-0.054		1
GSE207704_MCF7	CLDN4	human	STAT2	-0.295		1
GSE207704_MCF7	CLDN4	human	TAP1			0
GSE207704_MCF7	CLDN4	human	TAP2			0
GSE207704_MCF7	CLDN4	human	TAPBP			0
GSE207704_MCF7	CLDN4	human	USP18	-0.415		1
GSE207704_MCF7	CLDN4	human	XAF1			0
GSE22493_SKOV3	CLDN4	human	B2M	-1.17	0.56429	1
GSE22493_SKOV3	CLDN4	human	BST2	-0.232	0.73861	1
GSE22493_SKOV3	CLDN4	human	CALR	0.236	0.41866	1
GSE22493_SKOV3	CLDN4	human	CANX	-0.592	0.50418	1
GSE22493_SKOV3	CLDN4	human	CLDN4	-1.225	0.252	1
GSE22493_SKOV3	CLDN4	human	CMPK2			0
GSE22493_SKOV3	CLDN4	human	DDX58	-1.448	0.32267	1
GSE22493_SKOV3	CLDN4	human	DTX3L			0
GSE22493_SKOV3	CLDN4	human	EPSTI1	-0.936	0.34299	1
GSE22493_SKOV3	CLDN4	human	ERAP1			0
GSE22493_SKOV3	CLDN4	human	ERAP2			0
GSE22493_SKOV3	CLDN4	human	HERC5	0.529	0.41367	1
GSE22493_SKOV3	CLDN4	human	HERC6	0.102	0.37833	1
GSE22493_SKOV3	CLDN4	human	HLA-A	-0.846	0.41183	1
GSE22493_SKOV3	CLDN4	human	HLA-B	-0.45	0.77825	1
GSE22493_SKOV3	CLDN4	human	HLA-C	-0.482	0.59487	1
GSE22493_SKOV3	CLDN4	human	HLA-E	0.371	0.74603	1
GSE22493_SKOV3	CLDN4	human	HLA-F	-0.688	0.53861	1
GSE22493_SKOV3	CLDN4	human	IFI27	-0.708	0.72891	1
GSE22493_SKOV3	CLDN4	human	IFI44	-1.679	0.12015	1
GSE22493_SKOV3	CLDN4	human	IFI44L			0
GSE22493_SKOV3	CLDN4	human	IFI6	0.061	0.9176	1
GSE22493_SKOV3	CLDN4	human	IFIH1	-0.929	0.06066	1
GSE22493_SKOV3	CLDN4	human	IFIT1	-2.026	0.05539	1
GSE22493_SKOV3	CLDN4	human	IFIT2	-0.388	0.74333	1
GSE22493_SKOV3	CLDN4	human	IFIT3	-0.014	0.98596	1
GSE22493_SKOV3	CLDN4	human	IFIT5	-0.006	0.95486	1
GSE22493_SKOV3	CLDN4	human	IFITM1			0
GSE22493_SKOV3	CLDN4	human	IFITM2	1.076	0.34443	1
GSE22493_SKOV3	CLDN4	human	IFITM3			0
GSE22493_SKOV3	CLDN4	human	IRF1	-0.243	0.61294	1
GSE22493_SKOV3	CLDN4	human	IRF7	0.273	0.32422	1
GSE22493_SKOV3	CLDN4	human	IRF9			0
GSE22493_SKOV3	CLDN4	human	ISG15	0.483	0.62004	1
GSE22493_SKOV3	CLDN4	human	LY6E	-0.103	0.94668	1
GSE22493_SKOV3	CLDN4	human	MX1	0.358	0.5594	1
GSE22493_SKOV3	CLDN4	human	MX2			0
GSE22493_SKOV3	CLDN4	human	NLRC5			0
GSE22493_SKOV3	CLDN4	human	OAS1	0.227	0.6697	1
GSE22493_SKOV3	CLDN4	human	OAS2	0.879	0.46185	1
GSE22493_SKOV3	CLDN4	human	OAS3	0.481	0.40537	1
GSE22493_SKOV3	CLDN4	human	OASL	-0.706	0.72733	1
GSE22493_SKOV3	CLDN4	human	PARP9	0.05	0.72486	1
GSE22493_SKOV3	CLDN4	human	PDIA3			0
GSE22493_SKOV3	CLDN4	human	PLSCR1			0
GSE22493_SKOV3	CLDN4	human	PSMB10	-0.084	0.67099	1
GSE22493_SKOV3	CLDN4	human	PSMB8	0.417	0.35175	1
GSE22493_SKOV3	CLDN4	human	PSMB9	1.9	0.09144	1
GSE22493_SKOV3	CLDN4	human	PSME1	-0.812	0.42773	1
GSE22493_SKOV3	CLDN4	human	PSME2	0.36	0.55996	1
GSE22493_SKOV3	CLDN4	human	RSAD2			0
GSE22493_SKOV3	CLDN4	human	SAMD9	0.003	0.99572	1
GSE22493_SKOV3	CLDN4	human	SAMD9L			0
GSE22493_SKOV3	CLDN4	human	SP100	2.105	0.05747	1
GSE22493_SKOV3	CLDN4	human	SP110	-0.265	0.7235	1
GSE22493_SKOV3	CLDN4	human	STAT1	0.472	0.14864	1
GSE22493_SKOV3	CLDN4	human	STAT2	-0.474	0.15566	1
GSE22493_SKOV3	CLDN4	human	TAP1	-0.34	0.82486	1
GSE22493_SKOV3	CLDN4	human	TAP2	-1.261	0.29846	1
GSE22493_SKOV3	CLDN4	human	TAPBP	-0.458	0.49445	1
GSE22493_SKOV3	CLDN4	human	USP18	0.632	0.79674	1
GSE22493_SKOV3	CLDN4	human	XAF1			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	B2m	0.655	0.00093	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Bst2	0.442	0.00469	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Calr	0.605	2e-05	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Canx	0.119	0.39484	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Cldn4	-6.061	0.0	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Cmpk2	0.209	0.27034	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ddx58	0.159	0.27318	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Dtx3l	0.408	0.00357	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Epsti1	0.048	0.88367	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Erap1	0.317	0.03269	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	H2-D1	0.355	0.06687	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	H2-K1	-0.071	0.72403	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	H2-L			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	H2-Q6	0.268	0.23696	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	H2-Q7	-0.553	0.0618	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	H2-T23	1.045	0.0	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Herc5			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Herc6	0.055	0.79734	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifi27			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifi27l2a	0.624	0.01629	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifi27l2b	-0.652	0.60572	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifi44	0.749	0.00084	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifi44l	0.498	0.29709	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifi6			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifih1	0.056	0.70093	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifit1	0.576	0.00072	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifit2	-0.369	0.01287	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifit3	-0.207	0.31564	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifit5			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifitm1	0.528	0.00028	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifitm2	0.293	0.03962	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ifitm3	0.471	0.00086	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Irf1	0.382	0.01473	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Irf7	0.227	0.32911	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Irf9	0.388	0.00961	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Isg15	1.075	4e-05	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Lnpep	-0.262	0.07669	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Ly6e	0.548	0.00167	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Mx1	0.627	0.11907	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Mx2	0.236	0.54332	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Nlrc5	0.748	0.00417	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Oas1			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Oas2	1.489	2e-05	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Oas3	1.816	2e-05	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Oasl			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Parp9	0.246	0.0909	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Pdia3	0.195	0.16483	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Plscr1	0.152	0.32832	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Psmb10	0.368	0.01432	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Psmb8	0.432	0.02617	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Psmb9	0.902	0.00109	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Psme1	0.199	0.17948	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Psme2	0.239	0.14503	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Rigi			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Rsad2	1.198	0.01614	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Samd9			0
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Samd9l	-0.624	8e-05	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Sp100	-0.095	0.55356	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Sp110	-0.215	0.31507	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Stat1	0.391	0.02623	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Stat2	0.446	0.00283	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Tap1	0.184	0.44139	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Tap2	-0.009	0.96293	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Tapbp	0.105	0.47151	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Usp18	0.12	0.5298	1
GSE50927_Cldn4lungWTvsKO	CLDN4	mouse	Xaf1	0.437	0.00233	1
GSE50927_VILIwtkohi	CLDN4	mouse	B2m	0.315	0.14242	1
GSE50927_VILIwtkohi	CLDN4	mouse	Bst2	0.557	0.02559	1
GSE50927_VILIwtkohi	CLDN4	mouse	Calr	0.262	0.17052	1
GSE50927_VILIwtkohi	CLDN4	mouse	Canx	-0.228	0.23024	1
GSE50927_VILIwtkohi	CLDN4	mouse	Cldn4	-10.162	0.0	1
GSE50927_VILIwtkohi	CLDN4	mouse	Cmpk2	0.177	0.5925	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ddx58	-0.07	0.75733	1
GSE50927_VILIwtkohi	CLDN4	mouse	Dtx3l	0.041	0.88519	1
GSE50927_VILIwtkohi	CLDN4	mouse	Epsti1	0.199	0.66051	1
GSE50927_VILIwtkohi	CLDN4	mouse	Erap1	-0.076	0.71893	1
GSE50927_VILIwtkohi	CLDN4	mouse	H2-D1	0.261	0.19724	1
GSE50927_VILIwtkohi	CLDN4	mouse	H2-K1	0.08	0.72639	1
GSE50927_VILIwtkohi	CLDN4	mouse	H2-L			0
GSE50927_VILIwtkohi	CLDN4	mouse	H2-Q6	0.602	0.02776	1
GSE50927_VILIwtkohi	CLDN4	mouse	H2-Q7	0.191	0.62481	1
GSE50927_VILIwtkohi	CLDN4	mouse	H2-T23	0.652	0.00175	1
GSE50927_VILIwtkohi	CLDN4	mouse	Herc5			0
GSE50927_VILIwtkohi	CLDN4	mouse	Herc6	-0.189	0.59143	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifi27			0
GSE50927_VILIwtkohi	CLDN4	mouse	Ifi27l2a	0.941	0.01376	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifi27l2b	-4.644	0.0406	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifi44	-0.149	0.7596	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifi44l	2.322	0.149	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifi6			0
GSE50927_VILIwtkohi	CLDN4	mouse	Ifih1	-0.375	0.10746	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifit1	-0.125	0.72693	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifit2	-0.404	0.12533	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifit3	-0.316	0.30063	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifit5			0
GSE50927_VILIwtkohi	CLDN4	mouse	Ifitm1	0.533	0.01743	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifitm2	0.325	0.09827	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ifitm3	0.355	0.07808	1
GSE50927_VILIwtkohi	CLDN4	mouse	Irf1	0.833	0.00014	1
GSE50927_VILIwtkohi	CLDN4	mouse	Irf7	-0.086	0.78601	1
GSE50927_VILIwtkohi	CLDN4	mouse	Irf9	0.103	0.65972	1
GSE50927_VILIwtkohi	CLDN4	mouse	Isg15	1.13	0.02019	1
GSE50927_VILIwtkohi	CLDN4	mouse	Lnpep	-0.433	0.06771	1
GSE50927_VILIwtkohi	CLDN4	mouse	Ly6e	0.995	1e-05	1
GSE50927_VILIwtkohi	CLDN4	mouse	Mx1	0.081	1.0	1
GSE50927_VILIwtkohi	CLDN4	mouse	Mx2	-0.767	0.22053	1
GSE50927_VILIwtkohi	CLDN4	mouse	Nlrc5	0.726	0.04724	1
GSE50927_VILIwtkohi	CLDN4	mouse	Oas1			0
GSE50927_VILIwtkohi	CLDN4	mouse	Oas2	0.169	0.79298	1
GSE50927_VILIwtkohi	CLDN4	mouse	Oas3	1.551	0.0009	1
GSE50927_VILIwtkohi	CLDN4	mouse	Oasl			0
GSE50927_VILIwtkohi	CLDN4	mouse	Parp9	-0.221	0.39561	1
GSE50927_VILIwtkohi	CLDN4	mouse	Pdia3	-0.04	0.83519	1
GSE50927_VILIwtkohi	CLDN4	mouse	Plscr1	0.453	0.05352	1
GSE50927_VILIwtkohi	CLDN4	mouse	Psmb10	0.344	0.20917	1
GSE50927_VILIwtkohi	CLDN4	mouse	Psmb8	0.442	0.06666	1
GSE50927_VILIwtkohi	CLDN4	mouse	Psmb9	0.136	0.65467	1
GSE50927_VILIwtkohi	CLDN4	mouse	Psme1	0.152	0.49053	1
GSE50927_VILIwtkohi	CLDN4	mouse	Psme2	0.257	0.36503	1
GSE50927_VILIwtkohi	CLDN4	mouse	Rigi			0
GSE50927_VILIwtkohi	CLDN4	mouse	Rsad2	1.714	0.00076	1
GSE50927_VILIwtkohi	CLDN4	mouse	Samd9			0
GSE50927_VILIwtkohi	CLDN4	mouse	Samd9l	-0.618	0.02318	1
GSE50927_VILIwtkohi	CLDN4	mouse	Sp100	0.252	0.30719	1
GSE50927_VILIwtkohi	CLDN4	mouse	Sp110	0.321	0.32577	1
GSE50927_VILIwtkohi	CLDN4	mouse	Stat1	0.212	0.32439	1
GSE50927_VILIwtkohi	CLDN4	mouse	Stat2	-0.078	0.76707	1
GSE50927_VILIwtkohi	CLDN4	mouse	Tap1	0.006	0.98907	1
GSE50927_VILIwtkohi	CLDN4	mouse	Tap2	-0.106	0.6147	1
GSE50927_VILIwtkohi	CLDN4	mouse	Tapbp	0.229	0.24489	1
GSE50927_VILIwtkohi	CLDN4	mouse	Usp18	0.278	0.36922	1
GSE50927_VILIwtkohi	CLDN4	mouse	Xaf1	-0.157	0.46655	1
GSE50927_VILIwtkolo	CLDN4	mouse	B2m	0.118	0.49658	1
GSE50927_VILIwtkolo	CLDN4	mouse	Bst2	0.289	0.15208	1
GSE50927_VILIwtkolo	CLDN4	mouse	Calr	0.353	0.04515	1
GSE50927_VILIwtkolo	CLDN4	mouse	Canx	0.052	0.77221	1
GSE50927_VILIwtkolo	CLDN4	mouse	Cldn4	-12.693	0.0	1
GSE50927_VILIwtkolo	CLDN4	mouse	Cmpk2	-0.098	0.74459	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ddx58	-0.047	0.80524	1
GSE50927_VILIwtkolo	CLDN4	mouse	Dtx3l	-0.075	0.74696	1
GSE50927_VILIwtkolo	CLDN4	mouse	Epsti1	-0.341	0.4063	1
GSE50927_VILIwtkolo	CLDN4	mouse	Erap1	-0.201	0.29565	1
GSE50927_VILIwtkolo	CLDN4	mouse	H2-D1	0.039	0.82804	1
GSE50927_VILIwtkolo	CLDN4	mouse	H2-K1	-0.193	0.29119	1
GSE50927_VILIwtkolo	CLDN4	mouse	H2-L			0
GSE50927_VILIwtkolo	CLDN4	mouse	H2-Q6	0.152	0.43597	1
GSE50927_VILIwtkolo	CLDN4	mouse	H2-Q7	-0.564	0.10663	1
GSE50927_VILIwtkolo	CLDN4	mouse	H2-T23	0.444	0.01351	1
GSE50927_VILIwtkolo	CLDN4	mouse	Herc5			0
GSE50927_VILIwtkolo	CLDN4	mouse	Herc6	-0.07	0.81592	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifi27			0
GSE50927_VILIwtkolo	CLDN4	mouse	Ifi27l2a	-0.209	0.61034	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifi27l2b	-0.771	0.56828	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifi44	-0.667	0.09585	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifi44l	0.918	0.69851	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifi6			0
GSE50927_VILIwtkolo	CLDN4	mouse	Ifih1	-0.339	0.1181	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifit1	-0.285	0.31552	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifit2	-0.323	0.15925	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifit3	-0.641	0.00824	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifit5			0
GSE50927_VILIwtkolo	CLDN4	mouse	Ifitm1	0.237	0.22765	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifitm2	0.282	0.11677	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ifitm3	0.156	0.37707	1
GSE50927_VILIwtkolo	CLDN4	mouse	Irf1	0.338	0.11035	1
GSE50927_VILIwtkolo	CLDN4	mouse	Irf7	-0.102	0.72334	1
GSE50927_VILIwtkolo	CLDN4	mouse	Irf9	-0.157	0.54128	1
GSE50927_VILIwtkolo	CLDN4	mouse	Isg15	0.633	0.18705	1
GSE50927_VILIwtkolo	CLDN4	mouse	Lnpep	-0.226	0.22504	1
GSE50927_VILIwtkolo	CLDN4	mouse	Ly6e	0.87	1e-05	1
GSE50927_VILIwtkolo	CLDN4	mouse	Mx1	0.15	0.88567	1
GSE50927_VILIwtkolo	CLDN4	mouse	Mx2	-0.11	0.90685	1
GSE50927_VILIwtkolo	CLDN4	mouse	Nlrc5	0.115	0.70405	1
GSE50927_VILIwtkolo	CLDN4	mouse	Oas1			0
GSE50927_VILIwtkolo	CLDN4	mouse	Oas2	-0.169	0.7757	1
GSE50927_VILIwtkolo	CLDN4	mouse	Oas3	0.168	0.81858	1
GSE50927_VILIwtkolo	CLDN4	mouse	Oasl			0
GSE50927_VILIwtkolo	CLDN4	mouse	Parp9	-0.281	0.18872	1
GSE50927_VILIwtkolo	CLDN4	mouse	Pdia3	0.063	0.71583	1
GSE50927_VILIwtkolo	CLDN4	mouse	Plscr1	0.26	0.17191	1
GSE50927_VILIwtkolo	CLDN4	mouse	Psmb10	0.064	0.80082	1
GSE50927_VILIwtkolo	CLDN4	mouse	Psmb8	-0.058	0.7984	1
GSE50927_VILIwtkolo	CLDN4	mouse	Psmb9	-0.056	0.84736	1
GSE50927_VILIwtkolo	CLDN4	mouse	Psme1	-0.009	0.9662	1
GSE50927_VILIwtkolo	CLDN4	mouse	Psme2	0.048	0.86029	1
GSE50927_VILIwtkolo	CLDN4	mouse	Rigi			0
GSE50927_VILIwtkolo	CLDN4	mouse	Rsad2	1.02	0.01757	1
GSE50927_VILIwtkolo	CLDN4	mouse	Samd9			0
GSE50927_VILIwtkolo	CLDN4	mouse	Samd9l	-0.389	0.16044	1
GSE50927_VILIwtkolo	CLDN4	mouse	Sp100	-0.156	0.48784	1
GSE50927_VILIwtkolo	CLDN4	mouse	Sp110	-0.106	0.74981	1
GSE50927_VILIwtkolo	CLDN4	mouse	Stat1	-0.109	0.58268	1
GSE50927_VILIwtkolo	CLDN4	mouse	Stat2	-0.191	0.39252	1
GSE50927_VILIwtkolo	CLDN4	mouse	Tap1	-0.442	0.03381	1
GSE50927_VILIwtkolo	CLDN4	mouse	Tap2	-0.272	0.14348	1
