y	krt	cohort_set	min_neg_required	cldn4_rho	cldn4_p	cldn4_I2	cldn4_n_neg	cldn4_n_cohorts	lead_gene	runner_gene	runner_rho	margin_runner_minus_cldn4	abs_cldn4_rho	eligible_cldn4_lead	rank_table
TNK	KRT5_6_14	lung_plus_funnel	7	-0.14155037639497048	7.007160700963634e-07	0.6626939585745987	8	8	CDH1	F11R	-0.16443211160423052	nan	0.14155037639497048	False	CDH1=-0.1710;F11R=-0.1644;OCLN=-0.1607;CLDN7=-0.1570;CLDN4=-0.1416;CLDN3=-0.1384
TNK	KRT5_6_14	keratin_funnel	6	-0.14326682460416204	1.4142128814511955e-05	0.7068806549918465	7	7	F11R	CLDN7	-0.16236861727776009	nan	0.14326682460416204	False	F11R=-0.1630;CLDN7=-0.1624;OCLN=-0.1619;CDH1=-0.1582;CLDN3=-0.1482;CLDN4=-0.1433
TNK	KRT5_6_14	lung_only	2	-0.14927035132641575	1.9072947435143942e-06	0.0	2	2	CLDN7	CDH1	-0.20632236914392976	nan	0.14927035132641575	False	CLDN7=-0.2277;CDH1=-0.2063;F11R=-0.1999;OCLN=-0.1617;CLDN3=-0.1510;CLDN4=-0.1493
TNK	none	lung_plus_funnel	7	-0.14784471094288262	2.5931130949496138e-06	0.7261930179534634	8	8	CDH1	F11R	-0.16898237719797193	nan	0.14784471094288262	False	CDH1=-0.1923;F11R=-0.1690;OCLN=-0.1648;CLDN7=-0.1605;CLDN4=-0.1478;CLDN3=-0.1315
TNK	none	keratin_funnel	6	-0.15535503188962446	2.0678596506966076e-05	0.7641291526992705	7	7	OCLN	CDH1	-0.17525698862898068	nan	0.15535503188962446	False	OCLN=-0.1798;CDH1=-0.1753;CLDN7=-0.1675;CLDN3=-0.1666;CLDN4=-0.1554;F11R=-0.1493
TNK	none	lung_only	2	-0.12070052337141282	0.00011496425409569691	0.0	2	2	F11R	CDH1	-0.2291936171368154	nan	0.12070052337141282	False	F11R=-0.2585;CDH1=-0.2292;CLDN7=-0.2237;OCLN=-0.1241;CLDN4=-0.1207;CLDN3=-0.0596
CYT	KRT8_18_19	lung_plus_funnel	7	-0.1204595433422009	0.000968354513322811	0.7953760746086896	7	8	CDH1	OCLN	-0.14353824521835243	nan	0.1204595433422009	False	CDH1=-0.1452;OCLN=-0.1435;CLDN3=-0.1260;CLDN4=-0.1205;F11R=-0.1203;CLDN7=-0.1118
CYT	KRT8_18_19	keratin_funnel	6	-0.13243692779671284	0.0014647288384004166	0.8175266924834967	6	7	OCLN	CLDN3	-0.15159608412080922	nan	0.13243692779671284	False	OCLN=-0.1572;CLDN3=-0.1516;CDH1=-0.1379;CLDN4=-0.1324;CLDN7=-0.1231;F11R=-0.1122
CYT	KRT8_18_19	lung_only	2	-0.09454517749771615	0.05715975870101087	0.5995953324346399	2	2	F11R	CLDN7	-0.17612614863249682	nan	0.09454517749771615	False	F11R=-0.1923;CLDN7=-0.1761;CDH1=-0.1673;OCLN=-0.1328;CLDN4=-0.0945;CLDN3=-0.0942
CYT	KRT18_19	lung_plus_funnel	7	-0.1217572091399105	0.0022551847703101108	0.8294014312714026	7	8	CDH1	OCLN	-0.14393918587635543	nan	0.1217572091399105	False	CDH1=-0.1450;OCLN=-0.1439;CLDN3=-0.1257;F11R=-0.1219;CLDN4=-0.1218;CLDN7=-0.1118
CYT	KRT18_19	keratin_funnel	6	-0.13363268333025818	0.0034564544906034982	0.8496146003603022	6	7	OCLN	CLDN3	-0.15076871969229078	nan	0.13363268333025818	False	OCLN=-0.1555;CLDN3=-0.1508;CDH1=-0.1344;CLDN4=-0.1336;CLDN7=-0.1258;F11R=-0.1134
CYT	KRT18_19	lung_only	2	-0.08996585200156439	0.04043263599958144	0.48743816904524984	2	2	F11R	CLDN7	-0.16915839868706914	nan	0.08996585200156439	False	F11R=-0.1954;CLDN7=-0.1692;CDH1=-0.1685;OCLN=-0.1358;CLDN3=-0.0942;CLDN4=-0.0900
CYT	KRT5_6_14	lung_plus_funnel	7	-0.14320460413605232	1.8140552987444737e-05	0.7552301433706621	8	8	CDH1	OCLN	-0.15610003910072148	nan	0.14320460413605232	False	CDH1=-0.1635;OCLN=-0.1561;F11R=-0.1511;CLDN7=-0.1481;CLDN3=-0.1432;CLDN4=-0.1432
CYT	KRT5_6_14	keratin_funnel	6	-0.14622450279068194	0.0001624187997678797	0.789099028287616	7	7	OCLN	CLDN7	-0.1554801898272473	nan	0.14622450279068194	False	OCLN=-0.1595;CLDN7=-0.1555;CDH1=-0.1506;CLDN3=-0.1476;F11R=-0.1470;CLDN4=-0.1462
CYT	KRT5_6_14	lung_only	2	-0.1512419290485916	1.3868220027292689e-06	0.0	2	2	CLDN7	F11R	-0.20570779638921272	nan	0.1512419290485916	False	CLDN7=-0.2180;F11R=-0.2057;CDH1=-0.2006;CLDN3=-0.1848;OCLN=-0.1680;CLDN4=-0.1512
CYT	none	lung_plus_funnel	7	-0.14960362398449312	2.9068158154084918e-05	0.7895444024319827	8	8	CDH1	OCLN	-0.16073643183028916	nan	0.14960362398449312	False	CDH1=-0.1795;OCLN=-0.1607;CLDN4=-0.1496;CLDN7=-0.1494;F11R=-0.1474;CLDN3=-0.1384
CYT	none	keratin_funnel	6	-0.15603115363850473	0.0001761738507088019	0.8194829990466017	7	7	OCLN	CLDN3	-0.1642389154245388	nan	0.15603115363850473	False	OCLN=-0.1733;CLDN3=-0.1642;CDH1=-0.1616;CLDN7=-0.1569;CLDN4=-0.1560;F11R=-0.1280
CYT	none	lung_only	2	-0.13115153877283972	2.737354010013562e-05	0.0	2	2	F11R	CDH1	-0.21940599542371067	nan	0.13115153877283972	False	F11R=-0.2505;CDH1=-0.2194;CLDN7=-0.2168;OCLN=-0.1372;CLDN4=-0.1312;CLDN3=-0.1042
CD8A	KRT8_18_19	lung_plus_funnel	7	-0.08530366615808589	0.0021501281983893855	0.6422451556939028	7	8	F11R	CDH1	-0.11726908362638847	nan	0.08530366615808589	False	F11R=-0.1227;CDH1=-0.1173;CLDN7=-0.1103;OCLN=-0.0948;CLDN3=-0.0903;CLDN4=-0.0853
CD8A	KRT8_18_19	keratin_funnel	6	-0.09693751327693201	0.0017440579634631062	0.6648229222323032	6	7	CLDN3	CLDN7	-0.121609027973763	nan	0.09693751327693201	False	CLDN3=-0.1265;CLDN7=-0.1216;F11R=-0.1141;OCLN=-0.1086;CDH1=-0.1047;CLDN4=-0.0969
CD8A	KRT8_18_19	lung_only	2	-0.04907815111321548	0.16502970959802843	0.20494974262038967	2	2	F11R	CDH1	-0.16349225652542868	nan	0.04907815111321548	False	F11R=-0.1771;CDH1=-0.1635;CLDN7=-0.1578;OCLN=-0.0861;CLDN4=-0.0491;CLDN3=-0.0088
CD8A	KRT18_19	lung_plus_funnel	7	-0.08298936673575612	0.0038330256048285717	0.665313607645094	7	8	F11R	CDH1	-0.11355733397974849	nan	0.08298936673575612	False	F11R=-0.1246;CDH1=-0.1136;CLDN7=-0.1068;OCLN=-0.0904;CLDN3=-0.0860;CLDN4=-0.0830
CD8A	KRT18_19	keratin_funnel	6	-0.09422807927285787	0.0035580629835602444	0.6934760751920414	6	7	CLDN3	CLDN7	-0.12002103440988443	nan	0.09422807927285787	False	CLDN3=-0.1212;CLDN7=-0.1200;F11R=-0.1157;OCLN=-0.1012;CDH1=-0.1004;CLDN4=-0.0942
CD8A	KRT18_19	lung_only	2	-0.04663693522120471	0.14034666737483875	0.008775092274654664	2	2	F11R	CDH1	-0.1663247357644315	nan	0.04663693522120471	False	F11R=-0.1797;CDH1=-0.1663;CLDN7=-0.1516;OCLN=-0.0897;CLDN4=-0.0466;CLDN3=-0.0097
CD8A	KRT5_6_14	lung_plus_funnel	7	-0.11689600310410472	2.5280036052638416e-05	0.6417067740912654	8	8	CLDN7	F11R	-0.14487228150905118	nan	0.11689600310410472	False	CLDN7=-0.1471;F11R=-0.1449;CDH1=-0.1314;CLDN3=-0.1201;CLDN4=-0.1169;OCLN=-0.1107
CD8A	KRT5_6_14	keratin_funnel	6	-0.11796653935060866	0.00023117686268253913	0.6873308802056856	7	7	CLDN7	F11R	-0.1427830657303297	nan	0.11796653935060866	False	CLDN7=-0.1540;F11R=-0.1428;CLDN3=-0.1310;CLDN4=-0.1180;CDH1=-0.1131;OCLN=-0.1096
CD8A	KRT5_6_14	lung_only	2	-0.11759113463447629	0.00018296810649663092	0.0	2	2	CLDN7	CDH1	-0.19385578709647908	nan	0.11759113463447629	False	CLDN7=-0.2007;CDH1=-0.1939;F11R=-0.1787;OCLN=-0.1319;CLDN3=-0.1197;CLDN4=-0.1176
CD8A	none	lung_plus_funnel	7	-0.12006740672529387	2.8105850919659657e-05	0.6678562486023799	8	8	F11R	CDH1	-0.15315115339212743	nan	0.12006740672529387	False	F11R=-0.1567;CDH1=-0.1532;CLDN7=-0.1490;CLDN4=-0.1201;OCLN=-0.1118;CLDN3=-0.1051
CD8A	none	keratin_funnel	6	-0.12864787093435182	0.0001008420589348714	0.7105324072711646	7	7	CLDN7	CLDN3	-0.14295098174833087	nan	0.12864787093435182	False	CLDN7=-0.1586;CLDN3=-0.1430;F11R=-0.1367;CDH1=-0.1319;CLDN4=-0.1286;OCLN=-0.1280
CD8A	none	lung_only	2	-0.08451385846825409	0.007067492370310461	0.0	2	2	F11R	CDH1	-0.21458056645466922	nan	0.08451385846825409	False	F11R=-0.2402;CDH1=-0.2146;CLDN7=-0.1931;OCLN=-0.0850;CLDN4=-0.0845;CLDN3=-0.0176
