cohort	y	krt	gene	n	rho	p	k_cov
LUAD	CD8A	KRT8_18_19	CLDN3	516	-0.17905163160788262	4.5318786556883836e-05	3
LUAD	CD8A	KRT8_18_19	CLDN7	516	-0.2763156791046989	1.9209598477936972e-10	3
LUAD	CD8A	KRT8_18_19	OCLN	516	-0.16007223974680895	0.00027241415604897464	3
LUAD	CD8A	KRT8_18_19	F11R	516	-0.17192843413046596	9.086439203720899e-05	3
LUAD	CD8A	KRT8_18_19	CDH1	516	-0.1263676947020932	0.004147974695274674	3
LUAD	CD8A	KRT18_19	CLDN4	516	-0.0777018200832157	0.07840867915653851	2
LUAD	CD8A	KRT18_19	CLDN3	516	-0.17760952725190637	5.141066397669141e-05	2
LUAD	CD8A	KRT18_19	CLDN7	516	-0.2793272699392247	1.147535445666241e-10	2
LUAD	CD8A	KRT18_19	OCLN	516	-0.15659255577767175	0.0003658548283041297	2
LUAD	CD8A	KRT18_19	F11R	516	-0.17363915467688723	7.58375808057421e-05	2
LUAD	CD8A	KRT18_19	CDH1	516	-0.11211573898274385	0.010969295638255244	2
LUAD	CD8A	KRT5_6_14	CLDN4	516	-0.11318610243816649	0.010374496490753594	4
LUAD	CD8A	KRT5_6_14	CLDN3	516	-0.18688861621458025	2.0809280234798884e-05	4
LUAD	CD8A	KRT5_6_14	CLDN7	516	-0.2938604255330731	1.1739031188728801e-11	4
LUAD	CD8A	KRT5_6_14	OCLN	516	-0.14900483638580284	0.0007189374878162596	4
LUAD	CD8A	KRT5_6_14	F11R	516	-0.19151350131441408	1.2810555097532028e-05	4
LUAD	CD8A	KRT5_6_14	CDH1	516	-0.13774348357577315	0.0017837100764312522	4
LUAD	CD8A	none	CLDN4	516	-0.09466445220157453	0.0315569489901612	0
LUAD	CD8A	none	CLDN3	516	-0.19464519281873952	8.450921263823124e-06	0
LUAD	CD8A	none	CLDN7	516	-0.2962644221551904	6.497104331579152e-12	0
LUAD	CD8A	none	OCLN	516	-0.15002622507798738	0.0006284117575421885	0
LUAD	CD8A	none	F11R	516	-0.19243311513311465	1.0733401989705882e-05	0
LUAD	CD8A	none	CDH1	516	-0.12787968170048558	0.0036168514683910485	0
LUSC	CD8	KRT8_18_19	CLDN4	501	-0.017997326782675915	0.6886778460037122	3
LUSC	CD8	KRT8_18_19	CLDN3	501	0.19561199730033385	1.0983956446844183e-05	3
LUSC	CD8	KRT8_18_19	CLDN7	501	-0.04558806459990497	0.309957733236437	3
LUSC	CD8	KRT8_18_19	OCLN	501	0.007523130142420193	0.8670033936113564	3
LUSC	CD8	KRT8_18_19	F11R	501	-0.21200717520522097	1.8094862983948241e-06	3
LUSC	CD8	KRT8_18_19	CDH1	501	-0.22548610262083696	3.6779215889441055e-07	3
LUSC	CD8	KRT18_19	CLDN4	501	-0.01871814737329713	0.6765908912105839	2
LUSC	CD8	KRT18_19	CLDN3	501	0.19383966446863013	1.2969613738941082e-05	2
LUSC	CD8	KRT18_19	CLDN7	501	-0.036124870142116336	0.42069993865379995	2
LUSC	CD8	KRT18_19	OCLN	501	0.0011238213715905308	0.9800220079871458	2
LUSC	CD8	KRT18_19	F11R	501	-0.2141685144655669	1.3770411276481641e-06	2
LUSC	CD8	KRT18_19	CDH1	501	-0.23358492174852008	1.3060645927094905e-07	2
LUSC	CD8	KRT5_6_14	CLDN4	501	-0.11810987849073627	0.008396807901627001	4
LUSC	CD8	KRT5_6_14	CLDN3	501	-0.038239224447457254	0.39496346591394615	4
LUSC	CD8	KRT5_6_14	CLDN7	501	-0.10762590247676124	0.016382008495692938	4
LUSC	CD8	KRT5_6_14	OCLN	501	-0.08614986597650023	0.054944448024538885	4
LUSC	CD8	KRT5_6_14	F11R	501	-0.1681291291004485	0.0001661586628198376	4
LUSC	CD8	KRT5_6_14	CDH1	501	-0.24631893747160066	2.6452428616516873e-08	4
LUSC	CD8	none	CLDN4	501	-0.07677018870625284	0.08605389341672988	0
LUSC	CD8	none	CLDN3	501	0.19046191737151802	1.7721881496897352e-05	0
LUSC	CD8	none	CLDN7	501	-0.0991380108309278	0.026491152199850203	0
LUSC	CD8	none	OCLN	501	0.00023584704229057658	0.9957985307897005	0
LUSC	CD8	none	F11R	501	-0.308478373929432	1.6609432222765022e-12	0
LUSC	CD8	none	CDH1	501	-0.3081445714149391	1.759756831861978e-12	0
LUSC	CD3	KRT8_18_19	CLDN4	501	-0.017015171364160676	0.7048495106135574	3
LUSC	CD3	KRT8_18_19	CLDN3	501	0.1566722594399597	0.00044946887620912144	3
LUSC	CD3	KRT8_18_19	CLDN7	501	-0.06240434554439919	0.16438743970908468	3
LUSC	CD3	KRT8_18_19	OCLN	501	-0.024712477860636274	0.5821961206962486	3
LUSC	CD3	KRT8_18_19	F11R	501	-0.2287687870644695	2.456966208834676e-07	3
LUSC	CD3	KRT8_18_19	CDH1	501	-0.18664283912780744	2.7708382402659844e-05	3
LUSC	CD3	KRT18_19	CLDN4	501	-0.018235484551585943	0.6844765877843126	2
LUSC	CD3	KRT18_19	CLDN3	501	0.15334141283010788	0.0005878790235026747	2
LUSC	CD3	KRT18_19	CLDN7	501	-0.045813525846209464	0.30708087004331325	2
LUSC	CD3	KRT18_19	OCLN	501	-0.035532985234984306	0.4283570291185965	2
LUSC	CD3	KRT18_19	F11R	501	-0.23203175134868326	1.5892703459851686e-07	2
LUSC	CD3	KRT18_19	CDH1	501	-0.20654867702035834	3.2771182497752176e-06	2
LUSC	CD3	KRT5_6_14	CLDN4	501	-0.13027860614290962	0.003620520195667085	4
LUSC	CD3	KRT5_6_14	CLDN3	501	-0.06472955889902246	0.1496055748336508	4
LUSC	CD3	KRT5_6_14	CLDN7	501	-0.1412463793316463	0.0015951782431694772	4
LUSC	CD3	KRT5_6_14	OCLN	501	-0.13597249852876991	0.0023832033892810067	4
LUSC	CD3	KRT5_6_14	F11R	501	-0.19552942392464592	1.1308634850911293e-05	4
LUSC	CD3	KRT5_6_14	CDH1	501	-0.22862664219010537	2.5710394819489007e-07	4
LUSC	CD3	none	CLDN4	501	-0.10200166996683924	0.02240906665870669	0
LUSC	CD3	none	CLDN3	501	0.12655195091614269	0.004554608026533321	0
LUSC	CD3	none	CLDN7	501	-0.13649707755803137	0.00219915428195393	0
LUSC	CD3	none	OCLN	501	-0.06000181596974103	0.17996070613276854	0
LUSC	CD3	none	F11R	501	-0.31835245842975407	2.907005095405231e-13	0
LUSC	CD3	none	CDH1	501	-0.2954981511081423	1.489564730711383e-11	0
LUSC	TNK	KRT8_18_19	CLDN4	501	-0.03171759367581926	0.480059981012755	3
LUSC	TNK	KRT8_18_19	CLDN3	501	0.13654273613942622	0.0022601332894380253	3
LUSC	TNK	KRT8_18_19	CLDN7	501	-0.047980639781600325	0.2852243940679897	3
LUSC	TNK	KRT8_18_19	OCLN	501	-0.044037892686332285	0.326715017358929	3
LUSC	TNK	KRT8_18_19	F11R	501	-0.19725045590870932	9.232776824676463e-06	3
LUSC	TNK	KRT8_18_19	CDH1	501	-0.2002186158564417	6.7157565226783885e-06	3
LUSC	TNK	KRT18_19	CLDN4	501	-0.032929786086072506	0.4629792343861592	2
LUSC	TNK	KRT18_19	CLDN3	501	0.13297314109924974	0.0029187084061660295	2
LUSC	TNK	KRT18_19	CLDN7	501	-0.030171678020423465	0.5012991381537126	2
LUSC	TNK	KRT18_19	OCLN	501	-0.05558668950282172	0.2151392798384983	2
LUSC	TNK	KRT18_19	F11R	501	-0.2009476080584347	6.07399252545443e-06	2
LUSC	TNK	KRT18_19	CDH1	501	-0.2217955372967953	5.598483771971997e-07	2
LUSC	TNK	KRT5_6_14	CLDN4	501	-0.14200733496467735	0.0015037029517172655	4
LUSC	TNK	KRT5_6_14	CLDN3	501	-0.07845984531310174	0.08056199190260101	4
LUSC	TNK	KRT5_6_14	CLDN7	501	-0.12428149443575223	0.005529402732786418	4
LUSC	TNK	KRT5_6_14	OCLN	501	-0.1495673189868907	0.0008233733194983935	4
LUSC	TNK	KRT5_6_14	F11R	501	-0.1802447575377163	5.315259449697224e-05	4
LUSC	TNK	KRT5_6_14	CDH1	501	-0.25157689398312827	1.2996479053097069e-08	4
LUSC	TNK	none	CLDN4	501	-0.10719879762387577	0.01637892214161578	0
LUSC	TNK	none	CLDN3	501	0.11960560439930353	0.007360556770197581	0
LUSC	TNK	none	CLDN7	501	-0.11497215926712315	0.010008287305660248	0
LUSC	TNK	none	OCLN	501	-0.06715795821065247	0.13331965019119782	0
LUSC	TNK	none	F11R	501	-0.29754190423933013	1.0621801618622801e-11	0
LUSC	TNK	none	CDH1	501	-0.30788281604122436	1.8412434049859324e-12	0
LUSC	CYT	KRT8_18_19	CLDN4	501	-0.044644949022425676	0.3200841295996162	3
LUSC	CYT	KRT8_18_19	CLDN3	501	0.051014716974170836	0.25582300454324947	3
LUSC	CYT	KRT8_18_19	CLDN7	501	-0.03644193793567546	0.4171009338401236	3
LUSC	CYT	KRT8_18_19	OCLN	501	-0.052803753287331494	0.2395055616330255	3
LUSC	CYT	KRT8_18_19	F11R	501	-0.1776225673491433	6.731415706957683e-05	3
LUSC	CYT	KRT8_18_19	CDH1	501	-0.18988551659473304	1.992847616773952e-05	3
LUSC	CYT	KRT18_19	CLDN4	501	-0.045820511560598735	0.30700703968424664	2
LUSC	CYT	KRT18_19	CLDN3	501	0.04783402160453755	0.2862149008786058	2
LUSC	CYT	KRT18_19	CLDN7	501	-0.017519440806116265	0.6962384603642068	2
LUSC	CYT	KRT18_19	OCLN	501	-0.0650908252759776	0.1465259660716074	2
LUSC	CYT	KRT18_19	F11R	501	-0.18167856345008274	4.4604624465355885e-05	2
LUSC	CYT	KRT18_19	CDH1	501	-0.21379036472453555	1.438670869917095e-06	2
LUSC	CYT	KRT5_6_14	CLDN4	501	-0.13360316965599942	0.0028416118162036424	4
LUSC	CYT	KRT5_6_14	CLDN3	501	-0.12216046997979224	0.006396228639694008	4
LUSC	CYT	KRT5_6_14	CLDN7	501	-0.10105471839760902	0.024261648706571784	4
LUSC	CYT	KRT5_6_14	OCLN	501	-0.1321223695277421	0.003167472444422692	4
LUSC	CYT	KRT5_6_14	F11R	501	-0.18464038651242545	3.449255272361403e-05	4
LUSC	CYT	KRT5_6_14	CDH1	501	-0.24742966835808064	2.2795524423075906e-08	4
LUSC	CYT	none	CLDN4	501	-0.11452250876732593	0.010305600415479559	0
LUSC	CYT	none	CLDN3	501	0.0445965609322366	0.3191488845977923	0
LUSC	CYT	none	CLDN7	501	-0.10003521244363864	0.02514828991361211	0
LUSC	CYT	none	OCLN	501	-0.07524818451932086	0.09247944782791359	0
LUSC	CYT	none	F11R	501	-0.27468597466421746	4.010051237357135e-10	0
LUSC	CYT	none	CDH1	501	-0.2956233509077463	1.4591374208982878e-11	0
LUSC	CD8A	KRT8_18_19	CLDN4	501	-0.013316148158982893	0.7669029364091591	3
LUSC	CD8A	KRT8_18_19	CLDN3	501	0.16222857198838522	0.00027766809074967824	3
LUSC	CD8A	KRT8_18_19	CLDN7	501	-0.034250813654754506	0.4456773825130821	3
LUSC	CD8A	KRT8_18_19	OCLN	501	-0.010683322762748124	0.8120239724659317	3
LUSC	CD8A	KRT8_18_19	F11R	501	-0.18238274066328794	4.2363104528648237e-05	3
LUSC	CD8A	KRT8_18_19	CDH1	501	-0.20090371539528845	6.235828690049464e-06	3
LUSC	CD8A	KRT18_19	CLDN4	501	-0.014547006280455898	0.7458186435984707	2
LUSC	CD8A	KRT18_19	CLDN3	501	0.15890800178732792	0.0003659407276624141	2
LUSC	CD8A	KRT18_19	CLDN7	501	-0.018281100741909896	0.6837298294214312	2
LUSC	CD8A	KRT18_19	OCLN	501	-0.021544807215788137	0.6311397352939745	2
LUSC	CD8A	KRT18_19	F11R	501	-0.1859452117194206	2.9177660366736424e-05	2
LUSC	CD8A	KRT18_19	CDH1	501	-0.22005354565630542	6.895829942770649e-07	2
LUSC	CD8A	KRT5_6_14	CLDN4	501	-0.12212508573057836	0.006411669896219871	4
LUSC	CD8A	KRT5_6_14	CLDN3	501	-0.05094663387654883	0.25693928381045217	4
LUSC	CD8A	KRT5_6_14	CLDN7	501	-0.10355631478561125	0.020941905414211245	4
LUSC	CD8A	KRT5_6_14	OCLN	501	-0.11419269012407951	0.010844102582588907	4
LUSC	CD8A	KRT5_6_14	F11R	501	-0.16550506321419275	0.00021057113499109632	4
LUSC	CD8A	KRT5_6_14	CDH1	501	-0.2492103315100295	1.7931207833593023e-08	4
LUSC	CD8A	none	CLDN4	501	-0.07403917265071451	0.09785270532839715	0
LUSC	CD8A	none	CLDN3	501	0.16078846675068517	0.0003021140380723735	0
LUSC	CD8A	none	CLDN7	501	-0.08528673330629577	0.05643206197146614	0
LUSC	CD8A	none	OCLN	501	-0.018883270218921715	0.6732829707764568	0
LUSC	CD8A	none	F11R	501	-0.2872761886585395	5.651608762229115e-11	0
LUSC	CD8A	none	CDH1	501	-0.29832535725362025	9.323757193560792e-12	0
BRCA	CD8	KRT8_18_19	CLDN4	1095	0.03424927951656113	0.2581319241191097	3
BRCA	CD8	KRT8_18_19	CLDN3	1095	0.04200255446138605	0.16543729730254994	3
BRCA	CD8	KRT8_18_19	CLDN7	1095	-0.1202178131607435	6.817972109083392e-05	3
BRCA	CD8	KRT8_18_19	OCLN	1095	-0.14660876296297096	1.14160422541727e-06	3
BRCA	CD8	KRT8_18_19	F11R	1095	-0.06012512057459197	0.04699094972929502	3
BRCA	CD8	KRT8_18_19	CDH1	1095	-0.1694324004251682	1.7676342327587778e-08	3
BRCA	CD8	KRT18_19	CLDN4	1095	0.05759394545927444	0.05697677398949067	2
BRCA	CD8	KRT18_19	CLDN3	1095	0.05147256900830805	0.08896329737627415	2
BRCA	CD8	KRT18_19	CLDN7	1095	-0.11285202486677183	0.0001850259626769928	2
BRCA	CD8	KRT18_19	OCLN	1095	-0.13602787642069158	6.391620227580075e-06	2
BRCA	CD8	KRT18_19	F11R	1095	-0.038628578838386295	0.20192120719849477	2
BRCA	CD8	KRT18_19	CDH1	1095	-0.16465780692422147	4.378617299681215e-08	2
BRCA	CD8	KRT5_6_14	CLDN4	1095	-0.012994931368987243	0.6681034204358459	4
BRCA	CD8	KRT5_6_14	CLDN3	1095	-0.030765213117504374	0.30998223517162965	4
BRCA	CD8	KRT5_6_14	CLDN7	1095	-0.1649437754622918	4.2660810301792075e-08	4
BRCA	CD8	KRT5_6_14	OCLN	1095	-0.1528027887833858	3.9543530840978715e-07	4
BRCA	CD8	KRT5_6_14	F11R	1095	-0.025140627817662346	0.40677549701213384	4
BRCA	CD8	KRT5_6_14	CDH1	1095	-0.17492308016915561	6.026035305182087e-09	4
BRCA	CD8	none	CLDN4	1095	0.009788874860228785	0.7462716830123769	0
BRCA	CD8	none	CLDN3	1095	-0.03751309512558799	0.2148435559838296	0
BRCA	CD8	none	CLDN7	1095	-0.19217907276913992	1.436690953297557e-10	0
BRCA	CD8	none	OCLN	1095	-0.18536066453994607	6.395669749933643e-10	0
BRCA	CD8	none	F11R	1095	-0.026666985952227447	0.37800376889181425	0
BRCA	CD8	none	CDH1	1095	-0.2144562966006873	7.389621633378303e-13	0
BRCA	CD3	KRT8_18_19	CLDN4	1095	0.0010613311508236147	0.9720542408402695	3
BRCA	CD3	KRT8_18_19	CLDN3	1095	0.016430829975112606	0.5875577932684617	3
BRCA	CD3	KRT8_18_19	CLDN7	1095	-0.1410381839141923	2.886516587569758e-06	3
BRCA	CD3	KRT8_18_19	OCLN	1095	-0.171818108228388	1.1045367268813311e-08	3
BRCA	CD3	KRT8_18_19	F11R	1095	-0.05728389893387192	0.058443470166219404	3
BRCA	CD3	KRT8_18_19	CDH1	1095	-0.17828647011384294	2.9854826344667404e-09	3
BRCA	CD3	KRT18_19	CLDN4	1095	0.028158061429130618	0.352350260406578	2
BRCA	CD3	KRT18_19	CLDN3	1095	0.027299390206215305	0.36723315340696866	2
BRCA	CD3	KRT18_19	CLDN7	1095	-0.13250224135300476	1.1078486380314884e-05	2
BRCA	CD3	KRT18_19	OCLN	1095	-0.15961424648868774	1.1270881021853239e-07	2
BRCA	CD3	KRT18_19	F11R	1095	-0.03339054172792105	0.2700470976454281	2
BRCA	CD3	KRT18_19	CDH1	1095	-0.1727188504407087	9.090049100755282e-09	2
BRCA	CD3	KRT5_6_14	CLDN4	1095	-0.04427946472219542	0.14384980700659852	4
BRCA	CD3	KRT5_6_14	CLDN3	1095	-0.05711110846328134	0.0593255172650962	4
BRCA	CD3	KRT5_6_14	CLDN7	1095	-0.18796394612480666	3.9185267242487676e-10	4
BRCA	CD3	KRT5_6_14	OCLN	1095	-0.17743821820014669	3.613008818565723e-09	4
BRCA	CD3	KRT5_6_14	F11R	1095	-0.02108569785906697	0.48658812726792694	4
BRCA	CD3	KRT5_6_14	CDH1	1095	-0.18743358200046156	4.39636165419493e-10	4
BRCA	CD3	none	CLDN4	1095	-0.02239871990863071	0.45903454478518707	0
BRCA	CD3	none	CLDN3	1095	-0.0636657997819962	0.035162481417868915	0
BRCA	CD3	none	CLDN7	1095	-0.21213051455366347	1.317910361412271e-12	0
BRCA	CD3	none	OCLN	1095	-0.2070244625606554	4.58533626728626e-12	0
BRCA	CD3	none	F11R	1095	-0.02155756088010943	0.4760780572402585	0
BRCA	CD3	none	CDH1	1095	-0.21997737154986513	1.8218222008838417e-13	0
BRCA	TNK	KRT8_18_19	CLDN4	1095	0.018250013887064487	0.5468820207942753	3
BRCA	TNK	KRT8_18_19	CLDN3	1095	0.031575719440001586	0.29718088754023797	3
BRCA	TNK	KRT8_18_19	CLDN7	1095	-0.13428787993184269	8.479727602645012e-06	3
BRCA	TNK	KRT8_18_19	OCLN	1095	-0.19297296806355768	1.2751998213735424e-10	3
BRCA	TNK	KRT8_18_19	F11R	1095	-0.05283719935790646	0.08094187014589405	3
BRCA	TNK	KRT8_18_19	CDH1	1095	-0.18006326496313152	2.0664375388077763e-09	3
BRCA	TNK	KRT18_19	CLDN4	1095	0.04347699218706205	0.15088633220445452	2
BRCA	TNK	KRT18_19	CLDN3	1095	0.04172188488311332	0.16808896970933962	2
BRCA	TNK	KRT18_19	CLDN7	1095	-0.12630180034815258	2.8190847974426028e-05	2
BRCA	TNK	KRT18_19	OCLN	1095	-0.18120694514476587	1.5998382198322367e-09	2
BRCA	TNK	KRT18_19	F11R	1095	-0.030240262613830407	0.3178701738025409	2
BRCA	TNK	KRT18_19	CDH1	1095	-0.17483785016257702	5.938040577412188e-09	2
BRCA	TNK	KRT5_6_14	CLDN4	1095	-0.029955864431797583	0.32288901024393263	4
BRCA	TNK	KRT5_6_14	CLDN3	1095	-0.0433775231411017	0.15220002834072835	4
BRCA	TNK	KRT5_6_14	CLDN7	1095	-0.1843904520895878	8.453133396986791e-10	4
BRCA	TNK	KRT5_6_14	OCLN	1095	-0.1999389656141895	2.6671286066105627e-11	4
BRCA	TNK	KRT5_6_14	F11R	1095	-0.023584668028856354	0.43643718343728893	4
