cohort	n_cohort	endpoint	leftover	n	rho	p	ci95_lo	ci95_hi	rho_adj_epithelial	p_adj_epithelial	n_adj	verdict	note	q_bh_leftover
breast	201	MHC_I_APM	False	201	0.14313432835820894	0.0426549840698614	-0.004324704118752932	0.28908511929229674	0.15289640904388946	0.030241082067738186	201	POSITIVE	already known (partial): 21-gene MHC-I/APM	
breast	201	MHC_I_core	False	201	0.27278705482488547	8.933563404165032e-05	0.12857304979352943	0.4069357261324445	0.26894044628343433	0.00011316580563687239	201	POSITIVE	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP	
breast	201	Hallmark_IFNg	False	201	-0.027257277966602635	0.7009044331088443	-0.17280652250163736	0.13261517338296192	0.06220333973695877	0.3803593919704883	201	NO_EVIDENCE	reference: full Hallmark IFN-γ (includes MHC-I + CD274)	
breast	201	TACSTD2	False	201	0.30113639722181174	1.3992335705106633e-05	0.1660144391647687	0.42708201416150643	0.3201536870104921	3.600800499269798e-06	201	POSITIVE	companion only	
breast	201	epithelial	False	201	0.4292108763115118	2.0493489273574993e-10	0.3089962443538205	0.5373917815812721	0.018876905114330156	0.7902539204044805	201	POSITIVE	companion: epithelial mean-z	
lung	34	CD274	True	34	-0.3537051184110008	0.040153751203069916	-0.6202696712892746	-0.027632155188164812	-0.27058823529411763	0.12166891237616724	34	EXPLORATORY	leftover: PD-L1 transcript	0.12046125360920976
lung	34	Hallmark_IFNg_noMHC	True	34	-0.2452253628724217	0.16215413668185633	-0.5898465975730784	0.13022612730671293	-0.2568372803666921	0.14256238926334963	34	EXPLORATORY	leftover: Hallmark IFN-γ minus MHC-I/APM	0.24762262085213704
lung	34	Hallmark_IFNg_noMHC_noCD274	True	34	-0.2424751718869366	0.1670646568031909	-0.5898465975730784	0.1347413041051974	-0.25867074102368215	0.13963453288774128	34	EXPLORATORY	leftover: IFN-γ minus MHC-I and CD274	0.24762262085213704
lung	34	Ayers6	True	34	-0.22230710466004583	0.20635218404344752	-0.5366687854099138	0.12887899859386037	-0.18594346829640948	0.29239163058001055	34	EXPLORATORY	leftover: Ayers 6-gene IFN-γ	0.24762262085213704
lung	34	ISG_noMHC	True	34	-0.15171886936592818	0.39169395678352675	-0.4708293022233335	0.17290048283850495	-0.15752482811306337	0.3736075376129382	34	EXPLORATORY	leftover: compact ISG, no MHC-I	0.39169395678352675
lung	34	IFNG_gene	True	34	-0.41879297173414815	0.013696647511114393	-0.6845908343182089	-0.0949292511962145	-0.42765469824293356	0.011640217173966422	34	EXPLORATORY	leftover: IFNG transcript	0.08217988506668636
lung	34	MHC_I_APM	False	34	0.0961038961038961	0.5887344912074549	-0.2556807256519012	0.4302629486853621	-0.002902979373567609	0.9869998510797836	34	NO_EVIDENCE	already known (partial): 21-gene MHC-I/APM	
lung	34	MHC_I_core	False	34	0.24736440030557674	0.15840719150830332	-0.1025329605277067	0.5630074535190388	0.17769289533995414	0.3147074337525049	34	NO_EVIDENCE	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP	
lung	34	Hallmark_IFNg	False	34	-0.22780748663101602	0.19505646204409682	-0.573138028835693	0.14933409004418677	-0.226279602750191	0.1981498812391619	34	NO_EVIDENCE	reference: full Hallmark IFN-γ (includes MHC-I + CD274)	
lung	34	TACSTD2	False	34	0.4722689075630252	0.004800485731668746	0.0980576772101282	0.7632064858147529	0.43926661573720394	0.009345348297228431	34	POSITIVE	companion only	
lung	34	epithelial	False	34	0.5492742551566081	0.0007672879214253552	0.19067728117523536	0.7986592093165799	0.04473060440922932	0.8016658611898915	34	POSITIVE	companion: epithelial mean-z	
GI	71	CD274	True	71	-0.16780684104627763	0.1618703487359443	-0.4212875361472011	0.0825418122385699	-0.2000670690811536	0.09436046812672103	71	NO_EVIDENCE	leftover: PD-L1 transcript	0.35137728402134466
GI	71	Hallmark_IFNg_noMHC	True	71	-0.11703554661301138	0.3310503930882638	-0.39173213675955465	0.15387329587365547	-0.24450033534540574	0.03988579603336802	71	NO_EVIDENCE	leftover: Hallmark IFN-γ minus MHC-I/APM	0.39726047170591655
GI	71	Hallmark_IFNg_noMHC_noCD274	True	71	-0.11710261569416498	0.33077143443499507	-0.3922568759173121	0.1553012326881753	-0.24148222669349428	0.04248070677543495	71	NO_EVIDENCE	leftover: IFN-γ minus MHC-I and CD274	0.39726047170591655
GI	71	Ayers6	True	71	-0.17240107310529842	0.15052438223652304	-0.4218034097453152	0.09463499594361806	-0.2527162977867203	0.03348051640781883	71	NO_EVIDENCE	leftover: Ayers 6-gene IFN-γ	0.35137728402134466
GI	71	ISG_noMHC	True	71	-0.10040241448692153	0.40478990490979194	-0.36001879489716215	0.1638497121896815	-0.25878604963112	0.029321790333780174	71	NO_EVIDENCE	leftover: compact ISG, no MHC-I	0.4047899049097919
GI	71	IFNG_gene	True	71	-0.16252200945863984	0.17568864201067233	-0.4220838931398905	0.0992587421411843	-0.15365526492287054	0.2007724900179126	71	NO_EVIDENCE	leftover: IFNG transcript	0.35137728402134466
GI	71	MHC_I_APM	False	71	0.25623742454728365	0.031011774083093455	-0.017283542492943685	0.48332180351569815	0.08252850435949027	0.4938344848824198	71	POSITIVE	already known (partial): 21-gene MHC-I/APM	
GI	71	MHC_I_core	False	71	0.2570757880617035	0.0304470565397029	-0.006517071113614277	0.47451421625450324	0.15811535881958416	0.1878530643091007	71	POSITIVE	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP	
GI	71	Hallmark_IFNg	False	71	-0.09225352112676055	0.4441655505011364	-0.37209404610497027	0.18005643174481084	-0.20301810865191144	0.0895022003983001	71	NO_EVIDENCE	reference: full Hallmark IFN-γ (includes MHC-I + CD274)	
GI	71	TACSTD2	False	71	0.24976525821596243	0.035674266870258514	-0.0090770426067209	0.4744626813707989	-0.11230717639168343	0.3510913917293166	71	POSITIVE	companion only	
GI	71	epithelial	False	71	0.5439302481556001	9.464609302628184e-07	0.3409287463246291	0.7019236972249423	-0.06484417442204655	0.5910919509754589	71	POSITIVE	companion: epithelial mean-z	
