cut	n_low	n_high	cut_low	cut_high	mwu_p	cliffs_delta	median_low	median_high	U	cohort	n_cohort	endpoint	leftover	note
quartile	92	92	5.807836286908976	7.548547880985995	0.12074703372858125	0.13256143667296785	-0.03618248132502591	0.016879284935387723	4793.0	all	365	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
median	183	182	6.623521266010517	6.623521266010517	2.2643658116676678e-05	0.2564703056506335	7.513337709081548	8.188981831406508	20924.0	all	365	TACSTD2	False	companion only
tertile	122	122	6.116549803496802	7.204134739106644	3.328789587093765e-07	0.3781241601719968	6.819716260480435	8.076500160632992	10256.0	all	365	TACSTD2	False	companion only
quartile	92	92	5.807836286908976	7.548547880985995	1.0803784273853388e-06	0.416351606805293	6.756131452337781	8.11584451709659	5994.0	all	365	TACSTD2	False	companion only
median	183	182	6.623521266010517	6.623521266010517	2.246364479003116e-19	0.544766708701135	-0.13305786421016974	0.32789392794654637	25725.0	all	365	epithelial	False	companion: epithelial mean-z
tertile	122	122	6.116549803496802	7.204134739106644	5.579342016864796e-21	0.6961838215533459	-0.25477873411166796	0.36419026820114575	12623.0	all	365	epithelial	False	companion: epithelial mean-z
quartile	92	92	5.807836286908976	7.548547880985995	1.946250727462043e-18	0.7478733459357277	-0.3429374251942622	0.3748639208559127	7397.0	all	365	epithelial	False	companion: epithelial mean-z
median	157	156	6.547876272483587	6.547876272483587	0.6733263265190502	-0.027600849256900213	3.355835928847949	3.2744857431344845	11908.0	FFPE	313	CD274	True	leftover: PD-L1 transcript
tertile	105	105	6.049549393222001	7.045467553196513	0.8987911427347277	-0.010249433106575964	3.3612849120292334	3.304700138757883	5456.0	FFPE	313	CD274	True	leftover: PD-L1 transcript
quartile	79	79	5.795776499424436	7.348604921629688	0.8103718856712612	-0.02227207178336805	3.347191891475949	3.251057600853025	3051.0	FFPE	313	CD274	True	leftover: PD-L1 transcript
median	157	156	6.547876272483587	6.547876272483587	0.08485258433547845	0.11268985791278785	0.02414765487891738	0.0721469883418717	13626.0	FFPE	313	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
tertile	105	105	6.049549393222001	7.045467553196513	0.02973804435349886	0.17369614512471657	0.03281902312653705	0.09521022482743614	6470.0	FFPE	313	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
quartile	79	79	5.795776499424436	7.348604921629688	0.11045206496625534	0.14725204294183625	0.02414765487891738	0.07356367085698218	3580.0	FFPE	313	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
median	157	156	6.547876272483587	6.547876272483587	0.08086597556366512	0.11415972562469377	0.024057957465858187	0.07265842838890618	13644.0	FFPE	313	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
tertile	105	105	6.049549393222001	7.045467553196513	0.028398877868023864	0.17514739229024942	0.031140698090111094	0.0956420085920198	6478.0	FFPE	313	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
quartile	79	79	5.795776499424436	7.348604921629688	0.10814280635748388	0.1482134273353629	0.024057957465858187	0.07639860145350792	3583.0	FFPE	313	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
median	157	156	6.547876272483587	6.547876272483587	0.8022362389750775	-0.016413522782949535	0.017798962259085584	0.012299748485946956	12045.0	FFPE	313	Ayers6	True	leftover: Ayers 6-gene IFN-γ
tertile	105	105	6.049549393222001	7.045467553196513	0.882635090976204	-0.011882086167800454	-0.003873000626766099	0.013685075467740846	5447.0	FFPE	313	Ayers6	True	leftover: Ayers 6-gene IFN-γ
quartile	79	79	5.795776499424436	7.348604921629688	0.6663172492637531	-0.03989745233135716	-0.047567214261823525	-0.027801598063892263	2996.0	FFPE	313	Ayers6	True	leftover: Ayers 6-gene IFN-γ
median	157	156	6.547876272483587	6.547876272483587	0.2719316244191111	0.07186019924873428	-0.1292036290018034	0.03225691949067199	13126.0	FFPE	313	ISG_noMHC	True	leftover: compact ISG, no MHC-I
tertile	105	105	6.049549393222001	7.045467553196513	0.13744294376515517	0.11873015873015873	-0.13404753297132307	0.04297590835428033	6167.0	FFPE	313	ISG_noMHC	True	leftover: compact ISG, no MHC-I
quartile	79	79	5.795776499424436	7.348604921629688	0.2687960048374355	0.10206697644608236	-0.1413743528103309	0.018050659233839222	3439.0	FFPE	313	ISG_noMHC	True	leftover: compact ISG, no MHC-I
median	157	156	6.547876272483587	6.547876272483587	0.7064566038413576	-0.024661113833088357	1.6167386491885298	1.450006908926241	11944.0	FFPE	313	IFNG_gene	True	leftover: IFNG transcript
tertile	105	105	6.049549393222001	7.045467553196513	0.6594878026088211	-0.03528344671201814	1.6167386491885298	1.4649387379192214	5318.0	FFPE	313	IFNG_gene	True	leftover: IFNG transcript
quartile	79	79	5.795776499424436	7.348604921629688	0.48131097752744756	-0.06505367729530524	1.516476351206294	1.3980489350306058	2917.5	FFPE	313	IFNG_gene	True	leftover: IFNG transcript
median	157	156	6.547876272483587	6.547876272483587	0.0025819517141472998	0.19704393271272252	-0.15797712606897965	0.08097601500795196	14659.0	FFPE	313	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
tertile	105	105	6.049549393222001	7.045467553196513	0.0011083278940624156	0.26058956916099774	-0.17279356306171387	0.15392973238020505	6949.0	FFPE	313	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
quartile	79	79	5.795776499424436	7.348604921629688	0.004594799708948102	0.2613363243070021	-0.1506954565168853	0.16380892002235856	3936.0	FFPE	313	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
median	157	156	6.547876272483587	6.547876272483587	0.0005214148962497117	0.22684958353748164	-0.2411786382350613	0.009545458402059018	15024.0	FFPE	313	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
tertile	105	105	6.049549393222001	7.045467553196513	0.00013834139108994414	0.30448979591836733	-0.28295795120558037	0.1784040110369746	7191.0	FFPE	313	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
quartile	79	79	5.795776499424436	7.348604921629688	0.0010154127777136782	0.30299631469315813	-0.20515733134581682	0.20805186397344005	4066.0	FFPE	313	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
median	157	156	6.547876272483587	6.547876272483587	0.06122773014460313	0.1224073166748326	0.007745759701821308	0.07422549733058542	13745.0	FFPE	313	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
tertile	105	105	6.049549393222001	7.045467553196513	0.020276504808956746	0.1854875283446712	0.007745759701821308	0.11692818900828993	6535.0	FFPE	313	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
quartile	79	79	5.795776499424436	7.348604921629688	0.0820802751523499	0.16039096298670086	0.005135388936756779	0.08042963895327024	3621.0	FFPE	313	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
median	157	156	6.547876272483587	6.547876272483587	2.9048946077161273e-06	0.30581414339376123	7.5732875973557485	8.223609484510936	15991.0	FFPE	313	TACSTD2	False	companion only
tertile	105	105	6.049549393222001	7.045467553196513	1.7647020317738091e-06	0.3817687074829932	6.96658874767222	8.190256420335437	7617.0	FFPE	313	TACSTD2	False	companion only
quartile	79	79	5.795776499424436	7.348604921629688	4.0721704113141434e-06	0.4247716712065374	6.79801765337612	8.224652542016088	4446.0	FFPE	313	TACSTD2	False	companion only
median	157	156	6.547876272483587	6.547876272483587	1.3304663109260462e-14	0.5035930099624367	-0.12630506555587998	0.26317819703340095	18413.0	FFPE	313	epithelial	False	companion: epithelial mean-z
tertile	105	105	6.049549393222001	7.045467553196513	4.420753981611087e-16	0.6491609977324263	-0.25534040971152977	0.3107650286964003	9091.0	FFPE	313	epithelial	False	companion: epithelial mean-z
quartile	79	79	5.795776499424436	7.348604921629688	2.694044294745599e-15	0.7285691395609678	-0.29600600243823544	0.336866186342972	5394.0	FFPE	313	epithelial	False	companion: epithelial mean-z
median	101	100	6.574465096319992	6.574465096319992	0.11354291256866268	-0.1293069306930693	3.2636777598707796	3.08595147350887	4397.0	breast	201	CD274	True	leftover: PD-L1 transcript
tertile	67	67	6.163537651756609	7.01641328330485	0.20313603883913756	-0.1276453553129873	3.355835928847949	3.2536459685506145	1958.0	breast	201	CD274	True	leftover: PD-L1 transcript
quartile	51	51	5.855242447675369	7.348604921629688	0.06972027605971338	-0.20876585928489041	3.347191891475949	3.0521876697912402	1029.0	breast	201	CD274	True	leftover: PD-L1 transcript
median	101	100	6.574465096319992	6.574465096319992	0.8528128354762768	-0.015247524752475247	-0.00535051195104642	-0.028585607664896276	4973.0	breast	201	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
tertile	67	67	6.163537651756609	7.01641328330485	0.9786995561919923	0.0028959679215860993	0.03538501290036583	-0.023586456192280256	2251.0	breast	201	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
quartile	51	51	5.855242447675369	7.348604921629688	0.3556979404356435	-0.10649750096116878	0.059751345260303665	-0.06544610991604578	1162.0	breast	201	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
median	101	100	6.574465096319992	6.574465096319992	0.8776077068780931	-0.012673267326732674	-0.006953164967309914	-0.0288875409996125	4986.0	breast	201	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
tertile	67	67	6.163537651756609	7.01641328330485	0.9645067565028069	0.004678102027177545	0.03481438336495377	-0.02287649542998117	2255.0	breast	201	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
quartile	51	51	5.855242447675369	7.348604921629688	0.36625237041041836	-0.10419069588619762	0.06626542752078851	-0.058984576081551325	1165.0	breast	201	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
median	101	100	6.574465096319992	6.574465096319992	0.5944908082182767	-0.04356435643564356	-0.033810176085449194	-0.023186904794600754	4830.0	breast	201	Ayers6	True	leftover: Ayers 6-gene IFN-γ
tertile	67	67	6.163537651756609	7.01641328330485	0.6724855374792718	-0.04254845177099577	-0.003873000626766099	-0.018572211525309246	2149.0	breast	201	Ayers6	True	leftover: Ayers 6-gene IFN-γ
quartile	51	51	5.855242447675369	7.348604921629688	0.1427292416864345	-0.16878123798539024	0.05841531123947189	-0.1108989422202023	1081.0	breast	201	Ayers6	True	leftover: Ayers 6-gene IFN-γ
median	101	100	6.574465096319992	6.574465096319992	0.47059694823257303	0.05900990099009901	-0.02898879458675653	0.07970738713577803	5348.0	breast	201	ISG_noMHC	True	leftover: compact ISG, no MHC-I
tertile	67	67	6.163537651756609	7.01641328330485	0.3167183000602892	0.10046781020271775	0.043733952878384906	0.22155818277091166	2470.0	breast	201	ISG_noMHC	True	leftover: compact ISG, no MHC-I
quartile	51	51	5.855242447675369	7.348604921629688	0.8935179094319063	0.015763168012302962	0.1366635111046732	0.12440222221684567	1321.0	breast	201	ISG_noMHC	True	leftover: compact ISG, no MHC-I
median	101	100	6.574465096319992	6.574465096319992	0.0676315116428619	-0.1493069306930693	1.443752025368768	1.104934162754287	4296.0	breast	201	IFNG_gene	True	leftover: IFNG transcript
tertile	67	67	6.163537651756609	7.01641328330485	0.07080922620363635	-0.18110937848073067	1.5513279223341123	1.0585551386093592	1838.0	breast	201	IFNG_gene	True	leftover: IFNG transcript
quartile	51	51	5.855242447675369	7.348604921629688	0.0050422260529716075	-0.3225682429834679	1.5458364422134712	0.8011294434018323	881.0	breast	201	IFNG_gene	True	leftover: IFNG transcript
median	101	100	6.574465096319992	6.574465096319992	0.02372621923046294	0.18475247524752475	-0.21249878296856894	-0.04231427393807283	5983.0	breast	201	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
tertile	67	67	6.163537651756609	7.01641328330485	0.09342380260641908	0.1681889062151927	-0.18217521607289322	-0.04120493507848853	2622.0	breast	201	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
quartile	51	51	5.855242447675369	7.348604921629688	0.18071999187420362	0.15417147251057287	-0.17279356306171387	0.001579126299332841	1501.0	breast	201	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
median	101	100	6.574465096319992	6.574465096319992	8.321483873681593e-05	0.3213861386138614	-0.3438301913874514	0.04488406660518672	6673.0	breast	201	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
tertile	67	67	6.163537651756609	7.01641328330485	0.001039667533544623	0.3285809757184228	-0.37365873672115935	0.14605716371624317	2982.0	breast	201	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
quartile	51	51	5.855242447675369	7.348604921629688	0.0020332089378901222	0.3548635140330642	-0.3438301913874514	0.38069285389720825	1762.0	breast	201	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
median	101	100	6.574465096319992	6.574465096319992	0.9256083210963485	-0.007722772277227723	-0.03292302797955805	-0.04917284072521941	5011.0	breast	201	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
tertile	67	67	6.163537651756609	7.01641328330485	0.9290837138043474	0.00913343729115616	0.009381476742285674	-0.04236841922462386	2265.0	breast	201	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
quartile	51	51	5.855242447675369	7.348604921629688	0.4219025580512503	-0.09265667051134178	0.06251060600348457	-0.08491259361675171	1180.0	breast	201	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
median	101	100	6.574465096319992	6.574465096319992	0.000725997730010248	0.27603960396039606	7.901714767057593	8.320799467007522	6444.0	breast	201	TACSTD2	False	companion only
tertile	67	67	6.163537651756609	7.01641328330485	0.0006319611092378068	0.3423925150367565	7.763472088533414	8.306825705337838	3013.0	breast	201	TACSTD2	False	companion only
quartile	51	51	5.855242447675369	7.348604921629688	0.0010651270686384041	0.3763936947327951	7.611251528401223	8.306825705337838	1790.0	breast	201	TACSTD2	False	companion only
median	101	100	6.574465096319992	6.574465096319992	7.019511912764442e-07	0.4051485148514852	-0.05596323092909098	0.24515942417134226	7096.0	breast	201	epithelial	False	companion: epithelial mean-z
tertile	67	67	6.163537651756609	7.01641328330485	1.4078903500183144e-07	0.527288928491869	-0.07295032226333759	0.24713484633095198	3428.0	breast	201	epithelial	False	companion: epithelial mean-z
quartile	51	51	5.855242447675369	7.348604921629688	7.139306866659742e-08	0.6193771626297578	-0.19974695140578466	0.30889462891138647	2106.0	breast	201	epithelial	False	companion: epithelial mean-z
median	17	17	6.7502963783917	6.7502963783917	0.014465515076215992	-0.49480968858131485	4.239067280569248	3.106624040767634	73.0	lung	34	CD274	True	leftover: PD-L1 transcript
tertile	12	12	6.358540658501168	7.375419728292027	0.040404119588223694	-0.5	4.095394514618128	3.0750766198361488	36.0	lung	34	CD274	True	leftover: PD-L1 transcript
quartile	9	9	6.1873714817493655	7.503709360485013	0.034069195144143936	-0.6049382716049383	3.7836103959682172	2.764549520586878	16.0	lung	34	CD274	True	leftover: PD-L1 transcript
median	17	17	6.7502963783917	6.7502963783917	0.021014901784027075	-0.4671280276816609	0.3702110111324477	0.034334110486321005	77.0	lung	34	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
tertile	12	12	6.358540658501168	7.375419728292027	0.1748533068932927	-0.3333333333333333	0.37529179333660073	0.06789865498076265	48.0	lung	34	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
quartile	9	9	6.1873714817493655	7.503709360485013	0.37722461666745344	-0.25925925925925924	0.171072416825922	0.034334110486321005	30.0	lung	34	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
median	17	17	6.7502963783917	6.7502963783917	0.023009726863706215	-0.4602076124567474	0.36952868117886667	0.03583320176026214	78.0	lung	34	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
tertile	12	12	6.358540658501168	7.375419728292027	0.1748533068932927	-0.3333333333333333	0.37356229265969604	0.06523520974526091	48.0	lung	34	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
quartile	9	9	6.1873714817493655	7.503709360485013	0.37722461666745344	-0.25925925925925924	0.1667107949913669	0.03583320176026214	30.0	lung	34	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
median	17	17	6.7502963783917	6.7502963783917	0.042136612058908826	-0.4117647058823529	0.7515515416759281	0.09231507248620967	85.0	lung	34	Ayers6	True	leftover: Ayers 6-gene IFN-γ
tertile	12	12	6.358540658501168	7.375419728292027	0.12602212177037309	-0.375	0.5524915616257892	0.14266986700261297	45.0	lung	34	Ayers6	True	leftover: Ayers 6-gene IFN-γ
quartile	9	9	6.1873714817493655	7.503709360485013	0.18532630419857943	-0.38271604938271603	0.19544396229474947	-0.591616920165799	25.0	lung	34	Ayers6	True	leftover: Ayers 6-gene IFN-γ
median	17	17	6.7502963783917	6.7502963783917	0.09146248113234033	-0.34256055363321797	0.35914451597471375	-0.22443990020685065	95.0	lung	34	ISG_noMHC	True	leftover: compact ISG, no MHC-I
tertile	12	12	6.358540658501168	7.375419728292027	0.2602362026171888	-0.2777777777777778	0.3793007159719667	-0.08264956508139724	52.0	lung	34	ISG_noMHC	True	leftover: compact ISG, no MHC-I
quartile	9	9	6.1873714817493655	7.503709360485013	0.42677673653298365	-0.2345679012345679	-0.19610291520632825	-0.22443990020685065	31.0	lung	34	ISG_noMHC	True	leftover: compact ISG, no MHC-I
median	17	17	6.7502963783917	6.7502963783917	0.005272007491824873	-0.5640138408304498	1.8915558497953648	1.0088260706880174	63.0	lung	34	IFNG_gene	True	leftover: IFNG transcript
tertile	12	12	6.358540658501168	7.375419728292027	0.006098945931214367	-0.6666666666666666	2.0010258283976294	1.0458391240084985	24.0	lung	34	IFNG_gene	True	leftover: IFNG transcript
quartile	9	9	6.1873714817493655	7.503709360485013	0.01711823970479015	-0.6790123456790124	1.800676547371033	0.5568728801499178	13.0	lung	34	IFNG_gene	True	leftover: IFNG transcript
median	17	17	6.7502963783917	6.7502963783917	0.8094739516199263	-0.05190311418685121	0.12952609450379016	0.11786770622360652	137.0	lung	34	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
tertile	12	12	6.358540658501168	7.375419728292027	0.8398599725400034	0.05555555555555555	0.1385158415068954	0.1810620105557536	76.0	lung	34	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
quartile	9	9	6.1873714817493655	7.503709360485013	0.6588432549492806	0.13580246913580246	-0.07324148633928018	0.14779447496884768	46.0	lung	34	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
median	17	17	6.7502963783917	6.7502963783917	0.44859604742894854	0.15570934256055363	0.200401082086223	0.20938597480533966	167.0	lung	34	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
tertile	12	12	6.358540658501168	7.375419728292027	0.28547630885188247	0.2638888888888889	0.22200845941893438	0.29216675874943493	91.0	lung	34	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
quartile	9	9	6.1873714817493655	7.503709360485013	0.18532630419857943	0.38271604938271603	-0.19897761333857658	0.20938597480533966	56.0	lung	34	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
median	17	17	6.7502963783917	6.7502963783917	0.027497206094166747	-0.4463667820069204	0.34090048685839175	0.03341546687304272	80.0	lung	34	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
tertile	12	12	6.358540658501168	7.375419728292027	0.1748533068932927	-0.3333333333333333	0.35311671922761945	0.0936488892131987	48.0	lung	34	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
quartile	9	9	6.1873714817493655	7.503709360485013	0.42677673653298365	-0.2345679012345679	0.12914685588899194	0.03341546687304272	31.0	lung	34	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
median	17	17	6.7502963783917	6.7502963783917	0.025167006892858914	0.4532871972318339	7.500282056165811	8.351306880051986	210.0	lung	34	TACSTD2	False	companion only
tertile	12	12	6.358540658501168	7.375419728292027	0.01937331933159289	0.5694444444444444	7.272563853821912	8.74494501469305	113.0	lung	34	TACSTD2	False	companion only
quartile	9	9	6.1873714817493655	7.503709360485013	0.04226010608395664	0.5802469135802469	6.6719822353364515	9.274316407559324	64.0	lung	34	TACSTD2	False	companion only
median	17	17	6.7502963783917	6.7502963783917	0.010808764903168162	0.5155709342560554	-0.060631052195680046	0.47799632074264214	219.0	lung	34	epithelial	False	companion: epithelial mean-z
tertile	12	12	6.358540658501168	7.375419728292027	0.0024367348089890145	0.7361111111111112	-0.1408259450144484	0.7689966382100166	125.0	lung	34	epithelial	False	companion: epithelial mean-z
quartile	9	9	6.1873714817493655	7.503709360485013	0.008071487425268009	0.7530864197530864	-0.16171798142574256	0.799485875505091	71.0	lung	34	epithelial	False	companion: epithelial mean-z
median	36	35	7.335877796676139	7.335877796676139	0.10123289972993921	-0.22698412698412698	3.3174831292730116	2.994654144398791	487.0	GI	71	CD274	True	leftover: PD-L1 transcript
tertile	24	24	6.817222408172686	7.7914285957094345	0.15781862293298143	-0.23958333333333334	3.2541668712496437	2.855936748116487	219.0	GI	71	CD274	True	leftover: PD-L1 transcript
quartile	18	18	6.360037616352999	7.912106926125124	0.26136517590616637	-0.2222222222222222	3.2541344001958037	2.955539165770444	126.0	GI	71	CD274	True	leftover: PD-L1 transcript
median	36	35	7.335877796676139	7.335877796676139	0.1693235642586397	-0.19047619047619047	0.14430758025939672	-0.00820726950284749	510.0	GI	71	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
tertile	24	24	6.817222408172686	7.7914285957094345	0.197492567454973	-0.21875	0.1508903249297799	-0.02613117970171209	225.0	GI	71	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
