cohort	gene	panel	n	rho	p	rho_adj_epithelial	p_adj_epithelial	q_bh
all	TAP1	MHC_I_core_known	365	0.30758545294812983	1.944366068741526e-09	0.2403807286358376	3.400794714862969e-06	
all	TAP2	MHC_I_core_known	365	0.20688337039111804	6.830685916607094e-05	0.2058506057158651	7.438967316635946e-05	
all	TAPBP	MHC_I_core_known	365	0.3088430321082466	1.6579735805041226e-09	0.23018412084210424	8.897278159018522e-06	
FFPE	CD274	leftover_IFN_or_CD274	313	-0.014517878694431876	0.7980795294950531	0.07008521788949537	0.21627494871323744	0.7980795294950531
FFPE	IFNG	leftover_IFN_or_CD274	313	-0.02635498268189546	0.6423021569483862	0.01965811096170673	0.7290199736871479	0.740842255011693
FFPE	STAT1	leftover_IFN_or_CD274	313	-0.04117312349236811	0.4679489154055057	-0.04579639749355465	0.419434323877288	0.675926211141286
FFPE	IRF1	leftover_IFN_or_CD274	313	0.1981178962264003	0.00042180129686550524	0.14027766255030655	0.012986821455091547	0.002741708429625784
FFPE	CXCL9	leftover_IFN_or_CD274	313	-0.05872700690164722	0.3003309155375503	-0.027187465268700896	0.6318251640316587	0.5577574145697363
FFPE	CXCL10	leftover_IFN_or_CD274	313	0.04521447702294652	0.4253737730193877	0.07548803834491956	0.18283465035704832	0.675926211141286
FFPE	CXCL11	leftover_IFN_or_CD274	313	0.11246014216547985	0.046814648768338726	0.13099589407560347	0.020434120781591392	0.12171808679768067
FFPE	IDO1	leftover_IFN_or_CD274	313	0.11556442253023376	0.04103129435066773	0.10645818234186398	0.05993774085956716	0.12171808679768067
FFPE	ISG15	leftover_IFN_or_CD274	313	0.26663736845153585	1.7070308234635212e-06	0.1422390515205069	0.011761546691990008	2.2191400705025775e-05
FFPE	MX1	leftover_IFN_or_CD274	313	0.139720005071748	0.01335510336283748	0.09776420441649068	0.08419567399068913	0.05787211457229575
FFPE	IFIT1	leftover_IFN_or_CD274	313	-0.02310619520281513	0.6838543892415628	-0.040156425857775034	0.47901802259953646	0.740842255011693
FFPE	OAS2	leftover_IFN_or_CD274	313	0.08977894066211356	0.11292105189619238	0.07821645093475132	0.1674729584784243	0.24466227910841684
FFPE	GBP1	leftover_IFN_or_CD274	313	0.025260122755086226	0.6561895230500121	0.06361326042956453	0.2618337678374863	0.740842255011693
FFPE	HLA-A	MHC_I_core_known	313	0.1502579703928883	0.00774858152309724	0.13215660430816814	0.01933530224340233	
FFPE	HLA-B	MHC_I_core_known	313	0.15366418140578209	0.006451289135057298	0.14673083575832807	0.009332367584022344	
FFPE	HLA-C	MHC_I_core_known	313	0.17416914905773492	0.001983379198621909	0.12323565000555699	0.029268314078648473	
FFPE	B2M	MHC_I_core_known	313	-0.02698083849769814	0.6344188613836784	-0.021868391269705852	0.6999488682869414	
FFPE	TAP1	MHC_I_core_known	313	0.2605935353997054	2.969614558392574e-06	0.20552476155740232	0.00025151573180460043	
FFPE	TAP2	MHC_I_core_known	313	0.23021118195209075	3.9238575194647255e-05	0.2352187504402559	2.623243839940789e-05	
FFPE	TAPBP	MHC_I_core_known	313	0.34883138472809005	2.1920326017663092e-10	0.282809435329734	3.6256944633322895e-07	
breast	CD274	leftover_IFN_or_CD274	201	-0.14168612383626422	0.044818644664343446	0.0026466676518398105	0.9702545502554443	0.11652847612729296
breast	IFNG	leftover_IFN_or_CD274	201	-0.1784579554266601	0.011255056503728596	-0.05810107876459288	0.4126267088537742	0.07315786727423587
breast	STAT1	leftover_IFN_or_CD274	201	-0.16024087483375202	0.023065894680113268	-0.08839071966898182	0.21211057926930982	0.09995221028049082
breast	IRF1	leftover_IFN_or_CD274	201	-0.026500664991872327	0.7088253535324622	0.012767843948573963	0.857235935285804	0.7088253535324622
breast	CXCL9	leftover_IFN_or_CD274	201	-0.0858194177626718	0.22576203293507838	-0.01578986256834639	0.8239420741527137	0.32610071423955767
breast	CXCL10	leftover_IFN_or_CD274	201	0.08639869957144967	0.2226335010825128	0.1507669572927442	0.03264792849367404	0.32610071423955767
breast	CXCL11	leftover_IFN_or_CD274	201	0.07963942662923008	0.2610860455539521	0.1685059849268509	0.016792983581451936	0.3394118592201377
breast	IDO1	leftover_IFN_or_CD274	201	0.07478258299733469	0.29138331481736657	0.09138466085414511	0.19697351302768995	0.34436209932961503
breast	ISG15	leftover_IFN_or_CD274	201	0.32934830796512493	1.8054337467741901e-06	0.22259051278262154	0.0014930838316685228	2.3470638708064472e-05
breast	MX1	leftover_IFN_or_CD274	201	0.15102260972365894	0.03235063244271516	0.14907787793704744	0.03467107367812576	0.10513955543882428
breast	IFIT1	leftover_IFN_or_CD274	201	0.11440076843505245	0.1058547837444778	0.08173488990690114	0.2487068558979933	0.21615383749740677
breast	OAS2	leftover_IFN_or_CD274	201	0.11109649770947243	0.11639052788321903	0.14338406975025858	0.0422908708419824	0.21615383749740677
breast	GBP1	leftover_IFN_or_CD274	201	-0.0630530515738141	0.37387343041811005	0.05281217674006207	0.4565184554302376	0.40502954961961923
breast	HLA-A	MHC_I_core_known	201	0.19827397665139648	0.00477915493718846	0.19766957292744203	0.0049115363544609365	
breast	HLA-B	MHC_I_core_known	201	0.21876311511748192	0.001808271572754967	0.22463277671050685	0.0013462739285507008	
breast	HLA-C	MHC_I_core_known	201	0.22280774346091328	0.0014768000080870342	0.18111127530663512	0.010082262905164879	
breast	B2M	MHC_I_core_known	201	-0.033178661149697065	0.6400822745498904	-0.014223437269100045	0.8411642356616907	
breast	TAP1	MHC_I_core_known	201	0.277647406531698	6.592745859027408e-05	0.2430441850155165	0.000507945006856863	
breast	TAP2	MHC_I_core_known	201	0.1986641052164918	0.004695416633284312	0.2822225506132703	4.926999155644607e-05	
breast	TAPBP	MHC_I_core_known	201	0.3070297029702971	9.280150913719856e-06	0.26649770947243984	0.00013126016174860161	
lung	CD274	leftover_IFN_or_CD274	34	-0.3537051184110008	0.040153751203069916	-0.27058823529411763	0.12166891237616724	0.1739995885466363
lung	IFNG	leftover_IFN_or_CD274	34	-0.41879297173414815	0.013696647511114393	-0.42765469824293356	0.011640217173966422	0.13445777187352548
lung	STAT1	leftover_IFN_or_CD274	34	-0.3090909090909091	0.07528488915568052	-0.34912146676852557	0.04299635315302608	0.2446758897559617
lung	IRF1	leftover_IFN_or_CD274	34	-0.03621084797555385	0.8388907681910315	-0.07410236822001527	0.677044980151969	0.8550237215883221
lung	CXCL9	leftover_IFN_or_CD274	34	-0.254392666157372	0.14653565903420968	-0.2372803666921314	0.17662861310383082	0.32738617276908594
lung	CXCL10	leftover_IFN_or_CD274	34	-0.12696715049656226	0.4742684253855281	-0.07838044308632544	0.6594905989525148	0.7514799698066155
lung	CXCL11	leftover_IFN_or_CD274	34	-0.09946524064171122	0.5757015697684786	-0.06279602750190985	0.7242285218998915	0.7514799698066155
lung	IDO1	leftover_IFN_or_CD274	34	0.09885408708938119	0.578061515235858	0.1367456073338426	0.44060875459815113	0.7514799698066155
lung	ISG15	leftover_IFN_or_CD274	34	0.3952635599694423	0.020685811057465458	0.24980901451489684	0.15420186581618198	0.13445777187352548
lung	MX1	leftover_IFN_or_CD274	34	0.03254392666157372	0.8550237215883221	0.020932009167303284	0.9064631214144443	0.8550237215883221
lung	IFIT1	leftover_IFN_or_CD274	34	-0.06462948815889992	0.7165035882925725	-0.009320091673032849	0.9582790426358094	0.8467769679821312
lung	OAS2	leftover_IFN_or_CD274	34	-0.2516424751718869	0.1511013105088089	-0.21986249045072573	0.2115148565223452	0.32738617276908594
lung	GBP1	leftover_IFN_or_CD274	34	-0.22169595110771578	0.20763460471071005	-0.1825821237585943	0.30135788266988867	0.3856071230341758
lung	HLA-A	MHC_I_core_known	34	0.3127578304048892	0.07171126956821694	0.2375859434682964	0.17605550300220268	
lung	HLA-B	MHC_I_core_known	34	0.11718869365928188	0.5092264954585431	0.1092436974789916	0.5385457761171989	
lung	HLA-C	MHC_I_core_known	34	0.21283422459893048	0.22685031349802773	0.20183346065699004	0.2523378915811136	
lung	B2M	MHC_I_core_known	34	0.2293353705118411	0.1919969249850954	0.12513368983957218	0.48072580738702003	
lung	TAP1	MHC_I_core_known	34	0.2461420932009167	0.16054058202752297	0.19266615737203968	0.2749764370760022	
lung	TAP2	MHC_I_core_known	34	0.014514896867838044	0.9350649313227428	0.016959511077158134	0.9241576571973187	
lung	TAPBP	MHC_I_core_known	34	0.21466768525592053	0.22277894270498427	0.1067990832696715	0.5477263446188525	
GI	CD274	leftover_IFN_or_CD274	71	-0.16780684104627763	0.1618703487359443	-0.2000670690811536	0.09436046812672103	0.322552932657121
GI	IFNG	leftover_IFN_or_CD274	71	-0.16252200945863984	0.17568864201067233	-0.15365526492287054	0.2007724900179126	0.322552932657121
GI	STAT1	leftover_IFN_or_CD274	71	-0.11006036217303822	0.360872445477491	-0.2727028839704896	0.021400426766365516	0.5174331074833846
GI	IRF1	leftover_IFN_or_CD274	71	0.202112676056338	0.09097138296875654	0.09711602951039569	0.4204180560995177	0.322552932657121
GI	CXCL9	leftover_IFN_or_CD274	71	-0.18323272971160293	0.1261348923102495	-0.1954728370221328	0.10233254031725296	0.322552932657121
GI	CXCL10	leftover_IFN_or_CD274	71	-0.05040241448692153	0.6763672876494643	-0.13138832997987926	0.27474972532076597	0.7714318096625741
GI	CXCL11	leftover_IFN_or_CD274	71	0.04456740442655935	0.7120909012269915	-0.08363514419852447	0.4880398834532463	0.7714318096625741
GI	IDO1	leftover_IFN_or_CD274	71	-0.10184781520868463	0.3980254672949112	-0.1436619718309859	0.2319923443604563	0.5174331074833846
GI	ISG15	leftover_IFN_or_CD274	71	0.1619718309859155	0.17717518904078636	-0.12162977867203217	0.31228605751225547	0.322552932657121
GI	MX1	leftover_IFN_or_CD274	71	-0.02391012743125419	0.8431057164567444	-0.2406438631790744	0.04322580059439225	0.8431057164567444
GI	IFIT1	leftover_IFN_or_CD274	71	-0.22243460764587522	0.062261276754398236	-0.3637491616364855	0.0018198185027765645	0.322552932657121
GI	OAS2	leftover_IFN_or_CD274	71	-0.19064386317907442	0.11126700152625081	-0.3346411804158283	0.004338778245654112	0.322552932657121
GI	GBP1	leftover_IFN_or_CD274	71	-0.15442655935613678	0.19849411240438214	-0.20090543259557342	0.09295972084595239	0.322552932657121
GI	HLA-A	MHC_I_core_known	71	0.1460429242119383	0.2242650256137768	0.1458417169684775	0.22491098980688884	
GI	HLA-B	MHC_I_core_known	71	0.17297116029510393	0.14915892521812987	0.16029510395707575	0.18176208543468064	
GI	HLA-C	MHC_I_core_known	71	0.1419181757209926	0.2377677895604633	0.08091884641180415	0.502326849833472	
GI	B2M	MHC_I_core_known	71	0.047719651240778	0.6927092795835177	0.12914151576123406	0.28311271281412276	
GI	TAP1	MHC_I_core_known	71	0.3324614352783367	0.004615634392388177	0.15677397719651237	0.19167382981830058	
GI	TAP2	MHC_I_core_known	71	0.09570757880617035	0.42722048885225666	-0.05439302481556002	0.6523338769497974	
GI	TAPBP	MHC_I_core_known	71	0.24808853118712274	0.03697326830118364	0.08256203890006707	0.49365836341306846	
