cohort	patient	unit	rule	n_mal	n_high	n_low	n_TNK	mean_CLDN4_high	mean_CLDN4_low	eligible_mal_split	eligible_TNK	thin_tail	given_combo_member
GSE123902	LX701	donor	median	90	10	80	322	2.1789703369140625	0.0	True	True	True	True
GSE123902	LX701	donor	tertile	90	10	80	322	2.1789703369140625	0.0	True	True	True	True
GSE123902	LX701	donor	q4q1	90	10	80	322	2.1789703369140625	0.0	True	True	True	True
GSE189357	TD1	patient	median	2186	1093	1093	9915	2.243379592895508	0.10228029638528824	True	True	False	True
GSE189357	TD1	patient	tertile	2186	729	959	9915	2.5718326568603516	0.0	True	True	False	True
GSE189357	TD1	patient	q4q1	2186	547	959	9915	2.732328176498413	0.0	True	True	False	True
GSE189357	TD2	patient	median	1207	430	777	11334	1.8243781328201294	0.0	True	True	False	True
GSE189357	TD2	patient	tertile	1207	403	777	11334	1.9024499654769897	0.0	True	True	False	True
GSE189357	TD2	patient	q4q1	1207	302	777	11334	2.1662068367004395	0.0	True	True	False	True
GSE189357	TD3	patient	median	664	319	345	6525	1.5786819458007812	0.0	True	True	False	True
GSE189357	TD3	patient	tertile	664	222	345	6525	1.8723491430282593	0.0	True	True	False	True
GSE189357	TD3	patient	q4q1	664	166	345	6525	2.058765172958374	0.0	True	True	False	True
GSE189357	TD4	patient	median	491	149	342	7096	1.647559642791748	0.0	True	True	False	True
GSE189357	TD4	patient	tertile	491	149	342	7096	1.647559642791748	0.0	True	True	False	True
GSE189357	TD4	patient	q4q1	491	123	342	7096	1.8125516176223755	0.0	True	True	False	True
GSE189357	TD5	patient	median	1736	640	1096	11055	2.040433406829834	0.0	True	True	False	True
GSE189357	TD5	patient	tertile	1736	579	1096	11055	2.159224033355713	0.0	True	True	False	True
GSE189357	TD5	patient	q4q1	1736	434	1096	11055	2.377211570739746	0.0	True	True	False	True
GSE189357	TD6	patient	median	1211	605	606	3392	1.866513967514038	0.24357016384601593	True	True	False	True
GSE189357	TD6	patient	tertile	1211	404	442	3392	2.1113040447235107	0.0	True	True	False	True
GSE189357	TD6	patient	q4q1	1211	303	442	3392	2.262007474899292	0.0	True	True	False	True
GSE189357	TD7	patient	median	849	311	538	1851	2.0491509437561035	0.0	True	True	False	True
GSE189357	TD7	patient	tertile	849	283	538	1851	2.154789447784424	0.0	True	True	False	True
GSE189357	TD7	patient	q4q1	849	213	538	1851	2.397320032119751	0.0	True	True	False	True
GSE189357	TD8	patient	median	1019	462	557	7257	1.5292500257492065	0.0	True	True	False	True
GSE189357	TD8	patient	tertile	1019	340	557	7257	1.7661502361297607	0.0	True	True	False	True
GSE189357	TD8	patient	q4q1	1019	255	557	7257	1.933392882347107	0.0	True	True	False	True
GSE189357	TD9	patient	median	4889	2444	2445	4345	2.6437337398529053	0.9140555262565613	True	True	False	True
GSE189357	TD9	patient	tertile	4889	1630	1630	4345	2.8585126399993896	0.4607038199901581	True	True	False	True
GSE189357	TD9	patient	q4q1	4889	1223	1223	4345	2.985304594039917	0.14514552056789398	True	True	False	True
