direction	ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
malignant_CLDN4high_to_TNK	CX3CL1	CX3CR1	T_recruit	7	3	0.031967222690582275	0.036034931195899844	0.28716722084209323	0.2511322896461934	1.0	0.5	1	4	0	3	0.0390625	0.07699275362318841
malignant_CLDN4high_to_TNK	CXCL16	CXCR6	T_recruit	39	4	0.04017576947808266	0.05610335166566074	0.36817579045891763	0.31207243879325686	1.0	0.9	7	18	4	11	3.062996256630868e-08	5.207093636272475e-07
malignant_CLDN4high_to_TNK	CXCL14	CXCR4	T_recruit_partial	38	4	0.002020079642534256	0.03129399507306516	1.2228300206828862	1.191536025609821	0.95	0.875	8	14	12	6	0.5717037787562731	0.6444672131147541
malignant_CLDN4high_to_TNK	SFTPD	ADGRE5	other	23	4	-0.04004375636577606	-0.04519911676645279	0.5189721905067564	0.5641713072732091	0.92	0.84	2	17	1	5	0.029578447341918945	0.06285420060157776
malignant_CLDN4high_to_TNK	PPIA	BSG	other	71	4	-0.029685020446777344	-0.04072317361831665	1.352009327908357	1.3927325015266736	1.0	1.0	8	29	17	21	0.005047671444084166	0.013201602238373975
malignant_CLDN4high_to_TNK	COL3A1	ITGA1+ITGB1	other	4	3	-0.02805162686854601	-0.024245176929980516	0.2542304596863687	0.2784756366163492	0.75	1.0	1	1	2	0	0.25	0.33999999999999997
malignant_CLDN4high_to_TNK	COL4A1	ITGA1+ITGB1	other	6	3	-0.02712235227227211	-0.015087463892996311	0.28860661077002686	0.3036940746630232	1.0	0.8333333333333334	4	0	1	1	0.3125	0.4086538461538462
malignant_CLDN4high_to_TNK	COL3A1	ADGRG1	other	4	3	-0.017231697216629982	-0.020970316603779793	0.20282456018030642	0.22379487678408622	0.6	1.0	1	1	3	0	0.125	0.19540229885057472
malignant_CLDN4high_to_TNK	TGFB1	TGFBR1+TGFBR2	other	9	2	-0.017058618366718292	-0.12323415300084485	0.1685467300315698	0.2917808830324147	0.8888888888888888	0.7777777777777778	1	0	0	8	0.203125	0.2970430107526882
malignant_CLDN4high_to_TNK	CD320	JAML	other	44	4	-0.011221464723348618	-0.00798882135843977	0.24461397358236162	0.2526027949408014	0.9361702127659575	0.9574468085106383	5	23	4	15	0.1688007238032725	0.25717695162683313
malignant_CLDN4high_to_TNK	KLRB1	CLEC2D	other	9	2	-0.009561622980982065	-0.02393520288169384	0.3841636596247554	0.4080988625064492	0.6	0.8	0	7	0	3	0.048828125	0.0896484375
malignant_CLDN4high_to_TNK	COL7A1	ITGA1+ITGB1	other	10	3	-0.008151266723871231	-0.015739810932427645	0.2571548217907548	0.27289463272318243	0.8	0.9	4	0	3	3	0.4921875	0.5770474137931034
malignant_CLDN4high_to_TNK	DLL3	NOTCH1	other	4	2	-0.00647817924618721	-0.005037736147642136	0.1543751354329288	0.15941287158057094	1.0	0.75	1	0	0	3	0.625	0.685483870967742
malignant_CLDN4high_to_TNK	COL4A2	ITGA1+ITGB1	other	8	3	-0.005834819283336401	-0.002232351922430098	0.27182728715706617	0.27405963907949626	0.875	0.75	4	0	1	3	0.7421875	0.7824612403100776
malignant_CLDN4high_to_TNK	SPP1	ITGA4+ITGB1	other	31	4	-0.00580567866563797	0.010794538210200913	0.5113095444188837	0.5005150062086827	0.9117647058823529	0.9411764705882353	6	13	9	6	0.6362982825376093	0.692292531400919
malignant_CLDN4high_to_TNK	TNF	TNFRSF1B	other	13	4	-0.0020787306129932404	-0.008738640839090714	0.2964027082690826	0.3051413491081733	0.6153846153846154	0.6153846153846154	1	5	1	6	0.541748046875	0.6297242254273504
malignant_CLDN4high_to_TNK	COL4A5	ITGA1+ITGB1	other	8	2	-0.0008260272443294525	0.007137170061469078	0.33514421223662794	0.32800704217515886	1.0	0.875	6	0	0	2	0.9453125	0.9821535066793893
malignant_CLDN4high_to_TNK	ICAM3	ITGAL+ITGB2	other	31	4	0.0002963505685329437	-0.020365105264566162	0.2461377572494023	0.26650286251396843	0.9393939393939394	0.7878787878787878	2	17	1	13	0.33921037591062486	0.439358201179476
malignant_CLDN4high_to_TNK	LPAR3	ADGRE5	other	16	4	0.0010042479261755943	0.008706283930223435	0.3460194133222103	0.3373131293919869	0.8125	0.8125	4	4	2	6	0.5618896484375	0.6421595982142857
malignant_CLDN4high_to_TNK	TNFSF12	TNFRSF25	other	31	3	0.0015465794131159782	0.000797130223872955	0.1685497970029246	0.16775266677905165	0.875	0.65625	3	18	0	11	0.39995870366692543	0.5036517009139061
malignant_CLDN4high_to_TNK	PTGES3	PTGER4	other	47	4	0.0023750662803649902	0.0028522121906280518	0.7996081528067589	0.7967559406161309	1.0	1.0	8	23	1	18	0.6947463342363385	0.7381679801261096
malignant_CLDN4high_to_TNK	TGFB1	TGFBR3	other	12	3	0.0027035921812057495	-0.06557154153975156	0.2442560330606424	0.30982757460039395	0.9230769230769231	0.8461538461538461	1	3	0	9	0.946044921875	0.9821535066793893
malignant_CLDN4high_to_TNK	SEMA4D	PTPRC	other	48	4	0.005061836913228035	-0.0018825817250591867	0.8805290933552326	0.8824116750802918	0.9411764705882353	0.5294117647058824	7	21	4	19	0.03183120304545379	0.06422275118529797
malignant_CLDN4high_to_TNK	CLEC2B	KLRF1	other	12	3	0.005153492093086243	0.015413571578951983	0.30573575026713884	0.2903221786881869	0.9230769230769231	0.46153846153846156	1	8	0	4	0.01708984375	0.03748739919354839
malignant_CLDN4high_to_TNK	IL7	IL2RG+IL7R	other	16	3	0.005311194807291031	0.010769349906374426	0.4859592068721266	0.4751898569657522	0.8823529411764706	0.47058823529411764	1	8	0	8	0.0638275146484375	0.10716718508873457
malignant_CLDN4high_to_TNK	DHCR7	RORA	other	54	4	0.005885329097509384	0.005474556060829039	0.3463666629335233	0.3408921068726942	0.896551724137931	0.8793103448275862	7	26	5	20	0.10815592647484451	0.1772193494045645
malignant_CLDN4high_to_TNK	MPZL1	MPZL1	other	3	2	0.0066133178770542145	-0.03129623457789421	0.21892796829342842	0.25022420287132263	1.0	1.0	0	0	1	2	1.0	1.0
malignant_CLDN4high_to_TNK	PTGES2	PTGER4	other	47	4	0.007346408441662788	0.010245438665151596	0.37314940944314	0.3629039707779884	1.0	0.94	8	23	1	18	0.010879562807692977	0.026902191669931727
malignant_CLDN4high_to_TNK	IGF2	IGF2R	other	5	1	0.0075566694140434265	0.024551522731781007	0.4372094705700874	0.41265794783830645	0.8	0.8	0	0	0	5	0.4375	0.5265486725663716
malignant_CLDN4high_to_TNK	LPAR2	ADGRE5	other	51	4	0.007975654676556587	0.010725719931845864	0.3248486044747686	0.31412288454292275	0.9629629629629629	0.6296296296296297	7	24	3	20	0.00017701099494800627	0.0006878141517979672
malignant_CLDN4high_to_TNK	COL4A4	ITGA1+ITGB1	other	5	2	0.008636750280857086	0.03211090713739395	0.27038016989827157	0.23826926276087762	1.0	0.6	3	0	0	2	0.0625	0.10625
malignant_CLDN4high_to_TNK	PVR	CD96	other	43	4	0.00872320681810379	0.010093176686812354	0.36665032657227764	0.3565571498854653	0.9347826086956522	0.782608695652174	7	17	6	16	0.00427738696311053	0.011406365234961413
malignant_CLDN4high_to_TNK	SELPLG	SELL	other	8	2	0.009291891939938068	-0.04126226343214512	0.3730540815740824	0.4143163450062275	0.8888888888888888	0.4444444444444444	0	5	0	4	0.65234375	0.7041170634920635
malignant_CLDN4high_to_TNK	PVR	TIGIT	other	41	4	0.009451502934098244	0.013049539464356547	0.349359168745154	0.33630962928079744	0.9318181818181818	0.7954545454545454	7	17	5	15	0.0014857447449685424	0.004299176283313229
malignant_CLDN4high_to_TNK	DHCR7	NR1H2	other	43	3	0.00953789334744215	0.00883253200141632	0.2105376580932542	0.20170512609183788	0.9347826086956522	0.8478260869565217	4	23	0	19	0.018373766947519243	0.03966400483908916
malignant_CLDN4high_to_TNK	HFE	TFRC	other	13	3	0.00965682603418827	0.01192717384457445	0.19525488666616952	0.18332771282159507	1.0	0.46153846153846156	6	1	0	6	0.00341796875	0.009486607142857142
malignant_CLDN4high_to_TNK	PTGES2	PTGER2	other	29	3	0.009671196341514587	0.015286352966100938	0.24981107442609726	0.2345247214599963	1.0	0.9354838709677419	1	15	0	15	0.03211137559264898	0.06422275118529797
malignant_CLDN4high_to_TNK	COL6A1	ITGA1+ITGB1	other	10	4	0.011092315427958965	0.037244956195354464	0.3293858516961336	0.29214089550077915	1.0	0.7	4	1	1	4	0.048828125	0.0896484375
malignant_CLDN4high_to_TNK	COL28A1	ITGA1+ITGB1	other	6	3	0.01122488547116518	0.01316492926950256	0.1976518885542949	0.18448695928479233	1.0	0.5	2	1	0	3	0.03125	0.06422275118529797
malignant_CLDN4high_to_TNK	TNFSF15	TNFRSF25	other	21	3	0.011335671879351139	0.01962966031888278	0.18833809181870448	0.1687084314998217	0.9523809523809523	0.47619047619047616	2	10	0	9	0.0011758804321289062	0.00355377197265625
malignant_CLDN4high_to_TNK	JAG1	CD46	other	42	4	0.01145192887634039	0.016628831667317587	0.28158437890339305	0.26495554723607545	0.9090909090909091	0.7272727272727273	6	9	14	15	0.042082897992031576	0.08176105895594707
malignant_CLDN4high_to_TNK	COL1A2	ITGA1+ITGB1	other	5	3	0.012475937604904175	0.019020281732082367	0.400401546806097	0.38138126507401465	1.0	0.8	1	1	3	0	0.4375	0.5265486725663716
malignant_CLDN4high_to_TNK	PTGDS	PTGDR	other	5	2	0.012729601934552193	0.02512480194369952	0.15698253829032183	0.13185773634662232	1.0	0.6666666666666666	0	4	0	2	0.03125	0.06422275118529797
malignant_CLDN4high_to_TNK	CD274	PDCD1	other	13	3	0.012933416292071342	0.010981539774757739	0.25731962303129524	0.24633808325653753	1.0	0.6153846153846154	5	4	0	4	0.10986328125	0.17787388392857142
malignant_CLDN4high_to_TNK	LIPA	RORA	other	56	4	0.012970667332410812	0.014790166516677809	0.3461218150806124	0.3313316485639346	0.9491525423728814	0.864406779661017	8	26	7	18	1.329563200988249e-05	7.534191472266744e-05
malignant_CLDN4high_to_TNK	LPAR1	ADGRE5	other	20	4	0.013086463965009898	0.014599892046217892	0.3567725583826276	0.34217266633640975	1.0	0.5	7	5	3	7	8.058547973632812e-05	0.00033210985588304925
malignant_CLDN4high_to_TNK	JAG2	NOTCH1	other	12	2	0.013470533303916454	0.005835679670174916	0.16188465912515917	0.15604897945498428	1.0	0.5	4	0	0	8	0.30126953125	0.4016927083333333
malignant_CLDN4high_to_TNK	COL9A2	ITGA1+ITGB1	other	7	3	0.014071054756641388	0.009649838054818767	0.2215968860047204	0.21194704794990166	1.0	0.42857142857142855	3	1	0	3	0.578125	0.6444672131147541
malignant_CLDN4high_to_TNK	PTGES3	PTGER2	other	29	3	0.014142751693725586	0.013329376136102983	0.6914057330258431	0.6780763568897401	1.0	1.0	1	15	0	15	0.13531039096415043	0.20911605876277792
malignant_CLDN4high_to_TNK	NECTIN3	TIGIT	other	11	2	0.0143136503174901	0.010064092041416601	0.3561864463104443	0.3461223542690277	0.9090909090909091	0.45454545454545453	2	0	0	9	0.1748046875	0.261246565934066
malignant_CLDN4high_to_TNK	SEMA7A	ITGA1+ITGB1	other	7	2	0.01459423778578639	0.02345067628526262	0.21858819667249918	0.19513752038723656	1.0	0.42857142857142855	3	0	0	4	0.046875	0.0896484375
malignant_CLDN4high_to_TNK	ICAM2	ITGAL+ITGB2	other	14	3	0.014672435820102692	0.0005383067453900973	0.2871206038321058	0.2865822970867157	0.9333333333333333	0.7333333333333333	2	7	0	6	0.48870849609375	0.5770474137931034
malignant_CLDN4high_to_TNK	PODXL	SELL	other	21	4	0.015039825113490224	0.019078968862727794	0.29785883155736054	0.2787798626946328	0.9545454545454546	0.4090909090909091	1	9	2	10	0.0025048255920410156	0.00709700584411621
malignant_CLDN4high_to_TNK	IL6	IL6R+IL6ST	other	3	2	0.01634214073419571	0.01143164187669754	0.22166570276021957	0.21023406088352203	1.0	1.0	2	0	0	1	0.25	0.33999999999999997
malignant_CLDN4high_to_TNK	LGALS9	P4HB	other	55	4	0.016857922077178955	0.02399481847686203	0.4036253641539237	0.37963054567706167	0.9649122807017544	0.9122807017543859	8	24	8	17	0.00036604615859181576	0.0012764686556022294
malignant_CLDN4high_to_TNK	CD58	CD2	other	63	4	0.017199784517288208	0.02216281551712503	0.8518480253546978	0.8296852098375728	1.0	0.7727272727272727	8	23	16	19	1.192088885402925e-05	7.048873409339034e-05
malignant_CLDN4high_to_TNK	CNTN1	NOTCH1	other	4	2	0.01738167554140091	0.023459751158952713	0.21374199725687504	0.19028224609792233	1.0	1.0	2	0	0	2	0.625	0.685483870967742
malignant_CLDN4high_to_TNK	PODXL2	SELL	other	34	4	0.017961112782359123	0.032972629022385395	0.3371625367552042	0.3041899077328188	1.0	0.7428571428571429	4	15	2	14	1.2534437701106071e-06	1.065427204594016e-05
malignant_CLDN4high_to_TNK	ITGAV+ITGB1	ADGRE5	other	61	4	0.018035486340522766	0.029983117058873177	0.3861009612966042	0.3561178442377311	0.9692307692307692	0.9076923076923077	8	28	9	20	6.439093770380024e-05	0.00027366148524115105
malignant_CLDN4high_to_TNK	CD44	TYROBP	other	59	4	0.01810227520763874	0.00881495179548379	0.6100273983733308	0.601212446577847	1.0	0.9193548387096774	5	26	17	14	0.19102084990174018	0.28237864768083326
malignant_CLDN4high_to_TNK	COL1A1	ITGA1+ITGB1	other	14	4	0.019047691021114588	0.03562996782628553	0.3244688772995557	0.2888389094732702	1.0	0.7142857142857143	6	2	2	4	0.0494384765625	0.0896484375
malignant_CLDN4high_to_TNK	COL16A1	ITGA1+ITGB1	other	7	3	0.01923344098031521	0.01724625187593379	0.2240408467394965	0.20679459486356272	1.0	0.42857142857142855	3	1	0	3	0.078125	0.12957317073170732
malignant_CLDN4high_to_TNK	COL18A1	ITGA1+ITGB1	other	10	4	0.01924958359450102	0.02801201492547989	0.2391956290230155	0.2111836140975356	0.7	0.6	4	1	1	4	0.048828125	0.0896484375
malignant_CLDN4high_to_TNK	CEACAM1	CEACAM6	other	4	3	0.020010799169540405	0.04864336922764778	0.21291869785636663	0.16427532862871885	1.0	0.75	0	2	1	1	0.125	0.19540229885057472
malignant_CLDN4high_to_TNK	FN1	ITGA4+ITGB1	other	36	4	0.020119279623031616	0.007037967204665527	0.3099374667956279	0.30289949959096235	0.9230769230769231	0.8205128205128205	3	17	8	11	0.22479679678508546	0.3218143617133855
malignant_CLDN4high_to_TNK	COL17A1	ITGA1+ITGB1	other	12	4	0.021222818177193403	0.004769259481690824	0.2632891205139458	0.258519861032255	0.8333333333333334	0.6666666666666666	2	1	5	4	0.423828125	0.5240056818181819
malignant_CLDN4high_to_TNK	JAG2	NOTCH2	other	7	1	0.021544000133872032	0.024719944622899805	0.12084564273910862	0.09612569811620883	1.0	0.42857142857142855	0	0	0	7	0.015625	0.035416666666666666
malignant_CLDN4high_to_TNK	PVR	CD226	other	18	3	0.022128082811832428	0.027463669839658235	0.19232533274120406	0.16486166290154583	1.0	0.7894736842105263	6	3	0	10	0.000164031982421875	0.0006561279296875
malignant_CLDN4high_to_TNK	PTGES	PTGER2	other	19	3	0.023559026885777712	0.030889625288546087	0.20485005304217338	0.1739604277536273	1.0	0.5	1	9	0	10	5.7220458984375e-06	3.5372647372159087e-05
malignant_CLDN4high_to_TNK	PTGES	PTGER4	other	33	4	0.023611292243003845	0.029807516666395324	0.3331378853746823	0.30333036870828695	0.9714285714285714	0.6	6	15	1	13	1.2048985809087753e-08	2.3409458143370492e-07
malignant_CLDN4high_to_TNK	COL27A1	ITGA1+ITGB1	other	10	3	0.02382623148150742	0.022169062122702598	0.23528320733457803	0.21311414521187544	1.0	0.7	4	1	0	5	0.009765625	0.02459490740740741
malignant_CLDN4high_to_TNK	FGL1	LAG3	other	7	4	0.02451329678297043	-0.02507200012249606	0.38670339275683674	0.4117753928793328	1.0	1.0	1	3	1	2	0.6875	0.7362204724409449
malignant_CLDN4high_to_TNK	TNC	ITGA4+ITGB1	other	36	4	0.024582602083683014	0.02896973772562648	0.3168696322919507	0.2878998945663242	0.8421052631578947	0.8157894736842105	5	13	14	6	0.17019062975305133	0.25717695162683313
malignant_CLDN4high_to_TNK	TNFSF9	TNFRSF9	other	8	3	0.02525752759538591	0.036812636943068355	0.27243898645974696	0.2356263495166786	0.875	0.625	3	1	0	4	0.015625	0.035416666666666666
malignant_CLDN4high_to_TNK	CD47	SIRPG	other	39	4	0.026003047823905945	0.052241921238601205	0.548190054576844	0.4959481333382428	1.0	1.0	7	14	6	13	0.003867510851705447	0.010519629516638814
malignant_CLDN4high_to_TNK	LGALS9	HAVCR2	other	25	3	0.02674160525202751	0.03646319051488088	0.3450506078795745	0.3085874173646936	1.0	0.9615384615384616	8	9	0	9	0.00046509504318237305	0.0015813231468200684
malignant_CLDN4high_to_TNK	FN1	ITGA4+ITGB7	other	28	3	0.027909964323043823	0.03318852384484584	0.3074086208737666	0.27422009702892075	1.0	0.7741935483870968	3	17	0	11	0.0014681089669466019	0.004299176283313229
malignant_CLDN4high_to_TNK	COL6A2	ITGA1+ITGB1	other	8	4	0.028616907075047493	0.01601872220635414	0.2811142196878791	0.26509549748152494	1.0	0.625	3	1	1	3	0.3125	0.4086538461538462
malignant_CLDN4high_to_TNK	ICAM4	ITGAL+ITGB2	other	19	2	0.028652358800172806	0.04693166068976834	0.24811444781898034	0.201182787129212	1.0	0.5714285714285714	0	15	0	6	9.5367431640625e-07	8.646647135416666e-06
malignant_CLDN4high_to_TNK	LAMC1	ITGA6+ITGB1	other	6	2	0.029120031744241714	0.03950620939334234	0.1944424364094933	0.15493622701615095	1.0	0.6666666666666666	0	0	1	5	0.0625	0.10625
malignant_CLDN4high_to_TNK	CADM1	CADM1	other	4	4	0.029760170727968216	0.03487896919250488	0.4138877475634217	0.37900877837091684	1.0	0.75	1	1	1	1	0.375	0.4811320754716981
malignant_CLDN4high_to_TNK	JAG1	NOTCH1	other	14	2	0.03169331792742014	0.03965759377128312	0.23856562269585474	0.19890802892457163	1.0	0.6428571428571429	4	0	0	10	0.0166015625	0.037013319672131145
malignant_CLDN4high_to_TNK	BAG6	NCR3	other	14	2	0.032752394676208496	0.04674553374449412	0.31382838984330497	0.26708285609881083	1.0	1.0	0	8	0	7	0.0006103515625	0.001976376488095238
malignant_CLDN4high_to_TNK	DHCR24	RORA	other	63	4	0.03638548403978348	0.04632996372989754	0.5243902309839406	0.478060267254043	1.0	0.9701492537313433	8	28	11	20	0.0006940250982844471	0.0021950561248066237
malignant_CLDN4high_to_TNK	ALCAM	CD6	other	54	4	0.039119286462664604	0.06740907441567758	0.4797916790020877	0.41238260458641013	1.0	0.9482758620689655	7	27	6	18	8.307370614125618e-07	8.070017168007744e-06
malignant_CLDN4high_to_TNK	JAG1	NOTCH2	other	8	1	0.043558211997151375	0.0455090383766219	0.19817277323454618	0.15266373485792428	1.0	0.5	0	0	0	8	0.0078125	0.020047169811320754
malignant_CLDN4high_to_TNK	TGM2	ADGRG1	other	18	4	0.046282337920274585	0.06631261894271072	0.4443435449349253	0.37803092599221455	1.0	0.8421052631578947	2	7	3	7	0.001171112060546875	0.00355377197265625
malignant_CLDN4high_to_TNK	APLP2	PIGR	other	3	2	0.05019080638885498	0.0067955851554870605	0.8399302189548811	0.833134633799394	1.0	1.0	0	2	1	0	1.0	1.0
malignant_CLDN4high_to_TNK	PLAUR	ITGA4+ITGB1	other	50	4	0.05531926453113556	0.0804388060076338	0.4062442576758704	0.3258054516682366	0.9811320754716981	0.9245283018867925	7	17	12	17	6.368946028415556e-07	6.662897383573198e-06
malignant_CLDN4high_to_TNK	CCL20	CCR6	other	7	2	0.058301299810409546	0.07887367159128189	0.3274876837219511	0.2486140121306692	1.0	0.8571428571428571	0	4	0	3	0.21875	0.31648936170212766
malignant_CLDN4high_to_TNK	APP	CD74	other	70	4	0.058912307024002075	0.08132008269225081	1.2973317100781283	1.2160116273858776	1.0	0.9863013698630136	8	28	17	20	2.201716845824642e-07	2.8694127897985955e-06
malignant_CLDN4high_to_TNK	TNFSF10	TNFRSF10B	other	4	1	0.06939497217535973	0.11810332350432873	0.27345764823257923	0.1553543247282505	1.0	0.75	0	0	0	4	0.125	0.19540229885057472
malignant_CLDN4high_to_TNK	ICAM1	SPN	other	56	4	0.07152184844017029	0.08527880056240296	0.5032669085756702	0.41798810801326725	0.9661016949152542	0.9152542372881356	6	27	11	15	1.2156214594678972e-07	1.8369390943070447e-06
malignant_CLDN4high_to_TNK	APP	SORL1	other	38	3	0.07643532752990723	0.11509435451947726	0.5774662385766323	0.462371884057155	1.0	0.9743589743589743	7	17	0	15	2.3208485799841583e-07	2.8694127897985955e-06
malignant_CLDN4high_to_TNK	IGFBP3	TMEM219	other	50	4	0.07783035933971405	0.09861698067591836	0.5842978834967922	0.4856809028208739	1.0	0.8333333333333334	7	19	15	13	1.5743208287492646e-05	8.234908950380769e-05
