ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
LTA	TNFRSF14	other	9	3	0.046504829078912735	0.04106141378482183	0.23254293948411942	0.19148152569929758	1.0	0.8888888888888888	0	1	1	7	0.02734375	0.06332236842105263
PPIA	BSG	other	71	4	0.04658547043800354	0.05565938373406728	1.2996080806851387	1.2439486969510714	1.0	1.0	8	29	17	21	2.1168130543764815e-06	3.10465914641884e-05
FASLG	TNFRSF6B	other	6	1	0.04952932894229889	0.059467971635361515	0.2949842397744457	0.2355162681390842	0.8333333333333334	0.6666666666666666	0	0	0	6	0.21875	0.37019230769230765
APP	SORL1	other	10	3	0.05222767451778054	0.019524998683482408	0.22727496400475503	0.2077499653212726	0.9	0.7	0	1	1	8	0.193359375	0.3544921875
SEMA4D	PLXNB2	other	48	4	0.055721890181303024	0.08279202197893308	0.41464374801860404	0.331851726039671	1.0	0.8846153846153846	8	16	11	17	1.191556586020942e-08	5.242848978492144e-07
LGALS9	P4HB	other	24	4	0.0580105185508728	0.0746304976940155	0.7765833766758442	0.7019528789818287	1.0	1.0	5	5	2	13	0.0014527440071105957	0.006622035709337829
APP	CD74	other	9	3	0.06081700325012207	0.0510696197549502	1.0880154255363677	1.0369458057814174	1.0	1.0	0	1	1	7	0.30078125	0.46436403508771934
LTA	TNFRSF1A	other	12	3	0.0627845898270607	0.07628962180266778	0.2836808313926061	0.2073912095899383	1.0	0.9166666666666666	0	1	4	7	0.00244140625	0.008263221153846154
MDK	PTPRZ1	other	5	2	0.07010609656572342	0.07547763008624316	0.45173738040030004	0.3762597503140569	1.0	0.6	0	0	3	2	0.0625	0.13095238095238096
TNFSF12	TNFRSF12A	other	21	3	0.08309832215309143	0.12307157861955818	0.4380129666200706	0.3149413880005124	1.0	0.8571428571428571	7	2	0	12	1.811981201171875e-05	0.00017717149522569444
APLP2	PIGR	other	30	4	0.10491086635738611	0.11588549424583713	0.49557603982587656	0.3796905455800394	1.0	0.5666666666666667	1	11	11	7	2.6885420083999634e-05	0.00023659169673919677
COL3A1	ADGRG1	other	4	1	0.11450586467981339	0.11174042895436287	0.4979417659342289	0.38620133697986603	1.0	1.0	0	0	4	0	0.125	0.2391304347826087
CD226	NECTIN2	other	19	2	0.1438942328095436	0.14983011164555424	0.3938210867345333	0.24399097508897907	1.0	0.8947368421052632	7	0	0	12	3.814697265625e-06	4.795619419642857e-05
APP	TNFRSF21	other	8	2	0.15434709750115871	0.12151418751454912	0.2750717643648386	0.15355757685028948	1.0	0.625	0	1	0	7	0.015625	0.03819444444444444
CEACAM6	CEACAM6	other	6	3	0.2513399124145508	0.20269507293899855	1.1424944462875526	0.939799373348554	1.0	1.0	0	2	2	2	0.0625	0.13095238095238096
