ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
CD44	TYROBP	other	5	1	-0.0012455061078071594	0.0071298226714134215	0.5857201859354972	0.5785903632640839	1.0	0.8	5	0	0	0	1.0	1.0
CD58	CD2	other	8	1	-0.00011447444558143616	0.0020816721953451633	1.1919339327141643	1.189852260518819	1.0	0.875	8	0	0	0	0.9453125	1.0
PTGES2	PTGER4	other	8	1	0.0020401179790496826	-0.005316747352480888	0.35738564003258944	0.3627023873850703	1.0	1.0	8	0	0	0	0.84375	0.9793526785714285
LIPA	RORA	other	8	1	0.004182241857051849	-0.0009720753878355026	0.3937159185297787	0.3946879939176142	0.875	1.0	8	0	0	0	0.84375	0.9793526785714285
PVR	CD96	other	7	1	0.008292868733406067	0.009667596646717616	0.6378371313746486	0.628169534727931	1.0	0.8571428571428571	7	0	0	0	0.046875	0.203125
PVR	TIGIT	other	7	1	0.008292868733406067	0.009667596646717616	0.534320903941989	0.5246533072952714	1.0	0.8571428571428571	7	0	0	0	0.046875	0.203125
HFE	TFRC	other	6	1	0.008696150034666061	0.010251826296250025	0.27884589446087676	0.2685940681646268	1.0	1.0	6	0	0	0	0.15625	0.30776515151515155
PVR	CD226	other	6	1	0.00872320681810379	0.011563898374636969	0.21720306730518738	0.20563916893055043	1.0	0.8333333333333334	6	0	0	0	0.03125	0.16927083333333331
LPAR1	ADGRE5	other	7	1	0.00947662815451622	0.013866382517984934	0.41111267038754057	0.3972462878695556	1.0	0.8571428571428571	7	0	0	0	0.109375	0.2633101851851852
COL6A1	ITGA1+ITGB1	other	4	1	0.01021775882691145	0.009943970944732428	0.3670998220331967	0.35715585108846426	1.0	0.75	4	0	0	0	0.125	0.2901785714285714
SPP1	ITGA4+ITGB1	other	6	1	0.011223417706787586	0.02453713770955801	0.5416888119652867	0.5171516742557287	0.6666666666666666	1.0	6	0	0	0	0.5625	0.7461734693877551
COL27A1	ITGA1+ITGB1	other	4	1	0.013929551467299461	0.014856432564556599	0.33894312661141157	0.324086694046855	1.0	1.0	4	0	0	0	0.625	0.78125
ITGAV+ITGB1	ADGRE5	other	8	1	0.014406431466341019	0.021431393921375275	0.488202887121588	0.4667714932002127	1.0	1.0	8	0	0	0	0.3125	0.48363095238095233
JAG1	NOTCH1	other	4	1	0.017108507454395294	0.041791705414652824	0.3467632755637169	0.30497157014906406	1.0	0.75	4	0	0	0	0.625	0.78125
LGALS9	HAVCR2	other	8	1	0.018053311854600906	0.020774786826223135	0.38237204030156136	0.3615972534753382	1.0	1.0	8	0	0	0	0.109375	0.2633101851851852
LGALS9	P4HB	other	8	1	0.018053311854600906	0.020774786826223135	0.3695768490433693	0.34880206221714616	1.0	1.0	8	0	0	0	0.109375	0.2633101851851852
TNC	ITGA4+ITGB1	other	5	1	0.023435089737176895	-0.007527455687522888	0.29080631136894225	0.29833376705646514	0.8	0.8	5	0	0	0	1.0	1.0
COL6A2	ITGA1+ITGB1	other	3	1	0.024219326674938202	0.018642636636892956	0.3381900166471799	0.319547380010287	1.0	1.0	3	0	0	0	0.5	0.6770833333333333
ALCAM	CD6	other	7	1	0.027909576892852783	0.01454320496746472	0.5286732943994659	0.5141300894320011	1.0	0.8571428571428571	7	0	0	0	0.8125	0.9780092592592592
PTGES	PTGER4	other	6	1	0.031695231795310974	0.0334308302650849	0.44844044248263043	0.4150096122175455	1.0	0.5	6	0	0	0	0.0625	0.2138157894736842
COL1A1	ITGA1+ITGB1	other	6	1	0.03511238843202591	0.03411711441973845	0.35327558654050034	0.31915847212076187	1.0	0.8333333333333334	6	0	0	0	0.03125	0.16927083333333331
SEMA4D	PTPRC	other	7	1	0.03730763494968414	0.025574972853064537	1.3905997651496105	1.365024792296546	1.0	0.7142857142857143	7	0	0	0	0.078125	0.23082386363636362
ICAM1	ITGAL	other	6	1	0.04050002060830593	0.03172360174357891	0.5467191797991594	0.5149955780555805	0.8333333333333334	1.0	6	0	0	0	0.15625	0.30776515151515155
ICAM1	ITGAL+ITGB2	other	6	1	0.04050002060830593	0.03172360174357891	0.5393696439762911	0.5076460422327121	0.8333333333333334	1.0	6	0	0	0	0.15625	0.30776515151515155
ICAM1	SPN	other	6	1	0.04050002060830593	0.03172360174357891	0.5028664680818716	0.4711428663382928	0.8333333333333334	1.0	6	0	0	0	0.15625	0.30776515151515155
CD47	SIRPG	other	7	1	0.0435507595539093	0.06190859632832663	0.662666563476835	0.6007579671485084	1.0	1.0	7	0	0	0	0.078125	0.23082386363636362
IGFBP3	TMEM219	other	7	1	0.04464620351791382	0.0694671060357775	0.7631263605185917	0.6936592544828143	1.0	1.0	7	0	0	0	0.375	0.529891304347826
DHCR24	RORA	other	8	1	0.04756487160921097	0.05742332525551319	0.6077331267297268	0.5503098014742136	1.0	1.0	8	0	0	0	0.3125	0.48363095238095233
TNFSF9	TNFRSF9	other	3	1	0.05153680592775345	0.0473478635152181	0.3356334331134955	0.2882855695982774	1.0	1.0	3	0	0	0	0.25	0.4276315789473684
PLAUR	ITGA4+ITGB1	other	7	1	0.056026559323072433	0.10901351645588875	0.5649149332727704	0.45590141681688173	1.0	1.0	7	0	0	0	0.015625	0.1450892857142857
APP	CD74	other	8	1	0.06582079827785492	0.06924750283360481	1.882487390190363	1.8132398873567581	1.0	1.0	8	0	0	0	0.25	0.4276315789473684
CDH1	ITGAE+ITGB7	other	6	1	0.06948484480381012	0.1106282149751981	0.5497900086144606	0.4391617936392625	1.0	1.0	6	0	0	0	0.0625	0.2138157894736842
CD55	ADGRE5	other	8	1	0.07547194138169289	0.08679840993136168	0.6841756654903293	0.5973772555589676	1.0	1.0	8	0	0	0	0.0546875	0.20909926470588233
APP	SORL1	other	7	1	0.07643532752990723	0.07125339337757655	0.690805757684367	0.6195523643067905	1.0	1.0	7	0	0	0	0.296875	0.48363095238095233
F11R	ITGAL+ITGB2	other	8	1	0.0823938250541687	0.1087221447378397	1.0126752331852913	0.9039530884474516	1.0	1.0	8	0	0	0	0.0078125	0.1450892857142857
NECTIN2	TIGIT	other	8	1	0.08985966444015503	0.09217715822160244	0.7580182459205389	0.6658410876989365	1.0	1.0	8	0	0	0	0.0078125	0.1450892857142857
