ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
CEACAM5	CD8A	MHC_I_partial	13	1	0.24336811900138855	0.20073313925128716	0.7004868747809758	0.4997537355296887	1.0	0.6153846153846154	0	0	0	13	0.000244140625	0.001120174632352941
CCL5	CCR5	T_recruit	3	1	-0.10580046474933624	-0.10786239057779312	0.17706089466810226	0.2849232852458954	0.3333333333333333	1.0	0	0	0	3	0.25	0.2867647058823529
CX3CL1	CX3CR1	T_recruit	3	1	0.06591946724802256	0.06346756375084321	0.27557232479254407	0.21210476104170084	1.0	0.0	0	0	0	3	0.25	0.2867647058823529
CXCL16	CXCR6	T_recruit	11	1	0.07458166778087616	0.06519881415773522	0.3557764511894096	0.2905776370316744	1.0	0.7272727272727273	0	0	0	11	0.001953125	0.005642361111111111
TGFB1	TGFBR1+TGFBR2	other	8	1	-0.015802333131432533	-0.13650609483011067	0.16857961611822248	0.30508571094833314	0.875	0.75	0	0	0	8	0.3125	0.3482142857142857
CD320	JAML	other	15	1	-0.013035103678703308	-0.010919986541072528	0.23619949879745641	0.24711948533852895	0.9333333333333333	0.8666666666666667	0	0	0	15	0.48870849609375	0.5294342041015625
PPIA	BSG	other	21	1	-0.0031609535217285156	-0.06615343831834339	1.5136225273211796	1.5797759656395232	1.0	1.0	0	0	0	21	0.2428417205810547	0.2867647058823529
TGFB1	TGFBR3	other	9	1	-0.00011840835213661194	-0.11083198028306167	0.21880428451630804	0.3296362647993697	0.8888888888888888	0.7777777777777778	0	0	0	9	0.49609375	0.5300727739726028
TNFSF12	TNFRSF25	other	11	1	0.0005293367430567741	-0.004181812183973802	0.17541039337150074	0.17959220555547456	0.9090909090909091	0.45454545454545453	0	0	0	11	0.8984375	0.9101055194805194
SEMA4D	PTPRC	other	19	1	0.004475720226764679	-0.01306390404505165	0.9182545207440853	0.931318424789137	1.0	0.3157894736842105	0	0	0	19	0.5152778625488281	0.5431307199839
ICAM3	ITGAL+ITGB2	other	13	1	0.005401834845542908	-0.03442280553281307	0.2968318796215149	0.331254685154328	1.0	0.6153846153846154	0	0	0	13	0.786865234375	0.8075722142269737
IGF2	IGF2R	other	5	1	0.0075566694140434265	0.024551522731781007	0.4372094705700874	0.41265794783830645	0.8	0.8	0	0	0	5	0.4375	0.48063380281690143
LPAR2	ADGRE5	other	20	1	0.011577705387026072	0.01767058891709894	0.3895641745999455	0.3718935856828466	1.0	0.4	0	0	0	20	1.33514404296875e-05	0.00017002650669642856
NECTIN3	TIGIT	other	9	1	0.0143136503174901	0.011170103939043151	0.33667441250549424	0.3255043085664511	1.0	0.3333333333333333	0	0	0	9	0.203125	0.24755859375
ICAM2	ITGAL+ITGB2	other	6	1	0.016280310228466988	-0.01361144861827294	0.3436794658191502	0.35729091443742317	0.8333333333333334	0.6666666666666666	0	0	0	6	1.0	1.0
LIPA	RORA	other	18	1	0.01973642036318779	0.019486468492282763	0.34131393385016257	0.3218274653578798	1.0	0.7777777777777778	0	0	0	18	0.00014495849609375	0.000942230224609375
JAG2	NOTCH1	other	8	1	0.02040245896205306	0.018974640872329473	0.14138091704808176	0.12240627617575228	1.0	0.375	0	0	0	8	0.0234375	0.03974184782608695
DHCR7	NR1H2	other	19	1	0.020781919360160828	0.01658798724805054	0.23192610277941353	0.21533811553136298	0.9473684210526315	0.7368421052631579	0	0	0	19	0.012359619140625	0.02471923828125
LGALS9	P4HB	other	17	1	0.020892497152090073	0.02665958148153389	0.4576543522450854	0.43099477076355147	1.0	0.8823529411764706	0	0	0	17	0.0983734130859375	0.12578895443775615
JAG2	NOTCH2	other	7	1	0.021544000133872032	0.024719944622899805	0.12084564273910862	0.09612569811620883	1.0	0.42857142857142855	0	0	0	7	0.015625	0.029017857142857144
DHCR7	RORA	other	20	1	0.021598778665065765	0.01809447156265378	0.3400590274482965	0.32196455588564277	0.95	0.75	0	0	0	20	0.0072956085205078125	0.01625878470284598
PVR	CD96	other	16	1	0.021724820137023926	0.029341723828110844	0.3861619457602501	0.35682022193213925	1.0	0.75	0	0	0	16	0.00030517578125	0.0013224283854166665
PVR	TIGIT	other	15	1	0.022128082811832428	0.030955811900397142	0.35258255824446677	0.3216267463440696	1.0	0.8	0	0	0	15	0.00042724609375	0.0017539576480263158
PODXL2	SELL	other	14	1	0.02513606660068035	0.04701551801658103	0.4123242099636367	0.36530869194705573	1.0	0.7857142857142857	0	0	0	14	0.001220703125	0.004327947443181818
SPP1	ITGA4+ITGB1	other	6	1	0.0306619917973876	0.020174973644316196	0.4420397610714038	0.4218647874270876	1.0	0.8333333333333334	0	0	0	6	0.5625	0.585
PTGES3	PTGER4	other	18	1	0.031057626008987427	0.023046602805455525	0.9490240878529019	0.9259774850474464	1.0	1.0	0	0	0	18	0.1083831787109375	0.13635303128150203
LAMC1	ITGA6+ITGB1	other	5	1	0.031647659838199615	0.047654592990875246	0.2121859271079302	0.16453133411705495	1.0	0.6	0	0	0	5	0.0625	0.08405172413793104
JAG1	NOTCH1	other	10	1	0.03169331792742014	0.038803949113935234	0.19528656154870988	0.15648261243477463	1.0	0.6	0	0	0	10	0.01953125	0.034623579545454544
CD58	CD2	other	19	1	0.03195617161691189	0.02782642935696793	0.7419039912913975	0.7140775619344296	1.0	0.6842105263157895	0	0	0	19	0.005329132080078125	0.01340878394342238
PTGES2	PTGER4	other	18	1	0.03349478542804718	0.027221529227164056	0.453897114429209	0.4266755852020449	1.0	0.8888888888888888	0	0	0	18	0.010406494140625	0.02136069849917763
PTGES3	PTGER2	other	15	1	0.03675532341003418	0.03324183225631714	0.7557703157265981	0.722528483470281	1.0	1.0	0	0	0	15	0.02557373046875	0.04155731201171875
PVR	CD226	other	10	1	0.036926962435245514	0.040327645093202594	0.18805595859885216	0.14772831350564958	1.0	0.8	0	0	0	10	0.00390625	0.010156249999999999
PTGES2	PTGER2	other	15	1	0.03965041786432266	0.028935002535581587	0.2631834730505943	0.23424847051501274	1.0	0.8666666666666667	0	0	0	15	0.02557373046875	0.04155731201171875
ITGAV+ITGB1	ADGRE5	other	20	1	0.03965066559612751	0.05868389690294862	0.4461099953390658	0.3874260984361172	1.0	0.75	0	0	0	20	1.9073486328125e-06	7.43865966796875e-05
PTGES	PTGER4	other	13	1	0.04276997037231922	0.04059955269957964	0.38294027344538617	0.3423407207458065	1.0	0.46153846153846156	0	0	0	13	0.000244140625	0.001120174632352941
JAG1	CD46	other	15	1	0.04278334602713585	0.04339617658406496	0.3147021919488907	0.27130601536482574	1.0	0.6666666666666666	0	0	0	15	0.0008544921875	0.003173828125
JAG1	NOTCH2	other	8	1	0.043558211997151375	0.0455090383766219	0.19817277323454618	0.15266373485792428	1.0	0.5	0	0	0	8	0.0078125	0.016927083333333332
FN1	ITGA4+ITGB1	other	11	1	0.045185983180999756	0.057667485014958816	0.38240891153162176	0.32474142651666293	1.0	0.6363636363636364	0	0	0	11	0.0029296875	0.007879849137931034
FN1	ITGA4+ITGB7	other	11	1	0.045185983180999756	0.057667485014958816	0.3348239788954908	0.277156493880532	1.0	0.6363636363636364	0	0	0	11	0.0029296875	0.007879849137931034
PTGES	PTGER2	other	10	1	0.0480704503133893	0.04226044630631805	0.19686625227332116	0.1546058059670031	1.0	0.4	0	0	0	10	0.001953125	0.005642361111111111
CD44	TYROBP	other	14	1	0.05362570658326149	0.03973433827715261	0.45564949326217175	0.41591515498501913	1.0	0.7857142857142857	0	0	0	14	0.0784912109375	0.10203857421875
BAG6	NCR3	other	7	1	0.056701213121414185	0.053412245852606635	0.3055415653756687	0.252129319523062	1.0	1.0	0	0	0	7	0.03125	0.048749999999999995
TNFSF10	TNFRSF10B	other	4	1	0.06939497217535973	0.11810332350432873	0.27345764823257923	0.1553543247282505	1.0	0.75	0	0	0	4	0.125	0.15476190476190477
LGALS9	HAVCR2	other	9	1	0.07764273509383202	0.06815561879840162	0.4179207554294003	0.34976513663099873	1.0	0.8888888888888888	0	0	0	9	0.01953125	0.034623579545454544
APP	CD74	other	20	1	0.0885813906788826	0.1729615781456232	1.2685425262898207	1.0955809481441974	1.0	0.95	0	0	0	20	1.9073486328125e-06	7.43865966796875e-05
CCL20	CCR6	other	3	1	0.08966134488582611	0.14267620941003165	0.312568761408329	0.16989255199829736	1.0	1.0	0	0	0	3	0.25	0.2867647058823529
DHCR24	RORA	other	20	1	0.09014041163027287	0.11773854773491621	0.5135461185127497	0.39580757077783346	1.0	0.95	0	0	0	20	0.0001678466796875	0.001007080078125
TGM2	ADGRG1	other	7	1	0.10257723927497864	0.06995721267802375	0.5351712512118476	0.4652140385338238	1.0	0.7142857142857143	0	0	0	7	0.296875	0.33559782608695654
ALCAM	CD6	other	18	1	0.10494863241910934	0.1506893149473601	0.5368763171136379	0.3861870021662778	1.0	0.8888888888888888	0	0	0	18	7.62939453125e-06	0.00011901855468750001
CD47	SIRPG	other	13	1	0.1076546311378479	0.10747050322019137	0.5333209656752073	0.4258504624550159	1.0	1.0	0	0	0	13	0.006103515625	0.0148773193359375
PLAUR	ITGA4+ITGB1	other	17	1	0.11175645515322685	0.13009565033237724	0.49866755328634205	0.3685719029539648	1.0	0.8235294117647058	0	0	0	17	7.62939453125e-05	0.0005409934303977273
TNFSF10	TNFRSF10A	other	7	1	0.12915734946727753	0.16886753269604274	0.3618645231638636	0.19299699046782084	1.0	0.7142857142857143	0	0	0	7	0.015625	0.029017857142857144
IGFBP3	TMEM219	other	13	1	0.13109805318526924	0.19268581581015426	0.5188251573305863	0.3261393415204321	1.0	0.6923076923076923	0	0	0	13	0.000244140625	0.001120174632352941
ICAM1	ITGAL	other	12	1	0.15315146185457706	0.1543518416583538	0.5050397862990698	0.3506879446407159	1.0	0.8333333333333334	0	0	0	12	0.0068359375	0.015682444852941176
ICAM1	ITGAL+ITGB2	other	12	1	0.15315146185457706	0.1543518416583538	0.5050397862990698	0.3506879446407159	1.0	0.8333333333333334	0	0	0	12	0.0068359375	0.015682444852941176
ICAM1	SPN	other	15	1	0.15742456912994385	0.16190954546133676	0.5419294099013011	0.38001986443996427	1.0	0.8666666666666667	0	0	0	15	0.0008544921875	0.003173828125
NECTIN2	TIGIT	other	18	1	0.16273023933172226	0.15990036529385382	0.5395906387517849	0.37969027345793116	1.0	0.8888888888888888	0	0	0	18	7.62939453125e-06	0.00011901855468750001
APP	SORL1	other	15	1	0.17322701215744019	0.20380989263455074	0.6280458192030589	0.42423592656850817	1.0	0.9333333333333333	0	0	0	15	6.103515625e-05	0.00047607421875000004
CDH1	KLRG1	other	16	1	0.1815912425518036	0.18991417426150292	0.46981361880898476	0.27989944454748183	1.0	0.8125	0	0	0	16	3.0517578125e-05	0.00029754638671875
CDH1	ITGAE+ITGB7	other	17	1	0.18180274963378906	0.1940991027171121	0.4845665224334773	0.2904674197163652	1.0	0.8235294117647058	0	0	0	17	1.52587890625e-05	0.00017002650669642856
CD55	ADGRE5	other	19	1	0.20250922441482544	0.19033966899702423	0.7737647449891818	0.5834250759921575	1.0	0.9473684210526315	0	0	0	19	3.814697265625e-06	9.918212890625e-05
F11R	ITGAL+ITGB2	other	15	1	0.2299264371395111	0.2182824249068896	0.6504757990439732	0.4321933741370837	1.0	0.9333333333333333	0	0	0	15	6.103515625e-05	0.00047607421875000004
