sample,patient,x,y,n,rho,p
Lung9_Rep2,Lung9,mean_EPCAM_tumor,shannon,8,-0.9285714285714287,0.0008629681828999767
Lung12,Lung12,mean_KRT8_tumor,normalized_mixing,8,-0.8333333333333335,0.010175540123456752
Lung13,Lung13,mean_KRT8_tumor,normalized_mixing,8,-0.2142857142857143,0.6103444156452669
Lung5_Rep1,Lung5,mean_KRT8_tumor,normalized_mixing,7,-0.7500000000000002,0.0521814004570578
Lung5_Rep2,Lung5,mean_KRT8_tumor,normalized_mixing,7,-0.6071428571428572,0.14823116148116164
Lung5_Rep3,Lung5,mean_KRT8_tumor,normalized_mixing,7,-0.5714285714285715,0.18020198891152767
Lung6,Lung6,mean_KRT8_tumor,normalized_mixing,8,-0.8333333333333335,0.010175540123456752
Lung9_Rep1,Lung9,mean_KRT8_tumor,normalized_mixing,8,-0.6428571428571429,0.08555889101267325
Lung9_Rep2,Lung9,mean_KRT8_tumor,normalized_mixing,8,-0.9285714285714287,0.0008629681828999767
Lung12,Lung12,mean_KRT8_tumor,shannon,8,-0.4761904761904762,0.23293553465009798
Lung13,Lung13,mean_KRT8_tumor,shannon,8,-0.6428571428571429,0.08555889101267325
Lung5_Rep1,Lung5,mean_KRT8_tumor,shannon,7,-0.39285714285714296,0.3833168704269727
Lung5_Rep2,Lung5,mean_KRT8_tumor,shannon,7,-0.39285714285714296,0.3833168704269727
Lung5_Rep3,Lung5,mean_KRT8_tumor,shannon,7,-0.10714285714285716,0.8191508555699912
Lung6,Lung6,mean_KRT8_tumor,shannon,8,-0.6190476190476191,0.10173303745426478
Lung9_Rep1,Lung9,mean_KRT8_tumor,shannon,8,-0.9047619047619048,0.002008275505429469
Lung9_Rep2,Lung9,mean_KRT8_tumor,shannon,8,-0.9523809523809524,0.000260400024387251
Lung12,Lung12,mean_KRT18_tumor,normalized_mixing,8,-0.7142857142857144,0.046528232284167255
Lung13,Lung13,mean_KRT18_tumor,normalized_mixing,8,-0.2380952380952381,0.5701563208157683
Lung5_Rep1,Lung5,mean_KRT18_tumor,normalized_mixing,7,-0.8571428571428573,0.013697326615325618
Lung5_Rep2,Lung5,mean_KRT18_tumor,normalized_mixing,7,-0.6071428571428572,0.14823116148116164
Lung5_Rep3,Lung5,mean_KRT18_tumor,normalized_mixing,7,-0.7500000000000002,0.0521814004570578
Lung6,Lung6,mean_KRT18_tumor,normalized_mixing,8,-0.8333333333333335,0.010175540123456752
Lung9_Rep1,Lung9,mean_KRT18_tumor,normalized_mixing,8,-0.7857142857142858,0.020815127253525273
Lung9_Rep2,Lung9,mean_KRT18_tumor,normalized_mixing,8,-0.9523809523809524,0.000260400024387251
Lung12,Lung12,mean_KRT18_tumor,shannon,8,-0.6190476190476191,0.10173303745426478
Lung13,Lung13,mean_KRT18_tumor,shannon,8,-0.5714285714285715,0.13895995716070672
Lung5_Rep1,Lung5,mean_KRT18_tumor,shannon,7,-0.21428571428571433,0.6445115810207203
Lung5_Rep2,Lung5,mean_KRT18_tumor,shannon,7,-0.39285714285714296,0.3833168704269727
Lung5_Rep3,Lung5,mean_KRT18_tumor,shannon,7,-0.03571428571428572,0.9394082054712856
Lung6,Lung6,mean_KRT18_tumor,shannon,8,-0.7857142857142858,0.020815127253525273
Lung9_Rep1,Lung9,mean_KRT18_tumor,shannon,8,-0.9523809523809524,0.000260400024387251
Lung9_Rep2,Lung9,mean_KRT18_tumor,shannon,8,-0.9285714285714287,0.0008629681828999767
Lung12,Lung12,cldn4_resid_epcam,normalized_mixing,8,0.0,1.0
Lung12,Lung12,cldn4_resid_epcam,shannon,8,-0.6666666666666669,0.07098765432098755
Lung12,Lung12,cldn4_resid_epcam,mean_cytotoxic_50um,8,-0.2380952380952381,0.5701563208157683
Lung13,Lung13,cldn4_resid_epcam,normalized_mixing,8,0.23323859266661226,0.5782790921913367
Lung13,Lung13,cldn4_resid_epcam,shannon,8,0.7242672088068488,0.04216846779740497
Lung13,Lung13,cldn4_resid_epcam,mean_cytotoxic_50um,8,-0.11048143863155317,0.7945268208553896
Lung5_Rep1,Lung5,cldn4_resid_epcam,normalized_mixing,7,0.42857142857142866,0.3373683110858243
Lung5_Rep1,Lung5,cldn4_resid_epcam,shannon,7,0.07142857142857144,0.879048193148154
Lung5_Rep1,Lung5,cldn4_resid_epcam,mean_cytotoxic_50um,7,0.4642857142857144,0.29393410760025196
Lung5_Rep2,Lung5,cldn4_resid_epcam,normalized_mixing,7,0.6785714285714287,0.09375025395983135
Lung5_Rep2,Lung5,cldn4_resid_epcam,shannon,7,0.28571428571428575,0.5345092286010406
Lung5_Rep2,Lung5,cldn4_resid_epcam,mean_cytotoxic_50um,7,0.5714285714285715,0.18020198891152767
Lung5_Rep3,Lung5,cldn4_resid_epcam,normalized_mixing,7,0.5357142857142858,0.21521745567801298
Lung5_Rep3,Lung5,cldn4_resid_epcam,shannon,7,0.10714285714285716,0.8191508555699912
Lung5_Rep3,Lung5,cldn4_resid_epcam,mean_cytotoxic_50um,7,0.4642857142857144,0.29393410760025196
Lung6,Lung6,cldn4_resid_epcam,normalized_mixing,8,0.261904761904762,0.530922861565801
Lung6,Lung6,cldn4_resid_epcam,shannon,8,0.04761904761904763,0.9108491685195836
Lung6,Lung6,cldn4_resid_epcam,mean_cytotoxic_50um,8,0.1666666666666667,0.693238811728395
Lung9_Rep1,Lung9,cldn4_resid_epcam,normalized_mixing,8,-0.261904761904762,0.530922861565801
Lung9_Rep1,Lung9,cldn4_resid_epcam,shannon,8,-0.4047619047619048,0.3198886412288163
Lung9_Rep1,Lung9,cldn4_resid_epcam,mean_cytotoxic_50um,8,-0.30952380952380953,0.4556448907375822
Lung9_Rep2,Lung9,cldn4_resid_epcam,normalized_mixing,8,-0.30952380952380953,0.4556448907375822
Lung9_Rep2,Lung9,cldn4_resid_epcam,shannon,8,-0.28571428571428575,0.49272624501695717
Lung9_Rep2,Lung9,cldn4_resid_epcam,mean_cytotoxic_50um,8,-0.30952380952380953,0.4556448907375822
