sample,patient,niche,n_cells,n_tumor,n_immune,n_cytotoxic,shannon,shannon_evenness,normalized_mixing,mean_cldn4_tumor,mean_cytotoxic_50um,mean_cytotoxic_100um,frac_immune
Lung5_Rep2,Lung5,stroma,23591,326,14462,1425,1.2311992548813777,0.6155996274406889,0.725985023241611,2.0920245398773005,1.2423312883435582,5.993865030674846,0.6130303929464627
Lung5_Rep2,Lung5,tumor interior,15785,12903,1291,48,0.921286469364493,0.4606432346822465,0.05456911285421178,1.6748818104316825,0.10927691234596605,0.7927613733240332,0.08178650617675008
Lung5_Rep2,Lung5,tumor-stroma boundary,9423,3929,2710,149,1.7317191905622245,0.8658595952811122,0.13480347503988382,1.8129294986001527,0.3532705523033851,2.1634003563247646,0.287594184442322
Lung5_Rep3,Lung5,immune,323,22,243,23,1.1744509290690874,0.5872254645345437,0.5676596390858368,6.5,1.5454545454545454,7.7727272727272725,0.7523219814241486
Lung5_Rep3,Lung5,lymphoid structure,22147,59,17827,1320,0.862309069191879,0.4311545345959395,0.6408082575424514,1.4406779661016949,2.7966101694915255,10.033898305084746,0.8049397209554341
Lung5_Rep3,Lung5,macrophages,3,0,3,0,-0.0,-0.0,,,,,1.0
Lung5_Rep3,Lung5,myeloid-enriched stroma,20378,809,14910,796,1.2053871929858815,0.6026935964929407,1.1562928009121665,3.449938195302843,0.9975278121137207,4.6056860321384425,0.7316714103444891
Lung5_Rep3,Lung5,neutrophils,961,225,614,18,1.4034456063126022,0.7017228031563011,0.5436399465948378,3.057777777777778,0.5422222222222223,2.16,0.6389177939646202
Lung5_Rep3,Lung5,plasmablast-enriched stroma,8269,345,5701,230,1.2347098654365642,0.6173549327182821,0.37537437479990177,2.4057971014492754,0.4492753623188406,2.1478260869565218,0.6894424960696578
Lung5_Rep3,Lung5,stroma,23520,355,14354,1380,1.2454124235778155,0.6227062117889077,0.5252740939717678,2.749295774647887,1.2985915492957747,5.932394366197183,0.6102891156462585
Lung5_Rep3,Lung5,tumor interior,13751,11198,1162,49,0.9283210639523445,0.46416053197617224,0.05895520486670733,1.4954456152884443,0.11430612609394535,0.6637792462939811,0.08450294524034616
Lung5_Rep3,Lung5,tumor-stroma boundary,8457,3542,2359,92,1.7190970158518695,0.8595485079259347,0.14576676514600997,2.029079616036138,0.25578769057029926,1.9113495200451722,0.2789405226439636
Lung6,Lung6,immune,1879,176,1072,200,1.6413419789022858,0.8206709894511429,2.8699609214315096,0.19886363636363635,2.034090909090909,10.289772727272727,0.5705162320383182
Lung6,Lung6,lymphoid structure,502,14,333,57,1.311598440177938,0.655799220088969,2.6616031027795732,0.21428571428571427,4.5,18.5,0.6633466135458167
Lung6,Lung6,macrophages,8118,524,5697,384,1.3309773721308056,0.6654886860654028,3.7596931021380953,0.16030534351145037,0.8568702290076335,3.8282442748091605,0.7017738359201774
Lung6,Lung6,myeloid-enriched stroma,107,6,56,6,1.6643023389089213,0.8321511694544607,3.6802413273001506,0.16666666666666666,3.1666666666666665,10.833333333333334,0.5233644859813084
Lung6,Lung6,stroma,1684,60,810,158,1.6691468438149624,0.8345734219074812,2.288650075414781,0.26666666666666666,3.1666666666666665,11.1,0.4809976247030879
Lung6,Lung6,tumor interior,73265,65012,3445,384,0.6760927337229508,0.3380463668614754,0.14735584492163367,0.37328493201255153,0.11328677782563219,0.6831046576016735,0.047021087831843306
Lung6,Lung6,tumor-stroma boundary,4420,1189,1626,225,1.920310472673855,0.9601552363369275,1.3945994390510295,0.5105130361648444,1.0252312867956266,5.3599663582842725,0.36787330316742084
Lung9_Rep1,Lung9,immune,2631,337,1477,303,1.555290256338915,0.7776451281694575,0.9260152510032662,1.6231454005934718,5.13946587537092,22.798219584569733,0.5613835043709616
Lung9_Rep1,Lung9,lymphoid structure,893,15,655,116,1.1145001594127648,0.5572500797063824,1.5369473684210528,0.7333333333333333,7.466666666666667,30.2,0.7334826427771557
Lung9_Rep1,Lung9,macrophages,294,0,244,16,0.8077397771746437,0.40386988858732187,,,,,0.8299319727891157
Lung9_Rep1,Lung9,myeloid-enriched stroma,9357,198,5834,635,1.4249469951980462,0.7124734975990231,1.9591522779280215,0.36363636363636365,3.9444444444444446,15.146464646464647,0.6234904349684728
Lung9_Rep1,Lung9,neutrophils,3851,807,2732,109,1.1971937368729781,0.5985968684364891,2.064333704796985,0.28004956629491945,1.5415117719950433,5.636926889714994,0.709426123084913
Lung9_Rep1,Lung9,plasmablast-enriched stroma,1188,57,810,58,1.142525443113384,0.571262721556692,0.9613248223533662,0.9122807017543859,1.9298245614035088,9.228070175438596,0.6818181818181818
Lung9_Rep1,Lung9,stroma,17169,622,8589,1128,1.5032857490622165,0.7516428745311082,1.0904526624824329,0.7909967845659164,3.1061093247588425,12.930868167202572,0.500262100297047
Lung9_Rep1,Lung9,tumor interior,36926,31733,2038,258,0.7414678683786885,0.37073393418934425,0.09593036102647368,2.3297198499984244,0.2879967226546497,1.8342419563230705,0.05519146400909928
Lung9_Rep1,Lung9,tumor-stroma boundary,15297,5653,3841,446,1.6560851486597252,0.8280425743298626,0.2884901477962128,1.7456217937378382,1.1544312754289758,6.574208384928356,0.25109498594495655
Lung9_Rep2,Lung9,immune,677,72,431,56,1.2946549229562379,0.6473274614781189,2.053922482029374,0.8333333333333334,4.638888888888889,14.472222222222221,0.6366322008862629
Lung9_Rep2,Lung9,lymphoid structure,20,0,11,0,1.2192407046368487,0.6096203523184244,,,,,0.55
Lung9_Rep2,Lung9,myeloid-enriched stroma,326,30,202,18,1.5468727748896387,0.7734363874448194,2.821336605540028,0.1,2.2666666666666666,9.133333333333333,0.6196319018404908
Lung9_Rep2,Lung9,neutrophils,12883,2630,8605,766,1.3548548614223999,0.6774274307111999,2.8000623751440856,0.2707224334600761,2.3745247148288975,8.992015209125475,0.6679344873088566
Lung9_Rep2,Lung9,plasmablast-enriched stroma,5383,395,3659,142,1.3381429848341568,0.6690714924170784,2.116303407426839,0.4,1.2253164556962026,4.949367088607595,0.6797324911759242
Lung9_Rep2,Lung9,stroma,3064,247,1535,169,1.6114716281408767,0.8057358140704384,2.367905216404199,0.06477732793522267,2.360323886639676,8.105263157894736,0.5009791122715405
Lung9_Rep2,Lung9,tumor interior,103853,89153,9648,1189,0.7466609750497826,0.3733304875248913,0.2090823342962388,1.5692236940989086,0.32769508597579444,1.6260473567911344,0.09290054211240889
Lung9_Rep2,Lung9,tumor-stroma boundary,13298,4295,5247,521,1.688298266369284,0.844149133184642,0.8210369622379634,0.9243306169965075,1.109895227008149,4.879161816065192,0.39457061212212363
Lung12,Lung12,immune,20,5,10,0,1.7427376486136672,0.8713688243068336,0.9209725854887146,0.4,0.0,2.2,0.5
Lung12,Lung12,lymphoid structure,907,50,670,22,1.2140506095178245,0.6070253047589123,1.1926594982078853,0.34,0.98,3.64,0.7386990077177509
Lung12,Lung12,myeloid-enriched stroma,611,52,409,38,1.4330460298927608,0.7165230149463804,1.1379324734163445,0.6730769230769231,1.8461538461538463,8.942307692307692,0.6693944353518821
Lung12,Lung12,neutrophils,20366,4278,11548,534,1.5193386989990296,0.7596693494995148,1.018710209100654,0.6542776998597476,0.6339410939691444,2.6951846657316505,0.5670234704900324
Lung12,Lung12,plasmablast-enriched stroma,8190,1028,5581,147,1.3961804746249828,0.6980902373124914,0.9964511266632518,0.5087548638132295,0.6498054474708171,2.6284046692607004,0.6814407814407815
Lung12,Lung12,stroma,19739,1744,8267,875,1.4343527342992544,0.7171763671496272,0.700102869960816,0.5389908256880734,1.2087155963302751,5.111238532110092,0.4188155428339835
Lung12,Lung12,tumor interior,5978,4376,873,44,1.1870889783532605,0.5935444891766303,0.20504057162074502,1.048217550274223,0.15013711151736747,0.7177787934186471,0.14603546336567413
Lung12,Lung12,tumor-stroma boundary,15493,6979,3611,217,1.6842845616110502,0.8421422808055251,0.3141388794606513,1.0060180541624875,0.2880068777761857,1.7119931222238143,0.23307300070999806
Lung13,Lung13,immune,39841,8541,22586,2124,1.4289630123880355,0.7144815061940177,0.5374535898736812,2.2180072591031497,2.4570893338016626,11.080903875424424,0.5669034411786853
Lung13,Lung13,macrophages,15455,2623,9637,437,1.340171149955576,0.670085574977788,0.6605667810395222,2.155165840640488,1.1273351124666413,5.464735036218071,0.6235522484632805
Lung13,Lung13,myeloid-enriched stroma,144,13,125,16,0.7197253353409576,0.3598626676704788,1.7613675213675215,0.07692307692307693,2.3846153846153846,10.307692307692308,0.8680555555555556
Lung13,Lung13,neutrophils,19,4,14,4,1.0214554656116668,0.5107277328058334,1.5333333333333332,0.0,1.5,7.0,0.7368421052631579
Lung13,Lung13,stroma,1721,83,823,31,1.2305762800992848,0.6152881400496424,0.5591432396251673,1.6746987951807228,0.963855421686747,5.626506024096385,0.4782103428239396
Lung13,Lung13,tumor interior,10740,8239,2109,317,0.9473486144459002,0.4736743072229501,0.2159582473601165,2.487073673989562,1.1240441801189465,5.440830197839544,0.19636871508379888
Lung13,Lung13,tumor-stroma boundary,13316,6808,4441,427,1.4559529333665724,0.7279764666832862,0.35000000000000003,2.403349001175088,1.410840188014101,6.574030552291422,0.3335085611294683
