sample_id	title	day	treatment
GSM2029445	can_Ad_VEGF_60_Day_DC101_089	60_Day	DC101
GSM2029446	can_Ad_VEGF_60_Day_DC101_090	60_Day	DC101
GSM2029447	can_Ad_VEGF_60_Day_DC101_091	60_Day	DC101
GSM2029448	can_Ad_VEGF_60_Day_DC101_092	60_Day	DC101
GSM2029449	can_Ad_VEGF_60_Day_DC101_093	60_Day	DC101
GSM2029450	can_Ad_VEGF_60_Day_DC101_094	60_Day	DC101
GSM2029451	can_Ad_VEGF_60_Day_G6_081	60_Day	G6
GSM2029452	can_Ad_VEGF_60_Day_G6_082	60_Day	G6
GSM2029453	can_Ad_VEGF_60_Day_G6_083	60_Day	G6
GSM2029454	can_Ad_VEGF_60_Day_G6_084	60_Day	G6
GSM2029455	can_Ad_VEGF_60_Day_G6_085	60_Day	G6
GSM2029456	can_Ad_VEGF_60_Day_G6_086	60_Day	G6
GSM2029457	can_Ad_VEGF_60_Day_G6_087	60_Day	G6
GSM2029458	can_Ad_VEGF_60_Day_G6_088	60_Day	G6
GSM2029459	can_Ad_VEGF_60_Day_NT_073	60_Day	NT
GSM2029460	can_Ad_VEGF_60_Day_NT_074	60_Day	NT
GSM2029461	can_Ad_VEGF_60_Day_NT_075	60_Day	NT
GSM2029462	can_Ad_VEGF_60_Day_NT_076	60_Day	NT
GSM2029463	can_Ad_VEGF_60_Day_NT_077	60_Day	NT
GSM2029464	can_Ad_VEGF_60_Day_NT_078	60_Day	NT
GSM2029465	can_Ad_VEGF_60_Day_NT_079	60_Day	NT
GSM2029466	can_Ad_VEGF_60_Day_NT_080	60_Day	NT
