score	accession	organism	n_samples	gdstype	pubdate	tags	title	url
9	GSE271368	Homo sapiens	18	Expression profiling by high throughput sequencing	2024/07/25	KL;lung	RNA-seq of live cell 3-D models with engineered genetic sub-types of lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271368
9	GSE256091	Homo sapiens	141	Expression profiling by high throughput sequencing	2024/03/11	KL;lung	Proteogenomic Characterization Reveals Estrogen Signaling as a Target for Never-Smoker Lung Adenocarcinoma Patients without EGFR or ALK Alterations [RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256091
9	GSE253613	Mus musculus	15	Expression profiling by high throughput sequencing	2024/01/23	KL;lung	Effect of G6PD loss on gene expression in LKB1 deficient KRAS-driven lung tumor	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253613
9	GSE164758	Mus musculus	41	Expression profiling by high throughput sequencing	2023/07/14	KL;lung	HDAC3 is critical in tumor development and therapeutic resistance in Kras-mutant non-small cell lung cancer [RNA-seq GEMM tumors]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164758
9	GSE164757	Mus musculus	15	Expression profiling by high throughput sequencing	2023/07/14	KL;lung	HDAC3 is critical in tumor development and therapeutic resistance in Kras-mutant non-small cell lung cancer [RNA-seq trametinib entinostat treatment]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164757
9	GSE164756	Mus musculus	12	Expression profiling by high throughput sequencing	2023/07/14	KL;lung	HDAC3 is critical in tumor development and therapeutic resistance in Kras-mutant non-small cell lung cancer [RNA-seq HDAC3 KO p65 KO]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164756
9	GSE164755	Mus musculus	51	Expression profiling by high throughput sequencing	2023/07/14	KL;lung	HDAC3 is critical in tumor development and therapeutic resistance in Kras-mutant non-small cell lung cancer [RNA-seq HDAC3 KO NKX2-1 KO]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164755
9	GSE214192	Mus musculus	6	Expression profiling by high throughput sequencing	2022/09/27	KL;lung	PROX1 Orchestrates Tumor Metabolic Plasticity by Integrating LKB1-AMPK Signaling with BCAA Catabolism (RNA-Seq)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214192
9	GSE179558	Mus musculus	19	Expression profiling by high throughput sequencing	2021/12/23	KL;lung	LKB1 drives stasis and C/EBP-mediated reprogramming to an alveolar type II fate in lung cancer [C/EBP Bulk RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179558
9	GSE179500	Mus musculus	32	Expression profiling by high throughput sequencing	2021/12/23	KL;lung	LKB1 drives stasis and C/EBP-mediated reprogramming to an alveolar type II fate in lung cancer [XTR Bulk RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179500
9	GSE137396	Mus musculus	10	Expression profiling by high throughput sequencing	2021/03/17	LKB1;lung;immune-cold/resistant	Characterization of transcriptional analysis of LKB1 mutant lung nodules	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137396
9	GSE137244	Mus musculus	11	Expression profiling by high throughput sequencing	2021/03/17	LKB1;lung;immune-cold/resistant	Characterization of tumor mutational burden in LKB1 mutant lung tumors	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137244
9	GSE133895	Mus musculus	12	Expression profiling by high throughput sequencing	2019/07/05	KL;lung	An Lkb1-Sik axis suppresses tumor growth and controls differentiation [RNA-Seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133895
9	GSE276139	Homo sapiens	6	Expression profiling by high throughput sequencing	2026/04/03	lung;scRNA;TROP2	Gene expression profile at single cell level of cerebrospinal fluid (CSF) cells from lung adenocarcinoma leptomeningeal metastases patients (LUAD LM)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276139
9	GSE264573	Homo sapiens	4	Expression profiling by high throughput sequencing	2024/05/20	lung;scRNA;TROP2	Single Cell Analysis of Treatment–Resistant Prostate Cancer: Implications of Cell State Changes for Cell Surface Antigen Targeted Therapies	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264573
8	GSE307029	Homo sapiens	80	Methylation profiling by genome tiling array	2026/05/15	lung;immune/TME;TROP2	Multi-omics reveals heterogeneity in  advanced small cell lung cancers	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307029
8	GSE198099	Homo sapiens	6	Expression profiling by high throughput sequencing	2023/12/31	lung;scRNA;immune-cold/resistant	Immune suppressive landscape in the human non-small cell lung cancer microenvironment	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198099
8	GSE274934	Homo sapiens	23	Expression profiling by high throughput sequencing; Other; Genome binding/occupancy profiling by high throughput sequencing	2025/01/30	lung;scRNA;immune-cold/resistant	Single-cell multi-omics reveals tumor microenvironment factors underlying poor immunotherapy responses in ALK-positive lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274934
8	GSE146100	Homo sapiens	3	Expression profiling by high throughput sequencing	2021/04/28	lung;scRNA;immune-cold/resistant	Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146100
7	GSE54352	Mus musculus	6	Expression profiling by array	2014/01/24	LKB1;lung;immune/TME	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Stroma Cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54352
7	GSE54351	Mus musculus	9	Expression profiling by array	2014/01/24	LKB1;lung;immune/TME	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Epithelial Cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54351
7	GSE316244	Mus musculus	4	Expression profiling by high throughput sequencing	2026/02/24	KRAS;lung;scRNA;immune/TME	Early fibrotic niches establish tumour-permissive microenvironments [Experiment 3]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316244
7	GSE316243	Mus musculus	2	Expression profiling by high throughput sequencing	2026/02/24	KRAS;lung;scRNA;immune/TME	Early fibrotic niches establish tumour-permissive microenvironments [Experiment 2]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316243
7	GSE316241	Mus musculus	2	Expression profiling by high throughput sequencing	2026/02/24	KRAS;lung;scRNA;immune/TME	Early fibrotic niches establish tumour-permissive microenvironments [Experiment 1]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316241
7	GSE302284	Homo sapiens	6	Expression profiling by high throughput sequencing	2025/07/10	lung;TROP2	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302284
7	GSE310335	Homo sapiens	16	Expression profiling by high throughput sequencing	2026/02/25	KRAS;lung;scRNA;immune/TME	Early fibrotic niches establish tumour-permissive microenvironments	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310335
7	GSE285606	Mus musculus	4	Expression profiling by high throughput sequencing	2026/02/19	KRAS;lung;scRNA;immune/TME	Loss of miR-29a/b1 cluster reprograms the tumor microenvironment and contributes to immunosuppression in lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285606
6	GSE54353	Mus musculus	15	Expression profiling by array	2014/01/24	LKB1;lung	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54353
6	GSE270333	Homo sapiens	12	Expression profiling by high throughput sequencing	2024/07/19	LKB1;lung	Methionine Restriction Reduces Lung Cancer Progression and Increases Chemotherapy Response	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270333
6	GSE303165	Mus musculus	1	Expression profiling by high throughput sequencing	2026/06/29	lung;scRNA;immune/TME	A novel CAF population coordinates hyper-suppressive regulatory T cell recruitment and localization in lung cancer [scRNA-seq_PDGFRa+ fibroblasts)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303165
6	GSE308920	Mus musculus	4	Expression profiling by high throughput sequencing	2026/01/08	KRAS;lung;scRNA	Single cell RNA-seq for AKPS metastatic colon cancer model	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308920
6	GSE271964	Mus musculus	2	Expression profiling by high throughput sequencing	2025/08/15	lung;scRNA;immune/TME	Single-cell RNA-seq of 4T1 breast tumors from mice treated with anti-Siglec-E and/or anti-PD-1 antibodies	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271964
6	GSE271529	Mus musculus	2	Expression profiling by high throughput sequencing	2024/12/31	lung;scRNA;immune/TME	Class A Scavenger receptors promote tumor progression and induce a unique macrophage phenotype in a mouse model of spontaneous breast cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271529
6	GSE228355	Mus musculus	28	Expression profiling by high throughput sequencing	2024/01/18	lung;scRNA;immune/TME	Interrogation of endothelial and mural cells in brain metastasis by multiomic analysis reveals key immune-regulatory mechanisms	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228355
6	GSE202157	Mus musculus	112	Expression profiling by high throughput sequencing	2023/05/01	lung;scRNA;immune/TME	Conserved transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies [mouse]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202157
6	GSE293914	Homo sapiens	1	Expression profiling by high throughput sequencing	2026/08/12	lung;scRNA;immune/TME	CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutated Lung Adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293914
6	GSE313827	Homo sapiens	18	Expression profiling by high throughput sequencing	2026/02/20	scRNA;immune-cold/resistant	Dysregulation of the Hippo Pathway in Cancer Associated Fibroblasts is Associated with anti-PD-L1 atezolizumab Resistance	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313827
6	GSE253718	Homo sapiens	6	Expression profiling by high throughput sequencing	2026/01/01	lung;scRNA;immune/TME	Single-cell transcriptome reveals drug-resistance signature and immunosuppressive microenvironment in lung adenocarcinoma harboring EGFR mutation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253718
6	GSE267108	Homo sapiens	16	Expression profiling by high throughput sequencing	2024/05/17	lung;scRNA;immune/TME	Single-cell sequencing analysis of PD-L1 immune escape signal axis in lung adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267108
6	GSE241934	Homo sapiens	88	Expression profiling by high throughput sequencing; Other	2024/05/17	lung;scRNA;immune/TME	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241934
6	GSE253013	Homo sapiens	89	Expression profiling by high throughput sequencing	2024/01/31	lung;scRNA;immune/TME	Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253013
6	GSE223779	Homo sapiens	6	Expression profiling by high throughput sequencing	2023/08/09	lung;scRNA;immune/TME	Single-cell transcriptomic analysis uncovers intratumoral heterogeneity and drug-tolerant persister in ALK-rearranged lung adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223779
6	GSE178503	Mus musculus	1	Expression profiling by high throughput sequencing	2022/01/04	lung;immune-cold/resistant	EMSY inhibits homologous recombination repair and the interferon response promoting lung cancer immune evasion	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178503
5	GSE223501	Homo sapiens	14	Other	2025/01/17	lung;scRNA	Non-small Cell Lung Cancer Brain Metastasis Atlas [slide-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223501
5	GSE314772	Mus musculus	2	Expression profiling by high throughput sequencing	2026/06/19	lung;scRNA;immune/TME	Fibrotic Remodeling in the NOD/ShiLtJ Mouse Model of Sjögren’s Disease: Insights from Single-Cell Transcriptomics and AI-Driven Quantification	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314772
5	GSE295739	Mus musculus	8	Expression profiling by high throughput sequencing	2026/03/30	lung;scRNA;immune/TME	The NAMPT/SIRT7/SOD2 axis regulates alveolar progenitor cell renewal and pulmonary fibrosis [scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295739
5	GSE307297	Homo sapiens	12	Expression profiling by high throughput sequencing	2026/02/06	lung;scRNA;immune/TME	Single cell RNAseq on rheumatoid arthritis-related interstitial lung disease	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307297
5	GSE263042	Mus musculus	30	Expression profiling by high throughput sequencing	2026/01/06	lung;scRNA;immune/TME	scRNA-seq assessment of the impact of anti-IL6R and anti-OSM in a model of fibrotic lung disease during resolution (day 24) [NGS4659]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263042
5	GSE263041	Mus musculus	30	Expression profiling by high throughput sequencing	2026/01/06	lung;scRNA;immune/TME	scRNA-seq assessment of the impact of anti-IL6R and anti-OSM in a model of fibrotic lung disease during fibrosis (day 14) [NGS4272]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263041
5	GSE275467	Mus musculus	6	Expression profiling by high throughput sequencing	2025/08/20	lung;scRNA;immune/TME	CD45+ Epcam- poluation scRNAseq analysis in control and Goblet-Y/T-Scgb1a1CreERT mouse lung tissues.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275467
5	GSE262928	Mus musculus	6	Expression profiling by high throughput sequencing	2025/01/20	lung;scRNA;immune/TME	Effect of FN14KO  on mouse lung immune cells after bleomycin injury	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262928
5	GSE269390	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/11/06	lung;scRNA;immune/TME	A single-cell RNA sequencing atlas of the COPD distal lung to predict cell-cell communication	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269390
5	GSE229982	Mus musculus	2	Expression profiling by high throughput sequencing	2024/04/13	lung;scRNA	Gene expression profiles at single cell level of  lung epithelial cells from the Cracd WT and Cracd KO mice	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229982
5	GSE250089	Homo sapiens	12	Expression profiling by high throughput sequencing	2023/12/22	lung;immune-cold/resistant	Immune evasion in lung metastasis of leiomyosarcoma: upregulation of EPCAM inhibits CD8⁺ T cell infiltration	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250089
5	GSE196936	Homo sapiens	2	Expression profiling by high throughput sequencing	2022/07/13	lung;scRNA	Epithelial-mesenchymal plasticity determines estrogen receptor positive breast cancer dormancy and epithelial reconversion drives recurrence	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196936
5	GSE126374	Mus musculus	8	Expression profiling by high throughput sequencing	2022/02/01	lung;scRNA	Single cell sequencing of Tri-PyMT cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126374
5	GSE180964	Mus musculus	10	Expression profiling by high throughput sequencing	2021/07/29	KRAS;lung;immune/TME	Combined Inhibition of SHP2 and CXCR1/2 Promotes Anti-Tumor T Cell Response in NSCLC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180964
5	GSE134842	Homo sapiens	3	Expression profiling by high throughput sequencing	2020/12/19	lung;scRNA	Assessing efficiency of single cell population by Drop-seq using cell mixture of epithelial and myeloid cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134842
4	GSE240113	Mus musculus	14	Expression profiling by high throughput sequencing	2023/09/11	KRAS;lung	Genome-Wide CRISPR Screen Identifies Multiple Synthetic Lethal Targets That Enhance KRAS (G12C) Inhibitor Efficacy [RNA-seq-mm10]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240113
4	GSE164759	Mus musculus	143	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2023/07/14	KRAS;lung	HDAC3 is critical in tumor development and therapeutic resistance in Kras-mutant non-small cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164759
4	GSE342290	Mus musculus	4	Expression profiling by high throughput sequencing	2026/08/11	lung;scRNA	Inflammasome Hyperactivation Disrupts  Construction of the Gas Exchange Surface through the NLRP3-IL-18-TNFa Axis [scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE342290
4	GSE284713	Mus musculus	4	Expression profiling by high throughput sequencing	2026/04/07	lung;scRNA	Pulmonary fibroblast activation during Aspergillus fumigatus infection enhances lung defense via immunomodulation and tissue remodeling [scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284713
4	GSE325698	Mus musculus	6	Expression profiling by high throughput sequencing	2026/03/31	lung;scRNA	The chromatin remodeling complex PRC2 safeguards cell fate in alveolar epithelial type 2 cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325698
4	GSE323351	Homo sapiens	4	Expression profiling by high throughput sequencing	2026/03/11	lung;scRNA	Single-cell RNA-sequencing of Immortalized Alveolar type 2 Cell Lines from Healthy Lungs	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE323351
4	GSE287209	Homo sapiens	3	Expression profiling by high throughput sequencing	2026/03/09	lung;scRNA	A human organoid model of alveolar regeneration reveals distinct epithelial responses to interferon-gamma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287209
4	GSE282025	Mus musculus	4	Expression profiling by high throughput sequencing	2026/02/09	lung;scRNA	Single-cell RNA sequencing analysis of lung tissue from Tubb3-/- mice in a bleomycin-induced pulmonary fibrosis model	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282025
4	GSE295345	Mus musculus	2	Expression profiling by high throughput sequencing	2026/01/16	lung;scRNA	BRD4 promotes endodermal cell fate during mammalian lung development	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295345
4	GSE313671	Mus musculus	2	Expression profiling by high throughput sequencing	2026/01/14	lung;scRNA	Prostaglandin I₂ Receptor Activation Promotes Alveolar Regeneration via the JUN/p53 Pathway [scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313671
4	GSE299811	Homo sapiens	3	Expression profiling by high throughput sequencing	2025/12/17	lung;scRNA	Human airway eptithelial cell subsets exhibit distinct transcriptional profiles in response to IFN-gamma derived from influenza specific CD8 T cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299811
4	GSE311198	Mus musculus	1	Expression profiling by high throughput sequencing	2025/12/16	lung;scRNA	Transcriptomic Signature-Guided Depletion of Intermediate Alveolar Epithelial Cells Ameliorates Pulmonary Fibrosis in Mice	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311198
4	GSE310084	Mus musculus	2	Genome binding/occupancy profiling by high throughput sequencing	2025/12/03	lung;scRNA	Runx1 Promotes Myofibroblast Cell Fate during Development and Fibrosis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310084
4	GSE309972	Mus musculus	4	Expression profiling by high throughput sequencing	2025/11/19	lung;scRNA	Stc1-expressing myofibroblasts are a developmentally distinct lineage cleared through apoptosis in the neonatal lung	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309972
4	GSE278235	Mus musculus	4	Expression profiling by high throughput sequencing	2025/10/02	lung;immune/TME	Gene expression profiling of murine SCLC tumor subpopulations with high and low autophagic flux	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278235
4	GSE227719	Mus musculus	4	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2025/08/31	KRAS;scRNA	Organoid modeling reveals the tumorigenic potential of the alveolar progenitor cell state	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227719
4	GSE242510	Mus musculus	6	Expression profiling by high throughput sequencing	2025/08/15	lung;scRNA	Myeloid-mesenchymal crosstalk drives ARG1-dependent profibrotic metabolism via ornithine in lung fibrosis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242510
4	GSE243124	Mus musculus	4	Expression profiling by high throughput sequencing	2025/08/12	lung;scRNA	Single-cell sequencing of mouse lung epithelial cells after bleomycin injury and modulation of IRE1α	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243124
4	GSE273687	Mus musculus	2	Expression profiling by high throughput sequencing	2025/07/30	lung;scRNA	Allergen induces pulmonary neuroendocrine hyperplasia in asthma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273687
