dataset	analysis	comparison	metric	n	stat	value	p_value	note
GSE207422	mpr_split	NMPR vs MPR malignant cycling score	mean_cycle	7+2	mannwhitney_u	5.0	0.6666666666666666	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; MPR median=0.1518 (n=7); NMPR median=0.1054 (n=2); pCR counted as MPR
GSE207422	mpr_split	NMPR vs MPR malignant fraction cycling	frac_cycling	7+2	mannwhitney_u	7.0	1.0	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; MPR median=0.1350 (n=7); NMPR median=0.0794 (n=2); pCR counted as MPR
GSE207422	mpr_split	NMPR vs MPR malignant keratin	mean_keratin	7+2	mannwhitney_u	9.0	0.6666666666666666	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; MPR median=0.5621 (n=7); NMPR median=0.9550 (n=2); pCR counted as MPR
GSE207422	sample_spearman_by_mpr	TACSTD2 vs CytoTRACE-like within MPR	mean_TACSTD2~mean_cytotrace_like	2	spearman_rho			GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman_by_mpr	TACSTD2 vs cycling score within MPR	mean_TACSTD2~mean_cycle	2	spearman_rho			GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman_by_mpr	TACSTD2 vs keratin within MPR	mean_TACSTD2~mean_keratin	2	spearman_rho			GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman_by_mpr	TACSTD2 vs fraction cycling within MPR	mean_TACSTD2~frac_cycling	2	spearman_rho			GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman_by_mpr	TACSTD2 vs CytoTRACE-like within NMPR	mean_TACSTD2~mean_cytotrace_like	7	spearman_rho	-0.7142857142857144	0.07134356146753766	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman_by_mpr	TACSTD2 vs cycling score within NMPR	mean_TACSTD2~mean_cycle	7	spearman_rho	0.8928571428571429	0.006807187408935393	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman_by_mpr	TACSTD2 vs keratin within NMPR	mean_TACSTD2~mean_keratin	7	spearman_rho	0.8571428571428573	0.013697326615325618	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman_by_mpr	TACSTD2 vs fraction cycling within NMPR	mean_TACSTD2~frac_cycling	7	spearman_rho	0.7207499701564473	0.06763499473028162	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422_min10	sample_spearman	TACSTD2 vs CytoTRACE-like	mean_TACSTD2~mean_cytotrace_like	9	spearman_rho	-0.6333333333333333	0.06708578689234572	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	CLDN4 vs CytoTRACE-like	mean_CLDN4~mean_cytotrace_like	9	spearman_rho	-0.5499999999999999	0.12497678418833194	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	TACSTD2 vs cycling score	mean_TACSTD2~mean_cycle	9	spearman_rho	0.7333333333333334	0.024554150071469705	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	CLDN4 vs cycling score	mean_CLDN4~mean_cycle	9	spearman_rho	0.8166666666666667	0.0072247852463587885	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	TACSTD2 vs keratin	mean_TACSTD2~mean_keratin	9	spearman_rho	0.8333333333333333	0.005265691029161747	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	CLDN4 vs keratin	mean_CLDN4~mean_keratin	9	spearman_rho	0.9333333333333332	0.00023589981215941651	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	TACSTD2 vs basal keratin	mean_TACSTD2~mean_keratin_basal	9	spearman_rho	0.7166666666666667	0.02981803569584528	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	TACSTD2 vs alveolar/diff	mean_TACSTD2~mean_alveolar	9	spearman_rho	0.5833333333333334	0.09918581647988327	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	TACSTD2 vs fraction cycling	mean_TACSTD2~frac_cycling	9	spearman_rho	0.6272087408492496	0.07060520621579136	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	CLDN4 vs fraction cycling	mean_CLDN4~frac_cycling	9	spearman_rho	0.8136762043449725	0.007621974237534982	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	CytoTRACE-like vs cycling score	mean_cytotrace_like~mean_cycle	9	spearman_rho	-0.7166666666666667	0.02981803569584528	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman	CytoTRACE-like vs keratin	mean_cytotrace_like~mean_keratin	9	spearman_rho	-0.6	0.08762282904140249	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	combinatorial_paired	TACSTD2 cycling vs non-cycling (paired sample means)	TACSTD2_log1p	5	wilcoxon_w	6.0	0.8125	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; cycling=top quartile cycle_score; non-cycling=bottom quartile
GSE207422_min10	combinatorial_paired	CLDN4 cycling vs non-cycling (paired sample means)	CLDN4_log1p	5	wilcoxon_w	6.0	0.8125	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	tacstd2_high_diff	keratin TACSTD2-high vs low (paired sample means)	keratin	9	wilcoxon_w	4.0	0.02734375	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; high/low = within-sample TACSTD2 quartiles
GSE207422_min10	tacstd2_high_diff	CytoTRACE-like TACSTD2-high vs low (paired sample means)	cytotrace_like	9	wilcoxon_w	3.0	0.01953125	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; high/low = within-sample TACSTD2 quartiles
GSE207422_min10	tacstd2_high_diff	alveolar/diff TACSTD2-high vs low (paired sample means)	alveolar_diff	9	wilcoxon_w	0.0	0.00390625	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	mpr_split	NMPR vs MPR malignant TACSTD2	mean_TACSTD2	7+2	mannwhitney_u	10.0	0.5	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; MPR median=0.4317 (n=7); NMPR median=1.1029 (n=2); pCR counted as MPR
GSE207422_min10	mpr_split	NMPR vs MPR malignant CLDN4	mean_CLDN4	7+2	mannwhitney_u	9.0	0.6666666666666666	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; MPR median=0.4941 (n=7); NMPR median=0.7332 (n=2); pCR counted as MPR
GSE207422_min10	mpr_split	NMPR vs MPR malignant CytoTRACE-like	mean_cytotrace_like	7+2	mannwhitney_u	6.0	0.8888888888888888	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; MPR median=0.6883 (n=7); NMPR median=0.6545 (n=2); pCR counted as MPR
GSE207422_min10	mpr_split	NMPR vs MPR malignant cycling score	mean_cycle	7+2	mannwhitney_u	5.0	0.6666666666666666	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; MPR median=0.1518 (n=7); NMPR median=0.1054 (n=2); pCR counted as MPR
GSE207422_min10	mpr_split	NMPR vs MPR malignant fraction cycling	frac_cycling	7+2	mannwhitney_u	7.0	1.0	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; MPR median=0.1350 (n=7); NMPR median=0.0794 (n=2); pCR counted as MPR
GSE207422_min10	mpr_split	NMPR vs MPR malignant keratin	mean_keratin	7+2	mannwhitney_u	9.0	0.6666666666666666	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity; MPR median=0.5621 (n=7); NMPR median=0.9550 (n=2); pCR counted as MPR
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs CytoTRACE-like within MPR	mean_TACSTD2~mean_cytotrace_like	2	spearman_rho			GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs cycling score within MPR	mean_TACSTD2~mean_cycle	2	spearman_rho			GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs keratin within MPR	mean_TACSTD2~mean_keratin	2	spearman_rho			GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs fraction cycling within MPR	mean_TACSTD2~frac_cycling	2	spearman_rho			GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs CytoTRACE-like within NMPR	mean_TACSTD2~mean_cytotrace_like	7	spearman_rho	-0.7142857142857144	0.07134356146753766	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs cycling score within NMPR	mean_TACSTD2~mean_cycle	7	spearman_rho	0.8928571428571429	0.006807187408935393	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs keratin within NMPR	mean_TACSTD2~mean_keratin	7	spearman_rho	0.8571428571428573	0.013697326615325618	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_min10	sample_spearman_by_mpr	TACSTD2 vs fraction cycling within NMPR	mean_TACSTD2~frac_cycling	7	spearman_rho	0.7207499701564473	0.06763499473028162	GSE207422 post-tx; malignant-like; min 10 cells; sensitivity
GSE207422_allEpi	sample_spearman	TACSTD2 vs CytoTRACE-like	mean_TACSTD2~mean_cytotrace_like	12	spearman_rho	-0.4265734265734266	0.16669998762494498	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	CLDN4 vs CytoTRACE-like	mean_CLDN4~mean_cytotrace_like	12	spearman_rho	-0.3216783216783217	0.30790987618065263	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	TACSTD2 vs cycling score	mean_TACSTD2~mean_cycle	12	spearman_rho	0.46153846153846156	0.13094806950717272	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	CLDN4 vs cycling score	mean_CLDN4~mean_cycle	12	spearman_rho	0.27272727272727276	0.39109677094189615	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	TACSTD2 vs keratin	mean_TACSTD2~mean_keratin	12	spearman_rho	0.4685314685314686	0.12445479118883407	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	CLDN4 vs keratin	mean_CLDN4~mean_keratin	12	spearman_rho	0.0979020979020979	0.7621216559962992	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	TACSTD2 vs basal keratin	mean_TACSTD2~mean_keratin_basal	12	spearman_rho	0.027972027972027972	0.9312343512018807	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	TACSTD2 vs alveolar/diff	mean_TACSTD2~mean_alveolar	12	spearman_rho	-0.1258741258741259	0.696683109395766	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	TACSTD2 vs fraction cycling	mean_TACSTD2~frac_cycling	12	spearman_rho	0.16083916083916086	0.6175234895401425	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	CLDN4 vs fraction cycling	mean_CLDN4~frac_cycling	12	spearman_rho	-0.055944055944055944	0.8628980736949713	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	CytoTRACE-like vs cycling score	mean_cytotrace_like~mean_cycle	12	spearman_rho	0.006993006993006993	0.9827917689028476	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman	CytoTRACE-like vs keratin	mean_cytotrace_like~mean_keratin	12	spearman_rho	-0.09090909090909093	0.7787253962454419	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	combinatorial_paired	TACSTD2 cycling vs non-cycling (paired sample means)	TACSTD2_log1p	7	wilcoxon_w	5.0	0.15625	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; cycling=top quartile cycle_score; non-cycling=bottom quartile
GSE207422_allEpi	combinatorial_paired	CLDN4 cycling vs non-cycling (paired sample means)	CLDN4_log1p	7	wilcoxon_w	7.0	0.296875	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	tacstd2_high_diff	keratin TACSTD2-high vs low (paired sample means)	keratin	12	wilcoxon_w	0.0	0.00048828125	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; high/low = within-sample TACSTD2 quartiles
GSE207422_allEpi	tacstd2_high_diff	CytoTRACE-like TACSTD2-high vs low (paired sample means)	cytotrace_like	12	wilcoxon_w	4.0	0.00341796875	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; high/low = within-sample TACSTD2 quartiles
GSE207422_allEpi	tacstd2_high_diff	alveolar/diff TACSTD2-high vs low (paired sample means)	alveolar_diff	12	wilcoxon_w	30.0	0.5185546875	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	mpr_split	NMPR vs MPR malignant TACSTD2	mean_TACSTD2	8+4	mannwhitney_u	19.0	0.6828282828282828	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; MPR median=1.0134 (n=8); NMPR median=1.2469 (n=4); pCR counted as MPR
GSE207422_allEpi	mpr_split	NMPR vs MPR malignant CLDN4	mean_CLDN4	8+4	mannwhitney_u	13.0	0.6828282828282828	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; MPR median=1.1956 (n=8); NMPR median=1.1701 (n=4); pCR counted as MPR
GSE207422_allEpi	mpr_split	NMPR vs MPR malignant CytoTRACE-like	mean_cytotrace_like	8+4	mannwhitney_u	16.0	1.0	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; MPR median=0.5606 (n=8); NMPR median=0.5481 (n=4); pCR counted as MPR
GSE207422_allEpi	mpr_split	NMPR vs MPR malignant cycling score	mean_cycle	8+4	mannwhitney_u	14.0	0.8080808080808081	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; MPR median=0.1050 (n=8); NMPR median=0.1008 (n=4); pCR counted as MPR
GSE207422_allEpi	mpr_split	NMPR vs MPR malignant fraction cycling	frac_cycling	8+4	mannwhitney_u	22.0	0.3676767676767677	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; MPR median=0.0144 (n=8); NMPR median=0.0753 (n=4); pCR counted as MPR
GSE207422_allEpi	mpr_split	NMPR vs MPR malignant keratin	mean_keratin	8+4	mannwhitney_u	22.0	0.3676767676767677	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity; MPR median=0.5501 (n=8); NMPR median=0.8516 (n=4); pCR counted as MPR
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs CytoTRACE-like within MPR	mean_TACSTD2~mean_cytotrace_like	4	spearman_rho	-0.39999999999999997	0.6	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs cycling score within MPR	mean_TACSTD2~mean_cycle	4	spearman_rho	-0.19999999999999998	0.8	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs keratin within MPR	mean_TACSTD2~mean_keratin	4	spearman_rho	-0.39999999999999997	0.6	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs fraction cycling within MPR	mean_TACSTD2~frac_cycling	4	spearman_rho	-0.39999999999999997	0.6	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs CytoTRACE-like within NMPR	mean_TACSTD2~mean_cytotrace_like	8	spearman_rho	-0.4285714285714286	0.2894032248467901	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs cycling score within NMPR	mean_TACSTD2~mean_cycle	8	spearman_rho	0.6666666666666669	0.07098765432098755	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs keratin within NMPR	mean_TACSTD2~mean_keratin	8	spearman_rho	0.6666666666666669	0.07098765432098755	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE207422_allEpi	sample_spearman_by_mpr	TACSTD2 vs fraction cycling within NMPR	mean_TACSTD2~frac_cycling	8	spearman_rho	0.4761904761904762	0.23293553465009798	GSE207422 post-tx; ALL epithelial (no normal-lung gate); min 10; sensitivity
GSE241934	cell_spearman_exploratory	TACSTD2 vs CytoTRACE-like	TACSTD2_log1p~cytotrace_like	14484	spearman_rho	-0.06715517832675319	5.940674523892179e-16	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	CLDN4 vs CytoTRACE-like	CLDN4_log1p~cytotrace_like	14484	spearman_rho	0.032573783271436674	8.820411186122715e-05	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	TACSTD2 vs cycling score	TACSTD2_log1p~cycle_score	14484	spearman_rho	-0.1636299490149148	1.817762948523637e-87	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	CLDN4 vs cycling score	CLDN4_log1p~cycle_score	14484	spearman_rho	-0.07169616241806961	5.672180447442207e-18	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	TACSTD2 vs keratin	TACSTD2_log1p~keratin	14484	spearman_rho	0.366483478555021	0.0	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	CLDN4 vs keratin	CLDN4_log1p~keratin	14484	spearman_rho	0.24285509317995987	1.8607389326224326e-193	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	TACSTD2 vs basal keratin	TACSTD2_log1p~keratin_basal	14484	spearman_rho	0.038090726280699566	4.529709496903878e-06	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	TACSTD2 vs alveolar/diff	TACSTD2_log1p~alveolar_diff	14484	spearman_rho	0.20230015224480838	1.2827209896072709e-133	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	TACSTD2 vs CLDN4	TACSTD2_log1p~CLDN4_log1p	14484	spearman_rho	0.4103873736118321	0.0	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cells as replicates — exploratory
GSE241934	cell_spearman_exploratory	TACSTD2 vs CytoTRACE-like within cycling cells	TACSTD2~cytotrace_like	3622	spearman_rho	0.04635723508057754	0.005263366850820942	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; cycling=top quartile; exploratory
GSE241934	cell_spearman_exploratory	TACSTD2 vs CytoTRACE-like within non-cycling cells	TACSTD2~cytotrace_like	3622	spearman_rho	-0.04307283479763531	0.009526369352888496	author major.cell.type==Epi; UMI≥200; CytoTRACE-like within cohort; non-cycling=bottom quartile; exploratory
