symbol	ensembl	row	present	n_tumors	n_quantified	n_missing	min	median	max	cohort
HLA-C	ENSG00000204525	ENSG00000204525.16	True	110	110	0	24.4288009853205	26.0483382333172	27.725771935709	LUAD
HLA-E	ENSG00000204592	ENSG00000204592.9	True	110	110	0	23.4420639351641	24.878572504165547	26.0256944843304	LUAD
HLA-F	ENSG00000204642	ENSG00000204642.14	True	110	110	0	22.8149782763039	23.6830114056201	25.0878952036252	LUAD
HLA-G	ENSG00000204632	ENSG00000204632.11	True	110	54	56	17.8647608533286	18.6380518799619	22.2280896147811	LUAD
B2M	ENSG00000166710		False	110	0	110				LUAD
CD8A	ENSG00000153563	ENSG00000153563.15	True	110	110	0	20.4094465955374	21.761586069411948	23.6191527165876	LUAD
CD8B	ENSG00000172116		False	110	0	110				LUAD
TAP1	ENSG00000168394	ENSG00000168394.11	True	110	110	0	24.8494712090505	25.9302125163622	27.3940920188256	LUAD
TAP2	ENSG00000204267	ENSG00000204267.16	True	110	110	0	21.9695522940503	24.108684189909	25.3794152157512	LUAD
TAPBP	ENSG00000231925	ENSG00000231925.12	True	110	110	0	25.7901168926816	26.7068213286948	28.0607981100855	LUAD
PSMB8	ENSG00000204264	ENSG00000204264.12	True	110	110	0	27.1798006811959	28.010531759867952	28.6501031443107	LUAD
PSMB9	ENSG00000240065	ENSG00000240065.8	True	110	110	0	26.5180592393911	27.210748339810948	27.8330381042987	LUAD
PSMB10	ENSG00000205220	ENSG00000205220.12	True	110	110	0	26.7060684002979	27.633013780153902	28.524594317659	LUAD
NLRC5	ENSG00000140853	ENSG00000140853.15	True	110	106	4	19.4725111615584	20.49762625399495	21.3847874665656	LUAD
PRKDC	ENSG00000253729	ENSG00000253729.8	True	110	110	0	27.4600571297974	28.252949379748152	29.0156957135558	LUAD
XRCC5	ENSG00000079246	ENSG00000079246.16	True	110	110	0	28.616947807173	28.9637863596531	29.546089526799	LUAD
XRCC6	ENSG00000196419	ENSG00000196419.12	True	110	110	0	28.7933763614589	29.22939443201245	29.7771833871831	LUAD
XRCC4	ENSG00000152422	ENSG00000152422.16	True	110	110	0	23.797604373778	24.3324169357485	25.0837169251015	LUAD
LIG4	ENSG00000174405	ENSG00000174405.13	True	110	110	0	21.9926852564775	22.448202916936	23.0546693474454	LUAD
NHEJ1	ENSG00000187736	ENSG00000187736.12	True	110	110	0	22.669577917159	23.28044279604145	24.5027067235565	LUAD
DCLRE1C	ENSG00000152457	ENSG00000152457.18	True	110	88	22	18.7631095222128	20.49955664723265	21.8565870387693	LUAD
STING1	ENSG00000184584	ENSG00000184584.13	True	110	110	0	23.7288363007556	25.3189269488044	27.0016187547051	LUAD
TBK1	ENSG00000183735	ENSG00000183735.10	True	110	110	0	24.1255543270497	24.50074833110335	25.4287317553094	LUAD
IRF3	ENSG00000126456	ENSG00000126456.16	True	110	110	0	24.2058827317861	24.789120930166902	25.2468891419259	LUAD
IRF7	ENSG00000185507	ENSG00000185507.21	True	110	110	0	20.6090195324289	21.5529056830895	22.6470684121149	LUAD
CGAS	ENSG00000164430	ENSG00000164430.16	True	110	110	0	21.554581826538	22.7117736753654	24.201953348719	LUAD
IKBKE	ENSG00000143466		False	110	0	110				LUAD
