accession	gene	sample	group	value	scale
GSE33348	TACSTD2	GSM824878	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.7263081	log2-like
GSE33348	TACSTD2	GSM824879	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.4640745	log2-like
GSE33348	TACSTD2	GSM824880	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.6746903	log2-like
GSE33348	TACSTD2	GSM824881	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.6657574	log2-like
GSE33348	TACSTD2	GSM824882	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.5040851	log2-like
GSE33348	TACSTD2	GSM824883	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.90319955	log2-like
GSE33348	TACSTD2	GSM824884	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-1.4132539	log2-like
GSE33348	TACSTD2	GSM824885	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-1.6057612	log2-like
GSE33348	TACSTD2	GSM824886	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-1.6312171	log2-like
GSE33348	TACSTD2	GSM824887	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	0.53570557	log2-like
GSE33348	TACSTD2	GSM824888	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	0.48440993	log2-like
GSE33348	TACSTD2	GSM824889	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	0.42883557	log2-like
GSE33348	CLDN4	GSM824875	4T1 cells harboring the empty pLKO.1puro lentiviral vector	1.2009047	log2-like
GSE33348	CLDN4	GSM824876	4T1 cells harboring the empty pLKO.1puro lentiviral vector	1.2981544	log2-like
GSE33348	CLDN4	GSM824877	4T1 cells harboring the empty pLKO.1puro lentiviral vector	1.4736744	log2-like
GSE33348	CLDN4	GSM824878	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.7685499	log2-like
GSE33348	CLDN4	GSM824879	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.48814568	log2-like
GSE33348	CLDN4	GSM824880	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.6962228	log2-like
GSE33348	CLDN4	GSM824881	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.7958593	log2-like
GSE33348	CLDN4	GSM824882	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.5629922	log2-like
GSE33348	CLDN4	GSM824883	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-0.66096365	log2-like
GSE33348	CLDN4	GSM824884	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-1.3722935	log2-like
GSE33348	CLDN4	GSM824885	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-1.544944	log2-like
GSE33348	CLDN4	GSM824886	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	-1.4790162	log2-like
GSE33348	CLDN4	GSM824887	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	0.077330045	log2-like
GSE33348	CLDN4	GSM824888	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	0.25333548	log2-like
GSE33348	CLDN4	GSM824889	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	0.07655687	log2-like
GSE48443	TACSTD2	GSM1178811	CLDN18_KnockOut	12.59095338	log2-like
GSE48443	TACSTD2	GSM1178812	CLDN18_KnockOut	12.61537021	log2-like
GSE48443	TACSTD2	GSM1178813	CLDN18_KnockOut	12.25314273	log2-like
GSE48443	TACSTD2	GSM1178814	WildType	11.56098732	log2-like
GSE48443	TACSTD2	GSM1178815	WildType	12.00548953	log2-like
GSE48443	TACSTD2	GSM1178816	WildType	12.08916685	log2-like
GSE48443	TACSTD2	GSM1178817	WildType	11.79350904	log2-like
GSE48443	CLDN4	GSM1178811	CLDN18_KnockOut	10.12594711	log2-like
GSE48443	CLDN4	GSM1178812	CLDN18_KnockOut	10.30716839	log2-like
GSE48443	CLDN4	GSM1178813	CLDN18_KnockOut	9.685111157	log2-like
GSE48443	CLDN4	GSM1178814	WildType	9.555662647	log2-like
GSE48443	CLDN4	GSM1178815	WildType	9.67338853	log2-like
GSE48443	CLDN4	GSM1178816	WildType	9.468335281	log2-like
GSE48443	CLDN4	GSM1178817	WildType	9.296870822	log2-like
GSE210340	TACSTD2	GSM6428668	Control BMDMs (M0)	5.54	log2-like
GSE210340	TACSTD2	GSM6428669	Control BMDMs (M0)	5.0	log2-like
GSE210340	TACSTD2	GSM6428670	Control BMDMs (M0)	5.4	log2-like
GSE210340	TACSTD2	GSM6428671	Control BMDMs (M0)	5.13	log2-like
GSE210340	TACSTD2	GSM6428672	BMDMs treated with NCI-H460 conditioned medium	5.57	log2-like
GSE210340	TACSTD2	GSM6428673	BMDMs treated with NCI-H460 conditioned medium	5.02	log2-like
GSE210340	TACSTD2	GSM6428674	BMDMs treated with NCI-H460 conditioned medium	5.28	log2-like
GSE210340	TACSTD2	GSM6428675	BMDMs treated with NCI-H460 conditioned medium	5.37	log2-like
GSE210340	TACSTD2	GSM6428676	BMDMs treated with PC-9 conditioned medium	5.6	log2-like
GSE210340	TACSTD2	GSM6428677	BMDMs treated with PC-9 conditioned medium	4.96	log2-like
GSE210340	TACSTD2	GSM6428678	BMDMs treated with PC-9 conditioned medium	5.26	log2-like
GSE210340	TACSTD2	GSM6428679	BMDMs treated with A549 conditioned medium	5.01	log2-like
GSE210340	TACSTD2	GSM6428680	BMDMs treated with A549 conditioned medium	5.18	log2-like
GSE210340	TACSTD2	GSM6428681	BMDMs treated with A549 conditioned medium	5.49	log2-like
GSE210340	TACSTD2	GSM6428682	BMDMs treated with A549 conditioned medium	4.91	log2-like
GSE210340	TACSTD2	GSM6428683	BMDMs treated with NCI-H1299 conditioned medium	5.01	log2-like
GSE210340	TACSTD2	GSM6428684	BMDMs treated with NCI-H1299 conditioned medium	5.38	log2-like
GSE210340	TACSTD2	GSM6428685	BMDMs treated with NCI-H1299 conditioned medium	5.47	log2-like
GSE210340	TACSTD2	GSM6428686	BMDMs treated with NCI-H1299 conditioned medium	5.17	log2-like
GSE210340	TACSTD2	GSM6428687	BMDMs treated with Calu-1 conditioned medium	4.96	log2-like
GSE210340	TACSTD2	GSM6428688	BMDMs treated with Calu-1 conditioned medium	5.1	log2-like
GSE210340	TACSTD2	GSM6428689	BMDMs treated with Calu-1 conditioned medium	5.14	log2-like
GSE210340	TACSTD2	GSM6428690	BMDMs treated with Calu-1 conditioned medium	5.4	log2-like
GSE210340	TACSTD2	GSM6428691	M1 BMDMs	5.21	log2-like
GSE210340	TACSTD2	GSM6428692	M1 BMDMs	4.86	log2-like
GSE210340	TACSTD2	GSM6428693	M1 BMDMs	4.95	log2-like
GSE210340	TACSTD2	GSM6428694	M2 BMDMs	5.01	log2-like
GSE210340	TACSTD2	GSM6428695	M2 BMDMs	5.23	log2-like
GSE210340	TACSTD2	GSM6428696	M2 BMDMs	5.06	log2-like
GSE210340	CLDN4	GSM6428668	Control BMDMs (M0)	5.13	log2-like
GSE210340	CLDN4	GSM6428669	Control BMDMs (M0)	5.13	log2-like
GSE210340	CLDN4	GSM6428670	Control BMDMs (M0)	4.9	log2-like
GSE210340	CLDN4	GSM6428671	Control BMDMs (M0)	5.27	log2-like
GSE210340	CLDN4	GSM6428672	BMDMs treated with NCI-H460 conditioned medium	5.31	log2-like
GSE210340	CLDN4	GSM6428673	BMDMs treated with NCI-H460 conditioned medium	5.37	log2-like
GSE210340	CLDN4	GSM6428674	BMDMs treated with NCI-H460 conditioned medium	5.28	log2-like
GSE210340	CLDN4	GSM6428675	BMDMs treated with NCI-H460 conditioned medium	5.18	log2-like
GSE210340	CLDN4	GSM6428676	BMDMs treated with PC-9 conditioned medium	5.13	log2-like
GSE210340	CLDN4	GSM6428677	BMDMs treated with PC-9 conditioned medium	5.08	log2-like
GSE210340	CLDN4	GSM6428678	BMDMs treated with PC-9 conditioned medium	4.86	log2-like
GSE210340	CLDN4	GSM6428679	BMDMs treated with A549 conditioned medium	5.32	log2-like
GSE210340	CLDN4	GSM6428680	BMDMs treated with A549 conditioned medium	5.04	log2-like
GSE210340	CLDN4	GSM6428681	BMDMs treated with A549 conditioned medium	5.31	log2-like
GSE210340	CLDN4	GSM6428682	BMDMs treated with A549 conditioned medium	5.01	log2-like
GSE210340	CLDN4	GSM6428683	BMDMs treated with NCI-H1299 conditioned medium	5.06	log2-like
GSE210340	CLDN4	GSM6428684	BMDMs treated with NCI-H1299 conditioned medium	5.09	log2-like
GSE210340	CLDN4	GSM6428685	BMDMs treated with NCI-H1299 conditioned medium	5.1	log2-like
GSE210340	CLDN4	GSM6428686	BMDMs treated with NCI-H1299 conditioned medium	4.81	log2-like
GSE210340	CLDN4	GSM6428687	BMDMs treated with Calu-1 conditioned medium	5.21	log2-like
GSE210340	CLDN4	GSM6428688	BMDMs treated with Calu-1 conditioned medium	5.06	log2-like
GSE210340	CLDN4	GSM6428689	BMDMs treated with Calu-1 conditioned medium	4.95	log2-like
GSE210340	CLDN4	GSM6428690	BMDMs treated with Calu-1 conditioned medium	4.99	log2-like
GSE210340	CLDN4	GSM6428691	M1 BMDMs	5.19	log2-like
GSE210340	CLDN4	GSM6428692	M1 BMDMs	5.39	log2-like
GSE210340	CLDN4	GSM6428693	M1 BMDMs	4.87	log2-like
GSE210340	CLDN4	GSM6428694	M2 BMDMs	4.93	log2-like
GSE210340	CLDN4	GSM6428695	M2 BMDMs	5.07	log2-like
GSE210340	CLDN4	GSM6428696	M2 BMDMs	4.92	log2-like
GSE266384	TACSTD2	GSM8246078	AB1-HA con	0.19752312	log2-like
GSE266384	TACSTD2	GSM8246079	AB1-HA IFNG	-0.14426136	log2-like
GSE266384	TACSTD2	GSM8246080	3LL con	-0.046396255	log2-like
GSE266384	TACSTD2	GSM8246081	3LL IFNG	0.04639721	log2-like
GSE266384	CLDN4	GSM8246078	AB1-HA con	0.011736394999999997	log2-like
GSE266384	CLDN4	GSM8246079	AB1-HA IFNG	0.56647827	log2-like
GSE266384	CLDN4	GSM8246080	3LL con	-0.488996985	log2-like
GSE266384	CLDN4	GSM8246081	3LL IFNG	0.18838834999999998	log2-like
